identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,ammoRechargingVFX,ammoChargedVFX,ammoRechargingSFX,h
E19Q4InvokerDragon_16,16,food:137808,1,,1843414,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,235612,food:924,4.2,rage1,19,662857,1,experience:0,1264916,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_17,17,food:149213,1,,2034722,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,260070,food:996,4.2,rage1,20,731670,1,experience:0,1541051,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_18,18,E19Q4InvokerDragonPlatinumStone:1,1,havePlatinumLegendary,2137699,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,273236,food:1032,4.2,rage1,21,768710,1,experience:0,1701014,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_19,19,food:166320,1,,2359564,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,301600,food:1104,4.2,rage1,22,848507,1,experience:0,2072429,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_20,20,food:177725,1,,2604489,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,332909,food:1176,4.2,rage1,24,936591,1,experience:0,2525078,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_21,21,food:189130,1,,2874801,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,358360,food:1248,4.2,rage1,25,1033818,1,experience:0,3000270,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_22,22,food:200535,1,have2LegendaryPlatinum,3095796,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,385913,food:1302,4.2,rage1,26,1113307,1,experience:0,3479258,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_23,23,food:209088,1,,3252490,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,405450,food:1338,4.2,rage1,27,1169668,1,experience:0,3840428,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_24,24,food:214791,1,,3333791,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,415586,food:1356,4.2,rage1,27,1198909,1,experience:0,4034784,25,7,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_25,25,E19Q4InvokerDragonSapphireStone:1,1,haveLegendarySapphire,3417125,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,425975,food:1374,4.2,rage1,27,1228881,1,experience:0,4239073,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_26,26,food:220493,1,,3679836,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,458728,food:1428,4.2,rage1,28,1323368,1,experience:0,4916054,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_27,27,food:229047,1,,3866096,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,481951,food:1464,4.2,rage1,29,1390361,1,experience:0,5426221,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_28,28,food:234749,1,,4061780,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,506349,food:1500,4.2,rage1,30,1460748,1,experience:0,5989503,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_29,29,food:240452,1,have2LegendarySapphire,4163307,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,519007,food:1518,4.2,rage1,30,1497266,1,experience:0,6292754,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_30,30,food:243303,1,,4374056,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,545281,food:1554,4.2,rage1,31,2097417,1,experience:0,6945951,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_31,31,food:323707,1,,4595475,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,572886,food:1590,4.2,rage1,31,2203598,1,experience:0,7667087,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_32,32,food:331120,1,,4828084,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,601887,food:1626,4.2,rage1,32,2315154,1,experience:0,8462897,33,8,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_33,33,E19Q4InvokerDragonGarnetStone:1,1,haveLegendaryGarnet,5199269,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,648166,food:1680,4.2,rage1,33,2493164,1,experience:0,9814178,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_34,34,food:349653,1,,5462453,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,680979,food:1716,4.2,rage1,34,2619378,1,experience:0,10833077,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_35,35,food:357066,1,,5738953,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,715453,food:1752,4.2,rage1,34,2751980,1,experience:0,11957504,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_36,36,food:364479,1,,6029456,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,751672,food:1788,4.2,rage1,35,2891298,1,experience:0,13198731,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_37,37,food:371892,1,have2LegendaryGarnet,6180181,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,770463,food:1806,4.2,rage1,35,3593342,1,experience:0,13867018,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_38,38,food:462275,1,,6655317,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,829704,food:1860,4.2,rage1,36,3869631,1,experience:0,16081273,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_39,39,food:475961,1,,7167006,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,893499,food:1914,4.2,rage1,37,4167165,1,experience:0,18649207,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_40,40,food:489647,1,,8108716,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1010910,food:2004,4.2,rage1,39,4714753,1,experience:0,23872287,41,9,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_41,41,E19Q4InvokerDragonEmeraldStone:1,1,haveLegendaryEmerald,8950451,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1115854,food:2076,4.2,rage1,41,5204201,1,experience:0,29085711,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_42,42,food:530704,1,,9174198,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1143750,food:2094,4.2,rage1,41,5334305,1,experience:0,30558228,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_43,43,food:535266,1,,9638608,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1201652,food:2130,4.2,rage1,42,5604354,1,experience:0,33730337,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_44,44,food:544390,1,,9879552,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1231693,food:2148,4.2,rage1,43,6573557,1,experience:0,35437935,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_45,45,food:651880,1,have2LegendaryEmerald,10379670,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1294047,food:2184,4.2,rage1,44,6906341,1,experience:0,39116698,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_46,46,food:662714,1,,10639144,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1326398,food:2202,4.2,rage1,44,7078999,1,experience:0,41096917,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_47,47,food:668132,1,,10905107,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1359557,food:2220,4.2,rage1,45,7255970,1,experience:0,43177334,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_48,48,food:673549,1,,11457141,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1428384,food:2256,4.2,rage1,46,7623302,1,experience:0,47659622,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_49,49,food:684384,1,,12037133,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1500695,food:2292,4.2,rage1,47,8009227,1,experience:0,52607048,50,10,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_50,50,E19Q4InvokerDragonObsidianStone:1,1,haveLegendaryObsidian,12338053,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1538213,food:2310,4.2,rage1,47,8209455,1,experience:0,55270340,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_51,51,food:700635,1,,13286700,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1656485,food:2364,4.2,rage1,49,8840684,1,experience:0,64096321,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_52,52,food:716887,1,,13959324,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1740344,food:2400,4.2,rage1,50,9288241,1,experience:0,70750207,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_53,53,food:727722,1,have2LegendaryObsidian,14665990,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1828449,food:2436,4.2,rage1,52,9758455,1,experience:0,78094999,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_54,54,food:738556,1,,15408426,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,1921014,food:2472,4.2,rage1,54,10252472,1,experience:0,86202043,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_55,55,food:749391,1,,16188452,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2018264,food:2508,4.2,rage1,56,10771502,1,experience:0,94660046,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_56,56,food:760225,1,haveMythicObsidian,17433154,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2173449,food:2562,4.2,rage1,59,11599724,1,experience:0,107725526,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_57,57,food:776477,1,,17868971,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2227785,food:2580,4.2,rage1,60,11889717,1,experience:0,112182080,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_58,58,food:781895,1,,18773574,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2340566,food:2616,4.2,rage1,61,12491630,1,experience:0,119160870,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_59,59,food:792729,1,,19723964,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2459056,food:2652,4.2,rage1,62,13124017,1,experience:0,126268964,60,11,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_60,60,E19Q4InvokerDragonHarbingerStone:1,1,haveLegendaryHarbinger,21240540,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2648134,food:2706,4.2,rage1,63,14133127,1,experience:0,137173547,70,12,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_61,61,food:819816,1,,23445540,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,2923043,food:2778,4.2,rage1,65,15600321,1,experience:0,152165553,70,12,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_62,62,food:841485,1,,25248273,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,3147796,food:2832,4.2,rage1,67,16799834,1,experience:0,163748978,70,12,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_63,63,food:857736,1,have2LegendaryHarbinger,27869319,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,3474577,food:2904,4.2,rage1,69,18543867,1,experience:0,179646106,70,12,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
