identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,maxStorageData,storageProtectionData,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,minHourlyHarvestRate,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,Array<String>,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,String,String,String,Integer,String
StorageUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_vault_level01.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1500|piercing:1500|gold:2580000,food:195|piercing:195|gold:0,piercing:67,6048,,,100,,,experience:33,,,,1.5,1,90,stru_resource_vault_level01_death.lvl,,,food:1|piercing:1,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_2,2,0,stru_resource_vault_level02.lvl,,|stru_resource_vault_level02_active01.lvl|stru_resource_vault_level02_active02.lvl,food:2640|piercing:2640|gold:2580000,food:264|piercing:264|gold:0,piercing:750,25920,,7,100,,,experience:36,,,,1.5,1,90,stru_resource_vault_level02_death.lvl,,,food:120|piercing:120,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_27,27,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:398400|piercing:398400|gold:2580000,food:39840|piercing:39840|gold:0,piercing:339120,1175040,,79,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:4800|piercing:4800,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_28,28,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:420000|piercing:420000|gold:2580000,food:42000|piercing:42000|gold:0,piercing:358560,1175040,,82,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:5070|piercing:5070,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_29,29,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:441600|piercing:441600|gold:2580000,food:44160|piercing:44160|gold:0,piercing:378000,1175040,,85,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:5340|piercing:5340,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_30,30,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:463200|piercing:463200|gold:2580000,food:46320|piercing:46320|gold:0,piercing:397440,1175040,,88,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:5610|piercing:5610,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_31,31,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:484800|piercing:484800|gold:2580000,food:48480|piercing:48480|gold:0,piercing:416880,1175040,,91,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:5880|piercing:5880,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_32,32,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:506400|piercing:506400|gold:2580000,food:50640|piercing:50640|gold:0,piercing:436320,1175040,,94,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:6150|piercing:6150,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_33,33,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:528000|piercing:528000|gold:2580000,food:52800|piercing:52800|gold:0,piercing:455760,1175040,,97,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:6420|piercing:6420,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_34,34,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:549600|piercing:549600|gold:2580000,food:54960|piercing:54960|gold:0,piercing:475200,1175040,,100,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:6690|piercing:6690,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_35,35,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:571200|piercing:571200|gold:2721900,food:57120|piercing:57120|gold:0,piercing:494640,1175040,,103,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:6960|piercing:6960,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_36,36,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:592800|piercing:592800|gold:2863800,food:59280|piercing:59280|gold:0,piercing:514080,1175040,,106,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:7230|piercing:7230,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_37,37,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:614400|piercing:614400|gold:3005700,food:61440|piercing:61440|gold:0,piercing:533520,1175040,,109,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:7500|piercing:7500,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_38,38,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:636000|piercing:636000|gold:3147600,food:63600|piercing:63600|gold:0,piercing:552960,1175040,,112,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:7770|piercing:7770,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_39,39,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:657600|piercing:657600|gold:3289500,food:65760|piercing:65760|gold:0,piercing:572400,1175040,,115,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:8040|piercing:8040,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_40,40,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:679200|piercing:679200|gold:3431400,food:67920|piercing:67920|gold:0,piercing:591840,1175040,,118,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:8310|piercing:8310,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_41,41,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:700800|piercing:700800|gold:3573300,food:70080|piercing:70080|gold:0,piercing:611280,1175040,,121,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:8580|piercing:8580,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_42,42,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:722400|piercing:722400|gold:3715200,food:72240|piercing:72240|gold:0,piercing:630720,1175040,,124,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:8850|piercing:8850,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_43,43,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:744000|piercing:744000|gold:3857100,food:74400|piercing:74400|gold:0,piercing:650160,1175040,,127,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:9120|piercing:9120,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_44,44,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:765600|piercing:765600|gold:3999000,food:76560|piercing:76560|gold:0,piercing:669600,1175040,,130,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:9390|piercing:9390,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_45,45,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:787200|piercing:787200|gold:4140900,food:78720|piercing:78720|gold:0,piercing:689040,1175040,,133,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:9660|piercing:9660,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_46,46,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:808800|piercing:808800|gold:4282800,food:80880|piercing:80880|gold:0,piercing:708480,1175040,,136,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:9930|piercing:9930,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_47,47,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:830400|piercing:830400|gold:4424700,food:83040|piercing:83040|gold:0,piercing:727920,1175040,,139,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:10200|piercing:10200,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_48,48,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:852000|piercing:852000|gold:4566600,food:85200|piercing:85200|gold:0,piercing:747360,1175040,,142,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:10470|piercing:10470,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_49,49,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:873600|piercing:873600|gold:4708500,food:87360|piercing:87360|gold:0,piercing:766800,1175040,,145,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:10740|piercing:10740,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_50,50,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:895200|piercing:895200|gold:4850400,food:89520|piercing:89520|gold:0,piercing:786240,1175040,,148,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:11010|piercing:11010,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_51,51,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:916800|piercing:916800|gold:4992300,food:91680|piercing:91680|gold:0,piercing:805680,1175040,,151,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:11280|piercing:11280,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_52,52,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:938400|piercing:938400|gold:5134200,food:93840|piercing:93840|gold:0,piercing:825120,1175040,,154,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:11550|piercing:11550,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_53,53,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:960000|piercing:960000|gold:5276100,food:96000|piercing:96000|gold:0,piercing:844560,1175040,,157,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:11820|piercing:11820,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_54,54,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:981600|piercing:981600|gold:5418000,food:98160|piercing:98160|gold:0,piercing:864000,3642463,,160,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:12090|piercing:12090,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_55,55,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1003200|piercing:1003200|gold:5559900,food:100320|piercing:100320|gold:0,piercing:883440,3642463,,163,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:12360|piercing:12360,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_56,56,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1024800|piercing:1024800|gold:5701800,food:102480|piercing:102480|gold:0,piercing:902880,3642463,,166,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:12630|piercing:12630,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_57,57,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1046400|piercing:1046400|gold:5843700,food:104640|piercing:104640|gold:0,piercing:922320,3642463,,169,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:12900|piercing:12900,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_58,58,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1068000|piercing:1068000|gold:5985600,food:106800|piercing:106800|gold:0,piercing:941760,3642463,,172,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:13170|piercing:13170,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_59,59,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1089600|piercing:1089600|gold:6127500,food:108960|piercing:108960|gold:0,piercing:961200,3642463,,175,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:13440|piercing:13440,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_60,60,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1111200|piercing:1111200|gold:6269400,food:111120|piercing:111120|gold:0,piercing:980640,3642463,,178,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:13710|piercing:13710,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_61,61,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1132800|piercing:1132800|gold:6411300,food:113280|piercing:113280|gold:0,piercing:1000080,3642463,,181,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:13980|piercing:13980,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_62,62,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1154400|piercing:1154400|gold:6553200,food:115440|piercing:115440|gold:0,piercing:1019520,3642463,,184,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:14250|piercing:14250,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_63,63,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1176000|piercing:1176000|gold:6695100,food:117600|piercing:117600|gold:0,piercing:1038960,3642463,,187,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:14520|piercing:14520,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_64,64,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1197600|piercing:1197600|gold:6837000,food:119760|piercing:119760|gold:0,piercing:1058400,3642463,,190,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:14790|piercing:14790,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_65,65,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1219200|piercing:1219200|gold:6978900,food:121920|piercing:121920|gold:0,piercing:1077840,3642463,,193,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:15060|piercing:15060,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_66,66,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1240800|piercing:1240800|gold:7120800,food:124080|piercing:124080|gold:0,piercing:1097280,3642463,,196,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:15330|piercing:15330,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_67,67,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1262400|piercing:1262400|gold:7262700,food:126240|piercing:126240|gold:0,piercing:1116720,3642463,,199,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:15600|piercing:15600,prop_constructionKit_vault.lvl,,1,
