identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,explosionSceneFile,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
LightningTowerUpgrades_14,14,0,bld_lightning_level05-4.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:38115,172800,,28,47181,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,15754,19693,0,0,,,,,experience:2118,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,5,,,1798,
LightningTowerUpgrades_15,15,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:51677,216000,,31,52525,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,17536,21920,0,0,,,,,experience:2546,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,6,,,2211,
LightningTowerUpgrades_16,16,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:57617,259200,,31,58473,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,19520,24400,0,0,,,,,experience:3000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,6,,,2730,
LightningTowerUpgrades_17,17,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:77039,302400,,34,65095,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,21730,27163,0,0,,,,,experience:3097,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,7,,,3404,
LightningTowerUpgrades_18,18,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:86400,345600,,37,72467,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,24191,30239,0,0,,,,,experience:4000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,8,,,4212,
LightningTowerUpgrades_19,19,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:129598,388800,,42,85121,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,28413,35516,0,0,,,,,experience:5334,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,9,,,5796,
LightningTowerUpgrades_20,20,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:154799,432000,,46,99983,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,33371,41713,0,0,,,,,experience:7000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,10,,,8010,
LightningTowerUpgrades_21,21,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:187199,518400,,50,117442,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,39195,48994,0,0,,,,,experience:9143,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,11,,,11040,
LightningTowerUpgrades_22,22,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:219599,604800,,56,137949,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,46036,57545,0,0,,,,,experience:12000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,13,,,15249,
LightningTowerUpgrades_23,23,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:251999,691200,,61,162037,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,54071,67589,0,0,,,,,experience:16000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,14,,,21006,
LightningTowerUpgrades_24,24,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:269232,864000,,64,190332,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,63510,79388,0,0,,,,,experience:17600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,16,,,29013,
LightningTowerUpgrades_25,25,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:299904,864000,,67,223569,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,74598,93247,0,0,,,,,experience:19200,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,17,,,40020,
LightningTowerUpgrades_26,26,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:340800,936000,,73,277082,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,92446,115557,0,0,,,,,experience:20800,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,19,,,61440,
LightningTowerUpgrades_27,27,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:381696,1080000,,79,343405,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,114568,143210,0,0,,,,,experience:24000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,20,,,94384,
LightningTowerUpgrades_28,28,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:422592,1152000,,85,401654,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,133999,167498,0,0,,,,,experience:25600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,20,,,129168,
LightningTowerUpgrades_29,29,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:463488,1224000,,91,443347,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,147905,184881,0,0,,,,,experience:27200,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,20,,,157320,
LightningTowerUpgrades_30,30,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:504384,1224000,,94,489370,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,163255,204069,0,0,,,,,experience:30400,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,20,,,191680,
LightningTowerUpgrades_31,31,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:545280,1370990,,100,540170,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,180197,225247,0,0,,,,,experience:32000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,20,,,233604,
LightningTowerUpgrades_32,32,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:586176,1468800,,106,596246,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,198898,248623,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,21,,,284592,
LightningTowerUpgrades_33,33,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:627072,1566720,,112,658141,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,219544,274430,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,21,,,346748,
LightningTowerUpgrades_34,34,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:667968,1664640,,118,726462,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,242332,302915,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,22,,,422496,
LightningTowerUpgrades_35,35,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:708864,1762560,,124,801875,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,267481,334351,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,22,,,514700,
LightningTowerUpgrades_36,36,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:749760,1762560,,130,885119,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,295245,369056,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,23,,,627120,
LightningTowerUpgrades_37,37,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:790656,1762560,,136,977004,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,325891,407364,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,23,,,764100,
LightningTowerUpgrades_38,38,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:831552,1762560,,142,1078427,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,359716,449645,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,24,,,930944,
LightningTowerUpgrades_39,39,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:872448,1762560,,145,1190380,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,397056,496320,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,24,,,1134248,
LightningTowerUpgrades_40,40,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:913344,1762560,,151,1313954,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,438270,547837,0,0,,,,,experience:33600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,25,,,1381920,
LightningTowerUpgrades_41,41,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:954240,2290604,,157,1450357,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,483762,604703,0,0,,,,,experience:35349,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,25,,,1683672,
LightningTowerUpgrades_42,42,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:995136,2743903,,163,1600920,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,533976,667470,0,0,,,,,experience:42345,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,26,,,2051456,
LightningTowerUpgrades_43,43,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1036032,3197201,,169,1767114,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,589403,736754,0,0,,,,,experience:49340,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,26,,,2499420,
LightningTowerUpgrades_44,44,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1076928,3650500,,175,1950560,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,650585,813232,0,0,,,,,experience:56335,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,27,,,3045312,
LightningTowerUpgrades_45,45,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1117824,4103799,,181,2153050,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,718118,897647,0,0,,,,,experience:63331,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,27,,,3710280,
LightningTowerUpgrades_46,46,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1158720,4177339,,187,2376560,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,792663,990829,0,0,,,,,experience:70326,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,28,,,4520592,
LightningTowerUpgrades_47,47,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1199616,4314507,,193,2623276,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,874945,1093682,0,0,,,,,experience:77321,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,28,,,4847740,
LightningTowerUpgrades_48,48,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1240512,4553079,,196,2895603,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,965770,1207212,0,0,,,,,experience:84317,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,29,,,4978760,
LightningTowerUpgrades_49,49,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1281408,4602106,,202,3196202,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1066024,1332530,0,0,,,,,experience:91312,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,29,,,5109780,
LightningTowerUpgrades_50,50,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1322304,4777719,,208,3528005,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1176687,1470858,0,0,,,,,experience:98307,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,30,,,5240800,
LightningTowerUpgrades_51,51,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1342752,5000000,,211,3894256,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1298839,1623548,0,0,,,,,experience:101805,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,30,,,5494000,
LightningTowerUpgrades_52,52,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1363200,5000000,,214,4298527,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1433670,1792087,0,0,,,,,experience:105303,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,30,,,6128640,
LightningTowerUpgrades_53,53,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1383648,5000000,,217,4744767,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1582498,1978123,0,0,,,,,experience:106000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,31,,,6787120,
LightningTowerUpgrades_54,54,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1404096,5000000,,220,5237333,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1746779,2183473,0,0,,,,,experience:106000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,32,,,7469440,
LightningTowerUpgrades_55,55,0,bld_lightning_level05-5.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:1424544,5000000,,223,5781033,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1928116,2410145,0,0,,,,,experience:106000,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,33,,,8175600,
