identifier,runeName,runeType,runeSlot,availableTypes,availableDragons,rarityIndex,abilities,abilityOperators,abilityTexts,abilityUnits,enhanceValues1,enhanceValues2,enhanceCosts,aura,icon,isTutorialRune,h
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTowerEvent,Common Storm Attack Glyph,monument,event,,,0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.01,,500,attackRuneStorm,rune_stormTower_utility_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchet,Common Trebuchet Attack,monument,normal,,,0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.01,,500,attackRuneTrebuchet,rune_trebuchet_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchetEvent,Common Trebuchet Attack Glyph,monument,event,,,0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.01,,500,attackRuneTrebuchet,rune_trebuchet_damage_01_event.png,,
Common_ballistaPoisonAffectDamageToDragonModifier,Common Weakening,monument,normal,,,0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.021|0.027,,500,monumentPoison,rune_ballista_debuffDefense_01.png,,
Common_ballistaPoisonAffectDragonDamageModifier,Common Enervating,monument,normal,,,0,ballistaPoisonAffectDragonDamageModifier,+,Poison Reduces Dragon Damage,%,0.021|0.027,,500,monumentPoison,rune_ballista_debuffAttack_01.png,,
Common_battlecryAttackModifier,Common Warrior Attack,dragon,normal,,,0,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.01,,500,attackWhelp,rune_warrior_damage_01.png,,
Common_battlecryAttackModifierEvent,Common Warrior Attack Glyph,dragon,event,,,0,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.01,,500,attackWhelp,rune_warrior_damage_01_event.png,,
Common_buildingProductionModifier_hogFarm,Common Food Production,monument,normal,,,0,buildingProductionModifier_hogFarm,+,Increase Food Production production,%,0.008|0.011,,500,monumentHealing,rune_farm_production_01.png,,
Common_buildingProductionModifier_lumberMill,Common Lumber Production,monument,normal,,,0,buildingProductionModifier_woodFarm,+,Increase Lumber Production production,%,0.008|0.011,,500,monumentHealing,rune_mill_production_01.png,,
Common_buildingSpecialAttackModifier_archerTower,Common Archer Striker,monument,normal,,,0,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09,,500,monumentArcher,rune_archer_damage_01.png,,
Common_buildingSpecialAttackModifier_archerTowerEvent,Common Archer Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09,,500,monumentArcher,rune_ballista_projectiles_utility_01.png,,
Common_buildingSpecialAttackModifier_ballista,Common Poison Striker,monument,normal,,,0,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.07|0.09,,500,monumentPoison,rune_ballista_damage_01.png,,
Common_buildingSpecialAttackModifier_ballistaEvent,Common Poison Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.07|0.09,,500,monumentPoison,rune_ballista_projectiles_utility_01.png,,
Common_buildingSpecialAttackModifier_cannonTower,Common Cannon Striker,monument,normal,,,0,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09,,500,monumentCannon,rune_cannon_damage_01.png,,
Common_buildingSpecialAttackModifier_cannonTowerEvent,Common Cannon Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09,,500,monumentCannon,rune_ballista_projectiles_utility_01.png,,
Common_buildingSpecialAttackModifier_hogFarm,Common Healing Striker,monument,normal,,,0,buildingSpecialAttackModifier_hogFarm,+,Sheep Farm Super Shot Heal,%,0.07|0.09,,500,monumentHealing,rune_farm_protection_01.png,,
Common_buildingSpecialAttackModifier_hogFarmEvent,Common Healing Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_hogFarm,+,Sheep Farm Super Shot Heal,%,0.07|0.09,,500,monumentHealing,rune_buildTime_utility_01.png,,
Common_buildingSpecialAttackModifier_lightningTower,Common Lightning Striker,monument,normal,,,0,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09,,500,monumentLightning,rune_lightning_damage_01.png,,
Common_buildingSpecialAttackModifier_lightningTowerEvent,Common Lightning Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09,,500,monumentLightning,rune_rebuchet_projectiles_damage_01.png,,
Common_buildingSpecialAttackModifier_lumberMill,Common Healing Striker,monument,normal,,,0,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Heal,%,0.07|0.09,,500,monumentHealing,rune_mill_protection_01.png,,
Common_buildingSpecialAttackModifier_lumberMillEvent,Common Healing Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Heal,%,0.07|0.09,,500,monumentHealing,rune_mill_protection_01_event.png,,
Common_buildingSpecialAttackModifier_mageBlueTower,Common Blue Mage HP,monument,normal,,,0,buildingHPModifier_mageBlueTower,+,Increase Blue Mage Tower HP,%,0.005|0.01,,500,monumentMystic,rune_blueMage_utility_01.png,,
Common_buildingSpecialAttackModifier_mageBlueTowerEvent,Common Blue Mage HP Glyph,monument,event,,,0,buildingHPModifier_mageBlueTower,+,Increase Blue Mage Tower HP,%,0.005|0.01,,500,monumentMystic,rune_red_blueMage_utility_01.png,,
Common_buildingSpecialAttackModifier_mageTower,Common Red Mage HP,monument,normal,,,0,buildingHPModifier_mageTower,+,Increase Red Mage Tower HP,%,0.005|0.01,,500,monumentArcane,rune_redMage_utility_01.png,,
Common_buildingSpecialAttackModifier_mageTowerEvent,Common Red Mage HP Glyph,monument,event,,,0,buildingHPModifier_mageTower,+,Increase Red Mage Tower HP,%,0.005|0.01,,500,monumentArcane,rune_red_blueMage_utility_01.png,,
Common_buildingSpecialAttackModifier_stormTower,Common Storm Striker,monument,normal,,,0,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.005|0.01,,500,monumentStorm,rune_stormTower_utility_01.png,,
Common_buildingSpecialAttackModifier_stormTowerEvent,Common Storm Striker Glyph,monument,event,,,0,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.005|0.01,,500,monumentStorm,rune_buildTime_utility_01.png,,
Common_buildingSpecialAttackModifier_trebuchet,Common Trebuchet Striker,monument,normal,,,0,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09,,500,monumentTrebuchet,rune_trebuchet_damage_01.png,,
Common_buildingSpecialAttackModifier_trebuchetEvent,Common Trebuchet Striker Glyph,monument,event,,,0,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09,,500,monumentTrebuchet,rune_rebuchet_projectiles_damage_01.png,,
Common_chaosAttackModifier,Common Chaos,dragon,normal,,,0,spellAttackModifier_chaos,+,Chaos Damage,%,0.14|0.18,,500,attackWhelp,rune_frenzy_duration_01.png,,
Common_chaosAttackModifierEvent,Common Chaos Glyph,dragon,event,,,0,spellAttackModifier_chaos,+,Chaos Damage,%,0.14|0.18,,500,attackWhelp,rune_cloak_EXP_duration_01.png,,
Common_chargedShieldDamageAbsorptionIncreaseModifier,Common Warrior HP,dragon,normal,,,0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,,500,defenseWhelp,rune_warrior_HP_01.png,,
Common_chargedShieldDamageAbsorptionIncreaseModifierEvent,Common Warrior HP Glyph,dragon,event,,,0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,,500,defenseWhelp,rune_warrior_HP_01_event.png,,
Common_cloakDurationModifier,Common Cloak,dragon,normal,,,0,spellDurationModifier_cloak,+,Cloak Duration,s,0.28|0.36,,500,defenseWhelp,rune_cloak_duration_01.png,,
Common_cloakDurationModifierEvent,Common Cloak Glyph,dragon,event,,,0,spellDurationModifier_cloak,+,Cloak Duration,s,0.28|0.36,,500,defenseWhelp,rune_cloak_EXP_duration_01.png,,
Common_dodgeDurationModifier,Common Evasion,dragon,normal,,,0,spellDurationModifier_dodge,+,Evasion Duration,s,0.14|0.18,,500,defenseWhelp,rune_windWall_duration_01.png,,
Common_dodgeDurationModifierEvent,Common Evasion Glyph,dragon,event,,,0,spellDurationModifier_dodge,+,Evasion Duration,s,0.14|0.18,,500,defenseWhelp,rune_windWall_duration_01_event.png,,
Common_dragonDoubleExplosiveShieldModifier,Common Warrior HP,dragon,normal,,,0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,,500,defenseWhelp,rune_warrior_HP_01.png,,
Common_dragonRageGenerationModifier,Common Rage,dragon,normal,,,0,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027,,500,specialWhelp,rune_rage_strength_01.png,,
Common_dragonRageGenerationModifierEvent,Common Rage Glyph,dragon,event,,,0,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027,,500,specialWhelp,rune_rage_strength_01_event.png,,
Common_dragonXPGainModifier,Common Wisdom,dragon,normal,,,0,dragonXPGainModifier,+,Experience Gain Increase,%,0.032|0.041,,500,specialWhelp,rune_EXP_utility_01.png,,
Common_freezeSpellDurationModifier,Common Freeze,dragon,normal,,,0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.14|0.18,,500,attackWhelp,rune_freeze_duration_01.png,,
Common_freezeSpellDurationModifierEvent,Common Freeze Glyph,dragon,event,,,0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.14|0.18,,500,attackWhelp,rune_freeze_duration_01_event.png,,
Common_frenzySpellAttackModifier,Common Hunter Attack,dragon,normal,,,0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.005|0.01,,500,attackWhelp,rune_hunter_damage_01.png,,
Common_frenzySpellAttackModifierEvent,Common Hunter Attack Glyph,dragon,event,,,0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.005|0.01,,500,attackWhelp,rune_hunter_damage_01_event.png,,
Common_healDragonAttackModifier,Common Warrior HP,dragon,normal,,,0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,,500,defenseWhelp,rune_warrior_HP_01.png,,
Common_healDragonDurationMultiplierModifier,Common Rejuvenate,dragon,normal,,,0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.24|0.32,,500,defenseWhelp,rune_heal_utility_01.png,,
Common_healDragonDurationMultiplierModifierEvent,Common Rejuvenate Glyph,dragon,event,,,0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.24|0.32,,500,defenseWhelp,rune_EXP_heal_utility_01.png,,
Common_healDragonReduceDamageModifier,Common Tough Healing,dragon,normal,,,0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.028|0.036,,500,defenseWhelp,rune_rejuvenate_defense_01.png,,
Common_healingMarkIncreaseModifierKey,Common Healing Mark,dragon,normal,,,0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.25|0.32,,500,defenseWhelp,rune_healingMark_strength_01.png,,
Common_healingMarkIncreaseModifierKeyEvent,Common Healing Mark Glyph,dragon,event,,,0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.25|0.32,,500,defenseWhelp,rune_EXP_heal_utility_01.png,,
Common_hurricaneDurationModifier,Common Wind Wall,dragon,normal,,,0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.14|0.18,,500,defenseWhelp,rune_windWall_duration_01.png,,
Common_hurricaneDurationModifierEvent,Common Wind Wall Glyph,dragon,event,,,0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.14|0.18,,500,defenseWhelp,rune_windWall_EXP_duration_01.png,,
Common_iceShockSpellDurationModifier,Common Ice Shock,dragon,normal,,,0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.14|0.18,,500,attackWhelp,rune_freeze_duration_01.png,,
Common_iceShockSpellDurationModifierEvent,Common Ice Shock Glyph,dragon,event,,,0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.14|0.18,,500,attackWhelp,rune_freeze_duration_01_event.png,,
Common_invertDurationModifier,Common Reverse Projectiles,dragon,normal,,,0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.14|0.18,,500,defenseWhelp,rune_invert_duration_01.png,,
Common_invertDurationModifierEvent,Common Reverse Projectiles Glyph,dragon,event,,,0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.14|0.18,,500,defenseWhelp,rune_lightningChains_EXP_duration_01.png,,
Common_invincibleSpellDurationModifier,Common Invincibility,dragon,normal,,,0,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.14|0.18,,500,defenseWhelp,rune_invincibility_duration_01.png,,
Common_invincibleSpellDurationModifierEvent,Common Invincibility Glyph,dragon,event,,,0,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.14|0.18,,500,defenseWhelp,rune_cloak_EXP_duration_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_archerTower,Common Archer Resist,dragon,normal,,,0,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_piercing_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_archerTowerEvent,Common Archer Resist Glyph,dragon,event,,,0,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_piercing_defense_01_event.png,,
Common_resistAbilityIncreaseModifierKeyFormat_ballista,Common Poison Resist,dragon,normal,,,0,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.013|0.017,,500,defenseWhelp,rune_piercing_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_ballistaEvent,Common Poison Resist Glyph,dragon,event,,,0,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.013|0.017,,500,defenseWhelp,rune_piercing_defense_01_event.png,,
Common_resistAbilityIncreaseModifierKeyFormat_cannonTower,Common Cannon Resist,dragon,normal,,,0,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_blunt_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_cannonTowerEvent,Common Cannon Resist Glyph,dragon,event,,,0,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_EXP_heal_utility_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_lightningTower,Common Lightning Resist,dragon,normal,,,0,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_elemental_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_lightningTowerEvent,Common Lightning Resist Glyph,dragon,event,,,0,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_cloak_EXP_duration_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_stormTower,Common Storm Resist,dragon,normal,,,0,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_elemental_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_stormTowerEvent,Common Storm Resist Glyph,dragon,event,,,0,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.013|0.017,,500,defenseWhelp,rune_elemental_defense_01_event.png,,
Common_resistAbilityIncreaseModifierKeyFormat_trebuchet,Common Trebuchet Resist,dragon,normal,,,0,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.013|0.017,,500,defenseWhelp,rune_blunt_defense_01.png,,
Common_resistAbilityIncreaseModifierKeyFormat_trebuchetEvent,Common Trebuchet Resist Glyph,dragon,event,,,0,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.013|0.017,,500,defenseWhelp,rune_red_blueMage_utility_01.png,,
Common_reverseDurationModifier,Common Invert,dragon,normal,,,0,spellDurationModifier_invertSpellReverse,+,Invert Duration,s,0.14|0.18,,500,defenseWhelp,rune_invert_duration_01.png,,
Common_reverseDurationModifierEvent,Common Invert Glyph,dragon,event,,,0,spellDurationModifier_invertSpellReverse,+,Invert Duration,s,0.14|0.18,,500,defenseWhelp,rune_lightningChains_EXP_duration_01.png,,
attackGlyph1,Attack Dragon Glyph,dragon,event,,,3,dragonRageGenerationModifier|resistAbilityIncreaseModifierKeyFormat_cannon,+|+,Dragon Rage|Cannon Resist,%|%,0.1|0.11|0.12|0.13|0.14,0.2|0.21|0.22|0.23|0.24,100|1000|2000|5000,attackWhelp,rune_EXP_heal_utility_02.png,,
defenseTowerGlyph1,Defense Tower Glyph 1,monument,event,,,3,buildingSpecialAttackModifier_cannonTower,+,Red and Blue Mage rage drain,%,0.1|0.11|0.12|0.13|0.14,,10|100|200|500,archerNoneDamage,rune_red_blueMage_utility_02.png,,
Rare_AOESpellDamageIncreaseModifierKey,Rare Fireball,dragon,normal,,,3,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104,,2500|4100,attackWhelp,rune_fireball_strength_02.png,,
Rare_AOESpellDamageIncreaseModifierKeyEvent,Rare Fireball Glyph,dragon,event,,,3,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104,,2500|4100,attackWhelp,rune_windWall_EXP_duration_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTower,Rare Archer Attack,monument,normal,,,3,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneArcher,rune_archer_projectiles_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTowerEvent,Rare Archer Attack Glyph,monument,event,,,3,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneArcher,rune_ballista_projectiles_utility_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballista,Rare Ballista Attack,monument,normal,,,3,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRunePoison,rune_ballista_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballistaEvent,Rare Ballista Attack Glyph,monument,event,,,3,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRunePoison,rune_ballista_damage_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTower,Rare Cannon Attack,monument,normal,,,3,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneCannon,rune_cannon_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTowerEvent,Rare Cannon Attack Glyph,monument,event,,,3,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneCannon,rune_cannon_damage_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTower,Rare Lightning Attack,monument,normal,,,3,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneLightning,rune_lightning_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTowerEvent,Rare Lightning Attack Glyph,monument,event,,,3,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneLightning,rune_lightning_damage_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTower,Rare Storm Attack,monument,normal,,,3,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneStorm,rune_stormTower_utility_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTowerEvent,Rare Storm Attack Glyph,monument,event,,,3,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneStorm,rune_stormTower_utility_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchet,Rare Trebuchet Attack,monument,normal,,,3,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneTrebuchet,rune_trebuchet_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchetEvent,Rare Trebuchet Attack Glyph,monument,event,,,3,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.009|0.0125,,2500|4100,attackRuneTrebuchet,rune_trebuchet_damage_02_event.png,,
Rare_ballistaPoisonAffectDamageToDragonModifier,Rare Weakening,monument,normal,,,3,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.027|0.033|0.039,,2500|4090,monumentPoison,rune_ballista_debuffDefense_02.png,,
Rare_ballistaPoisonAffectDragonDamageModifier,Rare Enervating,monument,normal,,,3,ballistaPoisonAffectDragonDamageModifier,-,Poison Reduces Dragon Damage,%,0.027|0.033|0.039,,2500|4090,monumentPoison,rune_ballista_debuffAttack_02.png,,
Rare_battlecryAttackModifier,Rare Warrior Attack,dragon,normal,,,3,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.009|0.0125,,2500|4100,attackWhelp,rune_warrior_damage_02.png,,
Rare_battlecryAttackModifierEvent,Rare Warrior Attack Glyph,dragon,event,,,3,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.009|0.0125,,2500|4100,attackWhelp,rune_warrior_damage_02_event.png,,
Rare_buildingProductionModifier_hogFarm,Rare Food Production,monument,normal,,,3,buildingProductionModifier_hogFarm,+,Increase Food Production production,%,0.011|0.013|0.016,,2500|4090,monumentHealing,rune_farm_production_02.png,,
Rare_buildingProductionModifier_lumberMill,Rare Lumber Production,monument,normal,,,3,buildingProductionModifier_woodFarm,+,Increase Lumber Production production,%,0.011|0.013|0.016,,2500|4090,monumentHealing,rune_mill_production_02.png,,
Rare_buildingSpecialAttackModifier_archerTower,Rare Archer Striker,monument,normal,,,3,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.09|0.11|0.13,,2500|4100,monumentArcher,rune_archer_damage_02.png,,
Rare_buildingSpecialAttackModifier_archerTowerEvent,Rare Archer Striker Glyph,monument,event,,,3,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.09|0.11|0.13,,2500|4100,monumentArcher,rune_ballista_projectiles_utility_02.png,,
Rare_buildingSpecialAttackModifier_ballista,Rare Poison Striker,monument,normal,,,3,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.09|0.11|0.13,,2500|4100,monumentPoison,rune_ballista_damage_02.png,,
Rare_buildingSpecialAttackModifier_ballistaEvent,Rare Poison Striker Glyph,monument,event,,,3,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.09|0.11|0.13,,2500|4100,monumentPoison,rune_ballista_projectiles_utility_02.png,,
