identifier,craftingCost,craftingDuration,riderGearDistribution,h
String,Map<String:Integer>,Integer,Map<String:Integer>,String
gearPull_37,cmCrystalice:3000|cmCrystalfire:2240|craftingScroll:25,10800,S7-HEAD-R2-A:50|S7-HEAD-R3-A:30|S7-HEAD-R4-A:15|S7-HEAD-R7-A:5,
gearPull_38,cmCrystalice:3000|cmCrystalearth:2240|craftingScroll:25,10800,S8-HEAD-R2-A:50|S8-HEAD-R3-A:30|S8-HEAD-R4-A:15|S8-HEAD-R7-A:5,
gearPull_39,cmCrystalwind:3000|cmCrystalearth:2240|craftingScroll:25,10800,S9-HEAD-R2-A:50|S9-HEAD-R3-A:30|S9-HEAD-R4-A:15|S9-HEAD-R7-A:5,
gearPull_40,cmCrystalwind:3000|cmCrystalfire:2240|craftingScroll:25,10800,S10-HEAD-R2-A:50|S10-HEAD-R3-A:30|S10-HEAD-R4-A:15|S10-HEAD-R7-A:5,
gearPull_41,cmCrystaldark:3000|cmCrystalfire:2240|craftingScroll:25,10800,S1-PANTS-R2-A:50|S1-PANTS-R3-A:30|S1-PANTS-R4-A:15|S1-PANTS-R7-A:5,
gearPull_42,cmCrystaldark:3000|cmCrystalwind:2240|craftingScroll:25,10800,S2-PANTS-R2-A:50|S2-PANTS-R3-A:30|S2-PANTS-R4-A:15|S2-PANTS-R7-A:5,
gearPull_43,cmCrystalearth:3000|cmCrystalice:2240|craftingScroll:25,10800,S3-PANTS-R2-A:50|S3-PANTS-R3-A:30|S3-PANTS-R4-A:15|S3-PANTS-R7-A:5,
gearPull_44,cmCrystalearth:3000|cmCrystaldark:2240|craftingScroll:25,10800,S4-PANTS-R2-A:50|S4-PANTS-R3-A:30|S4-PANTS-R4-A:15|S4-PANTS-R7-A:5,
gearPull_45,cmCrystalfire:3000|cmCrystalwind:2240|craftingScroll:25,10800,S5-PANTS-R2-A:50|S5-PANTS-R3-A:30|S5-PANTS-R4-A:15|S5-PANTS-R7-A:5,
gearPull_46,cmCrystalfire:3000|cmCrystalearth:2240|craftingScroll:25,10800,S6-PANTS-R2-A:50|S6-PANTS-R3-A:30|S6-PANTS-R4-A:15|S6-PANTS-R7-A:5,
gearPull_47,cmCrystalice:3000|cmCrystaldark:2240|craftingScroll:25,10800,S7-PANTS-R2-A:50|S7-PANTS-R3-A:30|S7-PANTS-R4-A:15|S7-PANTS-R7-A:5,
gearPull_48,cmCrystalice:3000|cmCrystalfire:2240|craftingScroll:25,10800,S8-PANTS-R2-A:50|S8-PANTS-R3-A:30|S8-PANTS-R4-A:15|S8-PANTS-R7-A:5,
gearPull_49,cmCrystalwind:3000|cmCrystalearth:2240|craftingScroll:25,10800,S9-PANTS-R2-A:50|S9-PANTS-R3-A:30|S9-PANTS-R4-A:15|S9-PANTS-R7-A:5,
gearPull_50,cmCrystalwind:3000|cmCrystalice:2240|craftingScroll:25,10800,S10-PANTS-R2-A:50|S10-PANTS-R3-A:30|S10-PANTS-R4-A:15|S10-PANTS-R7-A:5,
gearPull_51,cmCrystaldark:3000|cmCrystalice:2240|craftingScroll:150,10800,S1-RINGS-R2-B:50|S1-RINGS-R3-B:30|S1-RINGS-R4-B:15|S1-RINGS-R7-B:5,
gearPull_52,cmCrystalearth:3000|cmCrystalice:2240|craftingScroll:150,10800,S3-RINGS-R2-B:50|S3-RINGS-R3-B:30|S3-RINGS-R4-B:15|S3-RINGS-R7-B:5,
gearPull_53,cmCrystalfire:3000|cmCrystalwind:2240|craftingScroll:150,10800,S5-RINGS-R2-B:50|S5-RINGS-R3-B:30|S5-RINGS-R4-B:15|S5-RINGS-R7-B:5,
gearPull_54,cmCrystalice:3000|cmCrystaldark:2240|craftingScroll:150,10800,S7-RINGS-R2-B:50|S7-RINGS-R3-B:30|S7-RINGS-R4-B:15|S7-RINGS-R7-B:5,
gearPull_55,cmCrystalwind:3000|cmCrystalfire:2240|craftingScroll:150,10800,S9-RINGS-R2-B:50|S9-RINGS-R3-B:30|S9-RINGS-R4-B:15|S9-RINGS-R7-B:5,
gearPull_56,cmCrystaldark:3000|cmCrystalfire:2240|craftingScroll:150,10800,S1-RINGS-R2-A:50|S1-RINGS-R3-A:30|S1-RINGS-R4-A:15|S1-RINGS-R7-A:5,
gearPull_57,cmCrystaldark:3000|cmCrystalwind:2240|craftingScroll:150,10800,S2-RINGS-R2-A:50|S2-RINGS-R3-A:30|S2-RINGS-R4-A:15|S2-RINGS-R7-A:5,
gearPull_58,cmCrystalearth:3000|cmCrystalice:2240|craftingScroll:150,10800,S3-RINGS-R2-A:50|S3-RINGS-R3-A:30|S3-RINGS-R4-A:15|S3-RINGS-R7-A:5,
gearPull_59,cmCrystalearth:3000|cmCrystaldark:2240|craftingScroll:150,10800,S4-RINGS-R2-A:50|S4-RINGS-R3-A:30|S4-RINGS-R4-A:15|S4-RINGS-R7-A:5,
gearPull_60,cmCrystalfire:3000|cmCrystaldark:2240|craftingScroll:150,10800,S5-RINGS-R2-A:50|S5-RINGS-R3-A:30|S5-RINGS-R4-A:15|S5-RINGS-R7-A:5,
gearPull_61,cmCrystalfire:3000|cmCrystalearth:2240|craftingScroll:150,10800,S6-RINGS-R2-A:50|S6-RINGS-R3-A:30|S6-RINGS-R4-A:15|S6-RINGS-R7-A:5,
gearPull_62,cmCrystalice:3000|cmCrystalearth:2240|craftingScroll:150,10800,S7-RINGS-R2-A:50|S7-RINGS-R3-A:30|S7-RINGS-R4-A:15|S7-RINGS-R7-A:5,
gearPull_63,cmCrystalice:3000|cmCrystalfire:2240|craftingScroll:150,10800,S8-RINGS-R2-A:50|S8-RINGS-R3-A:30|S8-RINGS-R4-A:15|S8-RINGS-R7-A:5,
gearPull_64,cmCrystalwind:3000|cmCrystalearth:2240|craftingScroll:150,10800,S9-RINGS-R2-A:50|S9-RINGS-R3-A:30|S9-RINGS-R4-A:15|S9-RINGS-R7-A:5,
gearPull_65,cmCrystalwind:3000|cmCrystalice:2240|craftingScroll:150,10800,S10-RINGS-R2-A:50|S10-RINGS-R3-A:30|S10-RINGS-R4-A:15|S10-RINGS-R7-A:5,
gearPull_66,cmCrystaldark:3000|cmCrystalwind:2240|craftingScroll:300,10800,S1-SHIELD-R2-A:50|S1-SHIELD-R3-A:30|S1-SHIELD-R4-A:15|S1-SHIELD-R7-A:5,
gearPull_67,cmCrystaldark:3000|cmCrystalearth:2240|craftingScroll:300,10800,S2-SHIELD-R2-A:50|S2-SHIELD-R3-A:30|S2-SHIELD-R4-A:15|S2-SHIELD-R7-A:5,
gearPull_68,cmCrystalearth:3000|cmCrystaldark:2240|craftingScroll:300,10800,S3-SHIELD-R2-A:50|S3-SHIELD-R3-A:30|S3-SHIELD-R4-A:15|S3-SHIELD-R7-A:5,
gearPull_69,cmCrystalearth:3000|cmCrystalfire:2240|craftingScroll:300,10800,S4-SHIELD-R2-A:50|S4-SHIELD-R3-A:30|S4-SHIELD-R4-A:15|S4-SHIELD-R7-A:5,
gearPull_70,cmCrystalfire:3000|cmCrystalice:2240|craftingScroll:300,10800,S5-SHIELD-R2-A:50|S5-SHIELD-R3-A:30|S5-SHIELD-R4-A:15|S5-SHIELD-R7-A:5,
gearPull_71,cmCrystalfire:3000|cmCrystalice:2240|craftingScroll:300,10800,S6-SHIELD-R2-A:50|S6-SHIELD-R3-A:30|S6-SHIELD-R4-A:15|S6-SHIELD-R7-A:5,
gearPull_72,cmCrystalice:3000|cmCrystalwind:2240|craftingScroll:300,10800,S7-SHIELD-R2-A:50|S7-SHIELD-R3-A:30|S7-SHIELD-R4-A:15|S7-SHIELD-R7-A:5,
gearPull_73,cmCrystalice:3000|cmCrystalwind:2240|craftingScroll:300,10800,S8-SHIELD-R2-A:50|S8-SHIELD-R3-A:30|S8-SHIELD-R4-A:15|S8-SHIELD-R7-A:5,
gearPull_74,cmCrystalwind:3000|cmCrystalice:2240|craftingScroll:300,10800,S9-SHIELD-R2-A:50|S9-SHIELD-R3-A:30|S9-SHIELD-R4-A:15|S9-SHIELD-R7-A:5,
gearPull_75,cmCrystalwind:3000|cmCrystaldark:2240|craftingScroll:300,10800,S10-SHIELD-R2-A:50|S10-SHIELD-R3-A:30|S10-SHIELD-R4-A:15|S10-SHIELD-R7-A:5,
gearPull_76,cmCrystaldark:3000|cmCrystalwind:2240|craftingScroll:300,10800,S1-WEAPONS-R2-A:50|S1-WEAPONS-R3-A:30|S1-WEAPONS-R4-A:15|S1-WEAPONS-R7-A:5,
gearPull_77,cmCrystaldark:3000|cmCrystalearth:2240|craftingScroll:300,10800,S1-WEAPONS-R2-B:50|S1-WEAPONS-R3-B:30|S1-WEAPONS-R4-B:15|S1-WEAPONS-R7-B:5,
gearPull_78,cmCrystaldark:3000|cmCrystalearth:2240|craftingScroll:300,10800,S2-WEAPONS-R2-A:50|S2-WEAPONS-R3-A:30|S2-WEAPONS-R4-A:15|S2-WEAPONS-R7-A:5,
gearPull_79,cmCrystalearth:3000|cmCrystaldark:2240|craftingScroll:300,10800,S3-WEAPONS-R2-A:50|S3-WEAPONS-R3-A:30|S3-WEAPONS-R4-A:15|S3-WEAPONS-R7-A:5,
gearPull_80,cmCrystalearth:3000|cmCrystalfire:2240|craftingScroll:300,10800,S3-WEAPONS-R2-B:50|S3-WEAPONS-R3-B:30|S3-WEAPONS-R4-B:15|S3-WEAPONS-R7-B:5,
gearPull_81,cmCrystalearth:3000|cmCrystalfire:2240|craftingScroll:300,10800,S4-WEAPONS-R2-A:50|S4-WEAPONS-R3-A:30|S4-WEAPONS-R4-A:15|S4-WEAPONS-R7-A:5,
gearPull_82,cmCrystalfire:3000|cmCrystalearth:2240|craftingScroll:300,10800,S5-WEAPONS-R2-A:50|S5-WEAPONS-R3-A:30|S5-WEAPONS-R4-A:15|S5-WEAPONS-R7-A:5,
gearPull_83,cmCrystalfire:3000|cmCrystalice:2240|craftingScroll:300,10800,S5-WEAPONS-R2-B:50|S5-WEAPONS-R3-B:30|S5-WEAPONS-R4-B:15|S5-WEAPONS-R7-B:5,
gearPull_84,cmCrystalfire:3000|cmCrystalice:2240|craftingScroll:300,10800,S6-WEAPONS-R2-A:50|S6-WEAPONS-R3-A:30|S6-WEAPONS-R4-A:15|S6-WEAPONS-R7-A:5,
gearPull_85,cmCrystalice:3000|cmCrystalfire:2240|craftingScroll:300,10800,S7-WEAPONS-R2-A:50|S7-WEAPONS-R3-A:30|S7-WEAPONS-R4-A:15|S7-WEAPONS-R7-A:5,
gearPull_86,cmCrystalice:3000|cmCrystalwind:2240|craftingScroll:300,10800,S7-WEAPONS-R2-B:50|S7-WEAPONS-R3-B:30|S7-WEAPONS-R4-B:15|S7-WEAPONS-R7-B:5,
gearPull_87,cmCrystalice:3000|cmCrystalwind:2240|craftingScroll:300,10800,S8-WEAPONS-R2-A:50|S8-WEAPONS-R3-A:30|S8-WEAPONS-R4-A:15|S8-WEAPONS-R7-A:5,
gearPull_88,cmCrystalwind:3000|cmCrystalice:2240|craftingScroll:300,10800,S9-WEAPONS-R2-A:50|S9-WEAPONS-R3-A:30|S9-WEAPONS-R4-A:15|S9-WEAPONS-R7-A:5,
gearPull_89,cmCrystalwind:3000|cmCrystaldark:2240|craftingScroll:300,10800,S9-WEAPONS-R2-B:50|S9-WEAPONS-R3-B:30|S9-WEAPONS-R4-B:15|S9-WEAPONS-R7-B:5,
gearPull_90,cmCrystalwind:3000|cmCrystaldark:2240|craftingScroll:300,10800,S10-WEAPONS-R2-A:50|S10-WEAPONS-R3-A:30|S10-WEAPONS-R4-A:15|S10-WEAPONS-R7-A:5,!@#dhnkgndbjicpccnf
