identifier,inBundle,displayName,iconFilename,rewards1,rewardDistributions1,probability1,rewards2,rewardDistributions2,probability2,rewards3,rewardDistributions3,probability3,rewards4,rewardDistributions4,probability4,rewards5,rewardDistributions5,probability5,rewards6,rewardDistributions6,probability6,rewards7,rewardDistributions7,probability7,rewards8,rewardDistributions8,probability8,rewards9,rewardDistributions9,probability9,rewards10,rewardDistributions10,probability10,rewards11,rewardDistributions11,probability11,rewards12,rewardDistributions12,probability12,h
monumentDistribution,,,,,,16,,attackMonumentSuccessConsumable:1,4,expediteConsumable0:1,,4,gemReward:10,,1,,,,,,,,,,,,,,,,,,,,,,,,,
hutDistribution,,,,,,400,,attackSuccessConsumable:1,1,expediteConsumable0:1,,1,expediteConsumable0a:1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
shipDistribution,,,,,,20,,attackSuccessConsumable:1,1,expediteConsumable0:1,,1,expediteConsumable0a:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
bridgeDistribution,,,,,,20,,attackSuccessConsumable:1,1,expediteConsumable0:1,,1,expediteConsumable0a:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
whaleDistribution,,,,,,30,,attackSuccessConsumable:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmnDrgDistribution,,,,expediteConsumable0:1,,1,,defenseSuccessConsumable:1,3,expediteConsumable0a:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rareDrgDistribution,,,,expediteConsumable0:1,,1,,defenseSuccessConsumable:1,5,expediteConsumable0a:1,,1,gemReward:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
epicDrgDistribution,,,,,defenseSuccessConsumable:1,1,gemReward:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spellPackDistribution,1,Spell Boost,icon_pack_spell_01.png,,spellConsumableDistribution:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spellConsumableDistribution,,,,,spellConsumable_1:1,1,,spellConsumable_2:1,2,,spellConsumable_3:1,3,,spellConsumable_4:1,4,,spellConsumable_5:1,3,,,,,,,,,,,,,,,,,,,,,,
spellConsumable_1,,,,aoeSpellConsumable01:1,,2,chainLightningSpellConsumable01:1,,2,frenzySpellConsumable01:1,,2,selfDestructSpellConsumable01:1,,2,summonDragonSpellConsumable01:1,,2,instantKillSpellConsumable01:1,,2,,,,,,,,,,,,,,,,,,,
spellConsumable_2,,,,dodgeSpellConsumable01:1,,2,syphonSpellConsumable01:1,,2,invertSpellConsumable01:1,,2,cloakSpellConsumable01:1,,2,healSpellConsumable01:1,,2,curePoisonSpellConsumable01:1,,2,battlecrySpellConsumable01:1,,2,stoneskinSpellConsumable01:1,,2,,,,,,,,,,,,,
spellConsumable_3,,,,hurricaneSpellConsumable01:1,,2,lockdownSpellConsumable01:1,,2,freezeSpellConsumable01:1,,2,invincibleSpellConsumable01:1,,2,healingmarkSpellConsumable01:1,,2,chargeShieldSpellConsumable01:1,,2,shortCircuitSpellConsumable01:1,,2,,,,,,,,,,,,,,,,
spellConsumable_4,,,,archerResistAbilityConsumable01:1,,2,stormResistAbilityConsumable01:1,,2,cannonResistAbilityConsumable01:1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spellConsumable_5,,,,ballistaResistAbilityConsumable01:1,,2,trebuchetResistAbilityConsumable01:1,,2,lightningResistAbilityConsumable01:1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attackPackDistribution,1,Attack Boost,icon_boost_attack_02.png,increaseAttackConsumable1:1,,10,increaseHPConsumable1:1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increaseAttackDistribution,1,+30% Dragon Atk,icon_boost_dragon_attack_01.png,increaseAttackConsumable1:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increaseHPDistribution,1,+30% Dragon HP,icon_boost_dragon_hp_01.png,increaseHPConsumable1:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defensePackDistribution,1,Tower Boost,icon_boost_attack_07.png,increaseBuildingAttackConsumable1:1,,4,increaseBuildingHPConsumable1:1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increaseBuildingAttackDistribution,1,+30% Tower Atk,icon_boost_attack_07.png,increaseBuildingAttackConsumable1:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increaseBuildingHPDistribution,1,+30% Tower HP,icon_boost_defense_06.png,increaseBuildingHPConsumable1:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expeditePackDistribution,1,12 Hr Speed Up,icon_boost_expedite_04.png,expediteConsumable4:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expediteMonumentDistribution,1,12 Hr Speed Up,icon_boost_expedite_04.png,expediteConsumable0:1,,171,expediteConsumable1:1,,20,expediteConsumable1a:1,,20,expediteConsumable2:1,,15,expediteConsumable3:1,,3,expediteConsumable5:1,,1,,,,,,,,,,,,,,,,,,,
expediteDistribution,1,12 Hr Speed Up,icon_boost_expedite_04.png,expediteConsumable0:1,,20,expediteConsumable1:1,,3,expediteConsumable2:1,,5,expediteConsumable3:1,,2,expediteConsumable0a:1,,20,expediteConsumable1a:1,,3,,,,,,,,,,,,,,,,,,,
healPackDistribution,1,Heal Potion,icon_boost_energy_02.png,healDragonConsumable:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healDragonDistribution,1,Heal Potion,icon_boost_energy_02.png,healDragonConsumable:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warPackDistribution,1,War Boost,icon_pack_spell_01.png,,defensePackDistribution:1,3,,attackPackDistribution:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defenderBoostDistribution,1,Defense Boost,icon_pack_tower_01.png,repairConsumable:1,,1,attackConsumable:1,,1,armorConsumable:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repairConsumableDistribution,1,Defense Hammer,icon_repair_01.png,repairConsumable:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attackConsumableDistribution,1,Defense Gunpowder,icon_boost_01.png,attackConsumable:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armorConsumableDistribution,1,Defense Armor,icon_armor_01.png,armorConsumable:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eliteDistribution,,Elite Account,icon_elite_account_01.png,valuePackEliteAccountReward_7Days:1,,1,valuePackEliteAccountReward_30Days:1,,1,valuePackEliteAccountReward_365Days:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rubyDistribution1,,Rubies,icon_ruby_01.png,ruby:100,,60,ruby:200,,30,ruby:500,,9,ruby:10000,,1,,,,,,,,,,,,,,,,,,,,,,,,,
rubyDistribution2,,Rubies,icon_ruby_01.png,ruby:200,,60,ruby:400,,30,ruby:1000,,9,ruby:20000,,1,,,,,,,,,,,,,,,,,,,,,,,,,
rubyDistribution3,,Rubies,icon_ruby_01.png,ruby:400,,60,ruby:800,,30,ruby:2000,,9,ruby:40000,,1,,,,,,,,,,,,,,,,,,,,,,,,,
rubyDistribution4,,Rubies,icon_ruby_01.png,ruby:800,,60,ruby:1600,,30,ruby:4000,,9,ruby:80000,,1,,,,,,,,,,,,,,,,,,,,,,,,,
rubyDistribution5,,Rubies,icon_ruby_01.png,ruby:1600,,60,ruby:3200,,30,ruby:8000,,9,ruby:160000,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AtkConsumableDistribution1,,+30% Dragon Atk,icon_boost_dragon_attack_01.png,increaseAttackConsumable1:1,,40,increaseAttackConsumable1:2,,40,increaseAttackConsumable1:5,,15,increaseAttackConsumable1:10,,5,,,,,,,,,,,,,,,,,,,,,,,,,
AtkConsumableDistribution2,,+30% Dragon Atk,icon_boost_dragon_attack_01.png,increaseAttackConsumable1:2,,40,increaseAttackConsumable1:4,,40,increaseAttackConsumable1:10,,15,increaseAttackConsumable1:20,,5,,,,,,,,,,,,,,,,,,,,,,,,,
AtkConsumableDistribution3,,+30% Dragon Atk,icon_boost_dragon_attack_01.png,increaseAttackConsumable1:4,,40,increaseAttackConsumable1:8,,40,increaseAttackConsumable1:20,,15,increaseAttackConsumable1:40,,5,,,,,,,,,,,,,,,,,,,,,,,,,
AtkConsumableDistribution4,,+30% Dragon Atk,icon_boost_dragon_attack_01.png,increaseAttackConsumable1:8,,40,increaseAttackConsumable1:16,,40,increaseAttackConsumable1:40,,15,increaseAttackConsumable1:80,,5,,,,,,,,,,,,,,,,,,,,,,,,,
AtkConsumableDistribution5,,+30% Dragon Atk,icon_boost_dragon_attack_01.png,increaseAttackConsumable1:16,,40,increaseAttackConsumable1:32,,40,increaseAttackConsumable1:80,,15,increaseAttackConsumable1:160,,5,,,,,,,,,,,,,,,,,,,,,,,,,
bullhornDistribution,,Bullhorn,bullhorn-full-rez.png,bullhorn:2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bullhornConsDistribution,,Bullhorn,bullhorn-full-rez.png,bullhornCons:2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chestMysteryPack1Distribution,,,,chestMysteryPack1DistributionRewardA:1,,29,chestMysteryPack1DistributionRewardB:1,,58,chestMysteryPack1DistributionRewardC:1,,10,chestMysteryPack1DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
chestMysteryPack2Distribution,,,,chestMysteryPack2DistributionRewardA:1,,29,chestMysteryPack2DistributionRewardB:1,,58,chestMysteryPack2DistributionRewardC:1,,10,chestMysteryPack2DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
chestMysteryPack3Distribution,,,,chestMysteryPack3DistributionRewardA:1,,29,chestMysteryPack3DistributionRewardB:1,,58,chestMysteryPack3DistributionRewardC:1,,10,chestMysteryPack3DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
chestMysteryPack4Distribution,,,,chestMysteryPack4DistributionRewardA:1,,29,chestMysteryPack4DistributionRewardB:1,,58,chestMysteryPack4DistributionRewardC:1,,10,chestMysteryPack4DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
chestMysteryPack5Distribution,,,,chestMysteryPack5DistributionRewardA:1,,29,chestMysteryPack5DistributionRewardB:1,,58,chestMysteryPack5DistributionRewardC:1,,10,chestMysteryPack5DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expediteMysteryPack1Distribution,,,,expediteMysteryPack1DistributionRewardA:1,,29,expediteMysteryPack1DistributionRewardB:1,,58,expediteMysteryPack1DistributionRewardC:1,,10,expediteMysteryPack1DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expediteMysteryPack2Distribution,,,,expediteMysteryPack2DistributionRewardA:1,,29,expediteMysteryPack2DistributionRewardB:1,,58,expediteMysteryPack2DistributionRewardC:1,,10,expediteMysteryPack2DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expediteMysteryPack3Distribution,,,,expediteMysteryPack3DistributionRewardA:1,,29,expediteMysteryPack3DistributionRewardB:1,,58,expediteMysteryPack3DistributionRewardC:1,,10,expediteMysteryPack3DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expediteMysteryPack4Distribution,,,,expediteMysteryPack4DistributionRewardA:1,,29,expediteMysteryPack4DistributionRewardB:1,,58,expediteMysteryPack4DistributionRewardC:1,,10,expediteMysteryPack4DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expediteMysteryPack5Distribution,,,,expediteMysteryPack5DistributionRewardA:1,,29,expediteMysteryPack5DistributionRewardB:1,,58,expediteMysteryPack5DistributionRewardC:1,,10,expediteMysteryPack5DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
tokensFoodConsMysteryPack1Distribution,,,,tokensFoodConsMysteryPack1DistributionRewardA:1,,29,tokensFoodConsMysteryPack1DistributionRewardB:1,,58,tokensFoodConsMysteryPack1DistributionRewardC:1,,10,tokensFoodConsMysteryPack1DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
tokensFoodConsMysteryPack2Distribution,,,,tokensFoodConsMysteryPack2DistributionRewardA:1,,29,tokensFoodConsMysteryPack2DistributionRewardB:1,,58,tokensFoodConsMysteryPack2DistributionRewardC:1,,10,tokensFoodConsMysteryPack2DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
tokensFoodConsMysteryPack3Distribution,,,,tokensFoodConsMysteryPack3DistributionRewardA:1,,29,tokensFoodConsMysteryPack3DistributionRewardB:1,,58,tokensFoodConsMysteryPack3DistributionRewardC:1,,10,tokensFoodConsMysteryPack3DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
tokensFoodConsMysteryPack4Distribution,,,,tokensFoodConsMysteryPack4DistributionRewardA:1,,29,tokensFoodConsMysteryPack4DistributionRewardB:1,,58,tokensFoodConsMysteryPack4DistributionRewardC:1,,10,tokensFoodConsMysteryPack4DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
tokensFoodConsMysteryPack5Distribution,,,,tokensFoodConsMysteryPack5DistributionRewardA:1,,29,tokensFoodConsMysteryPack5DistributionRewardB:1,,58,tokensFoodConsMysteryPack5DistributionRewardC:1,,10,tokensFoodConsMysteryPack5DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expeditesLumberConsMysteryPack1Distribution,,,,expeditesLumberConsMysteryPack1DistributionRewardA:1,,29,expeditesLumberConsMysteryPack1DistributionRewardB:1,,58,expeditesLumberConsMysteryPack1DistributionRewardC:1,,10,expeditesLumberConsMysteryPack1DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expeditesLumberConsMysteryPack2Distribution,,,,expeditesLumberConsMysteryPack2DistributionRewardA:1,,29,expeditesLumberConsMysteryPack2DistributionRewardB:1,,58,expeditesLumberConsMysteryPack2DistributionRewardC:1,,10,expeditesLumberConsMysteryPack2DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expeditesLumberConsMysteryPack3Distribution,,,,expeditesLumberConsMysteryPack3DistributionRewardA:1,,29,expeditesLumberConsMysteryPack3DistributionRewardB:1,,58,expeditesLumberConsMysteryPack3DistributionRewardC:1,,10,expeditesLumberConsMysteryPack3DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expeditesLumberConsMysteryPack4Distribution,,,,expeditesLumberConsMysteryPack4DistributionRewardA:1,,29,expeditesLumberConsMysteryPack4DistributionRewardB:1,,58,expeditesLumberConsMysteryPack4DistributionRewardC:1,,10,expeditesLumberConsMysteryPack4DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
expeditesLumberConsMysteryPack5Distribution,,,,expeditesLumberConsMysteryPack5DistributionRewardA:1,,29,expeditesLumberConsMysteryPack5DistributionRewardB:1,,58,expeditesLumberConsMysteryPack5DistributionRewardC:1,,10,expeditesLumberConsMysteryPack5DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
boostsHealingPotsMysteryPack1Distribution,,,,boostsHealingPotsMysteryPack1DistributionRewardA:1,,29,boostsHealingPotsMysteryPack1DistributionRewardB:1,,58,boostsHealingPotsMysteryPack1DistributionRewardC:1,,10,boostsHealingPotsMysteryPack1DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
boostsHealingPotsMysteryPack2Distribution,,,,boostsHealingPotsMysteryPack2DistributionRewardA:1,,29,boostsHealingPotsMysteryPack2DistributionRewardB:1,,58,boostsHealingPotsMysteryPack2DistributionRewardC:1,,10,boostsHealingPotsMysteryPack2DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
boostsHealingPotsMysteryPack3Distribution,,,,boostsHealingPotsMysteryPack3DistributionRewardA:1,,29,boostsHealingPotsMysteryPack3DistributionRewardB:1,,58,boostsHealingPotsMysteryPack3DistributionRewardC:1,,10,boostsHealingPotsMysteryPack3DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
boostsHealingPotsMysteryPack4Distribution,,,,boostsHealingPotsMysteryPack4DistributionRewardA:1,,29,boostsHealingPotsMysteryPack4DistributionRewardB:1,,58,boostsHealingPotsMysteryPack4DistributionRewardC:1,,10,boostsHealingPotsMysteryPack4DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
boostsHealingPotsMysteryPack5Distribution,,,,boostsHealingPotsMysteryPack5DistributionRewardA:1,,29,boostsHealingPotsMysteryPack5DistributionRewardB:1,,58,boostsHealingPotsMysteryPack5DistributionRewardC:1,,10,boostsHealingPotsMysteryPack5DistributionRewardD:1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CommonBonus1a,,,,ruby:15,,5,breedingToken:15,,5,foodConsumable0a:1,,3,lumberConsumable0a:1,,3,armorConsumable:1,,1,attackConsumable:1,,1,repairConsumable:1,,1,expediteConsumable0:8,,1,expediteConsumable1:5,,1,expediteConsumable1a:1,,1,,,,,,,
CommonBonus2a,,,,ruby:8,,5,breedingToken:8,,5,xpPotionConsumable0a:1,,3,expediteConsumable0a:8,,1,expediteConsumable0:4,,1,expediteConsumable1:3,,,,,,,,,,,,,,,,,,,,,
RareBonus1a,,,,ruby:30,,5,breedingToken:30,,5,foodConsumable0a:2,,3,foodConsumable0b:1,,3,lumberConsumable0a:2,,3,lumberConsumable0b:1,,3,xpPotionConsumable0a:3,,3,xpPotionConsumable0b:2,,3,xpPotionConsumable0c:1,,1,xpPotionConsumable1:1,,1,armorConsumable:1,,1,attackConsumable:1,,1,
RareBonus1b,,,,repairConsumable:1,,1,healingmarkSpellConsumable01:1,,1,curePoisonSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:1,,1,instantKillSpellConsumable01:1,,1,aoeSpellConsumable01:1,,1,battlecrySpellConsumable01:1,,1,cloakSpellConsumable01:1,,1,trebuchetResistAbilityConsumable01:1,,1,invincibleSpellConsumable01:1,,1,hurricaneSpellConsumable01:1,,1,lockdownSpellConsumable01:1,,1,
RareBonus1c,,,,summonDragonSpellConsumable01:1,,1,lightningResistAbilityConsumable01:1,,1,syphonSpellConsumable01:1,,1,selfDestructSpellConsumable01:1,,1,shortCircuitSpellConsumable01:1,,1,fullHeal:1,,1,expediteConsumable1:10,,1,expediteConsumable1a:2,,1,increaseAttack1:1,,1,increaseHP1:1,,1,increaseBuildingHP1:1,,1,increaseBuildingAttack1:1,,1,
RareBonus1d,,,,chainLightningSpellConsumable01:1,,1,chargeShieldSpellConsumable01:1,,1,dodgeSpellConsumable01:1,,1,freezeSpellConsumable01:1,,1,healSpellConsumable01:1,,1,stoneskinSpellConsumable01:1,,1,archerResistAbilityConsumable01:1,,1,cannonResistAbilityConsumable01:1,,1,stormResistAbilityConsumable01:1,,1,frenzySpellConsumable01:1,,1,,,,,,,
RareBonus2a,,,,ruby:15,,5,breedingToken:15,,5,foodConsumable0a:1,,3,lumberConsumable0a:1,,3,xpPotionConsumable0b:1,,3,armorConsumable:1,,1,attackConsumable:1,,1,repairConsumable:1,,1,expediteConsumable0:8,,1,expediteConsumable1:5,,1,expediteConsumable1a:1,,1,,,,
EpicBonus1a,,,,ruby:100,,5,breedingToken:100,,5,foodConsumable0a:5,,3,foodConsumable0b:3,,3,foodConsumable0c:1,,3,foodConsumable1:1,,3,lumberConsumable0a:5,,3,lumberConsumable0b:3,,3,lumberConsumable0c:1,,1,lumberConsumable1:1,,1,xpPotionConsumable0b:5,,1,xpPotionConsumable0c:3,,1,
EpicBonus1b,,,,xpPotionConsumable1:2,,1,xpPotionConsumable2:1,,1,armorConsumable:5,,1,attackConsumable:5,,1,repairConsumable:5,,1,healingmarkSpellConsumable01:3,,1,curePoisonSpellConsumable01:3,,1,invertSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:3,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:3,,1,
EpicBonus1c,,,,cloakSpellConsumable01:3,,1,trebuchetResistAbilityConsumable01:2,,1,invincibleSpellConsumable01:3,,1,hurricaneSpellConsumable01:3,,1,lockdownSpellConsumable01:3,,1,summonDragonSpellConsumable01:3,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:3,,1,selfDestructSpellConsumable01:3,,1,shortCircuitSpellConsumable01:3,,1,fullHeal:2,,1,expediteConsumable1a:6,,1,
EpicBonus1d,,,,increaseAttack1:3,,1,increaseHP1:3,,1,increaseBuildingHP1:3,,1,increaseBuildingAttack1:3,,1,chainLightningSpellConsumable01:3,,1,chargeShieldSpellConsumable01:3,,1,dodgeSpellConsumable01:3,,1,freezeSpellConsumable01:3,,1,healSpellConsumable01:3,,1,stoneskinSpellConsumable01:3,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,
EpicBonus1e,,,,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EpicBonus2a,,,,ruby:50,,5,breedingToken:50,,5,foodConsumable0a:3,,3,foodConsumable0b:1,,3,foodConsumable0c:1,,3,lumberConsumable0a:3,,3,lumberConsumable0b:1,,3,lumberConsumable0c:1,,3,xpPotionConsumable0b:3,,1,xpPotionConsumable0c:1,,1,xpPotionConsumable1:1,,1,armorConsumable:2,,1,
EpicBonus2b,,,,attackConsumable:2,,1,repairConsumable:2,,1,healingmarkSpellConsumable01:2,,1,curePoisonSpellConsumable01:2,,1,invertSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:1,,1,instantKillSpellConsumable01:2,,1,aoeSpellConsumable01:1,,1,battlecrySpellConsumable01:2,,1,cloakSpellConsumable01:2,,1,trebuchetResistAbilityConsumable01:1,,1,invincibleSpellConsumable01:2,,1,
EpicBonus2c,,,,hurricaneSpellConsumable01:2,,1,lockdownSpellConsumable01:2,,1,summonDragonSpellConsumable01:2,,1,lightningResistAbilityConsumable01:1,,1,syphonSpellConsumable01:2,,1,selfDestructSpellConsumable01:2,,1,shortCircuitSpellConsumable01:2,,1,fullHeal:1,,1,expediteConsumable1a:3,,1,increaseAttack1:1,,1,increaseHP1:1,,1,increaseBuildingHP1:2,,1,
EpicBonus2d,,,,increaseBuildingAttack1:2,,1,chainLightningSpellConsumable01:2,,1,chargeShieldSpellConsumable01:2,,1,dodgeSpellConsumable01:2,,1,freezeSpellConsumable01:2,,1,healSpellConsumable01:2,,1,stoneskinSpellConsumable01:2,,1,archerResistAbilityConsumable01:1,,1,cannonResistAbilityConsumable01:1,,1,stormResistAbilityConsumable01:1,,1,frenzySpellConsumable01:2,,1,,,,
EpicBonus3a,,,,ruby:35,,5,breedingToken:35,,5,foodConsumable0a:2,,3,foodConsumable0b:1,,3,lumberConsumable0a:2,,3,lumberConsumable0b:1,,3,xpPotionConsumable0a:3,,3,xpPotionConsumable0b:2,,3,xpPotionConsumable0c:1,,1,xpPotionConsumable1:1,,1,armorConsumable:2,,1,attackConsumable:2,,1,
EpicBonus3b,,,,repairConsumable:2,,1,healingmarkSpellConsumable01:1,,1,curePoisonSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:1,,1,instantKillSpellConsumable01:1,,1,aoeSpellConsumable01:1,,1,battlecrySpellConsumable01:1,,1,cloakSpellConsumable01:1,,1,trebuchetResistAbilityConsumable01:1,,1,invincibleSpellConsumable01:1,,1,hurricaneSpellConsumable01:1,,1,lockdownSpellConsumable01:1,,1,
EpicBonus3c,,,,summonDragonSpellConsumable01:1,,1,lightningResistAbilityConsumable01:1,,1,syphonSpellConsumable01:1,,1,selfDestructSpellConsumable01:1,,1,shortCircuitSpellConsumable01:1,,1,fullHeal:1,,1,expediteConsumable1:11,,1,expediteConsumable1a:2,,1,increaseAttack1:1,,1,increaseHP1:1,,1,increaseBuildingHP1:1,,1,increaseBuildingAttack1:1,,1,
EpicBonus3d,,,,chainLightningSpellConsumable01:1,,1,chargeShieldSpellConsumable01:1,,1,dodgeSpellConsumable01:1,,1,freezeSpellConsumable01:1,,1,healSpellConsumable01:1,,1,stoneskinSpellConsumable01:1,,1,archerResistAbilityConsumable01:1,,1,cannonResistAbilityConsumable01:1,,1,stormResistAbilityConsumable01:1,,1,frenzySpellConsumable01:1,,1,,,,,,,
LegendaryBonus1a,,,,ruby:200,,5,breedingToken:200,,5,foodConsumable0b:5,,3,foodConsumable0c:2,,3,foodConsumable1:1,,3,lumberConsumable0b:5,,3,lumberConsumable0c:2,,3,lumberConsumable1:1,,3,xpPotionConsumable1:3,,1,xpPotionConsumable2:2,,1,healingmarkSpellConsumable01:6,,1,curePoisonSpellConsumable01:6,,1,
