identifier,inBundle,displayName,purchaseCurrencyFormat,expandDuration,initialState,heightAttackBonus,unlockAchievement,unexpandedPodNames,sceneFile,isShownWhileLocked,islandIdentifier,battleExpansionIdentifier,attackableIslandIdentifier,clearsOnRegionExpansion,castShadows,drawDirtPatch,ignoreBuildingScaleModifier,sceneFileNodeName,validBuildingTypes,foliagePODName,isShownInBattle,h
expansion_012,1,FOREST,food:567,15034,LOCKED,0,level05,,bld_expansionSlot_version02.lvl,,island03,island03,island03,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_012,,
expansion_013,1,FOREST,food:924,25557,LOCKED,0,level05,,bld_expansionSlot_version03.lvl,,island03,island03,island03,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_013,,
expansion_014,1,FOREST,food:1008,43200,LOCKED,0,level05,,bld_expansionSlot_version02.lvl,,island03,island03,island03,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_014,,
expansion_015,1,FOREST,food:1092,43200,LOCKED,0,level06,,bld_expansionSlot_version03.lvl,,island03,island03,island03,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_015,,
expansion_016,1,FOREST,food:1470,54000,LOCKED,0,level06,,bld_expansionSlot_version01.lvl,,island04,island04,island04,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_016,,
expansion_017,1,FOREST,food:1575,54000,LOCKED,0,level06,,bld_expansionSlot_version01.lvl,,island04,island04,island04,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_017,,
expansion_018,1,FOREST,food:1680,54000,LOCKED,0,level07,,bld_expansionSlot_version03.lvl,,island04,island04,island04,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_018,,
expansion_019,1,FOREST,food:2142,64800,LOCKED,0,level07,,bld_expansionSlot_version03.lvl,,island04,island04,island04,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_019,,
expansion_020,1,FOREST,food:2268,64800,LOCKED,0,level07,,bld_expansionSlot_version02.lvl,,island04,island04,island04,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_020,,
expansion_021,1,FOREST,food:2520,64800,LOCKED,0,level08,,bld_expansionSlot_version01.lvl,,island05,island05,island05,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_021,,
expansion_022,1,FOREST,food:3696,86400,LOCKED,0,level08,,bld_expansionSlot_version01.lvl,,island05,island05,island05,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_022,,
expansion_023,1,FOREST,food:4368,86400,LOCKED,0,level09,,bld_expansionSlot_version03.lvl,,island05,island05,island05,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_023,,
expansion_024,1,FOREST,food:6300,108000,LOCKED,0,level10,,bld_expansionSlot_version03.lvl,,island05,island05,island05,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_024,,
expansion_025,1,FOREST,food:8568,129600,LOCKED,0,level11,,bld_expansionSlot_version01.lvl,,island05,island05,island05,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_025,,
expansion_026,1,FOREST,food:9702,129600,LOCKED,0,level12,,bld_expansionSlot_version02.lvl,,island06,island06,island06,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_026,,
expansion_027,1,FOREST,food:12789,151200,LOCKED,0,level13,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_027,,
expansion_028,1,FOREST,food:16296,172800,LOCKED,0,level14,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_028,,
expansion_029,1,FOREST,food:17976,172800,LOCKED,0,level15,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_029,,
expansion_030,1,FOREST,food:25200,216000,LOCKED,0,level16,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_030,,
expansion_031,1,FOREST,food:28560,259200,LOCKED,0,level17,,bld_expansionSlot_version01.lvl,,island07,island07,island07,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_031,,
expansion_032,1,FOREST,food:31920,259200,LOCKED,0,level18,,bld_expansionSlot_version02.lvl,,island07,island07,island07,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_032,,
expansion_033,1,FOREST,food:36120,302400,LOCKED,0,level19,,bld_expansionSlot_version03.lvl,,island07,island07,island07,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_033,,
expansion_034,1,FOREST,food:41160,345600,LOCKED,0,level20,,bld_expansionSlot_version02.lvl,,island07,island07,island07,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_034,,
expansion_035,1,FOREST,food:46200,345600,LOCKED,0,level21,,bld_expansionSlot_version01.lvl,,island07,island07,island07,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_035,,
expansion_036,1,FOREST,food:53760,388800,LOCKED,0,level22,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_036,,
expansion_037,1,FOREST,food:61320,432000,LOCKED,0,level23,,bld_expansionSlot_version03.lvl,,island08,island08,island08,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_037,,
expansion_038,1,FOREST,food:68880,475200,LOCKED,0,level24,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_038,,
expansion_039,1,FOREST,food:76440,518400,LOCKED,0,level25,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_039,,
expansion_040,1,FOREST,food:84000,561600,LOCKED,0,level26,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_040,,
expansion_057,1,STABLE WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_stable_level01.lvl,1,island00,,island00,,0,0,1,,STABLE,,1,
expansion_058,1,DRAGONS MOUNTAIN,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,bld_expansionSlot_castle.lvl,1,island00,,island00,,0,0,1,,BREEDING,,1,
expansion_059,1,RESEARCH WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_research_level00.lvl,1,island00,,island00,,0,0,1,,RESEARCH,,1,
expansion_060,1,VAULT WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_vault_level01.lvl,1,island00,,island00,,0,0,1,,STORAGE,,1,
expansion_061,1,INCUBATOR WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_incubator_level01.lvl,1,island00,,island00,,0,0,1,,INCUBATOR,,1,
expansion_062,1,BUILDER WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_builderHut_level00.lvl,1,island00,,island00,,0,0,1,,BUILDER,,1,
expansion_064,1,GUILD HALL WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_guildHall_level00.lvl,1,island00,,island00,,0,0,1,,GUILD,,1,
expansion_065,1,FORGE WRECKAGE,food:100|piercing:100|artillery:100,3600,EXPANDED,0,,,stru_resource_alchemyHut_level00.lvl,1,island00,,island00,,0,0,1,,FORGE,,1,
DITM_island02,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island02,island02,island02,,0,0,1,DITM_island02,MONUMENT,,,
DITM_island03,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island03,island03,island03,,0,0,1,DITM_island03,MONUMENT,,,
DITM_island04,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island04,island04,island99,,0,0,1,DITM_island04,MONUMENT,,,
DITM_island05,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island05,island05,island05,,0,0,1,DITM_island05,MONUMENT,,,
DITM_island06,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island06,island06,island99,,0,0,1,DITM_island06,MONUMENT,,,
DITM_island07,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island07,island07,island07,,0,0,1,DITM_island07,MONUMENT,,,
DITM_island08,1,,,,EXPANDED,0,,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,0,0,1,DITM_island08,MONUMENT,,,
loc_monument_waterGod,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island03,island03,island03,1,,,1,loc_monument_waterGod,SHRINE,,,
loc_rubyMine,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island02,,island02,1,,,1,loc_rubyMine,RUBYMINE,,,
loc_runeBuilding,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island00,,island00,1,,,1,loc_runeBuilding,RUNEBUILDING,,1,
loc_salvageDepot,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island00,,island99,1,,,1,loc_salvageDepot,COLLECTABLE,,0,
loc_perchGrass,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island03,island03,island03,1,,,1,loc_perchGrass,DRAGONPERCH,,,
loc_perchAutumn,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island06,island06,island06,1,,,1,loc_perchAutumn,DRAGONPERCH,,,
loc_perchVolcano,1,,,,LOCKED,0,,,bld_expansionSlot_version01.lvl,,island08,island08,island08,1,,,1,loc_perchVolcano,DRAGONPERCH,,,!@#epifmgphfgmfpagc
