identifier,prerequisiteIdentifiers,position,riderLevelRequired,riderGearIdentifier,h
Ash_Conqueror_03,Ash_Conqueror_01,2~2,1,skill-T1-31-Rider-XP,
Ash_Conqueror_04,Ash_Conqueror_02|Ash_Conqueror_03,3~4,1,skill-T2-32-Dragon-HP,
Ash_Conqueror_05,Ash_Conqueror_04,4~6,1,skill-T2-33-Dragon-TotemDebuffResist,
Ash_Conqueror_06,Ash_Conqueror_04,4~2,1,skill-T2-34-Dragon-TrainingCost,
Ash_Conqueror_07,Ash_Conqueror_05,5~6,1,skill-T2-35-Rider-XP,
Ash_Conqueror_08,Ash_Conqueror_06,5~2,1,skill-T2-36-Dragon-XP,
Ash_Conqueror_09,Ash_Conqueror_05|Ash_Conqueror_06,6~4,1,skill-T2-37-Dragon-HealingTime,
Ash_Conqueror_10,Ash_Conqueror_09,7~6,1,skill-T3-38-Dragon-ResistTower,
Ash_Conqueror_11,Ash_Conqueror_09,7~4,1,skill-T3-39-Dragon-ResistTower,
Ash_Conqueror_12,Ash_Conqueror_09,7~2,1,skill-T3-40-Dragon-ResistTower,
Ash_Conqueror_13,Ash_Conqueror_10|Ash_Conqueror_11|Ash_Conqueror_12,8~4,1,skill-T4-41-Dragon-HPClass,
Ash_Conqueror_14,Ash_Conqueror_13,9~4,1,skill-T4-42-Dragon-AttackClass,
Ash_Defender_01,,1~4,1,skill-T3-43-Tower-HP,
Ash_Defender_02,Ash_Defender_01,2~6,1,skill-T1-44-Tower-Attack,
Ash_Defender_03,Ash_Defender_01,2~2,1,skill-T1-45-Tower-HP,
Ash_Defender_04,Ash_Defender_02|Ash_Defender_03,3~4,1,skill-T2-46-ETC-ResearchSpeed,
Ash_Defender_05,Ash_Defender_04,4~6,1,skill-T2-47-Tower-HPTower,
Ash_Defender_06,Ash_Defender_04,4~2,1,skill-T2-48-Tower-HPTower,
Ash_Defender_07,Ash_Defender_05|Ash_Defender_06,5~4,1,skill-T2-49-Tower-AttackTower,
Ash_Defender_08,Ash_Defender_07,6~6,1,skill-T2-50-Tower-ConstructionUpgradeSpeed,
Ash_Defender_09,Ash_Defender_07,6~4,1,skill-T3-51-Production-ProductionAmountWood,
Ash_Defender_10,Ash_Defender_07,6~2,1,skill-T3-52-Production-ProductionAmountHog,
Ash_Defender_11,Ash_Defender_08|Ash_Defender_09|Ash_Defender_10,7~4,1,skill-T3-53-Tower-ConstructionUpgradeSpeed,
Ash_Defender_12,Ash_Defender_11,8~6,1,skill-T4-54-Tower-HPTower,
Ash_Defender_13,Ash_Defender_12,9~6,1,skill-T4-55-Tower-AttackTower,
Ash_Defender_14,Ash_Defender_11,8~2,1,skill-T4-56-Tower-HPTower,
Ash_Defender_15,Ash_Defender_14,9~2,1,skill-T4-57-Tower-AttackTower,
KharnyxMinion_01,,1~4,1,skill-T3-1-Dragon-HP-Seasons,
KharnyxMinion_02,KharnyxMinion_01,2~6,1,skill-T1-2-Dragon-XP-Seasons,
KharnyxMinion_03,KharnyxMinion_01,2~2,1,skill-T1-3-Rider-XP-Seasons,
KharnyxMinion_04,KharnyxMinion_02|KharnyxMinion_03,3~4,1,skill-T2-4-Dragon-Attack-Seasons,
KharnyxMinion_05,KharnyxMinion_04,4~6,1,skill-T2-5-Dragon-TotemDebuffResist-Seasons,
KharnyxMinion_06,KharnyxMinion_04,4~2,1,skill-T2-6-Dragon-TrainingCost-Seasons,
KharnyxMinion_07,KharnyxMinion_05,5~6,1,skill-T2-7-Rider-XP-Seasons,
KharnyxMinion_08,KharnyxMinion_06,5~2,1,skill-T2-8-Dragon-XP-Seasons,
KharnyxMinion_09,KharnyxMinion_05|KharnyxMinion_06,6~4,1,skill-T2-9-Dragon-HealingTime-Seasons,
KharnyxMinion_10,KharnyxMinion_09,7~6,1,skill-T3-10-Dragon-ResistTower-Seasons,
KharnyxMinion_11,KharnyxMinion_09,7~4,1,skill-T3-11-Dragon-ResistTower-Seasons,
KharnyxMinion_12,KharnyxMinion_09,7~2,1,skill-T3-25-Dragon-ResistTower-Seasons,
KharnyxMinion_13,KharnyxMinion_10|KharnyxMinion_11|KharnyxMinion_12,8~4,1,skill-T4-13-Dragon-HP-Seasons,
KharnyxMinion_14,KharnyxMinion_13,9~4,1,skill-T4-14-Dragon-Attack-Seasons,
SkillTree_Kayla_01,,1~4,1,skill-T3-58-Dragon-Attack,
SkillTree_Kayla_02,SkillTree_Kayla_01,2~4,1,skill-T1-59-Dragon-TotemDebuffResist,
SkillTree_Kayla_03,SkillTree_Kayla_02,3~6,1,skill-T2-60-Dragon-Attack,
SkillTree_Kayla_04,SkillTree_Kayla_02,3~4,1,skill-T2-61-Dragon-ResistTower,
SkillTree_Kayla_05,SkillTree_Kayla_02,3~2,1,skill-T2-62-Dragon-XP,
SkillTree_Kayla_06,SkillTree_Kayla_03|SkillTree_Kayla_04|SkillTree_Kayla_05,4~4,1,skill-T3-63-Dragon-ResistTower,
SkillTree_Kayla_07,SkillTree_Kayla_06,5~6,1,skill-T3-64-Dragon-TrainingCost,
SkillTree_Kayla_08,SkillTree_Kayla_06,5~4,1,skill-T3-65-Dragon-HP,
SkillTree_Kayla_09,SkillTree_Kayla_06,5~2,1,skill-T3-66-Dragon-XP,
SkillTree_Kayla_10,SkillTree_Kayla_07,6~6,1,skill-T4-67-Dragon-TrainingCost,
SkillTree_Kayla_11,SkillTree_Kayla_08,6~4,1,skill-T4-68-Dragon-HP,
SkillTree_Kayla_12,SkillTree_Kayla_09,6~2,1,skill-T4-69-Dragon-XP,
SkillTree_Tor_01,,1~4,1,skill-T3-70-Dragon-HP,
SkillTree_Tor_02,SkillTree_Tor_01,2~6,1,skill-T1-71-Dragon-Attack,
SkillTree_Tor_03,SkillTree_Tor_01,2~2,1,skill-T1-72-Dragon-HP,
SkillTree_Tor_04,SkillTree_Tor_02,3~6,1,skill-T2-73-Dragon-Attack,
SkillTree_Tor_05,SkillTree_Tor_03,3~2,1,skill-T2-74-Dragon-HP,
SkillTree_Tor_06,SkillTree_Tor_04,4~6,1,skill-T2-75-Dragon-Attack,
SkillTree_Tor_07,SkillTree_Tor_05,4~2,1,skill-T2-76-Dragon-HP,
SkillTree_Tor_08,SkillTree_Tor_06|SkillTree_Tor_07,5~4,1,skill-T3-77-Dragon-Attack,
SkillTree_Tor_09,SkillTree_Tor_08,6~6,1,skill-T4-78-Dragon-ResistTower,
SkillTree_Tor_10,SkillTree_Tor_08,6~4,1,skill-T4-79-Dragon-ResistTower,
SkillTree_Tor_11,SkillTree_Tor_08,6~2,1,skill-T4-80-Dragon-ResistTower,
SkillTree_Tor_12,SkillTree_Tor_09|SkillTree_Tor_10|SkillTree_Tor_11,7~4,1,skill-T4-81-Dragon-TotemDebuffResist,
SkillTree_Oksana_01,,1~4,1,skill-T3-82-Dragon-Attack,
SkillTree_Oksana_02,SkillTree_Oksana_01,2~4,1,skill-T1-83-Dragon-HP,
SkillTree_Oksana_03,SkillTree_Oksana_02,3~6,1,skill-T1-84-Dragon-Attack,
SkillTree_Oksana_04,SkillTree_Oksana_02,3~2,1,skill-T1-85-Dragon-HP,
SkillTree_Oksana_05,SkillTree_Oksana_03,4~6,1,skill-T2-86-Dragon-XP,
SkillTree_Oksana_06,SkillTree_Oksana_04,4~2,1,skill-T2-87-Dragon-TrainingCost,
SkillTree_Oksana_07,SkillTree_Oksana_05,5~6,1,skill-T3-88-Dragon-Attack,
SkillTree_Oksana_08,SkillTree_Oksana_06,5~2,1,skill-T3-89-Dragon-TotemDebuffResist,
SkillTree_Oksana_09,SkillTree_Oksana_07|SkillTree_Oksana_08,6~4,1,skill-T4-90-Dragon-HP,
SkillTree_Oksana_10,SkillTree_Oksana_09,7~6,1,skill-T4-91-Dragon-ResistTower,
SkillTree_Oksana_11,SkillTree_Oksana_09,7~2,1,skill-T4-92-Dragon-ResistTower,
SkillTree_Oksana_12,SkillTree_Oksana_10|SkillTree_Oksana_11,8~4,1,skill-T4-93-Dragon-Attack,
SkillTree_Terris_01,,1~4,1,skill-T3-94-Dragon-HP,
SkillTree_Terris_02,SkillTree_Terris_01,2~6,1,skill-T1-95-Dragon-XP,
SkillTree_Terris_03,SkillTree_Terris_01,2~2,1,skill-T1-96-Dragon-TrainingCost,
SkillTree_Terris_04,SkillTree_Terris_02|SkillTree_Terris_03,3~4,1,skill-T2-97-Dragon-Attack,
SkillTree_Terris_05,SkillTree_Terris_04,4~4,1,skill-T2-98-Dragon-HP,
SkillTree_Terris_06,SkillTree_Terris_05,5~6,1,skill-T3-99-Dragon-ResistTower,
SkillTree_Terris_07,SkillTree_Terris_05,5~4,1,skill-T3-100-Dragon-ResistTower,
SkillTree_Terris_08,SkillTree_Terris_05,5~2,1,skill-T3-101-Dragon-TotemDebuffResist,
SkillTree_Terris_09,SkillTree_Terris_06|SkillTree_Terris_07|SkillTree_Terris_08,6~4,1,skill-T3-102-Dragon-HP,
SkillTree_Terris_10,SkillTree_Terris_09,7~6,1,skill-T4-103-Dragon-Attack,
SkillTree_Terris_11,SkillTree_Terris_09,7~2,1,skill-T4-104-Dragon-HP,
SkillTree_Terris_12,SkillTree_Terris_10|SkillTree_Terris_11,8~4,1,skill-T4-105-Dragon-Attack,
SkillTree_Tanok_01,,1~4,1,skill-T3-106-Tower-HP,
SkillTree_Tanok_02,SkillTree_Tanok_01,2~6,1,skill-T1-107-Tower-Attack,
SkillTree_Tanok_03,SkillTree_Tanok_01,2~2,1,skill-T1-108-Tower-HP,
SkillTree_Tanok_04,SkillTree_Tanok_02|SkillTree_Tanok_03,3~4,1,skill-T3-109-Tower-ConstructionUpgradeSpeed,
SkillTree_Tanok_05,SkillTree_Tanok_04,4~6,1,skill-T3-110-Tower-Attack,
SkillTree_Tanok_06,SkillTree_Tanok_04,4~2,1,skill-T3-111-Tower-HP,
SkillTree_Tanok_07,SkillTree_Tanok_05|SkillTree_Tanok_06,5~4,1,skill-T3-112-Tower-Attack,
SkillTree_Tanok_08,SkillTree_Tanok_07,6~6,1,skill-T3-113-Production-ProductionAmountWood,
SkillTree_Tanok_09,SkillTree_Tanok_07,6~4,1,skill-T3-114-Production-ProductionAmountHog,
SkillTree_Tanok_10,SkillTree_Tanok_07,6~2,1,skill-T3-115-Production-ProductionCapacityWood,
SkillTree_Tanok_11,SkillTree_Tanok_08|SkillTree_Tanok_09|SkillTree_Tanok_10,7~4,1,skill-T4-116-Tower-Attack,
SkillTree_Tanok_12,SkillTree_Tanok_11,8~4,1,skill-T4-117-Tower-HP,
SkillTree_Nal_01,,1~4,1,skill-T3-118-Dragon-TotemDebuffResist,
SkillTree_Nal_02,SkillTree_Nal_01,2~6,1,skill-T1-119-Dragon-XP,
SkillTree_Nal_03,SkillTree_Nal_01,2~2,1,skill-T1-120-Dragon-TrainingCost,
SkillTree_Nal_04,SkillTree_Nal_02|SkillTree_Nal_03,3~4,1,skill-T2-121-Dragon-HP,
SkillTree_Nal_05,SkillTree_Nal_04,4~6,1,skill-T2-122-Dragon-ResistTower,
SkillTree_Nal_06,SkillTree_Nal_04,4~4,1,skill-T2-123-Dragon-ResistTower,
SkillTree_Nal_07,SkillTree_Nal_04,4~2,1,skill-T2-124-Dragon-ResistTower,
SkillTree_Nal_08,SkillTree_Nal_05|SkillTree_Nal_06|SkillTree_Nal_07,5~4,1,skill-T3-125-Dragon-Attack,
SkillTree_Nal_09,SkillTree_Nal_08,6~6,1,skill-T4-126-Dragon-HP,
SkillTree_Nal_10,SkillTree_Nal_08,6~2,1,skill-T4-127-Dragon-Attack,
SkillTree_Nal_11,SkillTree_Nal_09|SkillTree_Nal_10,7~4,1,skill-T4-128-Dragon-HP,
SkillTree_Nal_12,SkillTree_Nal_11,8~4,1,skill-T4-129-Dragon-Attack,
Atlas_PirateCaptain_01,,1~4,1,skill-T3-15-Dragon-Attack,
Atlas_PirateCaptain_02,Atlas_PirateCaptain_01,2~6,1,skill-T1-16-Dragon-XP,
Atlas_PirateCaptain_03,Atlas_PirateCaptain_01,2~2,1,skill-T1-17-Rider-XP,
Atlas_PirateCaptain_04,Atlas_PirateCaptain_02|Atlas_PirateCaptain_03,3~4,1,skill-T2-18-Dragon-HP,
Atlas_PirateCaptain_05,Atlas_PirateCaptain_04,4~6,1,skill-T2-21-Rider-XP,
Atlas_PirateCaptain_06,Atlas_PirateCaptain_04,4~2,1,skill-T2-22-Dragon-XP,
Atlas_PirateCaptain_07,Atlas_PirateCaptain_05,5~6,50,skill-T2-124-Dragon-ResistTower,
Atlas_PirateCaptain_08,Atlas_PirateCaptain_05|Atlas_PirateCaptain_06,6~4,1,skill-T3-136-Dragon-TrainingCost,
Atlas_PirateCaptain_09,Atlas_PirateCaptain_06,5~2,50,skill-T2-123-Dragon-ResistTower,
Atlas_PirateCaptain_10,Atlas_PirateCaptain_08,7~4,1,skill-T2-23-Dragon-HealingTime,
Atlas_PirateCaptain_11,Atlas_PirateCaptain_10,8~6,1,skill-T4-133-Dragon-HPClass,
Atlas_PirateCaptain_12,Atlas_PirateCaptain_10,8~4,1,skill-T4-134-Dragon-HPClass,
Atlas_PirateCaptain_13,Atlas_PirateCaptain_10,8~2,1,skill-T4-135-Dragon-HPClass,
Atlas_PirateCaptain_14,Atlas_PirateCaptain_11,9~6,1,skill-T4-28-Dragon-AttackClass,
Atlas_PirateCaptain_15,Atlas_PirateCaptain_12,9~4,1,skill-T4-42-Dragon-AttackClass,
Atlas_PirateCaptain_16,Atlas_PirateCaptain_13,9~2,1,skill-T4-14-Dragon-AttackClass,
Atlas_PirateCaptain_17,Atlas_PirateCaptain_14,10~6,1,skill-T4-130-Dragon-Ammo,
Atlas_PirateCaptain_18,Atlas_PirateCaptain_15,10~4,1,skill-T4-131-Dragon-Rage,
Atlas_PirateCaptain_19,Atlas_PirateCaptain_16,10~2,1,skill-T4-13-Dragon-HPClass,
SkillTree_Portia_01,,1~4,1,skill-T3-130-Dragon-Attack,
SkillTree_Portia_02,SkillTree_Portia_01,2~6,1,skill-T1-131-Dragon-Attack,
SkillTree_Portia_03,SkillTree_Portia_01,2~2,1,skill-T1-132-Dragon-HP,
SkillTree_Portia_04,SkillTree_Portia_02|SkillTree_Portia_03,3~4,1,skill-T1-133-Dragon-XP,
SkillTree_Portia_05,SkillTree_Portia_04,4~6,1,skill-T3-134-Dragon-ResistTower,
SkillTree_Portia_06,SkillTree_Portia_04,4~4,1,skill-T3-135-Dragon-ResistTower,
SkillTree_Portia_07,SkillTree_Portia_04,4~2,1,skill-T3-136-Dragon-ResistTower,
SkillTree_Portia_08,SkillTree_Portia_05|SkillTree_Portia_06|SkillTree_Portia_07,5~4,1,skill-T3-137-Dragon-HP,
SkillTree_Portia_09,SkillTree_Portia_08,6~4,1,skill-T3-138-Dragon-Attack,
SkillTree_Portia_10,SkillTree_Portia_09,7~6,1,skill-T4-139-Dragon-HP,
SkillTree_Portia_11,SkillTree_Portia_09,7~2,1,skill-T4-140-Dragon-Attack,
SkillTree_Portia_12,SkillTree_Portia_10|SkillTree_Portia_11,8~4,1,skill-T4-141-Dragon-HP,
Atlas_ButcherKnight_01,,1~4,1,skill-T3-15-Dragon-Attack,
Atlas_ButcherKnight_02,Atlas_ButcherKnight_01,2~6,1,skill-T1-16-Dragon-XP,
Atlas_ButcherKnight_03,Atlas_ButcherKnight_01,2~2,1,skill-T1-17-Rider-XP,
Atlas_ButcherKnight_04,Atlas_ButcherKnight_02|Atlas_ButcherKnight_03,3~4,1,skill-T2-18-Dragon-HP,
Atlas_ButcherKnight_05,Atlas_ButcherKnight_04,4~6,1,skill-T2-21-Rider-XP,
Atlas_ButcherKnight_06,Atlas_ButcherKnight_04,4~2,1,skill-T2-22-Dragon-XP,
Atlas_ButcherKnight_07,Atlas_ButcherKnight_05,5~6,50,skill-T2-124-Dragon-ResistTower,
Atlas_ButcherKnight_08,Atlas_ButcherKnight_05|Atlas_ButcherKnight_06,6~4,1,skill-T3-136-Dragon-TrainingCost,
Atlas_ButcherKnight_09,Atlas_ButcherKnight_06,5~2,50,skill-T2-123-Dragon-ResistTower,
Atlas_ButcherKnight_10,Atlas_ButcherKnight_08,7~4,1,skill-T2-23-Dragon-HealingTime,
Atlas_ButcherKnight_11,Atlas_ButcherKnight_10,8~6,1,skill-T4-133-Dragon-HPClass,
Atlas_ButcherKnight_12,Atlas_ButcherKnight_10,8~4,1,skill-T4-134-Dragon-HPClass,
Atlas_ButcherKnight_13,Atlas_ButcherKnight_10,8~2,1,skill-T4-135-Dragon-HPClass,
Atlas_ButcherKnight_14,Atlas_ButcherKnight_11,9~6,1,skill-T4-28-Dragon-AttackClass,
Atlas_ButcherKnight_15,Atlas_ButcherKnight_12,9~4,1,skill-T4-42-Dragon-AttackClass,
Atlas_ButcherKnight_16,Atlas_ButcherKnight_13,9~2,1,skill-T4-14-Dragon-AttackClass,
Atlas_ButcherKnight_17,Atlas_ButcherKnight_14,10~6,1,skill-T4-130-Dragon-Ammo,
Atlas_ButcherKnight_18,Atlas_ButcherKnight_15,10~4,1,skill-T4-131-Dragon-Rage,
Atlas_ButcherKnight_19,Atlas_ButcherKnight_16,10~2,1,skill-T4-13-Dragon-HPClass,
SkillTree_Lorenzo_01,,1~4,1,skill-T3-142-Tower-Attack,
SkillTree_Lorenzo_02,SkillTree_Lorenzo_01,2~6,1,skill-T1-143-Production-ProductionAmountWood,
SkillTree_Lorenzo_03,SkillTree_Lorenzo_01,2~4,1,skill-T1-144-Production-ProductionAmountHog,
SkillTree_Lorenzo_04,SkillTree_Lorenzo_01,2~2,1,skill-T1-145-Production-ProductionCapacityWood,
SkillTree_Lorenzo_05,SkillTree_Lorenzo_02|SkillTree_Lorenzo_03|SkillTree_Lorenzo_04,3~4,1,skill-T3-146-Tower-HP,
SkillTree_Lorenzo_06,SkillTree_Lorenzo_05,4~6,1,skill-T3-147-Tower-Attack,
SkillTree_Lorenzo_07,SkillTree_Lorenzo_05,4~4,1,skill-T3-148-Tower-HP,
SkillTree_Lorenzo_08,SkillTree_Lorenzo_05,4~2,1,skill-T3-149-Tower-ConstructionUpgradeSpeed,
SkillTree_Lorenzo_09,SkillTree_Lorenzo_06|SkillTree_Lorenzo_07|SkillTree_Lorenzo_08,5~4,1,skill-T3-150-Tower-Attack,
SkillTree_Lorenzo_10,SkillTree_Lorenzo_09,6~6,1,skill-T4-151-Tower-HP,
SkillTree_Lorenzo_11,SkillTree_Lorenzo_09,6~2,1,skill-T4-152-Tower-Attack,
SkillTree_Lorenzo_12,SkillTree_Lorenzo_10|SkillTree_Lorenzo_11,7~4,1,skill-T4-153-Tower-HP,
SkillTree_Bjorn_01,,1~4,1,skill-T3-154-Tower-Attack,
SkillTree_Bjorn_02,SkillTree_Bjorn_01,2~6,1,skill-T1-155-Tower-Attack,
SkillTree_Bjorn_03,SkillTree_Bjorn_01,2~2,1,skill-T1-156-Tower-HP,
SkillTree_Bjorn_04,SkillTree_Bjorn_02|SkillTree_Bjorn_03,3~4,1,skill-T3-157-Production-ProductionAmountWood,
SkillTree_Bjorn_05,SkillTree_Bjorn_04,4~6,1,skill-T3-158-Production-ProductionAmountHog,
SkillTree_Bjorn_06,SkillTree_Bjorn_04,4~2,1,skill-T3-159-Production-ProductionCapacityWood,
SkillTree_Bjorn_07,SkillTree_Bjorn_05|SkillTree_Bjorn_06,5~4,1,skill-T3-160-Tower-HP,
SkillTree_Bjorn_08,SkillTree_Bjorn_07,6~6,1,skill-T3-161-Tower-HP,
SkillTree_Bjorn_09,SkillTree_Bjorn_07,6~4,1,skill-T3-162-Tower-Attack,
SkillTree_Bjorn_10,SkillTree_Bjorn_07,6~2,1,skill-T3-163-Tower-ConstructionUpgradeSpeed,
SkillTree_Bjorn_11,SkillTree_Bjorn_08|SkillTree_Bjorn_09|SkillTree_Bjorn_10,7~4,1,skill-T4-164-Tower-Attack,
SkillTree_Bjorn_12,SkillTree_Bjorn_11,8~4,1,skill-T4-165-Tower-HP,
SkillTree_Astrid_01,,1~4,1,skill-T3-166-Dragon-Attack,
SkillTree_Astrid_02,SkillTree_Astrid_01,2~6,1,skill-T1-167-Dragon-ResistTower,
SkillTree_Astrid_03,SkillTree_Astrid_01,2~4,1,skill-T1-168-Dragon-ResistTower,
SkillTree_Astrid_04,SkillTree_Astrid_01,2~2,1,skill-T1-169-Dragon-ResistTower,
SkillTree_Astrid_05,SkillTree_Astrid_02|SkillTree_Astrid_03|SkillTree_Astrid_04,3~4,1,skill-T3-170-Dragon-HP,
SkillTree_Astrid_06,SkillTree_Astrid_05,4~6,1,skill-T3-171-Dragon-Attack,
SkillTree_Astrid_07,SkillTree_Astrid_05,4~4,1,skill-T3-172-Dragon-HP,
SkillTree_Astrid_08,SkillTree_Astrid_05,4~2,1,skill-T3-173-Dragon-XP,
SkillTree_Astrid_09,SkillTree_Astrid_06|SkillTree_Astrid_07|SkillTree_Astrid_08,5~4,1,skill-T3-174-Dragon-Attack,
SkillTree_Astrid_10,SkillTree_Astrid_09,6~6,1,skill-T4-175-Dragon-HP,
SkillTree_Astrid_11,SkillTree_Astrid_09,6~2,1,skill-T4-176-Dragon-Attack,
SkillTree_Astrid_12,SkillTree_Astrid_10|SkillTree_Astrid_11,7~4,1,skill-T4-177-Dragon-HP,
Atlas_CloudRider_01,,1~4,1,skill-T3-15-Dragon-Attack,
Atlas_CloudRider_02,Atlas_CloudRider_01,2~6,1,skill-T1-16-Dragon-XP,
Atlas_CloudRider_03,Atlas_CloudRider_01,2~2,1,skill-T1-17-Rider-XP,
Atlas_CloudRider_04,Atlas_CloudRider_02|Atlas_CloudRider_03,3~4,1,skill-T2-18-Dragon-HP,
Atlas_CloudRider_05,Atlas_CloudRider_04,4~6,1,skill-T2-21-Rider-XP,
Atlas_CloudRider_06,Atlas_CloudRider_04,4~2,1,skill-T2-22-Dragon-XP,
Atlas_CloudRider_07,Atlas_CloudRider_05,5~6,50,skill-T2-124-Dragon-ResistTower,
Atlas_CloudRider_08,Atlas_CloudRider_05|Atlas_CloudRider_06,6~4,1,skill-T3-136-Dragon-TrainingCost,
Atlas_CloudRider_09,Atlas_CloudRider_06,5~2,50,skill-T2-123-Dragon-ResistTower,
Atlas_CloudRider_10,Atlas_CloudRider_08,7~4,1,skill-T2-23-Dragon-HealingTime,
Atlas_CloudRider_11,Atlas_CloudRider_10,8~6,1,skill-T4-133-Dragon-HPClass,
Atlas_CloudRider_12,Atlas_CloudRider_10,8~4,1,skill-T4-134-Dragon-HPClass,
Atlas_CloudRider_13,Atlas_CloudRider_10,8~2,1,skill-T4-135-Dragon-HPClass,
Atlas_CloudRider_14,Atlas_CloudRider_11,9~6,1,skill-T4-28-Dragon-AttackClass,
Atlas_CloudRider_15,Atlas_CloudRider_12,9~4,1,skill-T4-42-Dragon-AttackClass,
Atlas_CloudRider_16,Atlas_CloudRider_13,9~2,1,skill-T4-14-Dragon-AttackClass,
Atlas_CloudRider_17,Atlas_CloudRider_14,10~6,1,skill-T4-130-Dragon-Ammo,
Atlas_CloudRider_18,Atlas_CloudRider_15,10~4,1,skill-T4-131-Dragon-Rage,
Atlas_CloudRider_19,Atlas_CloudRider_16,10~2,1,skill-T4-13-Dragon-HPClass,
SkillTree_Saito_01,,1~4,1,skill-T3-178-Dragon-Attack,
SkillTree_Saito_02,SkillTree_Saito_01,2~4,1,skill-T3-179-Dragon-HP,
SkillTree_Saito_03,SkillTree_Saito_02,3~6,1,skill-T2-180-Dragon-Attack,
SkillTree_Saito_04,SkillTree_Saito_02,3~2,1,skill-T2-181-Dragon-HP,
SkillTree_Saito_05,SkillTree_Saito_03,4~6,1,skill-T2-182-Dragon-Attack,
SkillTree_Saito_06,SkillTree_Saito_04,4~2,1,skill-T2-183-Dragon-HP,
SkillTree_Saito_07,SkillTree_Saito_05|SkillTree_Saito_06,5~4,1,skill-T3-184-Dragon-TrainingCost,
SkillTree_Saito_08,SkillTree_Saito_07,6~6,1,skill-T4-185-Dragon-Attack,
SkillTree_Saito_09,SkillTree_Saito_07,6~2,1,skill-T4-186-Dragon-HP,
SkillTree_Saito_10,SkillTree_Saito_08,7~6,1,skill-T4-187-Dragon-Attack,
SkillTree_Saito_11,SkillTree_Saito_09,7~2,1,skill-T4-188-Dragon-HP,
SkillTree_Saito_12,SkillTree_Saito_10|SkillTree_Saito_11,8~4,1,skill-T4-189-Dragon-HunterAmmo,
SkillTree_Kazane_01,,1~4,1,skill-T3-190-Dragon-Attack,
SkillTree_Kazane_02,SkillTree_Kazane_01,2~6,1,skill-T2-191-Dragon-Attack,
SkillTree_Kazane_03,SkillTree_Kazane_01,2~2,1,skill-T2-192-Dragon-HP,
