identifier,featureEnabled,unlockAchievementIdentifiers,h
enableRewardingDragonArmorsInBattle,1,bothTutorialPveMapsFinish,
enableDragonDiscoveryCelebrationInMenu,1,level06,
enableCrossbreedingUnlockedCelebrationInDragonDiscoveryMenu,1,level999,
enableBuildHUDRosterButton,1,bothTutorialUnlockRosterButton,
enableUnviewedBuildingCallouts,1,level03,
enableBuildingStoreTouchesToInactiveBuildings,1,level03,
enableTappingMonuments,1,level02,
enableShowingIncubatorErrorMessage,1,tutorialBuildIncubator,
showIncubatorCellTrashButton,1,tutorialUseBreeder4,
showBreederMenuTrashButton,1,finishBreederMasterQuest10,
enableHealInjuredDragonsInBattle,0,,
enableShowingResearchBuildingErrorMessage,1,level01,
showBreederMenuGoldButtons,1,level05,
enableDamageNumber,1,level01,
showEliteAccountUpgradeButtons,1,level05,
dragonDailyBonusXPMultiplier,1,questDragon07HaveDragon|level08,
showBattleResultTrainDragonButton,1,level01,
showBattleResultTransferDragonXP,1,level08,
openBreedingMenuToCrossbreeding,1,level999,
stopOpeningBreedingMenuToCrossbreeding,1,level999,
enableP2PGifting,1,level06,
isValuePackUnlocked,1,level03,
enableLTODragon,1,level05,
showLTODragon,1,level03,
enableExpediteBreederBlimp,1,level05,
enableFindBetterTarget,1,level999,
enableSpellUnlocked,1,,
enableFastBuildingExpediteFlow,0,level01,
enableAbandonBreeder,1,finishBreederMasterQuest10,
enableVideoTutorials,1,bothTutorialDelayAfterSlideShow,
showBaseOverlays,1,bothTutorialPve01Finish,
showBreederBlimpReadyOverlay,1,bothTutorialUnlockBreederBlimpOverlay,
showReadyForBreedingBanners,1,level03,
enableHelpButtonOnWelcomeMail,1,level02,
enableImmediatelyExpertBanner,1,level999,
enableOutOfBoostsPopup,1,level01,
enableGiftingRuby,0,,
enableTutorialTapLogging,1,bothTutorialPve01Finish,
disableTutorialTapLogging,1,bothTutorialPve02Start,
showValuePackHudIconForEliteAccount,1,level05,
showPowerLevels,1,level02,
highlightChallengingBases,1,level06,
enableDefenseReportsAndBaseDestruction,1,bothTutorialDefenseBuildMode,
enableEliteAccountUINotification,1,level10,
enableEliteAccountUIBounceAnimation,1,level10,
enableMatureLanguageFilter,1,level01,
enableDragonSwapping,1,level01,
enableShareableReplays,1,level01,
enableNickname,1,,
enableMajorEvent,1,level04,
enableDungeon,1,level12,
enableBattleDropRateModifier,1,level999,
enableRuneBlimpTaps,1,equipFirstMonumentRune,
enableRunes,1,level15,
enableDragonRuneTap,1,enhanceFirstRune,
showRuneOverlay,1,enhanceFirstRune|buildRuneBuilding,
enableSkipCinematic,0,,
enableAutobreeder,1,level15,
enableLoreButton,0,,
enableDragonArmorUI,1,level06,
enableRider,1,,
enableWorldMap,0,worldMapUnlock,
enableRiderGear,1,,
enableRuneEquipStartupCheck,1,,
enableIAPPages,1,,
showDragonElementIcons,1,level25,
salvageDepot,1,level04,
salvageDepotDailyBonus,1,level04,
showDefenseTimes,1,,
enableReferral,1,,
enableReferralMenu,1,level05,
enableDropBreeder,0,,
enableWarAccolades,1,,
enableMVPPointsReward,0,,
disableForceJoinGuild,1,,
enableUnequipMonumentRune,1,,
enableUpdateWithSavedEventData,1,,
enableDragonPerch,1,,
enableNativeGacha,0,level06,
enableDragonPerchXPReward,1,,
enableSalvageShop,0,level10|teachCraftingBoostsArrow,
enableIAPGifting,0,,
enableChatMention,1,unlockGuildLeaderboard,
enableMentionBadge,1,,
enableTeamAttackXPBonusReward,1,,
enableTeamAttackMessage,1,,
enableMailMarkAll,1,,
enableMailBadge,1,,
enableFullWorldMapBattleDummyShips,0,,
enableAndroidForceTweakBattleTime,1,,
enableRiderGearCrafting,1,level40,
enableLevelOfDetailButton,1,,
enableGroupChatMemberCount,0,,
enableRateMyApp,1,level10,
enableWorldMap3DTutorial,1,,
enableAtlasProcessWaypointUpdate,1,,
enableSkipTutorialButton,1,,
enableBattleRoomCapacity,1,,
enableAtlasQuestButton,1,wmEnterAtlas,
enableConnectionRecoverFlag,1,,
enablePrefetching,1,,
enableLevelUpUpgrades,1,,
enableLevelUpRewards,0,,
enableEliteAccountSubscription,0,,
enableSuperRegion,0,,
displayCombatLevel,1,,
enableDailyCheckIn,1,,
enableAllianceChat,1,,
useInfluenceToDetermineGlory,0,,
enableDeferScreenEdgeGestures,1,,
disableSalvageOldBehavior,1,,
enableLearnAttackButton,0,,
enableAtlasQuestBanner,1,,
hideGoldPacks,0,,
enableAtlasTopRegionEmblem,1,,
enableStoreCTA,0,,
enableCTADisableOnTouch,0,,
enableUpgradeBlimp,1,,
enablePoacherBonusDetailPage,1,,
enableCaptureTheFlagOnBase,0,,
enableProgressDiscounting,1,,
enableAndroidAdjustTextViewPosition,0,,
enablePoacher,0,,
enableIndividualBeast,1,,
enableTeamBeast,0,,
enableDailyOffer,0,,
enableDailyOfferServerRecommend,1,,
showDailyOfferNotification,0,,
enableIAPSelectableContent,1,,
enableRiderSkillsReset,1,,
enableEliteIapPanelDisplay,1,,
enablePrimarchClassButton,0,,
enableRadialMenuV2,1,,
flipRadialMenuButtonsHorizontally,1,,
enableRosterRiderToggleButton,1,,
enableWarBonusFlames,1,,
enablePrimarchGloryTransfer,1,,
enableBreederAlternativeRewards,0,level50,
enableUnequipDragonRune,1,,
enableTowerTransformation,0,level20,
enableTowerMerge,0,level20,
enableRiderIntroAnimation,1,,!@#lddoojdjfnfipnbk
