identifier,audioFilename,inBundle,canBePurgedInBuildMode,shouldPreloadBeforeBattle,h
hunter_attack_building_hit01,Hunter_Attack_BuildingHit_Mono_01.m4a,0,1,1,
hunter_attack_building_hit02,Hunter_Attack_BuildingHit_Mono_02.m4a,0,1,1,
hunter_attack_building_hit03,Hunter_Attack_BuildingHit_Mono_03.m4a,0,1,1,
hunter_attack_building_hit04,Hunter_Attack_BuildingHit_Mono_04.m4a,0,1,1,
hunter_select01,UI_SelectGrowl_Hunter_01.m4a,0,1,1,
hunter_select02,UI_SelectGrowl_Hunter_02.m4a,0,1,1,
sorcerer_select01,UI_SelectGrowl_Sorcerer_01.m4a,0,1,1,
sorcerer_select02,UI_SelectGrowl_Sorcerer_02.m4a,0,1,1,
warrior_select01,UI_SelectGrowl_Warrior_01.m4a,0,1,1,
warrior_select02,UI_SelectGrowl_Warrior_02.m4a,0,1,1,
cast_ability_button,UI_CastAbility.m4a,0,1,1,
sorcerer_attack01,Sorcerer_Attack_Release_Stereo_01.m4a,0,1,1,
sorcerer_attack02,Sorcerer_Attack_Release_Stereo_02.m4a,0,1,1,
sorcerer_attack03,Sorcerer_Attack_Release_Stereo_03.m4a,0,1,1,
lightning_attack01,Lightning_Tower_Fire_01.m4a,0,1,1,
lightning_attack02,Lightning_Tower_Fire_02.m4a,0,1,1,
lightning_attack03,Lightning_Tower_Fire_03.m4a,0,1,1,
archer_attack01,Archer_Tower_Fire_01.m4a,1,1,1,
archer_attack02,Archer_Tower_Fire_02.m4a,1,1,1,
archer_attack03,Archer_Tower_Fire_03.m4a,1,1,1,
cannon_attack01,Cannon_Tower_Fire_01.m4a,1,1,1,
cannon_attack02,Cannon_Tower_Fire_02.m4a,1,1,1,
cannon_attack03,Cannon_Tower_Fire_03.m4a,1,1,1,
cannon_attack04,Cannon_Tower_Fire_04.m4a,1,1,1,
trebuchet_attack01,Trebuchet_Fire_01.m4a,0,1,1,
trebuchet_attack02,Trebuchet_Fire_02.m4a,0,1,1,
trebuchet_attack03,Trebuchet_Fire_03.m4a,0,1,1,
storm_attack01,StormTower_Loop_01.m4a,0,1,1,
ballista_attack01,Ballista_Fire_01.m4a,0,1,1,
ballista_attack02,Ballista_Fire_02.m4a,0,1,1,
ballista_attack03,Ballista_Fire_03.m4a,0,1,1,
ballista_attack04,Ballista_Fire_04.m4a,0,1,1,
flame_thrower_loop01,Warrior_attack_release_loop_01.m4a,1,1,1,
flame_thrower_loop02,Warrior_attack_release_loop_02.m4a,1,1,1,
flame_thrower_loop03,Warrior_attack_release_loop_03.m4a,1,1,1,
flame_thrower_buildingHit_loop01,Flamethrower_Damage_Building_01.m4a,0,1,1,
flame_thrower_buildingHit_loop02,Flamethrower_Damage_Building_02.m4a,0,1,1,
button_click,UI_Select_Default.m4a,0,,0,
boat_destroyed01,Boat_Destruct_01.m4a,0,1,1,
boat_destroyed02,Boat_Destruct_02.m4a,0,1,1,
bridge_destroyed01,Bridge_destruct_01.m4a,0,1,1,
bridge_destroyed02,Bridge_destruct_02.m4a,0,1,1,
bridge_destroyed03,Bridge_destruct_03.m4a,0,1,1,
incubation_start,Cin_IncubationStart.m4a,0,,0,
incubation_complete,Cin_IncubationComplete.m4a,0,,0,
prebattle_music,PreBattle_Music.m4a,0,,0,
victory_music,Victory_Music.m4a,0,1,1,
defeat_music,Defeat_Music.m4a,0,1,0,
new_ability_celebration,UI_New_Ability.m4a,0,,0,
crush_gacha,spell_selfDestruct_impact.m4a,0,,0,
gacha_lightning,spell_selfDestruct_charge.m4a,0,,0,
base_destruction,Base_Destruction_01.m4a,0,1,1,
chainlightning_charged,ChainLightning_charged.m4a,0,1,1,
chainlightning_cast,ChainLightning_Cast.m4a,0,1,1,
chainlightning_hit01,ChainLightning_JumpHit_01.m4a,0,1,1,
chainlightning_hit02,ChainLightning_JumpHit_02.m4a,0,1,1,
chainlightning_hit03,ChainLightning_JumpHit_03.m4a,0,1,1,
comic_background01,intro_video_empty_BG.m4a,1,1,0,
comic_background03,intro_video_empty_BG.m4a,1,1,0,
comic_background04,intro_video_empty_BG.m4a,1,1,0,
ambient_birds1,sfx_build_amb_birds1.m4a,0,,0,
ambient_birds2,sfx_build_amb_birds2.m4a,0,,0,
ambient_birds3,sfx_build_amb_birds3.m4a,0,,0,
ambient_birds4,sfx_build_amb_birds4.m4a,0,,0,
water_splash01,Select_Water_01.m4a,0,,0,
water_splash02,Select_Water_02.m4a,0,,0,
water_splash03,Select_Water_03.m4a,0,,0,
water_splash04,Select_Water_04.m4a,0,,0,
tap_breeding_building,sfx_build_tap_breeding.m4a,0,,0,
tap_stable_building,sfx_build_tap_den.m4a,0,,0,
tap_forge_building,sfx_build_tap_forge.m4a,0,,0,
tap_incubator_building,sfx_build_tap_incubator.m4a,0,,0,
tap_research_building,sfx_build_tap_research.m4a,0,,0,
tap_storage_building,sfx_build_tap_storage.m4a,0,,0,
tap_generic_building,sfx_build_tap_generic.m4a,0,,0,
spell_summon_warrior,spell_summon_warrior.m4a,0,1,1,
base_destroyed_rebuilding,UI_BaseDestroyed_Rebuilding.m4a,0,,0,
collect_gems,UI_Collect_Gems.m4a,,,0,
eventIsland_rising,sfx_eventIsland_rising.m4a,0,,0,
eventIsland_sinking,sfx_eventIsland_sinking.m4a,0,,0,
spell_freeze_cast,spell_freeze_cast.m4a,0,1,1,
spell_freeze_charge,spell_freeze_charge.m4a,0,1,1,
spell_freeze_impact,spell_freeze_impact.m4a,0,1,1,
spell_lockdown_charge,spell_lockdown_cast.m4a,0,1,1,
spell_lockdown_release,spell_lockdown_impact.m4a,0,1,1,
spell_celestial_dance,sfx_celestial_dance.m4a,0,1,0,
shield_blast,spell_shield_blast_loop.m4a,0,,0,
shield_blast_end,spell_shield_blast_end.m4a,0,,0,
seismic_screech,spell_seismic_screech.m4a,0,,0,
spell_earthquake_charge,spell_earthquake_charge.m4a,0,,0,
spell_earthquake_cast,spell_earthquake_cast.m4a,0,,0,
spell_earthquake_impact,spell_earthquake_impact.m4a,0,,0,
spell_noxious_vines_charge,spell_noxious_vines_charge.m4a,0,,0,
spell_noxious_vines_cast,spell_noxious_vines_cast.m4a,0,,0,
spell_noxious_vines_impact,spell_noxious_vines_impact.m4a,0,,0,
spell_uproot_charge,spell_uproot_charge.m4a,0,,0,
spell_uproot_cast,spell_uproot_cast.m4a,0,,0,
spell_uproot_impact,spell_uproot_impact.m4a,0,,0,
spell_dreadfulRoar_cast,sfx_dreadful_roar.m4a,0,1,0,
spell_crystallineShield_cast,sfx_crystalline_shield.m4a,0,1,0,
spell_maleficBreath_cast,sfx_malefic_breath.m4a,0,1,0,
spell_southernCross_cast,sfx_southern_cross.m4a,0,1,0,
spell_northernLights_cast,sfx_northern_lights_loop.m4a,0,1,0,
spell_elemental_barrier,sfx_elemental_barrier.m4a,0,1,0,
spell_dissipate_cast,sfx_dissipate_cast.m4a,0,,0,
spell_dissipate_impact,sfx_dissipate_impact.m4a,0,,0,
spell_berserk,sfx_berserk.m4a,0,1,0,
spell_isolation,sfx_isolation.m4a,0,1,0,
spell_consume,sfx_consume.m4a,0,1,0,
spell_lightspeed,sfx_lightspeed.m4a,0,1,0,
spell_nova,sfx_nova.m4a,0,1,0,
spell_flash,sfx_flash.m4a,0,1,0,
spell_summonHellspawn,sfx_summon_hellspawn.m4a,0,1,0,
spell_tidal_surge_cast,sfx_tidal_surge_cast.m4a,0,1,0,
spell_tidal_surge_charge,sfx_tidal_surge_charge.m4a,0,1,0,
spell_tidal_surge_impact,sfx_tidal_surge_impact.m4a,0,1,0,
spell_riptide_impact,sfx_riptide_impact.m4a,0,1,0,
spell_riptide_cast,sfx_riptide_cast.m4a,0,1,0,
spell_shield_assault,sfx_shield_assault_cast.m4a,0,1,0,
spell_riptide,sfx_riptide_cast.m4a,0,1,0,
spell_bloodfury,sfx_blood_fury.m4a,0,1,0,
spell_frost_shield,sfx_frost_shield.m4a,0,1,0,
spell_adaptive_resist,sfx_adaptive_resist.m4a,0,1,0,
spell_seeker_shots_cast,sfx_seeker_shots_cast.m4a,0,1,0,
spell_ghostfire_blast_cast,sfx_ghostfire_blast_cast.m4a,0,1,0,
spell_ghostfire_blast_charge,sfx_ghostfire_blast_trigger.m4a,0,1,0,
spell_ghostfire_wreath,sfx_ghostfire_wreath.m4a,0,1,0,
spell_regenerate,sfx_regenerate.m4a,0,1,0,
spell_solar_strike_cast,sfx_solar_strike_cast.m4a,0,1,0,
spell_solar_strike_charge,sfx_solar_strike_trigger.m4a,0,1,0,
spell_springs_renewal_cast,sfx_springs_renewal_cast.m4a,0,1,0,
spell_springs_renewal_charge,sfx_springs_renewal_trigger.m4a,0,1,0,
spell_summers_purification_cast,sfx_summers_purification_cast.m4a,0,1,0,
spell_summers_purification_charge,sfx_summers_purification_trigger.m4a,0,1,0,
spell_vanish,sfx_vanish.m4a,0,1,0,
spell_winters_bite,sfx_winters_bite.m4a,0,1,0,
spell_absorb_magic,sfx_absorb_magic.m4a,0,1,0,
spell_adaptive_flak_resist,sfx_adaptive_flak_resist.m4a,0,1,0,
spell_death_stare_cast,sfx_death_stare_cast.m4a,0,1,0,
spell_death_stare_trigger,sfx_death_stare_trigger.m4a,0,1,0,
spell_ferocious_shield_cast,sfx_ferocious_shield.m4a,0,1,0,
spell_heavenly_winds_cast,sfx_heavenly_winds.m4a,0,1,0,
spell_magic_barrier_cast,sfx_magic_barrier.m4a,0,1,0,
spell_storm_shield_cast,sfx_storm_shield.m4a,0,1,0,
spell_everlastinghunt_cast,sfx_everlasting_hunt.m4a,0,1,0,
spell_explosiveaegis_cast,sfx_explosive_aegis_cast.m4a,0,1,0,
spell_explosiveaegis_explode,sfx_explosive_aegis_explode.m4a,0,1,0,
spell_heatstroke_cast,sfx_heatstroke.m4a,0,1,0,
spell_echoing_blast,sfx_echoing_blast.m4a,0,1,0,
spell_syphon_strike_cast,sfx_syphon_strike_cast.m4a,0,1,0,
spell_syphon_strike_trigger,sfx_syphon_strike_trigger.m4a,0,1,0,
spell_shadow_dispersal,sfx_shadow_dispersal.m4a,0,1,0,
spell_stoneform_cast,sfx_stoneform.m4a,0,1,0,
spell_elemental_bubble,sfx_elemental_bubble.m4a,0,1,0,
spell_rainbow_shot_cast,sfx_rainbow_shot_cast.m4a,0,1,0,
spell_rainbow_shot_trigger,sfx_rainbow_shot_trigger.m4a,0,1,0,
spell_spectral_form,sfx_spectral_form.m4a,0,1,0,
spell_crippling_chill_prepare,sfx_crippling_chill_prepare.m4a,0,1,0,
spell_crippling_chill_fire,sfx_crippling_chill_fire.m4a,0,1,0,
spell_energize,sfx_energize.m4a,0,1,0,
spell_ethereal_chains_prepare,sfx_ethereal_chains_prepare.m4a,0,1,0,
spell_ethereal_chains_fire,sfx_ethereal_chains_fire.m4a,0,1,0,
spell_flash_freeze_cast,sfx_flash_freeze.m4a,0,1,0,
spell_shadowstrike_cast,sfx_shadowstrike.m4a,0,1,0,
spell_scarletFever_cast,sfx_scarlet_Fever.m4a,0,1,0,
spell_mystify_cast,sfx_mystify.m4a,0,1,0,
spell_harrowingBolt_cast,sfx_harrowing_Bolt.m4a,0,1,0,
spell_inferno_cast,sfx_inferno.m4a,0,1,0,
spell_enshroud_cast,sfx_enshroud.m4a,0,1,0,
spell_death_knell_cast,sfx_death_knell.m4a,0,1,0,
spell_ectoplasmic_breath_cast,sfx_ectoplasmic_breath.m4a,0,1,0,
spell_soul_barrage_cast,sfx_soul_barrage.m4a,0,1,0,
spell_alter_fate_cast,sfx_alter_fate.m4a,0,1,0,
spell_time_stop_cast,sfx_timestop.m4a,0,1,0,
spell_snowblind_cast,sfx_snowblind.m4a,0,1,0,
spell_hunters_mark_cast,sfx_hunters_mark_cast.m4a,0,1,0,
spell_hunters_mark_prepare,sfx_hunters_mark_prepare.m4a,0,1,0,
spell_spearSalvo_cast,sfx_spearSalvo.m4a,0,1,0,
spell_staticBlast_cast,sfx_staticBlast_cast.m4a,0,1,0,
spell_staticBlast_prepare,sfx_staticBlast_prepare.m4a,0,1,0,
spell_coldsnap_cast,sfx_coldsnap_cast.m4a,0,1,0,
spell_coldsnap_prepare,sfx_coldsnap_prepare.m4a,0,1,0,
spell_dragonfire_missile_cast,sfx_dragonfire_missile.m4a,0,1,0,
spell_debilitating_sludge_cast,sfx_debilitating_sludge.m4a,0,1,0,
spell_miasmic_breath_cast,sfx_miasmic_breath.m4a,0,1,0,
spell_summon_puppet_cast,sfx_summon_puppet.m4a,0,1,0,
spell_onslaught_cast,sfx_onslaught.m4a,0,1,0,
spell_burning_hatred_cast,sfx_burning_hatred.m4a,0,1,0,
spell_incinerate_cast,sfx_incinerate.m4a,0,1,0,
spell_moonshroud_cast,sfx_moonshroud.m4a,0,1,0,
spell_ragnarok_cast,sfx_ragnarok_cast.m4a,0,1,0,
spell_ragnarok_prepare,sfx_ragnarok_prepare.m4a,0,1,0,
spell_solar_volley_cast,sfx_solar_volley.m4a,0,1,0,
spell_breath_of_the_drowned_cast,sfx_breath_of_the_drowned.m4a,0,1,0,
spell_purifying_aegis_cast,sfx_purifying_aegis.m4a,0,1,0,
spell_protective_talisman_cast,sfx_protective_talisman.m4a,0,1,0,
spell_slice_prepare,sfx_slice_prep.m4a,0,1,0,
spell_slice_cast,sfx_slice_cast.m4a,0,1,0,
spell_thrust_prepare,sfx_thrust_prep.m4a,0,1,0,
spell_thrust_cast,sfx_thrust_cast.m4a,0,1,0,
spell_execute_prepare,sfx_execute_prep.m4a,0,1,0,
spell_execute_cast,sfx_execute_cast.m4a,0,1,0,
spell_fighting_spirit_cast,sfx_fighting_spirit.m4a,0,1,0,
spell_foxfire_bolt_prepare,sfx_foxfire_bolt_prep.m4a,0,1,0,
spell_foxfire_bolt_cast,sfx_foxfire_bolt_cast.m4a,0,1,0,
spell_kitsune_mischief_cast,sfx_kitsune_mischief.m4a,0,1,0,
spell_scatter_cast,sfx_scatter.m4a,0,1,0,
spell_molten_barrier_cast,sfx_molten_barrier.m4a,0,1,0,
spell_eruption_cast,sfx_eruption.m4a,0,1,0,
spell_empty_audio,sfx_empty_audio.m4a,0,1,0,
spell_frostBreath_cast,sfx_frost_breath.m4a,0,1,0,
spell_immolatingBreath_cast,sfx_immolating_breath.m4a,0,1,0,
spell_leechingBreath_cast,sfx_leeching_breath.m4a,0,1,0,
spell_revitalize_cast,sfx_revitalize.m4a,0,1,0,
spell_skulk_cast,sfx_skulk.m4a,0,1,0,
spell_hysteria_cast,sfx_hysteria.m4a,0,1,0,
spell_nourishingShadows_cast,sfx_nourishing_shadows.m4a,0,1,0,
spell_divineStorm_cast,sfx_divine_storm.m4a,0,1,0,
unison_charge_recharge_start,sfx_Invoker_ChargeUp.m4a,0,1,1,
unison_charge_recharge_finish,sfx_Invoker_Reload.m4a,0,1,1,
spell_deflectingGale_cast,sfx_deflecting_gale.m4a,0,1,0,
spell_whirlpool_prepare,sfx_whirl_pool_prepare.m4a,0,1,0,
spell_whirlpool_cast,sfx_whirl_pool_cast.m4a,0,1,0,
spell_sandBlast_prepare,sfx_sandblast_prepare.m4a,0,1,0,
spell_sandBlast_cast,sfx_sandblast_cast.m4a,0,1,0,
spell_vaporShield_cast,sfx_vaporShield.m4a,0,1,0,
spell_causticSpines_cast,sfx_causticSpines.m4a,0,1,0,
spell_primordialBreath_cast,sfx_PrimordialBreath.m4a,0,1,0,
spell_primalShield_cast,sfx_PrimalShield.m4a,0,1,0,
spell_tanglingKelp_cast,sfx_TanglingKelp.m4a,0,1,0,
spell_crestingWave_prepare,sfx_cresting_wave_prepare.m4a,0,1,0,
spell_crestingWave_cast,sfx_cresting_wave_cast.m4a,0,1,0,
spell_underwhelmingFireball_prepare,sfx_divine_storm.m4a,0,1,0,
spell_underwhelmingFireball_cast,sfx_divine_storm.m4a,0,1,0,
spell_invokeFreeze_prepare,sfx_Invoke_Freeze_Empowered_Prep.m4a,0,1,0,
spell_invokeFreeze_cast,sfx_Invoke_Freeze_Empowered_Cast2.m4a,0,1,0,
invoker_select01,UI_SelectGrowl_Invoker_1.m4a,0,1,1,
invoker_select02,UI_SelectGrowl_Invoker_2.m4a,0,1,1,
invoker_attack_release01,sfx_Invoker_Attack_Basic_1.m4a,0,1,1,
invoker_attack_release02,sfx_Invoker_Attack_Basic_2.m4a,0,1,1,
invoker_attack_release03,sfx_Invoker_Attack_Basic_3.m4a,0,1,1,
invoker_attack_release04,sfx_Invoker_Attack_Basic_4.m4a,0,1,1,
invoker_attack_building_hit01,sfx_Invoker_Attack_BuildingHit_1.m4a,0,1,1,
invoker_attack_building_hit02,sfx_Invoker_Attack_BuildingHit_2.m4a,0,1,1,
invoker_attack_building_hit03,sfx_Invoker_Attack_BuildingHit_3.m4a,0,1,1,
invoker_attack_building_hit04,sfx_Invoker_Attack_BuildingHit_4.m4a,0,1,1,
spell_underwhelmingFireball_prepare1,sfx_underwhelmingfireball_prepare_var_1.m4a,0,1,0,
spell_underwhelmingFireball_prepare2,sfx_underwhelmingfireball_prepare_var_2.m4a,0,1,0,
spell_underwhelmingFireball_prepare3,sfx_underwhelmingfireball_prepare_var_3.m4a,0,1,0,
spell_underwhelmingFireball_cast1,sfx_underwhelmingfireball_cast_var_1.m4a,0,1,0,
spell_underwhelmingFireball_cast2,sfx_underwhelmingfireball_cast_var_2.m4a,0,1,0,
spell_underwhelmingFireball_cast3,sfx_underwhelmingfireball_cast_var_2.m4a,0,1,0,
spell_getAngry_cast,sfx_getAngry.m4a,0,1,0,
claimEggBalloon,UI_claim_egg_balloon.m4a,0,1,0,
claimForgeBalloon,UI_claim_forge.m4a,0,1,0,
equipRune,UI_equip_rune.m4a,0,1,0,
DailyCheckIn,UI_daily_check_in.m4a,0,1,0,
UpgradeEgg,UI_upgrade_egg.m4a,0,1,0,
spell_delirium_cast,sfx_cordys_delirium.m4a,0,1,0,
spell_defile_cast,sfx_cordys_defile.m4a,0,1,0,
spell_lightningSurge_cast,sfx_oculex_lightningsurge_projectile.m4a,0,1,0,
spell_acidSpit_cast,orthoptar_AcidSpit_Projectile.m4a,0,1,0,
spell_locustCloud_cast,orthoptar_LocustCloud.m4a,0,1,0,
spell_summonSwarm_cast,orthoptar_SummonSwarm.m4a,0,1,0,
spell_swarmStrike_cast,orthoptar_SwarmStrike.m4a,0,1,0,
spell_acidSpit_prepare,orthoptar_AcidSpit_Activate.m4a,0,1,0,
spell_lightningSurge_prepare,sfx_oculex_lightningsurge_activate.m4a,0,1,0,
spell_meteor_prepare,sfx_meteor_prepare.m4a,0,1,0,
spell_meteor_cast,sfx_meteor_cast.m4a,0,1,0,
spell_invokeAssimilate_prepare,sfx_invokeAssimilate_prepare.m4a,0,1,0,
spell_invokeAssimilate_cast,sfx_invokeAssimilate_cast.m4a,0,1,0,
spell_writhe_cast,sfx_writhe.m4a,0,1,0,
spell_entropy_cast,sfx_entropy.m4a,0,1,0,
spell_roarFromBeyond_cast,sfx_roar_from_beyond.m4a,0,1,0,
spell_cosmicGaze_cast,sfx_cosmic_gaze.m4a,0,1,0,
spell_evilEye_cast,sfx_evil_eye.m4a,0,1,0,
spell_maskOfMisery_cast,sfx_mask_of_misery.m4a,0,1,0,
spell_maskOfMania_cast,sfx_mask_of_mania.m4a,0,1,0,
spell_realityWarp_cast,sfx_reality_warp.m4a,0,1,0,
spell_mindSpike_prepare,sfx_mind_spike_prepare.m4a,0,1,0,
spell_mindSpike_cast,sfx_mind_spike_projectile.m4a,0,1,0,
spell_whispers_of_madness_prepare,sfx_whispers_of_madness_prepare.m4a,0,1,0,
spell_whispers_of_madness_cast,sfx_whispers_of_madness_projectile.m4a,0,1,0,
spell_bloodMist_cast,sfx_bloodmist.m4a,0,1,0,
spell_awaken_cast,sfx_awaken_cast.m4a,0,1,0,
spell_touchOfTheDeep_prepare,sfx_touchOfTheDeep_prepare.m4a,0,1,0,
spell_touchOfTheDeep_cast,sfx_touchOfTheDeep_cast.m4a,0,1,0,
spell_elderSign_cast,sfx_elderSign_cast.m4a,0,1,0,
spell_elderSign_explode,sfx_elderSign_detonate.m4a,0,1,0,
spell_synapticWave_cast,sfx_synapticWave.m4a,0,1,0,
spell_overcharge_cast,sfx_overcharge.m4a,0,1,0,
spell_ferociousDive_cast,sfx_ferocious_dive.m4a,0,1,0,
spell_ravage_cast,sfx_ravage.m4a,0,1,0,
spell_marshBolt_prepare,sfx_marshBolt_Prepare.m4a,0,1,0,
spell_marshBolt_cast,sfx_marshBolt.m4a,0,1,0,
spell_prowl_cast,sfx_prowl.m4a,0,1,0,
cathedral_destruction,sfx_WD_map_destructibles_Cathedral.m4a,0,1,1,
bridge_destruction_nde,sfx_WD_map_destructibles_Bridge.m4a,0,1,1,
miningcart_destruction,sfx_WD_map_destructibles_Mining_Cart.m4a,0,1,1,
airship_destruction,sfx_WD_map_destructibles_Airship.m4a,0,1,1,
miningstructure_destruction,sfx_WD_map_destructibles_Mining_Structure.m4a,0,1,1,
spell_chomp_prepare,sfx_chomp_prepare.m4a,0,1,1,
spell_chomp_cast,sfx_chomp_cast.m4a,0,1,1,
spell_wingGust_cast1,sfx_wing_gust_01.m4a,0,1,1,
spell_wingGust_cast2,sfx_wing_gust_02.m4a,0,1,1,
spell_wingGust_cast3,sfx_wing_gust_03.m4a,0,1,1,
spell_stormBreath_cast,sfx_storm_breath.m4a,0,1,1,
spell_silentSwoop_cast,sfx_silent_swoop.m4a,0,1,1,
spell_snowdrift_prepare,sfx_snowdrift_prepare.m4a,0,1,1,
spell_snowdrift_cast,sfx_snowdrift_cast.m4a,0,1,1,
spell_battleScreech_cast,sfx_battle_screech.m4a,0,1,1,
spell_shiningSplendor_cast,sfx_shining_splendor.m4a,0,1,1,
spell_gild_prepare,sfx_gild_prepare.m4a,0,1,1,
spell_gild_cast,sfx_gild_cast.m4a,0,1,1,
spell_avarice_cast,sfx_avarice.m4a,0,1,1,
spell_petrifyingGaze_cast,sfx_medusys_petrifyinggaze.m4a,0,1,0,
spell_gorgonsGuise_cast,sfx_medusys_gorgonsguise.m4a,0,1,0,
spell_smother_cast,sfx_ladron_smother_projectile.m4a,0,1,0,
spell_smother_prepare,sfx_ladron_smother_prepare.m4a,0,1,0,
spell_devour_prepare,sfx_ladron_devour_prepare.m4a,0,1,0,
spell_devour_cast,sfx_ladron_devour_projectile.m4a,0,1,0,
spell_flameTorrent_start,sfx_cerberath_breath_01.m4a,0,1,0,
spell_flameTorrent_ramp,sfx_cerberath_breath_02.m4a,0,1,0,
spell_flameTorrent_max,sfx_cerberath_breath_03.m4a,0,1,0,
spell_ancientFury_cast,sfx_cerberath_ancient_fury.m4a,0,1,0,
spell_pitilessWail_cast,sfx_cerberath_pitilesswail.m4a,0,1,0,
spell_markOfHunger_cast,sfx_ladron_mark_of_hunger.m4a,0,1,0,
spell_giftGiven_prepare,sfx_gift_given_prepare.m4a,0,1,0,
spell_giftGiven_cast,sfx_gift_given_cast.m4a,0,1,0,
spell_holidayHelper_cast,sfx_holiday_helper.m4a,0,1,0,!@#jhlcoahinmdbcecm
