identifier,stealMultiplier,xpGainMultiplier,maxExperienceProtectionLevel,h
mult_117,0.2,0.2,100,
mult_118,0.2,0.2,100,
mult_119,0.2,0.2,100,
mult_120,0.2,0.2,100,
mult_121,0.2,0.2,100,
mult_122,0.2,0.2,100,
mult_123,0.2,0.2,100,
mult_124,0.2,0.2,100,
mult_125,0.2,0.2,100,
mult_126,0.2,0.2,100,
mult_127,0.2,0.2,100,
mult_128,0.2,0.2,100,
mult_129,0.2,0.2,100,
mult_130,0.2,0.2,100,
mult_131,0.2,0.2,100,
mult_132,0.2,0.2,100,
mult_133,0.2,0.2,100,
mult_134,0.2,0.2,100,
mult_135,0.2,0.2,100,
mult_136,0.2,0.2,100,
mult_137,0.2,0.2,100,
mult_138,0.2,0.2,100,
mult_139,0.2,0.2,100,
mult_140,0.2,0.2,100,
mult_141,0.2,0.2,100,
mult_142,0.2,0.2,100,
mult_143,0.2,0.2,100,
mult_144,0.2,0.2,100,
mult_145,0.2,0.2,100,
mult_146,0.2,0.2,100,
mult_147,0.2,0.2,100,
mult_148,0.2,0.2,100,
mult_149,0.2,0.2,100,
mult_150,0.2,0.2,100,
mult_151,0.2,0.2,100,
mult_152,0.2,0.2,100,
mult_153,0.2,0.2,100,
mult_154,0.2,0.2,100,
mult_155,0.2,0.2,100,
mult_156,0.2,0.2,100,
mult_157,0.2,0.2,100,
mult_158,0.2,0.2,100,
mult_159,0.2,0.2,100,
mult_160,0.2,0.2,100,
mult_161,0.2,0.2,100,
mult_162,0.2,0.2,100,
mult_163,0.2,0.2,100,
mult_164,0.2,0.2,100,
mult_165,0.2,0.2,100,
mult_166,0.2,0.2,100,
mult_167,0.2,0.2,100,
mult_168,0.2,0.2,100,
mult_169,0.2,0.2,100,
mult_170,0.2,0.2,100,
mult_171,0.2,0.2,100,
mult_172,0.2,0.2,100,
mult_173,0.2,0.2,100,
mult_174,0.2,0.2,100,
mult_175,0.2,0.2,100,
mult_176,0.2,0.2,100,
mult_177,0.2,0.2,100,
mult_178,0.2,0.2,100,
mult_179,0.2,0.2,100,
mult_180,0.2,0.2,100,
mult_181,0.2,0.2,100,
mult_182,0.2,0.2,100,
mult_183,0.2,0.2,100,
mult_184,0.2,0.2,100,
mult_185,0.2,0.2,100,
mult_186,0.2,0.2,100,
mult_187,0.2,0.2,100,
mult_188,0.2,0.2,100,
mult_189,0.2,0.2,100,
mult_190,0.2,0.2,100,
mult_191,0.2,0.2,100,
mult_192,0.2,0.2,100,
mult_193,0.2,0.2,100,
mult_194,0.2,0.2,100,
mult_195,0.2,0.2,100,
mult_196,0.2,0.2,100,
mult_197,0.2,0.2,100,
mult_198,0.2,0.2,100,
mult_199,0.2,0.2,100,
mult_200,0.2,0.2,100,
mult_201,0.2,0.2,100,
mult_202,0.2,0.2,100,
mult_203,0.2,0.2,100,
mult_204,0.2,0.2,100,
mult_205,0.2,0.2,100,
mult_206,0.2,0.2,100,
mult_207,0.2,0.2,100,
mult_208,0.2,0.2,100,
mult_209,0.2,0.2,100,
mult_210,0.2,0.2,100,
mult_211,0.2,0.2,100,
mult_212,0.2,0.2,100,
mult_213,0.2,0.2,100,
mult_214,0.2,0.2,100,
mult_215,0.2,0.2,100,
mult_216,0.2,0.2,100,
mult_217,0.2,0.2,100,
mult_218,0.2,0.2,100,
mult_219,0.2,0.2,100,
mult_220,0.2,0.2,100,
mult_221,0.2,0.2,100,
mult_222,0.2,0.2,100,
mult_223,0.2,0.2,100,
mult_224,0.2,0.2,100,
mult_225,0.2,0.2,100,
mult_226,0.2,0.2,100,
mult_227,0.2,0.2,100,
mult_228,0.2,0.2,100,
mult_229,0.2,0.2,100,
mult_230,0.2,0.2,100,
mult_231,0.2,0.2,100,
mult_232,0.2,0.2,100,
mult_233,0.2,0.2,100,
mult_234,0.2,0.2,100,
mult_235,0.2,0.2,100,
mult_236,0.2,0.2,100,
mult_237,0.2,0.2,100,
mult_238,0.2,0.2,100,
mult_239,0.2,0.2,100,
mult_240,0.2,0.2,100,
mult_241,0.2,0.2,100,
mult_242,0.2,0.2,100,
mult_243,0.2,0.2,100,
mult_244,0.2,0.2,100,
mult_245,0.2,0.2,100,
mult_246,0.2,0.2,100,
mult_247,0.2,0.2,100,
mult_248,0.2,0.2,100,
mult_249,0.2,0.2,100,
mult_250,0.2,0.2,100,
mult_251,0.2,0.2,100,
mult_252,0.2,0.2,100,
mult_253,0.2,0.2,100,
mult_254,0.2,0.2,100,
mult_255,0.2,0.2,100,
mult_256,0.2,0.2,100,
mult_257,0.2,0.2,100,
mult_258,0.2,0.2,100,
mult_259,0.2,0.2,100,
mult_260,0.2,0.2,100,
mult_261,0.2,0.2,100,
mult_262,0.2,0.2,100,
mult_263,0.2,0.2,100,
mult_264,0.2,0.2,100,
mult_265,0.2,0.2,100,
mult_266,0.2,0.2,100,
mult_267,0.2,0.2,100,
mult_268,0.2,0.2,100,
mult_269,0.2,0.2,100,
mult_270,0.2,0.2,100,
mult_271,0.2,0.2,100,
mult_272,0.2,0.2,100,
mult_273,0.2,0.2,100,
mult_274,0.2,0.2,100,
mult_275,0.2,0.2,100,
mult_276,0.2,0.2,100,
mult_277,0.2,0.2,100,
mult_278,0.2,0.2,100,
mult_279,0.2,0.2,100,
mult_280,0.2,0.2,100,
mult_281,0.2,0.2,100,
mult_282,0.2,0.2,100,
mult_283,0.2,0.2,100,
mult_284,0.2,0.2,100,
mult_285,0.2,0.2,100,
mult_286,0.2,0.2,100,
mult_287,0.2,0.2,100,
mult_288,0.2,0.2,100,
mult_289,0.2,0.2,100,
mult_290,0.2,0.2,100,
mult_291,0.2,0.2,100,
mult_292,0.2,0.2,100,
mult_293,0.2,0.2,100,
mult_294,0.2,0.2,100,
mult_295,0.2,0.2,100,
mult_296,0.2,0.2,100,
mult_297,0.2,0.2,100,
mult_298,0.2,0.2,100,
mult_299,0.2,0.2,100,
mult_300,0.2,0.2,100,
mult_301,0.2,0.2,100,
mult_302,0.2,0.2,100,
mult_303,0.2,0.2,100,
mult_304,0.2,0.2,100,
mult_305,0.2,0.2,100,
mult_306,0.2,0.2,100,
mult_307,0.2,0.2,100,
mult_308,0.2,0.2,100,
mult_309,0.2,0.2,100,
mult_310,0.2,0.2,100,
mult_311,0.2,0.2,100,
mult_312,0.2,0.2,100,
mult_313,0.2,0.2,100,
mult_314,0.2,0.2,100,
mult_315,0.2,0.2,100,
mult_316,0.2,0.2,100,
mult_317,0.2,0.2,100,
mult_318,0.2,0.2,100,
mult_319,0.2,0.2,100,
mult_320,0.2,0.2,100,
mult_321,0.2,0.2,100,
mult_322,0.2,0.2,100,
mult_323,0.2,0.2,100,
mult_324,0.2,0.2,100,
mult_325,0.2,0.2,100,
mult_326,0.2,0.2,100,
mult_327,0.2,0.2,100,
mult_328,0.2,0.2,100,
mult_329,0.2,0.2,100,
mult_330,0.2,0.2,100,
mult_331,0.2,0.2,100,
mult_332,0.2,0.2,100,
mult_333,0.2,0.2,100,
mult_334,0.2,0.2,100,
mult_335,0.2,0.2,100,
mult_336,0.2,0.2,100,
mult_337,0.2,0.2,100,
mult_338,0.2,0.2,100,
mult_339,0.2,0.2,100,
mult_340,0.2,0.2,100,
mult_341,0.2,0.2,100,
mult_342,0.2,0.2,100,
mult_343,0.2,0.2,100,
mult_344,0.2,0.2,100,
mult_345,0.2,0.2,100,
mult_346,0.2,0.2,100,
mult_347,0.2,0.2,100,
mult_348,0.2,0.2,100,
mult_349,0.2,0.2,100,
mult_350,0.2,0.2,100,
mult_351,0.2,0.2,100,
mult_352,0.2,0.2,100,
mult_353,0.2,0.2,100,
mult_354,0.2,0.2,100,
mult_355,0.2,0.2,100,
mult_356,0.2,0.2,100,
mult_357,0.2,0.2,100,
mult_358,0.2,0.2,100,
mult_359,0.2,0.2,100,
mult_360,0.2,0.2,100,
mult_361,0.2,0.2,100,
mult_362,0.2,0.2,100,
mult_363,0.2,0.2,100,
mult_364,0.2,0.2,100,
mult_365,0.2,0.2,100,
mult_366,0.2,0.2,100,
mult_367,0.2,0.2,100,
mult_368,0.2,0.2,100,
mult_369,0.2,0.2,100,
mult_370,0.2,0.2,100,
mult_371,0.2,0.2,100,
mult_372,0.2,0.2,100,
mult_373,0.2,0.2,100,
mult_374,0.2,0.2,100,
mult_375,0.2,0.2,100,
mult_376,0.2,0.2,100,
mult_377,0.2,0.2,100,
mult_378,0.2,0.2,100,
mult_379,0.2,0.2,100,
mult_380,0.2,0.2,100,
mult_381,0.2,0.2,100,
mult_382,0.2,0.2,100,
mult_383,0.2,0.2,100,
mult_384,0.2,0.2,100,
mult_385,0.2,0.2,100,
mult_386,0.2,0.2,100,
mult_387,0.2,0.2,100,
mult_388,0.2,0.2,100,
mult_389,0.2,0.2,100,
mult_390,0.2,0.2,100,
mult_391,0.2,0.2,100,
mult_392,0.2,0.2,100,
mult_393,0.2,0.2,100,
mult_394,0.2,0.2,100,
mult_395,0.2,0.2,100,
mult_396,0.2,0.2,100,
mult_397,0.2,0.2,100,
mult_398,0.2,0.2,100,
mult_399,0.2,0.2,100,
mult_400,0.2,0.2,100,
mult_401,0.2,0.2,100,
mult_402,0.2,0.2,100,
mult_403,0.2,0.2,100,
mult_404,0.2,0.2,100,
mult_405,0.2,0.2,100,
mult_406,0.2,0.2,100,
mult_407,0.2,0.2,100,
mult_408,0.2,0.2,100,
mult_409,0.2,0.2,100,
mult_410,0.2,0.2,100,
mult_411,0.2,0.2,100,
mult_412,0.2,0.2,100,
mult_413,0.2,0.2,100,
mult_414,0.2,0.2,100,
mult_415,0.2,0.2,100,
mult_416,0.2,0.2,100,
mult_417,0.2,0.2,100,
mult_418,0.2,0.2,100,
mult_419,0.2,0.2,100,
mult_420,0.2,0.2,100,
mult_421,0.2,0.2,100,
mult_422,0.2,0.2,100,
mult_423,0.2,0.2,100,
mult_424,0.2,0.2,100,
mult_425,0.2,0.2,100,
mult_426,0.2,0.2,100,
mult_427,0.2,0.2,100,
mult_428,0.2,0.2,100,
mult_429,0.2,0.2,100,
mult_430,0.2,0.2,100,
mult_431,0.2,0.2,100,
mult_432,0.2,0.2,100,
mult_433,0.2,0.2,100,
mult_434,0.2,0.2,100,
mult_435,0.2,0.2,100,
mult_436,0.2,0.2,100,
mult_437,0.2,0.2,100,
mult_438,0.2,0.2,100,
mult_439,0.2,0.2,100,
mult_440,0.2,0.2,100,
mult_441,0.2,0.2,100,
mult_442,0.2,0.2,100,
mult_443,0.2,0.2,100,
mult_444,0.2,0.2,100,
mult_445,0.2,0.2,100,
mult_446,0.2,0.2,100,
mult_447,0.2,0.2,100,
mult_448,0.2,0.2,100,
mult_449,0.2,0.2,100,
mult_450,0.2,0.2,100,
mult_451,0.2,0.2,100,
mult_452,0.2,0.2,100,
mult_453,0.2,0.2,100,
mult_454,0.2,0.2,100,
mult_455,0.2,0.2,100,
mult_456,0.2,0.2,100,
mult_457,0.2,0.2,100,
mult_458,0.2,0.2,100,
mult_459,0.2,0.2,100,
mult_460,0.2,0.2,100,
mult_461,0.2,0.2,100,
mult_462,0.2,0.2,100,
mult_463,0.2,0.2,100,
mult_464,0.2,0.2,100,
mult_465,0.2,0.2,100,
mult_466,0.2,0.2,100,
mult_467,0.2,0.2,100,
mult_468,0.2,0.2,100,
mult_469,0.2,0.2,100,
mult_470,0.2,0.2,100,
mult_471,0.2,0.2,100,
mult_472,0.2,0.2,100,
mult_473,0.2,0.2,100,
mult_474,0.2,0.2,100,
mult_475,0.2,0.2,100,
mult_476,0.2,0.2,100,
mult_477,0.2,0.2,100,
mult_478,0.2,0.2,100,
mult_479,0.2,0.2,100,
mult_480,0.2,0.2,100,
mult_481,0.2,0.2,100,
mult_482,0.2,0.2,100,
mult_483,0.2,0.2,100,
mult_484,0.2,0.2,100,
mult_485,0.2,0.2,100,
mult_486,0.2,0.2,100,
mult_487,0.2,0.2,100,
mult_488,0.2,0.2,100,
mult_489,0.2,0.2,100,
mult_490,0.2,0.2,100,
mult_491,0.2,0.2,100,
mult_492,0.2,0.2,100,
mult_493,0.2,0.2,100,
mult_494,0.2,0.2,100,
mult_495,0.2,0.2,100,
mult_496,0.2,0.2,100,
mult_497,0.2,0.2,100,
mult_498,0.2,0.2,100,
mult_499,0.2,0.2,100,
mult_500,0.2,0.2,100,
mult_501,0.2,0.2,100,
mult_502,0.2,0.2,100,
mult_503,0.2,0.2,100,
mult_504,0.2,0.2,100,
mult_505,0.2,0.2,100,
mult_506,0.2,0.2,100,
mult_507,0.2,0.2,100,
mult_508,0.2,0.2,100,
mult_509,0.2,0.2,100,
mult_510,0.2,0.2,100,
mult_511,0.2,0.2,100,
mult_512,0.2,0.2,100,
mult_513,0.2,0.2,100,
mult_514,0.2,0.2,100,
mult_515,0.2,0.2,100,
mult_516,0.2,0.2,100,
mult_517,0.2,0.2,100,
mult_518,0.2,0.2,100,
mult_519,0.2,0.2,100,
mult_520,0.2,0.2,100,
mult_521,0.2,0.2,100,
mult_522,0.2,0.2,100,
mult_523,0.2,0.2,100,
mult_524,0.2,0.2,100,
mult_525,0.2,0.2,100,
mult_526,0.2,0.2,100,
mult_527,0.2,0.2,100,
mult_528,0.2,0.2,100,
mult_529,0.2,0.2,100,
mult_530,0.2,0.2,100,
mult_531,0.2,0.2,100,
mult_532,0.2,0.2,100,
mult_533,0.2,0.2,100,
mult_534,0.2,0.2,100,
mult_535,0.2,0.2,100,
mult_536,0.2,0.2,100,
mult_537,0.2,0.2,100,
mult_538,0.2,0.2,100,
mult_539,0.2,0.2,100,
mult_540,0.2,0.2,100,
mult_541,0.2,0.2,100,
mult_542,0.2,0.2,100,
mult_543,0.2,0.2,100,
mult_544,0.2,0.2,100,
mult_545,0.2,0.2,100,
mult_546,0.2,0.2,100,
mult_547,0.2,0.2,100,
mult_548,0.2,0.2,100,
mult_549,0.2,0.2,100,
mult_550,0.2,0.2,100,
mult_551,0.2,0.2,100,
mult_552,0.2,0.2,100,
mult_553,0.2,0.2,100,
mult_554,0.2,0.2,100,
mult_555,0.2,0.2,100,
mult_556,0.2,0.2,100,
mult_557,0.2,0.2,100,
mult_558,0.2,0.2,100,
mult_559,0.2,0.2,100,
mult_560,0.2,0.2,100,
mult_561,0.2,0.2,100,
mult_562,0.2,0.2,100,
mult_563,0.2,0.2,100,
mult_564,0.2,0.2,100,
mult_565,0.2,0.2,100,
mult_566,0.2,0.2,100,
mult_567,0.2,0.2,100,
mult_568,0.2,0.2,100,
mult_569,0.2,0.2,100,
mult_570,0.2,0.2,100,
mult_571,0.2,0.2,100,
mult_572,0.2,0.2,100,
mult_573,0.2,0.2,100,
mult_574,0.2,0.2,100,
mult_575,0.2,0.2,100,
mult_576,0.2,0.2,100,
mult_577,0.2,0.2,100,
mult_578,0.2,0.2,100,
mult_579,0.2,0.2,100,
mult_580,0.2,0.2,100,
mult_581,0.2,0.2,100,
mult_582,0.2,0.2,100,
mult_583,0.2,0.2,100,
mult_584,0.2,0.2,100,
mult_585,0.2,0.2,100,
mult_586,0.2,0.2,100,
mult_587,0.2,0.2,100,
mult_588,0.2,0.2,100,
mult_589,0.2,0.2,100,
mult_590,0.2,0.2,100,
mult_591,0.2,0.2,100,
mult_592,0.2,0.2,100,
mult_593,0.2,0.2,100,
mult_594,0.2,0.2,100,
mult_595,0.2,0.2,100,
mult_596,0.2,0.2,100,
mult_597,0.2,0.2,100,
mult_598,0.2,0.2,100,
mult_599,0.2,0.2,100,
mult_600,0.2,0.2,100,
mult_601,0.2,0.2,100,
mult_602,0.2,0.2,100,
mult_603,0.2,0.2,100,
mult_604,0.2,0.2,100,
mult_605,0.2,0.2,100,
mult_606,0.2,0.2,100,
mult_607,0.2,0.2,100,
mult_608,0.2,0.2,100,
mult_609,0.2,0.2,100,
mult_610,0.2,0.2,100,
mult_611,0.2,0.2,100,
mult_612,0.2,0.2,100,
mult_613,0.2,0.2,100,
mult_614,0.2,0.2,100,
mult_615,0.2,0.2,100,
mult_616,0.2,0.2,100,
mult_617,0.2,0.2,100,
mult_618,0.2,0.2,100,
mult_619,0.2,0.2,100,
mult_620,0.2,0.2,100,
mult_621,0.2,0.2,100,
mult_622,0.2,0.2,100,
mult_623,0.2,0.2,100,
mult_624,0.2,0.2,100,
mult_625,0.2,0.2,100,
mult_626,0.2,0.2,100,
mult_627,0.2,0.2,100,
mult_628,0.2,0.2,100,
mult_629,0.2,0.2,100,
mult_630,0.2,0.2,100,
mult_631,0.2,0.2,100,
mult_632,0.2,0.2,100,
mult_633,0.2,0.2,100,
mult_634,0.2,0.2,100,
mult_635,0.2,0.2,100,
mult_636,0.2,0.2,100,
mult_637,0.2,0.2,100,
mult_638,0.2,0.2,100,
mult_639,0.2,0.2,100,
mult_640,0.2,0.2,100,
mult_641,0.2,0.2,100,
mult_642,0.2,0.2,100,
mult_643,0.2,0.2,100,
mult_644,0.2,0.2,100,
mult_645,0.2,0.2,100,
mult_646,0.2,0.2,100,
mult_647,0.2,0.2,100,
mult_648,0.2,0.2,100,
mult_649,0.2,0.2,100,
mult_650,0.2,0.2,100,
mult_651,0.2,0.2,100,
mult_652,0.2,0.2,100,
mult_653,0.2,0.2,100,
mult_654,0.2,0.2,100,
mult_655,0.2,0.2,100,
mult_656,0.2,0.2,100,
mult_657,0.2,0.2,100,
mult_658,0.2,0.2,100,
mult_659,0.2,0.2,100,
mult_660,0.2,0.2,100,
mult_661,0.2,0.2,100,
mult_662,0.2,0.2,100,
mult_663,0.2,0.2,100,
mult_664,0.2,0.2,100,
mult_665,0.2,0.2,100,
mult_666,0.2,0.2,100,
mult_667,0.2,0.2,100,
mult_668,0.2,0.2,100,
mult_669,0.2,0.2,100,
mult_670,0.2,0.2,100,
mult_671,0.2,0.2,100,
mult_672,0.2,0.2,100,
mult_673,0.2,0.2,100,
mult_674,0.2,0.2,100,
mult_675,0.2,0.2,100,
mult_676,0.2,0.2,100,
mult_677,0.2,0.2,100,
mult_678,0.2,0.2,100,
mult_679,0.2,0.2,100,
mult_680,0.2,0.2,100,
mult_681,0.2,0.2,100,
mult_682,0.2,0.2,100,
mult_683,0.2,0.2,100,
mult_684,0.2,0.2,100,
mult_685,0.2,0.2,100,
mult_686,0.2,0.2,100,
mult_687,0.2,0.2,100,
mult_688,0.2,0.2,100,
mult_689,0.2,0.2,100,
mult_690,0.2,0.2,100,
mult_691,0.2,0.2,100,
mult_692,0.2,0.2,100,
mult_693,0.2,0.2,100,
mult_694,0.2,0.2,100,
mult_695,0.2,0.2,100,
mult_696,0.2,0.2,100,
mult_697,0.2,0.2,100,
mult_698,0.2,0.2,100,
mult_699,0.2,0.2,100,
mult_700,0.2,0.2,100,
mult_701,0.2,0.2,100,
mult_702,0.2,0.2,100,
mult_703,0.2,0.2,100,
mult_704,0.2,0.2,100,
mult_705,0.2,0.2,100,
mult_706,0.2,0.2,100,
mult_707,0.2,0.2,100,
mult_708,0.2,0.2,100,
mult_709,0.2,0.2,100,
mult_710,0.2,0.2,100,
mult_711,0.2,0.2,100,
mult_712,0.2,0.2,100,
mult_713,0.2,0.2,100,
mult_714,0.2,0.2,100,
mult_715,0.2,0.2,100,
mult_716,0.2,0.2,100,
mult_717,0.2,0.2,100,
mult_718,0.2,0.2,100,
mult_719,0.2,0.2,100,
mult_720,0.2,0.2,100,
mult_721,0.2,0.2,100,
mult_722,0.2,0.2,100,
mult_723,0.2,0.2,100,
mult_724,0.2,0.2,100,
mult_725,0.2,0.2,100,
mult_726,0.2,0.2,100,
mult_727,0.2,0.2,100,
mult_728,0.2,0.2,100,
mult_729,0.2,0.2,100,
mult_730,0.2,0.2,100,
mult_731,0.2,0.2,100,
mult_732,0.2,0.2,100,
mult_733,0.2,0.2,100,
mult_734,0.2,0.2,100,
mult_735,0.2,0.2,100,
mult_736,0.2,0.2,100,
mult_737,0.2,0.2,100,
mult_738,0.2,0.2,100,
mult_739,0.2,0.2,100,
mult_740,0.2,0.2,100,
mult_741,0.2,0.2,100,
mult_742,0.2,0.2,100,
mult_743,0.2,0.2,100,
mult_744,0.2,0.2,100,
mult_745,0.2,0.2,100,
mult_746,0.2,0.2,100,
mult_747,0.2,0.2,100,
mult_748,0.2,0.2,100,
mult_749,0.2,0.2,100,
mult_750,0.2,0.2,100,
mult_751,0.2,0.2,100,
mult_752,0.2,0.2,100,
mult_753,0.2,0.2,100,
mult_754,0.2,0.2,100,
mult_755,0.2,0.2,100,
mult_756,0.2,0.2,100,
mult_757,0.2,0.2,100,
mult_758,0.2,0.2,100,
mult_759,0.2,0.2,100,
mult_760,0.2,0.2,100,
mult_761,0.2,0.2,100,
mult_762,0.2,0.2,100,
mult_763,0.2,0.2,100,
mult_764,0.2,0.2,100,
mult_765,0.2,0.2,100,
mult_766,0.2,0.2,100,
mult_767,0.2,0.2,100,
mult_768,0.2,0.2,100,
mult_769,0.2,0.2,100,
mult_770,0.2,0.2,100,
mult_771,0.2,0.2,100,
mult_772,0.2,0.2,100,
mult_773,0.2,0.2,100,
mult_774,0.2,0.2,100,
mult_775,0.2,0.2,100,
mult_776,0.2,0.2,100,
mult_777,0.2,0.2,100,
mult_778,0.2,0.2,100,
mult_779,0.2,0.2,100,
mult_780,0.2,0.2,100,
mult_781,0.2,0.2,100,
mult_782,0.2,0.2,100,
mult_783,0.2,0.2,100,
mult_784,0.2,0.2,100,
mult_785,0.2,0.2,100,
mult_786,0.2,0.2,100,
mult_787,0.2,0.2,100,
mult_788,0.2,0.2,100,
mult_789,0.2,0.2,100,
mult_790,0.2,0.2,100,
mult_791,0.2,0.2,100,
mult_792,0.2,0.2,100,
mult_793,0.2,0.2,100,
mult_794,0.2,0.2,100,
mult_795,0.2,0.2,100,
mult_796,0.2,0.2,100,
mult_797,0.2,0.2,100,
mult_798,0.2,0.2,100,
mult_799,0.2,0.2,100,
mult_800,0.2,0.2,100,
mult_801,0.2,0.2,100,
mult_802,0.2,0.2,100,
mult_803,0.2,0.2,100,
mult_804,0.2,0.2,100,
mult_805,0.2,0.2,100,
mult_806,0.2,0.2,100,
mult_807,0.2,0.2,100,
mult_808,0.2,0.2,100,
mult_809,0.2,0.2,100,
mult_810,0.2,0.2,100,
mult_811,0.2,0.2,100,
mult_812,0.2,0.2,100,
mult_813,0.2,0.2,100,
mult_814,0.2,0.2,100,
mult_815,0.2,0.2,100,
mult_816,0.2,0.2,100,
mult_817,0.2,0.2,100,
mult_818,0.2,0.2,100,
mult_819,0.2,0.2,100,
mult_820,0.2,0.2,100,
mult_821,0.2,0.2,100,
mult_822,0.2,0.2,100,
mult_823,0.2,0.2,100,
mult_824,0.2,0.2,100,
mult_825,0.2,0.2,100,
mult_826,0.2,0.2,100,
mult_827,0.2,0.2,100,
mult_828,0.2,0.2,100,
mult_829,0.2,0.2,100,
mult_830,0.2,0.2,100,
mult_831,0.2,0.2,100,
mult_832,0.2,0.2,100,
mult_833,0.2,0.2,100,
mult_834,0.2,0.2,100,
mult_835,0.2,0.2,100,
mult_836,0.2,0.2,100,
mult_837,0.2,0.2,100,
mult_838,0.2,0.2,100,
mult_839,0.2,0.2,100,
mult_840,0.2,0.2,100,
mult_841,0.2,0.2,100,
mult_842,0.2,0.2,100,
mult_843,0.2,0.2,100,
mult_844,0.2,0.2,100,
mult_845,0.2,0.2,100,
mult_846,0.2,0.2,100,
mult_847,0.2,0.2,100,
mult_848,0.2,0.2,100,
mult_849,0.2,0.2,100,
mult_850,0.2,0.2,100,
mult_851,0.2,0.2,100,
mult_852,0.2,0.2,100,
mult_853,0.2,0.2,100,
mult_854,0.2,0.2,100,
mult_855,0.2,0.2,100,
mult_856,0.2,0.2,100,
mult_857,0.2,0.2,100,
mult_858,0.2,0.2,100,
mult_859,0.2,0.2,100,
mult_860,0.2,0.2,100,
mult_861,0.2,0.2,100,
mult_862,0.2,0.2,100,
mult_863,0.2,0.2,100,
mult_864,0.2,0.2,100,
mult_865,0.2,0.2,100,
mult_866,0.2,0.2,100,
mult_867,0.2,0.2,100,
mult_868,0.2,0.2,100,
