identifier,inBundle,lowerBoundingBoxLine,upperBoundingBoxLine,h
egg_green_V2.lvl,0,0,0.9,
egg_green_V3.lvl,0,0,0.9,
egg_green_V4.lvl,0,0,0.9,
egg_green_V5.lvl,0,0,0.9,
egg_green_V6.lvl,0,0,0.9,
egg_green_V7.lvl,0,0,0.9,
egg_green_V8.lvl,0,0,0.9,
egg_green_V9.lvl,0,0,0.9,
egg_green_V10.lvl,0,-0.1,0.85,
egg_green_V11.lvl,0,0,0.9,
egg_green_V12.lvl,0,0,0.9,
egg_green_V13.lvl,0,0,0.9,
egg_green_V14.lvl,0,0,0.9,
egg_green_V15.lvl,0,0,0.9,
egg_green_V16.lvl,0,0,0.9,
egg_green_V17.lvl,0,0,0.9,
egg_gold_V1.lvl,0,0,0.9,
egg_gold_V2.lvl,0,0,0.9,
egg_gold_V3.lvl,0,0,0.9,
egg_gold_V4.lvl,0,0,0.9,
egg_gold_V5.lvl,0,0,0.9,
egg_gold_V6.lvl,0,0,0.9,
egg_gold_V7.lvl,0,0,0.9,
egg_gold_V8.lvl,0,0,0.9,
egg_gold_V9.lvl,0,0,0.9,
egg_gold_V10.lvl,0,-0.1,0.85,
egg_gold_V11.lvl,0,0,0.9,
egg_gold_V12.lvl,0,0,0.9,
egg_gold_V13.lvl,0,0,0.9,
egg_gold_V14.lvl,0,0,0.9,
egg_gold_V15.lvl,0,0,0.9,
egg_gold_V16.lvl,0,0,0.9,
egg_gold_V17.lvl,0,0,0.9,
egg_blue_V1.lvl,0,0,0.9,
egg_blue_V2.lvl,0,0,0.9,
egg_blue_V3.lvl,0,0,0.9,
egg_blue_V4.lvl,0,0,0.9,
egg_blue_V5.lvl,0,0,0.9,
egg_blue_V6.lvl,0,0,0.9,
egg_blue_V7.lvl,0,0,0.9,
egg_blue_V8.lvl,0,0,0.9,
egg_blue_V9.lvl,0,0,0.9,
egg_blue_V10.lvl,0,-0.1,0.85,
egg_blue_V11.lvl,0,0,0.9,
egg_blue_V12.lvl,0,0,0.9,
egg_blue_V13.lvl,0,-0.05,0.9,
egg_blue_V14.lvl,0,0,0.9,
egg_blue_V15.lvl,0,0,0.9,
egg_blue_V16.lvl,0,0,0.9,
egg_blue_V17.lvl,0,0,0.9,
egg_teal_base01.lvl,0,0,0.9,
egg_blue_rare01.lvl,0,0,0.9,
egg_green_rare01.lvl,0,0,0.9,
egg_orange_rare01.lvl,0,0,0.9,
egg_purple_rare01.lvl,0,0,0.9,
egg_red_base01.lvl,0,0,0.9,
egg_teal_rare01.lvl,0,0,0.9,
egg_yellow_base01.lvl,0,0,0.9,
egg_yellow_rare01.lvl,0,0,0.9,
egg_sapphire_V1.lvl,0,0,0.9,
egg_sapphire_V2.lvl,0,0,0.9,
egg_sapphire_V3.lvl,0,0,0.9,
egg_sapphire_V4.lvl,0,0,0.9,
egg_sapphire_V5.lvl,0,0,0.9,
egg_sapphire_V6.lvl,0,0,0.9,
egg_sapphire_V7.lvl,0,0,0.9,
egg_garnet_V1.lvl,0,0,0.9,
egg_garnet_V2.lvl,0,0,0.9,
egg_garnet_V3.lvl,0,0,0.9,
egg_garnet_V4.lvl,0,0,0.9,
egg_garnet_V5.lvl,0,0,0.9,
egg_garnet_V6.lvl,0,0,0.9,
egg_garnet_V7.lvl,0,0,0.9,
egg_garnet_V8.lvl,0,0,0.9,
egg_garnet_V9.lvl,0,0,0.9,
egg_emerald_V1.lvl,0,0,0.9,
egg_emerald_V2.lvl,0,0,0.9,
egg_emerald_V3.lvl,0,0,0.9,
egg_emerald_V4.lvl,0,0,0.9,
egg_emerald_V5.lvl,0,0,0.9,
egg_emerald_V6.lvl,0,0,0.9,
egg_emerald_V7.lvl,0,0,0.9,
egg_emerald_V8.lvl,0,0,0.9,
egg_emerald_V9.lvl,0,0,0.9,
egg_obsidian_V1.lvl,0,0,0.9,
egg_obsidian_V2.lvl,0,0,0.9,
egg_obsidian_V3.lvl,0,0,0.9,
egg_obsidian_V4.lvl,0,0,0.9,
egg_obsidian_V5.lvl,0,0,0.9,
egg_obsidian_V6.lvl,0,0,0.9,
egg_obsidian_V7.lvl,0,0,0.9,
egg_obsidian_V8.lvl,0,0,0.9,
egg_obsidian_V9.lvl,0,0,0.9,
egg_world_V1.lvl,0,0,0.9,
egg_world_V2.lvl,0,0,0.9,
egg_world_V3.lvl,0,0,0.9,
egg_world_V4.lvl,0,0,0.9,
egg_world_V5.lvl,0,0,0.9,
egg_world_V6.lvl,0,0,0.9,
egg_world_V7.lvl,0,0,0.9,
egg_world_V8.lvl,0,0,0.9,
egg_world_V9.lvl,0,0,0.9,
egg_world2_V1.lvl,0,0,0.9,
egg_world2_V2.lvl,0,0,0.9,
egg_world2_V3.lvl,0,0,0.9,
egg_world2_V4.lvl,0,0,0.9,
egg_world2_V5.lvl,0,0,0.9,
egg_world2_V6.lvl,0,0,0.9,
egg_world2_V7.lvl,0,0,0.9,
egg_world2_V8.lvl,0,0,0.9,
egg_world2_V9.lvl,0,0,0.9,
egg_world2_V10.lvl,0,0,0.9,
egg_world2_V11.lvl,0,0,0.9,
egg_world2_V12.lvl,0,0,0.9,
egg_world2_V13.lvl,0,0,0.9,
egg_world2_V14.lvl,0,0,0.9,
egg_world2_V15.lvl,0,0,0.9,
egg_world2_V16.lvl,0,0,0.9,
egg_world2_V17.lvl,0,0,0.9,
egg_world3_V1.lvl,0,0,0.9,
egg_world3_V2.lvl,0,0,0.9,
egg_world3_V3.lvl,0,0,0.9,
egg_world3_V4.lvl,0,0,0.9,
egg_world3_V5.lvl,0,0,0.9,
egg_world3_V6.lvl,0,0,0.9,
egg_world3_V7.lvl,0,0,0.9,
egg_world3_V8.lvl,0,0,0.9,
egg_world3_V9.lvl,0,0,0.9,
egg_world3_V10.lvl,0,0,0.9,
egg_abyssal_V1.lvl,0,0,0.9,
egg_abyssal_V2.lvl,0,0,0.9,
egg_abyssal_V3.lvl,0,0,0.9,
egg_abyssal_V4.lvl,0,0,0.9,
egg_abyssal_V5.lvl,0,0,0.9,
egg_abyssal_V6.lvl,0,0,0.9,
egg_abyssal_V7.lvl,0,0,0.9,
egg_abyssal_V8.lvl,0,0,0.9,
egg_abyssal_V9.lvl,0,0,0.9,
egg_abyssal_V10.lvl,0,0,0.9,
egg_abyssal_V11.lvl,0,0,0.9,
egg_abyssal_V12.lvl,0,0,0.9,
egg_abyssal_V13.lvl,0,0,0.9,
egg_abyssal_V14.lvl,0,0,0.9,
egg_abyssal_V15.lvl,0,0,0.9,
egg_abyssal_V16.lvl,0,0,0.9,
egg_abyssal_V17.lvl,0,0,0.9,!@#ohglhmnekmdjjhbi
