identifier,inBundle,initialAmount,defaultMinAmount,defaultMaxAmount,isStoredInStorage,menuSortOrder,displaySingular,displayPlural,logEarnings,sceneFile,grayscaleImageFilename,coloredImageFilename,eggFragmentImageFilename,findMoreDisplayText,componentRewardBuildsText,currencyCategory,h
yellowEggCurrency,0,0,-100000000,100000000,0,0,Yellow egg,Yellow eggs,1,egg_yellow_base01.lvl,,img_egg_yellow_01.png,img_egg_yellow_01.png,,,Dragon Egg,
silverEggCurrency,0,0,-100000000,100000000,0,0,Silver egg,Silver eggs,1,egg_yellow_base01.lvl,,img_egg_yellow_01.png,img_egg_yellow_01.png,,,Dragon Egg,
goldEggCurrency,0,0,-100000000,100000000,0,0,Gold egg,Gold eggs,1,egg_gold_V1.lvl,,img_egg_yellow_01.png,img_egg_yellow_01.png,,,Dragon Egg,
blueRareEggCurrency,0,0,-100000000,100000000,0,0,Rare blue egg,Rare blue eggs,1,egg_blue_rare01.lvl,,img_egg_blue_rare_01.png,img_egg_blue_rare_01.png,,,Dragon Egg,
greenRareEggCurrency,0,0,-100000000,100000000,0,0,Rare green egg,Rare green eggs,1,egg_green_rare01.lvl,,img_egg_green_rare_01.png,img_egg_green_rare_01.png,,,Dragon Egg,
orangeRareEggCurrency,0,0,-100000000,100000000,0,0,Rare orange egg,Rare orange eggs,1,egg_orange_rare01.lvl,,img_egg_orange_rare_01.png,img_egg_orange_rare_01.png,,,Dragon Egg,
purpleRareEggCurrency,0,0,-100000000,100000000,0,0,Rare purple egg,Rare purple eggs,1,egg_purple_rare01.lvl,,img_egg_purple_rare_01.png,img_egg_purple_rare_01.png,,,Dragon Egg,
redRareEggCurrency,0,0,-100000000,100000000,0,0,Rare red egg,Rare red eggs,1,egg_red_base01.lvl,,img_egg_red_01.png,img_egg_red_01.png,,,Dragon Egg,
tealRareEggCurrency,0,0,-100000000,100000000,0,0,Rare teal egg,Rare teal eggs,1,egg_teal_rare01.lvl,,img_egg_teal_rare_01.png,img_egg_teal_rare_01.png,,,Dragon Egg,
yellowRareEggCurrency,0,0,-100000000,100000000,0,0,Rare yellow egg,Rare yellow eggs,1,egg_yellow_rare01.lvl,,img_egg_yellow_rare_01.png,img_egg_yellow_rare_01.png,,,Dragon Egg,
blueEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic blue egg,Epic blue eggs,1,egg_blue_rare01.lvl,,img_egg_blue_rare_01.png,img_egg_blue_rare_01.png,,,Dragon Egg,
greenEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic green egg,Epic green eggs,1,egg_green_rare01.lvl,,img_egg_green_rare_01.png,img_egg_green_rare_01.png,,,Dragon Egg,
orangeEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic orange egg,Epic orange eggs,1,egg_orange_rare01.lvl,,img_egg_orange_rare_01.png,img_egg_orange_rare_01.png,,,Dragon Egg,
purpleEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic purple egg,Epic purple eggs,1,egg_purple_rare01.lvl,,img_egg_purple_rare_01.png,img_egg_purple_rare_01.png,,,Dragon Egg,
redEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic red egg,Epic red eggs,1,egg_red_base01.lvl,,img_egg_red_01.png,img_egg_red_01.png,,,Dragon Egg,
tealEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic teal egg,Epic teal eggs,1,egg_teal_rare01.lvl,,img_egg_teal_rare_01.png,img_egg_teal_rare_01.png,,,Dragon Egg,
yellowEpicEggCurrency,0,0,-100000000,100000000,0,0,Epic yellow egg,Epic yellow eggs,1,egg_yellow_rare01.lvl,,img_egg_yellow_rare_01.png,img_egg_yellow_rare_01.png,,,Dragon Egg,
breedingToken,1,15,0,100000000,0,0,Egg Token,Egg Tokens,1,,,icon_breeder_token_01.png,,,,Common,
goldBreedingToken,1,15,0,100000000,0,0,Gold egg token,Gold egg tokens,1,,,icon_breeder_token_premium.png,,,,none,
key,0,0,0,100000000,0,0,Armory Key,Armory Keys,1,,event_708_small_icon_keyGold_V2.png,event_708_small_icon_keyGold_V2.png,,,,none,
skirmishFury,0,0,0,100000000,0,0,Battle Fury,Battle Furies,1,,event_708_small_icon_boost_skirmishFuryV2.png,event_708_small_icon_boost_skirmishFuryV2.png,,,,none,
skirmishFuryTeam,0,0,0,100000000,0,0,Team Battle Fury,Team Battle Furies,1,,event_708_small_icon_boost_skirmishFuryTeamV2.png,event_708_small_icon_boost_skirmishFuryTeamV2.png,,,,none,
barricade0,0,0,0,100000000,0,0,Wood Barricade,Wood Barricades,1,,event_708_small_icon_boost_woodBarricadeV2.png,event_708_small_icon_boost_woodBarricadeV2.png,,,,none,
barricade1,0,0,0,100000000,0,0,Stone Barricade,Stone Barricades,1,,event_708_small_icon_boost_stoneBarricadeV2.png,event_708_small_icon_boost_stoneBarricadeV2.png,,,,none,
barricade2,0,0,0,100000000,0,0,Steel Barricade,Steel Barricades,1,,event_708_small_icon_boost_stellBarricadeV2.png,event_708_small_icon_boost_stellBarricadeV2.png,,,,none,
instakillRaider,0,0,0,100000000,0,0,Kill Raider,Kill Raiders,1,,event_708_small_icon_boost_raiderKillV2.png,event_708_small_icon_boost_raiderKillV2.png,,,,none,
defenseCollectCurrency,0,1,0,1,0,0,Defense token,Defense tokens,0,,,,,,,Misc,
chest0,0,0,0,100000000,0,0,Bronze Chests,Bronze Chests,1,,icon_treasureChest_01.png,icon_treasureChest_01.png,,,,Events,
chest1,0,0,0,100000000,0,0,Silver Chest,Silver Chests,1,,icon_treasureChest_02.png,icon_treasureChest_02.png,,,,Events,
chest2,0,0,0,100000000,0,0,Gold Chest,Gold Chests,1,,icon_treasureChest_03.png,icon_treasureChest_03.png,,,,Events,
energyPack,0,0,0,100000000,0,0,Energy Pack,Energy Pack,1,,energypack.png,energypack.png,,,,Events,
runeDust,0,0,0,100000000,0,0,Rune Dust,Rune Dust,1,,,icon_runeDust.png,,,,Common,
marchBlueDragon,0,0,0,100000000,0,0,Thraex egg,Thraex eggs,1,,,img_egg_blue_rare_01.png,img_egg_blue_rare_01.png,,,none,
TrialsMiracle,0,0,0,100000000,0,0,Miracle,Miracle,1,,,miracleIcon.png,,,,none,
iceShard,0,0,0,100000000,0,0,Ice Shard,Ice Shard,1,,,icon_iceShard.png,,,,Crafting/Construction,
aprilBlueDragon,0,0,0,100000000,0,0,Kinnarakku egg,Kinnarakku eggs,1,,,img_egg_blue_rare_01.png,img_egg_blue_rare_01.png,,,none,
innerFireBuffApril,0,0,0,9,0,0,Kinnarakku Buff,Kinnarakku Buff,1,,,,,,,none,
chest3,0,0,0,100000000,0,0,Epic Rune Chest,Epic Rune Chest,1,,,,,,,Events,
platinumEggCurrency,0,0,-100000000,100000000,0,0,Platinum Egg,Platinum Eggs,1,egg_platinum_V1.lvl,,img_egg_platinum_01.png,img_egg_platinum_01.png,,,Dragon Egg,
fireShard,0,0,0,100000000,0,0,Fire Shard,Fire Shard,1,,,icon_fireShard.png,,,,Crafting/Construction,
mysticFragment,0,0,0,100000000,0,0,Mystic Fragment,Mystic Fragments,1,,,img_egg_mystic_fragment.png,img_egg_mystic_fragment.png,Mystic Fragment can turn to any egg fragment you want! Go win a weekly event and get some more!,,Dragon Egg,
mayBlueDragon,0,0,0,100000000,0,0,Magmorr Egg,Magmorr Eggs,1,egg_platinum_V1.lvl,,img_egg_platinum_01.png,img_egg_platinum_01.png,,,none,
chest4,0,0,0,100000000,0,0,Epic Gold Chest,Epic Gold Chest,1,,,,,,,Events,
siege0,0,0,0,100000000,0,0,Rare Siege Weapon,Rare Siege Weapon,1,,icon_seige_01.png,icon_seige_01.png,,,,none,
siege1,0,0,0,100000000,0,0,Epic Siege Weapon,Epic Siege Weapon,1,,icon_seige_02.png,icon_seige_02.png,,,,none,
siege2,0,0,0,100000000,0,0,Legendary Siege Weapon,Legendary Siege Weapon,1,,icon_seige_03.png,icon_seige_03.png,,,,none,
juneTwitchDragon,0,0,0,100000000,0,0,Necroth Egg,Necroth Egg,1,egg_platinum_V1.lvl,,img_egg_platinum_01.png,,,,none,
juneTwitchShirt,0,0,0,100000000,0,0,Necroth Shirt,Necroth Shirts,1,,icon_treasureChest_03_winter.png,icon_treasureChest_03_winter.png,,,,none,
elementalEmber,0,0,0,100000000,0,0,Elemental Ember,Elemental Ember,1,,,icon_elementalPrism.png,,,,Crafting/Construction,
julyShirt,0,0,0,100000000,0,0,Necroth Shirt,Necroth Shirts,1,,icon_treasureChest_03_winter.png,icon_treasureChest_03_winter.png,,,,none,
julyBlueDragon,0,0,0,100000000,0,0,Grumble Egg,Grumble Eggs,1,egg_blue_rare01.lvl,,img_egg_blue_rare_01.png,img_egg_blue_rare_01.png,,,none,
augustOrangeStone,0,0,0,1,0,0,Sigurd Orange Evolution Stone,Sigurd Orange Evolution Stones,1,,,icon_evolution_stone_orange.png,,Used to evolve Sigurd to Orange tier!,,Evolution Stones,
augustGreenStone,0,0,0,1,0,0,Sigurd Green Evolution Stone,Sigurd Green Evolution Stones,1,,,icon_evolution_stone_green.png,,Used to evolve Sigurd to Green Tier!,,Evolution Stones,
augustGoldStone,0,0,0,1,0,0,Sigurd Gold Evolution Stone,Sigurd Gold Evolution Stones,1,,,icon_evolution_stone_yellow.png,,Used to evolve Sigurd to Gold Tier!,,Evolution Stones,
augustPlatinumStone,0,0,0,1,0,0,Sigurd Platinum Evolution Stone,Sigurd Platinum Evolution Stones,1,,,icon_evolution_stone_platinum.png,,Used to evolve Sigurd to Platinum Tier!,,Evolution Stones,
valor,0,0,0,100000000,0,0,Valor,Valor,1,,,valorIcon_bronze.png,,,,Atlas,
greatValor,0,0,0,100000000,0,0,Great Valor,Great Valor,1,,,greatValorIcon_platinum.png,,,,Atlas,
newYearsDragon,0,0,0,100000000,0,0,Meridian Egg Fragment,Meridian Egg Fragment,1,egg_yellow_base01.lvl,,img_egg_yellow_01.png,img_egg_yellow_01.png,Used to incubate Meridian!,,none,
marchGoldDragon,0,0,0,100000000,0,0,Dimachaerus Egg Fragment,Dimachaerus Egg Fragment,1,egg_yellow_base01.lvl,,img_egg_yellow_01.png,img_egg_yellow_01.png,Used to incubate Dimachaerus!,,none,
aprilGoldDragon,0,0,0,100000000,0,0,Fennrok Egg Fragment,Fennrok Egg Fragment,1,egg_yellow_base01.lvl,,img_egg_yellow_01.png,img_egg_yellow_01.png,Used to incubate Fennrok!,,none,
bixiDragon,0,0,0,100000000,0,0,Bixi Egg Fragment,Bixi Egg Fragment,1,egg_green_V1.lvl,,img_egg_green_01.png,img_egg_green_01.png,Used to incubate Bixi!,,none,
marchGreenDragon,0,0,0,100000000,0,0,Samnite Egg Fragment,Samnite Egg Fragment,1,egg_green_V1.lvl,,img_egg_green_01.png,img_egg_green_01.png,Used to incubate Samnite!,,none,
chest5,0,0,0,100000000,0,0,Dragon Fragment Chest,Dragon Fragment Chest,1,,icon_treasureChest_05.png,icon_treasureChest_05.png,,,,Events,
goldDivineFragment,0,0,0,100000000,0,0,Gold Divine Fragment,Gold Divine Fragment,1,,,img_egg_mystic_fragment.png,img_egg_mystic_fragment.png,"Gold Divine Fragment can turn to an egg fratment for Dimachaerus, Meridian or Fennrok!",,none,
bullhorn,0,0,0,100000000,0,0,Bullhorn,Bullhorn,1,,,bullhorn-full-rez.png,,,,Misc,
sapphireEggCurrency,0,0,-100000000,100000000,0,0,Sapphire egg,Sapphire eggs,1,egg_sapphire_V1.lvl,,img_egg_sapphire_01.png,img_egg_sapphire_01.png,,,Dragon Egg,
fallDestinySigil,0,0,0,100000000,0,0,Fall '16 Destiny Sigil,Fall '16 Destiny Sigil,1,,,Coin_Clr.png,,,,none,
fallDestinySigil2017,0,0,0,100000000,0,0,Fall '17 Destiny Sigil,Fall '17 Destiny Sigil,1,,,Coin_Clr.png,,,,none,
wintertideSigil,0,0,0,100000000,0,0,Wintertide Sigil,Wintertide Sigil,1,,,icon_coinWinter.png,,,,none,
branch1OrangeStone,0,0,0,1,0,0,Skarr Orange Evolution Stone,Skarr Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
branch1GreenStone,0,0,0,1,0,0,Skarr Green Evolution Stone,Skarr Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
branch1GoldStone,0,0,0,1,0,0,Skarr Gold Evolution Stone,Skarr Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
branch1PlatinumStone,0,0,0,1,0,0,Skarr Platinum Evolution Stone,Skarr Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
branch1SapphireStone,0,0,0,1,0,0,Skarr Sapphire Evolution Stone,Skarr Sapphire Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
branch2OrangeStone,0,0,0,1,0,0,Nightshade Orange Evolution Stone,Nightshade Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
branch2GreenStone,0,0,0,1,0,0,Nightshade Green Evolution Stone,Nightshade Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
branch2GoldStone,0,0,0,1,0,0,Nightshade Gold Evolution Stone,Nightshade Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
branch2PlatinumStone,0,0,0,1,0,0,Nightshade Platinum Evolution Stone,Nightshade Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
branch2SapphireStone,0,0,0,1,0,0,Nightshade Sapphire Evolution Stone,Nightshade Sapphire Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
sapphireRareEggCurrency,0,0,-100000000,100000000,0,0,Rare sapphire egg,Rare sapphire eggs,1,egg_sapphire_V7.lvl,,img_egg_sapphire_rare_01.png,img_egg_sapphire_rare_01.png,,,Dragon Egg,
branch3OrangeStone,0,0,0,1,0,0,Ebon Orange Evolution Stone,Ebon Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
branch3GreenStone,0,0,0,1,0,0,Ebon Green Evolution Stone,Ebon Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
branch3GoldStone,0,0,0,1,0,0,Ebon Gold Evolution Stone,Ebon Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
branch3PlatinumStone,0,0,0,1,0,0,Ebon Platinum Evolution Stone,Ebon Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
branch3SapphireStone,0,0,0,1,0,0,Ebon Sapphire Evolution Stone,Ebon Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
altheaCurrency,0,0,0,1,0,0,Althea Portrait,Althea Portrait,1,,,img_portrait_waraccoladesfred_02.png,,,,Portraits,
rianCurrency,0,0,0,1,0,0,Rian Portrait,Rian Portrait,1,,,img_portrait_waraccoladesmred_02.png,,,,Portraits,
altheaAnimatedCurrency,0,0,0,1,0,0,Animated Althea Portrait,Animated Althea Portrait,1,,,img_portrait_waraccoladesfred_02.png,,,,Portraits,
rianAnimatedCurrency,0,0,0,1,0,0,Animated Rian Portrait,Animated Rian Portrait,1,,,img_portrait_waraccoladesmred_02.png,,,,Portraits,
branch4OrangeStone,0,0,0,1,0,0,Phasmos Orange Evolution Stone,Phasmos Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
branch4GreenStone,0,0,0,1,0,0,Phasmos Green Evolution Stone,Phasmos Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
branch4GoldStone,0,0,0,1,0,0,Phasmos Gold Evolution Stone,Phasmos Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
branch4PlatinumStone,0,0,0,1,0,0,Phasmos Platinum Evolution Stone,Phasmos Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
branch4SapphireStone,0,0,0,1,0,0,Phasmos Sapphire Evolution Stone,Phasmos Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
branch4GarnetStone,0,0,0,1,0,0,Phasmos Garnet Evolution Stone,Phasmos Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
ancientStone,0,0,0,100000000,0,0,Ancient Stone,Ancient Stones,1,,,icon_perchCurrency.png,,,,none,
garnetEggCurrency,0,0,-100000000,100000000,0,0,Garnet egg,Garnet eggs,1,egg_garnet_V1.lvl,,img_egg_garnet_01.png,img_egg_garnet_01.png,,,Dragon Egg,
winterSorcererOrangeStone,0,0,0,1,0,0,Tengu Orange Evolution Stone,Tengu Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
winterSorcererGreenStone,0,0,0,1,0,0,Tengu Green Evolution Stone,Tengu Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
winterSorcererGoldStone,0,0,0,1,0,0,Tengu Gold Evolution Stone,Tengu Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
winterSorcererPlatinumStone,0,0,0,1,0,0,Tengu Platinum Evolution Stone,Tengu Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
winterSorcererSapphireStone,0,0,0,1,0,0,Tengu Sapphire Evolution Stone,Tengu Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
winterSorcererGarnetStone,0,0,0,1,0,0,Tengu Garnet Evolution Stone,Tengu Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
winterWarriorOrangeStone,0,0,0,1,0,0,Tarand Orange Evolution Stone,Tarand Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
winterWarriorGreenStone,0,0,0,1,0,0,Tarand Green Evolution Stone,Tarand Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
winterWarriorGoldStone,0,0,0,1,0,0,Tarand Gold Evolution Stone,Tarand Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
winterWarriorPlatinumStone,0,0,0,1,0,0,Tarand Platinum Evolution Stone,Tarand Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
winterWarriorSapphireStone,0,0,0,1,0,0,Tarand Sapphire Evolution Stone,Tarand Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
winterWarriorGarnetStone,0,0,0,1,0,0,Tarand Garnet Evolution Stone,Tarand Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
winterDestinySigil,0,0,0,100000000,0,0,Winter Destiny Sigil,Winter Destiny Sigil,1,,,icon_coinWinter.png,,,,none,
salvageDust,0,0,0,100000000,0,0,Salvage Dust,Salvage Dust,1,,,icon_salvageDust.png,,,,none,
blackPearl,0,0,0,100000000,0,0,Black Pearl,Black Pearl,1,,,icon_blackPearl.png,,,,Crafting/Construction,
winterMythicOrangeStone,0,0,0,1,0,0,Algor Orange Evolution Stone,Algor Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
winterMythicGreenStone,0,0,0,1,0,0,Algor Green Evolution Stone,Algor Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
winterMythicGoldStone,0,0,0,1,0,0,Algor Gold Evolution Stone,Algor Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
winterMythicPlatinumStone,0,0,0,1,0,0,Algor Platinum Evolution Stone,Algor Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
winterMythicSapphireStone,0,0,0,1,0,0,Algor Sapphire Evolution Stone,Algor Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
winterMythicGarnetStone,0,0,0,1,0,0,Algor Garnet Evolution Stone,Algor Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
winterMythicEmeraldStone,0,0,0,1,0,0,Algor Emerald Evolution Stone,Algor Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
winterHunterOrangeStone,0,0,0,1,0,0,Snowdrop Orange Evolution Stone,Snowdrop Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
winterHunterGreenStone,0,0,0,1,0,0,Snowdrop Green Evolution Stone,Snowdrop Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
winterHunterGoldStone,0,0,0,1,0,0,Snowdrop Gold Evolution Stone,Snowdrop Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
winterHunterPlatinumStone,0,0,0,1,0,0,Snowdrop Platinum Evolution Stone,Snowdrop Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
winterHunterSapphireStone,0,0,0,1,0,0,Snowdrop Sapphire Evolution Stone,Snowdrop Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
winterHunterGarnetStone,0,0,0,1,0,0,Snowdrop Garnet Evolution Stone,Snowdrop Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
emeraldEggCurrency,0,0,-100000000,100000000,0,0,Emerald egg,Emerald eggs,1,egg_emerald_V1.lvl,,img_egg_emerald_01.png,img_egg_emerald_01.png,,,Dragon Egg,
springThornCurrency,0,0,0,1,0,0,Rose Thorn Portrait,Rose Thorn Portrait,1,,,img_portrait_archerWD_02.png,,,,Portraits,
SBcurrency,0,0,0,1,0,0,International Women's Day Aurora Portrait,International Women's Day Aurora Portrait,1,,,img_portrait_frostWizardWD_02.png,,,,Portraits,
NaginataCurrency,0,0,0,1,0,0,Naginata Fighter Portrait,Naginata Fighter Portrait,1,,,img_portrait_ronin3_T3_02.png,,,,Portraits,
springDestinySigil,0,0,0,100000000,0,0,Spring Destiny Sigil,Spring Destiny Sigils,1,,,icon_coinSpring.png,,,,none,
springSorcererOrangeStone,0,0,0,1,0,0,Fae Orange Evolution Stone,Fae Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
springSorcererGreenStone,0,0,0,1,0,0,Fae Green Evolution Stone,Fae Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springSorcererGoldStone,0,0,0,1,0,0,Fae Gold Evolution Stone,Fae Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
springSorcererPlatinumStone,0,0,0,1,0,0,Fae Platinum Evolution Stone,Fae Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
springSorcererSapphireStone,0,0,0,1,0,0,Fae Sapphire Evolution Stone,Fae Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
springSorcererGarnetStone,0,0,0,1,0,0,Fae Garnet Evolution Stone,Fae Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
springSorcererEmeraldStone,0,0,0,1,0,0,Fae Emerald Evolution Stone,Fae Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springWarriorOrangeStone,0,0,0,1,0,0,Sage Orange Evolution Stone,Sage Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
springWarriorGreenStone,0,0,0,1,0,0,Sage Green Evolution Stone,Sage Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springWarriorGoldStone,0,0,0,1,0,0,Sage Gold Evolution Stone,Sage Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
springWarriorPlatinumStone,0,0,0,1,0,0,Sage Platinum Evolution Stone,Sage Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
springWarriorSapphireStone,0,0,0,1,0,0,Sage Sapphire Evolution Stone,Sage Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
springWarriorGarnetStone,0,0,0,1,0,0,Sage Garnet Evolution Stone,Sage Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
springWarriorEmeraldStone,0,0,0,1,0,0,Sage Emerald Evolution Stone,Sage Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springDemonOrangeStone,0,0,0,1,0,0,Abraxxas Orange Evolution Stone,Abraxxas Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
springDemonGreenStone,0,0,0,1,0,0,Abraxxas Green Evolution Stone,Abraxxas Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springDemonGoldStone,0,0,0,1,0,0,Abraxxas Gold Evolution Stone,Abraxxas Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
springDemonPlatinumStone,0,0,0,1,0,0,Abraxxas Platinum Evolution Stone,Abraxxas Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
