identifier,inBundle,displayName,displayBlurb,displayDescriptionIdentifier,displayUpgradeDescriptionIdentifier,unlockAchievement,researchRequirements,shouldLimitPerIsland,maxTowersPerIsland,achievementsMaxAmountIncrease,defaultMaxLevel,researchMaxLevelIncrease,buildingAttribute,contextMenuPower,upgradeCSVFileName,attackType,attackTypeSprite,tacticalTypeSprite,buildingClass,buildingType,gridWidth,gridHeight,overlayAnimationScene,canMove,canDelete,canBuy,canUpgrade,shouldFaceDragon,showInEncyclopedia,battleBuildingGroup,targetPriority,dontShowHPBar,thumbnailIconFileName,tallIconFilename,lockedIconFileName,powerupIconFileName,minToNextIdle,maxToNextIdle,numIdleLoops,attackStartVal,hpStartVal,rangeStartVal,baseDestroyedMultiplier,viewControllerClassName,customButtonText,dragonsStrongAgainst,isAttackable,isAutoTargetable,canBeOneShotKilled,buildingTooltipTypeIdentifiers,extraAttackRadius,projectileHeightOffset,videoTutorial,explosionSoundEvent,attackSoundEvent,isScaffoldingHidden,buildingCategory,enableSupershotLayerForInfoView,meaningfulDestroy,compatibleReskins,vfxsOnDragon,vfxPriority,restrictedBuildingCombo,h
elementalFlakFire,0,Fire Flak Tower,High elemental damage and reduces dragon attack!,buildingDescription_fireFlakTower,buildingDescription_fireFlakTower,level55,,1,1,level55:1|level60:1|level70:1|level80:1|level85:1|level90:1|level95:2,95,,,Reduces targeted dragon attack damage temporarily,ElementalFlakUpgradesFire.csv,fireFlak,icon_flak_tower_fire.png,icon_flak_tower_fire.png,flak,TOWER,3,3,,1,1,1,1,1,1,,0,,image_flakFire_01.png,image_flakFire_02.png,image_flakFire_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,fireFlakTower,tower_exploded,,,elementalFlakFire,1,1,,deathEffectOnDragon:imp_flackFire_onDest.lvl|supershotEffectOnDragon:fire_burn_super|deathEffectProjectile:prj_elementalFlakFire_death,4,,
wm_stable,1,Dragons Den,Where dragons are trained.,buildingDescription_stable,buildingUpgradeDescription_stable,,,,,level01:1,109,,,Train Dragons,WMStableUpgrades.csv,,,,economy,STABLE,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_stable_01.png,image_stable_02.png,image_stable_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,View Dragons,,1,1,1,,15,,,base_tower_exploded,,,stable,0,0,stable_gold|stable_silver|stable_bronze,,,,
poacher,0,Poacher,Dragon Poacher Boat,buildingDescription_woodFarm,buildingUpgradeDescription_woodFarm,,,,,,1,,,,BoatPoacherUpgrades.csv,,,icon_perch.png,poacher,POACHER,3,3,icon_lumber.lvl,1,1,0,1,0,0,,0,,image_lumber_01.png,image_lumber_02.png,image_lumber_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,harvestRateFarm|harvestCapFarm,,,woodFarm,tower_exploded,,,poacher,0,1,,,,,
poacherGuard,0,Poacher Guard,Guard of Dragon Poacher Boat,buildingDescription_woodFarm,buildingUpgradeDescription_woodFarm,,,,,,1,,,,BoatPoacherGuardUpgrades.csv,,,icon_perch.png,poacherGuard,POACHERGUARD,3,3,icon_lumber.lvl,1,1,0,1,0,0,,0,,image_lumber_01.png,image_lumber_02.png,image_lumber_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,harvestRateFarm|harvestCapFarm,,,woodFarm,tower_exploded,,,poacher,0,1,,,,,
elementalFlakIce,0,Ice Flak Tower,Elemental damage slows Hunter's ammo regeneration. Supershot disables spell cast.,buildingDescription_iceFlakTower,buildingDescription_iceFlakTower,level55,,1,1,level55:1|level60:1|level70:1|level80:1|level85:1|level90:1|level95:2,95,,,Disables targeted dragon's spell cast temporarily,ElementalFlakUpgradesIce.csv,iceFlak,icon_flak_tower_ice.png,icon_flak_tower_ice.png,flak,TOWER,3,3,,1,1,1,1,1,1,,0,,image_flakIce_01.png,image_flakIce_02.png,image_flakIce_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,iceFlakTower,tower_exploded,,,elementalFlakIce,1,1,,,,,
elementalFlakWind,0,Electro-Flak Tower,High elemental damage and increases nearby towers' supershot damage.,buildingDescription_windFlakTower,buildingDescription_windFlakTower,level65,,1,1,level65:1|level70:1|level80:1|level90:1|level95:1|level100:1|level105:2,95,,,Increases nearby Flak Towers' supershot damage.,ElementalFlakUpgradesWind.csv,windFlak,icon_flak_tower_wind.png,icon_flak_tower_wind.png,flak,TOWER,3,3,,1,1,1,1,1,1,,0,,image_flakWind_01.png,image_flakWind_02.png,image_flakWind_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,windFlakTower,tower_exploded,,,elementalFlakWind,1,1,,,,,
elementalFlakEarth,0,Earth Flak Tower,Elemental damage. Supershot creates invincible shield and adds hp to nearby towers.,buildingDescription_earthFlakTower,buildingDescription_earthFlakTower,level65,,1,1,level65:1|level70:1|level80:1|level90:1|level95:1|level100:1|level105:2,95,,,Create invincible shield for each other nearby towers,ElementalFlakUpgradesEarth.csv,earthFlak,icon_flak_tower_earth.png,icon_flak_tower_earth.png,flak,TOWER,3,3,,1,1,1,1,1,1,,0,,image_flakEarth_01.png,image_flakEarth_02.png,image_flakEarth_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,earthFlakTower,tower_exploded,,,elementalFlakEarth,1,1,,,,stormTower,
archerTowerBoss,0,Archer Boss,Bonus damage when placed on heights!,buildingDescription_archerTower,buildingDescription_archerTower,,,,,,65,,archerAttribute,Height bonus!,ArcherTowerBossUpgrades.csv,archer,icon_tower_archer.png,icon_tower_archer.png,archer,TOWER,3,3,,1,1,0,0,1,1,,0,,image_archer_01.png,image_archer_02.png,image_archer_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,archerTower,tower_exploded,,,archerTower,1,1,,,,,
cannonTowerBoss,0,Cannon Boss,Increasing damage with every shot!,buildingDescription_cannonTower,buildingDescription_cannonTower,,,,,,65,,,Accelerated damage,CannonTowerBossUpgrades.csv,cannon,icon_tower_cannon.png,icon_tower_cannon.png,cannon,TOWER,3,3,,1,1,0,0,1,1,,0,,image_cannon_01.png,image_cannon_02.png,image_cannon_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,cannonTower,tower_exploded,,,cannonTower,1,1,,,,,
trebuchetBoss,0,Trebuchet Boss,Heavy projectiles stun dragons!,buildingDescription_trebuchet,buildingDescription_trebuchet,,,,,,65,,,Stuns dragon,TrebuchetBossUpgrades.csv,trebuchet,icon_tower_trebuchet.png,icon_tower_trebuchet.png,trebuchet,TOWER,3,3,,1,1,0,0,1,1,,0,,image_trebuchet_01.png,image_trebuchet_02.png,image_trebuchet_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,70,200,30,1,,,,1,1,1,attack|health|specialAttack,,,trebuchet,tower_exploded,,,trebuchet,1,1,,,,,
ballistaBoss,0,Ballista Boss,Deadly arrows poison dragons!,buildingDescription_ballista,buildingDescription_ballista,,,,,,65,,,Poisons your dragon,BallistaTowerBossUpgrades.csv,ballista,icon_tower_ballista.png,icon_tower_ballista.png,ballista,TOWER,3,3,,1,1,0,0,1,1,,0,,image_ballista_01.png,image_ballista_02.png,image_ballista_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,15,200,30,1,,,,1,1,1,attack|health|specialAttack,,,ballista,tower_exploded,,,ballista,1,1,,,,,
fireTurretBoss,0,Fire Turret Boss,Set enemies on fire!,buildingDescription_fireTurret,buildingDescription_fireTurret,,,,,,65,,,Burns Dragons,FireTurretBossUpgrades.csv,fire,icon_tower_fire.png,icon_tower_fire.png,fire,TOWER,3,3,,1,1,0,0,0,1,,0,,image_fireTurret_01.png,image_fireTurret_02.png,image_fireTurret_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,1,attack|health|specialAttack,,,fireTurret,tower_exploded,,,fireTurret,0,1,,,,,
iceTurretBoss,0,Ice Turret Boss,Slows dragon attacks and shields allies!,buildingDescription_iceTurret,buildingDescription_iceTurret,,,,,,65,,,Slows Attacks,IceTurretBossUpgrades.csv,ice,icon_tower_ice.png,icon_tower_ice.png,ice,TOWER,3,3,,1,1,0,0,0,1,,0,,image_iceTurret_01.png,image_iceTurret_02.png,image_iceTurret_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,1,attack|health|specialAttack,,,iceTurret,tower_exploded,,,iceTurret,1,1,,,,,
archerTowerBossNDE,0,Archer Boss,Bonus damage when placed on heights!,buildingDescription_archerTower,buildingDescription_archerTower,,,,,,90,,archerAttribute,Height bonus!,ArcherTowerBossNDEUpgrades.csv,archer,icon_tower_archer.png,icon_tower_archer.png,archer,TOWER,3,3,,1,1,0,0,1,1,,0,,image_archer_01.png,image_archer_02.png,image_archer_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,40,200,30,1,,,,1,1,0,attack|health|specialAttack,,,archerTower,tower_exploded,,,archerTower,1,1,,,,,
cannonTowerBossNDE,0,Cannon Boss,Increasing damage with every shot!,buildingDescription_cannonTower,buildingDescription_cannonTower,,,,,,90,,,Accelerated damage,CannonTowerBossNDEUpgrades.csv,cannon,icon_tower_cannon.png,icon_tower_cannon.png,cannon,TOWER,3,3,,1,1,0,0,1,1,,0,,image_cannon_01.png,image_cannon_02.png,image_cannon_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,0,attack|health|specialAttack,,,cannonTower,tower_exploded,,,cannonTower,1,1,,,,,
trebuchetBossNDE,0,Trebuchet Boss,Heavy projectiles stun dragons!,buildingDescription_trebuchet,buildingDescription_trebuchet,,,,,,85,,,Stuns dragon,TrebuchetBossNDEUpgrades.csv,trebuchet,icon_tower_trebuchet.png,icon_tower_trebuchet.png,trebuchet,TOWER,3,3,,1,1,0,0,1,1,,0,,image_trebuchet_01.png,image_trebuchet_02.png,image_trebuchet_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,70,200,30,1,,,,1,1,0,attack|health|specialAttack,,,trebuchet,tower_exploded,,,trebuchet,1,1,,,,,
ballistaBossNDE,0,Ballista Boss,Deadly arrows poison dragons!,buildingDescription_ballista,buildingDescription_ballista,,,,,,85,,,Poisons your dragon,BallistaTowerBossNDEUpgrades.csv,ballista,icon_tower_ballista.png,icon_tower_ballista.png,ballista,TOWER,3,3,,1,1,0,0,1,1,,0,,image_ballista_01.png,image_ballista_02.png,image_ballista_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,15,200,30,1,,,,1,1,0,attack|health|specialAttack,,,ballista,tower_exploded,,,ballista,1,1,,,,,
orbTowerBossNDE,0,Void Orb Boss,Increasing damage with every shot!,buildingDescription_cannonTower,buildingDescription_cannonTower,,,,,,90,,,Accelerated damage,OrbTowerBossNDEUpgrades.csv,cannon,icon_boss_orb.png,icon_boss_orb.png,cannon,TOWER,3,3,,1,1,0,0,1,1,,0,,image_cannon_01.png,image_cannon_02.png,image_cannon_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,0,attack|health|specialAttack,,,cannonTower,tower_exploded,,,cannonTower,1,1,,,,,
fireTurretBossNDE,0,Fire Turret Boss,Set enemies on fire!,buildingDescription_fireTurret,buildingDescription_fireTurret,,,,,,85,,,Burns Dragons,FireTurretBossNDEUpgrades.csv,fire,icon_tower_fire.png,icon_tower_fire.png,fire,TOWER,3,3,,1,1,0,0,0,1,,0,,image_fireTurret_01.png,image_fireTurret_02.png,image_fireTurret_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,0,attack|health|specialAttack,,,fireTurret,tower_exploded,,,fireTurret,0,1,,,,,
iceTurretBossNDE,0,Ice Turret Boss,Slows dragon attacks and shields allies!,buildingDescription_iceTurret,buildingDescription_iceTurret,,,,,,85,,,Slows Attacks,IceTurretBossNDEUpgrades.csv,ice,icon_tower_ice.png,icon_tower_ice.png,ice,TOWER,3,3,,1,1,0,0,0,1,,0,,image_iceTurret_01.png,image_iceTurret_02.png,image_iceTurret_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,0,attack|health|specialAttack,,,iceTurret,tower_exploded,,,iceTurret,1,1,,,,,!@#hnjckhnehlnimjjf
