identifier,requiredXp,maxComponentsPerBuilding,minAvailableDragonsToShowWarning,defenderLevelXPPayout,attackerLevelXPPayoutCap,maxParallelGiftTransfers,maxCurrencyPerGiftTransfer,minOpponentLevelForBreederQuest,minOpponentLevelForChallenging,h
String,Integer,Map<String:Integer>,Integer,Float,Integer,Integer,String,Integer,Integer,String
0,0,piercing:1|artillery:1|aura:1|lightning:1,1,0.01,1000,3,piercing:300|ruby:1000|food:300|gold:300,0,5,
29,74697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002986,1331,3,food:8704|piercing:8704|ruby:0|gold:8704,21,10,
30,81897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002922,1331,3,food:8704|piercing:8704|ruby:0|gold:8704,22,10,
31,89097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002857,1476,3,food:9436|piercing:9436|ruby:0|gold:9436,23,10,
32,97497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002792,1476,3,food:9436|piercing:9436|ruby:0|gold:9436,24,10,
33,105897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002727,1617,3,food:10202|piercing:10202|ruby:0|gold:10202,25,10,
34,114297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002663,1617,3,food:10202|piercing:10202|ruby:0|gold:10202,26,10,
35,123897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002599,1617,3,food:10202|piercing:10202|ruby:0|gold:10202,27,10,
36,133497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002535,1787,3,food:11583|piercing:11583|ruby:0|gold:11583,27,10,
37,143097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002472,1787,3,food:11583|piercing:11583|ruby:0|gold:11583,27,10,
38,155097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002409,1951,3,food:13031|piercing:13031|ruby:0|gold:13031,27,10,
39,167097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002347,1951,3,food:13031|piercing:13031|ruby:0|gold:13031,27,10,
40,179097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,1951,3,food:13031|piercing:13031|ruby:0|gold:13031,27,10,
41,193497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2148,3,food:14551|piercing:14551|ruby:0|gold:14551,28,10,
42,207897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2148,3,food:14551|piercing:14551|ruby:0|gold:14551,29,10,
43,222297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2337,3,food:16147|piercing:16147|ruby:0|gold:16147,30,10,
44,239097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2337,3,food:16147|piercing:16147|ruby:0|gold:16147,31,10,
45,255897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2337,3,food:16147|piercing:16147|ruby:0|gold:16147,32,10,
46,272697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2566,3,food:17828|piercing:17828|ruby:0|gold:17828,33,10,
47,291897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2566,3,food:17828|piercing:17828|ruby:0|gold:17828,34,10,
48,311097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2790,3,food:19600|piercing:19600|ruby:0|gold:19600,35,10,
49,330297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2790,3,food:19600|piercing:19600|ruby:0|gold:19600,36,10,
50,351897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,2790,3,food:19600|piercing:19600|ruby:0|gold:19600,37,10,
51,373497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3031,3,food:21470|piercing:21470|ruby:0|gold:21470,38,10,
52,395097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3031,3,food:21470|piercing:21470|ruby:0|gold:21470,39,10,
53,419097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3255,3,food:23446|piercing:23446|ruby:0|gold:23446,40,10,
54,443097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3255,3,food:23446|piercing:23446|ruby:0|gold:23446,41,10,
55,467097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3255,3,food:23446|piercing:23446|ruby:0|gold:23446,42,10,
56,493497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3494,3,food:25537|piercing:25537|ruby:0|gold:25537,42,10,
57,519897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3494,3,food:25537|piercing:25537|ruby:0|gold:25537,42,10,
58,546297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3718,3,food:28117|piercing:28117|ruby:0|gold:28117,42,10,
59,575097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3718,3,food:28117|piercing:28117|ruby:0|gold:28117,42,10,
60,603897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3718,3,food:28117|piercing:28117|ruby:0|gold:28117,43,10,
61,632697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3990,3,food:30854|piercing:30854|ruby:0|gold:30854,44,10,
62,663897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,3990,3,food:30854|piercing:30854|ruby:0|gold:30854,45,10,
63,695097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4280,3,food:33760|piercing:33760|ruby:0|gold:33760,46,10,
64,726297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4280,3,food:33760|piercing:33760|ruby:0|gold:33760,47,10,
65,759897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4280,3,food:33760|piercing:33760|ruby:0|gold:33760,48,10,
66,793497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4553,3,food:36849|piercing:36849|ruby:0|gold:36849,49,10,
67,827097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4553,3,food:36849|piercing:36849|ruby:0|gold:36849,50,10,
68,863097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4882,3,food:38852|piercing:38852|ruby:0|gold:38852,50,10,
69,899097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4882,3,food:38852|piercing:38852|ruby:0|gold:38852,51,10,
70,935097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,4882,3,food:38852|piercing:38852|ruby:0|gold:38852,51,10,
71,973497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5233,3,food:40854|piercing:40854|ruby:0|gold:40854,52,10,
72,1011897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5233,3,food:40854|piercing:40854|ruby:0|gold:40854,52,10,
73,1050297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5565,3,food:42857|piercing:42857|ruby:0|gold:42857,53,10,
74,1091097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5565,3,food:42857|piercing:42857|ruby:0|gold:42857,53,10,
75,1131897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5565,3,food:42857|piercing:42857|ruby:0|gold:42857,53,10,
76,1172697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5963,3,food:44860|piercing:44860|ruby:0|gold:44860,53,10,
77,1213497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,5963,3,food:44860|piercing:44860|ruby:0|gold:44860,54,10,
78,1254297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,6389,3,food:48064|piercing:48064|ruby:0|gold:48064,54,10,
79,1295097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,6389,3,food:48064|piercing:48064|ruby:0|gold:48064,55,10,
80,1335897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,6389,3,food:48064|piercing:48064|ruby:0|gold:48064,55,10,
81,1376697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,6792,3,food:51268|piercing:51268|ruby:0|gold:51268,55,10,
82,1417497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,6792,3,food:51268|piercing:51268|ruby:0|gold:51268,56,10,
83,1458297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,7274,3,food:54472|piercing:54472|ruby:0|gold:54472,56,10,
84,1499097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,7274,3,food:54472|piercing:54472|ruby:0|gold:54472,57,10,
85,1539897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,7274,3,food:54472|piercing:54472|ruby:0|gold:54472,57,10,
86,1580697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,7789,3,food:57677|piercing:57677|ruby:0|gold:57677,57,10,
87,1621497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,7789,3,food:57677|piercing:57677|ruby:0|gold:57677,58,10,
88,1662297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,8278,3,food:60881|piercing:60881|ruby:0|gold:60881,58,10,
89,1703097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,8278,3,food:60881|piercing:60881|ruby:0|gold:60881,59,10,
90,1743897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,8278,3,food:60881|piercing:60881|ruby:0|gold:60881,59,10,
91,1784697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,8861,3,food:64085|piercing:64085|ruby:0|gold:64085,59,10,
92,1825497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,8861,3,food:64085|piercing:64085|ruby:0|gold:64085,60,10,
93,1866297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,9483,3,food:68892|piercing:68892|ruby:0|gold:68892,60,10,
94,1907097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,9483,3,food:68892|piercing:68892|ruby:0|gold:68892,61,10,
95,1947897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,9483,3,food:68892|piercing:68892|ruby:0|gold:68892,61,10,
96,1988697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,10076,3,food:73698|piercing:73698|ruby:0|gold:73698,61,10,
97,2029497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,10076,3,food:73698|piercing:73698|ruby:0|gold:73698,62,10,
98,2070297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,10780,3,food:78505|piercing:78505|ruby:0|gold:78505,62,10,
99,2111097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,10780,3,food:78505|piercing:78505|ruby:0|gold:78505,63,10,
100,2151897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,10780,3,food:78505|piercing:78505|ruby:0|gold:78505,63,10,
101,2192697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,11531,3,food:83311|piercing:83311|ruby:0|gold:83311,63,10,
102,2233497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,11531,3,food:83311|piercing:83311|ruby:0|gold:83311,64,10,
103,2274297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,12249,3,food:88118|piercing:88118|ruby:0|gold:88118,64,10,
104,2315097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,12249,3,food:88118|piercing:88118|ruby:0|gold:88118,65,10,
105,2355897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,12249,3,food:88118|piercing:88118|ruby:0|gold:88118,65,10,
106,2396697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,13099,3,food:92924|piercing:92924|ruby:0|gold:92924,65,10,
107,2437497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,13099,3,food:92924|piercing:92924|ruby:0|gold:92924,66,10,
108,2478297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,14006,3,food:97730|piercing:97730|ruby:0|gold:97730,66,10,
109,2519097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,14006,3,food:97730|piercing:97730|ruby:0|gold:97730,67,10,
110,2559897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,14006,3,food:97730|piercing:97730|ruby:0|gold:97730,67,10,
111,2600697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,14875,3,food:102537|piercing:102537|ruby:0|gold:102537,67,10,
112,2641497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,14875,3,food:102537|piercing:102537|ruby:0|gold:102537,68,10,
113,2682297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,15900,3,food:107343|piercing:107343|ruby:0|gold:107343,68,10,
114,2723097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,15900,3,food:107343|piercing:107343|ruby:0|gold:107343,69,10,
115,2763897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,15900,3,food:107343|piercing:107343|ruby:0|gold:107343,69,10,
116,2804697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,16992,3,food:112150|piercing:112150|ruby:0|gold:112150,69,10,
117,2845497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,16992,3,food:112150|piercing:112150|ruby:0|gold:112150,70,10,
118,2886297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,18043,3,food:116956|piercing:116956|ruby:0|gold:116956,70,10,
119,2927097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,18043,3,food:116956|piercing:116956|ruby:0|gold:116956,71,10,
120,2967897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,18043,3,food:116956|piercing:116956|ruby:0|gold:116956,71,10,
121,3008697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,19279,3,food:121763|piercing:121763|ruby:0|gold:121763,71,10,
122,3049497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,19279,3,food:121763|piercing:121763|ruby:0|gold:121763,72,10,
123,3090297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,20595,3,food:126569|piercing:126569|ruby:0|gold:126569,72,10,
124,3131097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,20595,3,food:126569|piercing:126569|ruby:0|gold:126569,73,10,
125,3171897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,20595,3,food:126569|piercing:126569|ruby:0|gold:126569,73,10,
126,3212697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,21865,3,food:131375|piercing:131375|ruby:0|gold:131375,73,10,
127,3253497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,21865,3,food:131375|piercing:131375|ruby:0|gold:131375,74,10,
128,3294297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,23353,3,food:136182|piercing:136182|ruby:0|gold:136182,74,10,
129,3335097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,23353,3,food:136182|piercing:136182|ruby:0|gold:136182,75,10,
130,3375897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,23353,3,food:136182|piercing:136182|ruby:0|gold:136182,75,10,
131,3416697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,24939,3,food:140988|piercing:140988|ruby:0|gold:140988,75,10,
132,3457497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,24939,3,food:140988|piercing:140988|ruby:0|gold:140988,76,10,
133,3498297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,26471,3,food:145795|piercing:145795|ruby:0|gold:145795,76,10,
134,3539097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,26471,3,food:145795|piercing:145795|ruby:0|gold:145795,77,10,
135,3579897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,26471,3,food:145795|piercing:145795|ruby:0|gold:145795,77,10,
136,3620697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,28262,3,food:150601|piercing:150601|ruby:0|gold:150601,77,10,
137,3661497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,28262,3,food:150601|piercing:150601|ruby:0|gold:150601,78,10,
138,3702297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,30171,3,food:155408|piercing:155408|ruby:0|gold:155408,78,10,
139,3743097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,30171,3,food:155408|piercing:155408|ruby:0|gold:155408,79,10,
140,3783897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,30171,3,food:155408|piercing:155408|ruby:0|gold:155408,79,10,
141,3824697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,32018,3,food:160214|piercing:160214|ruby:0|gold:160214,79,10,
142,3865497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,32018,3,food:160214|piercing:160214|ruby:0|gold:160214,80,10,
143,3906297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,34174,3,food:165021|piercing:165021|ruby:0|gold:165021,80,10,
144,3947097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,34174,3,food:165021|piercing:165021|ruby:0|gold:165021,81,10,
145,3987897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,34174,3,food:165021|piercing:165021|ruby:0|gold:165021,81,10,
146,4028697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,36469,3,food:169827|piercing:169827|ruby:0|gold:169827,81,10,
147,4069497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,36469,3,food:169827|piercing:169827|ruby:0|gold:169827,82,10,
148,4110297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,38697,3,food:174633|piercing:174633|ruby:0|gold:174633,82,10,
149,4151097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,41248,3,food:176808|piercing:176808|ruby:0|gold:176808,83,10,
150,4191897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,43799,3,food:178983|piercing:178983|ruby:0|gold:178983,83,10,
151,4232697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,46350,3,food:181158|piercing:181158|ruby:0|gold:181158,83,10,
152,4273497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,48901,3,food:183333|piercing:183333|ruby:0|gold:183333,84,10,
153,4314297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,51452,3,food:185508|piercing:185508|ruby:0|gold:185508,84,10,
154,4355097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,54003,3,food:187680|piercing:187680|ruby:0|gold:187680,84,10,
155,4395897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,55639,3,food:188989|piercing:188989|ruby:0|gold:188989,84,10,
156,4436697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,57275,3,food:190298|piercing:190298|ruby:0|gold:190298,84,10,
157,4477497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,58911,3,food:191607|piercing:191607|ruby:0|gold:191607,84,10,
158,4518297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,60547,3,food:192916|piercing:192916|ruby:0|gold:192916,84,10,
159,4559097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,62183,3,food:194225|piercing:194225|ruby:0|gold:194225,84,10,
160,4599897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,63819,3,food:195534|piercing:195534|ruby:0|gold:195534,84,10,
161,4640697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,65455,3,food:196843|piercing:196843|ruby:0|gold:196843,84,10,
162,4681497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,67091,3,food:198152|piercing:198152|ruby:0|gold:198152,84,10,
163,4722297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,68727,3,food:199461|piercing:199461|ruby:0|gold:199461,84,10,
164,4763097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,70363,3,food:200770|piercing:200770|ruby:0|gold:200770,84,10,
165,4803897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,71999,3,food:202079|piercing:202079|ruby:0|gold:202079,84,10,
166,4844697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,73635,3,food:203388|piercing:203388|ruby:0|gold:203388,84,10,
167,4885497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,75271,3,food:204697|piercing:204697|ruby:0|gold:204697,84,10,
168,4926297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,76907,3,food:206006|piercing:206006|ruby:0|gold:206006,84,10,
169,4967097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,78543,3,food:207315|piercing:207315|ruby:0|gold:207315,84,10,
170,5007897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,80179,3,food:208624|piercing:208624|ruby:0|gold:208624,84,10,
171,5048697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,81815,3,food:209933|piercing:209933|ruby:0|gold:209933,84,10,
172,5089497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,83451,3,food:211242|piercing:211242|ruby:0|gold:211242,84,10,
173,5130297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,85087,3,food:212551|piercing:212551|ruby:0|gold:212551,84,10,
174,5171097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,86723,3,food:213860|piercing:213860|ruby:0|gold:213860,84,10,
175,5211897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,88359,3,food:215213|piercing:215213|ruby:0|gold:215169,84,10,
176,5252697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,89995,3,food:216567|piercing:216567|ruby:0|gold:216478,84,10,
177,5293497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,91631,3,food:217920|piercing:217920|ruby:0|gold:217787,84,10,
178,5334297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,93267,3,food:219360|piercing:219360|ruby:0|gold:219096,84,10,
179,5375097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,94903,3,food:220800|piercing:220800|ruby:0|gold:220405,84,10,
180,5415897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,96539,3,food:222240|piercing:222240|ruby:0|gold:221714,84,10,
181,5456697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,98175,3,food:223680|piercing:223680|ruby:0|gold:223023,84,10,
182,5497497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,99811,3,food:225120|piercing:225120|ruby:0|gold:224332,84,10,
183,5538297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,101447,3,food:226560|piercing:226560|ruby:0|gold:225641,84,10,
184,5579097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,103083,3,food:228000|piercing:228000|ruby:0|gold:226950,84,10,
185,5619897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,104719,3,food:229440|piercing:229440|ruby:0|gold:228259,84,10,
186,5660697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,106355,3,food:230880|piercing:230880|ruby:0|gold:229568,84,10,
187,5701497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,107615,3,food:232320|piercing:232320|ruby:0|gold:229568,84,10,
188,5742297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,108875,3,food:233760|piercing:233760|ruby:0|gold:229568,84,10,
189,5783097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,110135,3,food:235200|piercing:235200|ruby:0|gold:229568,84,10,
190,5823897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,111395,3,food:236640|piercing:236640|ruby:0|gold:229568,84,10,
191,5864697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,112655,3,food:238080|piercing:238080|ruby:0|gold:229568,84,10,
192,5905497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,113915,3,food:239520|piercing:239520|ruby:0|gold:229568,84,10,
193,5946297,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,115175,3,food:240960|piercing:240960|ruby:0|gold:229568,84,10,
194,5987097,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,116435,3,food:242400|piercing:242400|ruby:0|gold:229568,84,10,
