identifier,inBundle,activateDelay,shieldHPAmountPercentage,radius,sceneFile,initiateParticleEffectIdentifier,h
buildingsIceShield28,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield29,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield30,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield31,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield32,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield33,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield34,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield35,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield36,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield37,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield38,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield39,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield40,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield41,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield42,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield43,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield44,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield45,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield46,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield47,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield48,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield49,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield50,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield51,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield52,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield53,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield54,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield55,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield56,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield57,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield58,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield59,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield60,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield61,0,0.5,0.210125013,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield62,0,0.5,0.220762483,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield63,0,0.5,0.231938633,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield64,0,0.5,0.243680456,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield65,0,0.5,0.256016765,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield66,0,0.5,0.268977574,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield67,0,0.5,0.282594527,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield68,0,0.5,0.296900927,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield69,0,0.5,0.311931484,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield70,0,0.5,0.32772303,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield71,0,0.5,0.32,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield72,0,0.5,0.32,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield73,0,0.5,0.32,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield74,0,0.5,0.32,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield75,0,0.5,0.32,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingEarthHPBoost1,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost2,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost3,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost4,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost5,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost6,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost7,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost8,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost9,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost10,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost11,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost12,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost13,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost14,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost15,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost16,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost17,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost18,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost19,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost20,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost21,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost22,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost23,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost24,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost25,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost26,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost27,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost28,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost29,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost30,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost31,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost32,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost33,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost34,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost35,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost36,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost37,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost38,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost39,0,0.5,0.2,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost40,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost41,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost42,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost43,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost44,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost45,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost46,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost47,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost48,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost49,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost50,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost51,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost52,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost53,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost54,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost55,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost56,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost57,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost58,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost59,0,0.5,0.25,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost60,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost61,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost62,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost63,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost64,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost65,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost66,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost67,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost68,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost69,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost70,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost71,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost72,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost73,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost74,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,
buildingEarthHPBoost75,0,0.5,0.3,30,eff_earthFlakSuperAttack_earthHPBoost.lvl,cmp_ptl_earthHPBoost_initiate,!@#npimfbedlgpaaddp
