identifier,inBundle,prerequisiteIdentifiers,numRequiredPrerequisites,tier,researchBuildingLevelRequired,position,displayName,researchDescription,cost,time,icon,iconInProgress,iconComplete,effects,h
chargedShielded001,1,cannonTowerResistance001|healTimerBoost001,1,2,2,2~1,Enhanced Explosive Shield,+20% Shield Damage Absorption,purpleEggCurrency:65,86400,icon_research_charged_shield.png,icon_research_charged_shield_progress.png,icon_research_charged_shield_complete.png,spellShieldIncreaseModifier_chargedShield:0.20,
superShotAmmo002,1,allTowerHP001,1,2,2,3~6,Ammo Reserves,+1 Starting Supershot Ammo,purpleEggCurrency:10,21600,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,defenderAbilityNumberModifier:1,
researchBoost001,1,incubationBoost001,1,2,2,3~4,Poetic Alchemy,+5% Research Speed,purpleEggCurrency:10,21600,icon_research_increase_research.png,icon_research_increase_research_progress.png,icon_research_increase_research_complete.png,researchTimeModifier:-0.05,
invincibilityShieldBoost001,1,healTimerBoost001,1,2,2,3~2,Enhanced Invincibility,+1.5 Seconds Invincibility Spell Duration,purpleEggCurrency:10,21600,icon_research_shield_protection.png,icon_research_shield_protection_progress.png,icon_research_shield_protection_complete.png,spellDurationModifier_invincibleSpell:1.5,
protectiveShieldBoost001,1,stormTowerHP001,1,2,2,4~5,Enhanced Protective Shield,+0.5 Seconds Storm Tower Protective Shield Supershot,purpleEggCurrency:40,86400,icon_research_storm_01.png,icon_research_storm_01_progress.png,icon_research_storm_01_complete.png,invincibleBuildingsDurationModifier:0.5,
startingRage001,1,invincibilityShieldBoost001,1,2,2,4~3,Essence of Rage,+1 Starting Dragon Rage,purpleEggCurrency:60,86400,icon_research_dragon_rage.png,icon_research_dragon_rage_progress.png,icon_research_dragon_rage_complete.png,initialRageModifier:100,
sorcererDamage001,1,invincibilityShieldBoost001,1,2,2,4~1,Sorcerer Fury,+4% Sorcerer Dragon Damage,purpleEggCurrency:70,86400,icon_research_dragon_01.png,icon_research_dragon_01_progress.png,icon_research_dragon_01_complete.png,dragonClassAttackModifier_sorcerer:0.04,
allTowerDamage001,1,superShotAmmo002,1,2,2,5~6,Sharpened Steel,+4% to All Combat Tower Damage,purpleEggCurrency:15,28800,icon_research_tower_damage.png,icon_research_tower_damage_progress.png,icon_research_tower_damage_complete.png,buildingAttackModifier_archerTower:0.04|buildingAttackModifier_cannonTower:0.04|buildingAttackModifier_stormTower:0.04|buildingAttackModifier_ballista:0.04|buildingAttackModifier_mageTower:0.04|buildingAttackModifier_mageBlueTower:0.04|buildingAttackModifier_trebuchet:0.04|buildingAttackModifier_lightningTower:0.04|buildingAttackModifier_elementalFlakDark:0.04|buildingAttackModifier_fireTurret:0.04|buildingAttackModifier_iceTurret:0.04|buildingAttackModifier_elementalFlakFire:0.04|buildingAttackModifier_elementalFlakEarth:0.04|buildingAttackModifier_elementalFlakWind:0.04|buildingAttackModifier_elementalFlakIce:0.04,
economyBoost002,1,researchBoost001,1,2,2,5~4,Economic Improvements,+5% Sheep Farm Production|+5% Lumber Mill Production,purpleEggCurrency:15,28800,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.05|buildingProductionModifier_woodFarm:0.05,
allDragonHP002,1,startingRage001,1,2,2,5~2,Organic Dragon Meat,+4% Dragon HP,purpleEggCurrency:15,28800,icon_research_dragon_hp.png,icon_research_dragon_hp_progress.png,icon_research_dragon_hp_complete.png,dragonHPModifier:0.04,
ballistaDamage001,1,allTowerDamage001,1,2,2,6~7,Venomous Bolts,+4% Ballista Damage,purpleEggCurrency:45,86400,icon_research_ballista_damage.png,icon_research_ballista_damage_progress.png,icon_research_ballista_damage_complete.png,buildingAttackModifier_ballista:0.04,
lumbermillCapacity001,1,economyBoost002,1,2,2,6~5,Lumber Mill Basement Cache,+10% Lumber Mill Wood Capacity,purpleEggCurrency:20,86400,icon_research_lumber_capacity.png,icon_research_lumber_capacity_progress.png,icon_research_lumber_capacity_complete.png,harvestBuildingCapacityModifier_woodFarm:0.1,
hogfarmCapacity001,1,economyBoost002,1,2,2,6~3,Sheep Farm Basement Cache,+10% Sheep Farm Food Capacity,purpleEggCurrency:20,86400,icon_research_farm_capacity.png,icon_research_farm_capacity_progress.png,icon_research_farm_capacity_complete.png,harvestBuildingCapacityModifier_hogFarm:0.1,
freezeDuration001,1,sorcererDamage001,1,2,2,6~1,Enhanced Freeze,+1.0 Second Freeze Spell Duration,purpleEggCurrency:40,86400,icon_research_dragon_06.png,icon_research_dragon_06_progress.png,icon_research_dragon_06_complete.png,spellDurationModifier_freezeSpell:1.0,
stormBallistaHP001,1,allTowerDamage001,1,3,3,1~6,Gale Force Barriers,+4% Ballista HP|+4% Storm Tower HP,blueEggCurrency:3,28800,icon_research_double_tower.png,icon_research_double_tower_progress.png,icon_research_double_tower_complete.png,buildingHPModifier_ballista:0.04|buildingHPModifier_stormTower:0.04,
economyBuildingHP002,1,economyBoost002,1,3,3,1~4,Fortified Resource Structures,+5% Sheep Farm HP|+5% Lumber Mill HP,blueEggCurrency:3,28800,icon_research_lumberfarm_hp.png,icon_research_lumberfarm_hp_progress.png,icon_research_lumberfarm_hp_complete.png,buildingHPModifier_woodFarm:0.05|buildingHPModifier_hogFarm:0.05,
allDragonDamage002,1,allDragonHP002,1,3,3,1~2,Fiery Breath,+4% Dragon Damage,blueEggCurrency:3,28800,icon_research_dragon_damage.png,icon_research_dragon_damage_progress.png,icon_research_dragon_damage_complete.png,dragonAttackModifier:0.04,
ballistaPoisonDuration001,1,ballistaDamage001,1,3,3,2~7,Heightened Toxicity,+1.0 Second Ballista Poison Duration,blueEggCurrency:30,216000,icon_research_ballista_poison.png,icon_research_ballista_poison_progress.png,icon_research_ballista_poison_complete.png,ballistaPoisonDurationModifier:0.1,
stormArcherHP001,1,stormBallistaHP001,1,3,3,2~5,Metal Walled Plates,+4% Archer HP|+4% Storm Tower HP,blueEggCurrency:25,216000,icon_research_double_tower.png,icon_research_double_tower_progress.png,icon_research_double_tower_complete.png,buildingHPModifier_archerTower:0.04|buildingHPModifier_stormTower:0.04,
stormTowerResistance001,1,allDragonDamage002,1,3,3,2~3,Enhanced Storm Resistance,+10% Storm Tower Resistance Spell,blueEggCurrency:15,216000,icon_research_storm_resistance.png,icon_research_storm_resistance_progress.png,icon_research_storm_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_storm:10,
chainLightningBounce001,1,allDragonDamage002,1,3,3,2~1,Super Conductive Coils,+2 Chain Lightning bounces,blueEggCurrency:60,216000,icon_research_chain_lightning.png,icon_research_chain_lightning_progress.png,icon_research_chain_lightning_complete.png,chainLightningNumChainsModifier_chainLightning:2,
allTowerDamage002,1,stormBallistaHP001,1,3,3,3~6,Sharpened Steel,+4% to All Combat Tower Damage,blueEggCurrency:5,36000,icon_research_tower_damage.png,icon_research_tower_damage_progress.png,icon_research_tower_damage_complete.png,buildingAttackModifier_archerTower:0.04|buildingAttackModifier_cannonTower:0.04|buildingAttackModifier_stormTower:0.04|buildingAttackModifier_ballista:0.04|buildingAttackModifier_mageTower:0.04|buildingAttackModifier_mageBlueTower:0.04|buildingAttackModifier_trebuchet:0.04|buildingAttackModifier_lightningTower:0.04|buildingAttackModifier_elementalFlakDark:0.04|buildingAttackModifier_fireTurret:0.04|buildingAttackModifier_iceTurret:0.04|buildingAttackModifier_elementalFlakFire:0.04|buildingAttackModifier_elementalFlakEarth:0.04|buildingAttackModifier_elementalFlakWind:0.04|buildingAttackModifier_elementalFlakIce:0.04,
constructionBoost002,1,economyBuildingHP002|stormTowerResistance001,1,3,3,3~4,Construction Efficiency,+5% Construction and Upgrade Speed,blueEggCurrency:5,36000,icon_research_construction.png,icon_research_construction_progress.png,icon_research_construction_complete.png,buildingTimerModifier:-0.05,
healTimerBoost002,1,allDragonDamage002,1,3,3,3~2,Healing Remedy,+5% Dragon Healing Speed,blueEggCurrency:5,36000,icon_research_dragon_heal.png,icon_research_dragon_heal_progress.png,icon_research_dragon_heal_complete.png,dragonHealTimeModifier:-0.05,
ballistaResistance001,1,stormTowerResistance001,1,3,3,4~3,Enhanced Ballista Resistance,+10% Ballista Resistance Spell,blueEggCurrency:30,216000,icon_research_ballista_resistance.png,icon_research_ballista_resistance_progress.png,icon_research_ballista_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_ballista:10,
cloakDuration001,1,healTimerBoost002,1,3,3,4~1,Enhanced Cloak,+3.0 Seconds Cloak Spell Duration,blueEggCurrency:15,216000,icon_research_production_boost_02.png,icon_research_production_boost_02_progress.png,icon_research_production_boost_02_complete.png,spellDurationModifier_cloak:3.0,
archerCannonDamage001,1,allTowerDamage002,1,3,3,5~6,Weighted Ammunition,+4% Archer Damage|+4% Storm Tower Damage,blueEggCurrency:7,43200,icon_research_doubletower_damage.png,icon_research_doubletower_damage_progress.png,icon_research_doubletower_damage_complete.png,buildingAttackModifier_archerTower:0.04|buildingAttackModifier_stormTower:0.04,
economyBoost003,1,constructionBoost002,1,3,3,5~4,Economic Improvements,+5% Sheep Farm Production|+5% Lumber Mill Production,blueEggCurrency:7,43200,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.05|buildingProductionModifier_woodFarm:0.05,
dragonXP002,1,healTimerBoost002,1,3,3,5~2,Dragon Discipline,+7% Dragon XP,blueEggCurrency:7,43200,icon_research_experience.png,icon_research_experience_progress.png,icon_research_experience_complete.png,dragonXPGainModifier:0.07,
archerSuperShotDamage001,1,archerCannonDamage001,1,3,3,6~7,Inferno Bolts,+15% Archer Supershot Damage,blueEggCurrency:40,216000,icon_research_archer_supershot.png,icon_research_archer_supershot_progress.png,icon_research_archer_supershot_complete.png,buildingSpecialAttackModifier_archerTower:0.15,
storageWoodProtection001,1,economyBoost003,1,3,3,6~5,Fortified Lumber Stockpiles,+5% Storage Building Wood Protection,blueEggCurrency:20,216000,icon_research_lumber_protection.png,icon_research_lumber_protection_progress.png,icon_research_lumber_protection_complete.png,currencyProtectionModifier_piercing:0.05,
storageFoodProtection001,1,economyBoost003,1,3,3,6~3,Fortified Food Stockpiles,+5% Storage Building Food Protection,blueEggCurrency:20,216000,icon_research_farm_protection.png,icon_research_farm_protection_progress.png,icon_research_farm_protection_complete.png,currencyProtectionModifier_food:0.05,
frenzyBonusDamage001,1,cloakDuration001,1,3,3,6~1,Enhanced Havoc,+50% Bonus Attack Damage during Havoc Spell,blueEggCurrency:40,216000,icon_research_frenzy_damage.png,icon_research_frenzy_damage_progress.png,icon_research_frenzy_damage_complete.png,spellAttackModifier_frenzySpell:0.50,
superShotAmmo003,1,archerCannonDamage001,1,3,3,7~6,Ammo Reserves,+1 Starting Supershot Ammo,blueEggCurrency:7,50400,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,defenderAbilityNumberModifier:1,
researchBoost002,1,economyBoost003,1,3,3,7~4,Poetic Alchemy,+6% Research Speed,blueEggCurrency:7,50400,icon_research_increase_research.png,icon_research_increase_research_progress.png,icon_research_increase_research_complete.png,researchTimeModifier:-0.06,
allDragonHP003,1,storageFoodProtection001|dragonXP002,1,3,3,7~2,Organic Dragon Meat,+4% Dragon HP,blueEggCurrency:7,50400,icon_research_dragon_hp.png,icon_research_dragon_hp_progress.png,icon_research_dragon_hp_complete.png,dragonHPModifier:0.04,
redMageTowerHP001,1,superShotAmmo003,1,3,3,8~7,Red Magic Guard,+30% Red Mage Tower HP,blueEggCurrency:25,216000,icon_research_mage_hp.png,icon_research_mage_hp_progress.png,icon_research_mage_hp_complete.png,buildingHPModifier_mageTower:0.3,
blueMageTowerHP001,1,superShotAmmo003,1,3,3,8~5,Blue Magic Guard,+30% Blue Mage Tower HP,blueEggCurrency:25,216000,icon_research_mage_hp.png,icon_research_mage_hp_progress.png,icon_research_mage_hp_complete.png,buildingHPModifier_mageBlueTower:0.3,
curePoisonHeal001,1,allDragonHP003,1,3,3,8~3,Healing Antidote,Cure Poison Spell will Additionally Heal the Dragon,blueEggCurrency:50,216000,icon_research_cure_poison.png,icon_research_cure_poison_progress.png,icon_research_cure_poison_complete.png,healDragonWhenCurePoisonBoolean_curePoison:1,
startingRage002,1,allDragonHP003,1,3,3,8~1,Essence of Rage,+1 Starting Dragon Rage,blueEggCurrency:70,216000,icon_research_dragon_rage.png,icon_research_dragon_rage_progress.png,icon_research_dragon_rage_complete.png,initialRageModifier:100,
allTowerHP002,1,superShotAmmo003,1,4,4,1~6,Battle Barricades,+4% to All Combat Tower HP,orangeEggCurrency:3,172800,icon_research_tower_hp.png,icon_research_tower_hp_progress.png,icon_research_tower_hp_complete.png,buildingHPModifier_archerTower:0.04|buildingHPModifier_cannonTower:0.04|buildingHPModifier_stormTower:0.04|buildingHPModifier_ballista:0.04|buildingHPModifier_mageTower:0.04|buildingHPModifier_mageBlueTower:0.04|buildingHPModifier_trebuchet:0.04|buildingHPModifier_lightningTower:0.04|buildingHPModifier_elementalFlakDark:0.04|buildingHPModifier_fireTurret:0.04|buildingHPModifier_iceTurret:0.04|buildingHPModifier_elementalFlakFire:0.04|buildingHPModifier_elementalFlakEarth:0.04|buildingHPModifier_elementalFlakWind:0.04|buildingHPModifier_elementalFlakIce:0.04,
constructionBoost003,1,researchBoost002,1,4,4,1~4,Construction Efficiency,+5% Construction and Upgrade Speed,orangeEggCurrency:3,172800,icon_research_construction.png,icon_research_construction_progress.png,icon_research_construction_complete.png,buildingTimerModifier:-0.05,
sorcererHunterDamage001,1,allDragonHP003,1,4,4,1~2,Offensive Tactics,+4% Hunter Damage|+4% Sorcerer Damage,orangeEggCurrency:3,172800,icon_research_huntsorc_damage.png,icon_research_huntsorc_damage_progress.png,icon_research_huntsorc_damage_complete.png,dragonClassAttackModifier_hunter:0.04|dragonClassAttackModifier_sorcerer:0.04,
redMageRageSteal001,1,redMageTowerHP001,1,4,4,2~7,Red Magic Siphon,+1 Additional Rage Stolen from Red Mage Tower Supershot,orangeEggCurrency:35,864000,icon_research_mage_rage.png,icon_research_mage_rage_progress.png,icon_research_mage_rage_complete.png,rageReductionBuildingModifier_mageTower:1.0,
blueMageRageSteal001,1,blueMageTowerHP001,1,4,4,2~5,Blue Magic Siphon,+1 Additional Rage Stolen from Blue Mage Tower Supershot,orangeEggCurrency:35,864000,icon_research_mage_rage.png,icon_research_mage_rage_progress.png,icon_research_mage_rage_complete.png,rageReductionBuildingModifier_mageBlueTower:1.0,
invertDuration001,1,sorcererHunterDamage001,1,4,4,2~3,Enhanced Invert,+1 Second Invert Spell Duration,orangeEggCurrency:20,864000,icon_research_invert.png,icon_research_invert_progress.png,icon_research_invert_complete.png,spellDurationModifier_invertSpellReverse:1.0,
hunterAmmo001,1,sorcererHunterDamage001,1,4,4,2~1,Advanced Hunter Training,+1 Maximum Hunter Ammo,orangeEggCurrency:40,864000,icon_research_hunter_ammo.png,icon_research_hunter_ammo_progress.png,icon_research_hunter_ammo_complete.png,dragonClassTotalAmmoIncreaseModifier_hunter:1,
allTowerDamage003,1,allTowerHP002,1,4,4,3~6,Sharpened Steel,+4% to All Combat Tower Damage,orangeEggCurrency:5,259200,icon_research_tower_damage.png,icon_research_tower_damage_progress.png,icon_research_tower_damage_complete.png,buildingAttackModifier_archerTower:0.04|buildingAttackModifier_cannonTower:0.04|buildingAttackModifier_stormTower:0.04|buildingAttackModifier_ballista:0.04|buildingAttackModifier_mageTower:0.04|buildingAttackModifier_mageBlueTower:0.04|buildingAttackModifier_trebuchet:0.04|buildingAttackModifier_lightningTower:0.04|buildingAttackModifier_elementalFlakDark:0.04|buildingAttackModifier_fireTurret:0.04|buildingAttackModifier_iceTurret:0.04|buildingAttackModifier_elementalFlakFire:0.04|buildingAttackModifier_elementalFlakEarth:0.04|buildingAttackModifier_elementalFlakWind:0.04|buildingAttackModifier_elementalFlakIce:0.04,
economyBoost004,1,constructionBoost003,1,4,4,3~4,Economic Improvements,+5% Sheep Farm Production|+5% Lumber Mill Production,orangeEggCurrency:5,259200,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.05|buildingProductionModifier_woodFarm:0.05,
dragonXP003,1,sorcererHunterDamage001,1,4,4,3~2,Dragon Discipline,+10% Dragon XP,orangeEggCurrency:5,259200,icon_research_experience.png,icon_research_experience_progress.png,icon_research_experience_complete.png,dragonXPGainModifier:0.1,
trebuchetSuperShot001,1,allTowerDamage003,1,4,4,4~7,Precisely Balanced Counterweights,+0.5 Seconds Trebuchet Supershot Stun Duration,orangeEggCurrency:50,864000,icon_research_trebuchet_supershot.png,icon_research_trebuchet_supershot_progress.png,icon_research_trebuchet_supershot_complete.png,buildingSpecialAttackModifier_trebuchet:0.10,
giantExplosionDamage001,1,invertDuration001,1,4,4,4~3,Enhanced Fireball,+20% Fireball Spell Damage,orangeEggCurrency:40,864000,icon_research_explosion.png,icon_research_explosion_progress.png,icon_research_explosion_complete.png,spellDamageIncreaseModifier_aoeSpell:0.20,
trebuchetTowerResistance001,1,dragonXP003,1,4,4,4~1,Enhanced Trebuchet Resistance,+10% Trebuchet Resistance Spell,orangeEggCurrency:30,864000,icon_research_trebuchet_resistance.png,icon_research_trebuchet_resistance_progress.png,icon_research_trebuchet_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_trebuchet:10,
superShotAmmo004,1,allTowerDamage003,1,4,4,5~6,Ammo Reserves,+1 Starting Supershot Ammo,orangeEggCurrency:7,345600,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,defenderAbilityNumberModifier:1,
economyBuildingHP003,1,economyBoost004,1,4,4,5~4,Fortified Resource Structures,+5% Sheep Farm HP|+5% Lumber Mill HP,orangeEggCurrency:7,345600,icon_research_lumberfarm_hp.png,icon_research_lumberfarm_hp_progress.png,icon_research_lumberfarm_hp_complete.png,buildingHPModifier_woodFarm:0.05|buildingHPModifier_hogFarm:0.05,
allDragonHP004,1,dragonXP003,1,4,4,5~2,Organic Dragon Meat,+4% Dragon HP,orangeEggCurrency:7,345600,icon_research_dragon_hp.png,icon_research_dragon_hp_progress.png,icon_research_dragon_hp_complete.png,dragonHPModifier:0.04,
lumbermillProtection002,1,economyBuildingHP003,1,4,4,6~5,Hidden Lumber Piles,+10% Lumber Mill Wood Protection,orangeEggCurrency:10,864000,icon_research_lumber_protection.png,icon_research_lumber_protection_progress.png,icon_research_lumber_protection_complete.png,harvestBuildingProtectionModifier_woodFarm:0.1,
hogfarmProtection002,1,economyBuildingHP003,1,4,4,6~3,Hidden Food Piles,+10% Sheep Farm Food Protection,orangeEggCurrency:10,864000,icon_research_farm_protection.png,icon_research_farm_protection_progress.png,icon_research_farm_protection_complete.png,harvestBuildingProtectionModifier_hogFarm:0.1,
warriorDragonHP002,1,allDragonHP004,1,4,4,6~1,Warrior Armor,+4% Warrior HP,orangeEggCurrency:50,864000,icon_research_warrior_hp.png,icon_research_warrior_hp_progress.png,icon_research_warrior_hp_complete.png,dragonClassHPModifier_warrior:0.04,
trebuchetLightningHP001,1,superShotAmmo004,1,4,4,7~6,Galvanized Beams,+4% Lightning Tower HP|+4% Trebuchet HP,orangeEggCurrency:7,388800,icon_research_double_tower.png,icon_research_double_tower_progress.png,icon_research_double_tower_complete.png,buildingHPModifier_lightningTower:0.05|buildingHPModifier_trebuchet:0.05,
