identifier,inBundle,currencies,eggs,eggParents,dragons,breeders,consumables,dragonArmors,runes,eliteAccountTime,riderGear,rankedRewardIdentifier,displayName,iconFilename,isIAPReward,isAdReward,rewardTargets,h
syphonSpellConsumable01,,,,,,,syphonSpellConsumable01:1,,,,,,,,,,,
freezeSpellConsumable01,,,,,,,freezeSpellConsumable01:1,,,,,,,,,,,
frenzySpellConsumable01,,,,,,,frenzySpellConsumable01:1,,,,,,,,,,,
healSpellConsumable01,,,,,,,healSpellConsumable01:1,,,,,,,,,,,
healingmarkSpellConsumable01,,,,,,,healingmarkSpellConsumable01:1,,,,,,,,,,,
hurricaneSpellConsumable01,,,,,,,hurricaneSpellConsumable01:1,,,,,,,,,,,
instantKillSpellConsumable01,,,,,,,instantKillSpellConsumable01:1,,,,,,,,,,,
invertSpellConsumable01,,,,,,,invertSpellConsumable01:1,,,,,,,,,,,
invincibleSpellConsumable01,,,,,,,invincibleSpellConsumable01:1,,,,,,,,,,,
selfDestructSpellConsumable01,,,,,,,selfDestructSpellConsumable01:1,,,,,,,,,,,
lockdownSpellConsumable01,,,,,,,lockdownSpellConsumable01:1,,,,,,,,,,,
shortCircuitSpellConsumable01,,,,,,,shortCircuitSpellConsumable01:1,,,,,,,,,,,
stoneskinSpellConsumable01,,,,,,,stoneskinSpellConsumable01:1,,,,,,,,,,,
summonDragonSpellConsumable01,,,,,,,summonDragonSpellConsumable01:1,,,,,,,,,,,
archerResistAbilityConsumable01,,,,,,,archerResistAbilityConsumable01:1,,,,,,,,,,,
cannonResistAbilityConsumable01,,,,,,,cannonResistAbilityConsumable01:1,,,,,,,,,,,
stormResistAbilityConsumable01,,,,,,,stormResistAbilityConsumable01:1,,,,,,,,,,,
ballistaResistAbilityConsumable01,,,,,,,ballistaResistAbilityConsumable01:1,,,,,,,,,,,
trebuchetResistAbilityConsumable01,,,,,,,trebuchetResistAbilityConsumable01:1,,,,,,,,,,,
lightningResistAbilityConsumable01,,,,,,,lightningResistAbilityConsumable01:1,,,,,,,,,,,
expediteConsumable0a,,,,,,,expediteConsumable0a:1,,,,,,,,,,,
expediteConsumable0,,,,,,,expediteConsumable0:1,,,,,,,,,,,
expediteConsumable1,,,,,,,expediteConsumable1:1,,,,,,,,,,,
expediteConsumable1a,,,,,,,expediteConsumable1a:1,,,,,,,,,,,
expediteConsumable2,,,,,,,expediteConsumable2:1,,,,,,1 Hour Speed Up,,,,,
expediteConsumable3,,,,,,,expediteConsumable3:1,,,,,,3 Hour Speed Up,,,,,
expediteConsumable4,,,,,,,expediteConsumable4:1,,,,,,12 Hour Speed Up,,,,,
expediteConsumable5,,,,,,,expediteConsumable5:1,,,,,,24 Hour Speed Up,,,,,
expediteConsumable6,,,,,,,expediteConsumable6:1,,,,,,48 Hour Speed Up,,,,,
healDragonConsumable,,,,,,,fullHeal:1,,,,,,Healing Potion,,,,,
aBreeder1,,,,,,breederAssistant1,,,,,,,,,,,,
aBreeder2,,,,,,breederAssistant2,,,,,,,,,,,,
testReward1,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward2,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward3,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward4,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward5,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward6,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward7,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward8,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward9,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
testReward10,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
valuePackRewardVP1_1,,ruby:1250|breedingToken:80,,,,,increaseAttack1:5|fullHeal:4|expediteConsumable1:6,,,,,,,,,,,
valuePackRewardVP1_2,,ruby:1250|breedingToken:80,,,,,increaseBuildingHP1:5|attackConsumable:4|expediteConsumable1:6,,,,,,,,,,,
valuePackRewardVP1_3,,ruby:1250,,,,,,,,,,,,,,,,
valuePackRewardVP1_4,,ruby:1250,,,,,,,,,,,,,,,,
valuePackRewardVP2_1,,ruby:6000,,,,,expediteConsumable3:30|fullHeal:20|aoeSpellConsumable01:5|increaseAttack1:20,,,,,,,,,,,
valuePackRewardVP2_2,,ruby:6000|breedingToken:200,,,,,fullHeal:25|frenzySpellConsumable01:12|increaseHP1:18,,,,,,,,,,,
valuePackRewardVP2_3,,ruby:6000,,,,,,,,,,,,,,,,
valuePackRewardVP2_4,,ruby:6000,,,,,,,,,,,,,,,,
valuePackRewardVP3_1,,ruby:16000|breedingToken:600,,,,,expediteConsumable3:40|fullHeal:40|summonDragonSpellConsumable01:12,,,,,,,,,,,
valuePackRewardVP3_2,,ruby:16000,,,,,fullHeal:50|chainLightningSpellConsumable01:25|increaseBuildingAttack1:60|increaseAttack1:80,,,,,,,,,,,
valuePackRewardVP3_3,,ruby:16000,,,,,,,,,,,,,,,,
valuePackRewardVP3_4,,ruby:16000,,,,,,,,,,,,,,,,
valuePackRewardVP4_1,,ruby:35000|breedingToken:600,,,,,expediteConsumable4:50|fullHeal:60|trebuchetResistAbilityConsumable01:25,,,,,,,,,,,
valuePackRewardVP4_2,,ruby:35000|breedingToken:600,,,,,fullHeal:125|battlecrySpellConsumable01:50|increaseHP1:200,,,,,,,,,,,
valuePackRewardVP4_3,,ruby:35000,,,,,,,,,,,,,,,,
valuePackRewardVP4_4,,ruby:35000,,,,,,,,,,,,,,,,
silverVPgift,,ruby:3|breedingToken:2,,,,,expediteConsumable1:1,,,,,,,,,,,
goldVPgift,,ruby:6|breedingToken:4,,,,,expediteConsumable1:2,,,,,,,,,,,
seededConsumables,,,,,,,fullHeal:10|expediteConsumable0:10|expediteConsumable1:4|expediteConsumable2:4,,,,,,,,,,,
mar62015_Ranked_1_1,,breedingToken:300,dodoDragon:25,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable4:10,,,,,,,,,,,
mar62015_Ranked_2_5,,breedingToken:280,dodoDragon:20,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable4:9,,,,,,,,,,,
mar62015_Ranked_6_10,,breedingToken:240,dodoDragon:18,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable4:8,,,,,,,,,,,
mar62015_Ranked_11_20,,breedingToken:220,dodoDragon:15,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable4:7,,,,,,,,,,,
mar62015_Ranked_21_30,,breedingToken:200,dodoDragon:12,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable3:8,,,,,,,,,,,
mar62015_Ranked_31_40,,breedingToken:180,dodoDragon:10,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable3:7,,,,,,,,,,,
mar62015_Ranked_41_50,,breedingToken:150,dodoDragon:8,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable3:6,,,,,,,,,,,
mar62015_Ranked_51_75,,breedingToken:120,dodoDragon:5,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable3:5,,,,,,,,,,,
mar62015_Ranked_76_100,,breedingToken:100,dodoDragon:3,T1C2HEdragon|T1C1HIdragon,,,expediteConsumable3:4,,,,,,,,,,,
mar62015_Participation_5000,,breedingToken:100,,,,,increaseAttack1:3|increaseHP1:3,,,,,,,,,,,
mar62015_Participation_30000,,breedingToken:120,,,,,increaseAttack1:4|increaseHP1:4,,,,,,,,,,,
mar62015_Participation_80000,,breedingToken:150,,,,,increaseAttack1:5|increaseHP1:5,,,,,,,,,,,
mar62015_Participation_150000,,breedingToken:200,dodoDragon:3,T1C2HEdragon|T1C1HIdragon,,,increaseAttack1:6|increaseHP1:6,,,,,,,,,,,
mar62015_Participation_250000,,breedingToken:250,dodoDragon:5,T1C2HEdragon|T1C1HIdragon,,,increaseAttack1:7|increaseHP1:7,,,,,,,,,,,
mar62015_Participation_500000,,breedingToken:300,dodoDragon:8,T1C2HEdragon|T1C1HIdragon,,,increaseAttack1:8|increaseHP1:8,,,,,,,,,,,
mar62015_Participation_1500000,,breedingToken:400,dodoDragon:10,T1C2HEdragon|T1C1HIdragon,,,increaseAttack1:9|increaseHP1:9,,,,,,,,,,,
mar62015_Participation_4000000,,breedingToken:500,dodoDragon:15,,,,increaseAttack1:10|increaseHP1:10,,,,,,,,,,,
mar_27_2015_Ranked_1_1,,ruby:1500|breedingToken:500,,,,,fullHeal:20,,,,,,,,,,,
mar_27_2015_Ranked_2_2,,ruby:1000|breedingToken:300,,,,,fullHeal:15,,,,,,,,,,,
mar_27_2015_Ranked_3_5,,ruby:700|breedingToken:280,,,,,fullHeal:10,,,,,,,,,,,
mar_27_2015_Ranked_6_10,,ruby:400|breedingToken:250,,,,,fullHeal:8,,,,,,,,,,,
mar_27_2015_Ranked_11_20,,ruby:250|breedingToken:200,,,,,fullHeal:7,,,,,,,,,,,
mar_27_2015_Ranked_21_30,,ruby:150|breedingToken:180,,,,,fullHeal:6,,,,,,,,,,,
mar_27_2015_Ranked_31_50,,ruby:100|breedingToken:150,,,,,fullHeal:5,,,,,,,,,,,
mar_27_2015_Ranked_51_75,,ruby:50|breedingToken:120,,,,,fullHeal:5,,,,,,,,,,,
mar_27_2015_Ranked_76_100,,breedingToken:100,,,,,fullHeal:4,,,,,,,,,,,
mar_27_2015_Ranked_101_500,,breedingToken:80,,,,,fullHeal:3,,,,,,,,,,,
mar_27_2015_Participation_13500,,ruby:1200|breedingToken:400,,,,,increaseBuildingAttack1:32,,,,,,,,,,,
mar_27_2015_Participation_11000,,ruby:600|breedingToken:350,,,,,increaseBuildingAttack1:24,,,,,,,,,,,
mar_27_2015_Participation_8000,,ruby:300|breedingToken:300,,,,,increaseBuildingAttack1:18,,,,,,,,,,,
mar_27_2015_Participation_5000,,ruby:100|breedingToken:250,,,,,increaseBuildingAttack1:12,,,,,,,,,,,
mar_27_2015_Participation_3000,,ruby:50|breedingToken:200,,,,,increaseBuildingAttack1:8,,,,,,,,,,,
mar_27_2015_Participation_2000,,breedingToken:150,,,,,increaseBuildingAttack1:6,,,,,,,,,,,
mar_27_2015_Participation_1000,,breedingToken:100,,,,,increaseBuildingAttack1:5,,,,,,,,,,,
may_1_2015_Ranked_1_1,,ruby:2500|breedingToken:500,,,,,expediteConsumable4:8,,,,,,,,,,,
may_1_2015_Ranked_2_3,,ruby:1800|breedingToken:300,,,,,expediteConsumable4:6,,,,,,,,,,,
may_1_2015_Ranked_4_10,,ruby:1500|breedingToken:280,,,,,expediteConsumable4:4,,,,,,,,,,,
may_1_2015_Ranked_11_25,,ruby:1200|breedingToken:250,,,,,expediteConsumable4:3,,,,,,,,,,,
may_1_2015_Ranked_26_50,,ruby:800|breedingToken:200,,,,,expediteConsumable3:8,,,,,,,,,,,
may_1_2015_Ranked_51_100,,ruby:500|breedingToken:180,,,,,expediteConsumable3:6,,,,,,,,,,,
may_1_2015_Ranked_101_200,,ruby:300|breedingToken:150,,,,,expediteConsumable3:5,,,,,,,,,,,
may_1_2015_Ranked_201_400,,ruby:150|breedingToken:120,,,,,expediteConsumable3:4,,,,,,,,,,,
may_1_2015_Ranked_401_800,,ruby:100|breedingToken:100,,,,,expediteConsumable3:3,,,,,,,,,,,
may_1_2015_Ranked_801_2000,,ruby:50|breedingToken:80,,,,,expediteConsumable3:2,,,,,,,,,,,
may_1_2015_Participation_13000,,ruby:2500|breedingToken:400,,,,,increaseBuildingAttack1:48,,,,,,,,,,,
may_1_2015_Participation_10000,,ruby:1800|breedingToken:350,,,,,increaseBuildingAttack1:36,,,,,,,,,,,
may_1_2015_Participation_8000,,ruby:1200|breedingToken:300,,,,,increaseBuildingAttack1:32,,,,,,,,,,,
may_1_2015_Participation_5000,,ruby:800|breedingToken:250,,,,,increaseBuildingAttack1:28,,,,,,,,,,,
may_1_2015_Participation_2500,,ruby:400|breedingToken:200,,,,,increaseBuildingAttack1:24,,,,,,,,,,,
may_1_2015_Participation_1000,,ruby:200|breedingToken:200,,,,,increaseBuildingAttack1:16,,,,,,,,,,,
may_1_2015_Participation_500,,ruby:100|breedingToken:200,,,,,increaseBuildingAttack1:12,,,,,,,,,,,
apr_epicdomination_Ranked_1_1,,breedingToken:500,LythLTODragon:50|ZalonLTODragon:50,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_2_3,,breedingToken:350,LythLTODragon:50|ZalonLTODragon:40,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_4_10,,breedingToken:300,LythLTODragon:50|ZalonLTODragon:30,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_11_25,,breedingToken:280,LythLTODragon:50|ZalonLTODragon:20,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_26_50,,breedingToken:250,LythLTODragon:50|ZalonLTODragon:10,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_51_100,,breedingToken:200,LythLTODragon:50,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_101_200,,breedingToken:160,LythLTODragon:40,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_201_400,,breedingToken:140,LythLTODragon:30,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_401_800,,breedingToken:120,LythLTODragon:20,,,,,,,,,,,,,,,
apr_epicdomination_Ranked_801_2000,,breedingToken:80,LythLTODragon:10,,,,,,,,,,,,,,,
apr_epicdomination_Participation_100000,,breedingToken:500,,,,,fullHeal:48|expediteConsumable4:12,,,,,,,,,,,
apr_epicdomination_Participation_75000,,breedingToken:350,,,,,fullHeal:36|expediteConsumable4:9,,,,,,,,,,,
apr_epicdomination_Participation_30000,,breedingToken:300,,,,,fullHeal:30|expediteConsumable4:5,,,,,,,,,,,
apr_epicdomination_Participation_15000,,breedingToken:250,,,,,fullHeal:24|expediteConsumable3:12,,,,,,,,,,,
apr_epicdomination_Participation_7500,,breedingToken:200,,,,,fullHeal:18|expediteConsumable3:10,,,,,,,,,,,
apr_epicdomination_Participation_2500,,breedingToken:150,,,,,fullHeal:12|expediteConsumable3:8,,,,,,,,,,,
apr_epicdomination_Participation_500,,breedingToken:120,,,,,fullHeal:8|expediteConsumable3:4,,,,,,,,,,,
may_xp_Ranked_1_1,,ruby:3200|breedingToken:800,,,,,aoeSpellConsumable01:3|battlecrySpellConsumable01:3|chainLightningSpellConsumable01:3|chargeShieldSpellConsumable01:3|cloakSpellConsumable01:3|curePoisonSpellConsumable01:3|dodgeSpellConsumable01:3|syphonSpellConsumable01:3|freezeSpellConsumable01:3|frenzySpellConsumable01:3|healSpellConsumable01:3|healingmarkSpellConsumable01:3|hurricaneSpellConsumable01:3|instantKillSpellConsumable01:3|invertSpellConsumable01:3|invincibleSpellConsumable01:3|selfDestructSpellConsumable01:3|lockdownSpellConsumable01:3|shortCircuitSpellConsumable01:3|stoneskinSpellConsumable01:3|summonDragonSpellConsumable01:3|archerResistAbilityConsumable01:3|cannonResistAbilityConsumable01:3|stormResistAbilityConsumable01:3|ballistaResistAbilityConsumable01:3,,,,,,,,,,,
may_xp_Ranked_2_3,,ruby:2500|breedingToken:600,,,,,aoeSpellConsumable01:2|battlecrySpellConsumable01:2|chainLightningSpellConsumable01:2|chargeShieldSpellConsumable01:2|cloakSpellConsumable01:2|curePoisonSpellConsumable01:2|dodgeSpellConsumable01:2|syphonSpellConsumable01:2|freezeSpellConsumable01:2|frenzySpellConsumable01:2|healSpellConsumable01:2|healingmarkSpellConsumable01:2|hurricaneSpellConsumable01:2|instantKillSpellConsumable01:2|invertSpellConsumable01:2|invincibleSpellConsumable01:2|selfDestructSpellConsumable01:2|lockdownSpellConsumable01:2|shortCircuitSpellConsumable01:2|stoneskinSpellConsumable01:2|summonDragonSpellConsumable01:2|archerResistAbilityConsumable01:2|cannonResistAbilityConsumable01:2|stormResistAbilityConsumable01:2|ballistaResistAbilityConsumable01:2,,,,,,,,,,,
may_xp_Ranked_4_10,,ruby:2000|breedingToken:500,,,,,aoeSpellConsumable01:2|battlecrySpellConsumable01:1|chainLightningSpellConsumable01:2|chargeShieldSpellConsumable01:2|cloakSpellConsumable01:1|curePoisonSpellConsumable01:1|dodgeSpellConsumable01:1|syphonSpellConsumable01:1|freezeSpellConsumable01:2|frenzySpellConsumable01:2|healSpellConsumable01:2|healingmarkSpellConsumable01:1|hurricaneSpellConsumable01:2|instantKillSpellConsumable01:2|invertSpellConsumable01:2|invincibleSpellConsumable01:2|selfDestructSpellConsumable01:2|lockdownSpellConsumable01:1|shortCircuitSpellConsumable01:2|stoneskinSpellConsumable01:2|summonDragonSpellConsumable01:2|archerResistAbilityConsumable01:1|cannonResistAbilityConsumable01:1|stormResistAbilityConsumable01:1|ballistaResistAbilityConsumable01:2,,,,,,,,,,,
may_xp_Ranked_11_25,,ruby:1200|breedingToken:400,,,,,aoeSpellConsumable01:2|battlecrySpellConsumable01:1|chainLightningSpellConsumable01:1|chargeShieldSpellConsumable01:1|cloakSpellConsumable01:1|curePoisonSpellConsumable01:1|dodgeSpellConsumable01:1|syphonSpellConsumable01:1|freezeSpellConsumable01:1|frenzySpellConsumable01:1|healSpellConsumable01:1|healingmarkSpellConsumable01:1|hurricaneSpellConsumable01:2|instantKillSpellConsumable01:2|invertSpellConsumable01:2|invincibleSpellConsumable01:1|selfDestructSpellConsumable01:2|lockdownSpellConsumable01:1|shortCircuitSpellConsumable01:1|stoneskinSpellConsumable01:1|summonDragonSpellConsumable01:1|archerResistAbilityConsumable01:1|cannonResistAbilityConsumable01:1|stormResistAbilityConsumable01:1|ballistaResistAbilityConsumable01:1,,,,,,,,,,,
may_xp_Ranked_26_50,,ruby:800|breedingToken:350,,,,,aoeSpellConsumable01:1|battlecrySpellConsumable01:1|chainLightningSpellConsumable01:1|chargeShieldSpellConsumable01:1|dodgeSpellConsumable01:1|syphonSpellConsumable01:1|freezeSpellConsumable01:1|frenzySpellConsumable01:1|healSpellConsumable01:1|hurricaneSpellConsumable01:1|instantKillSpellConsumable01:1|invertSpellConsumable01:1|invincibleSpellConsumable01:1|selfDestructSpellConsumable01:1|shortCircuitSpellConsumable01:1|stoneskinSpellConsumable01:1|summonDragonSpellConsumable01:1|archerResistAbilityConsumable01:1|cannonResistAbilityConsumable01:1|ballistaResistAbilityConsumable01:1,,,,,,,,,,,
may_xp_Ranked_51_100,,ruby:600|breedingToken:300,,,,,aoeSpellConsumable01:1|battlecrySpellConsumable01:1|chainLightningSpellConsumable01:1|chargeShieldSpellConsumable01:1|freezeSpellConsumable01:1|frenzySpellConsumable01:1|healSpellConsumable01:1|invertSpellConsumable01:1|selfDestructSpellConsumable01:1|shortCircuitSpellConsumable01:1|stoneskinSpellConsumable01:1|summonDragonSpellConsumable01:1|archerResistAbilityConsumable01:1|cannonResistAbilityConsumable01:1|ballistaResistAbilityConsumable01:1,,,,,,,,,,,
may_xp_Ranked_101_200,,ruby:500|breedingToken:250,,,,,,,,,,,,,,,,
may_xp_Ranked_201_400,,ruby:400|breedingToken:200,,,,,,,,,,,,,,,,
may_xp_Ranked_401_800,,ruby:250|breedingToken:180,,,,,,,,,,,,,,,,
may_xp_Ranked_801_2000,,ruby:100|breedingToken:150,,,,,,,,,,,,,,,,
may_xp_Participation_400000,,,,,,,expediteConsumable4:12|increaseHP1:40|increaseBuildingHP1:40,,,,,,,,,,,
may_xp_Participation_200000,,,,,,,expediteConsumable4:8|increaseHP1:32|increaseBuildingHP1:32,,,,,,,,,,,
may_xp_Participation_120000,,,,,,,expediteConsumable4:6|increaseHP1:28|increaseBuildingHP1:28,,,,,,,,,,,
may_xp_Participation_80000,,,,,,,expediteConsumable4:4|increaseHP1:22|increaseBuildingHP1:22,,,,,,,,,,,
may_xp_Participation_40000,,,,,,,expediteConsumable4:3|increaseHP1:18|increaseBuildingHP1:18,,,,,,,,,,,
may_xp_Participation_20000,,,,,,,expediteConsumable4:2|increaseHP1:15|increaseBuildingHP1:15,,,,,,,,,,,
may_xp_Participation_12000,,,,,,,expediteConsumable3:6|increaseHP1:12|increaseBuildingHP1:12,,,,,,,,,,,
may_xp_Participation_5000,,,,,,,expediteConsumable3:5|increaseHP1:10|increaseBuildingHP1:10,,,,,,,,,,,
may_xp_Participation_2000,,,,,,,expediteConsumable3:4|increaseHP1:8|increaseBuildingHP1:8,,,,,,,,,,,
june_epic_apology,,,,,,,fullHeal:10|increaseAttack1:15,,,,,,,,,,,
gachaKeyReward,,key:1,,,,,,,,,,,Keys,event_708_small_icon_keyGold_V2.png,,,,
july_holdout_apology,,ruby:500,,,,,,,,,,,,,,,,
valuePackEliteAccountReward_3Days,,,,,,,,,,259200,,,,,1,,,
valuePackEliteAccountReward_7Days,,,,,,,,,,604800,,,,,1,,,
valuePackEliteAccountReward_30Days,,,,,,,,,,2592000,,,,,1,,,
valuePackEliteAccountReward_365Days,,,,,,,,,,31536000,,,,,1,,,
seededEliteAccountTime,,,,,,,,,,604800,,,,,0,,,
candyCanes,,candyCanes:1,,,,,,,,,,,,,,,,
ruby,,ruby:1,,,,,,,,,,,,,,,,
chest0,,chest0:1,,,,,,,,,,,,,,,,
chest1,,chest1:1,,,,,,,,,,,,,,,,
chest2,,chest2:1,,,,,,,,,,,,,,,,
dragonPack1,,ruby:625|breedingToken:60,,,T1GGWFdragon:1,,fullHeal:4|expediteConsumable3:2|expediteConsumable2:3|expediteConsumable1:8|increaseAttack1:2|increaseHP1:2|increaseBuildingAttack1:2|increaseBuildingHP1:2|chainLightningSpellConsumable01:2|chargeShieldSpellConsumable01:2|attackConsumable:2|armorConsumable:2|repairConsumable:2,,,,,,,,,,,
dragonPack2,,ruby:1000,,,T2GGSIdragon:1,,fullHeal:4|expediteConsumable4:3|expediteConsumable3:3|expediteConsumable2:5|increaseAttack1:3|increaseHP1:3|increaseBuildingAttack1:3|increaseBuildingHP1:3|summonDragonSpellConsumable01:3|stoneskinSpellConsumable01:3|attackConsumable:3|armorConsumable:3|repairConsumable:3,,,,,,,,,,,
dragonPack3,,ruby:2000,,,T3GGHEdragon:1,,fullHeal:6|expediteConsumable4:6|expediteConsumable3:6|expediteConsumable2:6|increaseAttack1:6|increaseHP1:6|increaseBuildingAttack1:6|increaseBuildingHP1:6|selfDestructSpellConsumable01:6|chargeShieldSpellConsumable01:6|instantKillSpellConsumable01:6|attackConsumable:6|armorConsumable:6|repairConsumable:6,,,,,,,,,,,
dragonPack4,,ruby:4000,,,T4GGSDdragon:1,,fullHeal:10|expediteConsumable4:10|expediteConsumable3:10|expediteConsumable2:10|increaseAttack1:10|increaseHP1:10|increaseBuildingAttack1:10|increaseBuildingHP1:10|frenzySpellConsumable01:10|lightningResistAbilityConsumable01:10|selfDestructSpellConsumable01:10|shortCircuitSpellConsumable01:10|attackConsumable:10|armorConsumable:10|repairConsumable:10,,,,,,,,,,,
dragonPack5,,evolvingHunterPurpleStone:1|ruby:800,,,,,lumberConsumable1:1|foodConsumable1:1,,,,,,,,,,,
dragonPack6,,evolvingHunterBlueStone:1|ruby:3200,,,,,lumberConsumable1:3|foodConsumable1:3,,,,,,,,,,,
dragonPack7,,evolvingHunterOrangeStone:1|ruby:20320,,,,,expediteConsumable4:5|expediteConsumable3:15|foodConsumable1:5,,,,,,,,,,,
ad_reward_test_1,,ruby:625|breedingToken:50,,,,,increaseBuildingHP1:3|attackConsumable:2|expediteConsumable1:4,,,,,,Youtube Value Pack!,,,1,,
ad_reward_test_everyone,,,,,,,,,,,,,Youtube Value Pack!,,,1,,
ad_reward_test_only_new_players,,,,,,,,,,,,,Youtube Value Pack!,,,1,1,
ad_reward_test_only_existing_players,,,,,,,,,,,,,Youtube Value Pack!,,,1,2,
