identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,h
phasmosSapphireDragon_12,12,food:182160,1,,1287497,17280,lockon:T6C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,65104,food:690,4.2,rage3,18,950000,1,experience:0,569242,16,6,6,drg_ghost_level3.lvl,
phasmosSapphireDragon_13,13,food:210000,1,,1607623,17280,lockon:T6C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,81022,food:780,4.2,rage3,18,1204834,1,experience:0,884524,16,6,6,drg_ghost_level3.lvl,
phasmosSapphireDragon_14,14,food:240000,1,,1818811,17280,lockon:T6C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,91838,food:870,4.2,rage3,18,1666559,1,experience:0,1134300,16,6,6,drg_ghost_level3.lvl,
phasmosSapphireDragon_15,15,food:300000,1,,2057752,17280,lockon:T6C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,103906,food:960,4.2,rage3,18,2225000,1,experience:0,1451966,16,6,6,drg_ghost_level3.lvl,
phasmosSapphireDragon_16,16,branch4PlatinumStone:1,1,havePlatinumLegendary,2215924,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,111895,food:1014,4.2,rage3,23,1249940,1,experience:0,1683788,21,7,6,drg_ghost_level4.lvl,
phasmosSapphireDragon_17,17,food:420000,1,,2445900,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,123510,food:1086,4.2,rage3,24,1832505,1,experience:0,2051559,21,7,6,drg_ghost_level4.lvl,
phasmosSapphireDragon_18,18,food:440000,1,,2633944,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,133007,food:1140,4.2,rage3,25,2413642,1,experience:0,2379087,21,7,6,drg_ghost_level4.lvl,
phasmosSapphireDragon_19,19,food:470000,1,,2907334,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,146814,food:1212,4.2,rage3,26,2700000,1,experience:0,2898615,21,7,6,drg_ghost_level4.lvl,
phasmosSapphireDragon_20,20,food:500000,1,,3209071,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,158038,food:1284,4.2,rage3,26,2950000,1,experience:0,3444152,21,7,6,drg_ghost_level4.lvl,
phasmosSapphireDragon_21,21,branch4SapphireStone:1,1,haveLegendarySapphire,3721450,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,183275,food:1392,4.2,rage3,27,3200000,1,experience:0,4631773,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_22,22,food:560000,1,,3814476,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,187857,food:1410,4.2,rage3,28,3495641,1,experience:0,4866239,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_23,23,food:590000,1,,3909825,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,192553,food:1428,4.2,rage3,28,4083036,1,experience:0,5112696,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_24,24,food:620000,1,,4007557,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,197367,food:1446,4.2,rage3,29,3672602,1,experience:0,5371377,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_25,25,food:650000,1,,4107726,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,202301,food:1464,4.2,rage3,29,3764416,1,experience:0,5643269,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_26,26,food:680000,1,,4210401,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,207358,food:1482,4.2,rage3,29,4510848,1,experience:0,5929083,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_27,27,food:710000,1,,4315641,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,212542,food:1500,4.2,rage3,30,4623620,1,experience:0,6229083,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_28,28,food:740000,1,,4423514,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,217855,food:1518,4.2,rage3,30,4744207,1,experience:0,6544464,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_29,29,food:770000,1,,4647435,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,228884,food:1554,4.2,rage3,31,4857686,1,experience:0,7223789,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_30,30,food:780000,1,haveMythicSapphire,5468391,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,269319,food:1618,4.2,rage3,32,4988840,1,experience:0,9246926,31,8,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_31,31,branch4GarnetStone:1,1,haveLegendaryGarnet,5468391,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,269319,food:1662,4.2,rage3,33,5123540,1,experience:1,9246926,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_32,32,food:803580,1,,5524223,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,272070,food:1680,4.2,rage3,33,5261880,1,experience:2,10206745,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_33,33,food:815630,1,,5662314,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,278872,food:1698,4.2,rage3,33,5403950,1,experience:3,10723557,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_34,34,food:827860,1,,5803856,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,285843,food:1716,4.2,rage3,34,5549860,1,experience:4,11266400,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_35,35,food:840280,1,,5948935,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,292989,food:1734,4.2,rage3,34,5699710,1,experience:5,11836587,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_36,36,food:852880,1,,6097637,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,300314,food:1752,4.2,rage3,34,5853600,1,experience:6,12435804,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_37,37,food:865670,1,have2LegendaryGarnet,6250060,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,307822,food:1770,4.2,rage3,35,6011650,1,experience:7,13065426,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_38,38,food:878660,1,,6406297,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,315517,food:1788,4.2,rage3,35,6173960,1,experience:8,13726680,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_39,39,food:891840,1,,6566443,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,323405,food:1806,4.2,rage3,35,6340660,1,experience:9,14421698,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_40,40,food:905220,1,,6730585,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,331490,food:1824,4.2,rage3,36,6511860,1,experience:10,15151772,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_41,41,food:918800,1,,6898826,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,339777,food:1842,4.2,rage3,36,6687680,1,experience:11,15918750,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_42,42,food:932580,1,,7071274,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,348271,food:1860,4.2,rage3,36,6868250,1,experience:12,16724523,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_43,43,food:946570,1,,7248040,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,356978,food:1878,4.2,rage3,37,7053690,1,experience:13,17571200,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_44,44,food:960770,1,,7429228,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,365902,food:1896,4.2,rage3,37,7250884,1,experience:14,18460564,0,9,6,drg_ghost_level5.lvl,
phasmosSapphireDragon_45,45,food:960770,1,,7614944,17280,lockon:T7C3SIdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,375049,food:1914,4.2,rage3,37,0,1.2,experience:15,19395175,0,9,6,drg_ghost_level5.lvl,!@#pehmkmagjiifijjp
