identifier,filename,numberOfInstances,enabled,usedInBuildMode,usedInAttack,usedInStable,h
ptl_drg_healthMark_spell_01,ptl_drg_healthMark_spell_01.part,1,1,0,1,0,
freeze_buildup,ptl_freeze_spell_buildup_01.part,1,1,1,1,0,
ptl_drg_chain_lightning_source_01,ptl_drg_chain_lightning_source_01.part,1,1,0,1,0,
ptl_drg_chain_lightning_impact_01,ptl_drg_chain_lightning_impact_01.part,1,1,0,1,0,
ptl_freeze_spell_impact_02,ptl_freeze_spell_impact_02.part,1,1,0,0,0,
ptl_charge_shield_impact_01,ptl_charge_shield_impact_01.part,1,1,0,1,0,
ptl_energy_syphon_heal,ptl_drg_energy_siphon_heal_01.part,1,1,0,1,0,
ptl_energy_syphon,ptl_drg_energy_siphon_01.part,1,1,0,1,0,
ptl_battlecry_spell,ptl_battlecry_spell_01.part,1,1,0,1,0,
ptl_warcry_spell,spl_warcry.part,1,1,0,1,0,
ptl_lockdown_charge,ptl_lockdown_buildup_01.part,1,1,0,1,0,
ptl_stoneskin_hit,ptl_spell_stoneskin_impact_01.part,1,1,0,1,0,
ptl_charge_shield_death,ptl_drg_charge_shield_01.part,1,1,0,1,0,
ptl_torch_01,ptl_torch_01.part,1,1,1,0,0,
ptl_dragon_shout,ptl_dragon_shout.part,1,1,0,1,0,
ptl_building_intimidated,ptl_buildingIntimidated.part,1,1,0,1,0,
ptl_building_intimidated_persist,ptl_buildingIntim_arrow.part,1,1,0,1,0,
ptl_dragon_sacrifice,ptl_sacrifice.part,1,1,0,1,0,
ptl_steal_essence_ball,ptl_stealEssence_fireball.part,1,1,0,1,0,
ptl_building_shock_base,ptl_shockedBase.part,1,1,0,1,0,
ptl_building_stun,ptl_building_stun.part,1,1,0,1,0,
VFX_eventIsland_emerge_drain_01,VFX_eventIsland_emerge_drain_01.part,1,1,1,0,0,
VFX_eventIsland_emerge_drain_02,VFX_eventIsland_emerge_drain_02.part,1,1,1,0,0,
VFX_eventIsland_emerge_drain_splash_01,VFX_eventIsland_emerge_drain_splash_01.part,1,1,1,0,0,
VFX_eventIsland_emerge_drain_splash_02,VFX_eventIsland_emerge_drain_splash_02.part,1,1,1,0,0,
VFX_eventIsland_emerge_splash_01,VFX_eventIsland_emerge_splash_01.part,1,1,1,0,0,
VFX_eventIsland_emerge_splash_02,VFX_eventIsland_emerge_splash_02.part,1,1,1,0,0,
VFX_eventIsland_emerge_splash_03,VFX_eventIsland_emerge_splash_03.part,1,1,1,0,0,
VFX_eventIsland_emerge_splash_04,VFX_eventIsland_emerge_splash_04.part,1,1,1,0,0,
VFX_eventIsland_emerge_splash_dock,VFX_eventIsland_emerge_splash_dock.part,1,1,1,0,0,
VFX_eventIsland_amb_base_ripples_round,VFX_eventIsland_amb_base_ripples_round.part,1,1,1,0,0,
VFX_eventIsland_amb_base_ripples_Square,VFX_eventIsland_amb_base_ripples_Square.part,1,1,1,0,0,
VFX_eventIsland_doorBeam_on,VFX_eventIsland_doorBeam_on.part,1,1,1,0,0,
VFX_eventIsland_Statue_chest_glow,VFX_eventIsland_Statue_chest_glow.part,1,1,1,0,0,
VFX_eventIsland_Statue_staff_glow,VFX_eventIsland_Statue_staff_glow.part,1,1,1,0,0,
VFX_eventIsland_emerge_surf_preFoam,VFX_eventIsland_emerge_surf_preFoam.part,1,1,1,0,0,
VFX_eventIsland_amb_fire_orange,VFX_eventIsland_amb_fire_orange.part,1,1,1,0,0,
VFX_eventIsland_amb_fire_blue,VFX_eventIsland_amb_fire_blue.part,1,1,1,0,0,
VFX_eventIsland_amb_fire_green,VFX_eventIsland_amb_fire_Green.part,1,1,1,0,0,
VFX_eventIsland_amb_fire_red,VFX_eventIsland_amb_fire_Red.part,1,1,1,0,0,
VFX_eventIsland_Submerge_splash_01,VFX_eventIsland_Submerge_splash_01.part,1,1,1,0,0,
VFX_eventIsland_Submerge_splash_02,VFX_eventIsland_Submerge_splash_02.part,1,1,1,0,0,
VFX_eventIsland_portal_Blue,VFX_eventIsland_portal_Blue.part,1,1,1,0,0,
VFX_eventIsland_portal_Red,VFX_eventIsland_portal_Red.part,1,1,1,0,0,
VFX_gotcha_landing_dust,VFX_gotcha_landing_dust.part,1,1,1,0,0,
VFX_gotcha_open_flash_01,VFX_gotcha_open_flash_01.part,1,1,1,0,0,
VFX_gotcha_open_flash_02,VFX_gotcha_open_flash_02.part,1,1,1,0,0,
VFX_gotcha_open_flash_03,VFX_gotcha_open_flash_03.part,1,1,1,0,0,
VFX_gotcha_item_bkgnd_01,VFX_gotcha_item_bkgnd_01.part,1,1,1,0,0,
VFX_gotcha_item_bkgnd_02,VFX_gotcha_item_bkgnd_02.part,1,1,1,0,0,
VFX_gotcha_item_bkgnd_03,VFX_gotcha_item_bkgnd_03.part,1,1,1,0,0,
VFX_gotcha_idle_01,VFX_gotcha_idle_01.part,1,1,1,0,0,
VFX_gotcha_idle_02,VFX_gotcha_idle_02.part,1,1,1,0,0,
VFX_gotcha_idle_03,VFX_gotcha_idle_03.part,1,1,1,0,0,
ptl_whelp_whisp_01,ptl_whelp_whisp_01.part,1,1,0,1,0,
ptl_whelp_whisp_02,ptl_whelp_whisp_02.part,1,1,0,1,0,
ptl_whelp_whisp_03,ptl_whelp_whisp_03.part,1,1,0,1,0,
ptl_whelp_whisp_04,ptl_whelp_whisp_04.part,1,1,0,1,0,
ptl_whelp_whisp_05,ptl_whelp_whisp_05.part,1,1,0,1,0,
ptl_whelp_whisp_06,ptl_whelp_whisp_06.part,1,1,0,1,0,
vfx_wisp_trail_red,vfx_wisp_trail_red.part,1,1,0,1,0,
vfx_wisp_trail_purple,vfx_wisp_trail_purple.part,1,1,0,1,0,
vfx_wisp_trail_blue,vfx_wisp_trail_blue.part,1,1,0,1,0,
vfx_wisp_trail_orange,vfx_wisp_trail_orange.part,1,1,0,1,0,
vfx_wisp_trail_green,vfx_wisp_trail_green.part,1,1,0,1,0,
vfx_wisp_trail_yellow,vfx_wisp_trail_yellow.part,1,1,0,1,0,
vfx_wisp_trail_chargedShield,vfx_wisp_trail_chargedShield.part,1,1,0,1,0,
vfx_wisp_trail_summon,vfx_wisp_trail_summon.part,1,1,0,1,0,
vfx_wisp_trail_cloak,vfx_wisp_trail_cloak.part,1,1,0,1,0,
ptl_drg_rising_phoenix_01,ptl_drg_rising_phoenix_01.part,1,1,0,1,0,
ptl_drg_shield_phoenix,ptl_drg_shield_phoenix.part,1,1,0,1,0,
ptl_seething_spark,ptl_seethingSpark.part,1,1,0,1,0,
ptl_dragon_thunderlight_ball,ptl_shockPulse.part,1,1,0,1,0,
fire_onDragon,ptl_fire_onDragon.part,1,1,0,1,0,
flameTurret_ChargeUp,ptl_flameTurret_ChargeUp.part,1,1,0,1,0,
drg_blackblood_flame_01,ptl_drg_blackblood_flame_01.part,1,1,0,0,0,
ptl_drg_blackblood_proj_impact_02,ptl_drg_blackblood_proj_impact_02.part,1,1,0,0,0,
ptl_drg_blackblood_proj_impact_01,ptl_drg_blackblood_proj_impact_01.part,1,1,0,0,0,
drg_blackblood_flame_impact_01,ptl_drg_blackblood_flame_impact_01.part,1,1,0,0,0,
ptl_heatBlastShield_hit,ptl_spell_heatBlast_impact_01.part,1,1,0,1,0,
daybreak_dragon,ptl_daybreak_dragonSpell.part,1,1,0,1,0,
drg_heated_flame_01,ptl_drg_heated_flame_01.part,1,1,0,1,0,
drg_heated_flame_impact_01,ptl_drg_heated_flame_impact_01.part,1,1,0,1,0,
ptl_drg_radiance_blast_01,ptl_drg_radiance_blast_01.part,1,1,0,1,0,
ptl_drg_radiance_glow_01,ptl_drg_radiance_glow_01.part,1,1,0,1,0,
drg_radiance_flame_01,ptl_drg_radiance_flame_01.part,1,1,0,1,0,
drg_radiance_flame_impact_01,ptl_drg_radiance_flame_impact_01.part,1,1,0,1,0,
drg_piercing_flame_01,ptl_drg_piercing_flame_01.part,1,1,0,1,0,
drg_piercing_flame_impact_01,ptl_drg_piercing_flame_impact_01.part,1,1,0,1,0,
ptl_nocturnalFissure,ptl_nocturnalFissure.part,1,1,0,1,0,
ptl_nocturnalFissure_shrink,ptl_nocturnalFissure_shrink.part,1,1,0,1,0,
ptl_drg_nocturnalFissure_explosion_01,ptl_drg_nocturnalFissure_explosion_01.part,1,1,0,1,0,
umbralSpike_hit,umbral_spike_hit_01.part,1,1,0,1,0,
umbralSpike_grow,ptl_umbralSpike_sphere.part,1,1,0,1,0,
ptl_drg_nightfall_shadow_01,ptl_drg_nightfall_shadow_01.part,1,1,0,1,0,
ptl_drg_nightfall_proj_impact_01,ptl_drg_nightfall_proj_impact_01.part,1,1,0,1,0,
ptl_drg_desiccating_sand_charge,ptl_drg_desiccating_sand_charge.part,1,1,0,1,0,
ptl_drg_desiccating_sand_onGround,ptl_drg_desiccating_sand_onGround.part,1,1,0,1,0,
ptl_drg_crumble_to_dust_charge,ptl_drg_crumble_to_dust_charge.part,1,1,0,1,0,
ptl_drg_crumble_to_dust_init,ptl_drg_crumble_to_dust_init.part,1,1,0,1,0,
ptl_drg_crumble_to_dust,ptl_drg_crumble_to_dust.part,1,1,0,1,0,
ptl_drg_crumble_to_dust_impact,ptl_drg_crumble_to_dust_impact.part,1,1,0,1,0,
ptl_drg_temporalShard,ptl_dragon_temporalShard.part,1,1,0,1,0,
ptl_drg_timeShiftShadow,ptl_drg_timeShiftShadow.part,1,1,0,1,0,
ptl_drg_timeShiftFinish,ptl_drg_timeShiftFinish.part,1,1,0,1,0,
drg_shadowApophet_flame_01,ptl_drg_shadowApophet_flame_01.part,1,1,0,1,0,
drg_shadowApophet_flame_impact_01,ptl_drg_shadowApophet_flame_impact_01.part,1,1,0,1,0,
ptl_drg_nightfall_proj_impact_02,ptl_drg_nightfall_proj_impact_02.part,1,1,0,1,0,
ptl_northernLights_blast_light,ptl_drg_northernLights_light_blast_01.part,1,1,0,1,0,
ptl_northernLights_blast_dark,ptl_drg_northernLights_dark_blast_01.part,1,1,0,1,0,
ptl_southernCross_hit_light,ptl_southern_cross_hit_light_01.part,1,1,0,1,0,
ptl_southernCross_hit_dark,ptl_southern_cross_hit_dark_01.part,1,1,0,1,0,
ptl_southernCross_sphere_dark,ptl_southernCross_sphere_dark.part,1,1,0,1,0,
ptl_southernCross_sphere_light,ptl_southernCross_sphere_light.part,1,1,0,1,0,
ptl_rage_dragonSpell,ptl_rage_dragonSpell.part,1,1,0,1,0,
ptl_drg_celestialDance_light,ptl_drg_celestialDance_light.part,1,1,0,1,0,
ptl_drg_celestialDance_dark,ptl_drg_celestialDance_dark.part,1,1,0,1,0,
ptl_drg_celestialDance_dark_proj_impact_02,ptl_drg_celestialDance_dark_proj_impact_02.part,1,1,0,0,0,
ptl_drg_celestialDance_dark_proj_impact_01,ptl_drg_celestialDance_dark_proj_impact_01.part,1,1,0,0,0,
ptl_drg_celestialDance_light_proj_impact_02,ptl_drg_celestialDance_light_proj_impact_02.part,1,1,0,0,0,
ptl_drg_celestialDance_light_proj_impact_01,ptl_drg_celestialDance_light_proj_impact_01.part,1,1,0,0,0,
drg_malefic_flame_01,ptl_drg_malefic_flame_01.part,1,1,0,1,0,
drg_malefic_flame_impact_01,ptl_drg_malefic_flame_impact_01.part,1,1,0,1,0,
ptl_building_gloomCloud,ptl_building_gloomCloud.part,1,1,0,1,0,
ptl_drg_dreadfulRoar,ptl_drg_dreadfulRoar.part,1,1,0,1,0,
gacha_dragon_bite,VFX_gotcha_chest_death.part,1,1,1,0,0,
gacha_dragon_landing_dust,VFX_gotcha_landing_dust.part,1,1,1,0,0,
gacha_dragon_flyoff_dust,VFX_gotcha_takeoff_dust.part,1,1,1,0,0,
ptl_shield_crystalShield_destruct,ptl_shield_crystalShield_Destruct.part,1,1,0,1,0,
ptl_shattershard_shatter,ptl_shattershard_shatter.part,1,1,0,1,0,
mythic_doomChain_end,mythic_doomChain_end.part,1,1,0,1,0,
ptl_shadow,shadow.part,1,1,0,1,0,
ptl_shield_blast_impact_01,ptl_shield_blast_impact_01.part,1,1,0,1,0,
ptl_shield_blast_death,ptl_drg_shield_blast_01.part,1,1,0,1,0,
ptl_undead_blast_impact_01,ptl_undead_blast_impact_01.part,1,1,0,1,0,
ptl_undead_blast_death,ptl_drg_undead_blast_01.part,1,1,0,1,0,
earthquake_effect,earthquake_hover_projectile.part,1,1,0,1,0,
earthquake_buildup,ptl_earthquake_spell_buildup_01.part,1,1,1,1,0,
ptl_building_screeched,ptl_buildingScreeched.part,1,1,0,1,0,
ptl_building_screeched_persist,ptl_buildingScreeched_arrow.part,1,1,0,1,0,
ptl_dragon_screech,ptl_dragon_screech.part,1,1,0,1,0,
ptl_drg_noxious_vines_charge,ptl_drg_noxious_vines_charge.part,1,1,0,1,0,
ptl_drg_noxious_vines_onGround,ptl_drg_noxious_vines_onGround.part,1,1,0,1,0,
tectonicTomb_effect,tectonicTomb_hover_projectile.part,1,1,0,0,0,
tectonicTomb_buildup,ptl_tectonicTomb_spell_buildup_01.part,1,1,1,1,0,
tectonic_tomb_dissipation_effect,ptl_tectonic_tomb_shield_dis.part,1,1,0,0,0,
uproot,uproot_01.part,1,1,0,1,0,
uproot_hit,uproot_hit_01.part,1,1,0,1,0,
uproot_grow,ptl_uproot_sphere.part,1,1,0,1,0,
ptl_earthquake_spell_impact_02,ptl_earthquake_spell_impact_02.part,1,1,0,0,,
prj_elementalFlakDark,elementalFlakDarkProjectile.part,1,1,0,0,0,
prj_elementalFlakFire,elementalFlakFireProjectile.part,1,1,0,0,0,
prj_elementalFlakWind,elementalFlakWindProjectile.part,1,1,0,0,0,
prj_elementalFlakEarth,elementalFlakEarthkProjectile.part,1,1,0,0,0,
prj_elementalFlakIce,elementalFlakIceProjectile.part,1,1,0,0,0,
ptl_elementalFlakDarkInitiate,ptl_elementalFlakDarkInitiateShot.part,1,1,0,0,0,
ptl_elementalFlakDarkSuper,ptl_elementalFlakDarkSuperShot.part,1,1,0,0,0,
ptl_elementalFlakWindInitiate,ptl_elementalFlakWindInitiateShot.part,1,1,0,0,0,
ptl_elementalFlakWindSuper,ptl_elementalFlakWindSuperShot.part,1,1,0,0,0,
ptl_elementalFlakEarthInitiate,ptl_elementalFlakEarthInitiateShot.part,1,1,0,0,0,
ptl_elementalFlakEarthSuper,ptl_elementalFlakEarthSuperShot.part,1,1,0,0,0,
ptl_elementalFlakFireInitiate,ptl_elementalFlakFireInitiateShot.part,1,1,0,0,0,
ptl_elementalFlakFireSuper,ptl_elementalFlakFireSuperShot.part,1,1,0,0,0,
ptl_elementalFlakIceInitiate,ptl_elementalFlakIceInitiateShot.part,1,1,0,0,0,
ptl_elementalFlakIceSuper,ptl_elementalFlakIceSuperShot.part,1,1,0,0,0,
elementalFlakEarth_target,elementalFlakEarthTarget.part,1,1,0,0,0,
elementalFlakEarth_explosion,elemenalFlakEarthExplosion.part,1,1,0,0,0,
elementalFlakWind_target,elementalFlakWindTarget.part,1,1,0,0,0,
elementalFlakWind_explosion,elemenalFlakWindExplosion.part,1,1,0,0,0,
elementalFlakDark_target,elementalFlakDarkTarget.part,1,1,0,0,0,
elementalFlakDark_explosion,elemenalFlakDarkExplosion.part,1,1,0,0,0,
elementalFlakFire_target,elementalFlakFireTarget.part,1,1,0,0,0,
elementalFlakFire_explosion,elemenalFlakFireExplosion.part,1,1,0,0,0,
elementalFlakIce_target,elementalFlakIceTarget.part,1,1,0,0,0,
elementalFlakIce_explosion,elemenalFlakIceExplosion.part,1,1,0,0,0,
ptl_elementalFlakEarthAbsorbEnergy,ptl_elementalFlakEarthAbsorbEnergy.part,1,1,0,0,0,
ptl_elementalFlakWindAbsorbEnergy,ptl_elementalFlakWindAbsorbEnergy.part,1,1,0,0,0,
ptl_elementalFlakDarkAbsorbEnergy,ptl_elementalFlakDarkAbsorbEnergy.part,1,1,0,0,0,
ptl_elementalFlakIceAbsorbEnergy,ptl_elementalFlakIceAbsorbEnergy.part,1,1,0,0,0,
ptl_elementalFlakFireAbsorbEnergy,ptl_elementalFlakFireAbsorbEnergy.part,1,1,0,0,0,
ptl_onHit_elementalFlakEarthSuper,ptl_onHit_elementalFlakEarthSuper.part,1,1,0,0,0,
ptl_onHit_elementalFlakEarthExplosion,ptl_onHit_elementalFlakEarthExplosion.part,1,1,0,0,0,
ptl_onHit_elementalFlakWindSuper,ptl_onHit_elementalFlakWindSuper.part,1,1,0,0,0,
ptl_onHit_elementalFlakWindExplosion,ptl_onHit_elementalFlakWindExplosion.part,1,1,0,0,0,
ptl_onHit_elementalFlakDarkExplosion,ptl_onHit_elementalFlakDarkExplosion.part,1,1,0,0,0,
ptl_onHit_elementalFlakFireExplosion,ptl_onHit_elementalFlakFireExplosion.part,1,1,0,0,0,
