identifier,inBundle,name,descriptionText,iconFilename,boostingSceneFilename,previewIconFilename,targetType,durationInMinutes,damageIncreasePercent,salvagePrice,sortPriority,h
increaseBuildingAttack100,1,+100% Tower Atk,Towers do 100% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,100,11,28,
increaseBuildingAttack110,1,+110% Tower Atk,Towers do 110% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,110,11,28,
increaseBuildingAttack120,1,+120% Tower Atk,Towers do 120% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,120,11,28,
increaseBuildingAttack130,1,+130% Tower Atk,Towers do 130% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,130,11,28,
increaseBuildingAttack140,1,+140% Tower Atk,Towers do 140% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,140,11,28,
increaseBuildingAttack150,1,+150% Tower Atk,Towers do 150% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,150,11,28,
increaseBuildingAttack160,1,+160% Tower Atk,Towers do 160% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,160,11,28,
increaseBuildingAttack170,1,+160% Tower Atk,Towers do 170% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,170,11,28,
increaseBuildingAttack180,1,+180% Tower Atk,Towers do 180% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,180,11,28,
increaseBuildingAttack190,1,+190% Tower Atk,Towers do 190% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,190,11,28,
increaseBuildingAttack200,1,+200% Tower Atk,Towers do 200% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,200,11,28,
increaseBuildingAttack210,1,+210% Tower Atk,Towers do 210% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,210,11,28,
increaseBuildingAttack220,1,+220% Tower Atk,Towers do 220% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,220,11,28,
increaseBuildingAttack230,1,+230% Tower Atk,Towers do 230% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,230,11,28,
increaseBuildingAttack240,1,+240% Tower Atk,Towers do 240% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,240,11,28,
increaseBuildingAttack250,1,+250% Tower Atk,Towers do 250% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,250,11,28,
increaseBuildingAttack260,1,+260% Tower Atk,Towers do 260% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,260,11,28,
increaseBuildingAttack270,1,+270% Tower Atk,Towers do 270% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,270,11,28,
increaseBuildingAttack280,1,+280% Tower Atk,Towers do 280% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,280,11,28,
increaseBuildingAttack290,1,+290% Tower Atk,Towers do 290% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,290,11,28,
increaseBuildingAttack300,1,+300% Tower Atk,Towers do 300% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,300,11,28,
increaseBuildingAttack320,1,+320% Tower Atk,Towers do 320% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,320,11,28,
increaseBuildingAttack340,1,+340% Tower Atk,Towers do 340% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,340,11,28,
increaseBuildingAttack360,1,+360% Tower Atk,Towers do 360% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,360,11,28,
increaseBuildingAttack380,1,+380% Tower Atk,Towers do 380% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,380,11,28,
increaseBuildingAttack400,1,+400% Tower Atk,Towers do 400% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,400,11,28,
increaseBuildingAttack450,1,+450% Tower Atk,Towers do 450% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,450,11,28,
increaseBuildingAttack500,1,+500% Tower Atk,Towers do 500% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,500,11,28,!@#flgdannmdjmcjinf
