identifier,damagePerSecond,damageDuration,battleTextIdentifier,h
gloomCloud798,0.01,5,,
gloomCloud799,0.01,5,,
gloomCloud800,0.01,5,,
gloomCloud801,0.01,5,,
gloomCloud802,0.01,5,,
gloomCloud803,0.01,5,,
gloomCloud804,0.01,5,,
gloomCloud805,0.01,5,,
gloomCloud806,0.01,5,,
gloomCloud807,0.01,5,,
gloomCloud808,0.01,5,,
gloomCloud809,0.01,5,,
gloomCloud810,0.01,5,,
gloomCloud811,0.01,5,,
gloomCloud812,0.01,5,,
gloomCloud813,0.01,5,,
gloomCloud814,0.01,5,,
gloomCloud815,0.01,5,,
gloomCloud816,0.01,5,,
gloomCloud817,0.01,5,,
gloomCloud818,0.01,5,,
gloomCloud819,0.01,5,,
gloomCloudMiasmicBreath,0.025,3,,
gloomCloudCausticSpines,0.03,5,,
gloomCloudEntropy,0.015,999,,!@#clfkmjdjohpgmmjo
