identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
BuilderUpgrades_15,15,0,stru_resource_builderHut_level03.lvl,,piercing:131400|greenEggCurrency:4,575999,,58,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_16,16,0,stru_resource_builderHut_level03.lvl,,piercing:142200|greenEggCurrency:4,633599,,61,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_17,17,0,stru_resource_builderHut_level03.lvl,,piercing:153000|greenEggCurrency:4,691199,,63,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_18,18,0,stru_resource_builderHut_level03.lvl,,piercing:163800|greenEggCurrency:4,691199,,66,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_19,19,0,stru_resource_builderHut_level03.lvl,,piercing:174600|greenEggCurrency:4,748799,,68,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_20,20,0,stru_resource_builderHut_level03.lvl,,piercing:185400|greenEggCurrency:4,806399,,71,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_21,21,0,stru_resource_builderHut_level03.lvl,,piercing:201600|goldEggCurrency:4,806399,,73,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_22,22,0,stru_resource_builderHut_level03.lvl,,piercing:217800|goldEggCurrency:4,806399,,74,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_23,23,0,stru_resource_builderHut_level03.lvl,,piercing:234000|platinumEggCurrency:4,863999,,76,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_24,24,0,stru_resource_builderHut_level03.lvl,,piercing:250200|platinumEggCurrency:4,921599,,78,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_25,25,0,stru_resource_builderHut_level03.lvl,,piercing:266400|platinumEggCurrency:4,921599,,81,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_26,26,0,stru_resource_builderHut_level03.lvl,,piercing:282600|sapphireEggCurrency:4,979199,,83,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_27,27,0,stru_resource_builderHut_level03.lvl,,piercing:298800|sapphireEggCurrency:4,979199,,84,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_28,28,0,stru_resource_builderHut_level03.lvl,,piercing:315000|garnetEggCurrency:4,979199,,85,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_29,29,0,stru_resource_builderHut_level03.lvl,,piercing:331200|garnetEggCurrency:4,979199,,85,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_30,30,0,stru_resource_builderHut_level03.lvl,,piercing:347400|garnetEggCurrency:4,979199,,90,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_31,31,0,stru_resource_builderHut_level03.lvl,,piercing:363600|emeraldEggCurrency:4,979199,,140,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_32,32,0,stru_resource_builderHut_level03.lvl,,piercing:379800|emeraldEggCurrency:4,979199,,166,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_33,33,0,stru_resource_builderHut_level03.lvl,,piercing:396000|emeraldEggCurrency:4,979199,,175,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_34,34,0,stru_resource_builderHut_level03.lvl,,piercing:412200|obsidianEggCurrency:4,979199,,184,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_35,35,0,stru_resource_builderHut_level03.lvl,,piercing:428400|obsidianEggCurrency:4,979199,,193,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_36,36,0,stru_resource_builderHut_level03.lvl,,piercing:444600|obsidianEggCurrency:4,979199,,202,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_37,37,0,stru_resource_builderHut_level03.lvl,,piercing:750000|atlasEggCurrency:4,1000000,,235,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_38,38,0,stru_resource_builderHut_level03.lvl,,piercing:825600|atlasEggCurrency:4,1000000,,255,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_39,39,0,stru_resource_builderHut_level03.lvl,,piercing:901200|atlasEggCurrency:4,1000000,,275,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_40,40,0,stru_resource_builderHut_level03.lvl,,piercing:1095600|atlasEggCurrency:4,1000000,,360,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_41,41,0,stru_resource_builderHut_level03.lvl,,piercing:1124400|atlasEggCurrency:4,1000000,,375,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_42,42,0,stru_resource_builderHut_level03.lvl,,piercing:1153200|vanguardEggCurrency:4,1000000,,390,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_43,43,0,stru_resource_builderHut_level03.lvl,,piercing:1210800|vanguardEggCurrency:4,1000000,,400,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_44,44,0,stru_resource_builderHut_level03.lvl,,piercing:1239600|vanguardEggCurrency:4,1000000,,410,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_45,45,0,stru_resource_builderHut_level03.lvl,,piercing:1268400|vanguardEggCurrency:4,1000000,,420,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_46,46,0,stru_resource_builderHut_level03.lvl,,piercing:1297200|vanguardEggCurrency:4,1000000,,426,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_47,47,0,stru_resource_builderHut_level03.lvl,,piercing:1326000|empyreanEggCurrency:4,1000000,,440,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_48,48,0,stru_resource_builderHut_level03.lvl,,piercing:1354800|empyreanEggCurrency:4,1000000,,450,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,!@#cnooobjohnpgdimn
