identifier,inBundle,tierNumber,priorityWithinTier,eggCost,prerequisiteAchievements,dragonEggIdentifier,limitedTimeOfferDragonStarburstFile,h
T13C3SEdragon,0,13,5,,haveT1C2WIdragon,2604,,
T13C3SWdragon,0,13,6,,haveT1C2WIdragon,2605,,
E18Q2WarriorDragon,0,4,138,,haveT1C2WIdragon,2578,bg_godraysGold.png,
E18Q2SorcererDragon,0,4,140,,haveT1C2WIdragon,2580,bg_godraysGold.png,
E18Q2FestiveDragon,0,1,136,,haveT1C2WIdragon,2582,bg_godraysGold.png,
E18Q3DiscountDragon,0,4,145,,haveT1C2WIdragon,2583,bg_godraysGold.png,
E18Q3SorcererDragon,0,4,146,,haveT1C2WIdragon,2584,bg_godraysGold.png,
E18Q3MythicHunterDragon,0,4,147,,haveT1C2WIdragon,2584,bg_godraysGold.png,
T13C4WFdragon,0,13,7,,haveT1C2WIdragon,2606,,
T13C4HEdragon,0,13,8,,haveT1C2WIdragon,2607,,
T13C4SIdragon,0,13,9,,haveT1C2WIdragon,2608,,
E18Q3HunterDragon,0,4,149,,haveT1C2WIdragon,2586,bg_godraysGold.png,
E18Q3MythicWarriorDragon,0,4,150,,haveT1C2WIdragon,2587,bg_godraysGold.png,
E18Q3FestiveDragon,0,1,148,,haveT1C2WIdragon,2588,bg_godraysGold.png,
E18Q4DiscountDragon,0,4,151,,haveT1C2WIdragon,2589,bg_godraysGold.png,
E18Q4SorcererDragon,0,4,152,,haveT1C2WIdragon,2560,bg_godraysGold.png,
E18Q4MythicSorcererDragon,0,4,153,,haveT1C2WIdragon,2561,bg_godraysGold.png,
E18Q4WarriorDragon,0,4,154,,haveT1C2WIdragon,2562,bg_godraysGold.png,
E18Q4MythicWarriorDragon,0,4,155,,haveT1C2WIdragon,2563,bg_godraysGold.png,
E18Q4FestiveDragon,0,1,156,,haveT1C2WIdragon,2564,bg_godraysGold.png,
T14C3WEdragon,0,14,160,,haveT1C2WIdragon,2565,,
T14C3WFdragon,0,14,161,,haveT1C2WIdragon,2566,,
T14C3HWdragon,0,14,162,,haveT1C2WIdragon,2567,,
T14C3HIdragon,0,14,163,,haveT1C2WIdragon,2568,,
T14C3SFdragon,0,14,164,,haveT1C2WIdragon,2569,,
T14C3SDdragon,0,14,165,,haveT1C2WIdragon,2570,,
T14C4WEdragon,0,14,166,,haveT1C2WIdragon,2571,,
T14C4HDdragon,0,14,167,,haveT1C2WIdragon,2572,,
T14C4SWdragon,0,14,168,,haveT1C2WIdragon,2573,,
E19Q1DiscountDragon,0,4,169,,haveT1C2WIdragon,2574,bg_godraysGold.png,
E19Q1SorcererDragon,0,4,170,,haveT1C2WIdragon,2575,bg_godraysGold.png,
E19Q1MythicHunterDragon,0,4,171,,haveT1C2WIdragon,2576,bg_godraysGold.png,
E19Q1MythicSorcererDragon,0,4,173,,haveT1C2WIdragon,2578,bg_godraysGold.png,
E19Q1WarriorDragon,0,4,172,,haveT1C2WIdragon,2579,bg_godraysGold.png,
E19Q1FestiveDragon,0,1,174,,haveT1C2WIdragon,2580,bg_godraysGold.png,
E19Q2DiscountDragon,0,4,175,,haveT1C2WIdragon,2581,bg_godraysGold.png,
E19Q2HunterDragon,0,4,176,,haveT1C2WIdragon,2582,bg_godraysGold.png,
E19Q2WarriorDragon,0,4,177,,haveT1C2WIdragon,2583,bg_godraysGold.png,
E19Q2MythicWarriorDragon,0,4,178,,haveT1C2WIdragon,2584,bg_godraysGold.png,
E19Q2MythicInvokerDragon,0,4,175,,haveT1C2WIdragon,2581,bg_godraysGold.png,
E19Q2FestiveDragon,0,1,179,,haveT1C2WIdragon,2585,bg_godraysGold.png,
T15C3WDdragon,0,15,180,,haveT1C2WIdragon,2586,,
T15C3HEdragon,0,15,181,,haveT1C2WIdragon,2587,,
T15C3SWdragon,0,15,182,,haveT1C2WIdragon,2588,,
E19Q3DiscountDragon,0,4,180,,haveT1C2WIdragon,2586,bg_godraysGold.png,
E19Q3InvokerDragon,0,4,181,,haveT1C2WIdragon,2587,bg_godraysGold.png,
E19Q3MythicWarriorDragon,0,4,182,,haveT1C2WIdragon,2588,bg_godraysGold.png,
E19Q3MythicHunterDragon,0,4,183,,haveT1C2WIdragon,2589,bg_godraysGold.png,
E19Q3HunterDragon,0,4,184,,haveT1C2WIdragon,2590,bg_godraysGold.png,
T15C3WIdragon,0,15,186,,haveT1C2WIdragon,2592,,
T15C3HWdragon,0,15,187,,haveT1C2WIdragon,2593,,
T15C3SDdragon,0,15,188,,haveT1C2WIdragon,2594,,
E19Q3FestiveDragon,0,1,185,,haveT1C2WIdragon,2591,bg_godraysGold.png,
E19Q4DiscountDragon,0,4,186,,haveT1C2WIdragon,2592,bg_godraysGold.png,
E19Q4WarriorDragon,0,4,187,,haveT1C2WIdragon,2593,bg_godraysGold.png,
E19Q4MythicHunterDragon,0,4,188,,haveT1C2WIdragon,2594,bg_godraysGold.png,
E19Q4MythicSorcererDragon,0,4,189,,haveT1C2WIdragon,2595,bg_godraysGold.png,
E19Q4HolidayDragon,0,5,192,,haveT1C2WIdragon,2598,bg_godraysGold.png,
T15C4WFdragon,0,15,192,,haveT1C2WIdragon,2598,,
T15C4HIdragon,0,15,193,,haveT1C2WIdragon,2599,,
T15C4SDdragon,0,15,194,,haveT1C2WIdragon,2600,,!@#nhddhjknggcaphik
