identifier,androidSpellOrdering,iOSSpellOrdering,h
E18Q4SorcererDragon,shadowApophet:0|seekerShots:1|freezeSpell:2|darkFlakResist01:3,shadowApophet:0|seekerShots:1|freezeSpell:2|darkFlakResist01:3,
E18Q4WarriorDragon,frostbite:0|healDragon:1|chargedShield:2|fireFlakResist01:3,frostbite:0|healDragon:1|chargedShield:2|fireFlakResist01:3,
E19Q1DiscountDragon,frostbite:0|invincibleSpell:1|berserk:2|heatBlastShield:3,frostbite:0|invincibleSpell:1|berserk:2|heatBlastShield:3,
E19Q1FestiveDragon,adaptiveResist:0|dissipate:1|healthRageDeathMark:2|frenzySpell:3,adaptiveResist:0|healthRageDeathMark:1|dissipate:2|frenzySpell:3,
E19Q1MythicHunterDragon,adaptiveResist:0|adaptiveBreath:1|consume:2|lockdown:3,adaptiveBreath:0|adaptiveResist:1|lockdown:2|consume:3,
E19Q1MythicSorcererDragon,stealEssence:0|dissipate:1|umbralSpike:2|elementalResist01:3,stealEssence:0|umbralSpike:1|dissipate:2|elementalResist01:3,
E19Q1SorcererDragon,frostbite:0|maleficBreath:1|absorbMagic:2|summonAIDragon:3,frostbite:0|absorbMagic:1|maleficBreath:2|summonAIDragon:3,
E19Q1WarriorDragon,cosmicEnergy:0|crystallineShield:1|nova:2|fireFlakResist01:3,cosmicEnergy:0|crystallineShield:1|nova:2|fireFlakResist01:3,
E19Q2DiscountDragon,invincibleSpell:0|umbralSpike:1|lockdown:2|freezeSpell:3,umbralSpike:0|invincibleSpell:1|lockdown:2|freezeSpell:3,
E19Q2FestiveDragon,aoeSpell:0|berserk:1|absorbMagic:2|fireFlakResist01:3,aoeSpell:0|berserk:1|absorbMagic:2|fireFlakResist01:3,
E19Q2HunterDragon,adaptiveResist:0|cloak:1|bloodFury:2|dreadfulRoar:3,adaptiveResist:0|cloak:1|bloodFury:2|dreadfulRoar:3,
E19Q2MythicInvokerDragon,freezeSpell:0|umbralSpike:1|deflectingGale:2|elementalResist01:3,freezeSpell:0|umbralSpike:1|deflectingGale:2|elementalResist01:3,
E19Q2MythicWarriorDragon,adaptiveBreath:0|healDragon:1|dreadfulRoar:2|darkFlakResist01:3,adaptiveBreath:0|healDragon:1|dreadfulRoar:2|darkFlakResist01:3,
E19Q2WarriorDragon,shadowApophet:0|heatBlastShield:1|fluxSpell:2|berserk:3,shadowApophet:0|heatBlastShield:1|fluxSpell:2|berserk:3,
earthEvolvingWarrior,chargedShield:0|heatedPiercingBreath:1|berserk:2|cannonResist01:3,chargedShield:0|heatedPiercingBreath:1|berserk:2|cannonResist01:3,
earthFamiliar,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
ebonSapphireDragon,nocturnalFissure:0|freezeSpell:1|fluxSpell:2|archerResist01:3,fluxSpell:0|freezeSpell:1|nocturnalFissure:2|archerResist01:3,
emberDragon,cloak:0|invertSpell:1|instantKill:2|archerResist01:3,invertSpell:0|cloak:1|instantKill:2|archerResist01:3,
fallDiscountDragon,cloak:0|elementalBarrier:1|desiccatingSand:2|lightningResist01:3,elementalBarrier:0|desiccatingSand:1|cloak:2|lightningResist01:3,
fallEventDragon,desiccatingSand:0|risingPhoenix:1|frozenTomb:2|fireTurretResist01:3,desiccatingSand:0|risingPhoenix:1|frozenTomb:2|fireTurretResist01:3,
fallHunterDragon,stealEssence:0|sacrifice:1|stoneskin:2|fireTurretResist01:3,stealEssence:0|sacrifice:1|stoneskin:2|fireTurretResist01:3,
fallMythicDragon,frostbite:0|intimidatingRoar:1|berserk:2|iceTurretResist01:3,frostbite:0|intimidatingRoar:1|berserk:2|iceTurretResist01:3,
fallSorcererDragon,sacrifice:0|crumbleToDust:1|northernLights:2|darkFlakResist01:3,sacrifice:0|crumbleToDust:1|northernLights:2|darkFlakResist01:3,
fallWarriorDragon,chargedShield:0|freezeSpell:1|seethingSpark:2|archerResist01:3,seethingSpark:0|chargedShield:1|freezeSpell:2|archerResist01:3,
julyBlueDragon,risingPhoenix:0|summonAIDragon:1|stormResist01:2,risingPhoenix:0|summonAIDragon:1|stormResist01:2,
julyPlatinumDragon,stealEssence:0|cloak:1|seethingSpark:2|iceTurretResist01:3,stealEssence:0|seethingSpark:1|cloak:2|iceTurretResist01:3,
juneTwitchDragon,seethingSpark:0|intimidatingRoar:1|healDragon:2|cannonResist01:3,seethingSpark:0|intimidatingRoar:1|healDragon:2|cannonResist01:3,
kothDragon,intimidatingRoar:0|stoneskin:1|frenzySpell:2|archerResist01:3,intimidatingRoar:0|stoneskin:1|frenzySpell:2|archerResist01:3,
LadonLTODragon,healDragon:0|battlecry:1|cannonResist01:2,healDragon:0|battlecry:1|cannonResist01:2,
lightningFamiliar,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
LythLTODragon,aoeSpell:0|archerResist01:1|stormResist01:2,aoeSpell:0|archerResist01:1|stormResist01:2,
marchBlueDragon,hurricane:0|energySyphon:1|archerResist01:2,hurricane:0|energySyphon:1|archerResist01:2,
marchGoldDragon,stealEssence:0|cloak:1|instantKill:2|archerResist01:3,stealEssence:0|cloak:1|instantKill:2|archerResist01:3,
marchGreenDragon,freezeSpell:0|invertSpell:1|thunderstorm:2|archerResist01:3,invertSpell:0|freezeSpell:1|thunderstorm:2|archerResist01:3,
mayBlueDragon,seethingSpark:0|chargedShield:1|archerResist01:2,seethingSpark:0|chargedShield:1|archerResist01:2,
mayPlatinumDragon,risingPhoenix:0|frozenTomb:1|invertSpell:2|lightningResist01:3,invertSpell:0|risingPhoenix:1|frozenTomb:2|lightningResist01:3,
newYearDragon,invincibleSpell:0|thunderstorm:1|aoeSpell:2|lightningResist01:3,thunderstorm:0|invincibleSpell:1|aoeSpell:2|lightningResist01:3,
nightshadeSapphireDragon,cloak:0|invertSpell:1|crumbleToDust:2|lightningResist01:3,invertSpell:0|cloak:1|crumbleToDust:2|lightningResist01:3,
OrmarrLTODragon,cloak:0|instantKill:1|kamikaze:2|lightningResist01:3,instantKill:0|cloak:1|kamikaze:2|lightningResist01:3,
pbogDragon,curePoison:0|seethingSpark:1|archerResist01:2|cannonResist01:3,seethingSpark:0|curePoison:1|archerResist01:2|cannonResist01:3,
penguin,freezeSpell:0|thunderstorm:1|summonAIDragon:2|lightningResist01:3,freezeSpell:0|thunderstorm:1|summonAIDragon:2|lightningResist01:3,
phasmosSapphireDragon,freezeSpell:0|cloak:1|fluxSpell:2|iceTurretResist01:3,freezeSpell:0|cloak:1|fluxSpell:2|iceTurretResist01:3,
PlaceholderDragon,healDragon:0|chargedShield:1,healDragon:0|chargedShield:1,
pumpkinDragon,cloak:0|freezeSpell:1|invertSpell:2|cannonResist01:3,cloak:0|invertSpell:1|freezeSpell:2|cannonResist01:3,
redTutorialDragon,healDragon:0|chargedShield:1,healDragon:0|chargedShield:1,
reefFamiliar,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
seaDragon,freezeSpell:0|invertSpell:1|lightningResist01:2,invertSpell:0|freezeSpell:1|lightningResist01:2,
serpentDefenseDragon,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
shadowApophet,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
ShrineInvokerDragon,freezeSpell:0|umbralSpike:1|deflectingGale:2|elementalResist01:3,freezeSpell:0|umbralSpike:1|deflectingGale:2|elementalResist01:3,
skarrSapphireDragon,sacrifice:0|fluxSpell:1|heatBlastShield:2|stormResist01:3,sacrifice:0|fluxSpell:1|heatBlastShield:2|stormResist01:3,
skothDragon,chargedShield:0|intimidatingRoar:1|battlecry:2|archerResist01:3,intimidatingRoar:0|chargedShield:1|battlecry:2|archerResist01:3,
snowdropDragon,cloak:0|healingMark:1|crystallineShield:2|iceTurretResist01:3,cloak:0|healingMark:1|crystallineShield:2|iceTurretResist01:3,
spiritualGuardian,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
springHunterDragon,stealEssence:0|cloak:1|risingPhoenix:2|iceTurretResist01:3,stealEssence:0|cloak:1|risingPhoenix:2|iceTurretResist01:3,
springMythicDragon,frostbite:0|cloak:1|crumbleToDust:2|shattershard:3,frostbite:0|cloak:1|crumbleToDust:2|shattershard:3,
springSorcererDragon,freezeSpell:0|frenzySpell:1|invincibleSpell:2|lightningResist01:3,freezeSpell:0|invincibleSpell:1|frenzySpell:2|lightningResist01:3,
springWarriorDragon,chargedShield:0|healDragon:1|thunderstorm:2|iceTurretResist01:3,chargedShield:0|healDragon:1|thunderstorm:2|iceTurretResist01:3,
stoneTutorialDragon,chainLightning:0|archerResist01:1,chainLightning:0|archerResist01:1,
summerDiscountDragon,sacrifice:0|energySyphon:1|lightningResist01:2|fireTurretResist01:3,sacrifice:0|energySyphon:1|lightningResist01:2|fireTurretResist01:3,
summerHunterDragon,cloak:0|healingMark:1|chainLightning:2|iceTurretResist01:3,healingMark:0|cloak:1|chainLightning:2|iceTurretResist01:3,
summerMythicDragon,invertSpell:0|maleficBreath:1|instantKill:2|darkFlakResist01:3,instantKill:0|invertSpell:1|maleficBreath:2|darkFlakResist01:3,
summerSorcererDragon,shadowApophet:0|freezeSpell:1|invincibleSpell:2|lightningResist01:3,shadowApophet:0|freezeSpell:1|invincibleSpell:2|lightningResist01:3,
summerWarriorDragon,heatedPiercingBreath:0|northernLights:1|hurricane:2|iceTurretResist01:3,heatedPiercingBreath:0|hurricane:1|northernLights:2|iceTurretResist01:3,
summonDemonDragon,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
summonDodo,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
summonDragon,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
summonPuppetDragon,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
summonRuneDragon,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
summonWaterSpirit,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
T10C3HEdragon,stealEssence:0|cloak:1|freezeSpell:2|ballistaResist01:3,stealEssence:0|freezeSpell:1|cloak:2|ballistaResist01:3,
T10C3HFdragon,healingMark:0|intimidatingRoar:1|galvanicOverloadSpell:2|cannonResist01:3,intimidatingRoar:0|galvanicOverloadSpell:1|healingMark:2|cannonResist01:3,
T10C3SIdragon,invincibleSpell:0|fluxSpell:1|desiccatingSand:2|stormResist01:3,fluxSpell:0|desiccatingSand:1|invincibleSpell:2|stormResist01:3,
T10C3SWdragon,chainLightning:0|hurricane:1|umbralSpike:2|trebuchetResist01:3,umbralSpike:0|hurricane:1|chainLightning:2|trebuchetResist01:3,
T10C3WFdragon,chargedShield:0|intimidatingRoar:1|archerResist01:2|fireTurretResist01:3,chargedShield:0|intimidatingRoar:1|archerResist01:2|fireTurretResist01:3,
T10C3WWdragon,seethingSpark:0|frozenTomb:1|healDragon:2|lightningResist01:3,seethingSpark:0|healDragon:1|frozenTomb:2|lightningResist01:3,
T10C4HEdragon,intimidatingRoar:0|freezeSpell:1|dissipate:2|fireTurretResist01:3,intimidatingRoar:0|freezeSpell:1|dissipate:2|fireTurretResist01:3,
T10C4SEdragon,elementalBarrier:0|umbralSpike:1|desiccatingSand:2|archerResist01:3,elementalBarrier:0|umbralSpike:1|desiccatingSand:2|archerResist01:3,
T10C4WDdragon,chargedShield:0|frozenTomb:1|berserk:2|iceTurretResist01:3,chargedShield:0|frozenTomb:1|berserk:2|iceTurretResist01:3,
T11C3HFdragon,lightSpeed:0|intimidatingRoar:1|dodge:2|fireTurretResist01:3,intimidatingRoar:0|dodge:1|lightSpeed:2|fireTurretResist01:3,
T11C3HWdragon,cloak:0|consume:1|desiccatingSand:2|lightningResist01:3,cloak:0|consume:1|desiccatingSand:2|lightningResist01:3,
T11C3SDdragon,nova:0|chainLightning:1|northernLights:2|cannonResist01:3,nova:0|northernLights:1|chainLightning:2|cannonResist01:3,
T11C3SIdragon,sacrifice:0|freezeSpell:1|summonAIDragon:2|iceTurretResist01:3,sacrifice:0|freezeSpell:1|summonAIDragon:2|iceTurretResist01:3,
T11C3WEdragon,seethingSpark:0|isolation:1|archerResist01:2|iceTurretResist01:3,seethingSpark:0|isolation:1|archerResist01:2|iceTurretResist01:3,
T11C3WFdragon,starburn:0|invertSpell:1|heatBlastShield:2|fireTurretResist01:3,starburn:0|invertSpell:1|heatBlastShield:2|fireTurretResist01:3,
T11C4HDdragon,lightSpeed:0|consume:1|dodge:2|lightningResist01:3,dodge:0|consume:1|lightSpeed:2|lightningResist01:3,
T11C4SFdragon,stealEssence:0|nova:1|risingPhoenix:2|summonAIDragon:3,stealEssence:0|nova:1|risingPhoenix:2|summonAIDragon:3,
T11C4WWdragon,starburn:0|maleficBreath:1|isolation:2|darkFlakResist01:3,starburn:0|maleficBreath:1|isolation:2|darkFlakResist01:3,
T12C3HDdragon,adaptiveResist:0|cloak:1|healingMark:2|galvanicOverloadSpell:3,adaptiveResist:0|galvanicOverloadSpell:1|cloak:2|healingMark:3,
T12C3HEdragon,adaptiveResist:0|cloak:1|consume:2|freezeSpell:3,adaptiveResist:0|freezeSpell:1|cloak:2|consume:3,
T12C3SFdragon,nova:0|absorbMagic:1|southernCross:2|fireFlakResist01:3,nova:0|absorbMagic:1|southernCross:2|fireFlakResist01:3,
T12C3SWdragon,invertSpell:0|seekerShots:1|fluxSpell:2|darkFlakResist01:3,invertSpell:0|seekerShots:1|fluxSpell:2|darkFlakResist01:3,
T12C3WFdragon,bloodFury:0|heatedPiercingBreath:1|heatBlastShield:2|fireFlakResist01:3,heatedPiercingBreath:0|bloodFury:1|heatBlastShield:2|fireFlakResist01:3,
T12C3WIdragon,crystallineShield:0|maleficBreath:1|iceTurretResist01:2|fireFlakResist01:3,crystallineShield:0|maleficBreath:1|iceTurretResist01:2|fireFlakResist01:3,
T12C4HDdragon,stealEssence:0|adaptiveResist:1|cloak:2|energySyphon:3,stealEssence:0|adaptiveResist:1|cloak:2|energySyphon:3,
T12C4SWdragon,seekerShots:0|fluxSpell:1|absorbMagic:2|fireFlakResist01:3,seekerShots:0|fluxSpell:1|absorbMagic:2|fireFlakResist01:3,
T12C4WIdragon,crystallineShield:0|bloodFury:1|fluxSpell:2|darkFlakResist01:3,crystallineShield:0|bloodFury:1|fluxSpell:2|darkFlakResist01:3,
T13C3HFdragon,adaptiveResist:0|dodge:1|lockdown:2|galvanicOverloadSpell:3,adaptiveResist:0|galvanicOverloadSpell:1|dodge:2|lockdown:3,
T13C3HWdragon,stealEssence:0|adaptiveResist:1|cloak:2|frenzySpell:3,stealEssence:0|adaptiveResist:1|cloak:2|frenzySpell:3,
T13C3SEdragon,shadowApophet:0|invincibleSpell:1|adaptiveResist:2|seekerShots:3,shadowApophet:0|adaptiveResist:1|invincibleSpell:2|seekerShots:3,
T13C3SWdragon,frenzySpell:0|umbralSpike:1|northernLights:2|iceFlakResist01:3,umbralSpike:0|frenzySpell:1|northernLights:2|iceFlakResist01:3,
T13C3WDdragon,healDragon:0|ferociousBarrier:1|energySyphon:2|fireFlakResist01:3,healDragon:0|ferociousBarrier:1|energySyphon:2|fireFlakResist01:3,
T13C3WIdragon,sacrifice:0|chargedShield:1|berserk:2|elementalResist01:3,sacrifice:0|chargedShield:1|berserk:2|elementalResist01:3,
T13C4HEdragon,undyingWill:0|bloodFury:1|desiccatingSand:2|dissipate:3,undyingWill:0|desiccatingSand:1|bloodFury:2|dissipate:3,
T13C4SIdragon,invincibleSpell:0|umbralSpike:1|dreadfulRoar:2|elementalResist01:3,invincibleSpell:0|umbralSpike:1|dreadfulRoar:2|elementalResist01:3,
T13C4WFdragon,bloodFury:0|ferociousBarrier:1|dreadfulRoar:2|elementalResist01:3,bloodFury:0|ferociousBarrier:1|dreadfulRoar:2|elementalResist01:3,
T14C3HIdragon,adaptiveResist:0|cloak:1|freezeSpell:2|berserk:3,adaptiveResist:0|freezeSpell:1|cloak:2|berserk:3,
T14C3HWdragon,stealEssence:0|adaptiveResist:1|frenzySpell:2|dissipate:3,stealEssence:0|adaptiveResist:1|dissipate:2|frenzySpell:3,
T14C3SDdragon,furyOfTheWastes:0|shadowApophet:1|berserk:2|iceFlakResist01:3,furyOfTheWastes:0|shadowApophet:1|berserk:2|iceFlakResist01:3,
T14C3SFdragon,fluxSpell:0|seekerShots:1|northernLights:2|fireFlakResist01:3,seekerShots:0|fluxSpell:1|northernLights:2|fireFlakResist01:3,
T14C3WEdragon,shieldAssault:0|bloodFury:1|darkFlakResist01:2|fireFlakResist01:3,shieldAssault:0|bloodFury:1|darkFlakResist01:2|fireFlakResist01:3,
T14C3WFdragon,devourHope:0|maleficBreath:1|dreadfulRoar:2|darkFlakResist01:3,devourHope:0|maleficBreath:1|dreadfulRoar:2|darkFlakResist01:3,
T14C4HDdragon,adaptiveResist:1|lockdown:2|consume:3|adaptiveBreath:0,adaptiveBreath:0|adaptiveResist:1|lockdown:2|consume:3,
T14C4SWdragon,sacrifice:0|northernLights:1|thunderstorm:2|elementalResist01:3,sacrifice:0|thunderstorm:1|northernLights:2|elementalResist01:3,
T14C4WEdragon,invincibleSpell:0|adaptiveBreath:1|healDragon:2|elementalResist01:3,adaptiveBreath:0|invincibleSpell:1|healDragon:2|elementalResist01:3,
T15C3WDdragon,adaptiveBreath:1|absorbMagic:2|healDragon:0|fireFlakResist01:3,adaptiveBreath:1|absorbMagic:2|healDragon:0|fireFlakResist01:3,
T15C3HEdragon,chainLightning:3|bloodFury:1|lockdown:2|cloak:0,chainLightning:3|bloodFury:2|lockdown:1|cloak:0,
T15C3SWdragon,seekerShots:2|summonAIDragon:1|deflectingGale:0|instantKill:3,seekerShots:2|summonAIDragon:1|deflectingGale:0|instantKill:3,
T1C1HIdragon,chainLightning:0|archerResist01:1,chainLightning:0|archerResist01:1,
T1C1SEdragon,aoeSpell:0,aoeSpell:0,
T1C1WFdragon,healDragon:0|chargedShield:1,healDragon:0|chargedShield:1,
T1C2HEdragon,frenzySpell:0|archerResist01:1,frenzySpell:0|archerResist01:1,
T1C2SFdragon,chainLightning:0,chainLightning:0,
T1C2WIdragon,healDragon:0,healDragon:0,
T1C3HFdragon,lockdown:0,lockdown:0,
T1C3SIdragon,chainLightning:0|summonAIDragon:1|stormResist01:2,chainLightning:0|summonAIDragon:1|stormResist01:2,
T1C3WEdragon,stoneskin:0|stormResist01:1,stoneskin:0|stormResist01:1,
T1GGSFdragon,curePoison:0|risingPhoenix:1|healDragon:2,curePoison:0|healDragon:1|risingPhoenix:2,
T1GGWFdragon,hurricane:0|chargedShield:1,hurricane:0|chargedShield:1,
T2C1HIdragon,frenzySpell:0,frenzySpell:0,
T2C1HUdragon,frenzySpell:0|ballistaResist01:1,frenzySpell:0|ballistaResist01:1,
T2C1SFdragon,summonAIDragon:0,summonAIDragon:0,
T2C1WEdragon,curePoison:0,curePoison:0,
T2C2HEdragon,lockdown:0|frenzySpell:1,lockdown:0|frenzySpell:1,
T2C2SUdragon,chainLightning:0,chainLightning:0,
T2C2WIdragon,chargedShield:0|stormResist01:1,chargedShield:0|stormResist01:1,
T2C3HFdragon,kamikaze:0,kamikaze:0,
T2C3HIdragon,dodge:0|kamikaze:1,dodge:0|kamikaze:1,
T2C3SEdragon,aoeSpell:0,aoeSpell:0,
T2C3SFdragon,invincibleSpell:0|chainLightning:1,chainLightning:0|invincibleSpell:1,
T2C3WEdragon,stoneskin:0|healDragon:1|ballistaResist01:2,healDragon:0|stoneskin:1|ballistaResist01:2,
T2C3WUdragon,curePoison:0|archerResist01:1,curePoison:0|archerResist01:1,
T2GGSIdragon,chainLightning:0|aoeSpell:1,chainLightning:0|aoeSpell:1,
T3C1HEdragon,healingMark:0|dodge:1|stormResist01:2,healingMark:0|dodge:1|stormResist01:2,
T3C1HIdragon,cloak:0,cloak:0,
T3C1SFdragon,freezeSpell:0,freezeSpell:0,
T3C1SIdragon,aoeSpell:0|ballistaResist01:1,aoeSpell:0|ballistaResist01:1,
T3C1WEdragon,chargedShield:0|trebuchetResist01:1,chargedShield:0|trebuchetResist01:1,
T3C1WUdragon,battlecry:0,battlecry:0,
T3C2HUdragon,instantKill:0|trebuchetResist01:1,instantKill:0|trebuchetResist01:1,
T3C2SEdragon,summonAIDragon:0,summonAIDragon:0,
T3C2WFdragon,stoneskin:0|battlecry:1|cannonResist01:2,stoneskin:0|battlecry:1|cannonResist01:2,
T3C3HFdragon,frenzySpell:0,frenzySpell:0,
T3C3HIdragon,cloak:0|kamikaze:1,cloak:0|kamikaze:1,
T3C3SUdragon,freezeSpell:0|summonAIDragon:1|archerResist01:2,freezeSpell:0|summonAIDragon:1|archerResist01:2,
T3C3WIdragon,healDragon:0,healDragon:0,
T3GGHEdragon,instantKill:0|cloak:1|cannonResist01:2,cloak:0|instantKill:1|cannonResist01:2,
T4C1HEdragon,instantKill:0|archerResist01:1,instantKill:0|archerResist01:1,
T4C1HFdragon,healingMark:0,healingMark:0,
T4C1HIdragon,cloak:0|lockdown:1|lightningResist01:2,cloak:0|lockdown:1|lightningResist01:2,
T4C1SDdragon,invertSpell:0,invertSpell:0,
T4C1SFdragon,invincibleSpell:0|stormResist01:1,invincibleSpell:0|stormResist01:1,
T4C1WUdragon,hurricane:0|healDragon:1|lightningResist01:2,healDragon:0|hurricane:1|lightningResist01:2,
T4C2HUdragon,frenzySpell:0|cannonResist01:1,frenzySpell:0|cannonResist01:1,
T4C2SEdragon,invincibleSpell:0|summonAIDragon:1|archerResist01:2,invincibleSpell:0|summonAIDragon:1|archerResist01:2,
T4C2WDdragon,hurricane:0|stormResist01:1,hurricane:0|stormResist01:1,
