identifier,buildingAttackType,dragonClass,buildingCategory,descriptionFormat,buffClassString,buffDisplayName,isRestrictedToDragon,h
dragonClassAttackModifier_warrior,,warrior,,%+.1f%% Warrior Dragon Attack,BuffOnDragon,Warrior Dragon Attack,0,
dragonClassAttackModifier_sorcerer,,sorcerer,,%+.1f%% Sorcerer Dragon Attack,BuffOnDragon,Sorcerer Dragon Attack,0,
dragonClassAttackModifier_hunter,,hunter,,%+.1f%% Hunter Dragon Attack,BuffOnDragon,Hunter Dragon Attack,0,
dragonClassHPModifier_warrior,,warrior,,%+.1f%% Warrior Dragon HP,BuffOnDragon,Warrior Dragon HP,0,
dragonClassHPModifier_sorcerer,,sorcerer,,%+.1f%% Sorcerer Dragon HP,BuffOnDragon,Sorcerer Dragon HP,0,
dragonClassHPModifier_hunter,,hunter,,%+.1f%% Hunter Dragon HP,BuffOnDragon,Hunter Dragon HP,0,
riderBondingTime,,,,%+.1f%% Dragon Rider Bonding Time,BuffBeforeBond,Dragon Rider Bonding Time,0,
riderXPGainModifier,,,,%+.1f%% Dragon Rider XP,BuffOnDragon,Dragon Rider XP,0,
dragonTrainingCostModifier,,,,%+.1f%% Dragon Training Cost,BuffDefault,Dragon Training Cost,0,
dragonTotemDebuffResist,,,,%+.1f%% Enemy Totem Debuff,BuffOnDragon,Enemy Totem Debuff,0,
dragonIncubateTimeModifier,,,,%+.1f%% Dragon Incubate Time,BuildBuffOnBase,Dragon Incubate Time,0,
dragonXPGainModifier,,,,%+.1f%% Dragon XP,BuffOnDragon,Dragon XP,0,
researchTimeModifier,,,,%+.1f%% Research Time,BuildBuffOnBase,Research Time,0,
dragonHealTimeModifier,,,,%+.1f%% Dragon Heal Time,BuffOnDragon,Dragon Heal Time,0,
buildingTimerModifier,,,,%+.1f%% Construction Time,BuildBuffOnBase,Construction Time,0,
resistAbilityIncreaseModifierKeyFormat_archer,archer,,,%+.1f%% Archer Tower Resistance,BuffOnDragon,Archer Tower Resistance,1,
resistAbilityIncreaseModifierKeyFormat_cannon,cannon,,,%+.1f%% Cannon Tower Resistance,BuffOnDragon,Cannon Tower Resistance,1,
resistAbilityIncreaseModifierKeyFormat_storm,storm,,,%+.1f%% Storm Tower Resistance,BuffOnDragon,Storm Tower Resistance,1,
resistAbilityIncreaseModifierKeyFormat_ballista,ballista,,,%+.1f%% Ballista Resistance,BuffOnDragon,Ballista Resistance,1,
resistAbilityIncreaseModifierKeyFormat_trebuchet,trebuchet,,,%+.1f%% Trebuchet Resistance,BuffOnDragon,Trebuchet Resistance,1,
resistAbilityIncreaseModifierKeyFormat_lightning,lightning,,,%+.1f%% Lightning Tower Resistance,BuffOnDragon,Lightning Tower Resistance,1,
resistAbilityIncreaseModifierKeyFormat_ice,ice,,,%+.1f%% Ice Turret Resistance,BuffOnDragon,Ice Turret Resistance,1,
resistAbilityIncreaseModifierKeyFormat_fire,fire,,,%+.1f%% Fire Turret Resistance,BuffOnDragon,Fire Turret Resistance,1,
resistAbilityIncreaseModifierKeyFormat_flak,flak,,,%+.1f%% Dark Flak Tower Resistance,BuffOnDragon,Dark Flak Tower Resistance,1,
resistAbilityIncreaseModifierKeyFormat_fireFlak,fireFlak,,,%+.1f%% Fire Flak Tower Resistance,BuffOnDragon,Fire Flak Tower Resistance,1,
resistAbilityIncreaseModifierKeyFormat_iceFlak,iceFlak,,,%+.1f%% Ice Flak Tower Resistance,BuffOnDragon,Ice Flak Tower Resistance,1,
harvestBuildingProtectionModifier_hogFarm,,,hogFarm,%+.1f%% Sheep Farm Food Protection,BuildBuffOnBase,Sheep Farm Food Protection,0,
harvestBuildingProtectionModifier_woodFarm,,,woodFarm,%+.1f%% Lumber Mill Wood Protection,BuildBuffOnBase,Lumber Mill Wood Protection,0,
harvestBuildingCapacityModifier_hogFarm,,,hogFarm,%+.1f%% Sheep Farm Food Capacity,BuildBuffOnBase,Sheep Farm Food Capacity,0,
harvestBuildingCapacityModifier_woodFarm,,,woodFarm,%+.1f%% Lumber Mill Wood Capacity,BuildBuffOnBase,Lumber Mill Wood Capacity,0,
currencyProtectionModifier_food,,,,%+.1f%% Storage Building Food Protection,BuildBuffOnBase,Storage Building Food Protection,0,
currencyProtectionModifier_piercing,,,,%+.1f%% Storage Building Wood Protection,BuildBuffOnBase,Storage Building Wood Protection,0,
shipDefenseDamage,,,,%+.1f%% Defending Ship Damage,BuildBuffOnBase,Defending Ship Damage,0,
shipDefenseHP,,,,%+.1f%% Defending Ship HP,BuildBuffOnBase,Defending Ship HP,0,
shipAttackDamage,,,,%+.1f%% Attacking Ship Damage,BuffOnDragon,Attacking Ship Damage,0,
shipAttackHP,,,,%+.1f%% Attacking Ship HP,BuffOnDragon,Attacking Ship HP,0,
dragonClassTotalAmmoIncreaseModifier_hunter,,hunter,,%+g Hunter Ammo Increase,BuffOnDragon,Increase Hunter Dragon Ammo,0,
dragonRageGenerationModifier,,,,%+.1f%% Rage Generate Increase,BuffOnDragon,Increase Dragon Rage Generate Speed,0,
buildingHPModifier_elementalFlakWind,,,elementalFlakWind,%+.1f%% Electro Flak Tower HP,BattleBuffOnBase,Electro Flak Tower HP,0,
buildingAttackModifier_elementalFlakWind,,,elementalFlakWind,%+.1f%% Electro Flak Tower Attack,BattleBuffOnBase,Electro Flak Tower Attack,0,!@#bjaelfkdimcegjkm
