identifier,priority,deviceDescription,maptype,data,type,defines,useAndroidSystemTextRenderer,useSameProcessWebView,h
"iPhone10,1",1,iPhone 8,device,"iPhone10,1",high,,0,0,
"iPhone10,2",1,iPhone 8 Plus,device,"iPhone10,2",high,,0,0,
"iPhone10,3",1,iPhone X,device,"iPhone10,3",high,,0,0,
"iPhone10,6",1,iPhone X,device,"iPhone10,6",high,,0,0,
"iPhone11,2",1,iPhone XS,device,"iPhone11,2",high,,0,0,
"iPhone11,4",1,iPhone XS Max,device,"iPhone11,4",high,,0,0,
"iPhone11,6",1,iPhone XS Max,device,"iPhone11,6",high,,0,0,
"iPhone11,8",1,iPhone XR,device,"iPhone11,8",high,,0,0,
"iPhone12,1",1,iPhone 11,device,"iPhone12,1",high,,0,0,
"iPhone12,3",1,iPhone 11 Pro,device,"iPhone12,3",high,,0,0,
"iPhone12,5",1,iPhone 11 Max,device,"iPhone12,5",high,,0,0,
"iPod1,1",1,iPod Touch 1G,device,"iPod1,1",poor,,0,0,
"iPod2,1",1,iPod Touch 2G,device,"iPod2,1",poor,,0,0,
"iPod3,1",1,iPod Touch 3G,device,"iPod3,1",poor,,0,0,
"iPod4,1",1,iPod Touch 4G,device,"iPod4,1",poor,,0,0,
"iPod5,1",1,iPod Touch 5G,device,"iPod5,1",low,,0,0,
"iPod7,1",1,iPod Touch 6G,device,"iPod7,1",medium,,0,0,
"iPad1,1",1,iPad 1G,device,"iPad1,1",poor,,0,0,
"iPad2,1",1,iPad 2 (Wi-Fi),device,"iPad2,1",low,,0,0,
"iPad2,2",1,iPad 2 (GSM),device,"iPad2,2",low,,0,0,
"iPad2,3",1,iPad 2 (CDMA),device,"iPad2,3",low,,0,0,
"iPad2,4",1,iPad 2 (Wi-Fi Rev A),device,"iPad2,4",low,,0,0,
"iPad2,5",1,iPad mini 1G (Wi-Fi),device,"iPad2,5",low,,0,0,
"iPad2,6",1,iPad mini 1G (GSM),device,"iPad2,6",low,,0,0,
"iPad2,7",1,iPad mini 1G (GMS + CDMA),device,"iPad2,7",low,,0,0,
"iPad3,1",1,iPad 3 (Wi-Fi),device,"iPad3,1",low,,0,0,
"iPad3,2",1,iPad 3 (GSM + CDMA),device,"iPad3,2",low,,0,0,
"iPad3,3",1,iPad 3 (GSM),device,"iPad3,3",low,,0,0,
"iPad3,4",1,iPad 4 (Wi-Fi),device,"iPad3,4",low,,0,0,
"iPad3,5",1,iPad 4 (GSM),device,"iPad3,5",low,,0,0,
"iPad3,6",1,iPad 4 (GSM + CDMA),device,"iPad3,6",low,,0,0,
"iPad4,1",1,iPad Air (Wi-Fi),device,"iPad4,1",low,,0,0,
"iPad4,2",1,iPad Air (Cellular),device,"iPad4,2",low,,0,0,
"iPad4,3",1,iPad Air (China),device,"iPad4,3",low,,0,0,
"iPad4,4",1,iPad mini 2 (Wi-Fi),device,"iPad4,4",low,,0,0,
"iPad4,5",1,iPad mini 2 (Cellular),device,"iPad4,5",low,,0,0,
"iPad4,6",1,iPad mini 2 (China),device,"iPad4,6",low,,0,0,
"iPad4,7",1,iPad mini 3 (Wi-Fi),device,"iPad4,7",low,,0,0,
"iPad4,8",1,iPad mini 3 (Cellular),device,"iPad4,8",low,,0,0,
"iPad4,9",1,iPad mini 3 (China),device,"iPad4,9",low,,0,0,
"iPad5,1",1,iPad mini 4 (Wi-Fi),device,"iPad5,1",medium,,0,0,
"iPad5,2",1,iPad mini 4 (Cellular),device,"iPad5,2",medium,,0,0,
"iPad5,3",1,iPad Air 2 (Wi-Fi),device,"iPad5,3",high,,0,0,
"iPad5,4",1,iPad Air 2 (Cellular),device,"iPad5,4",high,,0,0,
"iPad6,3",1,iPad Pro 9 (Wi-Fi),device,"iPad6,3",high,,0,0,
"iPad6,4",1,iPad Pro 9 (Cellular),device,"iPad6,4",high,,0,0,
"iPad6,7",1,iPad Pro 12 (Wi-Fi),device,"iPad6,7",high,,0,0,
"iPad6,8",1,iPad Pro 12 (Cellular),device,"iPad6,8",high,,0,0,
"iPad6,11",1,iPad 2017 (Wi-Fi),device,"iPad6,11",high,,0,0,
"iPad6,12",1,iPad 2017 (Cellular),device,"iPad6,12",high,,0,0,
"iPad7,3",1,iPad Pro 10.5 (Wi-Fi),device,"iPad7,3",high,,0,0,
"iPad7,1",1,iPad Pro 10.5 (Wi-Fi),device,"iPad7,1",high,,0,0,
"iPad7,2",1,iPad Pro 12.9 (Wi-Fi),device,"iPad7,2",high,,0,0,
"iPad7,5",1,iPad 2018 (Wi-Fi),device,"iPad7,5",high,,0,0,
"iPad7,6",1,iPad 2018 (Cellular),device,"iPad7,6",high,,0,0,
"iPad7,4",1,iPad Pro 10.5 (Wi-Fi),device,"iPad7,4",high,,0,0,
"iPad8,1",1,iPad Pro 11 64GB,device,"iPad8,1",high,,0,0,
"iPad8,2",1,iPad Pro 11 256GB,device,"iPad8,2",high,,0,0,
"iPad8,3",1,iPad Pro 11 512GB,device,"iPad8,3",high,,0,0,
"iPad8,4",1,iPad Pro 11 1TB,device,"iPad8,4",high,,0,0,
"iPad8,5",1,iPad Pro 12.9 64GB,device,"iPad8,5",high,,0,0,
"iPad8,6",1,iPad Pro 12.9 256GB,device,"iPad8,6",high,,0,0,
"iPad8,7",1,iPad Pro 12.9 512GB,device,"iPad8,7",high,,0,0,
"iPad8,8",1,iPad Pro 12.9 1TB,device,"iPad8,8",high,,0,0,
"iPad7,11",1,iPad 7th Gen (Wi-Fi),device,"iPad7,11",high,,0,0,
"iPad7,12",1,iPad 7th Gen (Cellular),device,"iPad7,12",high,,0,0,
i386,1,Simulator,device,i386,high,,0,0,
x86_64,1,Simulator,device,x86_64,high,,0,0,!@#agfpdaapmaiikkja
