identifier,inBundle,dragonDisplayName,fileName,sharedRig,idleAnimation,attackingAnimation,projectileStartFrame,projectileEndFrame,totalFrames,shakingScreenFidgets,h
T5C1HEdragon,,Karna,drg_stormSand,n/a,idle,idle,50,50,146,,
T5C1WDdragon,,Naga,drg_metalWarrior2,C,idle,fidget,35,70,100,,
T5C1SFdragon,,Nassus,drg_chineseFlame,n/a,idle,idle,25,25,48,,
T5C1HIdragon,,Garzev,drg_water_wyvern,B,idle,fidget03,65,65,99,,
T5C2SEdragon,,Serabis,drg_earthSorcerer,D,idle,fidget02,50,50,109,,
T5C2HDdragon,,Urden,drg_metalHunter,B,idle,fidget03,65,65,151,,
T5C2WIdragon,,Ith,drg_threeHeadedBlue,n/a,idle,fidget,,,91,,
T5C2SUdragon,,Elixis,drg_nightcrawler,D,idle,fidget,65,65,121,,
T5C3HFdragon,,Pandi,drg_stoneLava,n/a,idle,fidget,,,131,,
T5C3WFdragon,,Danzig,drg_armoredRed,n/a,idle,idle,80,100,150,,
T5C3SDdragon,,Nix,drg_metalSorcerer,D,idle,fidget02,50,50,109,,
T5C3HUdragon,,Ettin,drg_undead_zombie,B,idle,fidget03,65,65,99,,
T5GGWUdragon,,Carsis,drg_undead_soulless,C,idle,fidget,35,70,100,,
pumpkinDragon,,Dodopyyr,drg_dodoPumpkin,n/a,idle,fidget,,,128,,
summonRuneDragon,,Summon,drg_drakeRune,B,idle,fidget03,65,65,99,,
dodoDragon,,Dodo,drg_dodo,n/a,idle,fidget,,,128,,
LythLTODragon,,Lyth,drg_alienbug,n/a,idle,fidget,,,121,,
ZalonLTODragon,,Zalon,drg_metalWarrior,A,idle,fidget,40,60,100,,
OrmarrLTODragon,,Ormarr,drg_magma,B,idle,fidget03,65,65,100,,
LadonLTODragon,,Ladon,drg_skeletalFrozen,A,idle,fidget,40,60,95,,
T5C3WEdragon,,Hugin,drg_lightning,C,idle,fidget,35,70,100,,
T5C3SIdragon,,Munin,drg_ice_phoenix,D,idle,fidget03,60,60,100,,
T6C1SIdragon,,Caladbolg,drg_arcane,D,idle,fidget,45,45,107,,
T6C1HEdragon,,Firactus,drg_earth_wyvern,B,idle,fidget03,65,65,99,,
T6C1WFdragon,,Bander,drg_snapping,A,idle,fidget,40,60,95,,
T6C1WDdragon,,Ferrox,drg_threeHeadedMetal,n/a,idle,fidget,,,91,,
T6C1WIdragon,,Lumen,drg_lightning,C,idle,fidget,35,70,100,,
T6C1SFdragon,,Basileus,drg_fire_phoenix,D,idle,fidget,50,50,122,,
T6C2HUdragon,,Yersinu,drg_undead_pox,B,idle,fidget03,65,65,99,,
T6C3HIdragon,,Whalegnawer,drg_water_wyvern,B,idle,fidget03,65,65,99,,
T6C3HUdragon,,Consurgens,drg_magma,B,idle,fidget03,65,65,100,,
T6C3WFdragon,,Khrysos,drg_bull,A,idle,fidget,40,60,95,,
T6C3SDdragon,,Sekoronos,drg_undead_skeletalSorcerer,D,idle,fidget03,60,60,110,,
T6C3SEdragon,,Chthoteuthis,drg_sea,D,idle,fidget,45,45,107,,
penguin,,Donivalis,drg_dodoPenguin,n/a,idle,fidget,,,128,,
kothDragon,,Sobek,drg_alligator,C,idle,fidget,35,70,100,,
skothDragon,,Droyeuse,drg_blade,A,idle,fidget,40,60,95,,
seaDragon,,Jaculus,drg_arctic,D,idle,fidget03,60,60,110,,
yaziDragon,,Yazi,drg_alligator,C,idle,fidget,35,70,100,,
bixiDragon,,Bixi,drg_snapping,A,idle,fidget,40,60,95,,
newYearDragon,,Meridian,drg_chineseNewYear,D v2,idle,idle,50,50,121,,
marchGreenDragon,,Samnite,drg_holySorcerer,D,idle,fidget,65,65,101,,
marchGoldDragon,,Dimachaerus,drg_holyHunter,B,idle,fidget,55,55,110,,
androidDragon,,Dioskouri,drg_twoHeaded,2H,idle,fidget01,65,65,99,,
marchBlueDragon,,Thraex,drg_holyWarrior,C,idle,fidget,35,55,101,,
T7C1WDdragon,,Mune,drg_blade,A,idle,fidget,40,60,95,,
T7C1SIdragon,,Cerbero,drg_twoHeaded,2H,idle,fidget01,65,65,99,,
T7C1HFdragon,,Nosfer,drg_vampire,B,idle,fidget03,65,65,99,,
T7C2WIdragon,,Kulan,drg_jungle,C,idle,fidget,35,70,100,,
T7C2SEdragon,,Cryzan,drg_arctic,D,idle,fidget03,60,60,110,,
T7C2HFdragon,,Necura,drg_vampire,B,idle,fidget03,65,65,100,,
T7C2HDdragon,,Jagra,drg_spined,B,idle,fidget03,65,65,100,,
T7C3WEdragon,,Quetz,drg_jungle,C,idle,fidget,35,70,100,,
T7C3SFdragon,,Vulcan,drg_flux,2H,idle,fidget01,65,65,99,,
T7C3SIdragon,,Kelvin,drg_flux,2H,idle,fidget01,65,65,99,,
T7C3WIdragon,,Kaiju,drg_hulk,E,idle,fidget02,45,65,97,,
T7C3HDdragon,,Rizar,drg_spined,B,idle,fidget03,65,65,100,,
aprilGoldDragon,,Fennrok,drg_crimsonRune,C,idle,fidget,35,70,100,,
aprilBlueDragon,,Kinnarakku,drg_noblePreyRune,D,idle,fidget03,60,60,110,,
mayPlatinumDragon,,Infernicus,drg_flameSerpent,D,idle,fidget03,60,60,120,,
mayBlueDragon,,Magmorr,drg_flameWarrior,C v2,idle,fidget,45,70,100,,
juneTwitchDragon,,Necroth,drg_twitch,C v2,idle,fidget,45,70,100,,
julyBlueDragon,,Grumble,drg_undead_skeletalSorcerer,D,idle,fidget03,60,60,80,,
pbogDragon,,Phweemp,drg_cartoon.lvl,,idle,idle,15,,45,,
julyPlatinumDragon,,Lochsvur,drg_water_wyvern_blackblood.lvl,,idle,fidget03,50,,100,,
augustPlatinumDragon,,Sigurd,drg_sea_v3.lvl,,idle,fidget,30,,107,,
T8C3WEdragon,,Scorchil,drg_metalWarrior2_v2.lvl,,idle,fidget,35,,100,,
T8C3SAdragon,,Iteru,drg_egyptianSorcerer.lvl,,idle,fidget,30,,107,,
T8C3HIdragon,,Sekhem,drg_egyptianDrake.lvl,B,idle,fidget03,65,65,100,,
T8C3WDdragon,,Anapa,drg_egyptianWarrior.lvl,,idle,fidget,35,,101,,
T8C3SIdragon,,Chompa,drg_undead_diablo_v2.lvl,,idle,fidget,35,,110,,
T8C3HFdragon,,Gorgonus,drg_undead_spectral_v4.lvl,C,idle,fidget,35,70,100,,
T8C4WFdragon,,Mehaten,drg_desert_v3.lvl,,idle,idle,25,,100,,
T8C4SDdragon,,Apophet,drg_desert_v2.lvl,,idle,idle,25,,100,,
T8C4HEdragon,,Hauheset,drg_desert_v1.lvl,,idle,idle,25,,100,,
shadowApophet,,Apophet's Shadow,drg_desert_shadow.lvl,,idle,idle,25,,100,,
skarrSapphireDragon,,Skarr,drg_nature_blackblood.lvl,C,idle,fidget,35,70,100,,
nightshadeSapphireDragon,,Nightshade,drg_zombie_blackblood.lvl,,idle,fidget03,50,,100,,
ebonSapphireDragon,,Ebon,drg_phoenix_blackblood.lvl,,idle,fidget03,65,65,99,,
T1GGSFdragon,,Raetrix,drg_elegantRed.lvl,,idle,fidget,,,150,,
phasmosSapphireDragon,,Phasmos,drg_ghost.lvl,,idle,idle,65,,150,,
T9C3WDdragon,,Avalanche,drg_prehistoric_v2.lvl,,idle,fidget,50,,150,,
T9C3SFdragon,,Jul,drg_arcane_v3.lvl,,idle,fidget,45,45,107,,
T9C3HIdragon,,Frostbiter,drg_water_wyvern_v2.lvl,,idle,fidget03,65,65,99,,
T9C3HEdragon,,Zaru,drg_winterMonkey_v1.lvl,,idle,fidget03,65,,150,,
T9C3SDdragon,,Renard,drg_winterFox_v1.lvl,,idle,fidget03,60,,150,,
T9C3WIdragon,,Ursa,drg_winterBear_v1.lvl,,idle,fidget,50,,150,,
T9C4SEdragon,,Aquileas and Austeros,drg_gemini.lvl,,idle,fidget,70,,150,,
T9C4WWdragon,,Gloomclaw,drg_krampus,,idle,fidget,50,,150,,
T9C4HIdragon,,Icicle,drg_wendigo,,idle,fidget03,65,,150,,
tenguDragon,,Tengu,drg_tengu_v1.lvl,,idle,fidget03,60,,150,,
tarandDragon,,Tarand,drg_winterCaribou_v1.lvl,,idle,fidget,55,,150,,
snowdropDragon,,Snowdrop,drg_glacialHunter.lvl,,idle,fidget03,60,,150,,
algorDragon,,Algor,drg_glacialWarrior.lvl,,idle,fidget,50,,150,,
demonDragon,,Abraxxas,drg_demon.lvl,,idle,fidget,50,,150,,
springWarriorDragon,,Sage,drg_springCaribou_v1.lvl,,idle,fidget,50,,150,,
springSorcererDragon,,Fae,drg_springRabbit_v1.lvl,,idle,fidget,60,,150,,
T10C3WFdragon,,Pyrochis,drg_springOrchid_v1.lvl,,idle,fidget,50,,150,,
T10C3WWdragon,,Kyrule,drg_springDandelion_v1.lvl,,idle,fidget,50,,150,,
T10C3HEdragon,,Deci,drg_springHummingbird_v1.lvl,,idle,fidget03,65,,150,,
T10C3HFdragon,,Ferga,drg_springLily_v1.lvl,,idle,fidget03,65,,150,,
T10C3SWdragon,,Kerbos,drg_springMonarch_v1.lvl,,idle,fidget,50,,150,,
T10C3SIdragon,,Slax,drg_springDuck.lvl,,idle,fidget,50,,150,,
T10C4WDdragon,,Stormheim,drg_golemDark.lvl,,idle,fidget,50,,150,,
T10C4HEdragon,,Xenot,drg_golemEarth.lvl,,idle,fidget03,65,,150,,
T10C4SEdragon,,Nier,drg_golemWater.lvl,,idle,fidget,45,,150,,
springHunterDragon,,Aster,drg_springTulip.lvl,,idle,fidget03,65,,150,,
springMythicDragon,,Morphos,drg_butterfly_v1.lvl,,idle,fidget03,65,,150,,
T11C3WFdragon,,Archimera,drg_cosmic.lvl,,idle,fidget,50,,150,,
T11C3WEdragon,,Hedran,drg_prism_v1.lvl,,idle,fidget,50,,150,,
T11C3HWdragon,,Noctua,drg_owl_v1.lvl,,idle,fidget03,65,,150,,
T11C3HFdragon,,Lumina,drg_chroma.lvl,,idle,fidget03,65,,150,,
T11C3SIdragon,,Marianas,drg_abyssalAngler.lvl,,idle,fidget03,50,,150,,
T11C3SDdragon,,Wraith,drg_undead_wraith_v1.lvl,,idle,fidget02,50,,150,,
T11C4WWdragon,,Girasol,drg_obsidianWarrior.lvl,,idle,fidget,50,,150,,
T11C4HDdragon,,Mafic,drg_obsidianHunter.lvl,,idle,fidget03,65,,150,,
T11C4SFdragon,,Rhyo,drg_obsidianSorcerer.lvl,,idle,fidget03,45,,150,,
summerHunterDragon,,Borgian,drg_earth_wyvern,B,idle,fidget03,65,,150,,
summerSorcererDragon,,Kinnarus,drg_noblePrey2_v2.lvl,D,idle,fidget,50,,150,,
summerDiscountDragon,,Drakius,drg_fire_v1.lvl,C,idle,fidget,55,,150,,
summerMythicDragon,,Merkt,drg_nightcrawlerSuper_v1.lvl,,idle,fidget03,60,,150,,
summerWarriorDragon,,Zamrok,drg_armoredSuper_v1.lvl,,idle,fidget,50,,150,,
emberDragon,,Ember,drg_ochreHunter_v1.lvl,B,idle,fidget03,65,65,100,,
fallDiscountDragon,,Necryx,drg_revenant.lvl,B,idle,fidget03,65,65,99,,
fallSorcererDragon,,Spindra,drg_spider_v1.lvl,,idle,fidget,50,,150,,
fallWarriorDragon,,Chimerak,drg_undead_patchwork.lvl,,idle,fidget,50,,150,,
twitchFanDragon,,Nydryr,drg_twitchFan.lvl,,idle,fidget03,60,60,110,fidget02|fidget03,
fallHunterDragon,,Gargula,drg_gargoyle.lvl,B,idle,fidget03,65,65,99,,
fallMythicDragon,,Moonfang,drg_werewolf_v1,,idle,fidget,50,,150,,
fallEventDragon,,Anuba,drg_undead_mummy.lvl,,idle,fidget,50,,150,fidget02|fidget03|fidget04,
earthEvolvingWarrior,,Ochre,drg_ochreWarrior_v1.lvl,,idle,fidget,50,,150,,
E17Q4DiscountDragon,,Leos,drg_lion.lvl,,idle,fidget,50,,150,fidget|fidget02|fidget03|fidget04,
E17Q4SorcererDragon,,Equestor,drg_chariot.lvl,,idle,fidget,60,60,110,,
E17Q4WarriorDragon,,Gladicus,drg_gladiator.lvl,,idle,fidget,65,65,99,,
E17Q4HunterDragon,,Avyx,drg_warhawk.lvl,,idle,fidget,50,,150,,
E17Q4FinalDragon,,Neptus,drg_neptune_v1.lvl,,idle,fidget,50,,150,,
lightningFamiliar,,Lightning Familiar,drg_lightningFamiliar.lvl,,idle,fidget,50,,150,,
E17Q4NewYearDragon,,Kirin,drg_unicorn_v1.lvl,,idle,fidget,50,,150,fidget|fidget02|fidget03|fidget04,
E18Q1DiscountDragon,,Aibrean,drg_feySpring.lvl,,idle,fidget,50,,150,,
E18Q1WarriorDragon,,Nollaig,drg_feyWinter.lvl,,idle,fidget,50,,150,,
E18Q1FinalDragon,,Corthanak,drg_feyBonfire.lvl,,idle,fidget,50,,150,,
E18Q1SorcererDragon,,Samhrad,drg_feySummer.lvl,,idle,fidget,50,,150,,
E18Q1HunterDragon,,Fomhar,drg_feyAutumn.lvl,,idle,fidget,50,,150,,
E18Q1GoofyDragon,,Chunk,drg_goofy_hippo.lvl,,idle,fidget,50,,150,fidget|fidget02|fidget03|fidget04,
T12C3WIdragon,,Morthil,drg_tundra.lvl,,idle,fidget,50,,150,,
T12C3WFdragon,,Wydrian,drg_furnace.lvl,,idle,fidget,50,,150,,
T12C3HEdragon,,Estril,drg_elven.lvl,,idle,fidget,50,,150,,
T12C3SWdragon,,Shezard,drg_oasis.lvl,,idle,fidget,50,,150,,
T12C4WIdragon,,Destar,drg_tundraWar.lvl,,idle,fidget,50,,150,,
T12C3HDdragon,,Lokan,drg_swamp.lvl,,idle,fidget,50,,150,,
T12C3SFdragon,,Opes,drg_celestial.lvl,,idle,fidget,50,,150,,
T12C4HDdragon,,Keth,drg_oasisWar.lvl,,idle,fidget,50,,150,,
T12C4SWdragon,,Rajin,drg_swampWar.lvl,,idle,fidget,50,,150,,
E18Q2DiscountDragon,,Coatl,drg_coatl.lvl,,idle,fidget,50,,150,,
E18Q2HunterDragon,,Cuauhtli,drg_vulture.lvl,,idle,fidget,50,,150,,
E18Q2FinalDragon,,Huitzil,drg_shamanWarrior.lvl,,idle,fidget,50,,150,,
E18Q2SorcererDragon,,Zotz,drg_bat.lvl,,idle,fidget,50,,150,,
E18Q2WarriorDragon,,Tez,drg_jaguar.lvl,,idle,fidget,50,,150,,
E18Q2FestiveDragon,,Axi,drg_goofy_axolotl.lvl,,idle,fidget,50,,150,,
E18Q3DiscountDragon,,Cavaleris,drg_maskKnight.lvl,,idle,fidget,50,,150,,
E18Q3SorcererDragon,,Sylphen,drg_maskWind.lvl,,idle,fidget,50,,150,,
E18Q3MythicHunterDragon,,Pathox,drg_plague.lvl,,idle,fidget,50,,150,,
T13C3WIdragon,,Jotun,drg_viking.lvl,,idle,fidget,50,,150,,
T13C3WDdragon,,Balahm,drg_leopard.lvl,,idle,fidget,50,,150,,
T13C3HWdragon,,Sanguis,drg_feyBloodmoon.lvl,,idle,fidget,50,,150,,
T13C3HFdragon,,Redrian,drg_furnaceHunter.lvl,,idle,fidget,50,,150,,
T13C3SEdragon,,Altimorak,drg_natureSorcerer.lvl,,idle,fidget,50,,150,,
T13C3SWdragon,,Kaze,drg_gohei.lvl,,idle,fidget,50,,150,,
T13C4WFdragon,,Oni,drg_oni.lvl,,idle,fidget,50,,150,,
T13C4HEdragon,,Itzani,drg_shaman.lvl,,idle,fidget,50,,150,,
T13C4SIdragon,,Jormungandr,drg_worldSerpent.lvl,,idle,fidget02,50,,150,,
E18Q3HunterDragon,,Prospero,drg_maskRed.lvl,,idle,fidget,50,,150,,
E18Q3MythicWarriorDragon,,Aristrat,drg_maskNoble.lvl,,idle,fidget,50,,150,,
E18Q3FestiveDragon,,Somnus,drg_specter.lvl,,idle,fidget,50,,150,,
E18Q4DiscountDragon,,Gunnar,drg_vikingRaider.lvl,,idle,fidget,50,,150,,
E18Q4SorcererDragon,,Hildr,drg_vikingValkyrie.lvl,,idle,fidget,50,,150,,
E18Q4MythicWarriorDragon,,"Urd, Verd, and Skuld",drg_vikingTrio.lvl,,idle,fidget,50,,150,,
E18Q4WarriorDragon,,Jarl,drg_vikingJarl.lvl,,idle,fidget,50,,150,,
E18Q4MythicSorcererDragon,,Surt,drg_vikingFire.lvl,,idle,fidget01,30,,150,,
E18Q4FestiveDragon,,Skoll and Hati,drg_vikingWolves.lvl,,idle,fidget,50,,150,,
T14C3WEdragon,,Valens,drg_cosmic.lvl,,idle,fidget,50,,150,,
T14C3WFdragon,,Methalex,drg_prism_v1.lvl,,idle,fidget,50,,150,,
T14C3HWdragon,,Evakhet,drg_owl_v1.lvl,,idle,fidget03,65,,150,,
T14C3HIdragon,,Tuktu,drg_chroma.lvl,,idle,fidget03,65,,150,,
T14C3SFdragon,,Modrian,drg_abyssalAngler.lvl,,idle,fidget03,50,,150,,
T14C3SDdragon,,Capulos,drg_undead_wraith_v1.lvl,,idle,fidget02,50,,150,,
T14C4WEdragon,,Archon,drg_celestialWarrior.lvl,,idle,fidget,50,,150,,
T14C4HDdragon,,Lusian,drg_celestialCorrupted.lvl,,idle,fidget03,65,,150,,
T14C4SWdragon,,Seraph,drg_celestialClarion.lvl,,idle,fidget03,45,,150,,
E19Q1DiscountDragon,,Haku,drg_japanStatue.lvl,,idle,fidget,50,,150,,
E19Q1SorcererDragon,,Kaiji,drg_japanKappa.lvl,,idle,fidget,50,,150,,
E19Q1MythicHunterDragon,,Ronin,drg_japanRonin.lvl,,idle,fidget,50,,150,,
E19Q1MythicSorcererDragon,,Zenko,drg_japanFox.lvl,,idle,fidget,50,,150,,
E19Q1WarriorDragon,,Goda,drg_japanSamurai.lvl,,idle,fidget,50,,150,,
E19Q1FestiveDragon,,Sakura,drg_japanBlossom.lvl,,idle,fidget,50,,150,,
E19Q2DiscountDragon,,Dreth,drg_seaManta.lvl,,idle,fidget02,35,,150,,
E19Q2HunterDragon,,Scorpa,drg_seaLionfish.lvl,,idle,fidget,50,,150,,
E19Q2WarriorDragon,,Chelonoth,drg_seaCoral.lvl,,idle,fidget01,30,,150,,
E19Q2MythicWarriorDragon,,Meglok,drg_seaCroc.lvl,,idle,fidget,50,,150,,
E19Q2FestiveDragon,,Firefin,drg_seaPuffer.lvl,,idle,fidget01,30,,150,,
T15C3WDdragon,,Cordys,drg_voidFungal.lvl,,idle,fidget01,30,,150,,
T15C3HEdragon,,Oculex,drg_voidCyclops.lvl,,idle,fidget,50,,150,,
T15C3SWdragon,,Orthoptar,drg_voidBug.lvl,,idle,fidget,50,,150,,
E19Q3DiscountDragon,,Hyaku,drg_voidMeteor.lvl,,idle,fidget01,30,,150,,
E19Q3MythicWarriorDragon,,Gig,drg_voidEye.lvl,,idle,fidget,50,,150,,
E19Q3MythicHunterDragon,,Narlyth,drg_voidMask.lvl,,idle,fidget,50,,150,,
E19Q3HunterDragon,,Kullecid,drg_voidParasite.lvl,,idle,fidget,50,,150,,
E19Q3FestiveDragon,,Kathool,drg_cthulhu.lvl,,idle,fidget,50,,150,,
T15C3WIdragon,,Bilge,drg_seaAngler.lvl,,idle,fidget02,20,,150,,
T15C3HWdragon,,Marlis,drg_seaSail.lvl,,idle,fidget03,55,,150,,
T15C3SDdragon,,Daegon,drg_seaEel.lvl,,idle,fidget,50,,150,,
E19Q4DiscountDragon,,Galgrim,drg_dwarfTwitch.lvl,,idle,fidget,50,,150,,
E19Q4WarriorDragon,,Gryff,drg_griffin.lvl,,idle,fidget,50,,150,,
E19Q4MythicHunterDragon,,Noctarn,drg_owlSuper.lvl,,idle,fidget,50,,150,,
E19Q4MythicSorcererDragon,,Faf'nyr,drg_dwarfGold.lvl,,idle,fidget02,25,,150,,
E19Q4HolidayDragon,,Noelle,drg_xmasFox.lvl,,idle,fidget02,30,,150,,
T15C4WFdragon,,Cerberath,drg_monsterWarrior.lvl,,idle,fidget02,30,,150,,
T15C4HIdragon,,Medusys,drg_monsterHunter.lvl,,idle,fidget,50,,150,,
T15C4SDdragon,,Ladron,drg_monsterSorcerer.lvl,,idle,fidget02,30,,150,,!@#fmmabnefdamjmilc
