deckId,weight,onlyOnce,Cards,h
93,1,,"cmCrystalfire1200,cmCrystalice1200,sailFaster3,redRiderShard2,craftingScroll80,cmCrystalearth4900,redRiderShard3,bullhorn3,cmCrystaldark15000,",
94,1,,"sailFaster3,cmCrystaldark1200,cmCrystalfire1200,cmCrystalearth2400,cmCrystalice2400,redRiderShard3,cmCrystalearth4900,craftingScroll360,cmCrystalearth15000,",
95,1,,"cmCrystaldark1200,cmCrystalwind1200,cmCrystaldark1200,cmCrystalwind2400,cmCrystalearth2400,cmCrystalfire4900,craftingScroll160,cmCrystalwind11000,cmCrystalwind15000,",
96,1,,"cmCrystaldark1200,gold375000,cmCrystalwind1200,cmCrystalfire2400,redRiderShard2,craftingScroll160,redRiderShard3,cmCrystalfire11000,cmCrystaldark15000,",
97,1,,"cmCrystalice1200,cmCrystalwind1200,cmCrystalfire1200,redRiderShard2,cmCrystalearth2400,gold1500000,gold1500000,cmCrystalfire11000,cmCrystalice15000,",
98,1,,"cmCrystalfire1200,cmCrystalice1200,sailFaster3,craftingScroll80,sailFaster7,craftingScroll160,gold1500000,craftingScroll360,cmCrystalice15000,",
99,1,,"sailFaster3,cmCrystaldark1200,cmCrystaldark1200,cmCrystaldark2400,redRiderShard2,cmCrystalearth4900,cmCrystaldark4900,cmCrystalearth11000,craftingScroll500,",
100,1,,"cmCrystalfire1200,sailFaster3,cmCrystaldark1200,craftingScroll80,redRiderShard2,redRiderShard3,cmCrystalwind4900,cmCrystalearth11000,bullhorn4,",
101,1,,"cmCrystalice1200,cmCrystalwind1200,cmCrystalfire1200,cmCrystalice2400,redRiderShard2,craftingScroll160,gold1500000,bullhorn3,bullhorn4,",
102,1,,"sailFaster3,gold375000,cmCrystalice1200,cmCrystalfire2400,cmCrystalearth2400,gold1500000,cmCrystalice4900,bullhorn3,cmCrystalfire15000,",
103,1,,"cmCrystaldark1200,gold375000,cmCrystaldark1200,gold750000,cmCrystalice2400,cmCrystaldark4900,redRiderShard3,bullhorn3,cmCrystaldark15000,",
104,1,,"cmCrystalearth1200,cmCrystalfire1200,cmCrystalice1200,gold750000,cmCrystalearth2400,cmCrystalfire4900,cmCrystalfire4900,cmCrystalearth11000,cmCrystaldark15000,",
105,1,,"cmCrystalwind1200,cmCrystalfire1200,gold375000,cmCrystalearth2400,gold750000,cmCrystalearth4900,cmCrystalice4900,cmCrystalearth11000,cmCrystalice15000,",
106,1,,"gold375000,gold375000,cmCrystalwind1200,cmCrystalfire2400,cmCrystalearth2400,redRiderShard3,cmCrystalearth4900,cmCrystalice11000,cmCrystalearth15000,",
107,1,,"sailFaster3,sailFaster3,cmCrystalearth1200,cmCrystaldark2400,redRiderShard2,redRiderShard3,cmCrystalfire4900,cmCrystalice11000,bullhorn4,",
108,1,,"cmCrystalfire1200,cmCrystalearth1200,cmCrystalfire1200,sailFaster7,gold750000,cmCrystaldark4900,gold1500000,cmCrystalearth11000,cmCrystaldark15000,",
109,1,,"cmCrystaldark1200,cmCrystalfire1200,cmCrystalwind1200,cmCrystaldark2400,cmCrystalfire2400,craftingScroll160,gold1500000,cmCrystalfire11000,cmCrystaldark15000,",
110,1,,"cmCrystalfire1200,sailFaster3,gold375000,cmCrystaldark2400,cmCrystalice2400,cmCrystalearth4900,craftingScroll160,cmCrystaldark11000,craftingScroll500,",
111,1,,"gold375000,cmCrystalice1200,cmCrystalearth1200,cmCrystaldark2400,cmCrystalice2400,cmCrystalwind4900,craftingScroll160,cmCrystalice11000,cmCrystalwind15000,",
112,1,,"cmCrystalearth1200,cmCrystaldark1200,cmCrystalwind1200,cmCrystaldark2400,cmCrystalearth2400,cmCrystalice4900,cmCrystalfire4900,redRiderShard8,cmCrystalfire15000,",
113,1,,"cmCrystaldark1200,gold375000,cmCrystaldark1200,redRiderShard2,cmCrystalice2400,cmCrystalfire4900,cmCrystalearth4900,cmCrystalearth11000,redRiderShard10,",
114,1,,"gold375000,cmCrystalice1200,cmCrystalwind1200,sailFaster7,sailFaster7,craftingScroll160,gold1500000,craftingScroll360,cmCrystalwind15000,",
115,1,,"cmCrystaldark1200,cmCrystalearth1200,sailFaster3,redRiderShard2,gold750000,redRiderShard3,gold1500000,redRiderShard8,cmCrystalice15000,",
116,1,,"cmCrystalfire1200,cmCrystalice1200,sailFaster3,redRiderShard2,gold750000,cmCrystaldark4900,redRiderShard3,craftingScroll360,bullhorn4,",
117,1,,"gold375000,cmCrystalwind1200,cmCrystalice1200,cmCrystalice2400,cmCrystaldark2400,gold1500000,gold1500000,cmCrystalice11000,bullhorn4,",
118,1,,"cmCrystalwind1200,cmCrystalwind1200,cmCrystalice1200,sailFaster7,cmCrystalwind2400,cmCrystaldark4900,cmCrystaldark4900,cmCrystalfire11000,craftingScroll500,",
119,1,,"cmCrystalfire1200,cmCrystalfire1200,cmCrystalwind1200,cmCrystalfire2400,gold750000,craftingScroll160,craftingScroll160,bullhorn3,cmCrystaldark15000,",
120,1,,"cmCrystalfire1200,cmCrystaldark1200,cmCrystalwind1200,cmCrystalice2400,cmCrystaldark2400,gold1500000,cmCrystalwind4900,cmCrystaldark11000,cmCrystalfire15000,",
121,1,,"cmCrystalwind1200,sailFaster3,sailFaster3,cmCrystalearth2400,cmCrystaldark2400,cmCrystaldark4900,redRiderShard3,craftingScroll360,craftingScroll500,",
122,1,,"cmCrystalwind1200,cmCrystalwind1200,cmCrystalfire1200,cmCrystalearth2400,cmCrystalfire2400,cmCrystaldark4900,cmCrystalice4900,cmCrystalearth11000,cmCrystalfire15000,",
123,1,,"cmCrystalfire1200,sailFaster3,cmCrystalwind1200,craftingScroll80,sailFaster7,cmCrystalfire4900,gold1500000,craftingScroll360,cmCrystaldark15000,",
124,1,,"sailFaster3,gold375000,cmCrystalice1200,cmCrystalfire2400,cmCrystalwind2400,cmCrystalwind4900,cmCrystalearth4900,cmCrystalwind11000,cmCrystalfire15000,",
125,1,,"cmCrystalwind1200,cmCrystalice1200,cmCrystalfire1200,craftingScroll80,cmCrystalwind2400,cmCrystalwind4900,cmCrystalearth4900,cmCrystalfire11000,craftingScroll500,",
126,1,,"cmCrystalearth1200,cmCrystalfire1200,cmCrystalearth1200,cmCrystalfire2400,cmCrystaldark2400,craftingScroll160,cmCrystalice4900,cmCrystalearth11000,cmCrystalwind15000,",
127,1,,"cmCrystalfire1200,sailFaster3,cmCrystalearth1200,gold750000,craftingScroll80,cmCrystaldark4900,redRiderShard3,cmCrystalfire11000,bullhorn4,",
128,1,,"cmCrystalfire1200,cmCrystalwind1200,gold375000,cmCrystalfire2400,cmCrystalfire2400,cmCrystalearth4900,cmCrystalice4900,cmCrystalwind11000,craftingScroll500,",
129,1,,"cmCrystalearth1200,cmCrystalfire1200,cmCrystalfire1200,cmCrystalwind2400,sailFaster7,redRiderShard3,cmCrystaldark4900,bullhorn3,cmCrystalwind15000,",
130,1,,"cmCrystalearth1200,cmCrystaldark1200,cmCrystalfire1200,craftingScroll80,craftingScroll80,gold1500000,cmCrystalwind4900,craftingScroll360,cmCrystalwind15000,",
131,1,,"sailFaster3,cmCrystalfire1200,cmCrystalfire1200,gold750000,craftingScroll80,cmCrystalfire4900,craftingScroll160,cmCrystalwind11000,cmCrystalice15000,",
132,1,,"cmCrystalwind1200,sailFaster3,cmCrystalice1200,craftingScroll80,sailFaster7,cmCrystalice4900,cmCrystaldark4900,bullhorn3,redRiderShard10,",
133,1,,"sailFaster3,cmCrystalfire1200,cmCrystaldark1200,craftingScroll80,cmCrystalwind2400,gold1500000,cmCrystaldark4900,cmCrystalwind11000,craftingScroll500,",
134,1,,"cmCrystaldark1200,cmCrystalwind1200,cmCrystalfire1200,cmCrystaldark2400,redRiderShard2,cmCrystaldark4900,cmCrystalice4900,cmCrystalwind11000,cmCrystalice15000,",
135,1,,"cmCrystalwind1200,sailFaster3,cmCrystalice1200,cmCrystalwind2400,cmCrystalearth2400,gold1500000,cmCrystalice4900,cmCrystaldark11000,craftingScroll500,",
136,1,,"cmCrystaldark1200,cmCrystalwind1200,cmCrystalfire1200,gold750000,cmCrystalearth2400,redRiderShard3,redRiderShard3,bullhorn3,cmCrystalwind15000,",
137,1,,"sailFaster3,cmCrystalice1200,gold375000,sailFaster7,craftingScroll80,cmCrystaldark4900,redRiderShard3,cmCrystalearth11000,redRiderShard10,",
138,1,,"cmCrystaldark1200,cmCrystalice1200,cmCrystalice1200,cmCrystaldark2400,cmCrystalfire2400,redRiderShard3,cmCrystalfire4900,bullhorn3,bullhorn4,",
139,1,,"cmCrystalwind1200,cmCrystalwind1200,sailFaster3,cmCrystalearth2400,cmCrystaldark2400,cmCrystalice4900,cmCrystaldark4900,cmCrystaldark11000,bullhorn4,",
140,1,,"cmCrystalice1200,cmCrystaldark1200,cmCrystalfire1200,cmCrystalfire2400,gold750000,cmCrystaldark4900,cmCrystalearth4900,cmCrystaldark11000,cmCrystalfire15000,",
141,1,,"cmCrystaldark1200,cmCrystalwind1200,cmCrystaldark1200,cmCrystaldark2400,cmCrystaldark2400,craftingScroll160,gold1500000,craftingScroll360,cmCrystalearth15000,",
142,1,,"cmCrystalearth1200,cmCrystalice1200,cmCrystaldark1200,cmCrystalice2400,gold750000,cmCrystalwind4900,cmCrystalwind4900,cmCrystalearth11000,bullhorn4,",
143,1,,"gold375000,cmCrystalice1200,cmCrystalfire1200,sailFaster7,gold750000,craftingScroll160,cmCrystalfire4900,cmCrystalice11000,cmCrystalfire15000,",
144,1,,"cmCrystalfire1200,cmCrystalearth1200,gold375000,cmCrystaldark2400,redRiderShard2,redRiderShard3,cmCrystalice4900,cmCrystalice11000,cmCrystalearth15000,",
145,1,,"cmCrystalwind1200,cmCrystalice1200,sailFaster3,redRiderShard2,redRiderShard2,cmCrystalwind4900,craftingScroll160,craftingScroll360,cmCrystalwind15000,",
146,1,,"cmCrystaldark1200,sailFaster3,cmCrystalearth1200,cmCrystaldark2400,cmCrystalearth2400,gold1500000,cmCrystalfire4900,redRiderShard8,cmCrystaldark15000,",
147,1,,"cmCrystalice1200,cmCrystalice1200,cmCrystalearth1200,gold750000,cmCrystalwind2400,cmCrystalfire4900,redRiderShard3,cmCrystalearth11000,redRiderShard10,",
148,1,,"sailFaster3,gold375000,cmCrystalearth1200,cmCrystaldark2400,gold750000,cmCrystaldark4900,cmCrystalfire4900,craftingScroll360,cmCrystalice15000,",
149,1,,"gold375000,cmCrystalfire1200,cmCrystalfire1200,craftingScroll80,cmCrystaldark2400,cmCrystaldark4900,redRiderShard3,cmCrystalearth11000,cmCrystalearth15000,",
150,1,,"cmCrystalfire1200,sailFaster3,gold375000,cmCrystalearth2400,gold750000,gold1500000,cmCrystalearth4900,bullhorn3,bullhorn4,",
