identifier,inBundle,displayName,defaultSceneFile,dragonClass,dragonType,defaultRarity,elementIdentifier,displayDescription,stableHint,defaultDiscoveredImage,undiscoveredImage,defaultIconFilename,iconFilenameLocked,upgradeCSVFileName,fidgets,unlockAchievement,attackStartVal,sellBasePrice,unavailableSpellTypes,showcaseNodeLocation,isAttainable,sortPriority,minDragonLevelForBreeding,minBreedingCaveBuildingLevelToBreed,incubatingTime,incubationAchievementRequirement,incubationBuildingLevelRequirement,defaultMaxLevel,researchMaxLevelIncrease,eggCurrencyType,eggDisplaySceneFile,defaultAttackBoostRange,defaultHPBoostRange,canSell,canUpgrade,canBeSummoned,deathPenaltyPercentage,defaultTierNumber,priorityWithinTier,showInStable,numberOfFragmentsNeeded,isShrineDragon,isGoldDragon,limitedTimeOfferDragonActiveEvent,limitedTimeOfferDragonParentsInfoFile,isEvolveDragon,canPlaceIntoPerch,isUnbreedableDragon,buffEndTime,h
T1C2WIdragon,0,Zin,drg_blue_copy2.lvl,warrior,Blue Horned Dragon,0,iceElement,Can this dragon ever be shot down?,Look for the dragon at the breeding grounds,dragon_blue_discovered_thumbnail.png,dragon_blue_undiscovered_thumbnail.png,dragonThumbnail_blue.png,dragonThumbnail_blue_undiscovered.png,T1C2WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,4,4,1,300,,1,10,,redEggCurrency,egg_red_V4.lvl,0-0,0-0,1,1,0,15,1,4,1,,0,0,,,,1,,0,
T1C2HEdragon,0,Hext,drg_stone_level01.lvl,hunter,Rock Dragon,0,earthElement,Much worse than a killer bee!,Look for the dragon at the breeding grounds,dragon_stone_discovered_thumbnail.png,dragon_stone_undiscovered_thumbnail.png,dragonThumbnail_stone.png,dragonThumbnail_stone_undiscovered.png,T1C2HEdragonUpgrades.csv,,level01,1000,food:100,,0~20~40,1,3,3,1,120,,1,10,,redEggCurrency,egg_red_V5.lvl,0-0,0-0,1,1,0,15,1,5,1,,0,0,,,,1,,0,
T1C2SFdragon,0,Aetrix,drg_elegantPhoenix.lvl,sorcerer,Phoenix Dragon,0,fireElement,This dragon will strike you down.,Look for the dragon at the breeding grounds,dragon_elegantPhoenix_discovered_thumbnail.png,dragon_elegant_undiscovered_thumbnail.png,dragonThumbnail_elegantPhoenix.png,dragonThumbnail_elegant_undiscovered.png,T1C2SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,6,4,1,5400,,1,10,,redEggCurrency,egg_red_V6.lvl,0-0,0-0,1,1,0,15,1,6,1,,0,0,,,,1,,0,
T1C3WEdragon,0,Hantu,drg_armoredGreen.lvl,warrior,Soldier Dragon,3,earthElement,There's no getting past this dragon's stoneskin shield!,Look for the dragon at the breeding grounds,dragon_armoredGreen_discovered_thumbnail.png,dragon_armored_undiscovered_thumbnail.png,dragonThumbnail_armoredGreen.png,dragonThumbnail_armored_undiscovered.png,T1C3WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,7,4,1,21600,,1,15,,redEggCurrency,egg_red_V7.lvl,0-0,0-0,1,1,0,15,1,7,1,,0,0,,,,1,,0,
T1C3HFdragon,0,Kastor,drg_red_level01.lvl,hunter,Red Dragon,0,darkElement,The dragon can render your towers useless.,Look for the dragon at the breeding grounds,dragon_red_discovered_thumbnail.png,dragon_red_undiscovered_thumbnail.png,dragonThumbnail_red.png,dragonThumbnail_red_undiscovered.png,T1C3HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,8,4,1,10800,,1,10,,redEggCurrency,egg_red_V8.lvl,0-0,0-0,1,1,0,15,1,8,1,,0,0,,,,1,,0,
T1C3SIdragon,0,Kinnara,drg_noblePrey2_v2.lvl,sorcerer,Summoner Dragon,4,windElement,This dragon enslaves other dragons.,Look for the dragon at the breeding grounds,dragon_noblePrey2_v2_discovered_thumbnail.png,dragon_noblePrey2_v2_undiscovered_thumbnail.png,dragonThumbnail_noblePrey_v2.png,dragonThumbnail_noblePrey_undiscovered.png,T1C3SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,9,8,1,43200,,1,20,,redEggCurrency,egg_red_V9.lvl,0-0,0-0,1,1,0,15,1,9,1,8,0,0,,,,1,,0,
T1GGWFdragon,0,Fenrir,drg_crimson.lvl,warrior,Russet Demon,3,fireElement,This dragon is untouchable.,Look for the dragon at the breeding grounds,dragon_crimson_discovered_thumbnail.png,dragon_crimson_undiscovered_thumbnail.png,dragonThumbnail_crimson.png,dragonThumbnail_crimson_undiscovered.png,T1GGWFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,10,1,1,3,,1,7,,redEggCurrency,egg_red_V14.lvl,0-0,0-0,1,1,0,15,1,10,1,,0,1,,,,1,,0,
T2C1HIdragon,0,Trollis,drg_hunter2_v2.lvl,hunter,Breath Wyvern,0,windElement,It doesn't really have arms. Neither did a T-Rex.,Look for the dragon at the breeding grounds,dragon_hunter2_v2_discovered_thumbnail.png,dragon_hunter2_undiscovered_thumbnail.png,dragonThumbnail_hunter_v2.png,dragonThumbnail_hunter_undiscovered.png,T2C1HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,11,4,2,21600,,2,10,,purpleEggCurrency,egg_purple_V13.lvl,0-0,0-0,1,1,0,15,2,1,1,,0,0,,,,1,,0,
T2C1WEdragon,0,Laekrian,drg_tankCrystal.lvl,warrior,Green Crystal Golem,0,earthElement,This dragon once ate a whole bag of emeralds instead of rubies.,Look for the dragon at the breeding grounds,dragon_tankCrystal_discovered_thumbnail.png,dragon_tank_undiscovered_thumbnail.png,dragonThumbnail_tankCrystal.png,dragonThumbnail_tank_undiscovered.png,T2C1WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,12,4,2,21600,,2,10,,purpleEggCurrency,egg_purple_V12.lvl,0-0,0-0,1,1,0,15,2,2,1,,0,0,,,,1,,0,
T2C1SFdragon,0,Merk,drg_nightcrawler_v3.lvl,sorcerer,Lesser Wyrm,0,fireElement,Nightmares are created by the mere sight of it.,Look for the dragon at the breeding grounds,dragon_nightcrawler_v3_discovered_thumbnail.png,dragon_nightcrawler_undiscovered_thumbnail.png,dragonThumbnail_nightcrawler_v3.png,dragonThumbnail_nightcrawler_undiscovered.png,T2C1SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,13,4,2,21600,,2,10,,purpleEggCurrency,egg_purple_V11.lvl,0-0,0-0,1,1,0,15,2,3,1,,0,0,,,,1,,0,
T2C1HUdragon,0,Dactyl,drg_undead_pox2_v1.lvl,hunter,Reanimated Wyvern,3,darkElement,This dragon makes its armor out of the skin of defeated foes.,Look for the dragon at the breeding grounds,dragon_pox2_v1_discovered_thumbnail.png,dragon_pox2_undiscovered_thumbnail.png,dragonThumbnail_pox_v1.png,dragonThumbnail_pox_undiscovered.png,T2C1HUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,14,6,2,47520,,2,15,,purpleEggCurrency,egg_purple_V10.lvl,0-0,0-0,0,1,0,15,2,4,1,,0,0,,,,1,,0,
T2C2WIdragon,0,Gog,drg_iceFrost_level01.lvl,warrior,Frost Dragon,3,iceElement,It is rumored that this dragon was born in a blizzard.,Look for the dragon at the breeding grounds,dragon_iceFrost_discovered_thumbnail.png,dragon_ice_undiscovered_thumbnail.png,dragonThumbnail_iceFrost.png,dragonThumbnail_ice_undiscovered.png,T2C2WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,17,6,2,47520,,2,15,,purpleEggCurrency,egg_purple_V7.lvl,0-0,0-0,1,1,0,15,2,7,1,5,0,0,,,,1,,0,
T2C2SUdragon,0,Huli,drg_undead_diablo2_v3.lvl,sorcerer,Lightning Rod Dragon,0,darkElement,The very presence of this dragon poisons the air.,Look for the dragon at the breeding grounds,dragon_diablo2_v3_discovered_thumbnail.png,dragon_diablo2_undiscovered_thumbnail.png,dragonThumbnail_diablo_v3.png,dragonThumbnail_diablo_undiscovered.png,T2C2SUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,18,4,2,21600,,2,10,,purpleEggCurrency,egg_purple_V6.lvl,0-0,0-0,1,1,0,15,2,8,1,,0,0,,,,1,,0,
T2C2HEdragon,0,Borg,drg_earth_wyvern_v3_copy2.lvl,hunter,Crystallized Wyvern,3,earthElement,It is rumored to have feasted on a fellow tiered dragon...,Look for the dragon at the breeding grounds,dragon_earth_wyvern_v3_discovered_thumbnail.png,dragon_earth_wyvern_v3_undiscovered_thumbnail.png,dragonThumbnail_earth_wyvern_v3.png,dragonThumbnail_earth_wyvern_undiscovered.png,T2C2HEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,19,6,2,47520,,2,15,,purpleEggCurrency,egg_purple_V5.lvl,0-0,0-0,1,1,0,15,2,9,1,5,0,0,,,,1,,0,
T2C3WUdragon,0,Vladimir,drg_skeletalMetal.lvl,warrior,Vampiric Dragon,3,darkElement,This dragon was personally raised by Count Dragula. It will sink its teeth into anything.,Look for the dragon at the breeding grounds,dragon_skeletalMetal_discovered_thumbnail.png,dragon_skeletal_undiscovered_thumbnail.png,dragonThumbnail_skeletalMetal.png,dragonThumbnail_skeletal_undiscovered.png,T2C3WUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,20,6,2,47520,,2,15,,purpleEggCurrency,egg_purple_V4.lvl,0-0,0-0,1,1,0,15,2,11,1,5,0,0,,,,1,,0,
T2C3SEdragon,0,Alikorn,drg_earthSorcerer2_v1.lvl,sorcerer,Blue Spiked Dragon,0,earthElement,It likes to keep a running count of how many victims it has impaled.,Look for the dragon at the breeding grounds,dragon_earthSorcerer2_v1_discovered_thumbnail.png,dragon_earthSorcerer2_undiscovered_thumbnail.png,dragonThumbnail_earthSorcerer_v1.png,dragonThumbnail_earthSorcerer_undiscovered.png,T2C3SEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,21,4,2,21600,,2,10,,purpleEggCurrency,egg_purple_V3.lvl,0-0,0-0,1,1,0,15,2,12,1,,0,0,,,,1,,0,
T2C3HFdragon,0,Daemun,drg_stormFury.lvl,hunter,Fury Drake,0,windElement,This dragon bathes in the blood of the defeated.,Look for the dragon at the breeding grounds,dragon_stormFury_discovered_thumbnail.png,dragon_storm_undiscovered_thumbnail.png,dragonThumbnail_stormFury.png,dragonThumbnail_storm_undiscovered.png,T2C3HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,22,4,2,21600,,2,10,,purpleEggCurrency,egg_purple_V2.lvl,0-0,0-0,1,1,0,15,2,13,1,,0,0,,,,1,,0,
T2C3SFdragon,0,Garuda,drg_noblePrey_v3.lvl,sorcerer,Desert Serpent,3,fireElement,Don't be fooled by its smile.,Look for the dragon at the breeding grounds,dragon_noblePrey_v3_discovered_thumbnail.png,dragon_noblePrey_v3_undiscovered_thumbnail.png,dragonThumbnail_noblePrey_v3.png,dragonThumbnail_noblePrey_undiscovered.png,T2C3SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,23,6,2,47520,,2,15,,purpleEggCurrency,egg_purple_V1.lvl,0-0,0-0,1,1,0,15,2,14,1,5,0,0,,,,1,,0,
T2C3HIdragon,0,Klax,drg_undead_spectral_v2.lvl,hunter,Shifting Dragon,3,darkElement,This dragon is so hot it has an internal cooling system.,Look for the dragon at the breeding grounds,dragon_spectral_v2_discovered_thumbnail.png,dragon_spectral_undiscovered_thumbnail.png,dragonThumbnail_spectral_v2.png,dragonThumbnail_spectral_undiscovered.png,T2C3HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,24,6,2,47520,,2,15,,purpleEggCurrency,egg_purple_V15.lvl,0-0,0-0,1,1,0,15,2,15,1,5,0,0,,,,1,,0,
T2C3WEdragon,0,Arborius,drg_nature_v1.lvl,warrior,Earth Avatar,4,earthElement,This dragon eats foliage like candy.,Look for the dragon at the breeding grounds,dragon_nature_v1_discovered_thumbnail.png,dragon_nature_v1_undiscovered_thumbnail.png,dragonThumbnail_nature_v1.png,dragonThumbnail_nature_undiscovered.png,T2C3WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,25,8,2,97200,,2,20,,purpleEggCurrency,egg_purple_V17.lvl,0-0,0-0,1,1,0,15,2,16,1,12,0,0,,,,1,,0,
T2GGSIdragon,0,Dominus,drg_chineseCelestial.lvl,sorcerer,Celestial Sorcerer,3,iceElement,This dragon likes big explosions.,Look for the dragon at the breeding grounds,dragon_chineseCelestial_discovered_thumbnail.png,dragon_chineseSuper_undiscovered_thumbnail.png,dragonThumbnail_chineseCelestial.png,dragonThumbnail_chineseSuper_undiscovered.png,T2GGSIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,26,1,2,3,,2,7,,purpleEggCurrency,egg_purple_V16.lvl,0-0,0-0,1,1,0,15,2,17,1,,0,1,,,,1,,0,
T3C1WEdragon,0,Grypp,drg_tankSiege.lvl,warrior,Old Rock Golem,3,earthElement,Blind but fearless. It never shies away from a fight.,Look for the dragon at the breeding grounds,dragon_tankSiege_discovered_thumbnail.png,dragon_tank_undiscovered_thumbnail.png,dragonThumbnail_tankSeige.png,dragonThumbnail_tank_undiscovered.png,T3C1WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,27,6,3,97200,,3,15,,blueEggCurrency,egg_blue_V10.lvl,0-0,0-0,1,0,0,15,3,1,1,8,0,0,,,,1,,0,
T3C1SFdragon,0,Jura,drg_alienbugHornet.lvl,sorcerer,Fluttering Creature,0,darkElement,Its eyes can see into the past present and future.,Look for the dragon at the breeding grounds,dragon_alienBugHornet_discovered_thumbnail.png,dragon_alienBug_undiscovered_thumbnail.png,dragonThumbnail_alienHornet.png,dragonThumbnail_alien_undiscovered.png,T3C1SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,28,4,3,43200,,3,10,,blueEggCurrency,egg_blue_V11.lvl,0-0,0-0,1,0,0,15,3,2,1,5,0,0,,,,1,,0,
T3C1HIdragon,0,Kromon,drg_stoneIce.lvl,hunter,Camouflaged Dragon,0,iceElement,This dragon eats rocks for breakfast.,Look for the dragon at the breeding grounds,dragon_stoneIce_discovered_thumbnail.png,dragon_stone_undiscovered_thumbnail.png,dragonThumbnail_stoneIce.png,dragonThumbnail_stone_undiscovered.png,T3C1HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,29,4,3,43200,,3,10,,blueEggCurrency,egg_blue_V12.lvl,0-0,0-0,1,0,0,15,3,3,1,5,0,0,,,,1,,0,
T3C1WUdragon,0,Yanari,drg_skeletalInfernal.lvl,warrior,Red Skeletal Dragon,0,darkElement,It's battle cry can reach allies thousands of miles away.,Look for the dragon at the breeding grounds,dragon_skeletalInfernal_discovered_thumbnail.png,dragon_skeletal_undiscovered_thumbnail.png,dragonThumbnail_skeletalInfernal.png,dragonThumbnail_skeletal_undiscovered.png,T3C1WUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,30,4,3,43200,,3,10,,blueEggCurrency,egg_blue_V1.lvl,0-0,0-0,1,0,0,15,3,4,1,5,0,0,,,,1,,0,
T3C1SIdragon,0,Vazir,drg_chineseArcane.lvl,sorcerer,Cloud Spirit,3,windElement,Who needs wings when you have explosions?,Look for the dragon at the breeding grounds,dragon_chineseArcane_discovered_thumbnail.png,dragon_chinese_undiscovered_thumbnail.png,dragonThumbnail_chineseArcane.png,dragonThumbnail_chinese_undiscovered.png,T3C1SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,31,6,3,97200,,3,15,,blueEggCurrency,egg_blue_V2.lvl,0-0,0-0,1,0,0,15,3,5,1,8,0,0,,,,1,,0,
T3C1HEdragon,0,Drude,drg_stormGreen.lvl,hunter,Ancient Drake,4,windElement,Can this dragon ever be shot down?,Look for the dragon at the breeding grounds,dragon_stormGreen_discovered_thumbnail.png,dragon_storm_undiscovered_thumbnail.png,dragonThumbnail_stormGreen.png,dragonThumbnail_storm_undiscovered.png,T3C1HEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,32,8,3,164160,,3,20,,blueEggCurrency,egg_blue_V3.lvl,0-0,0-0,1,0,0,15,3,6,1,16,0,0,,,,1,,0,
T3C2SEdragon,0,Sahran,drg_earthSorcerer_v2.lvl,sorcerer,Earth Dragon,0,earthElement,This dragon lurks in swamps to attack unsuspecting prey.,Look for the dragon at the breeding grounds,dragon_earthSorcerer_v2_discovered_thumbnail.png,dragon_earthSorcerer2_undiscovered_thumbnail.png,dragonThumbnail_earthSorcerer_v2.png,dragonThumbnail_earthSorcerer_undiscovered.png,T3C2SEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,33,4,3,43200,,3,10,,blueEggCurrency,egg_blue_V4.lvl,0-0,0-0,1,1,0,15,3,7,1,5,0,0,,,,1,,0,
T3C2HUdragon,0,Bolt,drg_undead_skeletalHunter2_v2.lvl,hunter,Tomb Wyvern,3,darkElement,The heat of this dragons fury is said to have torched its very insides.,Look for the dragon at the breeding grounds,dragon_skeletalHunter2_v2_discovered_thumbnail.png,dragon_skeletalHunter2_undiscovered_thumbnail.png,dragonThumbnail_skeletalHunter_v2.png,dragonThumbnail_skeletalHunter_undiscovered.png,T3C2HUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,34,6,3,97200,,3,15,,blueEggCurrency,egg_blue_V5.lvl,0-0,0-0,1,1,0,15,3,8,1,8,0,0,,,,1,,0,
T3C2WFdragon,0,Kelsis,drg_classicRed.lvl,warrior,Bombardment Dragon,4,fireElement,This dragon is said to consume more than a thousand sheep a meal.,Look for the dragon at the breeding grounds,dragon_classicRed_discovered_thumbnail.png,dragon_classicRed_undiscovered_thumbnail.png,dragonThumbnail_classicRed.png,dragonThumbnail_classicRed_undiscovered.png,T3C2WFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,35,8,3,164160,,3,20,,blueEggCurrency,egg_blue_V6.lvl,0-0,0-0,1,1,0,15,3,9,1,16,0,0,,,,1,,0,
T3C3SUdragon,0,Etzel,drg_wingedSerpentAcid.lvl,sorcerer,Spiked Serpent,4,earthElement,This dragon hypnotizes its victims into submission.,Look for the dragon at the breeding grounds,dragon_serpentAcid_discovered_thumbnail.png,dragon_serpent_undiscovered_thumbnail.png,dragonThumbnail_acid.png,dragonThumbnail_acid_undiscovered.png,T3C3SUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,36,8,3,164160,,3,20,,blueEggCurrency,egg_blue_V7.lvl,0-0,0-0,1,1,0,15,3,10,1,16,0,0,,,,1,,0,
T3C3HFdragon,0,Kobahl,drg_undead_spectral_v3.lvl,hunter,Burstfire Dragon,0,darkElement,It once ate a whole bag of rubies.,Look for the dragon at the breeding grounds,dragon_spectral_v3_discovered_thumbnail.png,dragon_spectral_undiscovered_thumbnail.png,dragonThumbnail_spectral_v3.png,dragonThumbnail_spectral_undiscovered.png,T3C3HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,37,4,3,43200,,3,10,,blueEggCurrency,egg_blue_V8.lvl,0-0,0-0,1,1,0,15,3,11,1,5,0,0,,,,1,,0,
T3C3WIdragon,0,Baldr,drg_tankIce.lvl,warrior,Sapphire Golem,0,iceElement,Not to be confused with ice those blue crystals on its body are actually quite warm.,Look for the dragon at the breeding grounds,dragon_tankIce_discovered_thumbnail.png,dragon_tank_undiscovered_thumbnail.png,dragonThumbnail_tankIce.png,dragonThumbnail_tank_undiscovered.png,T3C3WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,38,4,3,43200,,3,10,,blueEggCurrency,egg_blue_V9.lvl,0-0,0-0,1,1,0,15,3,12,1,5,0,0,,,,1,,0,
T3C3HIdragon,0,Viscus,drg_stormBlue.lvl,hunter,Depth Drake,3,windElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_stormBlue_discovered_thumbnail.png,dragon_storm_undiscovered_thumbnail.png,dragonThumbnail_stormBlue.png,dragonThumbnail_storm_undiscovered.png,T3C3HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,39,6,3,97200,,3,15,,blueEggCurrency,egg_blue_V13.lvl,0-0,0-0,1,1,0,15,3,13,1,8,0,0,,,,1,,0,
T3GGHEdragon,0,Numen,drg_hunter2_v1.lvl,hunter,Wasteland Stalker,4,fireElement,A sneaky one. A glance is all it needs to destroy you.,Look for the dragon at the breeding grounds,dragon_hunter2_v1_discovered_thumbnail.png,dragon_hunter2_undiscovered_thumbnail.png,dragonThumbnail_hunter_v1.png,dragonThumbnail_hunter_undiscovered.png,T3GGHEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,40,1,3,3,,3,10,,blueEggCurrency,egg_blue_V15.lvl,0-0,0-0,1,1,0,15,3,14,1,,0,1,,,,1,,0,
T4C1SFdragon,0,Ankor,drg_chineseGold_level01.lvl,sorcerer,Golden Spirit,3,iceElement,Mane like a lion. Breath like a dragon.,Look for the dragon at the breeding grounds,dragon_chineseGold_discovered_thumbnail.png,dragon_chinese_undiscovered_thumbnail.png,dragonThumbnail_chineseGold.png,dragonThumbnail_chinese_undiscovered.png,T4C1SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,41,6,4,172800,,4,15,,orangeEggCurrency,egg_orange_V1.lvl,0-0,0-0,1,1,0,15,4,1,1,20,0,0,,,,1,,0,
