identifier,displayName,location,fragments,defaultMaxAmountOwned,priority,compatibleDragons,sceneFile,iconFile,undiscoveredIconFile,flavorText,canBeObtained,h
iron_mask_W_red_armor,Warrior's Red Iron Mask,helm,1,,39,T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_red_neckSet.lvl,icon_ar_iron_generic_helm_red.png,icon_ar_iron_generic_helm_locked.png,"Red iron helmet, fitted for a certain set of cunning Warriors.",1,
iron_body_W_red_armor,Warrior's Red Iron Plate,body,1,,40,T1C1WFdragon|T4C3WFdragon|T1C2WIdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_red_legSet.lvl,icon_ar_iron_generic_body_red.png,icon_ar_iron_generic_body_locked.png,"Red iron battle armor, fitted for a certain set of cunning Warriors.",1,
iron_tail_W_red_armor,Warrior's Red Iron Harness,tail,1,,41,T1C1WFdragon|T4C3WFdragon|T1C2WIdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_red_tailSet.lvl,icon_ar_iron_generic_tail_red.png,icon_ar_iron_generic_tail_locked.png,"Red iron battle harness, fitted for a certain set of cunning Warriors.",1,
iron_pauldron_W_red_armor,Warrior's Red Iron Pauldron,wing,1,,42,T1C1WFdragon|T4C3WFdragon,ar_iron_classC_red_wingSet.lvl,icon_ar_iron_generic_wing_red.png,icon_ar_iron_generic_wing_locked.png,"Red iron wing pauldron, fitted specifically for Draco and Ruma.",1,
iron_mask_S_red_armor,Sorcerer's Red Iron Mask,helm,1,,43,seaDragon|T7C2SEdragon,ar_iron_classD_red_neckSet.lvl,icon_ar_iron_generic_helm_red.png,icon_ar_iron_generic_helm_locked.png,"Red iron helmet, fitted specifically for Jaculus and Cryzan.",1,
iron_body_S_red_armor,Sorcerer's Red Iron Plate,body,1,,44,seaDragon|T7C2SEdragon|mayPlatinumDragon,ar_iron_classD_red_legSet.lvl,icon_ar_iron_generic_body_red.png,icon_ar_iron_generic_body_locked.png,"Red iron battle armor, fitted for a chosen few Sorcerers.",1,
iron_tail_S_red_armor,Sorcerer's Red Iron Harness,tail,1,,45,seaDragon|T7C2SEdragon|mayPlatinumDragon,ar_iron_classD_red_tailSet.lvl,icon_ar_iron_generic_tail_red.png,icon_ar_iron_generic_tail_locked.png,"Red iron battle harness, fitted for a chosen few Sorcerers.",1,
iron_pauldron_S_red_armor,Sorcerer's Red Iron Pauldron,wing,1,,46,seaDragon|T7C2SEdragon,ar_iron_classD_red_wingSet.lvl,icon_ar_iron_generic_wing_red.png,icon_ar_iron_generic_wing_locked.png,"Red iron wing pauldron, fitted specifically for Jaculus and Cryzan.",1,
iron_mask_B_blue_armor,Brute's Blue Iron Mask,helm,1,,47,T6C3WFdragon,ar_iron_classA_blue_neckSet.lvl,icon_ar_iron_generic_helm_blue.png,icon_ar_iron_generic_helm_locked.png,"Blue iron helmet, fitted specifically for Khrysos.",1,
iron_body_B_blue_armor,Brute's Blue Iron Plate,body,1,,48,T6C3WFdragon|T6C1WFdragon|bixiDragon|T4C3WEdragon,ar_iron_classA_blue_legSet.lvl,icon_ar_iron_generic_body_blue.png,icon_ar_iron_generic_body_locked.png,"Blue iron battle armor, fitted for a select few brutish Warriors.",1,
iron_tail_B_blue_armor,Brute's Blue Iron Harness,tail,1,,49,T6C3WFdragon|T6C1WFdragon|bixiDragon|T4C3WEdragon,ar_iron_classA_blue_tailSet.lvl,icon_ar_iron_generic_tail_blue.png,icon_ar_iron_generic_tail_locked.png,"Blue iron battle harness, fitted for a select few brutish Warriors.",1,
iron_pauldron_B_blue_armor,Brute's Blue Iron Pauldron,wing,1,,50,T6C3WFdragon|T6C1WFdragon|bixiDragon,ar_iron_classA_blue_wingSet.lvl,icon_ar_iron_generic_wing_blue.png,icon_ar_iron_generic_wing_locked.png,"Blue iron wing pauldron, fitted for a select few brutish Warriors.",1,
iron_mask_H_blue_armor,Hunter's Blue Iron Mask,helm,1,,51,T5C1HIdragon|T6C3HIdragon,ar_iron_classB_blue_neckSet.lvl,icon_ar_iron_classB_helm_blue.png,icon_ar_iron_classB_helm_locked.png,"Blue iron helmet, fitted specifically for Whalegnawer and Garzev.",1,
iron_body_H_blue_armor,Hunter's Blue Iron Plate,body,1,,52,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_blue_legSet.lvl,icon_ar_iron_classB_body_blue.png,icon_ar_iron_classB_body_locked.png,"Blue iron battle armor, fitted for certain Hunters.",1,
iron_tail_H_blue_armor,Hunter's Blue Iron Harness,tail,1,,53,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_blue_tailSet.lvl,icon_ar_iron_classB_tail_blue.png,icon_ar_iron_classB_tail_locked.png,"Blue iron battle harness, fitted for certain Hunters.",1,
iron_pauldron_H_blue_armor,Hunter's Blue Iron Pauldron,wing,1,,54,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_blue_wingSet.lvl,icon_ar_iron_classB_wing_blue.png,icon_ar_iron_classB_wing_locked.png,"Blue iron wing pauldron, fitted for certain Hunters.",1,
iron_mask_W_blue_armor,Warrior's Blue Iron Mask,helm,1,,55,T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_blue_neckSet.lvl,icon_ar_iron_generic_helm_blue.png,icon_ar_iron_generic_helm_locked.png,"Blue iron helmet, fitted for a certain set of cunning Warriors.",1,
iron_body_W_blue_armor,Warrior's Blue Iron Plate,body,1,,56,T1C1WFdragon|T4C3WFdragon|T1C2WIdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_blue_legSet.lvl,icon_ar_iron_generic_body_blue.png,icon_ar_iron_generic_body_locked.png,"Blue iron battle armor, fitted for a certain set of cunning Warriors.",1,
iron_tail_W_blue_armor,Warrior's Blue Iron Harness,tail,1,,57,T1C1WFdragon|T4C3WFdragon|T1C2WIdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_blue_tailSet.lvl,icon_ar_iron_generic_tail_blue.png,icon_ar_iron_generic_tail_locked.png,"Blue iron battle harness, fitted for a certain set of cunning Warriors.",1,
iron_pauldron_W_blue_armor,Warrior's Blue Iron Pauldron,wing,1,,58,T1C1WFdragon|T4C3WFdragon,ar_iron_classC_blue_wingSet.lvl,icon_ar_iron_generic_wing_blue.png,icon_ar_iron_generic_wing_locked.png,"Blue iron wing pauldron, fitted specifically for Draco and Ruma.",1,
iron_mask_S_blue_armor,Sorcerer's Blue Iron Mask,helm,1,,59,seaDragon|T7C2SEdragon,ar_iron_classD_blue_neckSet.lvl,icon_ar_iron_generic_helm_blue.png,icon_ar_iron_generic_helm_locked.png,"Blue iron helmet, fitted specifically for Jaculus and Cryzan.",1,
iron_body_S_blue_armor,Sorcerer's Blue Iron Plate,body,1,,60,seaDragon|T7C2SEdragon|mayPlatinumDragon,ar_iron_classD_blue_legSet.lvl,icon_ar_iron_generic_body_blue.png,icon_ar_iron_generic_body_locked.png,"Blue iron battle armor, fitted for a chosen few Sorcerers.",1,
iron_tail_S_blue_armor,Sorcerer's Blue Iron Harness,tail,1,,61,seaDragon|T7C2SEdragon|mayPlatinumDragon,ar_iron_classD_blue_tailSet.lvl,icon_ar_iron_generic_tail_blue.png,icon_ar_iron_generic_tail_locked.png,"Blue iron battle harness, fitted for a chosen few Sorcerers.",1,
iron_pauldron_S_blue_armor,Sorcerer's Blue Iron Pauldron,wing,1,,62,seaDragon|T7C2SEdragon,ar_iron_classD_blue_wingSet.lvl,icon_ar_iron_generic_wing_blue.png,icon_ar_iron_generic_wing_locked.png,"Blue iron wing pauldron, fitted specifically for Jaculus and Cryzan.",1,
egyptian_mask_B_armor,Golden Desert Drake Helm,helm,1,,63,OrmarrLTODragon|T6C3HUdragon,ar_egyptian_classB_neckSet.lvl,icon_ar_egyptian_helm.png,icon_ar_egyptian_helm_locked.png,"Golden desert helm, fitted specifically for Ormarr and Consurgens.",1,
egyptian_body_B_armor,Golden Desert Drake Plate,body,1,,64,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_legSet.lvl,icon_ar_egyptian_body.png,icon_ar_egyptian_body_locked.png,"Golden desert armor, fitted for certain Hunters.",1,
egyptian_tail_B_armor,Golden Desert Drake Harness,tail,1,,65,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_tailSet.lvl,icon_ar_egyptian_tail.png,icon_ar_egyptian_tail_locked.png,"Golden desert harness, fitted for certain Hunters.",1,
egyptian_mask_C_armor,Hydron's Golden Helm,helm,1,,66,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_neckSet.lvl,icon_ar_egyptian_helm.png,icon_ar_egyptian_helm_locked.png,"Golden desert helm, fitted specifically for Hydron and Arborius.",1,
egyptian_body_C_armor,Hydron's Golden Plate,body,1,,67,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_legSet.lvl,icon_ar_egyptian_body.png,icon_ar_egyptian_body_locked.png,"Golden desert armor, fitted specifically for Hydron and Arborius.",1,
egyptian_tail_C_armor,Hydron's Golden Harness,tail,1,,68,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_tailSet.lvl,icon_ar_egyptian_tail.png,icon_ar_egyptian_tail_locked.png,"Golden desert harness, fitted specifically for Hydron and Arborius.",1,
egyptian_mask_2H_armor,Golden Godking Armor,helm,1,,69,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_neckSet.lvl,icon_ar_egyptian_helm.png,icon_ar_egyptian_helm_locked.png,"Golden desert helm, fitted for two-headed dragons.",1,
egyptian_body_2H_armor,Golden Godking Plate,body,1,,70,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_legSet.lvl,icon_ar_egyptian_body.png,icon_ar_egyptian_body_locked.png,"Golden desert armor, fitted for two-headed dragons.",1,
egyptian_tail_2H_armor,Golden Godking Harness,tail,1,,71,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_tailSet.lvl,icon_ar_egyptian_tail.png,icon_ar_egyptian_tail_locked.png,"Golden desert harness, fitted for two-headed dragons.",1,
egyptian_mask_E_armor,Kaiju's Golden Helm,helm,1,,72,T7C3WIdragon,ar_egyptian_classE_neckSet.lvl,icon_ar_egyptian_helm.png,icon_ar_egyptian_helm_locked.png,"Golden desert helm, fitted specifically for Kaiju.",1,
egyptian_body_E_armor,Kaiju's Golden Plate,body,1,,73,T7C3WIdragon,ar_egyptian_classE_legSet.lvl,icon_ar_egyptian_body.png,icon_ar_egyptian_body_locked.png,"Golden desert armor, fitted specifically for Kaiju.",1,
egyptian_mask_D_armor,Golden Asp Helm,helm,1,,74,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_neckSet.lvl,icon_ar_egyptian_helm.png,icon_ar_egyptian_helm_locked.png,"Golden desert helm, fitted for serpents.",1,
egyptian_body_D_armor,Golden Asp Plate,body,1,,75,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_legSet.lvl,icon_ar_egyptian_body.png,icon_ar_egyptian_body_locked.png,"Golden desert armor, fitted for serpents.",1,
egyptian_tail_D_armor,Golden Asp Harness,tail,1,,76,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_tailSet.lvl,icon_ar_egyptian_tail.png,icon_ar_egyptian_tail_locked.png,"Golden desert harness, fitted for serpents.",1,
egyptian_amethyst_mask_B_armor,Amethyst Desert Drake Helm,helm,1,,77,OrmarrLTODragon|T6C3HUdragon,ar_egyptian_classB_amethyst_neckSet.lvl,icon_ar_egyptian_helm_amethyst.png,icon_ar_egyptian_helm_locked.png,"Amethyst desert helm, fitted specifically for Ormarr and Consurgens.",1,
egyptian_amethyst_body_B_armor,Amethyst Desert Drake Plate,body,1,,78,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_amethyst_legSet.lvl,icon_ar_egyptian_body_amethyst.png,icon_ar_egyptian_body_locked.png,"Amethyst desert armor, fitted for certain Hunters.",1,
egyptian_amethyst_tail_B_armor,Amethyst Desert Drake Harness,tail,1,,79,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_amethyst_tailSet.lvl,icon_ar_egyptian_tail_amethyst.png,icon_ar_egyptian_tail_locked.png,"Amethyst desert harness, fitted for certain Hunters.",1,
egyptian_amethyst_mask_C_armor,Hydron's Amethyst Helm,helm,1,,80,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_amethyst_neckSet.lvl,icon_ar_egyptian_helm_amethyst.png,icon_ar_egyptian_helm_locked.png,"Amethyst desert helm, fitted specifically for Hydron and Arborius.",1,
egyptian_amethyst_body_C_armor,Hydron's Amethyst Plate,body,1,,81,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_amethyst_legSet.lvl,icon_ar_egyptian_body_amethyst.png,icon_ar_egyptian_body_locked.png,"Amethyst desert armor, fitted specifically for Hydron and Arborius.",1,
egyptian_amethyst_tail_C_armor,Hydron's Amethyst Harness,tail,1,,82,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_amethyst_tailSet.lvl,icon_ar_egyptian_tail_amethyst.png,icon_ar_egyptian_tail_locked.png,"Amethyst desert harness, fitted specifically for Hydron and Arborius.",1,
egyptian_amethyst_mask_2H_armor,Amethyst Godking Armor,helm,1,,83,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_amethyst_neckSet.lvl,icon_ar_egyptian_helm_amethyst.png,icon_ar_egyptian_helm_locked.png,"Amethyst desert helm, fitted for two-headed dragons.",1,
egyptian_amethyst_body_2H_armor,Amethyst Godking Plate,body,1,,84,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_amethyst_legSet.lvl,icon_ar_egyptian_body_amethyst.png,icon_ar_egyptian_body_locked.png,"Amethyst desert armor, fitted for two-headed dragons.",1,
egyptian_amethyst_tail_2H_armor,Amethyst Godking Harness,tail,1,,85,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_amethyst_tailSet.lvl,icon_ar_egyptian_tail_amethyst.png,icon_ar_egyptian_tail_locked.png,"Amethyst desert harness, fitted for two-headed dragons.",1,
egyptian_amethyst_mask_E_armor,Kaiju's Amethyst Helm,helm,1,,86,T7C3WIdragon,ar_egyptian_classE_amethyst_neckSet.lvl,icon_ar_egyptian_helm_amethyst.png,icon_ar_egyptian_helm_locked.png,"Amethyst desert helm, fitted specifically for Kaiju.",1,
egyptian_amethyst_body_E_armor,Kaiju's Amethyst Plate,body,1,,87,T7C3WIdragon,ar_egyptian_classE_amethyst_legSet.lvl,icon_ar_egyptian_body_amethyst.png,icon_ar_egyptian_body_locked.png,"Amethyst desert armor, fitted specifically for Kaiju.",1,
egyptian_amethyst_mask_D_armor,Amethyst Asp Helm,helm,1,,88,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_amethyst_neckSet.lvl,icon_ar_egyptian_helm_amethyst.png,icon_ar_egyptian_helm_locked.png,"Amethyst desert helm, fitted for serpents.",1,
egyptian_amethyst_body_D_armor,Amethyst Asp Plate,body,1,,89,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_amethyst_legSet.lvl,icon_ar_egyptian_body_amethyst.png,icon_ar_egyptian_body_locked.png,"Amethyst desert armor, fitted for serpents.",1,
egyptian_amethyst_tail_D_armor,Amethyst Asp Harness,tail,1,,90,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_amethyst_tailSet.lvl,icon_ar_egyptian_tail_amethyst.png,icon_ar_egyptian_tail_locked.png,"Amethyst desert harness, fitted for serpents.",1,
egyptian_emerald_mask_B_armor,Emerald Desert Drake Helm,helm,1,,91,OrmarrLTODragon|T6C3HUdragon,ar_egyptian_classB_emerald_neckSet.lvl,icon_ar_egyptian_helm_emerald.png,icon_ar_egyptian_helm_locked.png,"Emerald desert helm, fitted specifically for Ormarr and Consurgens.",1,
egyptian_emerald_body_B_armor,Emerald Desert Drake Plate,body,1,,92,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_emerald_legSet.lvl,icon_ar_egyptian_body_emerald.png,icon_ar_egyptian_body_locked.png,"Emerald desert armor, fitted for certain Hunters.",1,
egyptian_emerald_tail_B_armor,Emerald Desert Drake Harness,tail,1,,93,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_emerald_tailSet.lvl,icon_ar_egyptian_tail_emerald.png,icon_ar_egyptian_tail_locked.png,"Emerald desert harness, fitted for certain Hunters.",1,
egyptian_emerald_mask_C_armor,Hydron's Emerald Helm,helm,1,,94,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_emerald_neckSet.lvl,icon_ar_egyptian_helm_emerald.png,icon_ar_egyptian_helm_locked.png,"Emerald desert helm, fitted specifically for Hydron and Arborius.",1,
egyptian_emerald_body_C_armor,Hydron's Emerald Plate,body,1,,95,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_emerald_legSet.lvl,icon_ar_egyptian_body_emerald.png,icon_ar_egyptian_body_locked.png,"Emerald desert armor, fitted specifically for Hydron and Arborius.",1,
egyptian_emerald_tail_C_armor,Hydron's Emerald Harness,tail,1,,96,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_emerald_tailSet.lvl,icon_ar_egyptian_tail_emerald.png,icon_ar_egyptian_tail_locked.png,"Emerald desert harness, fitted specifically for Hydron and Arborius.",1,
