identifier,inBundle,sceneFile,podFile,imageFile,rawFile,comments,h
stru_resource_vault_level01_active01,0,stru_resource_vault_level01_active01.lvl,,,,,
stru_resource_vault_level01_active02,0,stru_resource_vault_level01_active02.lvl,,,,,
stru_resource_vault_level03_active01,0,stru_resource_vault_level03_active01.lvl,,,,,
stru_resource_vault_level03_active02,0,stru_resource_vault_level03_active02.lvl,,,,,
prop_monument_eventIsland,0,prop_monument_eventIsland.lvl,,,,,
ter_level03_eventIsland_homeBuilding,0,ter_level03_eventIsland_homeBuilding.lvl,,,,,
ter_level03_eventIsland_portalBuilding,0,ter_level03_eventIsland_portalBuilding.lvl,,,,,
prop_treasureChest_01,0,prop_treasureChest_01.lvl,,,,,
ter_level03_eventIsland_knightStatue,0,ter_level03_eventIsland_knightStatue.lvl,,,,,
prop_treasureChest_02,0,prop_treasureChest_02.lvl,,,,,
prop_treasureChest_03,0,prop_treasureChest_03.lvl,,,,,
whelpContainer,1,whelps_container.lvl,,,,,
runeAttachmentNode,1,rune_attachment_nodes.lvl,,,,,
flyingWhisp,1,drg_whelp_wisp.lvl,,,,,
iceShieldDeath,0,ice_shield_death.lvl,,,,,
shield_frozenTomb_formation,0,shield_frozenTomb_formation.lvl,,,,,
shield_frozenTomb_dissipation,0,shield_frozenTomb_dissipation.lvl,,,,,
armor_default_scene,1,placeholder_armor.lvl,,,,,
chest_open_gold,0,,,chest_open_gold.png,,,
chest_close_gold,0,,,chest_close_gold.png,,,
animation_openchest_cloud,0,,,animation_openchest_cloud.png,,,
animation_gold_rays,0,,,animation_gold_rays.png,,,
animation_single_lightning,0,,,animation_single_lightning.png,,,
animation_lightning_texture,0,,,animation_lightning_texture.png,,,
gacha_base_scene,0,drg_gacha.lvl,,,,This is used for native gacha base scene file.,
borrowTime_bubble,0,ptl_borrowTime_bubble.lvl,,,,,
borrowTime_bubble_death,0,ptl_borrowTime_bubble_death.lvl,,,,,
desert_crystal_death,0,ptl_desert_crystal_death.lvl,,,,,
timeShift_sandStorm,0,ptl_drg_timeShift_sandStorm.lvl,,,,,
timeShift_back,0,ptl_drg_timeShift_back.lvl,,,,,
northernLightsLightSceneFile,0,shield_northernLights_light.lvl,,,,,
northernLightsDarkSceneFile,0,shield_northernLights_dark.lvl,,,,,
northernLightsSupershotDeathSceneFile,0,shield_northernLights_supershot_death.lvl,,,,,
northernLightsOnBuildingHealSceneFile,0,bld_northernLights_light.lvl,,,,,
northernLightsOnBuildingRageSceneFile,0,bld_northernLights_dark.lvl,,,,,
crystallineShieldSceneFile,0,shield_crystallineShield.lvl,,,,,
crystallineShieldDeathSceneFile,0,shield_crystallineShield_death.lvl,,,,,
crystallineShieldDeathSuperSceneFile,0,shield_crystallineShield_death_super.lvl,,,,,
doomChainsSceneFile,0,ptl_doomChains_01.lvl,,,,,
dragonKillShipScene,0,drg_rigB_shipDestruction.lvl,,,,,
gift_box_close,0,,,gift_box.png,,,
gift_box_open,0,,,gift_box_open.png,,,
animation_gift_bg,0,,,animation_gift_bg.png,,,
dragonWithRiderShowcaseSceneFile,1,rider_pose_loc.lvl,,,,,
frostShieldSceneFile,0,shield_frostShield.lvl,,,,,
frostShieldDeathSceneFile,0,shield_frostShield_death.lvl,,,,,
frostShieldDeathSuperSceneFile,0,shield_frostShield_death_super.lvl,,,,,
bronzeDrake,0,,,drake_bronze.png,,,
ironDrake,0,,,drake_iron.png,,,
silverDrake,0,,,drake_silver.png,,,
goldDrake,0,,,drake_gold.png,,,
icon_primarch_controller,0,,,icon_primarch_controller.png,,,
icon_primarch_fighter,0,,,icon_primarch_fighter.png,,,
icon_primarch_rusher,0,,,icon_primarch_rusher.png,,,
icon_primarch_sieger,0,,,icon_primarch_sieger.png,,,
techCategoryBGImage,0,,,img_glow_tech_tree.png,,,
icon_region_level_01,0,,,icon_region_level_01.png,,,
icon_region_level_02,0,,,icon_region_level_02.png,,,
icon_region_level_03,0,,,icon_region_level_03.png,,,
icon_region_level_04,0,,,icon_region_level_04.png,,,
icon_region_level_05,0,,,icon_region_level_05.png,,,
stunDragonEffect,0,ptl_stuneffect_drg.lvl,,,,,
flakHealSceneFile,0,eff_flak_healGlow.lvl,,,,,
spectralFormSceneFile,0,spectralForm.lvl,,,,,
beastIcon,0,,,icon_beast.png,,,
flyingWhispValentines,1,drg_whelp_wispValentines.lvl,,,,,
attackArea_level05,1,,,,ter_level05_attackArea.POD,,
attackArea_level09,1,,,,ter_WM_01_attackArea.POD,,
terrain_level05,1,,,,ter_level05_scene.lvl,,
terrain_level09,1,,,,ter_wm_level01_scene.lvl,,!@#bkekmpiocfnojegi
