identifier,firstDragonIdentifier,secondDragonIdentifier,possibleRawEggDistribution,goldPossibleRawEggDistribution,eggNumber,h
90,T1C1SEdragon,T1C2SFdragon,deck0090:1,deck0090:1,1,
91,T1C1SEdragon,T1C3WEdragon,deck0091:1,deck0091:1,1,
92,T1C1SEdragon,T1C3HFdragon,deck0092:1,deck0092:1,1,
93,T1C1SEdragon,T1C3SIdragon,deck0093:1,deck0093:1,1,
94,T1C1SEdragon,T2C1HIdragon,deck0094:1,deck0094:1,1,
95,T1C1SEdragon,T2C1WEdragon,deck0095:1,deck0095:1,1,
96,T1C1SEdragon,T2C1SFdragon,deck0096:1,deck0096:1,1,
97,T1C1SEdragon,T2C1HUdragon,deck0097:1,deck0097:1,1,
98,T1C1SEdragon,T2C2WIdragon,deck0098:1,deck0098:1,1,
99,T1C1SEdragon,T2C2SUdragon,deck0099:1,deck0099:1,1,
100,T1C1SEdragon,T2C2HEdragon,deck0100:1,deck0100:1,1,
101,T1C1SEdragon,T2C3WUdragon,deck0101:1,deck0101:1,1,
102,T1C1SEdragon,T2C3HFdragon,deck0102:1,deck0102:1,1,
103,T1C1SEdragon,T2C3SFdragon,deck0103:1,deck0103:1,1,
104,T1C1SEdragon,T2C3HIdragon,deck0104:1,deck0104:1,1,
105,T1C1SEdragon,T2C3WEdragon,deck0105:1,deck0105:1,1,
106,T1C1SEdragon,T3C1WEdragon,deck0106:1,deck0106:1,1,
107,T1C1SEdragon,T3C1SFdragon,deck0107:1,deck0107:1,1,
108,T1C1SEdragon,T3C1HIdragon,deck0108:1,deck0108:1,1,
109,T1C1SEdragon,T3C1WUdragon,deck0109:1,deck0109:1,1,
110,T1C1SEdragon,T3C1SIdragon,deck0110:1,deck0110:1,1,
111,T1C1SEdragon,T3C1HEdragon,deck0111:1,deck0111:1,1,
112,T1C1SEdragon,T3C2SEdragon,deck0112:1,deck0112:1,1,
113,T1C1SEdragon,T3C2HUdragon,deck0113:1,deck0113:1,1,
114,T1C1SEdragon,T3C2WFdragon,deck0114:1,deck0114:1,1,
115,T1C1SEdragon,T3C3SUdragon,deck0115:1,deck0115:1,1,
116,T1C1SEdragon,T3C3HFdragon,deck0116:1,deck0116:1,1,
117,T1C1SEdragon,T3C3WIdragon,deck0117:1,deck0117:1,1,
118,T1C1SEdragon,T3C3HIdragon,deck0118:1,deck0118:1,1,
119,T1C1SEdragon,T4C1SFdragon,deck0119:1,deck0119:1,1,
120,T1C1SEdragon,T4C1HIdragon,deck0120:1,deck0120:1,1,
121,T1C1SEdragon,T4C1WUdragon,deck0121:1,deck0121:1,1,
122,T1C1SEdragon,T4C1SDdragon,deck0122:1,deck0122:1,1,
123,T1C1SEdragon,T4C1HEdragon,deck0123:1,deck0123:1,1,
124,T1C1SEdragon,T4C1HFdragon,deck0124:1,deck0124:1,1,
125,T1C1SEdragon,T4C2WIdragon,deck0125:1,deck0125:1,1,
126,T1C1SEdragon,T4C2SEdragon,deck0126:1,deck0126:1,1,
127,T1C1SEdragon,T4C2HUdragon,deck0127:1,deck0127:1,1,
128,T1C1SEdragon,T4C2WDdragon,deck0128:1,deck0128:1,1,
129,T1C1SEdragon,T4C3SIdragon,deck0129:1,deck0129:1,1,
130,T1C1SEdragon,T4C3WFdragon,deck0130:1,deck0130:1,1,
131,T1C1SEdragon,T4C3HDdragon,deck0131:1,deck0131:1,1,
132,T1C1SEdragon,T4C3SUdragon,deck0132:1,deck0132:1,1,
133,T1C1SEdragon,T4C3WEdragon,deck0133:1,deck0133:1,1,
134,T1C1SEdragon,T5C1WUdragon,deck0134:1,deck0134:1,1,
135,T1C1SEdragon,T5C1HEdragon,deck0135:1,deck0135:1,1,
136,T1C1SEdragon,T5C1WDdragon,deck0136:1,deck0136:1,1,
137,T1C1SEdragon,T5C1SFdragon,deck0137:1,deck0137:1,1,
138,T1C1SEdragon,T5C1HIdragon,deck0138:1,deck0138:1,1,
139,T1C1SEdragon,T5C2SEdragon,deck0139:1,deck0139:1,1,
140,T1C1SEdragon,T5C2HDdragon,deck0140:1,deck0140:1,1,
141,T1C1SEdragon,T5C2WIdragon,deck0141:1,deck0141:1,1,
142,T1C1SEdragon,T5C2SUdragon,deck0142:1,deck0142:1,1,
143,T1C1SEdragon,T5C3HFdragon,deck0143:1,deck0143:1,1,
144,T1C1SEdragon,T5C3WFdragon,deck0144:1,deck0144:1,1,
145,T1C1SEdragon,T5C3SDdragon,deck0145:1,deck0145:1,1,
146,T1C1SEdragon,T5C3HUdragon,deck0146:1,deck0146:1,1,
147,T1C1SEdragon,T5C3WEdragon,deck0147:1,deck0147:1,1,
148,T1C1SEdragon,T5C3SIdragon,deck0148:1,deck0148:1,1,
149,T1C1SEdragon,T6C1SIdragon,deck0149:1,deck0149:1,1,
150,T1C1SEdragon,T6C1WFdragon,deck0150:1,deck0150:1,1,
151,T1C1SEdragon,T6C1HEdragon,deck0151:1,deck0151:1,1,
152,T1C1SEdragon,T6C1WDdragon,deck0152:1,deck0152:1,1,
153,T1C1SEdragon,T6C1WIdragon,deck0153:1,deck0153:1,1,
154,T1C1SEdragon,T6C1SFdragon,deck0154:1,deck0154:1,1,
155,T1C1SEdragon,T6C2HUdragon,deck0155:1,deck0155:1,1,
156,T1C1SEdragon,T6C3HIdragon,deck0156:1,deck0156:1,1,
157,T1C1SEdragon,T6C3HUdragon,deck0157:1,deck0157:1,1,
158,T1C1SEdragon,T6C3WFdragon,deck0158:1,deck0158:1,1,
159,T1C1SEdragon,T6C3SDdragon,deck0159:1,deck0159:1,1,
160,T1C1SEdragon,T6C3SEdragon,deck0160:1,deck0160:1,1,
161,T1C1SEdragon,T7C1WDdragon,deck0161:1,deck0161:1,1,
162,T1C1SEdragon,T7C1SIdragon,deck0162:1,deck0162:1,1,
163,T1C1SEdragon,T7C1HFdragon,deck0163:1,deck0163:1,1,
164,T1C1SEdragon,T7C2WIdragon,deck0164:1,deck0164:1,1,
165,T1C1SEdragon,T7C2SEdragon,deck0165:1,deck0165:1,1,
166,T1C1SEdragon,T7C2HFdragon,deck0166:1,deck0166:1,1,
167,T1C1SEdragon,T7C2HDdragon,deck0167:1,deck0167:1,1,
168,T1C1SEdragon,T7C3WEdragon,deck0168:1,deck0168:1,1,
169,T1C1SEdragon,T7C3SFdragon,deck0169:1,deck0169:1,1,
170,T1C1SEdragon,T7C3SIdragon,deck0170:1,deck0170:1,1,
171,T1C1SEdragon,T7C3WIdragon,deck0171:1,deck0171:1,1,
172,T1C1SEdragon,T7C3HDdragon,deck0172:1,deck0172:1,1,
173,T1C1HIdragon,T1C2WIdragon,deck0173:1,deck0173:1,1,
174,T1C1HIdragon,T1C2HEdragon,deck0174:1,deck0174:1,2,
175,T1C1HIdragon,T1C2SFdragon,deck0175:1,deck0175:1,1,
176,T1C1HIdragon,T1C3WEdragon,deck0176:1,deck0176:1,1,
177,T1C1HIdragon,T1C3HFdragon,deck0177:1,deck0177:1,1,
178,T1C1HIdragon,T1C3SIdragon,deck0178:1,deck0178:1,1,
179,T1C1HIdragon,T2C1HIdragon,deck0179:1,deck0179:1,1,
180,T1C1HIdragon,T2C1WEdragon,deck0180:1,deck0180:1,1,
181,T1C1HIdragon,T2C1SFdragon,deck0181:1,deck0181:1,1,
182,T1C1HIdragon,T2C1HUdragon,deck0182:1,deck0182:1,1,
183,T1C1HIdragon,T2C2WIdragon,deck0183:1,deck0183:1,1,
184,T1C1HIdragon,T2C2SUdragon,deck0184:1,deck0184:1,1,
185,T1C1HIdragon,T2C2HEdragon,deck0185:1,deck0185:1,1,
186,T1C1HIdragon,T2C3WUdragon,deck0186:1,deck0186:1,1,
187,T1C1HIdragon,T2C3SEdragon,deck0187:1,deck0187:1,1,
188,T1C1HIdragon,T2C3HFdragon,deck0188:1,deck0188:1,1,
189,T1C1HIdragon,T2C3SFdragon,deck0189:1,deck0189:1,1,
190,T1C1HIdragon,T2C3HIdragon,deck0190:1,deck0190:1,1,
191,T1C1HIdragon,T2C3WEdragon,deck0191:1,deck0191:1,1,
192,T1C1HIdragon,T3C1WEdragon,deck0192:1,deck0192:1,1,
193,T1C1HIdragon,T3C1SFdragon,deck0193:1,deck0193:1,1,
194,T1C1HIdragon,T3C1HIdragon,deck0194:1,deck0194:1,1,
195,T1C1HIdragon,T3C1WUdragon,deck0195:1,deck0195:1,1,
196,T1C1HIdragon,T3C1SIdragon,deck0196:1,deck0196:1,1,
197,T1C1HIdragon,T3C1HEdragon,deck0197:1,deck0197:1,1,
198,T1C1HIdragon,T3C2SEdragon,deck0198:1,deck0198:1,1,
199,T1C1HIdragon,T3C2HUdragon,deck0199:1,deck0199:1,1,
200,T1C1HIdragon,T3C2WFdragon,deck0200:1,deck0200:1,1,
201,T1C1HIdragon,T3C3SUdragon,deck0201:1,deck0201:1,1,
202,T1C1HIdragon,T3C3HFdragon,deck0202:1,deck0202:1,1,
203,T1C1HIdragon,T3C3WIdragon,deck0203:1,deck0203:1,1,
204,T1C1HIdragon,T3C3HIdragon,deck0204:1,deck0204:1,1,
205,T1C1HIdragon,T4C1SFdragon,deck0205:1,deck0205:1,1,
206,T1C1HIdragon,T4C1HIdragon,deck0206:1,deck0206:1,1,
207,T1C1HIdragon,T4C1WUdragon,deck0207:1,deck0207:1,1,
208,T1C1HIdragon,T4C1SDdragon,deck0208:1,deck0208:1,1,
209,T1C1HIdragon,T4C1HEdragon,deck0209:1,deck0209:1,1,
210,T1C1HIdragon,T4C1HFdragon,deck0210:1,deck0210:1,1,
211,T1C1HIdragon,T4C2WIdragon,deck0211:1,deck0211:1,1,
212,T1C1HIdragon,T4C2SEdragon,deck0212:1,deck0212:1,1,
213,T1C1HIdragon,T4C2HUdragon,deck0213:1,deck0213:1,1,
214,T1C1HIdragon,T4C2WDdragon,deck0214:1,deck0214:1,1,
215,T1C1HIdragon,T4C3SIdragon,deck0215:1,deck0215:1,1,
216,T1C1HIdragon,T4C3WFdragon,deck0216:1,deck0216:1,1,
217,T1C1HIdragon,T4C3HDdragon,deck0217:1,deck0217:1,1,
218,T1C1HIdragon,T4C3SUdragon,deck0218:1,deck0218:1,1,
219,T1C1HIdragon,T4C3WEdragon,deck0219:1,deck0219:1,1,
220,T1C1HIdragon,T5C1WUdragon,deck0220:1,deck0220:1,1,
221,T1C1HIdragon,T5C1HEdragon,deck0221:1,deck0221:1,1,
222,T1C1HIdragon,T5C1WDdragon,deck0222:1,deck0222:1,1,
223,T1C1HIdragon,T5C1SFdragon,deck0223:1,deck0223:1,1,
224,T1C1HIdragon,T5C1HIdragon,deck0224:1,deck0224:1,1,
225,T1C1HIdragon,T5C2SEdragon,deck0225:1,deck0225:1,1,
226,T1C1HIdragon,T5C2HDdragon,deck0226:1,deck0226:1,1,
227,T1C1HIdragon,T5C2WIdragon,deck0227:1,deck0227:1,1,
228,T1C1HIdragon,T5C2SUdragon,deck0228:1,deck0228:1,1,
229,T1C1HIdragon,T5C3HFdragon,deck0229:1,deck0229:1,1,
230,T1C1HIdragon,T5C3WFdragon,deck0230:1,deck0230:1,1,
231,T1C1HIdragon,T5C3SDdragon,deck0231:1,deck0231:1,1,
232,T1C1HIdragon,T5C3HUdragon,deck0232:1,deck0232:1,1,
233,T1C1HIdragon,T5C3WEdragon,deck0233:1,deck0233:1,1,
234,T1C1HIdragon,T5C3SIdragon,deck0234:1,deck0234:1,1,
235,T1C1HIdragon,T6C1SIdragon,deck0235:1,deck0235:1,1,
236,T1C1HIdragon,T6C1WFdragon,deck0236:1,deck0236:1,1,
237,T1C1HIdragon,T6C1HEdragon,deck0237:1,deck0237:1,1,
238,T1C1HIdragon,T6C1WDdragon,deck0238:1,deck0238:1,1,
239,T1C1HIdragon,T6C1WIdragon,deck0239:1,deck0239:1,1,
240,T1C1HIdragon,T6C1SFdragon,deck0240:1,deck0240:1,1,
241,T1C1HIdragon,T6C2HUdragon,deck0241:1,deck0241:1,1,
242,T1C1HIdragon,T6C3HIdragon,deck0242:1,deck0242:1,1,
243,T1C1HIdragon,T6C3HUdragon,deck0243:1,deck0243:1,1,
244,T1C1HIdragon,T6C3WFdragon,deck0244:1,deck0244:1,1,
245,T1C1HIdragon,T6C3SDdragon,deck0245:1,deck0245:1,1,
246,T1C1HIdragon,T6C3SEdragon,deck0246:1,deck0246:1,1,
247,T1C1HIdragon,T7C1WDdragon,deck0247:1,deck0247:1,1,
248,T1C1HIdragon,T7C1SIdragon,deck0248:1,deck0248:1,1,
249,T1C1HIdragon,T7C1HFdragon,deck0249:1,deck0249:1,1,
250,T1C1HIdragon,T7C2WIdragon,deck0250:1,deck0250:1,1,
251,T1C1HIdragon,T7C2SEdragon,deck0251:1,deck0251:1,1,
252,T1C1HIdragon,T7C2HFdragon,deck0252:1,deck0252:1,1,
253,T1C1HIdragon,T7C2HDdragon,deck0253:1,deck0253:1,1,
254,T1C1HIdragon,T7C3WEdragon,deck0254:1,deck0254:1,1,
255,T1C1HIdragon,T7C3SFdragon,deck0255:1,deck0255:1,1,
256,T1C1HIdragon,T7C3SIdragon,deck0256:1,deck0256:1,1,
257,T1C1HIdragon,T7C3WIdragon,deck0257:1,deck0257:1,1,
258,T1C1HIdragon,T7C3HDdragon,deck0258:1,deck0258:1,1,
259,T1C2WIdragon,T1C2HEdragon,deck0259:1,deck0259:1,1,
260,T1C2WIdragon,T1C2SFdragon,deck0260:1,deck0260:1,1,
261,T1C2WIdragon,T1C3WEdragon,deck0261:1,deck0261:1,1,
262,T1C2WIdragon,T1C3HFdragon,deck0262:1,deck0262:1,1,
263,T1C2WIdragon,T1C3SIdragon,deck0263:1,deck0263:1,1,
264,T1C2WIdragon,T2C1HIdragon,deck0264:1,deck0264:1,1,
265,T1C2WIdragon,T2C1WEdragon,deck0265:1,deck0265:1,1,
266,T1C2WIdragon,T2C1SFdragon,deck0266:1,deck0266:1,1,
267,T1C2WIdragon,T2C1HUdragon,deck0267:1,deck0267:1,1,
268,T1C2WIdragon,T2C2WIdragon,deck0268:1,deck0268:1,1,
269,T1C2WIdragon,T2C2SUdragon,deck0269:1,deck0269:1,1,
270,T1C2WIdragon,T2C2HEdragon,deck0270:1,deck0270:1,1,
271,T1C2WIdragon,T2C3WUdragon,deck0271:1,deck0271:1,1,
272,T1C2WIdragon,T2C3SEdragon,deck0272:1,deck0272:1,1,
273,T1C2WIdragon,T2C3HFdragon,deck0273:1,deck0273:1,1,
274,T1C2WIdragon,T2C3SFdragon,deck0274:1,deck0274:1,1,
275,T1C2WIdragon,T2C3HIdragon,deck0275:1,deck0275:1,1,
276,T1C2WIdragon,T2C3WEdragon,deck0276:1,deck0276:1,1,
277,T1C2WIdragon,T3C1WEdragon,deck0277:1,deck0277:1,1,
278,T1C2WIdragon,T3C1SFdragon,deck0278:1,deck0278:1,1,
279,T1C2WIdragon,T3C1HIdragon,deck0279:1,deck0279:1,1,
280,T1C2WIdragon,T3C1WUdragon,deck0280:1,deck0280:1,1,
281,T1C2WIdragon,T3C1SIdragon,deck0281:1,deck0281:1,1,
282,T1C2WIdragon,T3C1HEdragon,deck0282:1,deck0282:1,1,
283,T1C2WIdragon,T3C2SEdragon,deck0283:1,deck0283:1,1,
284,T1C2WIdragon,T3C2HUdragon,deck0284:1,deck0284:1,1,
285,T1C2WIdragon,T3C2WFdragon,deck0285:1,deck0285:1,1,
286,T1C2WIdragon,T3C3SUdragon,deck0286:1,deck0286:1,1,
287,T1C2WIdragon,T3C3HFdragon,deck0287:1,deck0287:1,1,
288,T1C2WIdragon,T3C3WIdragon,deck0288:1,deck0288:1,1,
289,T1C2WIdragon,T3C3HIdragon,deck0289:1,deck0289:1,1,
290,T1C2WIdragon,T4C1SFdragon,deck0290:1,deck0290:1,1,
291,T1C2WIdragon,T4C1HIdragon,deck0291:1,deck0291:1,1,
292,T1C2WIdragon,T4C1WUdragon,deck0292:1,deck0292:1,1,
293,T1C2WIdragon,T4C1SDdragon,deck0293:1,deck0293:1,1,
294,T1C2WIdragon,T4C1HEdragon,deck0294:1,deck0294:1,1,
295,T1C2WIdragon,T4C1HFdragon,deck0295:1,deck0295:1,1,
296,T1C2WIdragon,T4C2WIdragon,deck0296:1,deck0296:1,1,
297,T1C2WIdragon,T4C2SEdragon,deck0297:1,deck0297:1,1,
298,T1C2WIdragon,T4C2HUdragon,deck0298:1,deck0298:1,1,
299,T1C2WIdragon,T4C2WDdragon,deck0299:1,deck0299:1,1,
300,T1C2WIdragon,T4C3SIdragon,deck0300:1,deck0300:1,1,
301,T1C2WIdragon,T4C3WFdragon,deck0301:1,deck0301:1,1,
302,T1C2WIdragon,T4C3HDdragon,deck0302:1,deck0302:1,1,
303,T1C2WIdragon,T4C3SUdragon,deck0303:1,deck0303:1,1,
304,T1C2WIdragon,T4C3WEdragon,deck0304:1,deck0304:1,1,
305,T1C2WIdragon,T5C1WUdragon,deck0305:1,deck0305:1,1,
306,T1C2WIdragon,T5C1HEdragon,deck0306:1,deck0306:1,1,
307,T1C2WIdragon,T5C1WDdragon,deck0307:1,deck0307:1,1,
308,T1C2WIdragon,T5C1SFdragon,deck0308:1,deck0308:1,1,
309,T1C2WIdragon,T5C1HIdragon,deck0309:1,deck0309:1,1,
310,T1C2WIdragon,T5C2SEdragon,deck0310:1,deck0310:1,1,
311,T1C2WIdragon,T5C2HDdragon,deck0311:1,deck0311:1,1,
312,T1C2WIdragon,T5C2WIdragon,deck0312:1,deck0312:1,1,
313,T1C2WIdragon,T5C2SUdragon,deck0313:1,deck0313:1,1,
314,T1C2WIdragon,T5C3HFdragon,deck0314:1,deck0314:1,1,
315,T1C2WIdragon,T5C3WFdragon,deck0315:1,deck0315:1,1,
316,T1C2WIdragon,T5C3SDdragon,deck0316:1,deck0316:1,1,
317,T1C2WIdragon,T5C3HUdragon,deck0317:1,deck0317:1,1,
318,T1C2WIdragon,T5C3WEdragon,deck0318:1,deck0318:1,1,
319,T1C2WIdragon,T5C3SIdragon,deck0319:1,deck0319:1,1,
320,T1C2WIdragon,T6C1SIdragon,deck0320:1,deck0320:1,1,
321,T1C2WIdragon,T6C1WFdragon,deck0321:1,deck0321:1,1,
322,T1C2WIdragon,T6C1HEdragon,deck0322:1,deck0322:1,1,
323,T1C2WIdragon,T6C1WDdragon,deck0323:1,deck0323:1,1,
324,T1C2WIdragon,T6C1WIdragon,deck0324:1,deck0324:1,1,
325,T1C2WIdragon,T6C1SFdragon,deck0325:1,deck0325:1,1,
326,T1C2WIdragon,T6C2HUdragon,deck0326:1,deck0326:1,1,
327,T1C2WIdragon,T6C3HIdragon,deck0327:1,deck0327:1,1,
328,T1C2WIdragon,T6C3HUdragon,deck0328:1,deck0328:1,1,
329,T1C2WIdragon,T6C3WFdragon,deck0329:1,deck0329:1,1,
330,T1C2WIdragon,T6C3SDdragon,deck0330:1,deck0330:1,1,
331,T1C2WIdragon,T6C3SEdragon,deck0331:1,deck0331:1,1,
332,T1C2WIdragon,T7C1WDdragon,deck0332:1,deck0332:1,1,
333,T1C2WIdragon,T7C1SIdragon,deck0333:1,deck0333:1,1,
334,T1C2WIdragon,T7C1HFdragon,deck0334:1,deck0334:1,1,
335,T1C2WIdragon,T7C2WIdragon,deck0335:1,deck0335:1,1,
336,T1C2WIdragon,T7C2SEdragon,deck0336:1,deck0336:1,1,
337,T1C2WIdragon,T7C2HFdragon,deck0337:1,deck0337:1,1,
338,T1C2WIdragon,T7C2HDdragon,deck0338:1,deck0338:1,1,
339,T1C2WIdragon,T7C3WEdragon,deck0339:1,deck0339:1,1,
340,T1C2WIdragon,T7C3SFdragon,deck0340:1,deck0340:1,1,
341,T1C2WIdragon,T7C3SIdragon,deck0341:1,deck0341:1,1,
342,T1C2WIdragon,T7C3WIdragon,deck0342:1,deck0342:1,1,
343,T1C2WIdragon,T7C3HDdragon,deck0343:1,deck0343:1,1,
344,T1C2HEdragon,T1C2SFdragon,deck0344:1,deck0344:1,1,
345,T1C2HEdragon,T1C3WEdragon,deck0345:1,deck0345:1,1,
346,T1C2HEdragon,T1C3HFdragon,deck0346:1,deck0346:1,1,
347,T1C2HEdragon,T1C3SIdragon,deck0347:1,deck0347:1,1,
348,T1C2HEdragon,T2C1HIdragon,deck0348:1,deck0348:1,1,
349,T1C2HEdragon,T2C1WEdragon,deck0349:1,deck0349:1,1,
350,T1C2HEdragon,T2C1SFdragon,deck0350:1,deck0350:1,1,
351,T1C2HEdragon,T2C1HUdragon,deck0351:1,deck0351:1,1,
352,T1C2HEdragon,T2C2WIdragon,deck0352:1,deck0352:1,1,
353,T1C2HEdragon,T2C2SUdragon,deck0353:1,deck0353:1,1,
354,T1C2HEdragon,T2C2HEdragon,deck0354:1,deck0354:1,1,
355,T1C2HEdragon,T2C3WUdragon,deck0355:1,deck0355:1,1,
