identifier,soundIdentifiersDict,rotationStrategy,volumeMultiplier,duration,isAmbient,minVolume,maxVolume,h
intro_slide_1,comic_background01:1,play_all,1,,0,0,0,
intro_slide_2,comic_background01:1,play_all,1,,0,0,0,
intro_slide_3,comic_background03:1,play_all,1,,0,0,0,
intro_slide_4,comic_background04:1,play_all,1,,0,0,0,
water_tapped,water_splash01:0.25|water_splash02:0.25|water_splash03:0.25|water_splash04:0.25,random,1,,1,0,0.5,
research_building_tapped,tap_research_building:0,play_all,0.8,,0,0,0,
breeding_building_tapped,tap_breeding_building:0,play_all,1,,0,0,0,
incubator_building_tapped,tap_incubator_building:0,play_all,1,,0,0,0,
stable_building_tapped,tap_stable_building:0,play_all,1,,0,0,0,
forge_building_tapped,tap_forge_building:0,play_all,0.85,,0,0,0,
storage_building_tapped,tap_storage_building:0,play_all,1,,0,0,0,
warrior_summoned,spell_summon_warrior:0,play_all,1,,0,0,0,
eventIsland_rising,eventIsland_rising:1,play_all,1,,0,0,0,
eventIsland_sinking,eventIsland_sinking:1,play_all,1,,0,0,0,
freeze_attack_charge,spell_freeze_charge:0,play_all,1,,1,0,1,
freeze_attack_release,spell_freeze_cast:0,play_all,1,,1,0,1,
freeze_attack_hit,spell_freeze_impact:0,play_all,1,,1,0,1,
dragon_die,sorcerer_select01:1|sorcerer_select02:2,circular,0.75,,0,0,0,
lockdown_charge,spell_lockdown_charge:0,play_all,1,,1,0,1,
lockdown_release,spell_lockdown_release:0,play_all,1,,1,0,1,
shield_blast,shield_blast:0,play_all,1,,0,0,0,
shield_blast_end,shield_blast_end:0,play_all,1,,0,0,0,
seismic_screech,seismic_screech:0,play_all,1,,0,0,0,
earthquake_charge,spell_earthquake_charge:0,play_all,1,,1,0,1,
earthquake_cast,spell_earthquake_cast:0,play_all,1,,1,0,1,
earthquake_impact,spell_earthquake_impact:0,play_all,1,,1,0,1,
noxious_vines_charge,spell_noxious_vines_charge:0,play_all,1,,1,0,1,
noxious_vines_cast,spell_noxious_vines_cast:0,play_all,1,,1,0,1,
noxious_vines_impact,spell_noxious_vines_impact:0,play_all,1,,1,0,1,
uproot_charge,spell_uproot_charge:0,play_all,1,,1,0,1,
celestial_dance_tapped,spell_celestial_dance:0,play_all,1,,1,0,1,
uproot_cast,spell_uproot_cast:0,play_all,1,,1,0,1,
uproot_impact,spell_uproot_impact:0,play_all,1,,1,0,1,
dreadful_roar_tapped,spell_dreadfulRoar_cast:0,play_all,1,,1,0,1,
crystalline_shield_tapped,spell_crystallineShield_cast,play_all,1,,1,0,1,
malefic_breath_tapped,spell_maleficBreath_cast,play_all,1,,1,0,1,
southern_cross_tapped,spell_southernCross_cast,play_all,1,,1,0,1,
northern_lights_tapped,spell_northernLights_cast,play_all,1,,1,0,1,
elemental_barrier_cast,spell_elemental_barrier:0,play_all,1,,1,0,1,
dissipate_cast,spell_dissipate_cast:0,play_all,1,,1,0,1,
dissipate_impact,spell_dissipate_impact:0,play_all,1,,1,0,1,
berserk_cast,spell_berserk:0,play_all,1,,1,0,1,
isolation_cast,spell_isolation:0,play_all,1,,1,0,1,
consume_cast,spell_consume:0,play_all,1,,1,0,1,
lightspeed_cast,spell_lightspeed:0,play_all,1,,1,0,1,
nova_cast,spell_nova:0,play_all,1,,1,0,1,
flash_cast,spell_flash:0,play_all,1,,1,0,1,
summonHellspawn_cast,spell_summonHellspawn:0,play_all,1,,1,0,1,
riptide_cast,spell_riptide_cast:0,play_all,1,,1,0,1,
riptide_impact,spell_riptide_impact:0,play_all,1,,1,0,1,
tidal_surge_cast,spell_tidal_surge_cast:0,play_all,1,,1,0,1,
tidal_surge_charge,spell_tidal_surge_charge:0,play_all,1,,1,0,1,
tidal_surge_impact,spell_tidal_surge_impact:0,play_all,1,,1,0,1,
shield_assault,spell_shield_assault:0,play_all,1,,1,0,1,
bloodfury,spell_bloodfury:0,play_all,1,,1,0,1,
riptide,spell_riptide:0,play_all,1,,1,0,1,
frost_shield,spell_frost_shield:0,play_all,1,,1,0,1,
adaptive_resist,spell_adaptive_resist:0,play_all,1,,1,0,1,
seeker_shots_cast,spell_seeker_shots_cast:0,play_all,1,,1,0,1,
ghostfire_blast_cast,spell_ghostfire_blast_cast:0,play_all,1,,1,0,1,
ghostfire_blast_charge,spell_ghostfire_blast_charge:0,play_all,1,,1,0,1,
ghostfire_wreath,spell_ghostfire_wreath:0,play_all,1,,1,0,1,
regenerate,spell_regenerate:0,play_all,1,,1,0,1,
solar_strike_cast,spell_solar_strike_cast:0,play_all,1,,1,0,1,
solar_strike_charge,spell_solar_strike_charge:0,play_all,1,,1,0,1,
springs_renewal_cast,spell_springs_renewal_cast:0,play_all,1,,1,0,1,
springs_renewal_charge,spell_springs_renewal_charge:0,play_all,1,,1,0,1,
summers_purification_cast,spell_summers_purification_cast:0,play_all,1,,1,0,1,
summers_purification_charge,spell_summers_purification_charge:0,play_all,1,,1,0,1,
vanish,spell_vanish:0,play_all,1,,1,0,1,
winters_bite,spell_winters_bite:0,play_all,1,,1,0,1,
absorb_magic,spell_absorb_magic:0,play_all,1,,1,0,1,
adaptive_flak_resist,spell_adaptive_flak_resist:0,play_all,1,,1,0,1,
death_stare_cast,spell_death_stare_cast:0,play_all,1,,1,0,1,
death_stare_trigger,spell_death_stare_trigger:0,play_all,1,,1,0,1,
ferocious_shield_cast,spell_ferocious_shield_cast:0,play_all,1,,1,0,1,
heavenly_winds_cast,spell_heavenly_winds_cast:0,play_all,1,,1,0,1,
magic_barrier_cast,spell_magic_barrier_cast:0,play_all,1,,1,0,1,
storm_shield_cast,spell_storm_shield_cast:0,play_all,1,,1,0,1,
everlastinghunt_cast,spell_everlastinghunt_cast,play_all,1,,1,0,1,
explosiveaegis_cast,spell_explosiveaegis_cast,play_all,1,,1,0,1,
explosiveaegis_explode,spell_explosiveaegis_explode,play_all,1,,1,0,1,
heatstroke_cast,spell_heatstroke_cast,play_all,1,,1,0,1,
echoing_blast_cast,spell_echoing_blast:0,play_all,1,,1,0,1,
syphon_strike_cast,spell_syphon_strike_cast:0,play_all,1,,1,0,1,
syphon_strike_trigger,spell_syphon_strike_trigger:0,play_all,1,,1,0,1,
shadow_dispersal_cast,spell_shadow_dispersal:0,play_all,1,,1,0,1,
stoneform_cast,spell_stoneform_cast:0,play_all,1,,1,0,1,
elemental_bubble_cast,spell_elemental_bubble:0,play_all,1,,1,0,1,
rainbow_shot_cast,spell_rainbow_shot_cast:0,play_all,1,,1,0,1,
rainbow_shot_trigger,spell_rainbow_shot_trigger:0,play_all,1,,1,0,1,
spectral_form_cast,spell_spectral_form:0,play_all,1,,1,0,1,
crippling_chill_prepare,spell_crippling_chill_prepare:0,play_all,1,,1,0,1,
crippling_chill_fire,spell_crippling_chill_fire:0,play_all,1,,1,0,1,
energize_cast,spell_energize:0,play_all,1,,1,0,1,
ethereal_chains_prepare,spell_ethereal_chains_prepare:0,play_all,1,,1,0,1,
ethereal_chains_fire,spell_ethereal_chains_fire:0,play_all,1,,1,0,1,
flash_freeze_cast,spell_flash_freeze_cast:0,play_all,1,,1,0,1,
shadowstrike_cast,spell_shadowstrike_cast:0,play_all,1,,1,0,1,
scarletFever_cast,spell_scarletFever_cast:0,play_all,1,,1,0,1,
mystify_cast,spell_mystify_cast:0,play_all,1,,1,0,1,
harrowingBolt_cast,spell_harrowingBolt_cast:0,play_all,1,,1,0,1,
inferno_cast,spell_inferno_cast:0,play_all,1,,1,0,1,
enshroud_cast,spell_enshroud_cast:0,play_all,1,,1,0,1,
death_knell_cast,spell_death_knell_cast:0,play_all,1,,1,0,1,
ectoplasmic_breath_cast,spell_ectoplasmic_breath_cast:0,play_all,1,,1,0,1,
soul_barrage_cast,spell_soul_barrage_cast:0,play_all,1,,1,0,1,
alter_fate_cast,spell_alter_fate_cast:0,play_all,1,,1,0,1,
time_stop_cast,spell_time_stop_cast:0,play_all,1,,1,0,1,
snowblind_cast,spell_snowblind_cast:0,play_all,1,,1,0,1,
hunters_mark_cast,spell_hunters_mark_cast:0,play_all,1,,1,0,1,
hunters_mark_prepare,spell_hunters_mark_prepare:0,play_all,1,,1,0,1,
spearSalvo_cast,spell_spearSalvo_cast:0,play_all,1,,1,0,1,
staticBlast_cast,spell_staticBlast_cast:0,play_all,1,,1,0,1,
staticBlast_prepare,spell_staticBlast_prepare:0,play_all,1,,1,0,1,
coldsnap_cast,spell_coldsnap_cast:0,play_all,1,,1,0,1,
coldsnap_prepare,spell_coldsnap_prepare:0,play_all,1,,1,0,1,
dragonfire_missile_cast,spell_dragonfire_missile_cast:0,play_all,1,,1,0,1,
debilitating_sludge_cast,spell_debilitating_sludge_cast:0,play_all,1,,1,0,1,
miasmic_breath_cast,spell_miasmic_breath_cast:0,play_all,1,,1,0,1,
summon_puppet_cast,spell_summon_puppet_cast:0,play_all,1,,1,0,1,
onslaught_cast,spell_onslaught_cast:0,play_all,1,,1,0,1,
burning_hatred_cast,spell_burning_hatred_cast:0,play_all,1,,1,0,1,
incinerate_cast,spell_incinerate_cast:0,play_all,1,,1,0,1,
moonshroud_cast,spell_moonshroud_cast:0,play_all,1,,1,0,1,
ragnarok_cast,spell_ragnarok_cast:0,play_all,1,,1,0,1,
ragnarok_prepare,spell_ragnarok_prepare:0,play_all,1,,1,0,1,
solar_volley_cast,spell_solar_volley_cast:0,play_all,1,,1,0,1,
breath_of_the_drowned_cast,spell_breath_of_the_drowned_cast:0,play_all,1,,1,0,1,
purifying_aegis_cast,spell_purifying_aegis_cast:0,play_all,1,,1,0,1,
protective_talisman_cast,spell_protective_talisman_cast:0,play_all,1,,1,0,1,
slice_prepare,spell_slice_prepare:0,play_all,1,,1,0,1,
slice_cast,spell_slice_cast:0,play_all,1,,1,0,1,
thrust_prepare,spell_thrust_prepare:0,play_all,1,,1,0,1,
thrust_cast,spell_thrust_cast:0,play_all,1,,1,0,1,
execute_prepare,spell_execute_prepare:0,play_all,1,,1,0,1,
execute_cast,spell_execute_cast:0,play_all,1,,1,0,1,
fighting_spirit_cast,spell_fighting_spirit_cast:0,play_all,1,,1,0,1,
foxfire_bolt_prepare,spell_foxfire_bolt_prepare:0,play_all,1,,1,0,1,
foxfire_bolt_cast,spell_foxfire_bolt_cast:0,play_all,1,,1,0,1,
kitsune_mischief_cast,spell_kitsune_mischief_cast:0,play_all,1,,1,0,1,
scatter_cast,spell_scatter_cast:0,play_all,1,,1,0,1,
molten_barrier_cast,spell_molten_barrier_cast:0,play_all,1,,1,0,1,
eruption_cast,spell_eruption_cast:0,play_all,1,,1,0,1,
empty_audio,spell_empty_audio:0,play_all,1,,1,0,1,
frost_breath_cast,spell_frostBreath_cast:0,play_all,1,,1,0,1,
immolating_breath_cast,spell_immolatingBreath_cast:0,play_all,1,,1,0,1,
leeching_breath_cast,spell_leechingBreath_cast:0,play_all,1,,1,0,1,
revitalize_cast,spell_revitalize_cast:0,play_all,1,,1,0,1,
skulk_cast,spell_skulk_cast:0,play_all,1,,1,0,1,
hysteria_cast,spell_hysteria_cast:0,play_all,1,,1,0,1,
nourishing_shadows_cast,spell_nourishingShadows_cast:0,play_all,1,,1,0,1,
divine_storm_cast,spell_divineStorm_cast:0,play_all,1,,1,0,1,
invoker_ammo_fully_charged,unison_charge_recharge_finish:0,play_all,1,,1,0,1,
invoker_selected,invoker_select01:1|invoker_select02:2,circular,0.75,,0,0,0,
unison_charge_hit_building,invoker_attack_building_hit01:0.25|invoker_attack_building_hit02:0.25|invoker_attack_building_hit03:0.25|invoker_attack_building_hit04:0.25,random,1,,1,0.4,0.9,
unison_charge_fired,invoker_attack_release01:1|invoker_attack_release02:2|invoker_attack_release03:3|invoker_attack_release04:4,circular,0.75,,1,0.2,0.5,
unison_charge_recharging,unison_charge_recharge_start:0,play_all,1,,1,0,1,
deflectingGale_cast,spell_deflectingGale_cast:0,play_all,1,,1,0,1,
whirlpool_prepare,spell_whirlpool_prepare:0,play_all,1,,1,0,1,
whirlpool_cast,spell_whirlpool_cast:0,play_all,1,,1,0,1,
sandBlast_prepare,spell_sandBlast_prepare:0,play_all,1,,1,0,1,
sandBlast_cast,spell_sandBlast_cast:0,play_all,1,,1,0,1,
vaporShield_cast,spell_vaporShield_cast:0,play_all,1,,1,0,1,
causticSpines_cast,spell_causticSpines_cast:0,play_all,1,,1,0,1,
primordialBreath_cast,spell_primordialBreath_cast:0,play_all,1,,1,0,1,
primalShield_cast,spell_primalShield_cast:0,play_all,1,,1,0,1,
tanglingKelp_cast,spell_tanglingKelp_cast:0,play_all,1,,1,0,1,
crestingWave_prepare,spell_crestingWave_prepare:0,play_all,1,,1,0,1,
crestingWave_cast,spell_crestingWave_cast:0,play_all,1,,1,0,1,
invokeFreeze_prepare,spell_invokeFreeze_prepare:0,play_all,1,,1,0,1,
invokeFreeze_cast,spell_invokeFreeze_cast:0,play_all,1,,1,0,1,
underwhelmingFireball_prepare,spell_underwhelmingFireball_prepare1:0.33|spell_underwhelmingFireball_prepare2:0.33|spell_underwhelmingFireball_prepare3:0.34,random,1,,1,0,1,
underwhelmingFireball_cast,spell_underwhelmingFireball_cast1:0.33|spell_underwhelmingFireball_cast2:0.33|spell_underwhelmingFireball_cast3:0.34,random,1,,1,0,1,
getAngry_cast,spell_getAngry_cast:0,play_all,1,,1,0,1,
claimEggBalloon,claimEggBalloon,play_all,1,,1,1,1,
claimForgeBalloon,claimForgeBalloon,play_all,1,,1,1,1,
equipRune,equipRune,play_all,1,,1,1,1,
DailyCheckIn,DailyCheckIn,play_all,1,,1,1,1,
UpgradeEgg,UpgradeEgg,play_all,1,,1,1,1,
delirium_cast,spell_delirium_cast:0,play_all,1,,1,0,1,
defile_cast,spell_defile_cast:0,play_all,1,,1,0,1,
lightningSurge_cast,spell_lightningSurge_cast:0,play_all,1,,1,0,1,
lightningSurge_prepare,spell_lightningSurge_prepare:0,play_all,1,,1,0,1,
acidSpit_cast,spell_acidSpit_cast:0,play_all,1,,1,0,1,
locustCloud_cast,spell_locustCloud_cast:0,play_all,1,,1,0,1,
summonSwarm_cast,spell_summonSwarm_cast:0,play_all,1,,1,0,1,
swarmStrike_cast,spell_swarmStrike_cast:0,play_all,1,,1,0,1,
acidSpit_prepare,spell_acidSpit_prepare:0,play_all,1,,1,0,1,
meteor_prepare,spell_meteor_prepare:0,play_all,1,,1,0,1,
meteor_cast,spell_meteor_cast:0,play_all,1,,1,0,1,
invokeAssimilate_prepare,spell_invokeAssimilate_prepare:0,play_all,1,,1,0,1,
invokeAssimilate_cast,spell_invokeAssimilate_cast:0,play_all,1,,1,0,1,
writhe_cast,spell_writhe_cast:0,play_all,1,,1,0,1,
entropy_cast,spell_entropy_cast:0,play_all,1,,1,0,1,
roarFromBeyond_cast,spell_roarFromBeyond_cast:0,play_all,1,,1,0,1,
cosmicGaze_cast,spell_cosmicGaze_cast:0,play_all,1,,1,0,1,
evilEye_cast,spell_evilEye_cast:0,play_all,1,,1,0,1,
maskOfMisery_cast,spell_maskOfMisery_cast:0,play_all,1,,1,0,1,
maskOfMania_cast,spell_maskOfMania_cast:0,play_all,1,,1,0,1,
realityWarp_cast,spell_realityWarp_cast:0,play_all,1,,1,0,1,
mindSpike_prepare,spell_mindSpike_prepare:0,play_all,1,,1,0,1,
mindSpike_cast,spell_mindSpike_cast:0,play_all,1,,1,0,1,
whispers_of_madness_prepare,spell_whispers_of_madness_prepare:0,play_all,1,,1,0,1,
whispers_of_madness_cast,spell_whispers_of_madness_cast:0,play_all,1,,1,0,1,
bloodMist_cast,spell_bloodMist_cast:0,play_all,1,,1,0,1,
awaken_cast,spell_awaken_cast:0,play_all,1,,1,0,1,
touchOfTheDeep_prepare,spell_touchOfTheDeep_prepare:0,play_all,1,,1,0,1,
touchOfTheDeep_cast,spell_touchOfTheDeep_cast:0,play_all,1,,1,0,1,
elderSign_cast,spell_elderSign_cast:0,play_all,1,,1,0,1,
elderSign_explode,spell_elderSign_explode:0,play_all,1,,1,0,1,
synapticWave_cast,spell_synapticWave_cast:0,play_all,1,,1,0,1,
overcharge_cast,spell_overcharge_cast:0,play_all,1,,1,0,1,
ferociousDive_cast,spell_ferociousDive_cast:0,play_all,1,,1,0,1,
ravage_cast,spell_ravage_cast:0,play_all,1,,1,0,1,
marshBolt_prepare,spell_marshBolt_prepare:0,play_all,1,,1,0,1,
marshBolt_cast,spell_marshBolt_cast:0,play_all,1,,1,0,1,
prowl_cast,spell_prowl_cast:0,play_all,1,,1,0,1,
cathedral_destroyed,cathedral_destruction:0,play_all,1,,1,0,1,
bridge_destroyed_nde,bridge_destruction_nde:0,play_all,1,,1,0,1,
miningcart_destroyed,miningcart_destruction:0,play_all,1,,1,0,1,
airship_destroyed,airship_destruction:0,play_all,1,,1,0,1,
miningstructure_destroyed,miningstructure_destruction:0,play_all,1,,1,0,1,
chomp_prepare,spell_chomp_prepare:0,play_all,1,,1,0,1,
chomp_cast,spell_chomp_cast:0,play_all,1,,1,0,1,
wingGust_cast,spell_wingGust_cast1:0.33|spell_wingGust_cast2:0.33|spell_wingGust_cast3:0.34,random,1,,1,0,1,
stormBreath_cast,spell_stormBreath_cast:0,play_all,1,,1,0,1,
silentSwoop_cast,spell_silentSwoop_cast:0,play_all,1,,1,0,1,
snowdrift_prepare,spell_snowdrift_prepare:0,play_all,1,,1,0,1,
snowdrift_cast,spell_snowdrift_cast:0,play_all,1,,1,0,1,
battleScreech_cast,spell_battleScreech_cast:0,play_all,1,,1,0,1,
shiningSplendor_cast,spell_shiningSplendor_cast:0,play_all,1,,1,0,1,
gild_prepare,spell_gild_prepare:0,play_all,1,,1,0,1,
gild_cast,spell_gild_cast:0,play_all,1,,1,0,1,
avarice_cast,spell_avarice_cast:0,play_all,1,,1,0,1,
petrifyingGaze_cast,spell_petrifyingGaze_cast:0,play_all,1,,1,0,1,
gorgonsGuise_cast,spell_gorgonsGuise_cast:0,play_all,1,,1,0,1,
smother_prepare,spell_smother_prepare:0,play_all,1,,1,0,1,
smother_cast,spell_smother_cast:0,play_all,1,,1,0,1,
devour_cast,spell_devour_cast:0,play_all,1,,1,0,1,
devour_prepare,spell_devour_prepare:0,play_all,1,,1,0,1,
flameTorrent_start,spell_flameTorrent_start:0,play_all,1,,1,0,1,
flameTorrent_ramp,spell_flameTorrent_ramp:0,play_all,1,,1,0,1,
flameTorrent_max,spell_flameTorrent_max:0,play_all,1,,1,0,1,
ancientFury_cast,spell_ancientFury_cast:0,play_all,1,,1,0,1,
pitilessWail_cast,spell_pitilessWail_cast:0,play_all,1,,1,0,1,
markOfHunger_cast,spell_markOfHunger_cast:0,play_all,1,,1,0,1,
giftGiven_prepare,spell_giftGiven_prepare:0,play_all,1,,1,0,1,
giftGiven_cast,spell_giftGiven_cast:0,play_all,1,,1,0,1,
holidayHelper_cast,spell_holidayHelper_cast:0,play_all,1,,1,0,1,!@#geofaapenddilfkd
