identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,h
GoldStatueUpgrades_21,21,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level61,58972,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_22,22,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level64,69270,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_23,23,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level67,81366,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_24,24,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level70,95575,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_25,25,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level73,102923,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_26,26,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level76,110836,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_27,27,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level79,119358,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_28,28,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level82,128535,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_29,29,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level85,138418,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_30,30,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level88,149061,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_31,31,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level91,160522,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_32,32,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level94,172864,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_33,33,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level97,186155,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_34,34,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level100,200468,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_35,35,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level103,215883,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,!@#bckfcfbjbpannoeh
