identifier,commonIdentifier,level,maxTimes,debuffType,debuffEffectInfoIdentifier,radius,percentageIncreasedDamage,ragePoints,damageAsPercentageOfMaxHP,h
dreadfulRoar31,,31,100,gloomCloud,gloomCloud31,80,20,200,,
dreadfulRoar32,,32,100,gloomCloud,gloomCloud32,80,20,200,,
dreadfulRoar33,,33,100,gloomCloud,gloomCloud33,80,20,200,,
dreadfulRoar34,,34,100,gloomCloud,gloomCloud34,80,20,200,,
dreadfulRoar35,,35,100,gloomCloud,gloomCloud35,80,20,200,,
dreadfulRoar36,,36,100,gloomCloud,gloomCloud36,80,20,200,,
dreadfulRoar37,,37,100,gloomCloud,gloomCloud37,80,20,200,,
dreadfulRoar38,,38,100,gloomCloud,gloomCloud38,80,20,200,,
dreadfulRoar39,,39,100,gloomCloud,gloomCloud39,80,20,200,,
dreadfulRoar40,,40,100,gloomCloud,gloomCloud40,80,20,200,,
dreadfulRoar41,,41,100,gloomCloud,gloomCloud41,80,20,200,,
dreadfulRoar42,,42,100,gloomCloud,gloomCloud42,80,20,200,,
dreadfulRoar43,,43,100,gloomCloud,gloomCloud43,80,20,200,,
dreadfulRoar44,,44,100,gloomCloud,gloomCloud44,80,20,200,,
dreadfulRoar45,,45,100,gloomCloud,gloomCloud45,80,20,200,,
dreadfulRoar46,,46,100,gloomCloud,gloomCloud46,80,20,200,,
dreadfulRoar47,,47,100,gloomCloud,gloomCloud47,80,20,200,,
dreadfulRoar48,,48,100,gloomCloud,gloomCloud48,80,20,200,,
dreadfulRoar49,,49,100,gloomCloud,gloomCloud49,80,20,200,,
dreadfulRoar50,,50,100,gloomCloud,gloomCloud50,80,20,200,,
dreadfulRoar51,,51,100,gloomCloud,gloomCloud51,80,20,200,,
dreadfulRoar52,,52,100,gloomCloud,gloomCloud52,80,20,200,,
dreadfulRoar53,,53,100,gloomCloud,gloomCloud53,80,20,200,,
dreadfulRoar54,,54,100,gloomCloud,gloomCloud54,80,20,200,,
dreadfulRoar55,,55,100,gloomCloud,gloomCloud55,80,20,200,,
dreadfulRoar56,,56,100,gloomCloud,gloomCloud56,80,20,200,,
dreadfulRoar57,,57,100,gloomCloud,gloomCloud57,80,20,200,,
dreadfulRoar58,,58,100,gloomCloud,gloomCloud58,80,20,200,,
dreadfulRoar59,,59,100,gloomCloud,gloomCloud59,80,20,200,,
dreadfulRoar60,,60,100,gloomCloud,gloomCloud60,80,20,200,,
dreadfulRoar61,,61,100,gloomCloud,gloomCloud61,80,20,200,,
dreadfulRoar62,,62,100,gloomCloud,gloomCloud62,80,20,200,,
dreadfulRoar63,,63,100,gloomCloud,gloomCloud63,80,20,200,,
dreadfulRoar64,,64,100,gloomCloud,gloomCloud64,80,20,200,,
dreadfulRoar65,,65,100,gloomCloud,gloomCloud65,80,20,200,,
dreadfulRoar66,,66,100,gloomCloud,gloomCloud66,80,20,200,,
dreadfulRoar67,,67,100,gloomCloud,gloomCloud67,80,20,200,,
dreadfulRoar68,,68,100,gloomCloud,gloomCloud68,80,20,200,,
dreadfulRoar69,,69,100,gloomCloud,gloomCloud69,80,20,200,,
dreadfulRoar70,,70,100,gloomCloud,gloomCloud70,80,20,200,,
dreadfulRoar71,,71,100,gloomCloud,gloomCloud71,80,20,200,,
dreadfulRoar72,,72,100,gloomCloud,gloomCloud72,80,20,200,,
dreadfulRoar73,,73,100,gloomCloud,gloomCloud73,80,20,200,,
dreadfulRoar74,,74,100,gloomCloud,gloomCloud74,80,20,200,,
dreadfulRoar75,,75,100,gloomCloud,gloomCloud75,80,20,200,,
dreadfulRoar76,,76,100,gloomCloud,gloomCloud76,80,20,200,,
dreadfulRoar77,,77,100,gloomCloud,gloomCloud77,80,20,200,,
dreadfulRoar78,,78,100,gloomCloud,gloomCloud78,80,20,200,,
dreadfulRoar79,,79,100,gloomCloud,gloomCloud79,80,20,200,,
dreadfulRoar80,,80,100,gloomCloud,gloomCloud80,80,20,200,,
dreadfulRoar81,,81,100,gloomCloud,gloomCloud81,80,20,200,,
dreadfulRoar82,,82,100,gloomCloud,gloomCloud82,80,20,200,,
dreadfulRoar83,,83,100,gloomCloud,gloomCloud83,80,20,200,,
dreadfulRoar84,,84,100,gloomCloud,gloomCloud84,80,20,200,,
dreadfulRoar85,,85,100,gloomCloud,gloomCloud85,80,20,200,,
dreadfulRoar86,,86,100,gloomCloud,gloomCloud86,80,20,200,,
dreadfulRoar87,,87,100,gloomCloud,gloomCloud87,80,20,200,,
dreadfulRoar88,,88,100,gloomCloud,gloomCloud88,80,20,200,,
dreadfulRoar89,,89,100,gloomCloud,gloomCloud89,80,20,200,,
dreadfulRoar90,,90,100,gloomCloud,gloomCloud90,80,20,200,,
dreadfulRoar91,,91,100,gloomCloud,gloomCloud91,80,20,200,,
dreadfulRoar92,,92,100,gloomCloud,gloomCloud92,80,20,200,,
dreadfulRoar93,,93,100,gloomCloud,gloomCloud93,80,20,200,,
dreadfulRoar94,,94,100,gloomCloud,gloomCloud94,80,20,200,,
dreadfulRoar95,,95,100,gloomCloud,gloomCloud95,80,20,200,,
dreadfulRoar96,,96,100,gloomCloud,gloomCloud96,80,20,200,,
dreadfulRoar97,,97,100,gloomCloud,gloomCloud97,80,20,200,,
dreadfulRoar98,,98,100,gloomCloud,gloomCloud98,80,20,200,,
dreadfulRoar99,,99,100,gloomCloud,gloomCloud99,80,20,200,,
dreadfulRoar100,,100,100,gloomCloud,gloomCloud100,80,20,200,,
dreadfulRoar101,,101,100,gloomCloud,gloomCloud101,80,20,200,,
dreadfulRoar102,,102,100,gloomCloud,gloomCloud102,80,20,200,,
dreadfulRoar103,,103,100,gloomCloud,gloomCloud103,80,20,200,,
dreadfulRoar104,,104,100,gloomCloud,gloomCloud104,80,20,200,,
dreadfulRoar105,,105,100,gloomCloud,gloomCloud105,80,20,200,,
dreadfulRoar106,,106,100,gloomCloud,gloomCloud106,80,20,200,,
dreadfulRoar107,,107,100,gloomCloud,gloomCloud107,80,20,200,,
dreadfulRoar108,,108,100,gloomCloud,gloomCloud108,80,20,200,,
dreadfulRoar109,,109,100,gloomCloud,gloomCloud109,80,20,200,,
dreadfulRoar110,,110,100,gloomCloud,gloomCloud110,80,20,200,,
dreadfulRoar111,,111,100,gloomCloud,gloomCloud111,80,20,200,,
dreadfulRoar112,,112,100,gloomCloud,gloomCloud112,80,20,200,,
dreadfulRoar113,,113,100,gloomCloud,gloomCloud113,80,20,200,,
dreadfulRoar114,,114,100,gloomCloud,gloomCloud114,80,20,200,,
dreadfulRoar115,,115,100,gloomCloud,gloomCloud115,80,20,200,,
dreadfulRoar116,,116,100,gloomCloud,gloomCloud116,80,20,200,,
dreadfulRoar117,,117,100,gloomCloud,gloomCloud117,80,20,200,,
dreadfulRoar118,,118,100,gloomCloud,gloomCloud118,80,20,200,,
dreadfulRoar119,,119,100,gloomCloud,gloomCloud119,80,20,200,,
dreadfulRoar120,,120,100,gloomCloud,gloomCloud120,80,20,200,,
dreadfulRoar121,,121,100,gloomCloud,gloomCloud121,80,20,200,,
dreadfulRoar122,,122,100,gloomCloud,gloomCloud122,80,20,200,,
dreadfulRoar123,,123,100,gloomCloud,gloomCloud123,80,20,200,,
dreadfulRoar124,,124,100,gloomCloud,gloomCloud124,80,20,200,,
dreadfulRoar125,,125,100,gloomCloud,gloomCloud125,80,20,200,,
dreadfulRoar126,,126,100,gloomCloud,gloomCloud126,80,20,200,,
dreadfulRoar127,,127,100,gloomCloud,gloomCloud127,80,20,200,,
dreadfulRoar128,,128,100,gloomCloud,gloomCloud128,80,20,200,,
dreadfulRoar129,,129,100,gloomCloud,gloomCloud129,80,20,200,,
dreadfulRoar130,,130,100,gloomCloud,gloomCloud130,80,20,200,,
dreadfulRoar131,,131,100,gloomCloud,gloomCloud131,80,20,200,,
dreadfulRoar132,,132,100,gloomCloud,gloomCloud132,80,20,200,,
dreadfulRoar133,,133,100,gloomCloud,gloomCloud133,80,20,200,,
dreadfulRoar134,,134,100,gloomCloud,gloomCloud134,80,20,200,,
dreadfulRoar135,,135,100,gloomCloud,gloomCloud135,80,20,200,,
dreadfulRoar136,,136,100,gloomCloud,gloomCloud136,80,20,200,,
dreadfulRoar137,,137,100,gloomCloud,gloomCloud137,80,20,200,,
dreadfulRoar138,,138,100,gloomCloud,gloomCloud138,80,20,200,,
dreadfulRoar139,,139,100,gloomCloud,gloomCloud139,80,20,200,,
dreadfulRoar140,,140,100,gloomCloud,gloomCloud140,80,20,200,,
dreadfulRoar141,,141,100,gloomCloud,gloomCloud141,80,20,200,,
dreadfulRoar142,,142,100,gloomCloud,gloomCloud142,80,20,200,,
dreadfulRoar143,,143,100,gloomCloud,gloomCloud143,80,20,200,,
dreadfulRoar144,,144,100,gloomCloud,gloomCloud144,80,20,200,,
dreadfulRoar145,,145,100,gloomCloud,gloomCloud145,80,20,200,,
dreadfulRoar146,,146,100,gloomCloud,gloomCloud146,80,20,200,,
dreadfulRoar147,,147,100,gloomCloud,gloomCloud147,80,20,200,,
dreadfulRoar148,,148,100,gloomCloud,gloomCloud148,80,20,200,,
dreadfulRoar149,,149,100,gloomCloud,gloomCloud149,80,20,200,,
dreadfulRoar150,,150,100,gloomCloud,gloomCloud150,80,20,200,,
dreadfulRoar151,,151,100,gloomCloud,gloomCloud151,80,20,200,,
dreadfulRoar152,,152,100,gloomCloud,gloomCloud152,80,20,200,,
dreadfulRoar153,,153,100,gloomCloud,gloomCloud153,80,20,200,,
dreadfulRoar154,,154,100,gloomCloud,gloomCloud154,80,20,200,,
dreadfulRoar155,,155,100,gloomCloud,gloomCloud155,80,20,200,,
dreadfulRoar156,,156,100,gloomCloud,gloomCloud156,80,20,200,,
dreadfulRoar157,,157,100,gloomCloud,gloomCloud157,80,20,200,,
dreadfulRoar158,,158,100,gloomCloud,gloomCloud158,80,20,200,,
dreadfulRoar159,,159,100,gloomCloud,gloomCloud159,80,20,200,,
dreadfulRoar160,,160,100,gloomCloud,gloomCloud160,80,20,200,,
dreadfulRoar161,,161,100,gloomCloud,gloomCloud161,80,20,200,,
dreadfulRoar162,,162,100,gloomCloud,gloomCloud162,80,20,200,,
dreadfulRoar163,,163,100,gloomCloud,gloomCloud163,80,20,200,,
dreadfulRoar164,,164,100,gloomCloud,gloomCloud164,80,20,200,,
dreadfulRoar165,,165,100,gloomCloud,gloomCloud165,80,20,200,,
dreadfulRoar166,,166,100,gloomCloud,gloomCloud166,80,20,200,,
dreadfulRoar167,,167,100,gloomCloud,gloomCloud167,80,20,200,,
dreadfulRoar168,,168,100,gloomCloud,gloomCloud168,80,20,200,,
dreadfulRoar169,,169,100,gloomCloud,gloomCloud169,80,20,200,,
dreadfulRoar170,,170,100,gloomCloud,gloomCloud170,80,20,200,,
dreadfulRoar171,,171,100,gloomCloud,gloomCloud171,80,20,200,,
dreadfulRoar172,,172,100,gloomCloud,gloomCloud172,80,20,200,,
dreadfulRoar173,,173,100,gloomCloud,gloomCloud173,80,20,200,,
dreadfulRoar174,,174,100,gloomCloud,gloomCloud174,80,20,200,,
dreadfulRoar175,,175,100,gloomCloud,gloomCloud175,80,20,200,,
dreadfulRoar176,,176,100,gloomCloud,gloomCloud176,80,20,200,,
dreadfulRoar177,,177,100,gloomCloud,gloomCloud177,80,20,200,,
dreadfulRoar178,,178,100,gloomCloud,gloomCloud178,80,20,200,,
dreadfulRoar179,,179,100,gloomCloud,gloomCloud179,80,20,200,,
dreadfulRoar180,,180,100,gloomCloud,gloomCloud180,80,20,200,,
dreadfulRoar181,,181,100,gloomCloud,gloomCloud181,80,20,200,,
dreadfulRoar182,,182,100,gloomCloud,gloomCloud182,80,20,200,,
dreadfulRoar183,,183,100,gloomCloud,gloomCloud183,80,20,200,,
dreadfulRoar184,,184,100,gloomCloud,gloomCloud184,80,20,200,,
dreadfulRoar185,,185,100,gloomCloud,gloomCloud185,80,20,200,,
dreadfulRoar186,,186,100,gloomCloud,gloomCloud186,80,20,200,,
dreadfulRoar187,,187,100,gloomCloud,gloomCloud187,80,20,200,,
dreadfulRoar188,,188,100,gloomCloud,gloomCloud188,80,20,200,,
dreadfulRoar189,,189,100,gloomCloud,gloomCloud189,80,20,200,,
dreadfulRoar190,,190,100,gloomCloud,gloomCloud190,80,20,200,,
dreadfulRoar191,,191,100,gloomCloud,gloomCloud191,80,20,200,,
dreadfulRoar192,,192,100,gloomCloud,gloomCloud192,80,20,200,,
dreadfulRoar193,,193,100,gloomCloud,gloomCloud193,80,20,200,,
dreadfulRoar194,,194,100,gloomCloud,gloomCloud194,80,20,200,,
dreadfulRoar195,,195,100,gloomCloud,gloomCloud195,80,20,200,,
dreadfulRoar196,,196,100,gloomCloud,gloomCloud196,80,20,200,,
dreadfulRoar197,,197,100,gloomCloud,gloomCloud197,80,20,200,,
dreadfulRoar198,,198,100,gloomCloud,gloomCloud198,80,20,200,,
dreadfulRoar199,,199,100,gloomCloud,gloomCloud199,80,20,200,,
dreadfulRoar200,,200,100,gloomCloud,gloomCloud200,80,20,200,,
whiteDreadfulRoar1,whiteDreadfulRoar,1,100,gloomCloud,gloomCloud01,80,20,200,,
whiteDreadfulRoar2,whiteDreadfulRoar,2,100,gloomCloud,gloomCloud02,80,20,200,,
whiteDreadfulRoar3,whiteDreadfulRoar,3,100,gloomCloud,gloomCloud03,80,20,200,,
whiteDreadfulRoar4,whiteDreadfulRoar,4,100,gloomCloud,gloomCloud04,80,20,200,,
whiteDreadfulRoar5,whiteDreadfulRoar,5,100,gloomCloud,gloomCloud05,80,20,200,,
whiteDreadfulRoar6,whiteDreadfulRoar,6,100,gloomCloud,gloomCloud06,80,20,200,,
whiteDreadfulRoar7,whiteDreadfulRoar,7,100,gloomCloud,gloomCloud07,80,20,200,,
whiteDreadfulRoar8,whiteDreadfulRoar,8,100,gloomCloud,gloomCloud08,80,20,200,,
whiteDreadfulRoar9,whiteDreadfulRoar,9,100,gloomCloud,gloomCloud09,80,20,200,,
whiteDreadfulRoar10,whiteDreadfulRoar,10,100,gloomCloud,gloomCloud10,80,20,200,,
whiteDreadfulRoar11,whiteDreadfulRoar,11,100,gloomCloud,gloomCloud11,80,20,200,,
whiteDreadfulRoar12,whiteDreadfulRoar,12,100,gloomCloud,gloomCloud12,80,20,200,,
whiteDreadfulRoar13,whiteDreadfulRoar,13,100,gloomCloud,gloomCloud13,80,20,200,,
whiteDreadfulRoar14,whiteDreadfulRoar,14,100,gloomCloud,gloomCloud14,80,20,200,,
whiteDreadfulRoar15,whiteDreadfulRoar,15,100,gloomCloud,gloomCloud15,80,20,200,,
whiteDreadfulRoar16,whiteDreadfulRoar,16,100,gloomCloud,gloomCloud16,80,20,200,,
whiteDreadfulRoar17,whiteDreadfulRoar,17,100,gloomCloud,gloomCloud17,80,20,200,,
whiteDreadfulRoar18,whiteDreadfulRoar,18,100,gloomCloud,gloomCloud18,80,20,200,,
whiteDreadfulRoar19,whiteDreadfulRoar,19,100,gloomCloud,gloomCloud19,80,20,200,,
whiteDreadfulRoar20,whiteDreadfulRoar,20,100,gloomCloud,gloomCloud20,80,20,200,,
whiteDreadfulRoar21,whiteDreadfulRoar,21,100,gloomCloud,gloomCloud21,80,20,200,,
whiteDreadfulRoar22,whiteDreadfulRoar,22,100,gloomCloud,gloomCloud22,80,20,200,,
whiteDreadfulRoar23,whiteDreadfulRoar,23,100,gloomCloud,gloomCloud23,80,20,200,,
whiteDreadfulRoar24,whiteDreadfulRoar,24,100,gloomCloud,gloomCloud24,80,20,200,,
whiteDreadfulRoar25,whiteDreadfulRoar,25,100,gloomCloud,gloomCloud25,80,20,200,,
whiteDreadfulRoar26,whiteDreadfulRoar,26,100,gloomCloud,gloomCloud26,80,20,200,,
whiteDreadfulRoar27,whiteDreadfulRoar,27,100,gloomCloud,gloomCloud27,80,20,200,,
whiteDreadfulRoar28,whiteDreadfulRoar,28,100,gloomCloud,gloomCloud28,80,20,200,,
whiteDreadfulRoar29,whiteDreadfulRoar,29,100,gloomCloud,gloomCloud29,80,20,200,,
whiteDreadfulRoar30,whiteDreadfulRoar,30,100,gloomCloud,gloomCloud30,80,20,200,,
whiteDreadfulRoar31,whiteDreadfulRoar,31,100,gloomCloud,gloomCloud31,80,20,200,,
whiteDreadfulRoar32,whiteDreadfulRoar,32,100,gloomCloud,gloomCloud32,80,20,200,,
whiteDreadfulRoar33,whiteDreadfulRoar,33,100,gloomCloud,gloomCloud33,80,20,200,,
whiteDreadfulRoar34,whiteDreadfulRoar,34,100,gloomCloud,gloomCloud34,80,20,200,,
whiteDreadfulRoar35,whiteDreadfulRoar,35,100,gloomCloud,gloomCloud35,80,20,200,,
whiteDreadfulRoar36,whiteDreadfulRoar,36,100,gloomCloud,gloomCloud36,80,20,200,,
whiteDreadfulRoar37,whiteDreadfulRoar,37,100,gloomCloud,gloomCloud37,80,20,200,,
whiteDreadfulRoar38,whiteDreadfulRoar,38,100,gloomCloud,gloomCloud38,80,20,200,,
whiteDreadfulRoar39,whiteDreadfulRoar,39,100,gloomCloud,gloomCloud39,80,20,200,,
whiteDreadfulRoar40,whiteDreadfulRoar,40,100,gloomCloud,gloomCloud40,80,20,200,,
whiteDreadfulRoar41,whiteDreadfulRoar,41,100,gloomCloud,gloomCloud41,80,20,200,,
whiteDreadfulRoar42,whiteDreadfulRoar,42,100,gloomCloud,gloomCloud42,80,20,200,,
whiteDreadfulRoar43,whiteDreadfulRoar,43,100,gloomCloud,gloomCloud43,80,20,200,,
whiteDreadfulRoar44,whiteDreadfulRoar,44,100,gloomCloud,gloomCloud44,80,20,200,,
whiteDreadfulRoar45,whiteDreadfulRoar,45,100,gloomCloud,gloomCloud45,80,20,200,,
whiteDreadfulRoar46,whiteDreadfulRoar,46,100,gloomCloud,gloomCloud46,80,20,200,,
whiteDreadfulRoar47,whiteDreadfulRoar,47,100,gloomCloud,gloomCloud47,80,20,200,,
whiteDreadfulRoar48,whiteDreadfulRoar,48,100,gloomCloud,gloomCloud48,80,20,200,,
whiteDreadfulRoar49,whiteDreadfulRoar,49,100,gloomCloud,gloomCloud49,80,20,200,,
whiteDreadfulRoar50,whiteDreadfulRoar,50,100,gloomCloud,gloomCloud50,80,20,200,,
whiteDreadfulRoar51,whiteDreadfulRoar,51,100,gloomCloud,gloomCloud51,80,20,200,,
whiteDreadfulRoar52,whiteDreadfulRoar,52,100,gloomCloud,gloomCloud52,80,20,200,,
whiteDreadfulRoar53,whiteDreadfulRoar,53,100,gloomCloud,gloomCloud53,80,20,200,,
whiteDreadfulRoar54,whiteDreadfulRoar,54,100,gloomCloud,gloomCloud54,80,20,200,,
whiteDreadfulRoar55,whiteDreadfulRoar,55,100,gloomCloud,gloomCloud55,80,20,200,,
whiteDreadfulRoar56,whiteDreadfulRoar,56,100,gloomCloud,gloomCloud56,80,20,200,,
whiteDreadfulRoar57,whiteDreadfulRoar,57,100,gloomCloud,gloomCloud57,80,20,200,,
whiteDreadfulRoar58,whiteDreadfulRoar,58,100,gloomCloud,gloomCloud58,80,20,200,,
whiteDreadfulRoar59,whiteDreadfulRoar,59,100,gloomCloud,gloomCloud59,80,20,200,,
whiteDreadfulRoar60,whiteDreadfulRoar,60,100,gloomCloud,gloomCloud60,80,20,200,,
whiteDreadfulRoar61,whiteDreadfulRoar,61,100,gloomCloud,gloomCloud61,80,20,200,,
whiteDreadfulRoar62,whiteDreadfulRoar,62,100,gloomCloud,gloomCloud62,80,20,200,,
whiteDreadfulRoar63,whiteDreadfulRoar,63,100,gloomCloud,gloomCloud63,80,20,200,,
whiteDreadfulRoar64,whiteDreadfulRoar,64,100,gloomCloud,gloomCloud64,80,20,200,,
whiteDreadfulRoar65,whiteDreadfulRoar,65,100,gloomCloud,gloomCloud65,80,20,200,,
whiteDreadfulRoar66,whiteDreadfulRoar,66,100,gloomCloud,gloomCloud66,80,20,200,,
whiteDreadfulRoar67,whiteDreadfulRoar,67,100,gloomCloud,gloomCloud67,80,20,200,,
whiteDreadfulRoar68,whiteDreadfulRoar,68,100,gloomCloud,gloomCloud68,80,20,200,,
whiteDreadfulRoar69,whiteDreadfulRoar,69,100,gloomCloud,gloomCloud69,80,20,200,,
whiteDreadfulRoar70,whiteDreadfulRoar,70,100,gloomCloud,gloomCloud70,80,20,200,,
whiteDreadfulRoar71,whiteDreadfulRoar,71,100,gloomCloud,gloomCloud71,80,20,200,,
whiteDreadfulRoar72,whiteDreadfulRoar,72,100,gloomCloud,gloomCloud72,80,20,200,,
whiteDreadfulRoar73,whiteDreadfulRoar,73,100,gloomCloud,gloomCloud73,80,20,200,,
whiteDreadfulRoar74,whiteDreadfulRoar,74,100,gloomCloud,gloomCloud74,80,20,200,,
whiteDreadfulRoar75,whiteDreadfulRoar,75,100,gloomCloud,gloomCloud75,80,20,200,,
whiteDreadfulRoar76,whiteDreadfulRoar,76,100,gloomCloud,gloomCloud76,80,20,200,,
whiteDreadfulRoar77,whiteDreadfulRoar,77,100,gloomCloud,gloomCloud77,80,20,200,,
whiteDreadfulRoar78,whiteDreadfulRoar,78,100,gloomCloud,gloomCloud78,80,20,200,,
whiteDreadfulRoar79,whiteDreadfulRoar,79,100,gloomCloud,gloomCloud79,80,20,200,,
whiteDreadfulRoar80,whiteDreadfulRoar,80,100,gloomCloud,gloomCloud80,80,20,200,,
whiteDreadfulRoar81,whiteDreadfulRoar,81,100,gloomCloud,gloomCloud81,80,20,200,,
whiteDreadfulRoar82,whiteDreadfulRoar,82,100,gloomCloud,gloomCloud82,80,20,200,,
whiteDreadfulRoar83,whiteDreadfulRoar,83,100,gloomCloud,gloomCloud83,80,20,200,,
whiteDreadfulRoar84,whiteDreadfulRoar,84,100,gloomCloud,gloomCloud84,80,20,200,,
whiteDreadfulRoar85,whiteDreadfulRoar,85,100,gloomCloud,gloomCloud85,80,20,200,,
whiteDreadfulRoar86,whiteDreadfulRoar,86,100,gloomCloud,gloomCloud86,80,20,200,,
whiteDreadfulRoar87,whiteDreadfulRoar,87,100,gloomCloud,gloomCloud87,80,20,200,,
whiteDreadfulRoar88,whiteDreadfulRoar,88,100,gloomCloud,gloomCloud88,80,20,200,,
whiteDreadfulRoar89,whiteDreadfulRoar,89,100,gloomCloud,gloomCloud89,80,20,200,,
whiteDreadfulRoar90,whiteDreadfulRoar,90,100,gloomCloud,gloomCloud90,80,20,200,,
whiteDreadfulRoar91,whiteDreadfulRoar,91,100,gloomCloud,gloomCloud91,80,20,200,,
whiteDreadfulRoar92,whiteDreadfulRoar,92,100,gloomCloud,gloomCloud92,80,20,200,,
whiteDreadfulRoar93,whiteDreadfulRoar,93,100,gloomCloud,gloomCloud93,80,20,200,,
whiteDreadfulRoar94,whiteDreadfulRoar,94,100,gloomCloud,gloomCloud94,80,20,200,,
whiteDreadfulRoar95,whiteDreadfulRoar,95,100,gloomCloud,gloomCloud95,80,20,200,,
whiteDreadfulRoar96,whiteDreadfulRoar,96,100,gloomCloud,gloomCloud96,80,20,200,,
whiteDreadfulRoar97,whiteDreadfulRoar,97,100,gloomCloud,gloomCloud97,80,20,200,,
whiteDreadfulRoar98,whiteDreadfulRoar,98,100,gloomCloud,gloomCloud98,80,20,200,,
whiteDreadfulRoar99,whiteDreadfulRoar,99,100,gloomCloud,gloomCloud99,80,20,200,,
whiteDreadfulRoar100,whiteDreadfulRoar,100,100,gloomCloud,gloomCloud100,80,20,200,,
whiteDreadfulRoar101,whiteDreadfulRoar,101,100,gloomCloud,gloomCloud101,80,20,200,,
whiteDreadfulRoar102,whiteDreadfulRoar,102,100,gloomCloud,gloomCloud102,80,20,200,,
whiteDreadfulRoar103,whiteDreadfulRoar,103,100,gloomCloud,gloomCloud103,80,20,200,,
whiteDreadfulRoar104,whiteDreadfulRoar,104,100,gloomCloud,gloomCloud104,80,20,200,,
whiteDreadfulRoar105,whiteDreadfulRoar,105,100,gloomCloud,gloomCloud105,80,20,200,,
whiteDreadfulRoar106,whiteDreadfulRoar,106,100,gloomCloud,gloomCloud106,80,20,200,,
whiteDreadfulRoar107,whiteDreadfulRoar,107,100,gloomCloud,gloomCloud107,80,20,200,,
whiteDreadfulRoar108,whiteDreadfulRoar,108,100,gloomCloud,gloomCloud108,80,20,200,,
whiteDreadfulRoar109,whiteDreadfulRoar,109,100,gloomCloud,gloomCloud109,80,20,200,,
whiteDreadfulRoar110,whiteDreadfulRoar,110,100,gloomCloud,gloomCloud110,80,20,200,,
whiteDreadfulRoar111,whiteDreadfulRoar,111,100,gloomCloud,gloomCloud111,80,20,200,,
whiteDreadfulRoar112,whiteDreadfulRoar,112,100,gloomCloud,gloomCloud112,80,20,200,,
whiteDreadfulRoar113,whiteDreadfulRoar,113,100,gloomCloud,gloomCloud113,80,20,200,,
whiteDreadfulRoar114,whiteDreadfulRoar,114,100,gloomCloud,gloomCloud114,80,20,200,,
whiteDreadfulRoar115,whiteDreadfulRoar,115,100,gloomCloud,gloomCloud115,80,20,200,,
whiteDreadfulRoar116,whiteDreadfulRoar,116,100,gloomCloud,gloomCloud116,80,20,200,,
whiteDreadfulRoar117,whiteDreadfulRoar,117,100,gloomCloud,gloomCloud117,80,20,200,,
whiteDreadfulRoar118,whiteDreadfulRoar,118,100,gloomCloud,gloomCloud118,80,20,200,,
whiteDreadfulRoar119,whiteDreadfulRoar,119,100,gloomCloud,gloomCloud119,80,20,200,,
