identifier,inBundle,imageFilename,text,attackerColorString,defenderColorString,introEffect,showTime,attackerScreenPosition,defenderScreenPosition,h
increaseRageSpellText,1,icon_rage_01_disabled.png,INCREASED RAGE GEN,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
instantKillSpellText,1,icon_instakill_01_disabled.png,DEATH GAZE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonDragonSpellText,1,icon_summon_dragon_01.png,DRAGON SUMMONED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonRuneDragonSpellText,1,icon_summon_dragon_01.png,RUNE DRAGON SUMMONED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
selfDestructSpellText,1,icon_self_destruct_01.png,SELF DESTRUCT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
cloakSpellText,1,icon_invisibility_01.png,CLOAKED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
disruptSpellText,1,,SPELL DISRUPTED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonKilledText,1,,MINION KILLED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
disruptCloakText,1,,CLOAK REMOVED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
healingMarkSpellText,1,icon_heal_01_disabled.png,HEALING MARK!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
dodgeSpellText,1,icon_dodge_01.png,EVADING ATTACKS!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
stoneskinSpellText,1,icon_stoneskin_01.png,SHIELD: DAMAGE REDUCED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
onDodgeProjectileText,1,,DODGE,238~117~21,238~117~21,none,0.3,onDragon,onDragonDefender,
chainLightningSpellText,1,icon_chainlightning_01.png,CHAIN LIGHTNING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
lockdownSpellText,1,icon_lockdown_01.png,LOCKDOWN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
chargedShieldSpellText,1,icon_chargedshield_01.png,SHIELD: ABSORBING DAMAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
chargedShieldSpellDoubleText,1,,SHIELD: DOUBLE EXPLOSION!!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
energySyphonSpellText,1,,STEALING HEALTH AND RAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
battlecrySpellText,1,,DAMAGE INCREASED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
spellBlockedText,1,,SPELL BLOCKED!,238~117~21,238~117~21,none,1,onBuilding,onBuilding,
attackDisabledText,1,,CAN'T ATTACK WHILE INVINCIBLE!,238~117~21,238~117~21,none,0.2,onDragon,onDragonDefender,
superChainLightningText,1,,SUPERCHARGED LIGHTNING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
selfDestructCanceledText,1,,SPELL CANCELED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
sacrificeSpellText,1,,SACRIFICE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
thunderstormSpellText,1,,THUNDERSTORM!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
intimidatingRoarSpellText,1,,INTIMIDATING ROAR!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
stealEssenceSpellText,1,,STEAL ESSENCE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
outOfRangeText,1,,OUT OF RANGE!,238~117~21,238~117~21,none,1.5,onDragon,,
risingPhoenixSpellText,0,icon_risingphoenix_01.png,ATTACKS DISABLED AND INCUBATING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
risingPhoenixRebirthText,0,,DEATH AND REBIRTH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
risingPhoenixRebirthFailText,0,,REBIRTH FAILED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
resurrectionSpellText,0,icon_resurrection_01.png,RESURRECTION: ATTACKS DISABLED AND INCUBATING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
resurrectionRebirthText,0,icon_resurrection_01.png,RESURRECTION: DEATH AND REBIRTH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
resurrectionRebirthFailText,0,icon_resurrection_01.png,RESURRECTION: REBIRTH FAILED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
damageReductionText,1,,INCOMING DAMAGE REDUCED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
rageGainedText,1,,RAGE GAINED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
cantUseSacrificeWhenInvincibleText,1,,CAN'T USE SACRIFICE WHEN YOU ARE INVINCIBLE!,238~117~21,238~117~21,none,1.5,onDragon,,
iceShieldText,1,,ICE SHIELD!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
fluxSpellText,0,icon_flux_01.png,SPELL FLUX!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
seethingSparkSpellText,1,,ATTACK POWER INCREASED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
seethingSparkEmpoweredSpellText,1,,BUILDINGS STUNNED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
galvanicOverloadSpellText,0,icon_galvanic_initial_01.png,GALVANIC OVERLOAD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
galvanicEmpoweredCastSpellText,0,icon_galvanic_01.png,EMPOWERED CAST: RAGE GAINED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
frozenTombSpellText,1,,FROZEN TOMB: FREEZE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
frozenTombSpellFailText,1,,FROZEN TOMB: FAILED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
frozenTombSpellShieldBrokenText,1,,FROZEN TOMB SHIELD BROKEN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
galvanicEmpoweredFailedBattleText,1,,GALVANIC OVERLOAD EMPOWERED: FAILED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
fireEffectText,1,,TAKING INCREASED DAMAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
buildingStunText,1,,TOWER STUNNED!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
radianceActivatedText,1,,RADIANCE ACTIVATED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
bonusSolarEnergyText,1,,BONUS SOLAR ENERGY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
heatShieldSpellText,1,icon_heatshield_01.png,HEAT SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
blastShieldSpellText,1,icon_blastshield_01.png,BLAST SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
heatedBreathSpellText,1,icon_superheatedbreath_01.png,SUPERHEATED BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
piercingBreathSpellText,1,icon_piercingbreath_01.png,PIERCING BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
umbralSpikeSpellText,1,icon_umbralspike_01.png,UMBRAL SPIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
nocturnalFissureSpellText,1,,NOCTURNAL FISSURE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
buildingOutOfRangeText,1,,BUILDING OUT OF RANGE!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
desiccatingSandSpellText,0,,DESICCATING SAND!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
crumbleToDustSpellText,0,,CRUMBLE TO DUST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shadowApophetSpellText,0,,SUMMONING APOPHET'S SHADOW!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
nightfallSpellText,0,,NIGHTFALL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
radianceSpellText,0,,RADIANCE ACTIVATED!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
borrowTimeSpellText,0,,BORROW TIME!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
timeShiftSpellText,0,,TIME SHIFT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
iceShockSpellText,0,icon_freeze_01.png,ICE SHOCK,238~117~21,238~117~21,none,1.5,onDragon,nearBuildings,
northernLightsSpellText,0,,NORTHERN LIGHTS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
southernCrossSpellText,0,,SOUTHERN CROSS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
celestialDanceSpellText,0,,CELESTIAL DANCE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
maleficBreathSpellText,1,icon_maleficBreath.png,MALEFIC BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
dreadfulRoarSpellText,1,icon_dreadfulRoar.png,DREADFUL ROAR,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
crystallineShieldSpellText,0,,CRYSTALLINE SHIELD: ELEMENTAL DAMAGE REDUCED!,238~117~21,238~117~21,none,1,onDragon,onDragonDefender,
crystallineSpellShardShatteredText,1,,PROJECTILE BLOCKED!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
gloomAndDoomSpellText,1,icon_gloomAndDoom.png,DOOM CHAINS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
devourHopeSpellText,1,icon_devourHope.png,DEVOUR HOPE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
frostbiteSpellText,1,icon_frostbite.png,FROSTBITE!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
shattershardSpellText,1,icon_shatterShard.png,SHATTERSHARD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
spellNotStolenText,1,,,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
tectonicTombSpellText,1,icon_tectonicTomb.png,TECTONIC TOMB: SMASH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
tectonicTombSpellFailText,1,icon_tectonicTomb.png,TECTONIC TOMB: FAILED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
tectonicTombSpellShieldBrokenText,1,icon_tectonicTomb.png,TECTONIC TOMB SHIELD BROKEN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
seismicScreechText,0,icon_seismicScreech.png,SEISMIC SCREECH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
earthquakeSpellText,1,icon_earthquake.png,EARTHQUAKE!,238~117~21,238~117~21,none,1.5,onDragon,nearBuildings,
noxiousVinesSpellText,0,icon_noxiousVines.png,NOXIOUS VINES!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
fireShieldSpellText,1,icon_fireShield_01.png,FIRE SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
superRejuvenateSpellText,1,icon_superRejuvenate_01.png,SUPER HEALING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
superHeatedBreathSpellText,1,icon_superheatedbreath_01.png,SUPERHEATED BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
uprootSpellText,1,icon_Uproot.png,UPROOT,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shieldBlastSpellText,1,icon_shieldBlast.png,SHIELD: ABSORBING DAMAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shieldBlastSpellDoubleText,1,icon_shieldBlast.png,SHIELD: DOUBLE EXPLOSION!!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
entrapSpellText,1,icon_lockdown_01.png,ENTRAP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
enfeebleSpellText,0,,ENFEEBLE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
elementalBarrierSpellText,0,icon_elementalBarrier.png,ELEMENTAL BARRIER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
dissipateSpellText,0,icon_dissipate.png,DISSIPATE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
berserkSpellText,0,icon_berserk.png,BERSERK!,238~117~21,238~117~21,none,1,onDragon,onDragonDefender,
invertSpellTextReverse,0,icon_projectile_01_disabled.png,INVERT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
flakFireShotText,1,image_flakFire_01.png,DRAGON DEALING 50% REDUCED DAMAGE!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
hellspawnSpellText,1,icon_summonHellspawn.png,HELLSPAWN SUMMONED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
extractEssenceSpellText,0,icon_Extract_Essence.png,EXTRACT ESSENCE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
flashSpellText,1,icon_flash.png,FLASH!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
isolationSpellText,0,icon_isolation.png,ISOLATION!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
novaSpellText,0,icon_Nova.png,NOVA!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
whiteChainLightningSpellText,1,icon_chainlightning_01.png,THUNDERBOLT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonDodoSpellText,0,,SUMMONING DODO GUARDIAN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ashenBreathSpellText,1,icon_pestilentBreath_01.png,ASHEN BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
whiteInstantKillSpellText,1,icon_instakill_01_disabled.png,DEATH STARE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
riderBuffActive,1,advisor_hintPopup_portrait_alessia.png,Buff Active,238~117~21,238~117~21,none,5,onDragon,onDragonDefender,
starburnSpellText,0,icon_Starburn.png,STARBURN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
lightSpeedSpellText,0,icon_lightSpeed.png,LIGHT SPEED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
consumeSpellText,0,icon_consume.png,CONSUME!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
staticShieldSpellText,1,icon_shieldBlast.png,STATIC SHIELD: ABSORBING DAMAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
staticShieldSpellDoubleText,1,icon_shieldBlast.png,STATIC SHIELD: DOUBLE EXPLOSION!!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
fullMoonSpellText,0,icon_full_moon.png,FULL MOON!,238~117~21,238~117~21,none,1,onDragon,onDragonDefender,
feralRageSpellText,0,icon_rage_passive.png,FERAL RAGE!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
stoneformSpellText,1,icon_stoneform.png,STONEFORM: DAMAGE REDUCED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
reanimateSpellText,0,icon_reanimate.png,ATTACKS DISABLED AND REANIMATING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
reanimateRebirthText,0,icon_reanimate.png,RISE FROM THE DEAD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
reanimateRebirthFailText,0,icon_reanimate.png,REANIMATION FAILED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
iceFlakShotText,1,icon_flak_tower_ice.png,SPELL BLOCK!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
frostShieldSpellText,0,icon_frost_shield.png,FROST SHIELD!,238~117~21,238~117~21,none,1,onDragon,onDragonDefender,
frostShieldSpellShardShatteredText,1,,FROST SHARD SHATTERED!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
absorbMagicSpellText,1,icon_absorb_magic.png,ABSORB MAGIC!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
adaptiveBreathSpellText,1,icon_adaptive_resist.png,ADAPTIVE BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
adaptiveResistSpellText,1,icon_adaptive_resist.png,ADAPTIVE RESIST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
soulDevourSpellText,1,icon_soul_devour.png,SOUL DEVOUR!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
bloodFurySpellText,1,icon_bloodfury.png,BLOODFURY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
seekerShotsSpellText,1,icon_seeking_shots.png,SEEKER SHOTS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
talonFrenzySpellText,1,icon_talon_frenzy.png,TALON FRENZY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
corrosiveBrineSpellText,1,icon_corrosiveBrine.png,CORROSIVE BRINE!,238~117~21,238~117~21,none,0.5,onDragon,onDragonDefender,
lionsRageSpellText,1,icon_lions_rage.png,LION'S RAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
lightningFamiliarSpellText,1,icon_lightningFamiliar_01.png,LIGHTNING FAMILIAR SUMMONED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
tidalSurgeSpellText,1,icon_tidalSurge.png,TIDAL SURGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shieldAssaultSpellText,1,icon_shield_assault_02.png,SHIELD ASSAULT ACTIVE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
riptideSpellText,1,icon_riptide.png,RIPTIDE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
blazingShieldSpellText,1,icon_blazing_shield.png,BLAZING SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
lightningStormSpellText,1,,LIGHTNING STORM!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
warcrySpellText,1,,DAMAGE INCREASED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
rageGenerationFrozenAvoidedSpellText,1,,MAGE EFFECT AVOIDED BY DRAGON INVINCIBILITY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
wintersBiteSpellText,1,icon_wintersBite_01.png,WINTER'S BITE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
healthRageDeathMarkSpellText,1,icon_springsRenewal_01.png,SPRING'S RENEWAL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summersPurificationSpellText,1,icon_summersPurification_01.png,SUMMER'S PURIFICATION!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
regenerateSpellText,1,icon_regenerate_01.png,HEALING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
autumnsReapSpellText,1,icon_autumnsReap_01.png,AUTUMN'S REAP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ghostfireBlastSpellText,1,icon_ghostfireBlast_01.png,GHOSTFIRE BLAST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
solarStrikeSpellText,1,icon_solarStrike_01.png,SOLAR STRIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
vanishSpellText,1,icon_vanish_01.png,VANISHED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ghostfireWreathSpellText,1,icon_ghostfireWreath_01.png,GHOSTFIRE WREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
bellyFlopSpellText,1,icon_hippo_destruct_01.png,BELLY FLOP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
whiteSuperRejuvenateSpellText,1,icon_superRejuvenate_01.png,SUPER HEALING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shadowStrikeSpellText,1,icon_shadowStrike.png,SHADOW STRIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
flashFreezeSpellText,1,icon_flashFreeze.png,FLASH FREEZE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ferociousBarrierSpellText,1,icon_ferociousShield.png,FEROCIOUS SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
noDamageAbsorbedSpellText,1,,NO DAMAGE ABSORBED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
undyingWillSpellText,1,icon_undyingWill.png,UNDYING WILL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
leechEssenceSpellText,1,icon_leechEssence.png,LEECH ESSENCE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
windFlakShotText,1,icon_flak_tower_wind.png,CHARGED SHOT!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
windFlakBoostedSuperShotText,1,icon_flak_tower_wind.png,SUPERSHOT BOOSTED!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
heatStrokeSpellText,1,icon_heatstroke.png,HEATSTROKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
everlastingHuntSpellText,1,icon_everlastingHunt.png,EVERLASTING HUNT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
mysticBarrageSpellText,1,icon_mysticBarrage.png,MYSTIC BARRAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
explosiveAegisSpellText,1,icon_explosiveAegis.png,EXPLOSIVE AEGIS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
stormShieldSpellText,1,icon_stormShield.png,STORM SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
rampageSpellText,1,icon_rampage.png,RAMPAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
magicBarrierSpellText,1,icon_impenetrableAura.png,MAGIC BARRIER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
adaptiveFlakResistSpellText,1,icon_adaptiveFlakResist.png,ADAPTIVE FLAK RESIST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
heavenlyWindsSpellText,1,icon_heavenlyWinds.png,HEAVENLY WINDS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
bloodEssenceSpellText,1,icon_bloodEssence.png,BLOOD ESSENCE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
earthFamiliarSpellText,1,icon_apophetshadow_01.png,EARTH FAMILIAR SUMMONED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
umbralSpikeWhiteSpellText,1,icon_umbralspike_01.png,UMBRAL SPIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
syphonStrikeSpellText,1,icon_syphonStrike_01.png,SYPHON STRIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
echoingBlastSpellText,1,icon_echoingBlast.png,ECHOING BLAST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shadowDispersalSpellText,1,icon_shadowDispersal_01.png,SHADOW DISPERSAL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
furyOfTheWastesSpellText,1,icon_furyOfTheWastes.png,FURY OF THE WASTES!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
rainbowShotSpellText,1,icon_rainbowShot.png,RAINBOW SHOT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
elementalBubbleSpellText,1,icon_elementalBubble.png,ELEMENTAL BUBBLE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
etherealChainsSpellText,1,icon_etherealChains.png,ETHEREAL CHAINS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
heroicSacrificeSpellText,1,icon_heroicSacrifice.png,HEROIC SACRIFICE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
cripplingChillSpellText,1,icon_cripplingChill.png,CRIPPLING CHILL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
energizeSpellText,1,icon_energize.png,ENERGIZE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
spectralFormSpellText,1,icon_spectralForm.png,SPECTRAL FORM!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
markOfTwilightSpellText,1,icon_markOfTwilight.png,MARK OF TWILIGHT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
deathsDoorSpellText,1,icon_deathsDoor.png,DEATH'S DOOR,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
