identifier,inBundle,nodePrefix,baseFileNames,destructedFileNames,isBatched,isTargetable,targetPriority,attackBattleRewardDistributionIdentifier,isIndestructible,isShadowMapped,destroySound,isShownOnLowEnd,isDestructibleOnLowEnd,colonyIdentifier,h
wm_dome,0,loc_wm_dome,prop_wm_dome.lvl,prop_wm_dome_death.lvl,0,1,20,monumentDistribution,,1,bridge_destroyed,1,0,level09,
wm_fort,0,loc_wm_fort,prop_wm_fort.lvl,prop_wm_fort_death.lvl,0,1,20,monumentDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerWaterfall,0,loc_wm_towerWaterfall,prop_wm_towerWaterfall.lvl,prop_wm_towerWaterfall_death.lvl,0,1,20,monumentDistribution,,1,bridge_destroyed,1,0,level09,
wm_wallLarge,0,loc_wm_wallLarge,prop_wm_wallLarge.lvl,prop_wm_wallLarge_death.lvl,0,1,50,monumentDistribution,,1,bridge_destroyed,1,1,level09,
wm_catapult,0,loc_wm_catapult,prop_wm_catapult.lvl,prop_wm_catapult_death.lvl,0,1,20,hutDistribution,,1,hut_destroyed,1,0,level09,
wm_towerLarge01,0,loc_wm_towerLarge01,prop_wm_towerLarge01.lvl,prop_wm_towerLarge_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerLarge02,0,loc_wm_towerLarge02,prop_wm_towerLarge02.lvl,prop_wm_towerLarge_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerSmall01,0,loc_wm_towerSmall01,prop_wm_towerSmall01.lvl,prop_wm_towerSmall_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerSmall02,0,loc_wm_towerSmall02,prop_wm_towerSmall02.lvl,prop_wm_towerSmall_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerDouble01,0,loc_wm_towerDouble01,prop_wm_towerDouble01.lvl,prop_wm_towerDouble_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerDouble02,0,loc_wm_towerDouble02,prop_wm_towerDouble02.lvl,prop_wm_towerDouble_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_towerDouble03,0,loc_wm_towerDouble03,prop_wm_towerDouble03.lvl,prop_wm_towerDouble_death.lvl,0,1,20,bridgeDistribution,,1,bridge_destroyed,1,0,level09,
wm_gate,0,loc_wm_gate,prop_wm_gate.lvl,prop_wm_gate_death.lvl,0,1,50,monumentDistribution,,1,bridge_destroyed,1,1,level09,
wm_towerBroken,0,loc_wm_towerBroken,prop_wm_catapultSet.lvl,prop_wm_catapultSet_death.lvl,0,1,20,monumentDistribution,,1,bridge_destroyed,1,1,level09,
Area1_Red_Archer,0,loc_Area1_Red_Archer,area1_red_archer.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area1_Red_SaS_Idle,0,loc_Area1_Red_SaS_Idle,area1_red_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area1_Red_SaS_Attack,0,loc_Area1_Red_SaS_Attack,area1_red_SaS_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area1_Red_Sword_Idle,0,loc_Area1_Red_Sword_Idle,area1_red_sword_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area1_Red_Sword_Attack,0,loc_Area1_Red_Sword_Attack,area1_red_sword_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area2_Blue_SaS_Idle,0,loc_Area2_Blue_SaS_Idle,area2_blue_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area2_Blue_Archer,0,loc_Area2_Blue_Archer,area2_blue_archer.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area2_Red_Archer_Attack,0,loc_Area2_Red_Archer_Attack,area2_red_archer.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area2_Red_SaS_Idle,0,loc_Area2_Red_SaS_Idle,area2_red_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area2_Red_SaS_Attack,0,loc_Area2_Red_SaS_Attack,area2_red_SaS_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area2_Red_Sword_Attack,0,loc_Area2_Red_Sword_Attack,area2_red_sword_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area3_Blue_SaS_Idle,0,loc_Area3_Blue_SaS_Idle,area3_blue_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area3_Blue_SaS_Attack,0,loc_Area3_Blue_SaS_Attack,area3_blue_SaS_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area3_Blue_Sword_Idle,0,loc_Area3_Blue_Sword_Idle,area3_blue_sword_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area3_Red_Sword_Idle,0,loc_Area3_Red_Sword_Idle,area3_red_sword_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area3_Red_Sword_Attack,0,loc_Area3_Red_Sword_Attack,area3_red_sword_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area4_Blue_Archer,0,loc_Area4_Blue_Archer,area4_blue_archer.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area4_Blue_Archer03,0,loc_Area4_Blue_Archer03,area4_blue_archer03.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area4_Blue_SaS_Idle,0,loc_Area4_Blue_SaS_Idle,area4_blue_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area4_Blue_SaS_Attack,0,loc_Area4_Blue_SaS_Attack,area4_blue_SaS_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area4_Red_SaS_Idle,0,loc_Area4_Red_SaS_Idle,area4_red_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area4_Red_SaS_Attack,0,loc_Area4_Red_SaS_Attack,area4_red_SaS_attack.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area5_Red_SaS_Idle,0,loc_Area5_Red_SaS_Idle,area5_red_SaS_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
Area5_Red_Sword_Idle,0,loc_Area5_Red_Sword_Idle,area5_red_sword_idle.lvl,WM_Troop_Death.lvl,0,1,20,,,,hut_destroyed,0,0,level09,
level05_cathedral,0,loc_cathedral_,DC_monument_cathedral.lvl,DC_monument_cathedral_death.lvl,0,1,20,monumentDistribution,,0,bridge_destroyed,1,1,level05,
level05_minecart_small,0,loc_minecart_sm_,DD_minecart_small.lvl,DD_minecart_small_death.lvl,0,1,20,shipDistribution,,0,hut_destroyed,0,1,level05,
level05_placeholder,0,DestructibleTemp_,destructible_placeholder.lvl,destructible_placeholder_death.lvl,0,1,20,shipDistribution,,0,hut_destroyed,0,1,level05,
level05_airship_01,0,loc_airship_01_,DD_AirShip01.lvl,DD_AirShip01_death.lvl,0,1,20,shipDistribution,,0,boat_destroyed,0,1,level05,
level05_airship_02,0,loc_airship_02_,DD_AirShip02.lvl,DD_AirShip02_death.lvl,0,1,20,shipDistribution,,0,boat_destroyed,0,1,level05,
level05_airship_03,0,loc_airship_03_,DD_AirShip03.lvl,DD_AirShip03_death.lvl,0,1,20,shipDistribution,,0,boat_destroyed,0,1,level05,
level05_bigcrystal_01,0,loc_bigcrystal_01_,DD_BigCrystal_01.lvl,DD_BigCrystal_01_death.lvl,0,1,20,monumentDistribution,,0,boat_destroyed,1,1,level05,
level05_bridge_01,0,loc_bridge_01_,DD_Bridge_01.lvl,DD_Bridge_01_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,1,1,level05,
level05_bridge_02,0,loc_bridge_02_,DD_Bridge_02.lvl,DD_Bridge_02_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,1,1,level05,
level05_bridge_03,0,loc_bridge_03_,DD_Bridge_03.lvl,DD_Bridge_03_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,1,1,level05,
level05_crane_01,0,loc_crane_01_,DD_Crane_01.lvl,DD_Crane_01_death.lvl,0,1,20,monumentDistribution,,0,bridge_destroyed,1,1,level05,
level05_minecart_01,0,loc_minecart_01_,DD_MineCart_01.lvl,DD_MineCart_01_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,0,1,level05,
level05_minecart_02,0,loc_minecart_02_,DD_MineCart_02.lvl,DD_MineCart_02_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,0,1,level05,
level05_minedrill_01,0,loc_minedrill_01_,DD_MineDrill.lvl,DD_MineDrill_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,0,1,level05,
level05_minestorage_01,0,loc_minestorage_01_,DD_MineStorage_01.lvl,DD_MineStorage_01_death.lvl,0,1,20,monumentDistribution,,0,hut_destroyed,1,1,level05,
level05_statue_01,0,loc_statue_01_,DD_Statue_01.lvl,DD_Statue_01_death.lvl,0,1,20,monumentDistribution,,0,hut_destroyed,1,1,level05,
level05_statue_02,0,loc_statue_02_,DD_Statue_01.lvl,DD_Statue_01_death.lvl,0,1,20,monumentDistribution,,0,bridge_destroyed,1,1,level05,
level05_track_01,0,loc_track_01_,DD_Track_01.lvl,DD_Track_01_death.lvl,0,1,20,shipDistribution,,0,bridge_destroyed,1,1,level05,!@#edeamleiolgcnkpc
