identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
CannonTowerUpgrades_10,10,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_11,11,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_12,12,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_13,13,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_14,14,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_15,15,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_16,16,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_17,17,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_18,18,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_19,19,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_20,20,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_21,21,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_22,22,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_23,23,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_24,24,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_25,25,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_26,26,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_27,27,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_28,28,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_29,29,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_30,30,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_31,31,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_32,32,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_33,33,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_34,34,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_35,35,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_36,36,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_37,37,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_38,38,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_39,39,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_40,40,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_41,41,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_42,42,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_43,43,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_44,44,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_45,45,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_46,46,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_47,47,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_48,48,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_49,49,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_50,50,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_51,51,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_52,52,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_53,53,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
CannonTowerUpgrades_54,54,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,10,1000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,650,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,1000,
