identifier,videoFilename,inBundle,title,name,text,iconFilename,h
desiccatingSandSpell,desiccatingSandSpellv2.m4v,0,Desiccating Sand,Desiccating Sand,Launches choking sand that does damage on contact and prevents it from firing or blocking all spells until it takes damage.,icon_dessicatingsand_01.png,
crumbleToDustSpell,crumbleToDustSpellv3.m4v,0,Crumble to Dust,Crumble to Dust,"Turns the earth at the base of the island's towers into swirling sand that creeps up the sides of each tower. Affected towers deal reduced damage and take increased damage. A second cast on the same towers turns the towers themselves to sand, dealing massive damage!",icon_crumbletodust_01.png,
radianceSpell,radianceSpell.m4v,0,Radiance,Radiance,Incinerates any projectiles currently in air and heals a moderate amount. Attack changes to Solar Breath which deals increased damage.,icon_glowingradiance_01.png,
nightFallSpell,nightFallSpellv2.m4v,0,Nightfall,Nightfall,"Harness shadowy energies to empower the next Ability used and, as a bonus, increase next Lock-On Attack's damage by 50%.",icon_nightfall_01.png,
shadowApophetSpell,shadowApophetv2.m4v,0,Apophet's Shadow,Apophet's Shadow,Increases Lock-On damage and returns 33% of damage dealt back to Apophet as health healed. Apophet loses these bonuses if shadow is killed.,icon_apophetshadow_01.png,
borrowTimeSpell,borrowTimeSpellv3.m4v,0,Borrowed Time,Borrowed Time,"Build up Temporal Energy over time. When reduced to 0 health, her ghost will continue to fly forward, allowing you to attack but not use Abilities.",icon_borrowedtime_01.png,
timeShiftSpell,timeShiftSpellv2.m4v,0,Time Shift,Time Shift,"Transform into a cloud, draining Temporal Energy. She cannot attack but can still cast Abilities. Player can cancel this spell by attacking.",icon_timeshift_01.png,
iceShockSpell,iceShock.m4v,0,Ice Shock,Ice Shock,Penetrates mage towers and freezes and damages buildings in affected area,icon_freeze_01.png,
crystallineShieldSpell,crystallineShieldSpell.m4v,0,Crystalline Shield,Crystalline Shield,"Several shards of ice protect you, sacrificing themselves to stop projectiles and reducing damage from beam attacks",icon_crystallineShield_01.png,
celestialDanceSpell,celestialDanceSpell.m4v,0,Celestial Dance,Celestial Dance,"Alters the nature of your other spells to heal or generate rage, based on the Light or Dark version of your spell",icon_celestialDance.png,
dreadfulRoarSpell,dreadfulRoarSpell.m4v,0,Dreadful Roar,Dreadful Roar,Inflict nearby buildings with Gloom Clouds and increase their damage taken,icon_dreadfulRoar.png,
maleficBreathSpell,maleficBreathSpell.m4v,0,Malefic Breath,Malefic Breath,Dragon's flamethrower attack will inflict poisonous Gloom Clouds on targeted buildings,icon_maleficBreath.png,
northernLightsSpell,northernLightsv2.m4v,0,Northern Lights,Northern Lights,"Invincible shield that creates Heal Marks or Rage Marks on towers when destroyed, cycled with Celestial Dance.",icon_northernLights_light.png,
southernCrossSpell,southernCrossSpell.m4v,0,Southern Cross,Southern Cross,"Deals damage to buildings and restore either Health or Rage, cycled with Celestial Dance.",icon_southernCross_light.png,
southernCrossDarkSpell,southernCrossDark.m4v,0,Southern Cross (Dark),Southern Cross (Dark),Deals damage to buildings and restore Rage.,icon_southernCross_dark.png,
southernCrossLightSpell,southernCrossSpell.m4v,0,Southern Cross (Light),Southern Cross (Light),Deals damage to buildings and restore either Health.,icon_southernCross_light.png,
cosmicEnergySpell,cosmicEnergySpell.m4v,0,Cosmic Energy,Cosmic Energy,"Passive: When Celestial Dance is used, removes all debuffs if HP is higher than 50%",icon_cosmicEnergy.png,
dayBreakSpell,radianceSpell.m4v,0,Daybreak,Daybreak,Passive: Absorb solar energy from destroyed buildings,icon_daybreak_01.png,
summonWhiteDragonSpell,Summonwarrior.m4v,0,Summon Warrior,Summon Warrior,Summons a spectral Warrior Dragon to fight for you.,icon_summon_dragon_01.png,
chaosSpell,Chaos.m4v,0,Chaos,Chaos,Dragon deals greatly increased damage with its attacks,icon_frenzy_01.png,
devourHopeSpell,devourHope.m4v,0,Devour Hope,Devour Hope,Receive healing from Gloom Clouds,icon_devourHope.png,
gloomAndDoomSpell,gloomAndDoom.m4v,0,Doom Chains,Doom Chains,Buildings that have Gloom Clouds are shackled and unable to attack,icon_gloomAndDoom.png,
frostbiteSpell,frostbite.m4v,0,Frostbite,Frostbite,Passive: Fireball attacks embed Icy Shards in buildings that increase damage inflicted.,icon_frostbite.png,
shattershardSpell,shattershard.m4v,0,Shattershard,Shattershard,Shatter any frozen buildings to deal damage and regenerate Hunter ammo.,icon_shatterShard.png,
fireShieldSpell,fireShield.m4v,0,Fire Shield,Fire Shield,Reduces incoming damage by 60% and heals for 10%,icon_fireShield_01.png,
whiteSacrificeSpell,whiteSacrifice.m4v,0,Sacrifice,Sacrifice,Dragon takes damage and gains rage immediately,icon_sacrifice_01.png,
superRejuvenateSpell,superRejuvenate.m4v,0,Super Rejuvenate,Super Rejuvenate,Restores dragon's health over time.,icon_superRejuvenate_01.png,
superHeatedBreathSpell,superHeatedBreath.m4v,0,Superheated Breath,Superheated Breath,Flamethrower deals more damage for duration. (Mehaten only) Any building destroyed while active will grant 2x Solar Energy.,icon_superheatedbreath_01.png,
earthquakeSpell,earthquake.m4v,0,Earthquake,Earthquake,Large area effect spell that damages and prevents affected towers from attacking. ,icon_earthquake.png,
noxiousVinesSpell,noxiousVines.m4v,0,Noxious Vines,Noxious Vines,Grow choking vines that damage and then immobilize towers until affected towers take damage.,icon_noxiousVines.png,
seismicScreechSpell,seismicScreech.m4v,0,Seismic Screech,Seismic Screech,Damages towers. Affected towers deal reduced damage.,icon_seismicScreech.png,
shieldBlastSpell,shieldBlast.m4v,0,Shield Blast,Shield Blast,"Absorbs all damage until depleted and then explodes, dealing damage to nearby buildings.",icon_shieldBlast.png,
tectonicTombSpell,tectonicTomb.m4v,0,Tectonic Tomb,Tectonic Tomb,Traps towers in earthen crust and damages them. Also creates a shield that absorbs damage.,icon_tectonicTomb.png,
uprootSpell,uproot.m4v,0,Uproot,Uproot,Wooden spike destroys the targeted tower and restores health.,icon_Uproot.png,
enfeebleSpell,enfeeble.m4v,0,Enfeeble,Enfeeble,"Increases damage done to towers, reduces tower attack power and second cast destroys buildings affected.",icon_enfeeble.png,
resurrectionSpell,resurrection.m4v,0,Resurrection,Resurrection,"If dragon dies during spell duration, explodes back to life and damages towers. Has a cooldown between uses.",icon_resurrection_01.png,
elementalBarrierSpell,elementalBarrier.m4v,0,Elemental Barrier,Elemental Barrier,Absorb damage from elemental tower attacks and convert a portion of it into health.,icon_elementalBarrier.png,
dissipateSpell,dissipate.m4v,0,Dissipate,Dissipate,"Cloak and recover Hunter ammo. While cloaked, dragon moves slower. Upon uncloaking, an explosion damages nearby towers.",icon_dissipate.png,
berserkSpell,berserk.m4v,0,Berserk,Berserk,"Dragon loses health, but increases damage output and rage generation. Destroying towers restores health during spell.",icon_berserk.png,
whiteChainLightningSpell,thunderbolt.m4v,0,Thunderbolt,Thunderbolt,Strikes buildings with lightning that chains randomly,icon_chainlightning_01.png,
isolationSpell,isolation.m4v,0,Isolation,Isolation,Briefly weaken chosen tower and greatly weaken nearby towers.,icon_isolation.png,
starburnSpell,starburn.m4v,0,Starburn,Starburn,"Passive: At low dragon HP, attacks embed fire that increase damage inflicted.",icon_Starburn.png,
novaSpell,nova.m4v,0,Nova,Nova,"Deals area damage and gain short invincibility, health and rage. Can be used once only.",icon_Nova.png,
lightSpeedSpell,lightSpeed.m4v,0,Light Speed,Light Speed,Deals area damage and gain reduced Hunter ammo cost at reduced damage.,icon_lightSpeed.png,
flashSpell,Flash.m4v,0,Flash,Flash,Blinds towers to dodge all non-beam attacks. Dragon moves slower.,icon_flash.png,
hellspawnSpell,hellspawn.m4v,0,Summon Hellspawn,Summon Hellspawn,Summons a Hellspawn Warrior Dragon to fight for you.,icon_summonHellspawn.png,
extractEssenceSpell,extractEssence.m4v,0,Extract Essence,Extract Essence,Extract essence from the last tower your dragon destroyed. Generates rage when you steal a new spell.,icon_Extract_Essence.png,
consumeSpell,consume.m4v,0,Consume,Consume,Consumes all Hunter ammo then heals based on Hunter ammo spent.,icon_consume.png,
dragonShieldSpell,dodoGuardian.m4v,0,Dodo Guardian,Dodo Guardian,An invulnerable passive summoned dodo guardian. Absorbs 33% of damage taken and increases rage generation by 20%.,icon_dodoGuardian_01.png,
lethalBarrierSpell,lethalBarrier.m4v,0,Lethal Barrier,Lethal Barrier,Absorbs damage until depleted then explodes dealing damage to nearby buildings,icon_chargedshield_01.png,
ashenBreathSpell,ashenBreath.m4v,0,Ashen Breath,Ashen Breath,Attack inflicts clouds of decay on targeted buildings for short duration.,icon_pestilentBreath_01.png,
mysticWindSpell,mysticWinds.m4v,0,Mystic Winds,Mystic Winds,Deflects incoming projectiles and mage tower shots for 4.5 seconds,icon_mysticalWinds_01.png,
northernLightsDarkSpell,northernLightsDark.m4v,0,Northern Lights (Dark),Northern Lights (Dark),"Become invincible briefly, then release a wave of energy that creates Rage Marks on towers.",icon_northernLights_dark.png,
elementalFluxSpell,spellFlux.m4v,0,Elemental Flux,Elemental Flux,Next attack kills one building instantly with an elemental blast.,icon_elementalFlux_01.png,
whiteInstantKillSpell,deathGazeWhite.m4v,0,Death Stare,Death Stare,Dragon's next attack deals enough damage to destroy most buildings instantly,icon_instakill_01.png,
northernLightsLightSpell,northernLightsLight.m4v,0,Northern Lights (Light),Northern Lights (Light),"Become invincible briefly, then release a wave of energy that creates Healing Marks on towers.",icon_northernLights_light.png,
staticShieldSpell,staticShield.m4v,0,Static Shield,Static Shield,"Absorbs all damage until depleted and then explodes, dealing damage to nearby buildings.",icon_shieldBlast.png,
fullMoonSpell,fullMoon.m4v,0,Full Moon,Full Moon,"Dragon loses health, but increases damage output and rage generation. Destroying towers restores health during spell.",icon_full_moon.png,
stoneformSpell,stoneform.m4v,0,Stoneform,Stoneform,Greatly reduces damage taken.,icon_stoneform.png,
feralRageSpell,feralRage.m4v,0,Feral Rage,Feral Rage,Dragon has increased rage regeneration.,icon_rage_passive.png,
atlasIntroVideo,AtlasIntroVideo.m4v,0,What is Atlas,Atlas,Discover the world!,icon_hud_worldmap.png,
reanimateSpell,reanimate.m4v,0,Reanimate,Reanimate,"If dragon dies during spell duration, explodes back to life and damages towers. Has a cooldown between uses.",icon_reanimate.png,
talonFrenzySpell,talonFrenzy.m4v,0,Talon Frenzy,Talon Frenzy,"For a short time, dragon deals greatly increased damage with its attacks",icon_talon_frenzy.png,
corrosiveBrineSpell,corrosiveBrine.m4v,0,Corrosive Brine,Corrosive Brine,Fireball attacks increase damage dealt to buildings.,icon_corrosiveBrine.png,
lionsRageSpell,lionsRage.m4v,0,Lion's Rage,Lion's Rage,"Passive: At low dragon HP, attacks deal massively increased damage.",icon_lions_rage.png,
lightningFamiliarSpell,lightningFamiliar.m4v,0,Lightning Familiar,Lightning Familiar,Passive: Summons a lightning dragon that increases rage generation and decreases damage taken.,icon_lightningFamiliar_01.png,
tidalSurgeSpell,tidalSurge.m4v,0,Tidal Surge,Tidal Surge,Damages a building and restores health.,icon_tidalSurge.png,
riptideSpell,riptide.m4v,0,Riptide,Riptide,"Cloak briefly. Upon uncloaking, damage nearby towers.",icon_riptide.png,
shieldAssaultSpell,shieldAssault.m4v,0,Shield Assault,Shield Assault,"While active, increases damage dealt and decreases damage received.",icon_shield_assault_01.png,
blazingShieldSpell,blazingShield.m4v,0,Blazing Shield,Blazing Shield,Reduces incoming damage and restores health.,icon_blazing_shield.png,
absorbMagicSpell,absorbMagic.m4v,0,Absorb Magic,Absorb Magic,Decrease all damage received and absorbs mage supershot to gain rage.,icon_absorb_magic.png,
frostShieldSpell,frostShield.m4v,0,Frost Shield,Frost Shield,Blocks all projectile damage. Reduces beam attack damage.,icon_frost_shield.png,
soulDevourSpell,soulDevour.m4v,0,Soul Devour,Soul Devour,"While active, gain health and rage for each tower destroyed.",icon_soul_devour.png,
lightningStormSpell,Lightningstorm.m4v,0,Lightning Storm,Lightning Storm,Summons a cloud that brings down lightning bolts which does damage over time,icon_thunderstorm_01.png,
bloodFurySpell,bloodFury.m4v,0,Bloodfury,Bloodfury,Gains Rage but slows regeneration rate. Gain health on building destruction.,icon_bloodfury.png,
adaptiveBreathSpell,adaptiveBreath.m4v,0,Adaptive Breath,Adaptive Breath,Activate to cycle between three breath modifiers.,icon_adaptiveBreath.png,
adaptiveResistSpell,adaptiveResist.m4v,0,Adaptive Resist,Adaptive Resist,Change Resist type on use and gain small amount of rage.,icon_adaptive_resist.png,
seekerShotsSpell,seekerShots.m4v,0,Seeker Shots,Seeker Shots,Instantly shoot multiple magic projectiles at targets in front.,icon_seeking_shots.png,
iceFlakTower,iceFlakTower.m4v,,,,,,
warcrySpell,Warcry.m4v,0,War Cry,War Cry,Increase the damage of this and the next dragon to attack.,icon_battlecry_01.png,
wintersBiteSpell,wintersBite.m4v,0,Winter's Bite,Winter's Bite,Dragon's flamethrower attack deals increased damage and freezes buildings.,icon_wintersBite_01.png,
summersPurificationSpell,summersPurification.m4v,0,Summer's Purification,Summer's Purification,Heavily damage all towers in target area. Restore health for each tower destroyed,icon_summersPurification_01.png,
regenerateSpell,regenerate.m4v,0,Regenerate,Regenerate,Restores health over time.,icon_regenerate_01.png,
autumnsReapSpell,autumnsReap.m4v,0,Autumn's Reap,Autumn's Reap,Increases attack & rage generation. Destroying towers grants health.,icon_autumnsReap_01.png,
ghostfireBlastSpell,ghostfireBlast.m4v,0,Ghostfire Blast,Ghostfire Blast,Damage and disable all buildings in the affected area,icon_ghostfireBlast_01.png,
solarStrikeSpell,solarStrike.m4v,0,Solar Strike,Solar Strike,Heavily damages target tower.,icon_solarStrike_01.png,
vanishSpell,vanish.m4v,0,Vanish,Vanish,Dragon becomes invisible and cannot be targeted until it attacks,icon_vanish_01.png,
ghostfireWreathSpell,ghostfireWreath.m4v,0,Ghostfire Wreath,Ghostfire Wreath,Absorbs all incoming damage and projectiles.,icon_ghostfireWreath_01.png,
springsRenewalSpell,springsRenewal.m4v,0,Spring's Renewal,Spring's Renewal,"Mark target tower. When marked tower is destroyed, gain health and rage. ",icon_springsRenewal_01.png,
bellyFlopSpell,bellyFlop.m4v,0,Belly Flop,Belly Flop,Dragon self destructs and deals tremendous damage to every tower in the area,icon_hippo_destruct_01.png,
whiteSuperRejuvenateSpell,whiteSuperRejuvenate.m4v,0,Super Rejuvenate,Super Rejuvenate,Restores a large amount of health over time,icon_superRejuvenate_01.png,
leechEssenceSpell,leechEssence.m4v,0,Leech Essence,Leech Essence,Leech essence from the last tower your dragon destroyed. Generates rage when you steal a new spell.,icon_leechEssence.png,
windFlakTower,windFlakTower.m4v,,,,,,
heatstrokeSpell,heatstroke.m4v,0,Heatstroke,Heatstroke,Fireball attack causes buildings to take damage over time.,icon_heatstroke.png,
everlastingHuntSpell,everlastingHunt.m4v,0,Everlasting Hunt,Everlasting Hunt,"If dragon dies during spell duration, explodes back to life and damages towers.",icon_everlastingHunt.png,
mysticBarrageSpell,mysticBarrage.m4v,0,Mystic Barrage,Mystic Barrage,Dragon deals greatly increased damage with its attacks,icon_mysticBarrage.png,
explosiveAegisSpell,explosiveAegis.m4v,0,Explosive Aegis,Explosive Aegis,Shields dragon. Next cast damages and debuffs towers.,icon_explosiveAegis.png,
stormShieldSpell,stormShield.m4v,0,Storm Shield,Storm Shield,Absorbs damage until depleted then explodes damaging buildings,icon_stormShield.png,
rampageSpell,rampage.m4v,0,Rampage,Rampage,Increased attack & rage generation. Destroying towers grants health.,icon_rampage.png,
magicBarrierSpell,magicBarrier.m4v,0,Magic Barrier,Magic Barrier,Shields dragon from all damage for a short duration.,icon_impenetrableAura.png,
adaptiveFlakResistSpell,adaptiveFlakResist.m4v,0,Adaptive Flak Resist,Adaptive Flak Resist,Changes Resist type on use and restores a small amount of rage.,icon_adaptiveFlakResist.png,
ferociousBarrierSpell,ferociousShield.m4v,0,Ferocious Shield,Ferocious Shield,Absorbs damage then temporarily increases attack power after shield duration,icon_ferociousShield.png,
bloodEssenceSpell,bloodEssence.m4v,0,Blood Essence,Blood Essence,Gain rage and Consume spell when dragon destroys a tower.,icon_bloodEssence.png,
heavenlyWindsSpell,heavenlyWinds.m4v,0,Heavenly Winds,Heavenly Winds,Reflects incoming projectiles back onto the attackers,icon_heavenlyWinds.png,
earthFamiliarSpell,earthFamiliar.m4v,0,Earth Familiar,Earth Familiar,Passive: Summons a Dragon familiar that increases rage generation and decreases damage taken.,icon_apophetshadow_01.png,
umbralSpikeWhiteSpell,umbralSpikeWhite.m4v,0,Umbral Spike,Umbral Spike,Damages small target area and restores health.,icon_umbralspike_01.png,
syphonStrikeSpell,syphonStrike.m4v,0,Syphon Strike,Syphon Strike,Heavily damages target tower and restores a large amount of HP.,icon_syphonStrike_01.png,
echoingBlastSpell,echoingBlast.m4v,0,Echoing Blast,Echoing Blast,Damages nearby towers and restores health. Provides brief invincibility.,icon_echoingBlast.png,
shadowDispersalSpell,shadowDispersal.m4v,0,Shadow Dispersal,Shadow Dispersal,Cloaks briefly. Damages buildings upon uncloaking.,icon_shadowDispersal_01.png,
furyOfTheWastesSpell,furyOfTheWastes.m4v,0,Fury of the Wastes,Fury of the Wastes,Passive: Dragon restores health and increases damage over time.,icon_furyOfTheWastes.png,
rainbowShotSpell,rainbowShot.m4v,0,Rainbow Shot,Rainbow Shot,Freezes and damages buildings in the affected area.,icon_rainbowShot.png,
elementalBubbleSpell,elementalBubble.m4v,0,Elemental Bubble,Elemental Bubble,Absorbs damage from elemental towers and converts a portion of it into health.,icon_elementalBubble.png,
etherealChainsSpell,etherealChains.m4v,0,Ethereal Chains,Ethereal Chains,Disables towers in target area until they take damage.,icon_etherealChains.png,
heroicSacrificeSpell,heroicSacrifice.m4v,0,Heroic Sacrifice,Heroic Sacrifice,Dragon self-destructs and deals tremendous damage to every tower in the area.,icon_heroicSacrifice.png,
cripplingChillSpell,cripplingChill.m4v,0,Crippling Chill,Crippling Chill,Freezes and damages buildings in the target area.,icon_cripplingChill.png,
energizeSpell,Sacrifice.m4v,0,Energize,Energize,Dragon takes damage and instantly gains rage.,icon_energize.png,
spectralFormSpell,spectral_Form.m4v,0,Spectral Form,Spectral Form,Dragon cloaks and rapidly generates rage and Hunter ammo. Can cast spells while cloaked.,icon_spectralForm.png,
markOfTwilightSpell,markOfTwilight.m4v,0,Mark Of Twilight,Mark Of Twilight,Blocks all damage and mage supershots. Apply rage marks to towers after shield expires.,icon_markOfTwilight.png,
deathsDoorSpell,deathsDoor.m4v,0,Death's Door,Death's Door,Attacking towers causes them to take increased damage from all sources.,icon_deathsDoor.png,
arcaneAegisSpell,arcaneAegis.m4v,0,Arcane Aegis,Arcane Aegis,Blocks all incoming damage and absorbs mage supershots to gain rage.,icon_arcaneAegis.png,
flashFreezeSpell,flashFreeze.m4v,0,Flash Freeze,Flash Freeze,Damages and freezes all towers within range. Towers take additional damage after being frozen.,icon_flashFreeze.png,
shadowStrikeSpell,shadowStrike2.m4v,0,Shadow Strike,Shadow Strike,"Dragon cloaks and recovers Hunter ammo. After cloak duration, damages nearby towers and gains damage boost.",icon_shadowStrike.png,
undyingWillSpell,undyingWill.m4v,0,Undying Will,Undying Will,After death dragon can keep attacking with increased damage and Hunter ammo regeneration.,icon_undyingWill.png,
bloodLustSpell,bloodLust.m4v,0,Bloodlust,Bloodlust,Gains Rage. Gain health on building destruction.,icon_bloodlust.png,
derisiveShriekSpell,derisiveShriek.m4v,0,Derisive Shriek,Derisive Shriek,Deals damage to nearby towers and increases the damage they take.,icon_derisiveShriek.png,
mystifySpell,mystify.m4v,0,Mystify,Mystify,Blinds towers to dodge all non-beam attacks. Dragon moves slower.,icon_mystify.png,
enshroudSpell,enshroud.m4v,0,Enshroud,Enshroud,Dragon becomes invisible and cannot be targeted until it attacks.,icon_enshroud.png,
scarletFeverSpell,scarletFever.m4v,0,Scarlet Fever,Scarlet Fever,Increases attack damage. Recast to damage and stun nearby towers.,icon_scarletFever.png,
infernoSpell,inferno.m4v,0,Inferno,Inferno,Massively increases flamethrower's damage for a short time.,icon_inferno.png,
harrowingBoltSpell,harrowingBolt.m4v,0,Harrowing Bolt,Harrowing Bolt,Fires a projectile that destroys an automatically chosen tower. Restores health and rage.,icon_harrowing_Bolt.png,
soulBarageSpell,soulBarrage.m4v,0,Soul Barrage,Soul Barrage,Fires multiple projectiles at randomly chosen towers.,icon_soulBarrage.png,
deathKnellSpell,deathKnell.m4v,0,Death Knell,Death Knell,Deals area damage and gain brief invincibility. Fully restore health and rage.,icon_deathKnell.png,
ectoplasmicBreathSpell,ectoplasmicBreath.m4v,0,Ectoplasmic Breath,Ectoplasmic Breath,Breath attack deals increased damage and causes towers to take damage over time.,icon_ectoplasmicBreath.png,
snowBlindSpell,snow_Blind.m4v,0,Snow Blind,Snow Blind,Dragon's fireball attack deals increased damage and freezes buildings.,icon_snowBlind.png,
huntersMarkSpell,hunters_Mark.m4v,0,Hunters Mark,Hunters Mark,"Mark target tower. When marked tower is destroyed, gain health and rage. ",icon_huntersMark.png,
