identifier,avatarPortraitIdentifiers,h
springEmissaryFemale,springEmissaryFemaleT1|springEmissaryFemaleT2|springEmissaryFemaleT3|springEmissaryFemaleT4,
arboriusKnight,arboriusKnightT1|arboriusKnightT2|arboriusKnightT3,
summerArchmageKnight,summerArchmageKnightT1|summerArchmageKnightT2|summerArchmageKnightT3|summerArchmageKnightT4,
summerArchmageMale,summerArchmageMaleT1|summerArchmageMaleT2|summerArchmageMaleT3|summerArchmageMaleT4,
summerArchmageFemale,summerArchmageFemaleT1|summerArchmageFemaleT2|summerArchmageFemaleT3|summerArchmageFemaleT4,
kelsisKnight,summerKelsisKnightT1|summerKelsisKnightT2|summerKelsisKnightT3,
amarokKnight,summerAmarokKnightT1|summerAmarokKnightT2|summerAmarokKnightT3,
fallAngelHunter,fallAngelHunterT1|fallAngelHunterT2|fallAngelHunterT3|fallAngelHunterT4,
fallConjurer,fallConjurerT1|fallConjurerT2|fallConjurerT3|fallConjurerT4,
fallFiendSlayer,fallFiendSlayerT1|fallFiendSlayerT2|fallFiendSlayerT3|fallFiendSlayerT4,
fallKharnyxKnight,fallKharnyxKnightT1|fallKharnyxKnightT2|fallKharnyxKnightT3|fallKharnyxKnightT4,
fallEttinKnight,fallEttinKnightT1|fallEttinKnightT2|fallEttinKnightT3,
winter17DesertAssassin,winter17DesertAssassinT1|winter17DesertAssassinT2|winter17DesertAssassinT3|winter17DesertAssassinT4,
winter17LightBow,winter17LightBowT1|winter17LightBowT2|winter17LightBowT3|winter17LightBowT4,
winter17Champion,winter17ChampionT1|winter17ChampionT2|winter17ChampionT3|winter17ChampionT4,
winter17Athena,winter17Athena,
winter17Emperor,winter17EmperorT1|winter17EmperorT2|winter17EmperorT3|winter17EmperorT4,
creatorsFactionFemale,creatorsFactionFemaleT1|creatorsFactionFemaleT2,
creatorsFactionMale,creatorsFactionMaleT1|creatorsFactionMaleT2,
winter17CaptainTor,winter17CaptainTor,
spring18CelticNinja,spring18CelticNinjaT1|spring18CelticNinjaT2|spring18CelticNinjaT3|spring18CelticNinjaT4,
spring18DeerStalker,spring18DeerStalkerT1|spring18DeerStalkerT2|spring18DeerStalkerT3|spring18DeerStalkerT4,
spring18Oksana,spring18OksanaT1|spring18OksanaT2|spring18OksanaT3,
spring18Dryad,spring18DryadT1|spring18DryadT2|spring18DryadT3|spring18DryadT4,
spring18Makduil,spring18MakduilT1|spring18MakduilT2|spring18MakduilT3|spring18MakduilT4,
summer18MesoGuard,summer18MesoGuardT1|summer18MesoGuardT2|summer18MesoGuardT3|summer18MesoGuardT4,
summer18MesoDragonDancer,summer18MesoDragonDancerT1|summer18MesoDragonDancerT2|summer18MesoDragonDancerT3|summer18MesoDragonDancerT4,
summer18MesoWarrior,summer18MesoWarriorT1|summer18MesoWarriorT2|summer18MesoWarriorT3|summer18MesoWarriorT4,
summer18MesoSpearman,summer18MesoSpearmanT1|summer18MesoSpearmanT2|summer18MesoSpearmanT3|summer18MesoSpearmanT4,
summer18MesoSkirmisher,summer18MesoSkirmisherT1|summer18MesoSkirmisherT2|summer18MesoSkirmisherT3|summer18MesoSkirmisherT4,
atlasPirateCaptain,atlasPirateCaptainT1|atlasPirateCaptainT2|atlasPirateCaptainT3|atlasPirateCaptainT4,
templeRaidIgnias,templeRaidIgnias,
templeRaidGlacias,templeRaidGlacias,
templeRaidFluxias,templeRaidFluxias,
templeRaidObsidias,templeRaidObsidias,
templeRaidSylvinias,templeRaidSylvinias,
templeRaidUberIgnias,templeRaidUberIgnias,
templeRaidUberGlacias,templeRaidUberGlacias,
templeRaidUberFluxias,templeRaidUberFluxias,
templeRaidUberObsidias,templeRaidUberObsidias,
templeRaidUberSylvinias,templeRaidUberSylvinias,
fall18MaskJester,fall18MaskJesterT1|fall18MaskJesterT2|fall18MaskJesterT3|fall18MaskJesterT4,
fall18MaskDuelist,fall18MaskDuelistT1|fall18MaskDuelistT2|fall18MaskDuelistT3|fall18MaskDuelistT4,
fall18MaskLady,fall18MaskLadyT1|fall18MaskLadyT2|fall18MaskLadyT3|fall18MaskLadyT4,
atlasButcherKnight,atlasButcherKnightT1|atlasButcherKnightT2|atlasButcherKnightT3|atlasButcherKnightT4,
atlasPoacherMale,atlasPoacherMaleT1|atlasPoacherMaleT2|atlasPoacherMaleT3|atlasPoacherMaleT4,
fall18MaskGentleman,fall18MaskGentlemanT1|fall18MaskGentlemanT2|fall18MaskGentlemanT3|fall18MaskGentlemanT4,
fall18MaskBladeDancer,fall18MaskBladeDancerT1|fall18MaskBladeDancerT2|fall18MaskBladeDancerT3|fall18MaskBladeDancerT4,
fall18HeadlessHorseman,fall18HeadlessHorsemanT1A|fall18HeadlessHorsemanT1B|fall18HeadlessHorsemanT2A|fall18HeadlessHorsemanT2B|fall18HeadlessHorsemanT3A|fall18HeadlessHorsemanT3B|fall18HeadlessHorsemanT4,
winter18vikingRaider01,winter18vikingRaider01T1|winter18vikingRaider01T2|winter18vikingRaider01T3|winter18vikingRaider01T4,
winter18vikingRaider02,winter18vikingRaider02T1|winter18vikingRaider02T2|winter18vikingRaider02T3|winter18vikingRaider02T4,
winter18vikingRaider03,winter18vikingRaider03T1|winter18vikingRaider03T2|winter18vikingRaider03T3|winter18vikingRaider03T4,
winter18vikingShieldMaiden,winter18vikingShieldMaidenT1|winter18vikingShieldMaidenT2|winter18vikingShieldMaidenT3|winter18vikingShieldMaidenT4,
winter18vikingRaider021,winter18vikingRaider021T1|winter18vikingRaider021T2|winter18vikingRaider021T3|winter18vikingRaider021T4,
winter18Valentines,winter18ValentinesT1|winter18ValentinesT2|winter18ValentinesT3|winter18ValentinesT4,
atlasCloudRider,atlasCloudRiderT1|atlasCloudRiderT2|atlasCloudRiderT3|atlasCloudRiderT4,
winter18festiveAsh,winter18festiveAshT3|winter18festiveAshT4,
winter18festiveTor,winter18festiveTorT3|winter18festiveTorT4,
winter18festiveKharnyx,winter18festiveKharnyxT3|winter18festiveKharnyxT4,
atlasPoacherFemale,atlasPoacherFemaleT1|atlasPoacherFemaleT2|atlasPoacherFemaleT3|atlasPoacherFemaleT4,
dreadnoughtFirstPlace,dreadnoughtFirstPlaceT1|dreadnoughtFirstPlaceT2|dreadnoughtFirstPlaceT3,
lethalDescentSecondPlace,lethalDescentSecondPlaceT1|lethalDescentSecondPlaceT2,
japaneeeezeThirdPlace,japaneeeezeThirdPlaceT1|japaneeeezeThirdPlaceT2,
moderator,moderatorT3,
winter18vikingValkyrie,winter18vikingValkyrieT1|winter18vikingValkyrieT2|winter18vikingValkyrieT3|winter18vikingValkyrieT4,
spring19BlindSwordsman,spring19BlindSwordsmanT1A|spring19BlindSwordsmanT1B|spring19BlindSwordsmanT2A|spring19BlindSwordsmanT2B|spring19BlindSwordsmanT3A|spring19BlindSwordsmanT3B|spring19BlindSwordsmanT4,
spring19Ronin1,spring19Ronin1T1A|spring19Ronin1T1B|spring19Ronin1T2A|spring19Ronin1T2B|spring19Ronin1T3A|spring19Ronin1T3B|spring19Ronin1T4,
spring19Ronin2,spring19Ronin2T1A|spring19Ronin2T1B|spring19Ronin2T2A|spring19Ronin2T2B|spring19Ronin2T3A|spring19Ronin2T3B|spring19Ronin2T4,
atlasCaptainFire,atlasCaptainFireT1|atlasCaptainFireT2|atlasCaptainFireT3|atlasCaptainFireT4,
atlasCaptainWind,atlasCaptainWindT1|atlasCaptainWindT2|atlasCaptainWindT3|atlasCaptainWindT4,
spring19FireSamurai1,spring19FireSamurai1T1A|spring19FireSamurai1T1B|spring19FireSamurai1T2A|spring19FireSamurai1T2B|spring19FireSamurai1T3A|spring19FireSamurai1T3B|spring19FireSamurai1T4,
spring19Kazane1,spring19Kazane1T1A|spring19Kazane1T1B|spring19Kazane1T2A|spring19Kazane1T2B|spring19Kazane1T3A|spring19Kazane1T3B|spring19Kazane1T4,
atlasFergaKnight,atlasFergaKnightT1|atlasFergaKnightT2|atlasFergaKnightT3,
spring19Ronin3,spring19Ronin3T1A|spring19Ronin3T1B|spring19Ronin3T2A|spring19Ronin3T2B|spring19Ronin3T3A|spring19Ronin3T3B|spring19Ronin3T4,
summer19Leilani1,summer19Leilani1T1A|summer19Leilani1T1B|summer19Leilani1T2A|summer19Leilani1T2B|summer19Leilani1T3A|summer19Leilani1T3B|summer19Leilani1T4,
summer19TideCaller1,summer19TideCaller1T1A|summer19TideCaller1T1B|summer19TideCaller1T2A|summer19TideCaller1T2B|summer19TideCaller1T3A|summer19TideCaller1T3B|summer19TideCaller1T4,
summer19CoastalHunter1,summer19CoastalHunter1T1A|summer19CoastalHunter1T1B|summer19CoastalHunter1T2A|summer19CoastalHunter1T2B|summer19CoastalHunter1T3A|summer19CoastalHunter1T3B|summer19CoastalHunter1T4,
atlasArcher,atlasArcherT1|atlasArcherT2|atlasArcherT3|atlasArcherT4,
assault,assaultT1|assaultT4,
summer19GrottoWarden1,summer19GrottoWardenT1A|summer19GrottoWardenT1B|summer19GrottoWardenT2A|summer19GrottoWardenT2B|summer19GrottoWardenT3A|summer19GrottoWardenT3B|summer19GrottoWardenT4,
summer19Ano1,summer19AnoT1A|summer19AnoT1B|summer19AnoT2A|summer19AnoT2B|summer19AnoT3A|summer19AnoT3B|summer19AnoT4,
veteranMale,veteranMaleT1,
veteranFemale,veteranFemaleT1,
fall19VoidPriestess1,fall19VoidPriestessT1A|fall19VoidPriestessT1B|fall19VoidPriestessT2A|fall19VoidPriestessT2B|fall19VoidPriestessT3A|fall19VoidPriestessT3B|fall19VoidPriestessT4,
fall19GustavTheRisen1,fall19GustavTheRisenT1A|fall19GustavTheRisenT1B|fall19GustavTheRisenT2A|fall19GustavTheRisenT2B|fall19GustavTheRisenT3A|fall19GustavTheRisenT3B|fall19GustavTheRisenT4,
fall19Reginald1,fall19ReginaldT1A|fall19ReginaldT1B|fall19ReginaldT2A|fall19ReginaldT2B|fall19ReginaldT3A|fall19ReginaldT3B|fall19ReginaldT4,
fall19VampireHunter,fall19VampireHunterT1A|fall19VampireHunterT1B|fall19VampireHunterT2A|fall19VampireHunterT2B|fall19VampireHunterT3A|fall19VampireHunterT3B|fall19VampireHunterT4,
fall19Vivian,fall19VivianT1A|fall19VivianT1B|fall19VivianT2A|fall19VivianT2B|fall19VivianT3A|fall19VivianT3B|fall19VivianT4,
fall19Necryx,fall19NecryxT1|fall19NecryxT2|fall19NecryxT3,
dungeonFirstEventCelestial,dungeonFirstEventCelestialT1,
dungeonFirstEventCorruptedCelestial,dungeonFirstEventCorruptedCelestialT1,
fall19Summit2019FemalePortrait,fall19Summit2019FemalePortraitT1,
fall19Summit2019MalePortrait,fall19Summit2019MalePortraitT1,
winter20DragonTamer,winter20DragonTamerT1A|winter20DragonTamerT1B|winter20DragonTamerT2A|winter20DragonTamerT2B|winter20DragonTamerT3A|winter20DragonTamerT3B|winter20DragonTamerT4,
winter20DwarvenOutrider,winter20DwarvenOutriderT1A|winter20DwarvenOutriderT1B|winter20DwarvenOutriderT2A|winter20DwarvenOutriderT2B|winter20DwarvenOutriderT3A|winter20DwarvenOutriderT3B|winter20DwarvenOutriderT4,
winter20Rosheen,winter20RosheenT1A|winter20RosheenT1B|winter20RosheenT2A|winter20RosheenT2B|winter20RosheenT3A|winter20RosheenT3B|winter20RosheenT4,
atlasInquisitor,atlasInquisitorT1A|atlasInquisitorT1B|atlasInquisitorT2A|atlasInquisitorT2B|atlasInquisitorT3A|atlasInquisitorT3B|atlasInquisitorT4,
atlasTundra,atlasTundraT1A|atlasTundraT1B|atlasTundraT2A|atlasTundraT2B|atlasTundraT3A|atlasTundraT3B|atlasTundraT4,
austeros,austerosT1|austerosT2|austerosT3,
aquileas,aquileasT1|aquileasT2|aquileasT3,!@#cmmhjdcggjkoianj
