identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
ElectroFlakTowerUpgrades_23,23,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:2000,691200,,56,170138,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,91995,205862,0,,,,,experience:16000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,14,,,34030,
ElectroFlakTowerUpgrades_24,24,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:269232,864000,,64,199848,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,108052,241794,0,,,,,experience:17600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,16,,,47001,
ElectroFlakTowerUpgrades_25,25,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2200,864000,,64,234747,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,126915,284005,0,,,,,experience:19200,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,17,,,64832,
ElectroFlakTowerUpgrades_26,26,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:340800,936000,,73,290936,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,157281,351958,0,,,,,experience:20800,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,19,,,99533,
ElectroFlakTowerUpgrades_27,27,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2400,1080000,,73,360575,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,194918,436181,0,,,,,experience:24000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,20,,,152902,
ElectroFlakTowerUpgrades_28,28,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:422592,1152000,,85,421736,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,227976,510155,0,,,,,experience:25600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,20,,,209252,
ElectroFlakTowerUpgrades_29,29,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2600,1224000,,85,465514,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,251634,563096,0,,,,,experience:27200,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,20,,,254858,
ElectroFlakTowerUpgrades_30,30,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:504384,1224000,,94,513838,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,277748,621534,0,,,,,experience:30400,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,20,,,310522,
ElectroFlakTowerUpgrades_31,31,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2800,1370990,,94,567178,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,306573,686038,0,,,,,experience:32000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,20,,,378438,
ElectroFlakTowerUpgrades_32,32,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:586176,1468800,,106,626058,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,338390,757237,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,21,,,461039,
ElectroFlakTowerUpgrades_33,33,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:3000,1566720,,106,691048,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,373515,835838,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,21,,,561732,
ElectroFlakTowerUpgrades_34,34,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:667968,1664640,,118,762785,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,412283,922590,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,22,,,684444,
ElectroFlakTowerUpgrades_35,35,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:3200,1762560,,118,841968,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,455069,1018336,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,22,,,833814,
ElectroFlakTowerUpgrades_36,36,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:749760,1762560,,130,929374,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,502305,1124040,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,23,,,1015934,
ElectroFlakTowerUpgrades_37,37,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:3400,1762560,,130,1025854,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,554443,1240712,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,23,,,1237842,
ElectroFlakTowerUpgrades_38,38,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:831552,1762560,,142,1132348,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,611991,1369491,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,24,,,1508129,
ElectroFlakTowerUpgrades_39,39,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:3600,1762560,,142,1249899,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,675519,1511651,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,24,,,1837482,
ElectroFlakTowerUpgrades_40,40,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:913344,1762560,,151,1379651,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,745636,1668555,0,,,,,experience:33600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,25,,,2238710,
ElectroFlakTowerUpgrades_41,41,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:3800,2290604,,151,1522874,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,823035,1841757,0,,,,,experience:35349,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,25,,,2727549,
ElectroFlakTowerUpgrades_42,42,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:995136,2743903,,163,1680966,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,908464,2032926,0,,,,,experience:42345,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,26,,,3323359,
ElectroFlakTowerUpgrades_43,43,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:4000,3197201,,163,1855469,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1002762,2243944,0,,,,,experience:49340,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,26,,,4049060,
ElectroFlakTowerUpgrades_44,44,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:1076928,3650500,,175,2048088,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1106852,2476872,0,,,,,experience:56335,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,27,,,4933405,
ElectroFlakTowerUpgrades_45,45,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:4200,4103799,,175,2260702,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1136737,2625485,0,,,,,experience:63331,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,27,,,6010654,
ElectroFlakTowerUpgrades_46,46,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:1158720,4177339,,187,2495388,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1167429,2783013,0,,,,,experience:70326,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,28,,,7323359,
ElectroFlakTowerUpgrades_47,47,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:4400,4314507,,187,2754439,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1198950,2949994,0,,,,,experience:77321,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,28,,,7853339,
ElectroFlakTowerUpgrades_48,48,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:1240512,4553079,,196,3040383,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1231322,3126994,0,,,,,experience:84317,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,29,,,8065591,
ElectroFlakTowerUpgrades_49,49,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:4600,4602106,,196,3356012,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1264567,3314613,0,,,,,experience:91312,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,29,,,8277844,
ElectroFlakTowerUpgrades_50,50,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:1322304,4777719,,208,3704405,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1298710,3513490,0,,,,,experience:98307,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,30,,,8490096,
ElectroFlakTowerUpgrades_51,51,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:4800,5000000,,208,4088968,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1378005,4069217,0,,,,,experience:101805,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,30,,,8900280,
ElectroFlakTowerUpgrades_52,52,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:1363200,5000000,,214,4513453,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1457300,4624944,0,,,,,experience:105303,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,30,,,9928397,
ElectroFlakTowerUpgrades_53,53,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:5000,5000000,,214,4982005,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1536594,5180672,0,,,,,experience:106000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,31,,,10995134,
ElectroFlakTowerUpgrades_54,54,0,bld_flakWind_level05.lvl,stru_tower_lobLocators.lvl,piercing:1404096,5000000,,220,5499199,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1615889,5736399,0,,,,,experience:106000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,32,,,12100493,
