identifier,inBundle,sceneFilename,speed,launchDuration,invertible,dodgeable,viewControllerClassName,fireSoundIdentifier,impactTargetSoundFilename,chargingParticleEffectIdentifier,chargingParticleEffectScale,originParticleEffectIdentifier,originParticleEffectScale,onTargetParticleEffectIdentifier,onTargetParticleEffectScale,onGroundParticleEffectIdentifier,onGroundParticleEffectScale,onWaterParticleEffectIdentifier,onWaterParticleEffectScale,projectileParticleEffectIdentifier,additionalParameters,h
prj_archer_special_short_circuit_level04,0,prj_archer_special_level04.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_shortCircuited_level04,,
prj_archer_special_short_circuit_level05,0,prj_archer_special_level05.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_shortCircuited_level05,,
prj_archer_height_special,1,prj_archer_height_special.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
lightning_bolt,1,,300,0,0,0,LightningProjectileViewController,,,,,lightning_tower2,1.25,lightning_super_target2,0.7,,,ptl_ocean_splash,5,,,
lightning_bolt_special,1,,300,0,0,0,LightningSuperShotProjectileViewController,,,,,lightning_super_origin,0.75,,,,,ptl_ocean_splash,5,,,
trebuchet_ball1,1,prj_trebuchet_ball1.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball2,0,prj_trebuchet_ball2.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball3,0,prj_trebuchet_ball3.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball4,0,prj_trebuchet_ball4.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball5,0,prj_trebuchet_ball5.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball1_special,1,prj_trebuchet_ball1_special.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball2_special,0,prj_trebuchet_ball2_special.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,,,
trebuchet_ball3_special,0,prj_trebuchet_ball3_special.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,cmp_ptl_trebuchetSuper_level03,,
trebuchet_ball4_special,0,prj_trebuchet_ball4_special.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,cmp_ptl_trebuchetSuper_level04,,
trebuchet_ball5_special,0,prj_trebuchet_ball5_special.lvl,40,0.7,1,1,,,,,,,,trebuchet_explosion,3,,,ptl_ocean_splash,5,cmp_ptl_trebuchetSuper_level05,,
instakill,1,prj_instakill.lvl,100,0,0,0,,,,,,,,instakill_hit,3,,,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
bone_attack,1,prj_boneAttack.lvl,45,0,0,0,,,,,,,,fireball_hit,3,,,ptl_ocean_splash,5,,,
bone_attack_weak,1,prj_boneAttack_weak.lvl,45,0,0,0,,,,,,,,fireball_hit,3,,,ptl_ocean_splash,5,,,
serpent_attack,1,prj_serpent.lvl,80,0,1,1,,,,,,,,fireball_hit,3,,,ptl_ocean_splash,5,,,
serpent_attack_weak,1,prj_serpent_weak.lvl,80,0,1,1,,,,,,,,fireball_hit,3,,,ptl_ocean_splash,5,,,
three_headed_attack,0,prj_fireball.lvl,60,0,1,1,ThreeHeadedAttackProjectileViewController,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
three_headed_attack_weak,0,prj_fireball_weak.lvl,60,0,1,1,ThreeHeadedAttackProjectileViewController,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
dodo_attack,0,prj_dodo.lvl,45,0,1,1,,,,,,,,fireball_hit,3,,,ptl_ocean_splash,5,,,
fossil_attack,0,prj_fossil.lvl,45,0,1,1,,,,,,,,fireball_hit,3,,,ptl_ocean_splash,5,,,
blue_mage_special,1,,75,0,0,0,BeamProjectileViewController,blue_mage_fired,,,,ptl_magetower_blueInitiate,2.5,ptl_onHit_blueMage,2,,,ptl_ocean_splash,5,cmpptl_blueMageBeam,boundingMinimum:-5~-5~0|boundingMaximum:5~5~100,
red_mage_special,1,prj_magetower_redFireball.lvl,45,0,0,1,,red_mage_fired,,,,ptl_magetower_redInitiate,5,ptl_onHit_redMage,1,,,ptl_ocean_splash,5,,,
prj_alienBug,1,prj_alienBug.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_blackDragon,0,prj_blackDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_chineseDragon,0,prj_chineseDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_elegantDragon,0,prj_elegantDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_fossilDragon,0,prj_fossilDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_goldDragon,0,prj_goldDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_nightDragon,0,prj_nightDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
prj_skeletalDragon,0,prj_skeletalDragon.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
fireTurret,0,prj_fireTurret_fireball.lvl,25,2,1,1,,,,flameTurret_ChargeUp,5,ptl_flameTurret_Initiate,1,ptl_onHit_flameTurret_BasicAOE,5,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
fireTurretSpecial,0,,100,0,0,0,BeamProjectileViewController,,,,,ptl_flameTurretSpecial_Initiate,2,,1,,,ptl_ocean_splash,5,cmp_ptl_flameTurret_beam,onHitDuration:1.0|dissipateDuration:0.25|boundingMinimum:-5~-5~0|boundingMaximum:5~5~100,
iceTurret,0,,100,0,0,0,BeamProjectileViewController,,,,,ptl_iceTurret_Initiate,1,,0.5,,,ptl_ocean_splash,5,cmp_ptl_iceTurret_beam,onHitDuration:1.0|dissipateDuration:0.25|boundingMinimum:-5~-5~0|boundingMaximum:5~5~100,
prj_drg_fire_01,1,prj_drg_fire_01.lvl,110,0,1,1,,,,,,,,ptl_drg_fire_proj_impact_02,6,ptl_drg_fire_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_earth_01,1,prj_drg_earth_01.lvl,110,0,1,1,,,,,,,,ptl_drg_earth_proj_impact_02,6,ptl_drg_earth_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_earth_02,1,prj_drg_earth_02.lvl,110,0,1,1,,,,,,,,ptl_drg_earth_proj_impact_02,6,ptl_drg_earth_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_ice_01,1,prj_drg_ice_01.lvl,110,0,1,1,,,,,,,,ptl_drg_ice_proj_impact_02,6,ptl_drg_ice_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_shadow_01,1,prj_drg_shadow_01.lvl,110,0,1,1,,,,,,,,ptl_drg_shadow_proj_impact_02,6,ptl_drg_shadow_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_undead_01,1,prj_drg_undead_01.lvl,110,0,1,1,,,,,,,,ptl_drg_undead_proj_impact_02,6,ptl_drg_undead_proj_impact_01,6,ptl_ocean_splash,5,,,
drg_fire_flame_01,1,prj_drg_red_fire_flame.lvl,95,0,1,1,,,,,,,,drg_fire_flame_impact_01,9,drg_fire_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_earth_flame_01,1,prj_drg_green_earth_flame.lvl,95,0,1,1,,,,,,,,drg_earth_flame_impact_01,9,drg_earth_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_ice_flame_01,1,prj_drg_blue_ice_flame.lvl,95,0,1,1,,,,,,,,drg_ice_flame_impact_01,9,drg_ice_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_shadow_flame_01,1,prj_drg_purple_shadow_flame.lvl,95,0,1,1,,,,,,,,drg_shadow_flame_impact_01,9,drg_shadow_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_undead_flame_01,1,prj_drg_undead_flame.lvl,95,0,1,1,,,,,,,,drg_undead_flame_impact_01,9,drg_undead_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_src_fire_01,1,prj_drg_fire_01.lvl,80,0,1,1,,,,,,,,ptl_drg_fire_proj_impact_02,6,ptl_drg_fire_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_src_earth_01,1,prj_drg_earth_01.lvl,80,0,1,1,,,,,,,,ptl_drg_earth_proj_impact_02,6,ptl_drg_earth_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_src_earth_02,1,prj_drg_earth_02.lvl,80,0,1,1,,,,,,,,ptl_drg_earth_proj_impact_02,6,ptl_drg_earth_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_src_ice_01,1,prj_drg_ice_01.lvl,80,0,1,1,,,,,,,,ptl_drg_ice_proj_impact_02,6,ptl_drg_ice_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_src_shadow_01,1,prj_drg_shadow_01.lvl,80,0,1,1,,,,,,,,ptl_drg_shadow_proj_impact_02,6,ptl_drg_shadow_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_drg_src_undead_01,1,prj_drg_undead_01.lvl,80,0,1,1,,,,,,,,ptl_drg_undead_proj_impact_02,6,ptl_drg_undead_proj_impact_01,6,ptl_ocean_splash,5,,,
prj_bld_magetower_01,1,prj_bld_magetower_01.lvl,55,0.3,1,1,,,,,,,,ptl_impact_Magetower_01,6,,,,,,,
freeze,1,prj_drg_freeze_spell_01.lvl,55,0,0,0,,,,,,,,ptl_freeze_spell_impact_02,10,ptl_freeze_spell_impact_02,10,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
superFreeze,0,prj_drg_freeze_spell_01.lvl,70,0,0,0,,,,,,,,ptl_freeze_spell_impact_02,10,ptl_freeze_spell_impact_02,10,ptl_ocean_splash,5,,splashRange:20.0|attackRange:110,
lockdown,0,prj_lockdown_01.lvl,100,0,0,0,,,,,,,,,3,,,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
flux,0,prj_drg_flux.lvl,220,0,0,0,,,,,,,,flux_onBuilding,5,flux_onBuilding,5,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
galvanicOverload,0,prj_galvanicOverload.lvl,100,0,0,0,,,,,,,,,3,,,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
drg_heated_flame_01,0,prj_drg_heated_flame.lvl,120,0,1,1,,,,,,,,drg_heated_flame_impact_01,9,drg_heated_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_radiance_flame_01,0,prj_drg_radiance_flame.lvl,120,0,1,1,,,,,,,,drg_radiance_flame_impact_01,4,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_piercing_flame_01,0,prj_drg_piercing_flame.lvl,120,0,1,1,,,,,,,,drg_piercing_flame_impact_01,4,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
umbralSpike,0,prj_umbralSpike.lvl,100,0,0,0,,,,,,,,umbralSpike_hit,3,umbralSpike_hit,3,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
prj_drg_src_nightfall_01,0,prj_drg_nightfall_01.lvl,55,0,1,1,,,,,,,,ptl_drg_nightfall_proj_impact_02,6,ptl_drg_nightfall_proj_impact_01,6,ptl_ocean_splash,5,,,
drg_shadowApophet_flame_01,0,prj_drg_shadowApophet_flame.lvl,100,0,1,1,,,,,,,,drg_shadowApophet_flame_impact_01,2,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1.5|maximumDistance:700,
desiccatingSand,0,prj_desiccating_sand.lvl,100,0,0,0,,,,,,,,,3,ptl_drg_desiccating_sand_onGround,3,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
crumbleToDust,0,prj_crumble_to_dust.lvl,100,0,0,0,,,,,,,,,3,ptl_drg_crumble_to_dust_impact,1,ptl_ocean_splash,5,,splashRange:18.0|attackRange:110,
prj_drg_src_blackblood_01,0,prj_drg_blackblood_01.lvl,80,0,1,1,,,,,,ptl_drg_blackblood_proj_impact_02,6,ptl_drg_blackblood_proj_impact_01,6,ptl_ocean_splash,5,,,,,
prj_drg_blackblood_01,0,prj_drg_blackblood_01.lvl,110,0,1,1,,,,,,ptl_drg_blackblood_proj_impact_02,6,ptl_drg_blackblood_proj_impact_01,6,ptl_ocean_splash,5,,,,,
drg_blackblood_flame_01,0,prj_blackblood_flame.lvl,95,0,1,1,,,,,,drg_blackblood_flame_impact_01,9,drg_blackblood_flame_impact_01,9,ptl_ocean_splash,5,,,,,
iceShock,0,prj_drg_freeze_spell_01.lvl,60,0,0,0,,,,,,,,ptl_freeze_spell_impact_02,10,ptl_freeze_spell_impact_02,10,ptl_ocean_splash,5,,splashRange:8.0|attackRange:140,
southernCross,0,prj_desiccating_sand.lvl,125,0,0,0,,,,,,ptl_drg_chain_lightning_impact_01,2,ptl_drg_chain_lightning_impact_01,7,ptl_drg_chain_lightning_impact_01,7,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
prj_drg_src_celestialDance_dark,0,prj_drg_celestialDance_dark_01.lvl,55,0,1,1,,,,,,ptl_drg_celestialDance_dark_proj_impact_02,6,ptl_drg_celestialDance_dark_proj_impact_01,6,ptl_ocean_splash,5,,,,,
prj_drg_src_celestialDance_light,0,prj_drg_celestialDance_light_01.lvl,55,0,1,1,,,,,,ptl_drg_celestialDance_light_proj_impact_02,6,ptl_drg_celestialDance_light_proj_impact_01,6,ptl_ocean_splash,5,,,,,
drg_malefic_flame_01,0,prj_drg_malefic_flame_01.lvl,120,0,1,1,,,,,,,,drg_malefic_flame_impact_01,9,drg_malefic_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_frostbite_01,1,prj_drg_frostbite_01.lvl,110,0,1,1,,,,,,,,ptl_drg_ice_proj_impact_02,6,ptl_drg_ice_proj_impact_01,6,ptl_ocean_splash,5,,,
earthquake,1,prj_drg_earthquake_spell_01.lvl,55,0,0,0,,,,,,,,ptl_earthquake_spell_impact_02,10,ptl_earthquake_spell_impact_02,10,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
noxiousVines,0,prj_noxious_vines.lvl,100,0,0,0,,,,,,,,,3,ptl_drg_noxious_vines_onGround,3,ptl_ocean_splash,5,,splashRange:12.0|attackRange:110,
uproot,0,prj_uproot.lvl,100,0,0,0,,,,,,,,uproot_hit,3,uproot_hit,3,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
tectonicTomb,1,prj_drg_earthquake_spell_01.lvl,55,0,0,0,,,,,,,,,10,,10,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
prj_elementalFlakDark,0,prj_elementalFlakFire.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakDarkInitiate,3,ptl_onHit_elementalFlakDarkExplosion,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakDark_special,0,prj_elementalFlakFire.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakDarkSuper,3,ptl_onHit_elementalFlakDarkExplosion,3,,,ptl_ocean_splash,5,,,
enfeeble,0,prj_crumble_to_dust.lvl,100,0,0,0,,,,,,,,,3,ptl_drg_crumble_to_dust_impact,1,ptl_ocean_splash,5,,splashRange:7.0|attackRange:120,
drg_berserk_flame_01,0,prj_drg_berserk_flame_01.lvl,120,0,0,0,,,,,,,,drg_berserk_flame_impact_01,9,drg_berserk_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_elementalFlakFire,0,prj_elementalFlakFire.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakFireInitiate,3,ptl_onHit_elementalFlakFireExplosion,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakFire_special,0,prj_elementalFlakFire.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakFireSuper,3,ptl_onHit_elementalFlakFireExplosion,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakFire_death,0,prj_flak_fire_flack.lvl,70,0.3,0,1,,,,,,ptl_elementalFlakFireSuper,3,ptl_onHit_elementalFlakFireExplosion,3,,,ptl_ocean_splash,5,,attackRange:60,
drg_starlight_flame,1,prj_drg_starlight.lvl,95,0,1,1,,,,,,,,ptl_imp_drg_starlight_hit,6,ptl_imp_drg_starlight_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_prism_flame,1,prj_drg_prism.lvl,95,0,1,1,,,,,,,,ptl_imp_drg_prism_hit,9,ptl_imp_drg_prism_miss,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_owl_fire,1,prj_drg_owl.lvl,110,0,1,1,,,,,,,,ptl_imp_drg_owl_hit,10,ptl_imp_drg_owl_miss,10,ptl_ocean_splash,5,,,
prj_drg_chroma_fire,1,prj_drg_chroma.lvl,110,0,1,1,,,,,,,,ptl_imp_drg_chroma_hit,10,ptl_imp_drg_chroma_miss,10,ptl_ocean_splash,5,,,
prj_drg_src_abyssalAngler,1,prj_drg_abyssalAngler.lvl,80,0,1,1,,,,,,,,ptl_imp_drg_abyssalAngler_hit,10,ptl_imp_drg_abyssalAngler_miss,10,ptl_ocean_splash,5,,,
prj_drg_src_undead_wraith,1,prj_drg_undead_wraith.lvl,80,0,1,1,,,,,,,,ptl_imp_drg_undead_wraith_hit,10,ptl_imp_drg_undead_wraith_miss,10,ptl_ocean_splash,5,,,
drg_obsidianWarrior_flame,1,prj_drg_obsidianWarrior.lvl,95,0,1,1,,,,,,,,ptl_imp_drg_obsidianWarrior_hit,6,ptl_imp_drg_obsidianWarrior_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_obsidianHunter_fire,1,prj_drg_obsidianHunter.lvl,110,0,1,1,,,,,,,,ptl_imp_drg_obsidianHunter_hit,10,ptl_imp_drg_obsidianHunter_miss,10,ptl_ocean_splash,5,,,
prj_drg_src_obsidianSorcerer,1,prj_drg_obsidianSorcerer.lvl,80,0,1,1,,,,,,,,ptl_imp_drg_obsidianSorcerer_hit,10,ptl_imp_drg_obsidianSorcerer_miss,10,ptl_ocean_splash,5,,,
drg_isolation_flame_01,0,prj_drg_isolation_flame.lvl,120,0,0,0,,,,,,,,,,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_lightspeed,0,prj_drg_lightspeed.lvl,150,0,0,0,,,,,,,,ptl_imp_drg_lightspeed_hit,10,ptl_imp_drg_lightspeed_miss,10,ptl_ocean_splash,5,,,
prj_drg_src_twitchFan,0,prj_drg_twitchFan.lvl,80,0,1,1,,,,,,,,ptl_imp_drg_twitchFan_hit,10,ptl_imp_drg_twitchFan_miss,10,ptl_ocean_splash,5,,,
