identifier,currency,isCurrency,level,conversionRatio,ratioUnit,allowedSwapCategories,h
piercing_217,piercing,1,217,269.5,ruby,,
piercing_218,piercing,1,218,269.5,ruby,,
piercing_219,piercing,1,219,269.5,ruby,,
piercing_220,piercing,1,220,269.5,ruby,,
piercing_221,piercing,1,221,269.5,ruby,,
piercing_222,piercing,1,222,269.5,ruby,,
piercing_223,piercing,1,223,269.5,ruby,,
piercing_224,piercing,1,224,269.5,ruby,,
piercing_225,piercing,1,225,269.5,ruby,,
piercing_226,piercing,1,226,269.5,ruby,,
piercing_227,piercing,1,227,269.5,ruby,,
piercing_228,piercing,1,228,269.5,ruby,,
piercing_229,piercing,1,229,269.5,ruby,,
piercing_230,piercing,1,230,269.5,ruby,,
piercing_231,piercing,1,231,269.5,ruby,,
piercing_232,piercing,1,232,269.5,ruby,,
piercing_233,piercing,1,233,269.5,ruby,,
piercing_234,piercing,1,234,269.5,ruby,,
piercing_235,piercing,1,235,269.5,ruby,,
piercing_236,piercing,1,236,269.5,ruby,,
piercing_237,piercing,1,237,269.5,ruby,,
piercing_238,piercing,1,238,269.5,ruby,,
piercing_239,piercing,1,239,269.5,ruby,,
piercing_240,piercing,1,240,269.5,ruby,,
piercing_241,piercing,1,241,269.5,ruby,,
piercing_242,piercing,1,242,269.5,ruby,,
piercing_243,piercing,1,243,269.5,ruby,,
piercing_244,piercing,1,244,269.5,ruby,,
piercing_245,piercing,1,245,269.5,ruby,,
piercing_246,piercing,1,246,269.5,ruby,,
piercing_247,piercing,1,247,269.5,ruby,,
piercing_248,piercing,1,248,269.5,ruby,,
piercing_249,piercing,1,249,269.5,ruby,,
piercing_250,piercing,1,250,269.5,ruby,,
piercing_251,piercing,1,251,269.5,ruby,,
piercing_252,piercing,1,252,269.5,ruby,,
piercing_253,piercing,1,253,269.5,ruby,,
piercing_254,piercing,1,254,269.5,ruby,,
piercing_255,piercing,1,255,269.5,ruby,,
piercing_256,piercing,1,256,269.5,ruby,,
piercing_257,piercing,1,257,269.5,ruby,,
piercing_258,piercing,1,258,269.5,ruby,,
piercing_259,piercing,1,259,269.5,ruby,,
piercing_260,piercing,1,260,269.5,ruby,,
piercing_261,piercing,1,261,269.5,ruby,,
piercing_262,piercing,1,262,269.5,ruby,,
piercing_263,piercing,1,263,269.5,ruby,,
piercing_264,piercing,1,264,269.5,ruby,,
piercing_265,piercing,1,265,269.5,ruby,,
piercing_266,piercing,1,266,269.5,ruby,,
piercing_267,piercing,1,267,269.5,ruby,,
piercing_268,piercing,1,268,269.5,ruby,,
piercing_269,piercing,1,269,269.5,ruby,,
piercing_270,piercing,1,270,269.5,ruby,,
piercing_271,piercing,1,271,269.5,ruby,,
piercing_272,piercing,1,272,269.5,ruby,,
piercing_273,piercing,1,273,269.5,ruby,,
piercing_274,piercing,1,274,269.5,ruby,,
piercing_275,piercing,1,275,269.5,ruby,,
piercing_276,piercing,1,276,269.5,ruby,,
piercing_277,piercing,1,277,269.5,ruby,,
piercing_278,piercing,1,278,269.5,ruby,,
piercing_279,piercing,1,279,269.5,ruby,,
piercing_280,piercing,1,280,269.5,ruby,,
piercing_281,piercing,1,281,269.5,ruby,,
piercing_282,piercing,1,282,269.5,ruby,,
piercing_283,piercing,1,283,269.5,ruby,,
piercing_284,piercing,1,284,269.5,ruby,,
piercing_285,piercing,1,285,269.5,ruby,,
piercing_286,piercing,1,286,269.5,ruby,,
piercing_287,piercing,1,287,269.5,ruby,,
piercing_288,piercing,1,288,269.5,ruby,,
piercing_289,piercing,1,289,269.5,ruby,,
piercing_290,piercing,1,290,269.5,ruby,,
piercing_291,piercing,1,291,269.5,ruby,,
piercing_292,piercing,1,292,269.5,ruby,,
piercing_293,piercing,1,293,269.5,ruby,,
piercing_294,piercing,1,294,269.5,ruby,,
piercing_295,piercing,1,295,269.5,ruby,,
piercing_296,piercing,1,296,269.5,ruby,,
piercing_297,piercing,1,297,269.5,ruby,,
piercing_298,piercing,1,298,269.5,ruby,,
piercing_299,piercing,1,299,269.5,ruby,,
piercing_300,piercing,1,300,269.5,ruby,,
piercing_301,piercing,1,301,269.5,ruby,,
piercing_302,piercing,1,302,269.5,ruby,,
piercing_303,piercing,1,303,269.5,ruby,,
piercing_304,piercing,1,304,269.5,ruby,,
piercing_305,piercing,1,305,269.5,ruby,,
piercing_306,piercing,1,306,269.5,ruby,,
piercing_307,piercing,1,307,269.5,ruby,,
piercing_308,piercing,1,308,269.5,ruby,,
piercing_309,piercing,1,309,269.5,ruby,,
piercing_310,piercing,1,310,269.5,ruby,,
piercing_311,piercing,1,311,269.5,ruby,,
piercing_312,piercing,1,312,269.5,ruby,,
piercing_313,piercing,1,313,269.5,ruby,,
piercing_314,piercing,1,314,269.5,ruby,,
piercing_315,piercing,1,315,269.5,ruby,,
piercing_316,piercing,1,316,269.5,ruby,,
piercing_317,piercing,1,317,269.5,ruby,,
piercing_318,piercing,1,318,269.5,ruby,,
piercing_319,piercing,1,319,269.5,ruby,,
piercing_320,piercing,1,320,269.5,ruby,,
piercing_321,piercing,1,321,269.5,ruby,,
piercing_322,piercing,1,322,269.5,ruby,,
piercing_323,piercing,1,323,269.5,ruby,,
piercing_324,piercing,1,324,269.5,ruby,,
piercing_325,piercing,1,325,269.5,ruby,,
piercing_326,piercing,1,326,269.5,ruby,,
piercing_327,piercing,1,327,269.5,ruby,,
piercing_328,piercing,1,328,269.5,ruby,,
piercing_329,piercing,1,329,269.5,ruby,,
piercing_330,piercing,1,330,269.5,ruby,,
piercing_331,piercing,1,331,269.5,ruby,,
piercing_332,piercing,1,332,269.5,ruby,,
piercing_333,piercing,1,333,269.5,ruby,,
piercing_334,piercing,1,334,269.5,ruby,,
piercing_335,piercing,1,335,269.5,ruby,,
piercing_336,piercing,1,336,269.5,ruby,,
piercing_337,piercing,1,337,269.5,ruby,,
piercing_338,piercing,1,338,269.5,ruby,,
piercing_339,piercing,1,339,269.5,ruby,,
piercing_340,piercing,1,340,269.5,ruby,,
piercing_341,piercing,1,341,269.5,ruby,,
piercing_342,piercing,1,342,269.5,ruby,,
piercing_343,piercing,1,343,269.5,ruby,,
piercing_344,piercing,1,344,269.5,ruby,,
piercing_345,piercing,1,345,269.5,ruby,,
piercing_346,piercing,1,346,269.5,ruby,,
piercing_347,piercing,1,347,269.5,ruby,,
piercing_348,piercing,1,348,269.5,ruby,,
piercing_349,piercing,1,349,269.5,ruby,,
piercing_350,piercing,1,350,269.5,ruby,,
piercing_351,piercing,1,351,269.5,ruby,,
piercing_352,piercing,1,352,269.5,ruby,,
piercing_353,piercing,1,353,269.5,ruby,,
piercing_354,piercing,1,354,269.5,ruby,,
piercing_355,piercing,1,355,269.5,ruby,,
piercing_356,piercing,1,356,269.5,ruby,,
piercing_357,piercing,1,357,269.5,ruby,,
piercing_358,piercing,1,358,269.5,ruby,,
piercing_359,piercing,1,359,269.5,ruby,,
piercing_360,piercing,1,360,269.5,ruby,,
piercing_361,piercing,1,361,269.5,ruby,,
piercing_362,piercing,1,362,269.5,ruby,,
piercing_363,piercing,1,363,269.5,ruby,,
piercing_364,piercing,1,364,269.5,ruby,,
piercing_365,piercing,1,365,269.5,ruby,,
piercing_366,piercing,1,366,269.5,ruby,,
piercing_367,piercing,1,367,269.5,ruby,,
piercing_368,piercing,1,368,269.5,ruby,,
piercing_369,piercing,1,369,269.5,ruby,,
piercing_370,piercing,1,370,269.5,ruby,,
piercing_371,piercing,1,371,269.5,ruby,,
piercing_372,piercing,1,372,269.5,ruby,,
piercing_373,piercing,1,373,269.5,ruby,,
piercing_374,piercing,1,374,269.5,ruby,,
piercing_375,piercing,1,375,269.5,ruby,,
piercing_376,piercing,1,376,269.5,ruby,,
piercing_377,piercing,1,377,269.5,ruby,,
piercing_378,piercing,1,378,269.5,ruby,,
piercing_379,piercing,1,379,269.5,ruby,,
piercing_380,piercing,1,380,269.5,ruby,,
piercing_381,piercing,1,381,269.5,ruby,,
piercing_382,piercing,1,382,269.5,ruby,,
piercing_383,piercing,1,383,269.5,ruby,,
piercing_384,piercing,1,384,269.5,ruby,,
piercing_385,piercing,1,385,269.5,ruby,,
piercing_386,piercing,1,386,269.5,ruby,,
piercing_387,piercing,1,387,269.5,ruby,,
piercing_388,piercing,1,388,269.5,ruby,,
piercing_389,piercing,1,389,269.5,ruby,,
piercing_390,piercing,1,390,269.5,ruby,,
piercing_391,piercing,1,391,269.5,ruby,,
piercing_392,piercing,1,392,269.5,ruby,,
piercing_393,piercing,1,393,269.5,ruby,,
piercing_394,piercing,1,394,269.5,ruby,,
piercing_395,piercing,1,395,269.5,ruby,,
piercing_396,piercing,1,396,269.5,ruby,,
piercing_397,piercing,1,397,269.5,ruby,,
piercing_398,piercing,1,398,269.5,ruby,,
piercing_399,piercing,1,399,269.5,ruby,,
piercing_400,piercing,1,400,269.5,ruby,,
piercing_401,piercing,1,401,269.5,ruby,,
piercing_402,piercing,1,402,269.5,ruby,,
piercing_403,piercing,1,403,269.5,ruby,,
piercing_404,piercing,1,404,269.5,ruby,,
piercing_405,piercing,1,405,269.5,ruby,,
piercing_406,piercing,1,406,269.5,ruby,,
piercing_407,piercing,1,407,269.5,ruby,,
piercing_408,piercing,1,408,269.5,ruby,,
piercing_409,piercing,1,409,269.5,ruby,,
piercing_410,piercing,1,410,269.5,ruby,,
piercing_411,piercing,1,411,269.5,ruby,,
piercing_412,piercing,1,412,269.5,ruby,,
piercing_413,piercing,1,413,269.5,ruby,,
piercing_414,piercing,1,414,269.5,ruby,,
piercing_415,piercing,1,415,269.5,ruby,,
piercing_416,piercing,1,416,269.5,ruby,,
piercing_417,piercing,1,417,269.5,ruby,,
piercing_418,piercing,1,418,269.5,ruby,,
piercing_419,piercing,1,419,269.5,ruby,,
piercing_420,piercing,1,420,269.5,ruby,,
piercing_421,piercing,1,421,269.5,ruby,,
piercing_422,piercing,1,422,269.5,ruby,,
piercing_423,piercing,1,423,269.5,ruby,,
piercing_424,piercing,1,424,269.5,ruby,,
piercing_425,piercing,1,425,269.5,ruby,,
piercing_426,piercing,1,426,269.5,ruby,,
piercing_427,piercing,1,427,269.5,ruby,,
piercing_428,piercing,1,428,269.5,ruby,,
piercing_429,piercing,1,429,269.5,ruby,,
piercing_430,piercing,1,430,269.5,ruby,,
piercing_431,piercing,1,431,269.5,ruby,,
piercing_432,piercing,1,432,269.5,ruby,,
piercing_433,piercing,1,433,269.5,ruby,,
piercing_434,piercing,1,434,269.5,ruby,,
piercing_435,piercing,1,435,269.5,ruby,,
piercing_436,piercing,1,436,269.5,ruby,,
piercing_437,piercing,1,437,269.5,ruby,,
piercing_438,piercing,1,438,269.5,ruby,,
piercing_439,piercing,1,439,269.5,ruby,,
piercing_440,piercing,1,440,269.5,ruby,,
piercing_441,piercing,1,441,269.5,ruby,,
piercing_442,piercing,1,442,269.5,ruby,,
piercing_443,piercing,1,443,269.5,ruby,,
piercing_444,piercing,1,444,269.5,ruby,,
piercing_445,piercing,1,445,269.5,ruby,,
piercing_446,piercing,1,446,269.5,ruby,,
piercing_447,piercing,1,447,269.5,ruby,,
piercing_448,piercing,1,448,269.5,ruby,,
piercing_449,piercing,1,449,269.5,ruby,,
piercing_450,piercing,1,450,269.5,ruby,,
piercing_451,piercing,1,451,269.5,ruby,,
piercing_452,piercing,1,452,269.5,ruby,,
piercing_453,piercing,1,453,269.5,ruby,,
piercing_454,piercing,1,454,269.5,ruby,,
piercing_455,piercing,1,455,269.5,ruby,,
piercing_456,piercing,1,456,269.5,ruby,,
piercing_457,piercing,1,457,269.5,ruby,,
piercing_458,piercing,1,458,269.5,ruby,,
piercing_459,piercing,1,459,269.5,ruby,,
piercing_460,piercing,1,460,269.5,ruby,,
piercing_461,piercing,1,461,269.5,ruby,,
piercing_462,piercing,1,462,269.5,ruby,,
piercing_463,piercing,1,463,269.5,ruby,,
piercing_464,piercing,1,464,269.5,ruby,,
piercing_465,piercing,1,465,269.5,ruby,,
piercing_466,piercing,1,466,269.5,ruby,,
piercing_467,piercing,1,467,269.5,ruby,,
piercing_468,piercing,1,468,269.5,ruby,,
piercing_469,piercing,1,469,269.5,ruby,,
piercing_470,piercing,1,470,269.5,ruby,,
piercing_471,piercing,1,471,269.5,ruby,,
piercing_472,piercing,1,472,269.5,ruby,,
piercing_473,piercing,1,473,269.5,ruby,,
piercing_474,piercing,1,474,269.5,ruby,,
piercing_475,piercing,1,475,269.5,ruby,,
piercing_476,piercing,1,476,269.5,ruby,,
piercing_477,piercing,1,477,269.5,ruby,,
piercing_478,piercing,1,478,269.5,ruby,,
piercing_479,piercing,1,479,269.5,ruby,,
piercing_480,piercing,1,480,269.5,ruby,,
piercing_481,piercing,1,481,269.5,ruby,,
piercing_482,piercing,1,482,269.5,ruby,,
piercing_483,piercing,1,483,269.5,ruby,,
piercing_484,piercing,1,484,269.5,ruby,,
piercing_485,piercing,1,485,269.5,ruby,,
piercing_486,piercing,1,486,269.5,ruby,,
piercing_487,piercing,1,487,269.5,ruby,,
piercing_488,piercing,1,488,269.5,ruby,,
piercing_489,piercing,1,489,269.5,ruby,,
piercing_490,piercing,1,490,269.5,ruby,,
piercing_491,piercing,1,491,269.5,ruby,,
piercing_492,piercing,1,492,269.5,ruby,,
piercing_493,piercing,1,493,269.5,ruby,,
piercing_494,piercing,1,494,269.5,ruby,,
piercing_495,piercing,1,495,269.5,ruby,,
piercing_496,piercing,1,496,269.5,ruby,,
piercing_497,piercing,1,497,269.5,ruby,,
piercing_498,piercing,1,498,269.5,ruby,,
piercing_499,piercing,1,499,269.5,ruby,,
piercing_500,piercing,1,500,269.5,ruby,,
piercing_501,piercing,1,501,269.5,ruby,,
piercing_502,piercing,1,502,269.5,ruby,,
piercing_503,piercing,1,503,269.5,ruby,,
piercing_504,piercing,1,504,269.5,ruby,,
piercing_505,piercing,1,505,269.5,ruby,,
piercing_506,piercing,1,506,269.5,ruby,,
piercing_507,piercing,1,507,269.5,ruby,,
piercing_508,piercing,1,508,269.5,ruby,,
piercing_509,piercing,1,509,269.5,ruby,,
piercing_510,piercing,1,510,269.5,ruby,,
piercing_511,piercing,1,511,269.5,ruby,,
piercing_512,piercing,1,512,269.5,ruby,,
piercing_513,piercing,1,513,269.5,ruby,,
piercing_514,piercing,1,514,269.5,ruby,,
piercing_515,piercing,1,515,269.5,ruby,,
piercing_516,piercing,1,516,269.5,ruby,,
piercing_517,piercing,1,517,269.5,ruby,,
piercing_518,piercing,1,518,269.5,ruby,,
piercing_519,piercing,1,519,269.5,ruby,,
piercing_520,piercing,1,520,269.5,ruby,,
piercing_521,piercing,1,521,269.5,ruby,,
piercing_522,piercing,1,522,269.5,ruby,,
piercing_523,piercing,1,523,269.5,ruby,,
piercing_524,piercing,1,524,269.5,ruby,,
piercing_525,piercing,1,525,269.5,ruby,,
piercing_526,piercing,1,526,269.5,ruby,,
piercing_527,piercing,1,527,269.5,ruby,,
piercing_528,piercing,1,528,269.5,ruby,,
piercing_529,piercing,1,529,269.5,ruby,,
piercing_530,piercing,1,530,269.5,ruby,,
piercing_531,piercing,1,531,269.5,ruby,,
piercing_532,piercing,1,532,269.5,ruby,,
piercing_533,piercing,1,533,269.5,ruby,,
piercing_534,piercing,1,534,269.5,ruby,,
piercing_535,piercing,1,535,269.5,ruby,,
piercing_536,piercing,1,536,269.5,ruby,,
piercing_537,piercing,1,537,269.5,ruby,,
piercing_538,piercing,1,538,269.5,ruby,,
piercing_539,piercing,1,539,269.5,ruby,,
piercing_540,piercing,1,540,269.5,ruby,,
piercing_541,piercing,1,541,269.5,ruby,,
piercing_542,piercing,1,542,269.5,ruby,,
piercing_543,piercing,1,543,269.5,ruby,,
piercing_544,piercing,1,544,269.5,ruby,,
piercing_545,piercing,1,545,269.5,ruby,,
piercing_546,piercing,1,546,269.5,ruby,,
piercing_547,piercing,1,547,269.5,ruby,,
piercing_548,piercing,1,548,269.5,ruby,,
piercing_549,piercing,1,549,269.5,ruby,,
piercing_550,piercing,1,550,269.5,ruby,,
piercing_551,piercing,1,551,269.5,ruby,,
piercing_552,piercing,1,552,269.5,ruby,,
piercing_553,piercing,1,553,269.5,ruby,,
piercing_554,piercing,1,554,269.5,ruby,,
piercing_555,piercing,1,555,269.5,ruby,,
piercing_556,piercing,1,556,269.5,ruby,,
piercing_557,piercing,1,557,269.5,ruby,,
piercing_558,piercing,1,558,269.5,ruby,,
piercing_559,piercing,1,559,269.5,ruby,,
piercing_560,piercing,1,560,269.5,ruby,,
piercing_561,piercing,1,561,269.5,ruby,,
piercing_562,piercing,1,562,269.5,ruby,,
piercing_563,piercing,1,563,269.5,ruby,,
piercing_564,piercing,1,564,269.5,ruby,,
piercing_565,piercing,1,565,269.5,ruby,,
