identifier,displayName,rarityIndex,displayIconFilename,animationVideoFilename,displayThumbnailFilename,headDisplayIconFilename,unlockStaticPortraitAchievement,unlockAnimatedPortraitAchievement,inBundle,h
egyptianWarriorT5,Desert Emissary,5,img_portrait_egyptianWarrior_T2_01.png,animatedportraitewarrior2_battle.m4v,thumbnail_img_portrait_egyptianWarrior_T2_01.png,img_portrait_egyptianWarrior_T2_02.png,,serverOnlyPortraitegyptianWarriorT4,0,
egyptianWarriorT6,Desert Emissary,5,img_portrait_egyptianWarrior_T3_01.png,animatedportraitewarrior3_battle.m4v,thumbnail_img_portrait_egyptianWarrior_T3_01.png,img_portrait_egyptianWarrior_T3_02.png,,serverOnlyPortraitegyptianWarriorT4,0,
kharnyxT1,Kharnyx,4,img_portrait_kharnyx_T1_01.png,,img_portrait_kharnyx_T1_01.png,img_portrait_kharnyx_T1_02.png,serverOnlyPortraitKharnyxT1,,0,
kharnyxT2,Kharnyx,4,img_portrait_kharnyx_T2_01.png,,img_portrait_kharnyx_T2_01.png,img_portrait_kharnyx_T2_02.png,serverOnlyPortraitKharnyxT2,,0,
kharnyxT3,Kharnyx,4,img_portrait_kharnyx_T3_01.png,,img_portrait_kharnyx_T3_01.png,img_portrait_kharnyx_T3_02.png,serverOnlyPortraitKharnyxT3,,0,
kharnyxT4,Kharnyx,5,img_portrait_kharnyx_T3_01.png,animatedportraitkharnyx3_battle.m4v,img_portrait_kharnyx_T3_01.png,img_portrait_kharnyx_T3_02.png,,serverOnlyPortraitKharnyxT4,0,
reduxM,Hero Althea,5,img_portrait_waraccoladesfred_01.png,,img_portrait_waraccoladesfred_01.png,img_portrait_waraccoladesfred_02.png,haveAltheaPortraitCurrency,,0,
reduxMAnimated,Hero Althea,5,img_portrait_waraccoladesfred_01.png,animatedportraitewaraccoladesfred_battle.m4v,img_portrait_waraccoladesfred_01.png,img_portrait_waraccoladesfred_02.png,,mainquest_redux_complete,0,
reduxF,Hero Rian,5,img_portrait_waraccoladesmred_01.png,,img_portrait_waraccoladesmred_01.png,img_portrait_waraccoladesmred_02.png,haveRianPortraitCurrency,,0,
reduxFAnimated,Hero Rian,5,img_portrait_waraccoladesmred_01.png,animatedportraitewaraccoladesmred_battle.m4v,img_portrait_waraccoladesmred_01.png,img_portrait_waraccoladesmred_02.png,,mainquest_redux_complete,0,
kharnyxLore,Kharnyx Lore,4,img_portrait_kharnyxLore_01.png,,thumbnail_img_portrait_kharnyxLore_01.png,img_portrait_kharnyxLore_02.png,serverOnlyPortraitKharnyxLore,,0,
kinnaraKnightT1,Kinnara Knight,4,img_portrait_kinnaraKnight_T1_01.png,,img_portrait_kinnaraKnight_T1_01.png,img_portrait_kinnaraKnight_T1_02.png,serverOnlyPortraitKinnaraKnightT1,,0,
kinnaraKnightT2,Kinnara Knight,4,img_portrait_kinnaraKnight_T2_01.png,,img_portrait_kinnaraKnight_T2_01.png,img_portrait_kinnaraKnight_T2_02.png,serverOnlyPortraitKinnaraKnightT2,,0,
kinnaraKnightT3,Kinnara Knight,5,img_portrait_kinnaraKnight_T2_01.png,animatedportraitkinnara2_battle.m4v,img_portrait_kinnaraKnight_T2_01.png,img_portrait_kinnaraKnight_T2_02.png,,serverOnlyPortraitKinnaraKnightT3,0,
frostEmissaryMaleT1,Male Frost Emissary,4,img_portrait_frostKnightMale_T1_01.png,,img_portrait_frostKnightMale_T1_01.png,img_portrait_frostKnightMale_T1_02.png,serverOnlyPortraitFrostEmissaryMaleT1,,0,
frostEmissaryMaleT2,Male Frost Emissary,4,img_portrait_frostKnightMale_T2_01.png,,img_portrait_frostKnightMale_T2_01.png,img_portrait_frostKnightMale_T2_02.png,serverOnlyPortraitFrostEmissaryMaleT2,,0,
frostEmissaryMaleT3,Male Frost Emissary,4,img_portrait_frostKnightMale_T3_01.png,,img_portrait_frostKnightMale_T3_01.png,img_portrait_frostKnightMale_T3_02.png,serverOnlyPortraitFrostEmissaryMaleT3,,0,
frostEmissaryMaleT4,Male Frost Emissary,5,img_portrait_frostKnightMale_T3_01.png,animatedportraitfrostKnightMale_battle.m4v,img_portrait_frostKnightMale_T3_01.png,img_portrait_frostKnightMale_T3_02.png,,serverOnlyPortraitFrostEmissaryMaleT4,0,
frostEmissaryFemaleT1,Female Frost Emissary,4,img_portrait_frostKnightFemale_T1_01.png,,img_portrait_frostKnightFemale_T1_01.png,img_portrait_frostKnightFemale_T1_02.png,serverOnlyPortraitFrostEmissaryFemaleT1,,0,
frostEmissaryFemaleT2,Female Frost Emissary,4,img_portrait_frostKnightFemale_T2_01.png,,img_portrait_frostKnightFemale_T2_01.png,img_portrait_frostKnightFemale_T2_02.png,serverOnlyPortraitFrostEmissaryFemaleT2,,0,
frostEmissaryFemaleT3,Female Frost Emissary,4,img_portrait_frostKnightFemale_T3_01.png,,img_portrait_frostKnightFemale_T3_01.png,img_portrait_frostKnightFemale_T3_02.png,serverOnlyPortraitFrostEmissaryFemaleT3,,0,
frostEmissaryFemaleT4,Female Frost Emissary,5,img_portrait_frostKnightFemale_T3_01.png,animatedportraitfrostKnightFemale_battle.m4v,img_portrait_frostKnightFemale_T3_01.png,img_portrait_frostKnightFemale_T3_02.png,,serverOnlyPortraitFrostEmissaryFemaleT4,0,
kharnyxMinionT1,Kharnyx Minion,4,img_portrait_kharnyxMinion_T1_01.png,,img_portrait_kharnyxMinion_T1_01.png,img_portrait_kharnyxMinion_T1_02.png,serverOnlyPortraitKharnyxMinionT1,,0,
kharnyxMinionT2,Kharnyx Minion,4,img_portrait_kharnyxMinion_T2_01.png,,img_portrait_kharnyxMinion_T2_01.png,img_portrait_kharnyxMinion_T2_02.png,serverOnlyPortraitKharnyxMinionT2,,0,
kharnyxMinionT3,Kharnyx Minion,4,img_portrait_kharnyxMinion_T3_01.png,,img_portrait_kharnyxMinion_T3_01.png,img_portrait_kharnyxMinion_T3_02.png,serverOnlyPortraitKharnyxMinionT3,,0,
kharnyxMinionT4,Kharnyx Minion,5,img_portrait_kharnyxMinion_T3_01.png,animatedportraitkharnyxMinion_battle.m4v,img_portrait_kharnyxMinion_T3_01.png,img_portrait_kharnyxMinion_T3_02.png,,serverOnlyPortraitKharnyxMinionT4,0,
frostWizardT1,Aurora,4,img_portrait_frostWizard_T1_01.png,,img_portrait_frostWizard_T1_01.png,img_portrait_frostWizard_T1_02.png,serverOnlyPortraitFrostWizardT1,,0,
frostWizardT2,Aurora,4,img_portrait_frostWizard_T2_01.png,,img_portrait_frostWizard_T2_01.png,img_portrait_frostWizard_T2_02.png,serverOnlyPortraitFrostWizardT2,,0,
frostWizardT3,Aurora,4,img_portrait_frostWizard_T3_01.png,,img_portrait_frostWizard_T3_01.png,img_portrait_frostWizard_T3_02.png,serverOnlyPortraitFrostWizardT3,,0,
frostWizardT4,Aurora,5,img_portrait_frostWizard_T3_01.png,animatedportraitfrostWizard_battle.m4v,img_portrait_frostWizard_T3_01.png,img_portrait_frostWizard_T3_02.png,,serverOnlyPortraitFrostWizardT4,0,
springThorn,Rose Thorn,4,img_portrait_archerWD_01.png,,img_portrait_archerWD_01.png,img_portrait_archerWD_02.png,haveSpringThornPortraitCurrency,,0,
sb_IWDT1,IWD Aurora,4,img_portrait_frostWizardWD_01.png,,img_portrait_frostWizardWD_01.png,img_portrait_frostWizardWD_02.png,haveSBCurrency,,0,
sb_IWDT2,IWD Aurora,5,img_portrait_frostWizardWD_01.png,animatedportraitfrostWizardWD_battle.m4v,img_portrait_frostWizardWD_01.png,img_portrait_frostWizardWD_02.png,,haveSBCurrency,0,
arboriusKnightT1,Arborius Knight,4,img_portrait_arboriusKnight_T1_01.png,,img_portrait_arboriusKnight_T1_01.png,img_portrait_arboriusKnight_T1_02.png,serverOnlyPortraitArboriusKnightT1,,0,
arboriusKnightT2,Arborius Knight,4,img_portrait_arboriusKnight_T2_01.png,,img_portrait_arboriusKnight_T2_01.png,img_portrait_arboriusKnight_T2_02.png,serverOnlyPortraitArboriusKnightT2,,0,
arboriusKnightT3,Arborius Knight,5,img_portrait_arboriusKnight_T2_01.png,animatedportraitarborius2_battle.m4v,img_portrait_arboriusKnight_T2_01.png,img_portrait_arboriusKnight_T2_02.png,,serverOnlyPortraitArboriusKnightT3,0,
springEmissaryMaleT1,Male Spring Emissary,4,img_portrait_emeraldMale_t1_01.png,,img_portrait_emeraldMale_t1_01.png,img_portrait_emeraldMale_t1_02.png,serverOnlyPortraitSpringEmissaryMaleT1,,0,
springEmissaryMaleT2,Male Spring Emissary,4,img_portrait_emeraldMale_t2_01.png,,img_portrait_emeraldMale_t2_01.png,img_portrait_emeraldMale_t2_02.png,serverOnlyPortraitSpringEmissaryMaleT2,,0,
springEmissaryMaleT3,Male Spring Emissary,4,img_portrait_emeraldMale_t3_01.png,,img_portrait_emeraldMale_t3_01.png,img_portrait_emeraldMale_t3_02.png,serverOnlyPortraitSpringEmissaryMaleT3,,0,
springEmissaryMaleT4,Male Spring Emissary,5,img_portrait_emeraldMale_t3_01.png,animatedportraitemeraldMale_battle.m4v,img_portrait_emeraldMale_t3_01.png,img_portrait_emeraldMale_t3_02.png,,serverOnlyPortraitSpringEmissaryMaleT4,0,
springEmissaryFemaleT1,Female Spring Emissary,4,img_portrait_emeraldFemale_t1_01.png,,img_portrait_emeraldFemale_t1_01.png,img_portrait_emeraldFemale_t1_02.png,serverOnlyPortraitSpringEmissaryFemaleT1,,0,
springEmissaryFemaleT2,Female Spring Emissary,4,img_portrait_emeraldFemale_t2_01.png,,img_portrait_emeraldFemale_t2_01.png,img_portrait_emeraldFemale_t2_02.png,serverOnlyPortraitSpringEmissaryFemaleT2,,0,
springEmissaryFemaleT3,Female Spring Emissary,4,img_portrait_emeraldFemale_t3_01.png,,img_portrait_emeraldFemale_t3_01.png,img_portrait_emeraldFemale_t3_02.png,serverOnlyPortraitSpringEmissaryFemaleT3,,0,
springEmissaryFemaleT4,Female Spring Emissary,5,img_portrait_emeraldFemale_t3_01.png,animatedportraitemeraldFemale_battle.m4v,img_portrait_emeraldFemale_t3_01.png,img_portrait_emeraldFemale_t3_02.png,,serverOnlyPortraitSpringEmissaryFemaleT4,0,
summerArchmageKnightT1,Archmage Knight,4,img_portrait_archmageKnight_t1_01.png,,img_portrait_archmageKnight_t1_01.png,img_portrait_archmageKnight_t1_02.png,serverOnlyPortraitArchmageKnightT1,,0,
summerArchmageKnightT2,Archmage Knight,4,img_portrait_archmageKnight_t2_01.png,,img_portrait_archmageKnight_t2_01.png,img_portrait_archmageKnight_t2_02.png,serverOnlyPortraitArchmageKnightT2,,0,
summerArchmageKnightT3,Archmage Knight,4,img_portrait_archmageKnight_t3_01.png,,img_portrait_archmageKnight_t3_01.png,img_portrait_archmageKnight_t3_02.png,serverOnlyPortraitArchmageKnightT3,,0,
summerArchmageKnightT4,Archmage Knight,5,img_portrait_archmageKnight_t3_01.png,animatedportraitarchmageKnight_battle.m4v,img_portrait_archmageKnight_t3_01.png,img_portrait_archmageKnight_t3_02.png,,serverOnlyPortraitArchmageKnightT4,0,
summerArchmageMaleT1,Male Archmage,4,img_portrait_archmageMale_t1_01.png,,img_portrait_archmageMale_t1_01.png,img_portrait_archmageMale_t1_02.png,serverOnlyPortraitArchmageMaleT1,,0,
summerArchmageMaleT2,Male Archmage,4,img_portrait_archmageMale_t2_01.png,,img_portrait_archmageMale_t2_01.png,img_portrait_archmageMale_t2_02.png,serverOnlyPortraitArchmageMaleT2,,0,
summerArchmageMaleT3,Male Archmage,4,img_portrait_archmageMale_t3_01.png,,img_portrait_archmageMale_t3_01.png,img_portrait_archmageMale_t3_02.png,serverOnlyPortraitArchmageMaleT3,,0,
summerArchmageMaleT4,Male Archmage,5,img_portrait_archmageMale_t3_01.png,animatedportraitarchmageMale_battle.m4v,img_portrait_archmageMale_t3_01.png,img_portrait_archmageMale_t3_02.png,,serverOnlyPortraitArchmageMaleT4,0,
summerArchmageFemaleT1,Female Archmage,4,img_portrait_archmageFemale_t1_01.png,,img_portrait_archmageFemale_t1_01.png,img_portrait_archmageFemale_t1_02.png,serverOnlyPortraitArchmageFemaleT1,,0,
summerArchmageFemaleT2,Female Archmage,4,img_portrait_archmageFemale_t2_01.png,,img_portrait_archmageFemale_t2_01.png,img_portrait_archmageFemale_t2_02.png,serverOnlyPortraitArchmageFemaleT2,,0,
summerArchmageFemaleT3,Female Archmage,4,img_portrait_archmageFemale_t3_01.png,,img_portrait_archmageFemale_t3_01.png,img_portrait_archmageFemale_t3_02.png,serverOnlyPortraitArchmageFemaleT3,,0,
summerArchmageFemaleT4,Female Archmage,5,img_portrait_archmageFemale_t3_01.png,animatedportraitarchmageFemale_battle.m4v,img_portrait_archmageFemale_t3_01.png,img_portrait_archmageFemale_t3_02.png,,serverOnlyPortraitArchmageFemaleT4,0,
summerKelsisKnightT1,Kelsis Knight,4,img_portrait_kelsisKnight_t1_01.png,,img_portrait_kelsisKnight_t1_01.png,img_portrait_kelsisKnight_t1_02.png,serverOnlyPortraitKelsisKnightT1,,0,
summerKelsisKnightT2,Kelsis Knight,4,img_portrait_kelsisKnight_t2_01.png,,img_portrait_kelsisKnight_t2_01.png,img_portrait_kelsisKnight_t2_02.png,serverOnlyPortraitKelsisKnightT2,,0,
summerKelsisKnightT3,Kelsis Knight,5,img_portrait_kelsisKnight_t2_01.png,animatedportraitKelsisKnight_battle.m4v,img_portrait_kelsisKnight_t2_01.png,img_portrait_kelsisKnight_t2_02.png,,serverOnlyPortraitKelsisKnightT3,0,
summerAmarokKnightT1,Amarok Knight,4,img_portrait_amarokKnight_t1_01.png,,img_portrait_amarokKnight_t1_01.png,img_portrait_amarokKnight_t1_02.png,serverOnlyPortraitAmarokKnightT1,,0,
summerAmarokKnightT2,Amarok Knight,4,img_portrait_amarokKnight_t2_01.png,,img_portrait_amarokKnight_t2_01.png,img_portrait_amarokKnight_t2_02.png,serverOnlyPortraitAmarokKnightT2,,0,
summerAmarokKnightT3,Amarok Knight,5,img_portrait_amarokKnight_t2_01.png,animatedportraitamarokKnight_battle.m4v,img_portrait_amarokKnight_t2_01.png,img_portrait_amarokKnight_t2_02.png,,serverOnlyPortraitAmarokKnightT3,0,
fallAngelHunterT1,Angel Hunter,4,img_portrait_angelHunter_T1_01.png,,img_portrait_angelHunter_T1_01.png,img_portrait_angelHunter_T1_02.png,serverOnlyPortraitAngelHunterT1,,0,
fallAngelHunterT2,Angel Hunter,4,img_portrait_angelHunter_T2_01.png,,img_portrait_angelHunter_T2_01.png,img_portrait_angelHunter_T2_02.png,serverOnlyPortraitAngelHunterT2,,0,
fallAngelHunterT3,Angel Hunter,4,img_portrait_angelHunter_T3_01.png,,img_portrait_angelHunter_T3_01.png,img_portrait_angelHunter_T3_02.png,serverOnlyPortraitAngelHunterT3,,0,
fallAngelHunterT4,Angel Hunter,5,img_portrait_angelHunter_T3_01.png,animatedportraitangelHunter_battle.m4v,img_portrait_angelHunter_T3_01.png,img_portrait_angelHunter_T3_02.png,,serverOnlyPortraitAngelHunterT4,0,
fallConjurerT1,Conjurer,4,img_portrait_conjurer_T1_02.png,,img_portrait_conjurer_T1_02.png,img_portrait_conjurer_T1_01.png,serverOnlyPortraitConjurerT1,,0,
fallConjurerT2,Conjurer,4,img_portrait_conjurer_T2_02.png,,img_portrait_conjurer_T2_02.png,img_portrait_conjurer_T2_01.png,serverOnlyPortraitConjurerT2,,0,
fallConjurerT3,Conjurer,4,img_portrait_conjurer_T3_02.png,,img_portrait_conjurer_T3_02.png,img_portrait_conjurer_T3_01.png,serverOnlyPortraitConjurerT3,,0,
fallConjurerT4,Conjurer,5,img_portrait_conjurer_T3_02.png,animatedportraitconjurer_battle.m4v,img_portrait_conjurer_T3_02.png,img_portrait_conjurer_T3_01.png,,serverOnlyPortraitConjurerT4,0,
fallFiendSlayerT1,Fiend Slayer,4,img_portrait_fiendSlayer_T1_02.png,,img_portrait_fiendSlayer_T1_02.png,img_portrait_fiendSlayer_T1_01.png,serverOnlyPortraitFiendSlayerT1,,0,
fallFiendSlayerT2,Fiend Slayer,4,img_portrait_fiendSlayer_T2_02.png,,img_portrait_fiendSlayer_T2_02.png,img_portrait_fiendSlayer_T2_01.png,serverOnlyPortraitFiendSlayerT2,,0,
fallFiendSlayerT3,Fiend Slayer,4,img_portrait_fiendSlayer_T3_02.png,,img_portrait_fiendSlayer_T3_02.png,img_portrait_fiendSlayer_T3_01.png,serverOnlyPortraitFiendSlayerT3,,0,
fallFiendSlayerT4,Fiend Slayer,5,img_portrait_fiendSlayer_T3_02.png,animatedportraitfiendSlayer_battle.m4v,img_portrait_fiendSlayer_T3_02.png,img_portrait_fiendSlayer_T3_01.png,,serverOnlyPortraitFiendSlayerT4,0,
fallKharnyxKnightT1,Kharnyx Knight,4,img_portrait_kharnyxKnight_T1_02.png,,img_portrait_kharnyxKnight_T1_02.png,img_portrait_kharnyxKnight_T1_01.png,serverOnlyPortraitKharnyxKnightT1,,0,
fallKharnyxKnightT2,Kharnyx Knight,4,img_portrait_kharnyxKnight_T2_02.png,,img_portrait_kharnyxKnight_T2_02.png,img_portrait_kharnyxKnight_T2_01.png,serverOnlyPortraitKharnyxKnightT2,,0,
fallKharnyxKnightT3,Kharnyx Knight,4,img_portrait_kharnyxKnight_T3_02.png,,img_portrait_kharnyxKnight_T3_02.png,img_portrait_kharnyxKnight_T3_01.png,serverOnlyPortraitKharnyxKnightT3,,0,
fallKharnyxKnightT4,Kharnyx Knight,5,img_portrait_kharnyxKnight_T3_02.png,animatedportraitkharnyxKnight_battle.m4v,img_portrait_kharnyxKnight_T3_02.png,img_portrait_kharnyxKnight_T3_01.png,,serverOnlyPortraitKharnyxKnightT4,0,
fallEttinKnightT1,Ettin Knight,4,img_portrait_etinKnight_T1_01.png,,img_portrait_etinKnight_T1_01.png,img_portrait_etinKnight_T1_02.png,serverOnlyPortraitEttinKnightT1,,0,
fallEttinKnightT2,Ettin Knight,4,img_portrait_etinKnight_T2_01.png,,img_portrait_etinKnight_T2_01.png,img_portrait_etinKnight_T2_02.png,serverOnlyPortraitEttinKnightT2,,0,
