identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,storageAmount,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
StableUpgrades_12,12,0,bld_wm_castle.lvl,,piercing:88320,3,,43,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_13,13,0,bld_wm_castle.lvl,,piercing:99840,3,,49,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_14,14,0,bld_wm_castle.lvl,,piercing:111360,3,,56,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_15,15,0,bld_wm_castle.lvl,,piercing:122880,3,,63,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_16,16,0,bld_wm_castle.lvl,,piercing:134400,3,,70,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_17,17,0,bld_wm_castle.lvl,,piercing:145920,3,,77,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_18,18,0,bld_wm_castle.lvl,,piercing:157440,3,,84,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_19,19,0,bld_wm_castle.lvl,,piercing:174720,3,,90,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_20,20,0,bld_wm_castle.lvl,,piercing:192000,3,,96,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_21,21,0,bld_wm_castle.lvl,,piercing:209280,3,,102,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_22,22,0,bld_wm_castle.lvl,,piercing:226560,3,,108,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_23,23,0,bld_wm_castle.lvl,,piercing:243840,3,,114,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_24,24,0,bld_wm_castle.lvl,,piercing:261120,3,,120,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_25,25,0,bld_wm_castle.lvl,,piercing:278400,3,,126,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_26,26,0,bld_wm_castle.lvl,,piercing:295680,3,,132,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_27,27,0,bld_wm_castle.lvl,,piercing:410880,3,,137,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_28,28,0,bld_wm_castle.lvl,,piercing:428160,3,,142,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_29,29,0,bld_wm_castle.lvl,,piercing:445440,3,,146,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_30,30,0,bld_wm_castle.lvl,,piercing:462720,3,,150,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_31,31,0,bld_wm_castle.lvl,,piercing:480000,3,,154,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_32,32,0,bld_wm_castle.lvl,,piercing:497280,3,,158,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_33,33,0,bld_wm_castle.lvl,,piercing:514560,3,,162,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_34,34,0,bld_wm_castle.lvl,,piercing:531840,3,,166,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_35,35,0,bld_wm_castle.lvl,,piercing:549120,3,,170,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_36,36,0,bld_wm_castle.lvl,,piercing:566400,3,,174,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_37,37,0,bld_wm_castle.lvl,,piercing:583680,3,,178,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_38,38,0,bld_wm_castle.lvl,,piercing:600960,3,,182,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_39,39,0,bld_wm_castle.lvl,,piercing:618240,3,,186,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_40,40,0,bld_wm_castle.lvl,,piercing:635520,3,,190,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_41,41,0,bld_wm_castle.lvl,,piercing:734400,3,,196,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_42,42,0,bld_wm_castle.lvl,,piercing:753840,3,,202,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_43,43,0,bld_wm_castle.lvl,,piercing:773280,3,,208,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_44,44,0,bld_wm_castle.lvl,,piercing:792720,3,,214,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_45,45,0,bld_wm_castle.lvl,,piercing:812160,3,,220,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_46,46,0,bld_wm_castle.lvl,,piercing:831600,3,,226,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_47,47,0,bld_wm_castle.lvl,,piercing:851040,3,,232,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_48,48,0,bld_wm_castle.lvl,,piercing:870480,3,,238,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_49,49,0,bld_wm_castle.lvl,,piercing:889920,3,,244,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_50,50,0,bld_wm_castle.lvl,,piercing:909360,3,,250,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_51,51,0,bld_wm_castle.lvl,,piercing:928800,3,,255,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_52,52,0,bld_wm_castle.lvl,,piercing:948240,3,,260,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_53,53,0,bld_wm_castle.lvl,,piercing:967680,3,,265,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_54,54,0,bld_wm_castle.lvl,,piercing:987120,3,,270,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_55,55,0,bld_wm_castle.lvl,,piercing:1006560,3,,275,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_56,56,0,bld_wm_castle.lvl,,piercing:1026000,3,,280,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_57,57,0,bld_wm_castle.lvl,,piercing:1045440,3,,285,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_58,58,0,bld_wm_castle.lvl,,piercing:1064880,3,,290,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_59,59,0,bld_wm_castle.lvl,,piercing:1084320,3,,295,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_60,60,0,bld_wm_castle.lvl,,piercing:1103760,3,,300,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_61,61,0,bld_wm_castle.lvl,,piercing:1185120,3,,310,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_62,62,0,bld_wm_castle.lvl,,piercing:1307280,3,,320,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_63,63,0,bld_wm_castle.lvl,,piercing:1433040,3,,330,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_64,64,0,bld_wm_castle.lvl,,piercing:1443120,3,,337,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_65,65,0,bld_wm_castle.lvl,,piercing:1453200,3,,341,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_66,66,0,bld_wm_castle.lvl,,piercing:1463280,3,,345,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_67,67,0,bld_wm_castle.lvl,,piercing:1473360,3,,349,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_68,68,0,bld_wm_castle.lvl,,piercing:1483440,3,,353,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_69,69,0,bld_wm_castle.lvl,,piercing:1493520,3,,357,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_70,70,0,bld_wm_castle.lvl,,piercing:1503600,3,,359,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_71,71,0,bld_wm_castle.lvl,,piercing:1513680,3,,361,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_72,72,0,bld_wm_castle.lvl,,piercing:1523760,3,,363,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_73,73,0,bld_wm_castle.lvl,,piercing:1538880,3,,370,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_74,74,0,bld_wm_castle.lvl,,piercing:1554000,3,,374,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_75,75,0,bld_wm_castle.lvl,,piercing:1569120,3,,378,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_76,76,0,bld_wm_castle.lvl,,piercing:1584240,3,,382,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_77,77,0,bld_wm_castle.lvl,,piercing:1599360,3,,386,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_78,78,0,bld_wm_castle.lvl,,piercing:1614480,3,,390,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_79,79,0,bld_wm_castle.lvl,,piercing:1629600,3,,394,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_80,80,0,bld_wm_castle.lvl,,piercing:1644720,3,,396,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_81,81,0,bld_wm_castle.lvl,,piercing:1649760,3,,398,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_82,82,0,bld_wm_castle.lvl,,piercing:1654800,3,,399,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_83,83,0,bld_wm_castle.lvl,,piercing:1659840,3,,400,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_84,84,0,bld_wm_castle.lvl,,piercing:1664880,3,,401,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_85,85,0,bld_wm_castle.lvl,,piercing:1674960,3,,402,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_86,86,0,bld_wm_castle.lvl,,piercing:1690080,3,,407,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_87,87,0,bld_wm_castle.lvl,,piercing:1695120,3,,409,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_88,88,0,bld_wm_castle.lvl,,piercing:1705200,3,,411,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_89,89,0,bld_wm_castle.lvl,,piercing:1715280,3,,413,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_90,90,0,bld_wm_castle.lvl,,piercing:1795920,3,,429,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_91,91,0,bld_wm_castle.lvl,,piercing:1806000,3,,431,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_92,92,0,bld_wm_castle.lvl,,piercing:1816080,3,,433,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_93,93,0,bld_wm_castle.lvl,,piercing:1826160,3,,435,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_94,94,0,bld_wm_castle.lvl,,piercing:1836240,3,,437,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_95,95,0,bld_wm_castle.lvl,,piercing:1846320,3,,439,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_96,96,0,bld_wm_castle.lvl,,piercing:2068080,3,,441,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_97,97,0,bld_wm_castle.lvl,,piercing:2078160,3,,443,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_98,98,0,bld_wm_castle.lvl,,piercing:2098320,3,,447,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_99,99,0,bld_wm_castle.lvl,,piercing:2118480,3,,451,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_100,100,0,bld_wm_castle.lvl,,piercing:2138640,3,,455,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_101,101,0,bld_wm_castle.lvl,,piercing:2158800,3,,459,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_102,102,0,bld_wm_castle.lvl,,piercing:2178960,3,,463,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_103,103,0,bld_wm_castle.lvl,,piercing:2199120,3,,467,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_104,104,0,bld_wm_castle.lvl,,piercing:2219280,3,,471,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_105,105,0,bld_wm_castle.lvl,,piercing:2239440,3,,475,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_106,106,0,bld_wm_castle.lvl,,piercing:2340240,3,,479,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_107,107,0,bld_wm_castle.lvl,,piercing:2340240,3,,483,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_108,108,0,bld_wm_castle.lvl,,piercing:2340240,3,,487,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_109,109,0,bld_wm_castle.lvl,,piercing:2340240,3,,491,100,,,,experience:0,,,,1.5,1,90,bld_wm_castle_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,!@#dfjijfgchfchaedk
