identifier,breederIdentifier,requirementClass,category,subCategory,unlockAchievement,turnOffAchievement,probability,minAmount,maxAmount,breederAchievementStepDescription,descriptionPlural,shouldUseFormattedLabel,h
BreederAchievementSet09,breederMaster,BuildingDestroyedRequirement,anyTower,level03,finishBreederMasterQuest8,finishBreederMasterQuest9,10,0.75,0.75,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievementSet10,breederMaster,BuildingDestroyedRequirement,randomOwnedAttackTower,,finishBreederMasterQuest9,finishBreederMasterQuest10,10,3,3,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAchievement01_first,breederMaster,BuildingDestroyedRequirement,anyTower,level03,level999,level999,10,0.4,0.4,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievement02_first,breederMaster,BattleFinishedRequirement,pvp,,level999,level999,10,1,2,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAchievement03_first,breederMaster,BuildingDestroyedRequirement,randomOwnedAttackTower,,level999,level999,10,1,1,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAchievement01_early,breederMaster,BuildingDestroyedRequirement,randomOwnedAttackTower,,level999,level999,10,1,1,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAchievement02_early,breederMaster,BuildingDestroyedRequirement,anyTower,level03,level999,level999,10,0.5,0.7,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievement03_early,breederMaster,DragonUsedToWinRequirement,,,level999,level999,10,1,1,Defeat {AMOUNT} base using {CATEGORY},Defeat {AMOUNT} bases using {CATEGORY},,
BreederAchievement04_early,breederMaster,SpellUsedRequirement,,,level999,level999,10,2,2,Cast this {AMOUNT} time: {CATEGORY},Cast this {AMOUNT} times: {CATEGORY},,
BreederAchievement05_early,breederMaster,BattleFinishedRequirement,pvp,,level999,level999,10,1,2,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAchievement06_early,breederMaster,DamageDealtRequirement,,,level999,level999,10,20,30,Inflict {AMOUNT} damage using {CATEGORY},Inflict {AMOUNT} damage using {CATEGORY},,
BreederAchievement07_early,breederMaster,ComponentCollectedRequirement,food|piercing,,finishBreederMasterQuest10,,10,0.4,0.8,Loot {AMOUNT} {CATEGORY},Loot {AMOUNT} {CATEGORY},,
BreederAchievement01_late,breederMaster,BuildingDestroyedRequirement,randomOwnedAttackTower,,finishBreederMasterQuest10,,15,2,2,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAchievement02_late,breederMaster,BuildingDestroyedRequirement,anyTower,level03,finishBreederMasterQuest10,,5,1,1,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievement03_late,breederMaster,DragonUsedToWinRequirement,,,level999,,15,2,2,Defeat {AMOUNT} base using {CATEGORY},Defeat {AMOUNT} bases using {CATEGORY},,
BreederAchievement04_late,breederMaster,SpellUsedRequirement,,,level999,,15,3,5,Cast this {AMOUNT} time: {CATEGORY},Cast this {AMOUNT} times: {CATEGORY},,
BreederAchievement05_late,breederMaster,BattleFinishedRequirement,pvp,,finishBreederMasterQuest10,,15,2,2,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAchievement06_late,breederMaster,DamageDealtRequirement,,,level999,,15,25,40,Inflict {AMOUNT} damage using {CATEGORY},Inflict {AMOUNT} damage using {CATEGORY},,
BreederAchievement08_late,breederMaster,ComponentCollectedRequirement,food|piercing,,finishBreederMasterQuest10,,15,2.5,4.5,Loot {AMOUNT} {CATEGORY},Loot {AMOUNT} {CATEGORY},,
BreederAssistant1Achievement1,breederAssistant1,BuildingDestroyedRequirement,randomOwnedAttackTower,,finishBreederMasterQuest6,,15,3,4,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAssistant1Achievement2,breederAssistant1,BuildingDestroyedRequirement,anyTower,level03,finishBreederMasterQuest6,,5,1.5,1.5,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAssistant1Achievement3,breederAssistant1,DragonUsedToWinRequirement,,,level999,,15,3,4,Defeat {AMOUNT} base using {CATEGORY},Defeat {AMOUNT} bases using {CATEGORY},,
BreederAssistant1Achievement4,breederAssistant1,SpellUsedRequirement,,,level999,,15,4,7,Cast this {AMOUNT} time: {CATEGORY},Cast this {AMOUNT} times: {CATEGORY},,
BreederAssistant1Achievement5,breederAssistant1,BattleFinishedRequirement,pvp,,finishBreederMasterQuest6,,15,4,4,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAssistant1Achievement6,breederAssistant1,DamageDealtRequirement,,,level999,,5,35,50,Inflict {AMOUNT} damage using {CATEGORY},Inflict {AMOUNT} damage using {CATEGORY},,
BreederAssistant1Achievement8,breederAssistant1,ComponentCollectedRequirement,food|piercing,,finishBreederMasterQuest6,,15,6,9,Loot {AMOUNT} {CATEGORY},Loot {AMOUNT} {CATEGORY},,
BreederAssistant2Achievement1,breederAssistant2,BuildingDestroyedRequirement,randomOwnedAttackTower,,finishBreederMasterQuest10,,15,4.5,6,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAssistant2Achievement2,breederAssistant2,BuildingDestroyedRequirement,anyTower,level03,finishBreederMasterQuest10,,5,2,2,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAssistant2Achievement3,breederAssistant2,DragonUsedToWinRequirement,,,level999,,15,4.5,6,Defeat {AMOUNT} base using {CATEGORY},Defeat {AMOUNT} bases using {CATEGORY},,
BreederAssistant2Achievement4,breederAssistant2,SpellUsedRequirement,,,level999,,15,6,10,Cast this {AMOUNT} time: {CATEGORY},Cast this {AMOUNT} times: {CATEGORY},,
BreederAssistant2Achievement5,breederAssistant2,BattleFinishedRequirement,pvp,,finishBreederMasterQuest10,,15,6,6,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAssistant2Achievement6,breederAssistant2,DamageDealtRequirement,,,level999,,0,50,80,Inflict {AMOUNT} damage using {CATEGORY},Inflict {AMOUNT} damage using {CATEGORY},,
BreederAssistant2Achievement8,breederAssistant2,ComponentCollectedRequirement,food|piercing,,finishBreederMasterQuest10,,15,10,15,Loot {AMOUNT} {CATEGORY},Loot {AMOUNT} {CATEGORY},,
BreederAchievementGS3,breederMaster,BuildingDestroyedRequirement,anyTower,level03,level999,level999,10,0.7,0.7,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievementGS4,breederMaster,BattleFinishedRequirement,pvp,,level999,level999,20,4,4,Successfully attack and defeat four enemies,Successfully attack and defeat four enemies,,!@#ihhloanhjjkglkcl!@#nkjnibgdhplplmfp
