identifier,nodeName,particleEffect,activeAnimationIdentifier,disabledAnimationIdentifier,delayDuringLoad,delayDuringRemove,podFileIdentifier,h
base_ripples_square_01,base_ripples_square_01,VFX_eventIsland_amb_base_ripples_Square,idle,,,2,island,
amb_fire_orange_01,amb_fire_orange_01,VFX_eventIsland_amb_fire_orange,idle,,,2,island,
amb_fire_orange_02,amb_fire_orange_02,VFX_eventIsland_amb_fire_orange,idle,,,2,island,
amb_fire_orange_03,amb_fire_orange_03,VFX_eventIsland_amb_fire_orange,idle,,,2,island,
amb_fire_orange_04,amb_fire_orange_04,VFX_eventIsland_amb_fire_orange,idle,,,2,island,
amb_fire_orange_05,amb_fire_orange_05,VFX_eventIsland_amb_fire_orange,idle,,,2,island,
amb_fire_orange_06,amb_fire_orange_06,VFX_eventIsland_amb_fire_orange,idle,,,2,island,
VFX_eventIsland_Submerge_splash,VFX_eventIsland_Submerge_splash,VFX_eventIsland_Submerge_splash_01,sink,,,2,island,
VFX_eventIsland_Submerge_splash_dock,VFX_eventIsland_Submerge_splash_dock,VFX_eventIsland_Submerge_splash_02,sink,,,2,island,
VFX_eventIsland_portal_blue,VFX_eventIsland_portal_Blue,VFX_eventIsland_portal_Blue,mainRound,skirmish|rise|sink,,2,island,
VFX_eventIsland_portal_red,VFX_eventIsland_portal_Red,VFX_eventIsland_portal_Red,skirmish,rise|sink,,2,island,
amb_fire_red_01,amb_fire_blue_01,VFX_eventIsland_amb_fire_red,gacha_bronze_idle,rise|sink,2,2,island,
amb_fire_red_02,amb_fire_blue_02,VFX_eventIsland_amb_fire_red,gacha_bronze_idle,rise|sink,2,2,island,
amb_fire_red_03,amb_fire_blue_03,VFX_eventIsland_amb_fire_red,gacha_bronze_idle,rise|sink,2,2,island,
amb_fire_red_04,amb_fire_blue_04,VFX_eventIsland_amb_fire_red,gacha_bronze_idle,rise|sink,2,2,island,
amb_fire_blue_01,amb_fire_blue_01,VFX_eventIsland_amb_fire_blue,gacha_silver_idle,rise|sink,2,2,island,
amb_fire_blue_02,amb_fire_blue_02,VFX_eventIsland_amb_fire_blue,gacha_silver_idle,rise|sink,2,2,island,
amb_fire_blue_03,amb_fire_blue_03,VFX_eventIsland_amb_fire_blue,gacha_silver_idle,rise|sink,2,2,island,
amb_fire_blue_04,amb_fire_blue_04,VFX_eventIsland_amb_fire_blue,gacha_silver_idle,rise|sink,2,2,island,
amb_fire_green_01,amb_fire_blue_01,VFX_eventIsland_amb_fire_green,gacha_gold_idle,rise|sink,2,2,island,
amb_fire_green_02,amb_fire_blue_02,VFX_eventIsland_amb_fire_green,gacha_gold_idle,rise|sink,2,2,island,
amb_fire_green_03,amb_fire_blue_03,VFX_eventIsland_amb_fire_green,gacha_gold_idle,rise|sink,2,2,island,
amb_fire_green_04,amb_fire_blue_04,VFX_eventIsland_amb_fire_green,gacha_gold_idle,rise|sink,2,2,island,
VFX_eventIsland_doorBeam_on,VFX_eventIsland_doorBeam_on,VFX_eventIsland_doorBeam_on,testMajorEventCore|testMajorEventCore2,rise|sink,,2,island,
VFX_eventIsland_Statue_chest_glow,VFX_eventIsland_Statue_chest_glow,VFX_eventIsland_Statue_chest_glow,reward,rise|sink,,2,island,
VFX_eventIsland_Statue_staff_glow,VFX_eventIsland_Statue_staff_glow,VFX_eventIsland_Statue_staff_glow,reward,rise|sink,,2,island,
VFX_gotcha_landing_dust_01,VFX_gotcha_landing_dust_01,VFX_gotcha_landing_dust,gacha_bronze_land,rise|sink,,,,
VFX_gotcha_open_flash_01,VFX_gotcha_open_flash_01,VFX_gotcha_open_flash_01,gacha_bronze_idle,rise|sink,,-1,,
VFX_gotcha_idle_01,VFX_gotcha_idle_01,VFX_gotcha_idle_01,gacha_inactive_idle,rise|sink,,,,
VFX_gotcha_Landing_dust_02,VFX_gotcha_Landing_dust_02,VFX_gotcha_landing_dust,gacha_silver_land,rise|sink,,,,
VFX_gotcha_open_flash_02,VFX_gotcha_open_flash_02,VFX_gotcha_open_flash_02,gacha_silver_idle,rise|sink,,-1,,
VFX_gotcha_idle_02,VFX_gotcha_idle_02,VFX_gotcha_idle_01,xxx,rise|sink,,,,
VFX_gotcha_landing_dust_03,VFX_gotcha_landing_dust_03,VFX_gotcha_landing_dust,gacha_gold_land,rise|sink,,,,
VFX_gotcha_open_flash_03,VFX_gotcha_open_flash_03,VFX_gotcha_open_flash_03,gacha_gold_idle,rise|sink,,-1,,
VFX_gotcha_idle_03,VFX_gotcha_idle_03,VFX_gotcha_idle_01,xxx,rise|sink,,,,!@#pbjaejgomkdgodbf
