identifier,values,h
T11C3HFdragon,T11C4WWdragon+T11C3SIdragon|T11C4WWdragon+T11C3WEdragon|T12C3WIdragon+T12C3SWdragon|T12C3WIdragon+T12C3HEdragon|T12C3WFdragon+T12C3HDdragon|T12C3SFdragon+T12C3HDdragon|T10C4WDdragon+T10C3WWdragon|T11C3WEdragon+T11C3HWdragon|T11C4WWdragon+T11C4HDdragon|T11C4HDdragon+T11C3HWdragon,
T11C3HWdragon,T11C4HDdragon+T11C3WFdragon|T11C4HDdragon+T11C3SIdragon|T12C3SWdragon+T12C3SFdragon|T11C3WFdragon+T11C3SDdragon|T11C3SDdragon+T11C3HFdragon|T11C4WWdragon+T11C3SIdragon|T10C4WDdragon+T10C3HEdragon|T11C4WWdragon+T11C3WFdragon,
T11C3SDdragon,T11C4SFdragon+T11C3WFdragon|T11C4WWdragon+T11C3HFdragon|T11C4WWdragon+T11C4SFdragon|T12C3SWdragon+T12C3HDdragon|T11C4WWdragon+T11C3WFdragon|T11C3SIdragon+T11C3HFdragon|T10C4HEdragon+T10C3HFdragon,
T11C3SIdragon,T11C4HDdragon+T11C3WEdragon|T11C4WWdragon+T11C4HDdragon|T11C4WWdragon+T11C3SDdragon|T11C4SFdragon+T11C3SDdragon|T12C3SWdragon+T12C3HEdragon|T12C3SFdragon+T12C3HEdragon|T11C4SFdragon+T11C3SDdragon|T11C3WEdragon+T11C3SDdragon|T11C3WEdragon+T11C3SDdragon|T11C4WWdragon+T11C3HWdragon|T11C4WWdragon+T11C3WEdragon|T10C4SEdragon+T10C3SWdragon|T11C3WFdragon+T11C3HWdragon|T11C4SFdragon+T11C3HFdragon|T11C4WWdragon+T11C3WFdragon,
T11C3WEdragon,T11C4SFdragon+T11C4HDdragon|T12C3WIdragon+T12C3WFdragon|T12C3WFdragon+T12C3SFdragon|T11C4HDdragon+T11C3HWdragon|T10C4HEdragon+T10C3SIdragon,
T11C3WFdragon,T11C4SFdragon+T11C3SIdragon|T11C4HDdragon+T11C3HFdragon|T11C4SFdragon+T11C3WEdragon|T11C3SIdragon+T11C3SDdragon|T11C4SFdragon+T11C3HWdragon|T11C3HWdragon+T11C3HFdragon|T11C3SIdragon+T11C3HFdragon|T10C4SEdragon+T10C3WFdragon|T11C4WWdragon+T11C3SDdragon,
T11C4HDdragon,T12C4WIdragon+T12C3WIdragon|T12C3WIdragon+T12C3SFdragon|T11C3SIdragon+T11C3SDdragon,
T11C4SFdragon,T12C3WFdragon+T12C3SWdragon|T12C3WIdragon+T12C3HDdragon|T11C3WFdragon+T11C3HWdragon,
T11C4WWdragon,T12C3WFdragon+T12C3HEdragon|T12C3HEdragon+T12C3HDdragon|T11C3WEdragon+T11C3HFdragon,
T12C3HDdragon,T12C4SWdragon+T12C3SWdragon|T12C4SWdragon+T12C3HEdragon|T12C4WIdragon+T12C3SFdragon|T13C3WDdragon+T13C3SEdragon|T13C3SEdragon+T13C3HFdragon|T11C4SFdragon+T11C3WFdragon|T12C3WFdragon+T12C3HEdragon|T12C4WIdragon+T12C3HEdragon|T12C3WFdragon+T12C3SFdragon|T12C3WIdragon+T12C3SFdragon,
T12C3HEdragon,T12C4HDdragon+T12C3WFdragon|T12C4HDdragon+T12C3HDdragon|T12C4SWdragon+T12C3HDdragon|T12C4WIdragon+T12C3WFdragon|T13C3WIdragon+T13C3SWdragon|T13C3WDdragon+T13C3HFdragon|T11C4HDdragon+T11C3WEdragon|T11C4SFdragon+T11C3WEdragon|T12C4WIdragon+T12C3WIdragon|T12C3WFdragon+T12C3HDdragon|T12C3SFdragon+T12C3HDdragon|T12C3WFdragon+T12C3SWdragon,
T12C3SFdragon,T12C4HDdragon+T12C3SWdragon|T12C4HDdragon+T12C3HEdragon|T12C4WIdragon+T12C3HDdragon|T12C4WIdragon+T12C4SWdragon|T13C3WIdragon+T13C3HFdragon|T13C3WIdragon+T13C3SEdragon|T11C4SFdragon+T11C3HWdragon|T12C3WIdragon+T12C3HEdragon|T12C4WIdragon+T12C3SWdragon|T12C3SWdragon+T12C3HDdragon|T12C3WFdragon+T12C3HDdragon|T12C3WIdragon+T12C3HDdragon,
T12C3SWdragon,T12C4SWdragon+T12C3WFdragon|T12C4SWdragon+T12C3SFdragon|T12C4WIdragon+T12C3HEdragon|T13C3WDdragon+T13C3SWdragon|T13C3SWdragon+T13C3HWdragon|T12C3WIdragon+T12C3HEdragon|T12C4WIdragon+T12C3WFdragon|T12C3HEdragon+T12C3HDdragon|T11C4WWdragon+T11C3SDdragon,
T12C3WFdragon,T12C4HDdragon+T12C3WIdragon|T12C4WIdragon+T12C4HDdragon|T13C3WIdragon+T13C3HWdragon|T13C3SWdragon+T13C3HFdragon|T11C4HDdragon+T11C3HFdragon|T12C3WIdragon+T12C3SWdragon|T12C3SWdragon+T12C3SFdragon|T12C3WIdragon+T12C3SFdragon,
T12C3WIdragon,T12C4HDdragon+T12C3SFdragon|T12C4SWdragon+T12C4HDdragon|T12C4WIdragon+T12C3SWdragon|T13C3WDdragon+T13C3HWdragon|T13C3SEdragon+T13C3HWdragon|T11C4WWdragon+T11C3SIdragon|T12C3SWdragon+T12C3HDdragon|T12C3SFdragon+T12C3HEdragon,
T12C4HDdragon,T13C3HWdragon+T13C3HFdragon|T12C3WIdragon+T12C3HDdragon,
T12C4SWdragon,T13C3SWdragon+T13C3SEdragon|T12C3SFdragon+T12C3HEdragon,
T12C4WIdragon,T13C3WIdragon+T13C3WDdragon|T12C3WFdragon+T12C3SWdragon,
T13C3HFdragon,T13C4WFdragon+T13C3WIdragon|T13C4HEdragon+T13C3SEdragon|T13C4SIdragon+T13C3WIdragon|T14C3WEdragon+T14C3HWdragon|T14C3WEdragon+T14C3HIdragon|T12C4WIdragon+T12C3WIdragon|T13C3WIdragon+T13C3SEdragon|T13C3SEdragon+T13C3HWdragon,
T13C3HWdragon,T13C4WFdragon+T13C3SEdragon|T13C4HEdragon+T13C3WIdragon|T13C4SIdragon+T13C3SWdragon|T14C3WEdragon+T14C3SFdragon|T14C3SFdragon+T14C3SDdragon|T12C4SWdragon+T12C3HDdragon|T13C3WIdragon+T13C3HFdragon|T13C3WDdragon+T13C3HFdragon|T13C3WDdragon+T13C3SWdragon,
T13C3SEdragon,T13C4WFdragon+T13C3HWdragon|T13C4HEdragon+T13C3HFdragon|T13C4SIdragon+T13C3HWdragon|T13C4SIdragon+T13C4HEdragon|T14C3WFdragon+T14C3HIdragon|T14C3HWdragon+T14C3HIdragon|T12C4WIdragon+T12C3HEdragon|T13C3WIdragon+T13C3SWdragon,
T13C3SWdragon,T13C4WFdragon+T13C3WDdragon|T13C4HEdragon+T13C3WDdragon|T13C4SIdragon+T13C3WDdragon|T13C4WFdragon+T13C4SIdragon|T14C3WEdragon+T14C3SDdragon|T14C3SDdragon+T14C3HWdragon|T12C4HDdragon+T12C3SFdragon|T13C3WDdragon+T13C3HWdragon|T13C3SEdragon+T13C3HFdragon,
T13C3WDdragon,T13C4WFdragon+T13C3HFdragon|T13C4HEdragon+T13C3SWdragon|T13C4SIdragon+T13C3SEdragon|T14C3WFdragon+T14C3SFdragon|T14C3SFdragon+T14C3HIdragon|T12C4SWdragon+T12C3WFdragon|T13C3WIdragon+T13C3HWdragon|T13C3SWdragon+T13C3HFdragon,
T13C3WIdragon,T13C4WFdragon+T13C3SWdragon|T13C4HEdragon+T13C3HWdragon|T13C4SIdragon+T13C3HFdragon|T13C4WFdragon+T13C4HEdragon|T14C3WFdragon+T14C3HWdragon|T14C3WFdragon+T14C3SDdragon|T12C4HDdragon+T12C3SWdragon|T13C3WDdragon+T13C3SEdragon|T13C3SWdragon+T13C3HWdragon,
T13C4HEdragon,T14C3SDdragon+T14C3HIdragon|T13C3WIdragon+T13C3SEdragon,
T13C4SIdragon,T14C3SFdragon+T14C3HWdragon|T13C3SWdragon+T13C3HWdragon,
T13C4WFdragon,T14C3WFdragon+T14C3WEdragon|T13C3WDdragon+T13C3HFdragon,
T14C3HIdragon,T14C4WEdragon+T14C3WFdragon|T14C4WEdragon+T14C3SDdragon|T14C4SWdragon+T14C3WEdragon|T13C4SIdragon+T13C3WIdragon|T14C3WEdragon+T14C3SFdragon|T14C3WFdragon+T14C3HWdragon|T14C4SWdragon+T14C3SFdragon,
T14C3HWdragon,T14C4WEdragon+T14C3SFdragon|T14C4HDdragon+T14C3SFdragon|T14C4WEdragon+T14C4HDdragon|T13C4WFdragon+T13C3HWdragon|T14C3WFdragon+T14C3HIdragon|T14C3SFdragon+T14C3HIdragon|T14C4HDdragon+T14C3WEdragon,
T14C3SDdragon,T14C4HDdragon+T14C3WEdragon|T14C4HDdragon+T14C3WFdragon|T14C4SWdragon+T14C3SFdragon|T13C4WFdragon+T13C3SEdragon|T14C3WEdragon+T14C3HIdragon|T14C3WFdragon+T14C3SFdragon,
T14C3SFdragon,T14C4HDdragon+T14C3HWdragon|T14C4HDdragon+T14C3SDdragon|T14C4SWdragon+T14C3HWdragon|T14C4SWdragon+T14C3SDdragon|T14C4SWdragon+T14C4HDdragon|T13C4HEdragon+T13C3SWdragon|T14C3WEdragon+T14C3SDdragon|T14C3SDdragon+T14C3HWdragon,
T14C3WEdragon,T14C4WEdragon+T14C3HWdragon|T14C4SWdragon+T14C3WFdragon|T14C4SWdragon+T14C3HIdragon|T14C4WEdragon+T14C4SWdragon|T13C4HEdragon+T13C3WDdragon|T14C3WFdragon+T14C3SDdragon|T14C3HWdragon+T14C3HIdragon|T14C4WEdragon+T14C3SDdragon,
T14C3WFdragon,T14C4WEdragon+T14C3WEdragon|T14C4WEdragon+T14C3HIdragon|T14C4HDdragon+T14C3HIdragon|T13C4SIdragon+T13C3HFdragon|T14C3WEdragon+T14C3HWdragon|T14C3SFdragon+T14C3SDdragon,
T14C4HDdragon,T15C3WDdragon+T15C3SWdragon|T15C3WDdragon+T15C3SDdragon|T14C3WEdragon+T14C3HIdragon,
T14C4SWdragon,T15C3WDdragon+T15C3HEdragon|T15C3WIdragon+T15C3HEdragon|T14C3WFdragon+T14C3HWdragon,
T14C4WEdragon,T15C3SWdragon+T15C3HEdragon|T15C3SWdragon+T15C3HWdragon|T14C3SFdragon+T14C3SDdragon,
T15C3HEdragon,T15C4WFdragon+T15C3WIdragon|T15C4SDdragon+T15C3WIdragon|T14C4HDdragon+T14C3SDdragon|T15C3WIdragon+T15C3SDdragon|T15C3WIdragon+T15C3WDdragon,
T15C3HWdragon,T14C4SWdragon+T14C3HWdragon|T15C3WDdragon+T15C3SDdragon|T15C3SDdragon+T15C3HEdragon,
T15C3SDdragon,T15C4WFdragon+T15C4SDdragon|T14C4WEdragon+T14C3WEdragon|T15C3WIdragon+T15C3HEdragon|T15C3WIdragon+T15C3SWdragon,
T15C3SWdragon,T15C4WFdragon+T15C4HIdragon|T15C4HIdragon+T15C3HWdragon|T15C4WFdragon+T15C3HWdragon|T14C4SWdragon+T14C3HIdragon|T15C3WIdragon+T15C3HWdragon|T15C3HWdragon+T15C3HEdragon,
T15C3WDdragon,T15C4SDdragon+T15C4HIdragon|T15C4HIdragon+T15C3SDdragon|T15C4SDdragon+T15C3SDdragon|T14C4WEdragon+T14C3WFdragon|T15C3SDdragon+T15C3HWdragon|T15C3SWdragon+T15C3SDdragon,
T15C3WIdragon,T14C4HDdragon+T14C3SFdragon|T15C3WDdragon+T15C3HWdragon|T15C3SWdragon+T15C3HWdragon,
T15C4HIdragon,T15C3SDdragon+T15C3HEdragon,
T15C4SDdragon,T15C3WIdragon+T15C3SWdragon,
T15C4WFdragon,T15C3WDdragon+T15C3HWdragon,
T1C1HIdragon,T1C2WIdragon+T1C2HEdragon|T2C1HIdragon+T1C1WFdragon|T2C1HIdragon+T1C1SEdragon|T1C3HFdragon+T1C2WIdragon|T1C3SIdragon+T1C2HEdragon,
T1C1SEdragon,T1C2SFdragon+T1C2HEdragon|T1C2HEdragon+T1C1HIdragon|T1C3SIdragon+T1C2HEdragon|T1C3WEdragon+T1C2SFdragon,
T1C1WFdragon,T1C2WIdragon+T1C2SFdragon|T1C3HFdragon+T1C2WIdragon|T1C3WEdragon+T1C2SFdragon,
T1C2HEdragon,T2C2HEdragon+T1C1SEdragon|T2C2HEdragon+T1C1HIdragon|T2C3HIdragon+T1C1SEdragon|T2C3SEdragon+T1C1HIdragon|T2C1HUdragon+T1C3WEdragon|T2C2HEdragon+T1C2WIdragon|T2C1HIdragon+T1C3WEdragon|T1C1WFdragon+T1C1HIdragon|T2C2HEdragon+T1C1WFdragon|T1C3HFdragon+T1C1SEdragon|T2C1HIdragon+T1C1SEdragon|T2C1HUdragon+T1C1SEdragon|T2C3HFdragon+T1C1SEdragon|T1C3WEdragon+T1C1HIdragon|T2C1WEdragon+T1C1HIdragon|T2C2HEdragon+T1C2SFdragon|T1C3WEdragon+T1C3HFdragon|T2C1WEdragon+T1C3HFdragon,
T1C2SFdragon,T2C3SFdragon+T1C1WFdragon|T2C3SFdragon+T1C1SEdragon|T2C2SUdragon+T1C1WFdragon|T2C1SFdragon+T1C3HFdragon|T2C3SEdragon+T1C1WFdragon|T2C1SFdragon+T1C3WEdragon|T2C1SFdragon+T1C3SIdragon|T2C3HFdragon+T1C1SEdragon|T2C3SFdragon+T1C1HIdragon|T2C1SFdragon+T1C2HEdragon|T1C3SIdragon+T1C3HFdragon|T2C1SFdragon+T1C1WFdragon|T2C1SFdragon+T1C1SEdragon|T2C1SFdragon+T1C2WIdragon|T1C2WIdragon+T1C1WFdragon|T1C3HFdragon+T1C1SEdragon|T2C1SFdragon+T1C1HIdragon|T1C3SIdragon+T1C1WFdragon,
T1C2WIdragon,T2C2WIdragon+T1C1WFdragon|T2C2WIdragon+T1C1HIdragon|T2C3WUdragon+T1C1HIdragon|T2C3HIdragon+T1C1WFdragon|T2C2WIdragon+T1C1SEdragon|T2C3WEdragon+T1C1HIdragon|T2C2WIdragon+T1C2HEdragon|T1C3WEdragon+T1C3SIdragon|T2C1WEdragon+T1C3SIdragon|T2C2WIdragon+T1C2SFdragon|T1C3SIdragon+T1C1WFdragon|T1C1WFdragon+T1C1HIdragon|T2C1HIdragon+T1C1WFdragon|T1C3WEdragon+T1C1HIdragon|T2C1WEdragon+T1C1HIdragon,
T1C3HFdragon,T2C3HFdragon+T1C1WFdragon|T2C3HFdragon+T1C1HIdragon|T2C3HFdragon+T1C2HEdragon|T3C2HUdragon+T1C1WFdragon|T2C3HFdragon+T1C2SFdragon|T3C1HIdragon+T1C1WFdragon|T3C2WFdragon+T1C1HIdragon|T2C3HFdragon+T1C2WIdragon|T2C2HEdragon+T1C1WFdragon|T3C1HEdragon+T1C1WFdragon|T2C3SFdragon+T1C2HEdragon|T3C1SFdragon+T1C2HEdragon|T2C3HIdragon+T1C2SFdragon|T3C1HIdragon+T1C2SFdragon|T3C1HEdragon+T1C2SFdragon|T2C3HFdragon+T1C3WEdragon|T2C3HFdragon+T1C3SIdragon|T2C1SFdragon+T2C1HUdragon|T2C2HEdragon+T2C1SFdragon|T2C1HIdragon+T1C1WFdragon|T2C1HUdragon+T1C1WFdragon|T2C3HIdragon+T1C1WFdragon|T1C2HEdragon+T1C1SEdragon|T2C3HFdragon+T1C1SEdragon|T2C1SFdragon+T1C1HIdragon|T2C3SFdragon+T1C1HIdragon|T1C2SFdragon+T1C2HEdragon|T2C1SFdragon+T1C2HEdragon|T2C1HIdragon+T1C2SFdragon|T2C1HUdragon+T1C2SFdragon|T2C2HEdragon+T1C2SFdragon,
T1C3SIdragon,T3C1SIdragon+T1C1SEdragon|T3C1SIdragon+T1C2WIdragon|T3C1SIdragon+T1C1HIdragon|T3C1SIdragon+T1C2SFdragon|T3C1SIdragon+T1C1WFdragon|T2C2SUdragon+T1C1HIdragon|T3C1SFdragon+T1C2WIdragon|T2C2WIdragon+T2C1SFdragon|T3C1HIdragon+T1C1SEdragon|T3C2SEdragon+T1C1HIdragon|T2C3SFdragon+T1C2WIdragon|T3C1SIdragon+T1C2HEdragon|T2C2SUdragon+T2C1HIdragon|T3C1SFdragon+T1C1HIdragon|T2C1SFdragon+T2C1HIdragon|T2C1HIdragon+T1C1SEdragon|T2C2WIdragon+T1C1SEdragon|T2C3HIdragon+T1C1SEdragon|T2C1SFdragon+T1C1HIdragon|T2C3SEdragon+T1C1HIdragon|T2C3SFdragon+T1C1HIdragon|T2C1SFdragon+T1C2WIdragon|T2C2SUdragon+T1C2WIdragon|T2C3SEdragon+T1C2WIdragon|T2C1HIdragon+T1C2SFdragon|T2C2WIdragon+T1C2SFdragon|T1C2WIdragon+T1C2SFdragon,
T1C3WEdragon,T2C3WEdragon+T1C1WFdragon|T2C3WEdragon+T1C1SEdragon|T3C1WEdragon+T1C1WFdragon|T2C3WUdragon+T1C1SEdragon|T3C1WEdragon+T1C1SEdragon|T2C3WEdragon+T1C2WIdragon|T3C1WEdragon+T1C2WIdragon|T2C3WEdragon+T1C2HEdragon|T3C1WEdragon+T1C2HEdragon|T2C2WIdragon+T2C1WEdragon|T2C2HEdragon+T2C1WEdragon|T3C2SEdragon+T1C1WFdragon|T3C1WUdragon+T1C1SEdragon|T3C2WFdragon+T1C1SEdragon|T2C3WUdragon+T1C2HEdragon|T3C1WUdragon+T1C2HEdragon|T2C3WEdragon+T1C2SFdragon|T3C1WEdragon+T1C2SFdragon|T2C1WEdragon+T2C1SFdragon|T2C1WEdragon+T2C1HUdragon|T2C2SUdragon+T2C1WEdragon|T2C3SEdragon+T1C2WIdragon|T2C3WEdragon+T1C3SIdragon|T1C2SFdragon+T1C1SEdragon|T2C1WEdragon+T1C1WFdragon|T2C2HEdragon+T1C1WFdragon|T2C3SEdragon+T1C1WFdragon|T3C1HEdragon+T1C1WFdragon|T2C1WEdragon+T1C1SEdragon|T2C2WIdragon+T1C1SEdragon|T2C1WEdragon+T1C1HIdragon|T2C3WEdragon+T1C1HIdragon|T2C1WEdragon+T1C2WIdragon|T2C2HEdragon+T1C2WIdragon|T2C1WEdragon+T1C2HEdragon|T2C2WIdragon+T1C2HEdragon|T2C1WEdragon+T1C2SFdragon|T2C1WEdragon+T1C3HFdragon|T2C3WEdragon+T1C3HFdragon|T2C1WEdragon+T1C3SIdragon,
T2C1HIdragon,T2C3HIdragon+T1C1HIdragon|T3C1HIdragon+T1C1HIdragon|T3C1HEdragon+T1C1HIdragon|T3C2HUdragon+T1C1HIdragon|T3C3HIdragon+T1C1HIdragon|T4C1HIdragon+T1C1HIdragon|T2C3HIdragon+T1C2WIdragon|T3C1HIdragon+T1C2WIdragon|T2C3HIdragon+T1C2HEdragon|T3C1HIdragon+T1C2HEdragon|T4C1SDdragon+T1C1HIdragon|T3C1HIdragon+T1C3SIdragon|T3C3HFdragon+T1C1HIdragon|T3C3WIdragon+T1C1HIdragon|T4C1HFdragon+T1C1HIdragon|T3C3HIdragon+T1C2WIdragon|T3C1HIdragon+T1C3HFdragon|T2C3HIdragon+T2C1HUdragon|T3C1HIdragon+T2C1HUdragon|T2C3HIdragon+T2C2WIdragon|T4C1HEdragon+T1C1HIdragon|T3C3HIdragon+T1C2HEdragon|T2C3HIdragon+T2C2HEdragon|T3C3HIdragon+T1C1WFdragon|T4C1HIdragon+T1C1WFdragon|T3C1WUdragon+T1C1HIdragon|T3C3HFdragon+T1C2WIdragon|T2C2WIdragon+T2C1HUdragon|T2C3HFdragon+T2C2WIdragon|T3C3SUdragon+T1C1HIdragon|T3C2HUdragon+T1C3SIdragon|T3C1SIdragon+T2C1HUdragon|T2C3HIdragon+T2C2SUdragon|T4C1WUdragon+T1C1HIdragon|T3C1WEdragon+T1C1HIdragon|T3C1HEdragon+T1C2WIdragon|T2C3HIdragon+T1C3WEdragon|T2C3HIdragon+T1C1WFdragon|T3C1HIdragon+T1C1WFdragon|T2C3HIdragon+T1C1SEdragon|T3C1HIdragon+T1C1SEdragon|T1C3WEdragon+T1C1HIdragon|T1C3HFdragon+T1C1HIdragon|T1C3SIdragon+T1C1HIdragon|T2C1WEdragon+T1C1HIdragon|T2C1SFdragon+T1C1HIdragon|T2C1HUdragon+T1C1HIdragon|T2C2WIdragon+T1C1HIdragon|T2C2SUdragon+T1C1HIdragon|T2C2HEdragon+T1C1HIdragon|T2C3WUdragon+T1C1HIdragon|T2C3SEdragon+T1C1HIdragon|T2C3HFdragon+T1C1HIdragon|T2C3SFdragon+T1C1HIdragon|T2C3WEdragon+T1C1HIdragon|T3C1SFdragon+T1C1HIdragon|T3C1SIdragon+T1C1HIdragon|T3C2SEdragon+T1C1HIdragon|T3C2WFdragon+T1C1HIdragon|T1C3HFdragon+T1C2WIdragon|T2C1HUdragon+T1C2WIdragon|T2C2HEdragon+T1C2WIdragon|T2C3HFdragon+T1C2WIdragon|T1C3SIdragon+T1C2HEdragon|T2C2WIdragon+T1C2HEdragon|T3C1SIdragon+T1C2HEdragon|T2C3HIdragon+T1C2SFdragon|T3C1HIdragon+T1C2SFdragon|T1C3SIdragon+T1C3HFdragon|T2C2WIdragon+T1C3HFdragon|T2C3HIdragon+T1C3HFdragon|T2C1HUdragon+T1C3SIdragon|T2C2HEdragon+T1C3SIdragon|T2C3HFdragon+T1C3SIdragon|T2C3HIdragon+T1C3SIdragon,
T2C1HUdragon,T3C2HUdragon+T1C2HEdragon|T3C2HUdragon+T1C2WIdragon|T3C2HUdragon+T1C1WFdragon|T3C2HUdragon+T1C1SEdragon|T2C2SUdragon+T1C1HIdragon|T2C3WUdragon+T1C1HIdragon|T3C1WUdragon+T1C1HIdragon|T3C2HUdragon+T1C1HIdragon|T3C3SUdragon+T1C1HIdragon|T2C2SUdragon+T1C2HEdragon|T2C3WUdragon+T1C2HEdragon|T3C1WUdragon+T1C2HEdragon|T3C2HUdragon+T1C2SFdragon|T1C3WEdragon+T1C3HFdragon|T2C2SUdragon+T1C3HFdragon|T2C3WUdragon+T1C3HFdragon|T3C1WUdragon+T1C3HFdragon|T3C2HUdragon+T1C3HFdragon|T3C2HUdragon+T1C3SIdragon|T2C2SUdragon+T2C1HIdragon|T2C2SUdragon+T2C2HEdragon|T2C3HFdragon+T2C2SUdragon|T2C3HIdragon+T2C2SUdragon|T3C3SUdragon+T1C2HEdragon,
T2C1SFdragon,T3C1SFdragon+T1C1WFdragon|T2C3SFdragon+T1C2SFdragon|T3C1SFdragon+T1C2SFdragon|T4C1SFdragon+T1C1WFdragon|T4C1SDdragon+T1C1WFdragon|T3C1SFdragon+T1C1SEdragon|T2C3SEdragon+T1C2SFdragon|T3C2WFdragon+T1C2SFdragon|T3C1SFdragon+T1C3SIdragon|T4C1SFdragon+T1C1SEdragon|T2C3WUdragon+T1C2SFdragon|T3C1WUdragon+T1C2SFdragon|T3C2SEdragon+T1C2SFdragon|T3C3SUdragon+T1C2SFdragon|T3C3HFdragon+T1C2SFdragon|T3C1SFdragon+T1C3HFdragon|T2C3SFdragon+T2C2SUdragon|T3C3WIdragon+T1C2SFdragon|T3C2WFdragon+T1C3SIdragon|T2C3SFdragon+T2C2WIdragon|T3C1SFdragon+T1C3WEdragon|T2C3SFdragon+T2C1WEdragon|T3C1SFdragon+T2C1WEdragon|T3C3SUdragon+T1C1WFdragon|T3C2HUdragon+T1C2SFdragon|T2C3SFdragon+T2C1HUdragon|T3C1SFdragon+T2C1HUdragon|T2C3HFdragon+T2C2SUdragon|T2C2SUdragon+T1C1WFdragon|T2C3SEdragon+T1C1WFdragon|T2C3SFdragon+T1C1WFdragon|T3C1SIdragon+T1C1WFdragon|T3C2SEdragon+T1C1WFdragon|T1C3HFdragon+T1C1SEdragon|T2C3HFdragon+T1C1SEdragon|T2C3SFdragon+T1C1SEdragon|T3C2WFdragon+T1C1SEdragon|T2C3SFdragon+T1C1HIdragon|T3C1SFdragon+T1C1HIdragon|T2C3SFdragon+T1C2WIdragon|T3C1SFdragon+T1C2WIdragon|T1C2SFdragon+T1C2HEdragon|T2C3SFdragon+T1C2HEdragon|T3C1SFdragon+T1C2HEdragon|T1C3WEdragon+T1C2SFdragon|T1C3SIdragon+T1C2SFdragon|T2C1HIdragon+T1C2SFdragon|T2C1WEdragon+T1C2SFdragon|T2C1HUdragon+T1C2SFdragon|T2C2WIdragon+T1C2SFdragon|T2C2SUdragon+T1C2SFdragon|T2C2HEdragon+T1C2SFdragon|T2C3HFdragon+T1C2SFdragon|T2C3HIdragon+T1C2SFdragon|T2C3WEdragon+T1C2SFdragon|T3C1WEdragon+T1C2SFdragon|T3C1HIdragon+T1C2SFdragon|T3C1SIdragon+T1C2SFdragon|T3C1HEdragon+T1C2SFdragon|T2C3SFdragon+T1C3WEdragon|T1C3SIdragon+T1C3HFdragon|T2C2SUdragon+T1C3HFdragon|T2C3SEdragon+T1C3HFdragon|T2C3SFdragon+T1C3HFdragon|T2C3HFdragon+T1C3SIdragon|T2C3SFdragon+T1C3SIdragon|T1C3SIdragon+T1C1WFdragon|T1C2WIdragon+T1C2SFdragon,
