identifier,prerequisiteAchievements,prerequisiteAchievementChains,chainAchievements,startTime,endTime,minimumStartTime,durationInSeconds,isRestartable,splitTestOptions,shouldUseLocalizationDateOffset,h
BreedingEventJune,level06,,BreedingEventJune,2015.03.13 11:15:00,2015.06.08 14:00:00,,,0,,,
BreedingEventJuneResults,level06,,BreedingEventJuneResults,2015.06.08 14:01:00,2015.06.09 14:00:00,,,0,,,
GauntletEventJune,level06,,GauntletEventJune,2015.03.13 11:15:00,2015.06.16 14:00:00,,,0,,,
GauntletEventJuneResults,level06,,GauntletEventJuneResults,2015.06.15 14:01:00,2015.06.16 13:00:00,,,0,,,
epicDominationJuneSentry,level06,,epicDominationJuneSentry,2015.03.13 11:15:00,2015.06.19 11:00:00,,,0,,,
epicDominationJune,level06,,epicDominationJune,2015.06.19 11:00:00,2015.06.21 14:00:00,,,0,,,
epicDominationJuneResults,level06,,epicDominationJuneResults,2015.06.21 14:00:00,2015.06.22 22:59:00,,,0,,,
epicDominationJuneResults2,level06,,epicDominationJuneResults2,2015.06.21 14:01:00,2015.06.22 22:59:00,,,0,,,
BuildingsEventJune,level06,,BuildingsEventJune,2015.03.13 11:15:00,2015.06.29 12:00:00,,,0,,,
BuildingsEventJuneResults,level06,,BuildingsEventJuneResults,2015.06.29 12:01:00,2015.06.30 12:00:00,,,0,,,
BreedingEventJuly,level06,,BreedingEventJuly,2015.06.29 12:01:00,2015.06.30 12:00:00,,,0,,,
BreedingEventJulyResults,level06,,BreedingEventJulyResults,2015.06.29 12:01:00,2015.06.30 12:00:00,,,0,,,
LTOdragonAchievementJuly1,level06,,LTOdragonAchievementJuly1,2015.07.15 11:15:00,2015.07.16 11:15:00,,,0,,,
LTOdragonAchievementJuly2,level06,,LTOdragonAchievementJuly2,2015.07.15 11:15:00,2015.07.16 11:15:00,,,0,,,
holdoutEventJulyGacha,level06,,holdoutEventJulyGacha,2015.07.07 11:15:00,2015.07.19 22:59:00,,,0,,,
holdoutEventJuly,level06,,holdoutEventJuly,2015.07.11 11:15:00,2015.07.19 22:59:00,,,0,,,
holdoutEventJulyResults,level06,,holdoutEventJulyResults,2015.07.19 22:59:00,2015.07.20 22:59:00,,,0,,,
LTOdragonAchievementJulyOrmarr,level06,,LTOdragonAchievementJulyOrmarr,2015.07.15 11:15:00,2015.07.21 22:59:00,,,0,,,
LTOdragonAchievementJulyLadon,level06,,LTOdragonAchievementJulyLadon,2015.07.15 11:15:00,2015.07.21 22:59:00,,,0,,,
BuildingsEventAug,level06,,BuildingsEventAug,2015.08.01 11:15:00,2015.08.11 12:00:00,,,0,,,
BuildingsEventAugResults,level06,,BuildingsEventAugResults,2015.08.11 12:01:00,2015.08.12 14:00:00,,,0,,,
GauntletEventAugust,level06,,GauntletEventAugust,2015.08.14 12:01:00,2015.08.18 15:00:00,,,0,,,
GauntletEventAugustResults,level06,,GauntletEventAugustResults,2015.08.18 15:01:00,2015.08.20 15:00:00,,,0,,,
BreedingEventAugust,level06,,BreedingEventAugust,2015.08.17 14:01:00,2015.08.24 15:01:00,,,0,,,
BreedingEventAugustResults,level06,,BreedingEventAugustResults,2015.08.24 15:01:00,2015.08.25 15:01:00,,,0,,,
epicDominationAugustSentry,level06,,epicDominationAugustSentry,2015.08.26 15:00:01,2015.08.28 16:00:01,,,0,,,
epicDominationAugust,level06,,epicDominationAugust,2015.08.28 16:00:03,2015.08.31 14:00:01,,,0,,,
epicDominationAugustResults,level999,,epicDominationAugustResults,2015.08.31 14:00:01,2015.09.01 14:00:01,,,0,,,
epicDominationAugustResults2,level06,,epicDominationAugustResults2,2015.08.31 14:00:01,2015.09.02 14:00:01,,,0,,,
boostWeekendSeptember,level06,,boostWeekendSeptember,2015.09.03 10:00:01,2015.09.09 18:00:01,,,0,,,
BuildingsEventSept15,level06,,BuildingsEventSept15,2015.09.11 10:00:01,2015.09.014 18:00:01,,,0,,,
BuildingsEventSept15Results,level06,,BuildingsEventSept15Results,2015.09.11 10:00:01,2015.09.014 18:00:01,,,0,,,
sept15Breeding,level06,,sept15Breeding,2015.09.11 10:00:01,2015.09.014 18:00:01,,,0,,,
sept15BreedingResults,level06,,sept15BreedingResults,2015.09.11 10:00:01,2015.09.014 18:00:01,,,0,,,
sept15Gauntlet,level06,,sept15Gauntlet,2015.09.024 13:00:01,2015.09.028 15:00:01,,,0,,,
sept15GauntletResults,level06,,sept15GauntletResults,2015.09.028 15:00:01,2015.09.029 15:00:01,,,0,,,
PromoActive,,,PromoActive,2015.08.11 12:01:00,2015.08.12 14:00:00,,,0,,,
septWOIBSentry,level06,,septWOIBSentry,2015.08.28 16:00:03,2015.10.02 14:00:01,,,0,,,
septWOIBSkirmishes,level06,,septWOIBSkirmishes,2015.08.28 16:00:03,2015.10.05 13:00:01,,,0,,,
septWOIBResults,level999,,septWOIBResults,2015.10.05 13:00:01,2015.10.06 13:00:01,,,0,,,
septWOIBResults2,level06,,septWOIBResults2,2015.10.05 13:00:01,2015.10.06 13:00:01,,,0,,,
oct15Breeding,level06,,oct15Breeding,2015.10.02 13:00:01,2015.10.06 13:00:01,,,0,,,
oct15BreedingResults,level06,,oct15BreedingResults,2015.10.012 13:00:01,2015.10.013 13:00:01,,,0,,,
oct15Conquer,level06,,oct15Conquer,2015.09.28 15:00:01,2015.10.018 20:00:01,,,0,,,
oct15ConquerResults,level06,,oct15ConquerResults,2015.10.018 20:00:01,2015.10.019 20:00:01,,,0,,,
oct15Fort,level06,,oct15Fort,2015.10.018 20:00:01,2015.10.026 13:00:01,,,0,,,
oct15FortResults,level06,,oct15FortResults,2015.10.026 13:00:01,2015.10.027 13:00:01,,,0,,,
oct15Gauntlet,level06,,oct15Gauntlet,2015.10.026 13:00:01,2015.11.02 13:00:01,,,0,,,
oct15GauntletResults,level06,,oct15GauntletResults,2015.11.02 13:00:01,2015.11.03 13:00:01,,,0,,,
penguinBreed,level06,,penguinBreed,2015.11.02 13:00:01,2016.11.02 13:00:01,,,0,,,
nov15Breeding,level06,,nov15Breeding,2015.10.02 13:00:01,2015.11.09 13:00:01,,,0,,,
nov15BreedingResults,level06,,nov15BreedingResults,2015.11.09 13:00:01,2015.11.10 13:00:01,,,0,,,
nov15KotHGacha,level06,,nov15KotHGacha,2015.11.09 13:00:01,2015.11.19 13:00:01,,,0,,,
nov15KotH,level06,,nov15KotH,2015.11.19 13:00:01,2015.11.22 18:00:01,,,0,,,
nov15KotHResults,level06,,nov15KotHResults,2015.11.22 18:00:01,2015.11.23 18:00:01,,,0,,,
nov15Fort,level06,,nov15Fort,2015.10.018 20:00:01,2015.11.016 13:00:01,,,0,,,
nov15FortResults,level06,,nov15FortResults,2015.11.016 13:00:01,2015.11.017 13:00:01,,,0,,,
nov15Conquer,level06,,nov15Conquer,2015.09.28 15:00:01,2015.11.029 20:00:01,,,0,,,
nov15ConquerResults,level06,,nov15ConquerResults,2015.11.029 20:00:01,2015.11.030 20:00:01,,,0,,,
dec15Breeding,level06,,dec15Breeding,2015.10.02 13:00:01,2015.12.03 13:00:01,,,0,,,
dec15BreedingResults,level06,,dec15BreedingResults,2015.12.03 13:00:01,2015.12.04 13:00:01,,,0,,,
dec15KotHGacha,level06,,dec15KotHGacha,2015.12.09 14:00:01,2015.12.11 13:00:01,,,0,,,
dec15KotH,level06,,dec15KotH,2015.12.11 13:00:01,2015.12.14 13:00:01,,,0,,,
dec15KotHResults,level06,,dec15KotHResults,2015.12.14 13:00:01,2015.12.15 13:00:01,,,0,,,
dec15Fort,level06,,dec15Fort,2015.12.17 13:00:01,2015.12.21 13:00:01,,,0,,,
dec15FortResults,level06,,dec15FortResults,2015.12.21 13:00:01,2015.12.22 13:00:01,,,0,,,
dec15ConquerGacha,level06,,dec15ConquerGacha,2015.12.23 13:00:01,2015.12.26 13:00:01,,,0,,,
dec15Conquer,level06,,dec15Conquer,2015.12.26 13:00:01,2015.12.29 18:00:01,,,0,,,
dec15ConquerResults,level06,,dec15ConquerResults,2015.12.29 18:00:01,2015.12.31 12:00:01,,,0,,,
jan16Breeding,level06,,jan16Breeding,2015.12.31 13:00:01,2016.01.03 13:00:01,,,0,,,
jan16BreedingResults,level06,,jan16BreedingResults,2016.01.03 13:00:01,2016.01.04 13:00:01,,,0,,,
skothBreed,level06,,skothBreed,2015.11.02 13:00:01,2016.11.02 13:00:01,,,0,,,
jan06_2016Gauntlet,level06,,jan06_2016Gauntlet,2016.01.06 13:00:01,2016.01.10 13:00:01,,,0,,,
jan06_2016GauntletResults,level06,,jan06_2016GauntletResults,2016.01.10 13:00:01,2016.01.11 13:00:01,,,0,,,
janWOIBSentry,level06,,janWOIBSentry,2016.01.13 13:00:01,2016.01.15 13:00:01,,,0,,,
janWOIBSkirmishes,level06,,janWOIBSkirmishes,2016.01.15 13:00:01,2016.01.17 13:00:01,,,0,,,
janWOIBResults,level06,,janWOIBResults,2016.01.17 13:00:01,2016.01.18 13:00:01,,,0,,,
jan16DragonXP,level06,,jan16DragonXP,2016.01.21 13:00:01,2016.01.25 18:00:00,,,0,,,
jan16DragonXPResults,level06,,jan16DragonXPResults,2016.01.25 18:00:01,2016.01.26 13:00:01,,,0,,,
jan16Archipelago,level06,,jan16Archipelago,2016.01.27 13:00:01,2016.01.31 13:00:01,,,0,,,
jan16ArchipelagoResults,level06,,jan16ArchipelagoResults,2016.01.31 13:00:01,2016.02.01 13:00:01,,,0,,,
newYearDragonBreed,level06,,newYearDragonBreed,2015.11.02 13:00:01,2016.11.02 13:00:01,,,0,,,
androidDragonReceived,questHavePurpleDragon,,androidDragonReceived,,,2015.03.02 11:00:00,43200,0,,,
aprilGoldDragonBreed,aprilBlueExpert,,questHog09,2016.03.01 00:00:01,2016.06.01 00:00:01,,,,,,
aprilOrmarrAchievement,level06,,questHog09,2016.03.01 00:00:01,2016.05.11 00:00:01,,,,,,
mayPlatinumDragonBreed,mayBlueExpert,,mayPlatinumDragonBreed,2016.05.01 00:00:01,2017.06.01 00:00:01,,,,,,
maySobekAchievement,level06,,maySobekAchievement,2016.05.01 00:00:01,2016.06.08 00:00:01,,,,,,
marchGoldDragonBreed,level06,,marchGoldDragonBreed,2016.03.01 00:00:01,2016.06.01 00:00:01,,,0,,,!@#ndoccjpegkiifddh
