file,hash,deps,h
DC_BigCrystal.pvr,7a51b342d7e464a1633f8f60e88eb8dd,,
DC_BlockA_dif.epvr,edee598e8868be690ee8095b15f1a563,,
DC_BlockA_dif.pvr,7a553af59c80c693289b16990c610fb1,,
DC_BlockA_dif_low.epvr,0e9e54f56476ef42ad284f22a49d686f,,
DC_BlockA_dif_low.pvr,f88247b930fa4426f235ee23eafd5968,,
DC_BlockB_dif.epvr,d2315551a46f8bd6a624ef872b805503,,
DC_BlockB_dif.pvr,94883796c7bbfa39509c407f50afd930,,
DC_BlockB_dif_low.epvr,c9060d15b7437f68eacadb20a75ff8a6,,
DC_BlockB_dif_low.pvr,7d4cb9553a7ccc17cc5ffe0473455bbc,,
DC_BossTower_dif.epvr,1a522799c484b66e7c598d4287c1bdf9,,
DC_BossTower_dif.pvr,3fd75fb4543e5dc02f5cf667b38d5094,,
DC_BossTower_dif_low.epvr,bd8f1c41d5bdecd7681f1dc1850d977a,,
DC_BossTower_dif_low.pvr,13531b0f565255441281450a315e5f3c,,
DC_Floor_01_low.epvr,d3df165f2e45fc239d4696df5dcbfb57,,
DC_Floor_01_low.pvr,dcb5b65e46ba6294f3ffe74a7e9df946,,
DC_Floor_02.epvr,0c6fb9be268bfed1638b7ae63afcf4f0,,
DC_Floor_02.pvr,de483879e784cea50728b88f4378f0e1,,
DC_Gate_dif.epvr,27d8e211ebfeda1c4e1aeeab4b0ecc84,,
DC_Gate_dif.pvr,300f9c0dd2448c4aeb8ca2a0968660b4,,
DC_Gate_dif_low.epvr,f176aa9469f75d92efa475e96d397f44,,
DC_Gate_dif_low.pvr,d139c5b0c72f3907ffd15b84d2a64dc3,,
DC_GrassyCliff.epvr,da090672868f2a5b0252ae2ecb9f678a,,
DC_GrassyCliff.pvr,16341cbfd1eed91a533bcb62fe2a5ada,,
DC_GrassyCliff_Terrain.epvr,4037e3c8ced4f3da5998ea35b1145423,,
DC_GrassyCliff_Terrain.pvr,238493bc17b24441b075681cf1d43144,,
DC_GrassyCliff_low.epvr,3d6fa71e99c46d8d1359d4300555586a,,
DC_GrassyCliff_low.pvr,5d182afba12c9f96cb19a8e1858595ca,,
DC_Ground.epvr,31133b140442d5ac5766ae16b2b0c5bb,,
DC_Ground.pvr,e076b456b62a4a12dfdd0c2e6f94b982,,
DC_Mountain.epvr,d2b0f8ed5bfad1b6d83f52290545dca2,,
DC_Mountain.pvr,19c91e113df0944bba43a5fb1c0eb774,,
DC_Mountain_low.epvr,e72f96f51f429c2e9702f9f1fd5bec4f,,
DC_Mountain_low.pvr,258fe6694ab193fb771783ff2a4f62bf,,
DC_Mountain_v3.epvr,2b55f877aabf220e31921c524e961f37,,
DC_Mountain_v3.pvr,c65f88746dc70c902586ff062359963b,,
DC_Mountain_v3_low.epvr,03ef6cc25b86c04bf9c23aa6ab354cd8,,
DC_Mountain_v3_low.pvr,0432cefedd6c7defd5ab17de79c70758,,
DC_Prop.epvr,06319cd346e58980f12bdf42a779abd7,,
DC_Prop.pvr,a44d702b1ae4060533e41ca0088557ae,,
DC_Prop_low.epvr,bde8ca577cff7c3b86adb76b5e21cde6,,
DC_Prop_low.pvr,0d4ab226f1dc8588c2a8bb632714264e,,
DC_Rock.epvr,a28a79f1375309657b3044753c2a6df7,,
DC_Rock.pvr,0f597a27de3c55fb657e2b697b74c41f,,
DC_Statue_01.epvr,3edc9dcc3b74e773d71f78fc5d7226a9,,
DC_Statue_01.pvr,a27b334d4c30d62dfa0bfc0007b98ae0,,
DC_Tower_dif.epvr,4d536ba5ff9d9c86c98775a809e4d56c,,
DC_Tower_dif.pvr,c6ba6a9446f379d4c6adc8d4d84399e0,,
DC_Tower_dif_low.epvr,efaa7ec5cafae24524f29959ba6e088d,,
DC_Tower_dif_low.pvr,6c270f0641b9019cee22b2bdb5ee2365,,
DC_Tree.epvr,0f28b6bce9a0507da4e266224d343420,,
DC_Tree.pvr,706a3412baccfd3ba90f182ac5853521,,
DC_Tree_low.epvr,4e5684135eaf787c3d86c40c958baaf9,,
DC_Tree_low.pvr,fdc9beb5854b7a5ae10b80fdc3337ba5,,
DC_Wall_dif.epvr,f5f77514ef9ff2f53882ae56b6993f6c,,
DC_Wall_dif.pvr,1b4976a9e497cf1ea5ad5ee1a93be0b2,,
DC_Wall_dif_low.epvr,019deeff1cf1fbe0e797babe9059d29a,,
DC_Wall_dif_low.pvr,c53265359448850b2216434451981af8,,
DC_monument_cathedral_android.zip,9bbe94f9ccf3be1498af0b461b7eefbc,,
DC_monument_cathedral_death_android.zip,9bbe94f9ccf3be1498af0b461b7eefbc,,
DC_monument_cathedral_death_ios.zip,b0c3b780d83bd1dd4b215763f75d6a6a,,
DC_monument_cathedral_dif_LOD00.epvr,2e7caac5c50e944d854b22e6066cb334,,
DC_monument_cathedral_dif_LOD00.pvr,5469f1897854f69b0f031da9ae994b32,,
DC_monument_cathedral_dif_LOD01.epvr,b7ba1b51411ca1d8464dff42612775af,,
DC_monument_cathedral_dif_LOD01.pvr,7fea7401d255bea49da5b8cbd6d07b43,,
DC_monument_cathedral_ios.zip,b0c3b780d83bd1dd4b215763f75d6a6a,,
DD_AirShip.epvr,7b0410a9b267619c40e309bf350c66e2,,
DD_AirShip.pvr,6401b52889a11d64bfdfbd11a4aa3d4b,,
DD_AirShip01_android.zip,081b9343b6be743cfdead3b295e3ab93,,
DD_AirShip01_death_android.zip,081b9343b6be743cfdead3b295e3ab93,,
DD_AirShip01_death_ios.zip,456319a99fc1fafa46e42d1918c2c717,,
DD_AirShip01_ios.zip,456319a99fc1fafa46e42d1918c2c717,,
DD_AirShip02_android.zip,081b9343b6be743cfdead3b295e3ab93,,
DD_AirShip02_death_android.zip,081b9343b6be743cfdead3b295e3ab93,,
DD_AirShip02_death_ios.zip,456319a99fc1fafa46e42d1918c2c717,,
DD_AirShip02_ios.zip,456319a99fc1fafa46e42d1918c2c717,,
DD_AirShip03_android.zip,081b9343b6be743cfdead3b295e3ab93,,
DD_AirShip03_death_android.zip,081b9343b6be743cfdead3b295e3ab93,,
DD_AirShip03_death_ios.zip,456319a99fc1fafa46e42d1918c2c717,,
DD_AirShip03_ios.zip,456319a99fc1fafa46e42d1918c2c717,,
DD_BigCrystal_01_android.zip,1fe039e16d7847259874d5f00365b86b,,
DD_BigCrystal_01_death_android.zip,8e0ec3f3a0154f8c756a9f97cdc5a808,,
DD_BigCrystal_01_death_ios.zip,0296a24ebce6b03598ab839ab18bad09,,
DD_BigCrystal_01_ios.zip,a3dbf50a6abd6dc21c701f50e55cf1b5,,
DD_Bridge_01_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_Bridge_01_death_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_Bridge_01_death_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_Bridge_01_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_Bridge_02_android.zip,6784c5f974c0f40a20ced6c962d3fcad,,
DD_Bridge_02_death_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_Bridge_02_death_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_Bridge_02_ios.zip,e0031d81b31f5cbb6f81f4329cc123cc,,
DD_Bridge_03_android.zip,6784c5f974c0f40a20ced6c962d3fcad,,
DD_Bridge_03_death_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_Bridge_03_death_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_Bridge_03_ios.zip,e0031d81b31f5cbb6f81f4329cc123cc,,
DD_Crane_01_android.zip,3856d90e56451f34cd7a8aa266121154,,
DD_Crane_01_death_android.zip,c8c54829476cdfe6dd8402c1b1c4cf78,,
DD_Crane_01_death_ios.zip,a5541dce15b58c7ca983093f4934008e,,
DD_Crane_01_ios.zip,ae446989f79dec6116c735dd4ca2701d,,
DD_Grass01.epvr,cb27025a633dc91eca4f84598cd099e2,,
DD_Grass01.pvr,1844a4eb6339330ce1aa9683e29a0cee,,
DD_Grass01_low.epvr,602828baa1172acd9a8a311536e10b52,,
DD_Grass01_low.pvr,d4dfb5d9afc0fccb1b8bad92138e55bb,,
DD_Grass02.epvr,10700d854af7e8eebd02c16a0846395c,,
DD_Grass02.pvr,480d955727ff910a12ce269e977187fa,,
DD_Grass02_low.epvr,d900dfce422a8f380dc3978b822624b1,,
DD_Grass02_low.pvr,ea4e2248e754b441d44ecac84333bb29,,
DD_MineCart_01_android.zip,c8c54829476cdfe6dd8402c1b1c4cf78,,
DD_MineCart_01_death_android.zip,fbfeaa009d9c9148f350ea709be06710,,
DD_MineCart_01_death_ios.zip,0c2340c88f19b1a65f5c04d3450be29a,,
DD_MineCart_01_ios.zip,a5541dce15b58c7ca983093f4934008e,,
DD_MineCart_02_android.zip,c8c54829476cdfe6dd8402c1b1c4cf78,,
DD_MineCart_02_death_android.zip,c8c54829476cdfe6dd8402c1b1c4cf78,,
DD_MineCart_02_death_ios.zip,a5541dce15b58c7ca983093f4934008e,,
DD_MineCart_02_ios.zip,a5541dce15b58c7ca983093f4934008e,,
DD_MineDrill_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_MineDrill_death_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_MineDrill_death_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_MineDrill_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_MineStorage_01_android.zip,3856d90e56451f34cd7a8aa266121154,,
DD_MineStorage_01_death_android.zip,63c08abf3b585491067a1eba2897d29d,,
DD_MineStorage_01_death_ios.zip,4dd4d3c5869e0d1f402fca5e20de8260,,
DD_MineStorage_01_ios.zip,ae446989f79dec6116c735dd4ca2701d,,
DD_Statue_01_android.zip,f8152e3fcaf736364cf05685a5742638,,
DD_Statue_01_death.lvl,984c1cb1fd373c2c4e1030e4c296964c,DC_Statue_01.tga|DD_Statue_01.pgmat|DD_Statue_01_anim_death.pod|DD_Statue_01_base.pod|DD_Statue_01_death.pod|fx_rock01_Ssu_gry.png,
DD_Statue_01_death.zip,6a9c1798a1406ef4f9101ed4e2ee2d19,,
DD_Statue_01_death_android.zip,4aa355b44a6a783497e2c1e9f1ac17e8,,
DD_Statue_01_death_atc_android.zip,4fb78ddfa356c538753524a48534207e,,
DD_Statue_01_death_ios.zip,9c7335ac632f29a5d93f92d64a4f48d0,,
DD_Statue_01_ios.zip,51e22cc3e265c2b51f59545e41f776c4,,
DD_Track_01_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_Track_01_death_android.zip,fc5e9c5cc085c36a08c5ba22ef32b5b5,,
DD_Track_01_death_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_Track_01_ios.zip,ccbb96a2dbaa3f8fcc554ee0c0ff1da7,,
DD_WaterMulti.epvr,07dab8e75eb698d43ce228392a525960,,
DD_WaterMulti.pvr,25b4d6d50334366c396b265f1a344ae9,,
DD_WaterMulti_low.epvr,2a6a6b6887fb637f9e2896328e0615f5,,
DD_WaterMulti_low.pvr,24bd1175193931338b4d8220401ec4ae,,
DD_WaterNormal.epvr,93f8f58f5bd8298f63839d916a3043b5,,
DD_WaterNormal.pvr,6959bb5225d45bdc5a07bddefd860140,,
DD_minecart_small_android.zip,c8c54829476cdfe6dd8402c1b1c4cf78,,
DD_minecart_small_death_android.zip,c8c54829476cdfe6dd8402c1b1c4cf78,,
DD_minecart_small_death_ios.zip,a5541dce15b58c7ca983093f4934008e,,
DD_minecart_small_ios.zip,a5541dce15b58c7ca983093f4934008e,,
Defeat_Music.ogg,55ec2d3bfff00d53f1754e70bbb40b15,,
Dragon_Glide_01.ogg,359e97889648a8a38210f17e726a5bfa,,
Dragon_Glide_02.ogg,ef67fbf0a39e7e08c3dd79e20e077ad9,,
Dragon_Glide_03.ogg,fd3f085ccec8b378a02dbd41f12749e3,,
Dragon_Glide_Nonflap_01.ogg,78839e15cb238eaf39a655acd5fb6388,,
Dragon_Glide_Nonflap_02.ogg,b647cf315ef5b95d32b67a4572cf8883,,
Dragon_Glide_Nonflap_03.ogg,9a77e60a1c8363c5a52d73154e523d27,,
Dragon_Wingflap_Generic_Mono_01.ogg,d8711cc79e9b906f25e9d1c1c6432f3a,,
Dragon_Wingflap_Generic_Mono_02.ogg,6e7d7e0cd10bd49aec6ae35b62dc2476,,
Dragon_Wingflap_Generic_Mono_03.ogg,898aad6c6e1b5dbaddf2de119070db9c,,
Dragon_Wingflap_Generic_Mono_04.ogg,ff65434fe9e4504e1e4326678c3bbeae,,
Dragon_Wingflap_Generic_Mono_05.ogg,8869c8aa023563502578e5e6d88c329f,,
Flamethrower_Damage_Building_01.ogg,b233a15c3377abbf01ca497687f96004,,
Flamethrower_Damage_Building_02.ogg,da58b8d319c18d98c8e5d6d1b506398b,,
Floor_brick_uneven_stones_2_basecolor.epvr,b8cc90352d4a027081165baf198ad6c8,,
Floor_brick_uneven_stones_2_basecolor.pvr,e5fd83ea12c77ba4c3058e0c13f0aff7,,
Floor_brick_uneven_stones_2_basecolor_low.epvr,f2ba8d369dd3a8899a05d2537a10523d,,
Floor_brick_uneven_stones_2_basecolor_low.pvr,9d9dfc7104ae9974e3274c6dd08e0a90,,
Hunter_Attack_BuildingHit_Mono_01.ogg,667b07fa8b4439bdbbd13cc37ceb8397,,
Hunter_Attack_BuildingHit_Mono_02.ogg,74ce7deee3d17f879c851e143a19e01c,,
Hunter_Attack_BuildingHit_Mono_03.ogg,e9127701426d6d58cb96f8d99d7697ac,,
Hunter_Attack_BuildingHit_Mono_04.ogg,8935bee747e15a945d69c09ff5c07f35,,
Hunter_Attack_Release_Stereo_01.ogg,812551fd0aa5eaecc1a0f6ea1bffd88f,,
Hunter_Attack_Release_Stereo_02.ogg,ef372fb15673cb8b071825fc8dde9f12,,
Hunter_Attack_Release_Stereo_03.ogg,3e900ae0f8983ced1f83dcf621229d65,,
Hunter_Attack_Release_Stereo_04.ogg,4731e87d5a6eba63abc4634d7d176da9,,
Hut_Destruction_01.ogg,52b0c99b102b4dc473940b2615822a60,,
Hut_Destruction_02.ogg,d6f218f92db0815efbb22730bf758642,,
Hut_Destruction_03.ogg,23c3fdda1c49a4b367e6c53cc267f6ea,,
Lightning_Tower_Fire_01.ogg,9507ce69aa00c3749f10c63fff3cb24c,,
Lightning_Tower_Fire_02.ogg,fd421968d3664af354464a97f53358a2,,
Lightning_Tower_Fire_03.ogg,731157e99286857e6d2da12f01c414a1,,
Mine_Cliff_2.epvr,a14145db86e4c7bd66b5db081f9b723d,,
Mine_Cliff_2.pvr,1ffa37ac10abac4dee15849b84519a86,,
Mine_Cliff_2_low.epvr,7d632d3e821772e2822fe4e82db087b7,,
Mine_Cliff_2_low.pvr,575c385559b75f765ad19c5f5d9676a4,,
Mine_RockFace.epvr,e239e036b7ad70e3ab50b6b1885c7ec9,,
Mine_RockFace.pvr,8c11e37441d3933e133025c27bb35548,,
Mine_RockFace_2.epvr,09d81e48c0f05764662dd4d2a68206da,,
Mine_RockFace_2.pvr,f6b688c3a3b78f3616e9108b244c2118,,
Mine_RockFace_2_low.epvr,23cba2a92ff399195b4cfada74a4fbb5,,
Mine_RockFace_2_low.pvr,7b3452e1dad5d5c457230c22ce979ac2,,
Mine_RockFace_low.epvr,0cf8683b2a2230fa00f241503ad2aa56,,
Mine_RockFace_low.pvr,edfb4709499bf005e9961d14776b5018,,
Mine_StalagmitesAndRocks.epvr,66330ab07b0d0ce872c583e4deb2803d,,
Mine_StalagmitesAndRocks.pvr,8d1f7e3b6a58e86bf05a714ba7772b2c,,
Mine_StalagmitesAndRocks_low.epvr,936f7b4062812b93b57cdb426f042986,,
Mine_StalagmitesAndRocks_low.pvr,d33d934970df97bea1d0947b3dd99a37,,
Moss_basecolor.epvr,19830d6849d69325a21f88cdca99d6b8,,
Moss_basecolor.pvr,4c38f545f8d09a0b4c54d1558873a54a,,
Moss_basecolor_low.epvr,8b70fab195b92d7ee6c891aa22375af8,,
Moss_basecolor_low.pvr,b66217b5abf1f3ef66a516055fa1e1f4,,
Mud_02_AlbedoTransparency.epvr,a5cef1dbcbe57eb7cefa7f2a00ad2f41,,
Mud_02_AlbedoTransparency.pvr,30e6db1701da1eb5509b7cf19bb4b0e6,,
Mud_02_AlbedoTransparency_low.epvr,dc6d7c17ddcc3f43882cb8e5c56b0ed7,,
Mud_02_AlbedoTransparency_low.pvr,45f6a45eb29080641fa36b370526f7ad,,
Mud_AlbedoTransparency.epvr,48465a4020d63bb16091365d2220548c,,
Mud_AlbedoTransparency.pvr,a053a2a8f975f30a77c320cc346c6382,,
Mud_AlbedoTransparency_low.epvr,34afc36406bd11a12becd62ad92e9535,,
Mud_AlbedoTransparency_low.pvr,85b8c65d0c30b066f2aae95cc5ec9d07,,
PreBattle_Music.ogg,e94b51f96a4ac0bf58c8e68095df612b,,
Select_Water_01.ogg,88d638cb945a8468660daf82f7e404b7,,
Select_Water_02.ogg,24416b67ed274b0bced69ed3406fe2b0,,
Select_Water_03.ogg,8c645a5ed16039084d28372c17b7a7fd,,
Select_Water_04.ogg,26211fd352ae9fcfeab59a9009e6e7a1,,
Sorcerer_Attack_Release_Stereo_01.ogg,eb930005aeaddb941b3217f90ee7073d,,
Sorcerer_Attack_Release_Stereo_02.ogg,64479bfeb97a54ebcaecaa48819a9051,,
Sorcerer_Attack_Release_Stereo_03.ogg,f42f1f0ec4901c61bfd30ae00c5aebeb,,
StormTower_Loop_01.ogg,df6863bd2fe255ee06410ad0e5da0c50,,
Tower_Damage_Death_Mono_01.ogg,6715e968b47de77be057ac1dd65adff9,,
Tower_Damage_Death_Mono_02.ogg,c0e1cd807a10b7b7d5eb126d3d14c71e,,
Tower_Damage_Death_Mono_03.ogg,1f5e015f6ef26e540841a3aef8820a1e,,
Trebuchet_Fire_01.ogg,33c41e60d58af70700bc3bb1e455b79f,,
Trebuchet_Fire_02.ogg,2be9cd480e0caba7869b4c06733054bb,,
Trebuchet_Fire_03.ogg,67fe584e799f39af733be78d3c57ef9b,,
UI_Attacker_In.ogg,6ebbdca034f2aa75d9f364b5c0d71ba7,,
UI_BaseDestroyed_Rebuilding.ogg,f1174cca57bc6ffff64b2e7fb85893c4,,
UI_CastAbility.ogg,26ed43b103e511670bdf2362ab66d815,,
UI_Click_AttackButton.ogg,b362119226b95460653db616503eefb9,,
UI_Close.ogg,c34894cef55b003f427078dcda99d634,,
UI_Collect_Food.ogg,44d53117bfaebcf218506bf988236640,,
UI_Collect_Gems.ogg,b4b0438cf65bd7380e16c36ab0c55bab,,
UI_Collect_Wood.ogg,0d5655ff0787729ec95a9e1ff56bcd79,,
UI_ComicPageTurn_01.ogg,69be046a95079a0c50d60896f54f7638,,
UI_ComicPageTurn_02.ogg,870c6ddbe7277b55febbcd65bd88d5fe,,
UI_ComicPageTurn_03.ogg,7220da1d294b3be8c3805f3250399cc4,,
UI_ComicPageTurn_04.ogg,4059a33c142fbd041415547587a99517,,
UI_Construction_Complete.ogg,02ee68626d7b22ccfef199e481dcd003,,
UI_Construction_InProgress.ogg,bf4ddbda9ea27a6fc3f03c122d2e237c,,
UI_Construction_Start.ogg,7ce7bda2b49e6804a4b2c6235b6f5586,,
UI_Defender_In.ogg,4bae1f62a45af9b82a87fd9125090c3c,,
UI_DialogueBox_In.ogg,8465058b96932c79747de85b21486512,,
UI_DialogueBox_Out.ogg,4115cce8a3cd6bfbdb603daa45fa31ea,,
UI_FlameAppear_01.ogg,4f32afdb0f7e00170e19291346050686,,
UI_FlameAppear_02.ogg,9343c83f776262377374a324ee94dd47,,
UI_FlameAppear_03.ogg,6ffe12debfb267907bc2d11e12196cdd,,
UI_FlameAppear_Bonus_01.ogg,883155f84fbb1b634876b163e3033247,,
UI_FlameAppear_Bonus_02.ogg,2f3ac8197c7ab7a3af7e58af83b6e7d6,,
UI_FlameAppear_Bonus_03.ogg,947f15c808f0261d1c5c156e8634e45d,,
UI_New_Ability.ogg,2e7a4d10705018be645a12686749ffeb,,
UI_SelectGrowl_Hunter_01.ogg,9ebc8f6218a478afaea7828a91d86f8a,,
UI_SelectGrowl_Hunter_02.ogg,93b615a7a751061c6722f5aef6526eca,,
UI_SelectGrowl_Invoker_1.ogg,d8e2b894ee1923cd4496254e974851c9,,
UI_SelectGrowl_Invoker_2.ogg,ce79a62cb93b2dc3a58884a0be97415e,,
UI_SelectGrowl_Sorcerer_01.ogg,fb2d340c1008af463380f462f5ee2b91,,
UI_SelectGrowl_Sorcerer_02.ogg,42353e736f785994b880adf1c9e5ebfd,,
UI_SelectGrowl_Warrior_01.ogg,f69611c9b7386cb51fab1d4d948731b4,,
UI_SelectGrowl_Warrior_02.ogg,d297820b9929d3b683be6ad1e09df227,,
UI_Select_Default.ogg,8e6e772df9e094d6bd909982d3c166ac,,
UI_Select_LandPlot.ogg,5acc5524f42586d4956c144bf9a41967,,
UI_Spend_Food.ogg,015401dd89e029358d9bbe5911016f8e,,
UI_Spend_Gems.ogg,f681b326b20faca305df51dcb1844410,,
UI_Spend_Tokens.ogg,8918eb99f1398333e2653e7988456eb4,,
UI_Spend_Wood.ogg,8f72bcaffb00cc7e2c4c9fdbdb3f64cc,,
UI_TextWriting.ogg,8985bebdd30b4d3cc3307ad7aa40fae1,,
UI_VsFlames_Loop.ogg,db224b625c9b0dd5f4c5ad104b27cafb,,
UI_VsFlames_Start.ogg,8b6a65e870f992239d2163862187e8de,,
UI_claim_egg_balloon.ogg,8cb3f2b88938ec0a7defac102047cff2,,
UI_claim_forge.ogg,bb280561ac0eeeba9e1dba2a16f303bd,,
UI_daily_check_in.ogg,feb193453177fe757049250295c23b67,,
UI_equip_rune.ogg,e18b1005ecc2b03c85b6054854a27a6b,,
UI_upgrade_egg.ogg,a4c9fb40e2297183659a4744ecaef548,,
Victory_Music.ogg,1f095e3f9580f2a69927d7f6b559e463,,
WD_DungeonKeyPackIAP_Tier1_iap.png,31132e337fc24002b15d5c3f2c0b6e75,,
WD_DungeonKeyPackIAP_Tier1_iap@2x~ipad.png,77557f8c28eb123f6304b23302fa2149,,
WD_DungeonKeyPackIAP_Tier1_iap_front.png,f50147ec77fdab2385335ca15e4f2b47,,
WD_DungeonKeyPackIAP_Tier1_iap_front@2x~ipad.png,b9304b7f464f564a054d70e6c0f5f9ce,,
WD_DungeonKeyPackIAP_Tier2_iap.png,c1dcda8152d33e3c87dde3c62200e1f2,,
WD_DungeonKeyPackIAP_Tier2_iap@2x~ipad.png,0eb97cdd059ef7c6fd6a14118f3fb445,,
WD_DungeonKeyPackIAP_Tier2_iap_front.png,dc8e0e4acbbf1d38fc7e475da536a9f9,,
WD_DungeonKeyPackIAP_Tier2_iap_front@2x~ipad.png,90c7cbf78f4b77a0773bdd79cbf27cb1,,
WD_DungeonKeyPackIAP_Tier3_iap.png,e21ce529c87f5d5d7cb14e2b7d7de487,,
WD_DungeonKeyPackIAP_Tier3_iap@2x~ipad.png,7964695106734729cb4942e365fd2a4c,,
WD_DungeonKeyPackIAP_Tier3_iap_front.png,1ed14a3ff1f55d42cd1cf8b4587d8a01,,
WD_DungeonKeyPackIAP_Tier3_iap_front@2x~ipad.png,fac534de8c1d18ce6fa46d5c0cc9cf77,,
Warrior_attack_release_loop_01.ogg,82cf28a9295c84358ce52918ef4088ec,,
Warrior_attack_release_loop_02.ogg,70988087bd0265159eeac1bf4030ea64,,
Warrior_attack_release_loop_03.ogg,1bf552625d4fe265fea24e4286e14f13,,
Wet_Mud_Albedo.epvr,ccccb7098de9051386d69366ea61288d,,
Wet_Mud_Albedo.pvr,d5b0d6e655fb3be346c4d2f143494664,,
Wet_Mud_Albedo_low.epvr,c22c17e73b9a32e82676dadfbe243879,,
Wet_Mud_Albedo_low.pvr,73c6366bf65318e5d7b5b9c44385b1a9,,
cin_level05_dragonFlyThrough.POD,73c5d0db9e69948de0f6301cd07dfd5f,,
destructible_placeholder_android.zip,0e5b84710d827434c4aa79623ba42c95,,
destructible_placeholder_death_android.zip,0e5b84710d827434c4aa79623ba42c95,,
destructible_placeholder_death_ios.zip,e2e62d02c0ceffbf9db5af896e50bdcf,,
destructible_placeholder_ios.zip,e2e62d02c0ceffbf9db5af896e50bdcf,,
fx_beam_shield.png,db5bf439a8eff4e498a97428fce5078d,,
fx_level05_orb_skinned_space_low.pgmat,e562707fc7aef4d74f6456e667caa6ea,,
img_portrait_summit19Female_01.png,2237988b8f96faeeb33580c23abfc07e,,
img_portrait_summit19Female_01@2x~ipad.png,4def19d3f885a727ea9c4b18b8a48c5b,,
img_portrait_summit19Female_02.png,c2e4a76cc0e575ff462abe66a2662c29,,
img_portrait_summit19Female_02@2x~ipad.png,7aff13cba104345f8b5307b6599144ca,,
img_portrait_summit19Male_01.png,f87127aa1360a596b95838d1fc484757,,
img_portrait_summit19Male_01@2x~ipad.png,01c91d017879d2e451157cba9d5b0f39,,
img_portrait_summit19Male_02.png,1232b42fa3822450cc93cd1cb0bac268,,
img_portrait_summit19Male_02@2x~ipad.png,2fa725ff36c282d9c961ef237e654b30,,
intro_video_empty_BG.ogg,08f47d97c5d3a0511b378890382a085d,,
level05_BlockA_4.pgmat,9aebe740c0fb64441cc726f6fcd77ee4,,
level05_BlockB_4.pgmat,40693c6a135f8dc91a102c80164f8c33,,
level05_BossTowerB_6.pgmat,f5d90920909c9962355e1bdaf8cbd8da,,
level05_BossTowerB_6_low.pgmat,d5e8a6f9cc68a851f6f76a926087cd8c,,
level05_BossTower_4.pgmat,08d5d2509a8b67ebaa8500457645f401,,
