identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,explosionSceneFile,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
LightningTowerUpgrades_10,10,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_11,11,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_12,12,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_13,13,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_14,14,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_15,15,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_16,16,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_17,17,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_18,18,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_19,19,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_20,20,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_21,21,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_22,22,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_23,23,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_24,24,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_25,25,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_26,26,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_27,27,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_28,28,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_29,29,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_30,30,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_31,31,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_32,32,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_33,33,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_34,34,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_35,35,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_36,36,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_37,37,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_38,38,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_39,39,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_40,40,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_41,41,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_42,42,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_43,43,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_44,44,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_45,45,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:1,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction27,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_46,46,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:2,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction28,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_47,47,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:3,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction29,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_48,48,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:4,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction30,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_49,49,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:5,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction31,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_50,50,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:6,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction32,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_51,51,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:6,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction33,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_52,52,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:6,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction34,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_53,53,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:6,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction35,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_54,54,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:6,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction36,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,
LightningTowerUpgrades_55,55,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:6,,,10,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction37,500,1450,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,1000,!@#pbodlgjnmbpnagdj
