identifier,text,textEnglish,achievementRequirements,h
tip042,"To prevent loss of data, please do not access your account on multiple devices or play multiple accounts on the same device.","To prevent loss of data, please do not access your account on multiple devices or play multiple accounts on the same device.",,
tip043,Sorcerers are best used after a base's mage towers have already been destroyed. Their AOE abilities easily destroy unshielded islands!,Sorcerers are best used after a base's mage towers have already been destroyed. Their AOE abilities easily destroy unshielded islands!,,
tip044,Hunter dragons are great at leading an attack. Hunters commonly have abilities to kill or disable specific towers so follower dragons can clean up.,Hunter dragons are great at leading an attack. Hunters commonly have abilities to kill or disable specific towers so follower dragons can clean up.,,
tip045,"Don't neglect your Forge! It's always ready to craft whatever timers, boosts and spells you need!","Don't neglect your Forge! It's always ready to craft whatever timers, boosts and spells you need!",,
tip046,The cloak spell is great for taking out one strategic target on each island.,The cloak spell is great for taking out one strategic target on each island.,,
tip047,A strong team is key to winning. Recruit your friends to your team!,A strong team is key to winning. Recruit your friends to your team!,,
tip048,Hunter dragons can take out problematic towers with a surgical strike.,Hunter dragons can take out problematic towers with a surgical strike.,,
tip049,"Sorcerer dragons can destroy large groups of towers, but you need to clean out mage and storm towers first!","Sorcerer dragons can destroy large groups of towers, but you need to clean out mage and storm towers first!",,
tip050,Warrior dragons can take a lot of damage! They're great when you want to brawl through a tough island.,Warrior dragons can take a lot of damage! They're great when you want to brawl through a tough island.,,
tip051,"It's always nice to transfer resources to your teammates, but be careful not to send more than they can store.","It's always nice to transfer resources to your teammates, but be careful not to send more than they can store.",,
tip052,Always defend your teammates! You can get boosts for shooting down enemy dragons!,Always defend your teammates! You can get boosts for shooting down enemy dragons!,,
tip053,Don't let enemies get away with attacking you! Attack back through the replay menu.,Don't let enemies get away with attacking you! Attack back through the replay menu.,,
tip054,Lightning tower supershots deal more damage based on how many lightning towers are grouped on one island.,Lightning tower supershots deal more damage based on how many lightning towers are grouped on one island.,,
tip055,The hunter's Healing Mark spell is very powerful for teammates who coordinate. The next attacker can use any Healing Marks you leave behind!,The hunter's Healing Mark spell is very powerful for teammates who coordinate. The next attacker can use any Healing Marks you leave behind!,,
tip056,The warrior's Battle Cry spell is very powerful for teams who coordinate. You increase the power of not only your dragon but all following dragons!,The warrior's Battle Cry spell is very powerful for teams who coordinate. You increase the power of not only your dragon but all following dragons!,,!@#jagabgibnhekbmli
