identifier,priority,gameProperty,glRendererRegex,hardwareModelRegex,min_memScore1,max_memScore1,min_isIpad,max_isIpad,min_deviceQuality,max_deviceQuality,value,h
12_low,1,showAttackModeClouds,*,*,*,*,*,*,2,2,0,
12_med,2,showAttackModeClouds,*,*,*,*,*,*,3,3,1,
12_hig,3,showAttackModeClouds,*,*,*,*,*,*,4,4,1,
12_xxx,4,showAttackModeClouds,*,*,*,*,*,*,*,*,0,
13_low,1,showAttackModeContrails,*,*,*,*,*,*,2,2,1,
13_med,2,showAttackModeContrails,*,*,*,*,*,*,3,3,1,
13_hig,3,showAttackModeContrails,*,*,*,*,*,*,4,4,1,
13_xxx,4,showAttackModeContrails,*,*,*,*,*,*,*,*,0,
14_low,1,showBirds,*,*,*,*,1,1,2,2,0,
14_med,2,showBirds,*,*,*,*,1,1,3,3,0,
14_hig,3,showBirds,*,*,*,*,1,1,4,4,1,
14_xxx,4,showBirds,*,*,*,*,*,*,*,*,0,
15_low,1,showBuildingGibModel,*,*,*,*,*,*,2,2,1,
15_med,2,showBuildingGibModel,*,*,*,*,*,*,3,3,1,
15_hig,3,showBuildingGibModel,*,*,*,*,*,*,4,4,1,
15_xxx,4,showBuildingGibModel,*,*,*,*,*,*,*,*,0,
16_low,1,useLowEndOcean,*,*,*,*,*,*,2,2,1,
16_med,2,useLowEndOcean,*,*,*,*,*,*,3,3,0,
16_hig,3,useLowEndOcean,*,*,*,*,*,*,4,4,0,
16_xxx,4,useLowEndOcean,*,*,*,*,*,*,*,*,1,
19_low,1,drawLightningBackground,*,*,*,*,*,*,2,2,0,
19_med,2,drawLightningBackground,*,*,*,*,*,*,3,3,1,
19_hig,3,drawLightningBackground,*,*,*,*,*,*,4,4,1,
19_xxx,4,drawLightningBackground,*,*,*,*,*,*,*,*,0,
20_low,1,showWhales,*,*,*,*,*,*,*,*,0,
20_med,2,showWhales,*,*,*,*,*,*,*,*,0,
20_hig,3,showWhales,*,*,*,*,*,*,*,*,1,
20_xxx,4,showWhales,*,*,*,*,*,*,*,*,0,
21_low,1,useGenericNormalMap,*,*,*,*,*,*,2,2,1,
21_med,2,useGenericNormalMap,*,*,*,*,*,*,3,3,0,
21_hig,3,useGenericNormalMap,*,*,*,*,*,*,4,4,0,
21_xxx,4,useGenericNormalMap,*,*,*,*,*,*,*,*,1,
22_xxx,1,shouldUseVao,*,*,*,*,*,*,*,*,1,
23_low,1,useLowResDragonInStable,*,*,*,*,*,*,2,2,1,
23_med,2,useLowResDragonInStable,*,*,*,*,*,*,3,3,0,
23_hig,3,useLowResDragonInStable,*,*,*,*,*,*,4,4,0,
23_xxx,4,useLowResDragonInStable,*,*,*,*,*,*,*,*,1,
24_low,1,maxParallelDragonsToLoadInDiscovery,*,*,*,*,*,*,2,2,1,
24_med,2,maxParallelDragonsToLoadInDiscovery,*,*,*,*,*,*,3,3,2,
24_hig,3,maxParallelDragonsToLoadInDiscovery,*,*,*,*,*,*,4,4,2,
24_xxx,4,maxParallelDragonsToLoadInDiscovery,*,*,*,*,*,*,*,*,1,
26_hig,1,showLensFlares,*,*,*,*,*,*,4,4,0,
26_xxx,2,showLensFlares,*,*,*,*,*,*,*,*,0,
27_low,1,use16bppForBreedingMenu,*,*,*,*,*,*,2,2,1,
27_med,2,use16bppForBreedingMenu,*,*,*,*,*,*,3,3,1,
27_hig,3,use16bppForBreedingMenu,*,*,*,*,*,*,4,4,0,
27_xxx,4,use16bppForBreedingMenu,*,*,*,*,*,*,*,*,1,
28_low,1,showBuildingExplosionEffects,*,*,*,*,*,*,2,2,1,
28_med,2,showBuildingExplosionEffects,*,*,*,*,*,*,3,3,1,
28_hig,3,showBuildingExplosionEffects,*,*,*,*,*,*,4,4,1,
28_xxx,4,showBuildingExplosionEffects,*,*,*,*,*,*,*,*,0,
29_low,1,numCrittersToAnimate,*,*,*,*,*,*,2,2,0,
29_med,2,numCrittersToAnimate,*,*,*,*,*,*,3,3,5,
29_hig,3,numCrittersToAnimate,*,*,*,*,*,*,4,4,10,
29_xxx,4,numCrittersToAnimate,*,*,*,*,*,*,*,*,0,
30_low,1,numCrittersToAnimateWhenActive,*,*,*,*,*,*,2,2,0,
30_med,2,numCrittersToAnimateWhenActive,*,*,*,*,*,*,3,3,5,
30_hig,3,numCrittersToAnimateWhenActive,*,*,*,*,*,*,4,4,10,
30_xxx,4,numCrittersToAnimateWhenActive,*,*,*,*,*,*,*,*,0,
31_low,1,numCrittersToShow,*,*,*,*,*,*,2,2,0,
31_med,2,numCrittersToShow,*,*,*,*,*,*,3,3,0,
31_hig,3,numCrittersToShow,*,*,*,*,*,*,4,4,2,
31_xxx,4,numCrittersToShow,*,*,*,*,*,*,*,*,0,
32_low,1,showLOBDestructionInBattle,*,*,*,*,*,*,2,2,1,
32_med,2,showLOBDestructionInBattle,*,*,*,*,*,*,3,3,1,
32_hig,3,showLOBDestructionInBattle,*,*,*,*,*,*,4,4,1,
32_xxx,4,showLOBDestructionInBattle,*,*,*,*,*,*,*,*,1,
33_low,1,destroySmallLOBInBattle,*,*,*,*,*,*,2,2,0,
33_med,2,destroySmallLOBInBattle,*,*,*,*,*,*,3,3,1,
33_hig,3,destroySmallLOBInBattle,*,*,*,*,*,*,4,4,1,
33_xxx,4,destroySmallLOBInBattle,*,*,*,*,*,*,*,*,0,
34_low,1,load3DModelsInDragonDiscoveryMenu,*,*,*,*,*,*,2,2,0,
34_med,2,load3DModelsInDragonDiscoveryMenu,*,*,*,*,*,*,3,3,0,
34_hig,3,load3DModelsInDragonDiscoveryMenu,*,*,*,*,*,*,4,4,1,
34_xxx,4,load3DModelsInDragonDiscoveryMenu,*,*,*,*,*,*,*,*,0,
35_xxx,1,floatingCloudsEnabled,*,*,*,*,*,*,*,*,0,
36_low,1,shouldShowContactEffects,*,*,*,*,*,*,2,2,0,
36_med,2,shouldShowContactEffects,*,*,*,*,*,*,3,3,0,
36_hig,3,shouldShowContactEffects,*,*,*,*,*,*,4,4,1,
36_xxx,4,shouldShowContactEffects,*,*,*,*,*,*,*,*,0,
37_hig,1,isMetalSupported,*,*,*,*,*,*,4,4,1,
37_xxx,2,isMetalSupported,*,*,*,*,*,*,*,*,0,
38_xxx,1,delayCallsInLazyLoadingManager,*,*,*,*,*,*,*,*,1,
39_xxx,1,showLavaInStable,*,*,*,*,*,*,*,*,0,
40_low,1,showSmokeDuringBuildModeRepair,*,*,*,*,*,*,2,2,0,
40_med,2,showSmokeDuringBuildModeRepair,*,*,*,*,*,*,3,3,1,
40_hig,3,showSmokeDuringBuildModeRepair,*,*,*,*,*,*,4,4,1,
40_xxx,4,showSmokeDuringBuildModeRepair,*,*,*,*,*,*,*,*,0,
41_low,1,showScaffoldingDuringBuildModeRepair,*,*,*,*,*,*,2,2,0,
41_med,2,showScaffoldingDuringBuildModeRepair,*,*,*,*,*,*,3,3,0,
41_hig,3,showScaffoldingDuringBuildModeRepair,*,*,*,*,*,*,4,4,1,
41_xxx,4,showScaffoldingDuringBuildModeRepair,*,*,*,*,*,*,*,*,0,
42_low,1,showDeathSceneFilesBuildModeRepair,*,*,*,*,*,*,2,2,0,
42_med,2,showDeathSceneFilesBuildModeRepair,*,*,*,*,*,*,3,3,1,
42_hig,3,showDeathSceneFilesBuildModeRepair,*,*,*,*,*,*,4,4,1,
42_xxx,4,showDeathSceneFilesBuildModeRepair,*,*,*,*,*,*,*,*,0,
43_low,1,showAnimatingLOBs,*,*,*,*,*,*,2,2,0,
43_med,2,showAnimatingLOBs,*,*,*,*,*,*,3,3,0,
43_hig,3,showAnimatingLOBs,*,*,*,*,*,*,4,4,0,
43_xxx,4,showAnimatingLOBs,*,*,*,*,*,*,*,*,0,
44_low,1,showFoliageInBattle,*,*,*,*,*,*,2,2,0,
44_med,2,showFoliageInBattle,*,*,*,*,*,*,3,3,1,
44_hig,3,showFoliageInBattle,*,*,*,*,*,*,4,4,1,
44_xxx,4,showFoliageInBattle,*,*,*,*,*,*,*,*,0,
45_low,1,maxConcurrentAssetDownloads,*,*,*,*,*,*,2,2,1,
45_med,2,maxConcurrentAssetDownloads,*,*,*,*,*,*,3,3,2,
45_hig,3,maxConcurrentAssetDownloads,*,*,*,*,*,*,4,4,4,
45_xxx,4,maxConcurrentAssetDownloads,*,*,*,*,*,*,*,*,1,
46_low,1,showDestructibleLOBObjects,*,*,*,*,*,*,2,2,0,
46_med,2,showDestructibleLOBObjects,*,*,*,*,*,*,3,3,0,
46_hig,3,showDestructibleLOBObjects,*,*,*,*,*,*,4,4,1,
46_xxx,4,showDestructibleLOBObjects,*,*,*,*,*,*,*,*,0,
47_low,1,megabytesFor2dTextureMemory,*,*,*,*,*,*,2,2,30,
47_med,2,megabytesFor2dTextureMemory,*,*,*,*,*,*,3,3,60,
47_hig,3,megabytesFor2dTextureMemory,*,*,*,*,*,*,4,4,90,
47_xxx,4,megabytesFor2dTextureMemory,*,*,*,*,*,*,*,*,30,
48_low,1,useLazyLoadTableForDragons,*,*,*,*,*,*,2,2,1,
48_med,2,useLazyLoadTableForDragons,*,*,*,*,*,*,3,3,0,
48_hig,3,useLazyLoadTableForDragons,*,*,*,*,*,*,4,4,0,
48_xxx,4,useLazyLoadTableForDragons,*,*,*,*,*,*,*,*,1,
49_low,1,numberOfReplaysToSave,*,*,*,*,*,*,2,2,1,
49_med,2,numberOfReplaysToSave,*,*,*,*,*,*,3,3,1,
49_hig,3,numberOfReplaysToSave,*,*,*,*,*,*,4,4,1,
49_xxx,4,numberOfReplaysToSave,*,*,*,*,*,*,*,*,1,
50_low,1,enablePVPMapView,*,*,*,*,*,*,2,2,0,
50_med,2,enablePVPMapView,*,*,*,*,*,*,3,3,1,
50_hig,3,enablePVPMapView,*,*,*,*,*,*,4,4,1,
50_xxx,4,enablePVPMapView,*,*,*,*,*,*,*,*,0,
51_low,1,enableBattleBuildingDamageFresnelShader,*,*,*,*,*,*,2,2,1,
51_med,2,enableBattleBuildingDamageFresnelShader,*,*,*,*,*,*,3,3,1,
51_hig,3,enableBattleBuildingDamageFresnelShader,*,*,*,*,*,*,4,4,1,
51_xxx,4,enableBattleBuildingDamageFresnelShader,*,*,*,*,*,*,*,*,0,
52_low,1,drawFlyingDragons,*,*,*,*,*,*,2,2,1,
52_med,2,drawFlyingDragons,*,*,*,*,*,*,3,3,1,
52_hig,3,drawFlyingDragons,*,*,*,*,*,*,4,4,1,
52_xxx,4,drawFlyingDragons,*,*,*,*,*,*,*,*,0,
53_low,1,cacheParticleAndSceneFiles,*,*,*,*,*,*,2,2,1,
53_med,2,cacheParticleAndSceneFiles,*,*,*,*,*,*,3,3,1,
53_hig,3,cacheParticleAndSceneFiles,*,*,*,*,*,*,4,4,1,
53_xxx,4,cacheParticleAndSceneFiles,*,*,*,*,*,*,*,*,0,
54_low,1,worldLevelOfDetail,*,*,*,*,*,*,2,2,2,
54_med,2,worldLevelOfDetail,*,*,*,*,*,*,3,3,1,
54_hig,3,worldLevelOfDetail,*,*,*,*,*,*,4,4,1,
54_xxx,4,worldLevelOfDetail,*,*,*,*,*,*,*,*,2,
55_low,1,dragonLevelOfDetail,*,*,*,*,*,*,2,2,2,
55_med,2,dragonLevelOfDetail,*,*,*,*,*,*,3,3,1,
55_hig,3,dragonLevelOfDetail,*,*,*,*,*,*,4,4,1,
55_xxx,4,dragonLevelOfDetail,*,*,*,*,*,*,*,*,2,
56_low,1,useNonRetinaLabels,*,*,*,*,1,1,2,2,1,
56_med,2,useNonRetinaLabels,*,*,*,*,1,1,3,3,0,
56_hig,3,useNonRetinaLabels,*,*,*,*,1,1,4,4,0,
56_xxx,4,useNonRetinaLabels,*,*,*,*,*,*,*,*,1,
57_low,1,useCCBPreallocator,*,*,*,*,1,1,2,2,1,
57_med,2,useCCBPreallocator,*,*,*,*,1,1,3,3,1,
57_hig,3,useCCBPreallocator,*,*,*,*,1,1,4,4,1,
57_xxx,4,useCCBPreallocator,*,*,*,*,*,*,*,*,1,
58_low,1,numberOfMipMapLevelsToSkip,*,*,*,*,*,*,2,2,2,
58_med,2,numberOfMipMapLevelsToSkip,*,*,*,*,*,*,3,3,1,
58_hig,3,numberOfMipMapLevelsToSkip,*,*,*,*,*,*,4,4,0,
58_xxx,4,numberOfMipMapLevelsToSkip,*,*,*,*,*,*,*,*,3,
59_low,1,wm3d_numberOfMipMapLevelsToSkip,*,*,*,*,*,*,2,2,2,
59_med,2,wm3d_numberOfMipMapLevelsToSkip,*,*,*,*,*,*,3,3,1,
59_hig,3,wm3d_numberOfMipMapLevelsToSkip,*,*,*,*,*,*,4,4,0,
59_xxx,4,wm3d_numberOfMipMapLevelsToSkip,*,*,*,*,*,*,*,*,3,
60_low,1,wm3d_farClipPercent,*,*,*,*,*,*,2,2,33,
60_med,2,wm3d_farClipPercent,*,*,*,*,*,*,3,3,100,
60_hig,3,wm3d_farClipPercent,*,*,*,*,*,*,4,4,100,
60_xxx,4,wm3d_farClipPercent,*,*,*,*,*,*,*,*,33,
61_low,1,wm3d_shaderQualitySetting,*,*,*,*,*,*,2,2,1,
61_med,2,wm3d_shaderQualitySetting,*,*,*,*,*,*,3,3,5,
61_hig,3,wm3d_shaderQualitySetting,*,*,*,*,*,*,4,4,5,
61_xxx,4,wm3d_shaderQualitySetting,*,*,*,*,*,*,*,*,1,
62_low,1,wm3d_showDecorations,*,*,*,*,*,*,2,2,0,
62_med,2,wm3d_showDecorations,*,*,*,*,*,*,3,3,1,
62_hig,3,wm3d_showDecorations,*,*,*,*,*,*,4,4,1,
62_xxx,4,wm3d_showDecorations,*,*,*,*,*,*,*,*,1,
63_xxx,4,enableScreenshotGenerator,*,*,*,*,*,*,*,*,1,!@#apeafbkjmoccheof
