identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,damageReductionPercentage,levelRequired,h
EarthTotemUpgrades_33,33,0,bld_brazier_earth_level03.lvl,,elementalEmber:1700,1566720,,658141,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,17,106,
EarthTotemUpgrades_34,34,0,bld_brazier_earth_level03.lvl,,piercing:667968,1664640,,726462,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,17,118,
EarthTotemUpgrades_35,35,0,bld_brazier_earth_level03.lvl,,elementalEmber:1800,1762560,,801875,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,118,
EarthTotemUpgrades_36,36,0,bld_brazier_earth_level03.lvl,,piercing:668068,2177280,,885119,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,130,
EarthTotemUpgrades_37,37,0,bld_brazier_earth_level03.lvl,,elementalEmber:1900,2177280,,977004,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,130,
EarthTotemUpgrades_38,38,0,bld_brazier_earth_level03.lvl,,piercing:668168,2177280,,1078427,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,142,
EarthTotemUpgrades_39,39,0,bld_brazier_earth_level03.lvl,,elementalEmber:2000,2177280,,1190380,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,142,
EarthTotemUpgrades_40,40,0,bld_brazier_earth_level03.lvl,,piercing:668268,2177280,,1313954,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,151,
EarthTotemUpgrades_41,41,0,bld_brazier_earth_level03.lvl,,elementalEmber:2100,2290604,,1450357,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,151,
EarthTotemUpgrades_42,42,0,bld_brazier_earth_level03.lvl,,piercing:668368,2743903,,1600920,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,163,
EarthTotemUpgrades_43,43,0,bld_brazier_earth_level03.lvl,,elementalEmber:2200,3197201,,1767114,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,163,
EarthTotemUpgrades_44,44,0,bld_brazier_earth_level03.lvl,,piercing:668468,3650500,,1950560,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,175,
EarthTotemUpgrades_45,45,0,bld_brazier_earth_level03.lvl,,elementalEmber:2300,4103799,,2153050,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,175,
EarthTotemUpgrades_46,46,0,bld_brazier_earth_level03.lvl,,piercing:1158720,4177339,,2376560,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,187,
EarthTotemUpgrades_47,47,0,bld_brazier_earth_level03.lvl,,elementalEmber:2400,4314507,,2623276,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,187,
EarthTotemUpgrades_48,48,0,bld_brazier_earth_level03.lvl,,piercing:1240512,4553079,,2895603,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,196,
EarthTotemUpgrades_49,49,0,bld_brazier_earth_level03.lvl,,elementalEmber:2500,4602106,,3196202,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,196,
EarthTotemUpgrades_50,50,0,bld_brazier_earth_level03.lvl,,piercing:1322304,4777719,,3528005,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,208,!@#ghcljbapdihbcjdn
