identifier,inBundle,craftingDuration,craftingCost,iconFilename,requiredLevel,achievementRequirement,rewards,rewardDistribution,displayName,descriptionText,craftingCategories,sortPriority,packBackgroundFilename,packLine1,packLine2,canOnlyBeBought,visible,h
chargeShieldSpellConsumable01,0,18000,,,1,,chargeShieldSpellConsumable01:1,,Explosive Shield,"Absorbs damage until depleted, then explodes dealing damage to nearby buildings",spell,54,,,,,1,
dodgeSpellConsumable01,0,10800,,,1,,dodgeSpellConsumable01:1,,Evasion,Dragon moves quickly over buildings and have a chance to dodge incoming projectiles,spell,53,,,,,1,
freezeSpellConsumable01,0,10800,,,1,,freezeSpellConsumable01:1,,Freeze,Freezes all buildings in the affected area,spell,52,,,,,1,
healSpellConsumable01,0,10800,,,1,,healSpellConsumable01:1,,Rejuvenate,Restores health over time,spell,51,,,,,1,
stoneskinSpellConsumable01,0,18000,,,1,,stoneskinSpellConsumable01:1,,Stoneskin Shield,Greatly reduces damage taken,spell,50,,,,,1,
archerResistAbilityConsumable01,0,10800,,,1,,archerResistAbilityConsumable01:1,,Archer Resist,Resists Archer Towers,spell,49,,,,,1,
cannonResistAbilityConsumable01,0,18000,,,1,,cannonResistAbilityConsumable01:1,,Cannon Resist,Resists Cannon Towers,spell,48,,,,,1,
stormResistAbilityConsumable01,0,18000,,,1,,stormResistAbilityConsumable01:1,,Storm Resist,Resist Storm Towers,spell,47,,,,,1,
frenzySpellConsumable01,0,28800,,,1,,frenzySpellConsumable01:1,,Havoc,Dragon deals greatly increased damage with its attacks,spell,46,,,,,1,
healingmarkSpellConsumable01,0,10800,,,2,,healingmarkSpellConsumable01:1,,Healing Mark,Places a mark on a building that heals the Dragon that destroys it,spell,45,,,,,1,
curePoisonSpellConsumable01,0,10800,,,2,,curePoisonSpellConsumable01:1,,Cure Poison,Removes poison,spell,44,,,,,1,
invertSpellConsumable01,0,28800,,,2,,invertSpellConsumable01:1,,Reverse Projectiles,Reflects incoming projectiles back onto the attackers,spell,43,,,,,1,
ballistaResistAbilityConsumable01,0,28800,,,2,,ballistaResistAbilityConsumable01:1,,Ballista Resist,Resist Ballista Towers,spell,42,,,,,1,
instantKillSpellConsumable01,0,36000,,,3,,instantKillSpellConsumable01:1,,Death Gaze,Dragon's next attack deals enough damage to destroy most buildings instantly,spell,41,,,,,1,
aoeSpellConsumable01,0,28800,,,3,,aoeSpellConsumable01:1,,Fireball,Deals damage to all buildings in the affected area,spell,40,,,,,1,
battlecrySpellConsumable01,0,28800,,,3,,battlecrySpellConsumable01:1,,Battle Cry,Increase the damage of this and the next dragon to attack,spell,39,,,,,1,
cloakSpellConsumable01,0,18000,,,3,,cloakSpellConsumable01:1,,Cloak,Dragon becomes invisible and cannot be targeted until it attacks,spell,38,,,,,1,
trebuchetResistAbilityConsumable01,0,18000,,,3,,trebuchetResistAbilityConsumable01:1,,Trebuchet Resist,Resist Trebuchet Towers,spell,37,,,,,1,
invincibleSpellConsumable01,0,18000,,,4,,invincibleSpellConsumable01:1,,Invincibility Shield,Dragon becomes invincible briefly,spell,36,,,,,1,
hurricaneSpellConsumable01,0,18000,,,4,,hurricaneSpellConsumable01:1,,Wind Wall,Deflects incoming projectiles,spell,35,,,,,1,
lockdownSpellConsumable01,0,10800,,,4,,lockdownSpellConsumable01:1,,Lockdown,Disables a building until the next time it takes damage,spell,34,,,,,1,
summonDragonSpellConsumable01,0,28800,,,4,,summonDragonSpellConsumable01:1,,Summon Warrior,Summons a spectral Warrior Dragon to fight for you,spell,33,,,,,1,
lightningResistAbilityConsumable01,0,10800,,,4,,lightningResistAbilityConsumable01:1,,Lightning Resist,Resist Lightning Towers,spell,32,,,,,1,
syphonSpellConsumable01,0,28800,,,5,,syphonSpellConsumable01:1,,Vampiric Touch,When active gain health and rage on building destruction,spell,31,,,,,1,
selfDestructSpellConsumable01,0,28800,,,5,,selfDestructSpellConsumable01:1,,Self Destruct,Dragon self destructs and deals tremendous damage to every tower in the area,spell,30,,,,,1,
shortCircuitSpellConsumable01,0,28800,,,5,,shortCircuitSpellConsumable01:1,,Elemental Mayhem,Causes Lightning and Storm towers to go haywire and attack each other,spell,29,,,,,1,
thunderstormSpellConsumable02,0,28800,,,6,,thunderstormSpellConsumable02:1,,Thunderstorm,Summons a cloud that brings down lighting bolts which does damage over time,spell,28,,,,,1,
intimidatingRoarSpellConsumable01,0,28800,,,6,,intimidatingRoarSpellConsumable01:1,,Intimidating Roar,Deals damage to buildings nearby and reduces their damage for entire fight,spell,27,,,,,1,
superSpeedPack,0,,ruby:5900,icon_pack_war_01.png,1,,expediteConsumable2:35|expediteConsumable3:20|expediteConsumable4:30,,Super Speedup Pack,Super Speed Pack for the High Seas,special|pack,77,bg_boostDragon_superAttack.png,Expedite,Boost Pack,1,1,
24h_2x_food,0,,ruby:1000,icon_boost_production_food_01.png,4,,24h_2x_food:1,,1d 2x Food Boost,24 hours of 2x food production and protection,special|pack,79,bg_boostDragon_largeDefense.png,Production Boost,Food ,1,1,
24h_2x_wood,0,,ruby:1000,icon_boost_production_wood_01.png,4,,24h_2x_wood:1,,1d 2x Wood Boost,24 hours of 2x wood production and protection,special|pack,80,bg_boostDragon_largeDefense.png,Production Boost,Wood,1,1,
xpMultiplierSpellConsumable01,0,,ruby:50,,1,,xpMultiplierSpellConsumable01:1,,+100% XP,Increases starting base EXP by 100% (Applied before Elite XP Bonus),spell,81,,,,1,1,!@#homncfihnnjdmfbk
