identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,shotsPerAttack,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityEffectDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,showcaseIsTrackingTarget,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Float,Integer,Integer,String,Integer,String,LocalizedString,LocalizedString,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
IceTurretUpgrades_11,11,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:600,72000,,11,34165,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1320,7919,0,0,,,component:0.145,piercing:97,experience:1298,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield11|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,4,,,925,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_12,12,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,12,38072,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1471,8823,0,0,,,component:0.135,piercing:125,experience:1667,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield12|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,4,,,1161,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_13,13,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:700,129600,,13,42382,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1637,9821,0,0,,,component:0.125,piercing:164,experience:2058,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield13|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,5,,,1450,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_14,14,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,14,47181,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1822,10932,0,0,,,component:0.12,piercing:206,experience:2118,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield14|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,5,,,1798,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_15,15,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:800,216000,,15,52525,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,2028,12168,0,0,,,component:0.12,piercing:249,experience:2546,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield15|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,6,,,2211,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_16,16,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,15,58473,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,2257,13544,0,0,,,component:0.12,piercing:249,experience:3000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield16|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,6,,,2730,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_17,17,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:900,302400,,15,65095,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,2513,15078,0,0,,,component:0.12,piercing:249,experience:3097,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield17|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,7,,,3404,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_18,18,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,15,72467,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,2798,16786,0,0,,,component:0.12,piercing:249,experience:4000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield18|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,8,,,4212,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_19,19,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1000,388800,,15,85121,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,3286,19715,0,0,,,component:0.12,piercing:249,experience:5334,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield19|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,9,,,5796,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_20,20,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,15,99983,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,3859,23155,0,0,,,component:0.12,piercing:249,experience:7000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield20|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,10,,,8010,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_21,21,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1100,518400,,15,117442,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,4533,27197,0,0,,,component:0.12,piercing:249,experience:9143,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield21|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,11,,,11040,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_22,22,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:219599,604800,,15,137949,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,5324,31943,0,0,,,component:0.12,piercing:249,experience:12000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield22|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,13,,,15249,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_23,23,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1200,691200,,15,162037,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,6253,37519,0,0,,,component:0.12,piercing:249,experience:16000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield23|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,14,,,21006,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_24,24,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:269232,864000,,15,190332,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,7345,44068,0,0,,,component:0.12,piercing:249,experience:17600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield24|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,16,,,29013,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_25,25,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1300,864000,,15,223569,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,8627,51762,0,0,,,component:0.12,piercing:249,experience:19200,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield25|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,17,,,40020,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_26,26,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:340800,936000,,15,277082,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,10691,64146,0,0,,,component:0.12,piercing:249,experience:20800,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield26|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,19,,,61440,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_27,27,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1400,1080000,,15,343405,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,13249,79496,0,0,,,component:0.12,piercing:249,experience:24000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield27|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,20,,,94384,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_28,28,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:422592,1152000,,15,401654,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,15496,92979,0,0,,,component:0.12,piercing:249,experience:25600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield28|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,20,,,129168,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_29,29,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1500,1224000,,15,443347,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,17105,102628,0,0,,,component:0.12,piercing:249,experience:27200,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield29|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,20,,,157320,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_30,30,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:504384,1224000,,15,489370,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,18880,113279,0,0,,,component:0.12,piercing:249,experience:30400,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield30|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,20,,,191680,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_31,31,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1600,1370990,,15,540170,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,20839,125035,0,0,,,component:0.12,piercing:249,experience:32000,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield31|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,20,,,233604,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_32,32,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:586176,1468800,,15,596246,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,23002,138011,0,0,,,component:0.12,piercing:249,experience:33600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield32|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,21,,,284592,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_33,33,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1700,1566720,,15,658141,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,25389,152337,0,0,,,component:0.12,piercing:249,experience:33600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield33|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,21,,,346748,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_34,34,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:667968,1664640,,15,726462,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,28025,168148,0,0,,,component:0.12,piercing:249,experience:33600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield34|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,22,,,422496,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_35,35,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,iceShard:1800,1762560,,15,801875,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,30933,185599,0,0,,,component:0.12,piercing:249,experience:33600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield35|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,22,,,514700,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_36,36,0,bld_attackShip_iceTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:749760,1762560,,15,885119,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,34144,204864,0,0,,,component:0.12,piercing:249,experience:33600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield35|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,23,,,627120,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
