identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,battleBuildingRewardDistributionIdentifier,h
TripleTowersUpgrades_18,18,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level52,36387,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_19,19,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level55,42742,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_20,20,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level58,50205,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_21,21,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level61,58972,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_22,22,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level64,69270,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_23,23,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level67,81366,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_24,24,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level70,95575,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_25,25,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level73,102923,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_26,26,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level76,110836,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_27,27,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level79,119358,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_28,28,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level82,128535,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_29,29,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level85,138418,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_30,30,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level88,149061,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_31,31,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level91,160522,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_32,32,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level94,172864,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_33,33,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level97,186155,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_34,34,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level100,200468,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
TripleTowersUpgrades_35,35,1,prop_monument_volcanoBuilding.lvl,,piercing:0,0,level103,215883,,,,0~20~60,,,,,,,prop_monument_volcanoBuilding_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,!@#elaffbjmbeddjbap
