identifier,text,h
buildingDescription_builder,"Houses your builders.
Upgrade to increase the level that your builders can upgrade to.",
buildingDescription_storage,"Stores resources.
Upgrade to increase storage limit.",
buildingDescription_research,Research improvements to your dragons and base.,
buildingDescription_archerTowerTutorial,"Defensive Power: Light Arrow
Supershot: Flaming Arrow
Special Attributes: Flaming Arrow deals high damage",
buildingDescription_cannonTowerTutorial,"Defensive Power: Cannonball
Supershot: Flaming Cannonball
Special Attributes: Flaming Cannonballs break all Shield spells",
buildingDescription_lightningTowerTutorial,"Defensive Power: Electricity
Supershot: Superpowered Lightning
Special Attributes: Nearby Lightning Towers increase damage",
buildingDescription_breedingGround,"Where dragon eggs are bred.
Looked over by the Dragon Keepers, an ancient order of monks dedicated to the training, breeding, and healing of dragons.",
buildingDescription_forge,"Make boosts that help your dragons, defenses, builders, and trainers.",
shineDescription_waterGod,"The Shrine has the ability to summon the Water Dragon.
If you or your guild members pay homage to the Water Dragon by successfully actively shooting down %d dragons in his name, he will fight for you.",
dragonSummonedDescription_waterGod,The Shrine has already summoned the Water Dragon. You may use it for %d attacks.,
dragonSummonedDialogText_waterGod,The Shrine has summoned the Water Dragon to your army. He can be used for %d attacks.,
buildingDescription_shrine,Summons the Water Dragon in return for strong defense.,
buildingDescription_rubymine,Where rubies are mined.,
buildingDescription_runeBuilding,Where runes are discovered.,
buildingDescription_statues,Watches over your kingdom and dragons.,
buildingDescription_lighthouse,"A beacon to visiting guild members, and a warning to foes.",
buildingDescription_waterGate,Watches over your kingdom and dragons.,
buildingDescription_library,Serves as a monument to knowledge and research.,
buildingDescription_temple,Serves as a meeting place for civilian farmers and laborers.,
buildingDescription_mountDragon,A sacred lookout where only dragons may go.,
buildingDescription_tripleTowers,Provides a strategic vantage point for sighting enemy attackers.,
buildingUpgradeDescription_hogFarm,Upgrade Sheep Farm to increase your meat production.,
buildingDescription_totem,Reduces damage from dragons of this element,
buildingUpgradeDescription_woodFarm,Upgrade Lumber Mill to increase your lumber production.,
buildingUpgradeDescription_incubator,Upgrade Incubator to incubate more advanced eggs.,
buildingUpgradeDescription_breedingGround,Upgrade Breeding Castle to crossbreed more advanced dragons.,
buildingUpgradeDescription_stable,Upgrade Stable to train dragons to a higher level.,
buildingUpgradeDescription_builder,Upgrade Builder Hut to unlock more powerful buildings!,
buildingUpgradeDescription_storage,Upgrade Storage Hut to increase the amount of total resources you can hold.,
buildingUpgradeDescription_research,Upgrade Hall of Research to gain access to the next tier of research.,
buildingUpgradeDescription_forge,Upgrade the Forge to be able to create more powerful boosts.,
spell_AoeSpell_spellName,Fireball,
spell_AoeSpell_spellDescription,Deals damage to all buildings in the affected area,
spell_BattlecrySpell_spellName,Battle Cry,
spell_BattlecrySpell_spellDescription,Increase the damage of this and the next dragon to attack,
spell_BerserkSpell_spellName,Berserk,
spell_BerserkSpell_spellDescription,Lose health. Increased attack & rage generation. Destroying towers grants health.,
spell_CelestialDanceSpell_spellName,Celestial Dance,
spell_CelestialDanceSpell_spellDescription,Alters the nature of your other spells to heal or generate rage,
spell_ChainLightningSpell_spellName,Chain Lightning,
spell_ChainLightningSpell_spellDescription,Strikes buildings with lightning that chains randomly,
spell_ChainLightningSpell_Super_spellName,Supercharged Lightning,
spell_ChainLightningSpell_Super_spellDescription,Strikes buildings with super destructive lightning that chains randomly,
spell_ChargedShieldSpell_spellName,Explosive Shield,
spell_ChargedShieldSpell_spellDescription,Absorbs damage until depleted then explodes damaging buildings,
spell_ChargedShieldSpell_Super_spellName,Shield of Annihilation,
spell_ChargedShieldSpell_Super_spellDescription,Absorbs huge damage then explodes massively damaging buildings,
spell_CloakSpell_spellName,Cloak,
spell_CloakSpell_spellDescription,Dragon becomes invisible and cannot be targeted until it attacks,
spell_CrystallineShieldSpell_spellName,Crystalline Shield,
spell_CrystallineShieldSpell_spellDescription,Several shards of ice protect you,
spell_CosmicEnergySpell_spellName,Cosmic Energy,
spell_CosmicEnergySpell_spellDescription,"When Celestial Dance is used, removes all debuffs if HP is higher than 50%",
spell_ConsumeSpell_spellName,Consume,
spell_ConsumeSpell_spellDescription,Consumes all Hunter ammo then heals based on Hunter ammo spent.,
spell_CurePoisonSpell_spellName,Cure Poison,
spell_CurePoisonSpell_spellDescription,Removes poison,
spell_DaybreakSpell_spellName,Daybreak,
spell_DaybreakSpell_spellDescription,Absorb solar energy from destroyed buildings,
spell_DevourHopeSpell_spellName,Devour Hope,
spell_DevourHopeSpell_spellDescription,Receive healing from Gloom Clouds,
spell_DissipateSpell_spellName,Dissipate,
spell_DissipateSpell_spellDescription,Cloaks dragon and deals area damage.,
spell_DodgeSpell_spellName,Evasion,
spell_DodgeSpell_spellDescription,Dragon moves quickly over buildings with a chance to dodge attacks,
spell_DreadfulRoarSpell_spellName,Dreadful Roar,
spell_DreadfulRoarSpell_spellDescription,Inflict nearby buildings with Gloom Clouds and increase their damage taken,
spell_EnergySyphonSpell_spellName,Vampiric Touch,
spell_EnergySyphonSpell_spellDescription,When active gain health and rage on building destruction,
spell_FerociousBarrierSpell_spellName,Ferocious Shield,
spell_FerociousBarrierSpell_spellDescription,Absorbs damage then temporarily increases attack power after shield duration,
spell_FlashFreezeSpell_spellName,Flash Freeze,
spell_FlashFreezeSpell_spellDescription,Damages and freezes all towers within range. Towers take additional damage after being frozen.,
spell_FreezeAttackSpell_spellName,Freeze,
spell_FreezeAttackSpell_spellDescription,Freezes all buildings in the affected area,
spell_FrenzySpell_spellName,Havoc,
spell_FrenzySpell_spellDescription,Dragon deals greatly increased damage with its attacks,
spell_FrostbiteSpell_spellName,Frostbite,
spell_FrostbiteSpell_spellDescription,Fireball attacks embed Icy Shards in buildings that increase damage inflicted.,
spell_FrozenTombSpell_spellName,Frozen Tomb,
spell_FrozenTombSpell_spellDescription,Freezes towers and gain shield based on the number of hit towers.,
spell_GloomAndDoomSpell_spellName,Doom Chains,
spell_GloomAndDoomSpell_spellDescription,Buildings hit by Doom Chains are shackled and unable to attack,
spell_GravitySpell_spellName,Gravity Stun,
spell_GravitySpell_spellDescription,Deflect trebuchet balls to stun neighboring towers,
spell_HealDragonSpell_spellName,Rejuvenate,
spell_HealDragonSpell_spellDescription,Restores health over time,
spell_HealingMarkSpell_spellName,Healing Mark,
spell_HealingMarkSpell_spellDescription,Places a mark on a building that heals the Dragon that destroys it,
spell_HeatBlastShieldSpell_spellName,Heat Shield,
spell_HeatBlastShieldSpell_spellDescription,Reduce incoming damage and restore some health,
spell_FireShieldSpell_spellName,Fire Shield,
spell_FireShieldSpell_spellDescription,Reduce incoming damage 60% and heal for 10%,
spell_HeatedPiercingBreathSpell_spellName,Heated Breath,
spell_HeatedPiercingBreathSpell_spellDescription,Increase your flamethrower's damage for a short time,
spell_HoverSpell_spellName,Hover,
spell_HoverSpell_spellDescription,Hover,
spell_HurricaneSpell_spellName,Wind Wall,
spell_HurricaneSpell_spellDescription,Deflects incoming projectiles,
spell_IncreaseRageGenerationSpell_spellName,More Rage,
spell_IncreaseRageGenerationSpell_spellDescription,Rage regenerates at faster rate,
spell_InstantKillSpell_spellName,Death Gaze,
spell_InstantKillSpell_spellDescription,Dragon's next attack deals enough damage to destroy most buildings instantly,
spell_IntimidatingRoarSpell_spellName,Intimidating Roar,
spell_IntimidatingRoarSpell_spellDescription,Deals damage to buildings nearby and reduces their damage for entire fight,
spell_InvertSpell_spellName,Reverse Projectiles,
spell_InvertSpell_spellDescription,Reflects incoming projectiles back onto the attackers,
spell_InvincibleSpell_spellName,Invincibility Shield,
spell_InvincibleSpell_spellDescription,Dragon becomes invincible briefly,
spell_IsolationSpell_spellName,Isolation,
spell_IsolationSpell_spellDescription,Briefly weaken chosen tower and greatly weaken nearby towers.,
spell_KamikazeSpell_spellName,Self Destruct,
spell_KamikazeSpell_spellDescription,Dragon self destructs and deals tremendous damage to every tower in the area,
spell_LockdownSpell_spellName,Lockdown,
spell_LockdownSpell_spellDescription,Disables a building until the next time it takes damage,
spell_EntrapSpell_spellName,Entrap,
spell_EntrapSpell_spellDescription,"Disables a building for a short duration, or until it takes damage",
spell_MaleficBreathSpell_spellName,Malefic Breath,
spell_MaleficBreathSpell_spellDescription,Attack inflicts poisonous Gloom Clouds on damaged buildings,
spell_NightfallSpell_spellName,Nightfall,
spell_NightfallSpell_spellDescription,Empower your other spells!,
spell_NocturnalFissureSpell_spellName,Nocturnal Fissure,
spell_NocturnalFissureSpell_spellDescription,Opens a vortex that absorbs all damage from projectiles,
spell_NorthernLightsSpell_spellName,Northern Lights,
spell_NorthernLightsSpell_spellDescription,Invincible shield that creates Heal Marks or Rage Marks when destroyed.,
spell_NorthernLightsLightSpell_spellName,Northern Lights (Light),
spell_NorthernLightsLightSpell_spellDescription,Invincible shield that creates Heal Marks when destroyed,
spell_NovaSpell_spellName,Nova,
spell_NovaSpell_spellDescription,"Deals area damage. Gain invincibility, health and rage. Used once only.",
spell_RadianceSpell_spellName,Radiance,
spell_RadianceSpell_spellDescription,Unleash the fury of the sun to transform!,
spell_SacrificeSpell_spellName,Sacrifice,
spell_SacrificeSpell_spellDescription,Dragon takes damage and gains rage immediately,
spell_SeethingSparkSpell_spellName,Seething Spark,
spell_SeethingSparkSpell_spellDescription,Increases attack damage.  Recast to shock and stun nearby towers.,
spell_ShadowApophetSpell_spellName,Apophet's Shadow,
spell_ShadowApophetSpell_spellDescription,Passive Shadow,
spell_ShadowStrikeSpell_spellName,Shadow Strike,
spell_ShadowStrikeSpell_spellDescription,"Dragon cloaks and recovers Hunter ammo. After cloak duration, damages nearby towers and gains damage boost.",
spell_ShattershardSpell_spellName,Shattershard,
spell_ShattershardSpell_spellDescription,Shatter any frozen buildings to deal damage and regenerate Hunter ammo.,
spell_ShortCircuitSpell_spellName,Elemental Mayhem,
spell_ShortCircuitSpell_spellDescription,"Causes Storm towers, Lightning towers, Fire/Ice turrets to attack each other.",
spell_SouthernCrossSpell_spellName,Southern Cross,
spell_SouthernCrossSpell_spellDescription,Deals damage to buildings and restore Health or Rage,
spell_SouthernCrossDarkSpell_spellName,Southern Cross (Dark),
spell_SouthernCrossDarkSpell_spellDescription,Deals damage to buildings and restore Rage.,
spell_SouthernCrossLightSpell_spellName,Southern Cross (Light),
spell_SouthernCrossLightSpell_spellDescription,Deals damage to buildings and restore Health.,
spell_SpeedBoostSpell_spellName,Speed Up,
spell_SpeedBoostSpell_spellDescription,Speed Up,
spell_StarburnSpell_spellName,Starburn,
spell_StarburnSpell_spellDescription,"At low dragon HP, attacks embed fire that increase damage inflicted.",
spell_StealEssenceSpell_spellName,Steal Essence,
spell_StealEssenceSpell_spellDescription,Gain rage and a spell from the last tower your dragon destroyed.,
spell_StoneskinSpell_spellName,Stoneskin Shield,
spell_StoneskinSpell_spellDescription,Greatly reduces damage taken,
spell_SummonAIBattleDragonSpell_spellName,Summon Warrior,
spell_SummonAIBattleDragonSpell_spellDescription,Summons a spectral Warrior Dragon to fight for you,
spell_SuperFreezeSpell_spellName,Super Freeze,
spell_SuperFreezeSpell_spellDescription,Freezes buildings in a large area AND penetrates Red Mage Towers!,
spell_TeleportSpell_spellName,Teleport,
spell_TeleportSpell_spellDescription,Dragon teleports past an entire island,
spell_ThunderstormSpell_spellName,Thunderstorm,
spell_ThunderstormSpell_spellDescription,Summons a cloud that brings down lightning bolts which does damage over time,
spell_UmbralSpikeSpell_spellName,Umbral Spike,
spell_UmbralSpikeSpell_spellDescription,Sends a spike of dark energy at a targeted building,
spell_UndyingWillSpell_spellName,Undying Will,
spell_UndyingWillSpell_spellDescription,After death dragon can keep attacking with increased damage and Hunter ammo regeneration.,
spell_ResistAbility_archerResist01_spellName,Archer Resist,
spell_ResistAbility_archerResist01_spellDescription,Provides resistance to Archer Towers.,
spell_ResistAbility_cannonResist01_spellName,Cannon Resist,
spell_ResistAbility_cannonResist01_spellDescription,Provides resistance to Cannon Towers.,
spell_ResistAbility_stormResist01_spellName,Storm Resist,
spell_ResistAbility_stormResist01_spellDescription,Provides resistance to Storm Towers.,
spell_ResistAbility_ballistaResist01_spellName,Ballista Resist,
spell_ResistAbility_ballistaResist01_spellDescription,Provides resistance to Ballista Towers.,
spell_ResistAbility_trebuchetResist01_spellName,Trebuchet Resist,
spell_ResistAbility_trebuchetResist01_spellDescription,Provides resistance to Trebuchet Towers.,
spell_ResistAbility_lightningResist01_spellName,Lightning Resist,
spell_ResistAbility_lightningResist01_spellDescription,Provides resistance to Lightning Resist,
spell_ResistAbility_innerFire_spellName,Inner Fire,
spell_ResistAbility_innerFire_spellDescription,Increase Event Attack Points,
guildMsgAutoKicked,{USERNAME} was automatically kicked from the team for having inactive status for too many days.,
guildMsgMemberKicked,{USERNAME1} has been kicked out by {USERNAME2},
guildMsgQuitTeam,{USERNAME} has quit the team,
guildMsgNewGuild,{USERNAME} has been accepted into a new guild and is no longer a member of this team,
guildMsgInviteAccepted,{USERNAME} has accepted the invitation and is now a member of the team. Welcome your new teammate!,
guildMsgAutoAccepted,{USERNAME} has joined the team. Welcome your new teammate!,
guildMsgAccepted,{USERNAME1} has been accepted to the team by {USERNAME2}. Welcome your new teammate!,
guildMsgWarDeclaredOwn,{USERNAME} has declared war on {GUILDNAME}!,
guildMsgWarDeclaredTarget,{USERNAME} ({GUILDNAME}) has declared war on your team!,
guildMsgWarStartedOwn,The war your team started with {GUILDNAME} starts in {TIMEREMAINING} minutes!,
guildMsgWarStartedTarget,The war with {GUILDNAME} starts in {TIMEREMAINING} minutes!,
guildMsgWarWon,Your team has won the war against {GUILDNAME}!,
guildMsgWarLost,Your team has lost the war against {GUILDNAME}!,
guildMsgWarTied,Your team has tied the war against {GUILDNAME}!,
guildMsgFortressLockDownEnabled,{USERNAME} has put your fortress on lockdown! Enjoy the brief respite from war -- it will not come under siege this next round.,
guildMsgFortressLockDownEnded,Your fortress lockdown period has ended.,
guildMsgBestFortressGained,Your team overwhelmed the enemy and captured their fortress. You now own the BEST fortress!,
guildMsgLevelFortressGained,Your team overwhelmed the enemy and captured their fortress. You now own a level {FORTRESSLEVEL} fortress!,
guildMsgBestFortressInvaders,Your team held off the invaders and continues to control the BEST fortress!,
guildMsgCurrentFortressInvaders,Your team held off the invaders and will remain in your current fortress. Do better next round to win a better fortress.,
guildMsgFortressAssault,Your team's fortress assault was repelled. Regroup and try again!,
guildMsgFortressFallen,Your team's fortress has fallen to a stronger foe. Your fortress level is now {FORTRESSLEVEL}.,
guildMsgFortressLockDownPairing,Your team's fortress is on lockdown! Enjoy the respite -- no skirmish this round.,
guildMsgEnemySentryDefeated,{USERNAME} has defeated the enemy's Sentry!,
guildMsgEnemyFlagBearerDefeated,{USERNAME} has defeated the enemy's Flag Bearer!,
guildMsgEnemyWalrusDefeated,{USERNAME} has defeated the enemy's Walrus?!,
guildMsgYourSentryDefeated,{USERNAME} has defeated your Sentry!,
guildMsgYourFlagBearerDefeated,{USERNAME} has defeated your Flag Bearer!,
guildMsgYourWalrusDefeated,{USERNAME} has defeated your Walrus?!,
guildMsgSkirmishDeclared,{USERNAME} has declared a Skirmish!  Your team will be matched at the top of the next hour!,
guildMsgSkirmishBegin,Your team's skirmish with {GUILDNAME} is about to begin!,
guildMsgSkirmishWon,Your team's skirmish with {GUILDNAME} has ended.  Your team won by a score of {SCORE1} to {SCORE2}. Your team wins {EXTRAPERCENT}% extra points ({EXTRAPOINTS}) for winning!,
guildMsgSkirmishLost,Your team's skirmish with {GUILDNAME} has ended.  Your team lost by a score of {SCORE1} to {SCORE2}.,
guildMsgSkirmishTied,Your team's skirmish with {GUILDNAME} has ended.  Your team tied by a score of {SCORE1} to {SCORE2}.,
guildMsgWarDeclaredMail,The war will begin in {HOURS} hours. The team that acquires more flames in battle shall win. Prepare your dragons and strengthen your defenses! Good Luck,
guildMsgWarStartedMailBody,Good luck!,
guildMsgWarCancelledMailSubject,The war your team started with {GUILDNAME} is cancelled.,
guildMsgWarCancelledMailBodyDeclarer,"All members of {GUILDNAME} left the team. Therefore, the war your team started with that team is cancelled.",
guildMsgWarCancelledMailBodyDefender,"All members of {GUILDNAME} left the team. Therefore, the war your team started with that team is cancelled. We refunded {MEDALS} medals back to your team.",
guildMsgWarTiedMail,Your team has TIED the war against {GUILDNAME}. Your score was {SCORE1} and their score was {SCORE2}.,
guildMsgWarWonMail,Your team has WON the war against {GUILDNAME}. Your score was {SCORE1} and their score was {SCORE2}. Your team has won {NUMTOKENS} gold egg tokens.,
guildMsgWarLostMail,Your team has LOST the war against {GUILDNAME}. Your score was {SCORE1} and their score was {SCORE2}. Your team has lost {NUMTOKENS} gold egg tokens.,
guildMsgEventRatingGainedBody,"Congratulations, your team's performance in the event earned it {POINTS} rating points! Your team ranked {MYRANK} in the event. This performance was on par with a team with {OPPONENTRATING} rating (which was ranked {OPPONENTRANK} in the overall team rating leaderboard when the event ended). Your team's rating has been adjusted to reflect its performance in this event. It is now {NEWRATING}.",
guildMsgEventRatingLostBody,"Unfortunately, your team's performance in the event cost it {POINTS} rating points! Your team ranked {MYRANK} in the event. This performance was on par with a team with {OPPONENTRATING} rating (which was ranked {OPPONENTRANK} in the overall team rating leaderboard when the event ended). Your team's rating has been adjusted to reflect its performance in this event. It is now {NEWRATING}.",
guildMsgEventRatingUnchangedBody,Your team's performance in the event did not affect its rating. Your team ranked {MYRANK} in the event. This performance was on par with a team with {OPPONENTRATING} rating (which was ranked {OPPONENTRANK} in the overall team rating leaderboard when the event ended). Your team's rating has been adjusted to reflect its performance in this event. It is now {NEWRATING}.,
guildMsgEventRatingMailSubject,Team Rating Updated!,
guildMsgSkirmishNoOpponentSubject,Skirmish opponent could not be found,
guildMsgSkirmishNoOpponentBody,Your team was the odd one out. Next hour perhaps.,
guildMsgRebalancerDemotedSubject,Demoted to {NEWLEAGUE},
guildMsgRebalancerDemotedBody,"Your team has been demoted to {NEWLEAGUE}! You will now get {NUMTOKENS} tokens per day and easier enemies. To reach {NEXTLEAGUE}, you need {RATING} rating.",
guildMsgRebalancerPromotedSubject,Promoted to {NEWLEAGUE},
guildMsgRebalancerPromotedBody,Congratulations! Your team has been promoted to {NEWLEAGUE}! You will now get {NUMTOKENS} tokens per day and harder enemies.,
guildMsgRebalancerPromotedBodyNextLeague,"Congratulations! Your team has been promoted to {NEWLEAGUE}! You will now get {NUMTOKENS} tokens per day and harder enemies. To reach {NEXTLEAGUE}, you need {RATING} rating.",
guildMsgGiftFoodPiercingTransferring,{USERNAME1} is transferring {LUMBER} lumber and {FOOD} food to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftGoldPiercingTransferring,{USERNAME1} is transferring {LUMBER} lumber and {GOLD} gold to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftGoldFoodTransferring,{USERNAME1} is transferring {FOOD} food and {GOLD} gold to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftFoodPiercingGoldTransferring,{USERNAME1} is transferring {FOOD} food {LUMBER} lumber and {GOLD} gold to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftPiercingTransferring,{USERNAME1} is transferring {LUMBER} lumber to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftGoldTransferring,{USERNAME1} is transferring {GOLD} gold to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftFoodTransferring,{USERNAME1} is transferring {FOOD} food to {USERNAME2}. Transfer will be done in {MINUTES} minutes and {SECONDS} seconds.,
guildMsgGiftFoodPiercingTransferred,{USERNAME1} transferred {LUMBER} lumber and {FOOD} food to {USERNAME2}.,
guildMsgGiftGoldPiercingTransferred,{USERNAME1} transferred {LUMBER} lumber and {GOLD} GOLD to {USERNAME2}.,
guildMsgGiftGoldFoodTransferred,{USERNAME1} transferred {GOLD} gold and {FOOD} food to {USERNAME2}.,
guildMsgGiftFoodPiercingGoldTransferred,{USERNAME1} transferred {LUMBER} lumber {GOLD} gold and {FOOD} food to {USERNAME2}.,
guildMsgGiftPiercingTransferred,{USERNAME1} transferred {LUMBER} lumber to {USERNAME2}.,
guildMsgGiftFoodTransferred,{USERNAME1} transferred {FOOD} food to {USERNAME2}.,
guildMsgGiftGoldTransferred,{USERNAME1} transferred {GOLD} gold to {USERNAME2}.,
leagueChatWarDeclared,{USERNAME} from {GUILDNAME1} has declared war on {GUILDNAME2}. It begins in {HOURS} hours.,
leagueChatWarTied,{GUILDNAME1} has tied the war against {GUILDNAME2}.,
leagueChatWarWonNoChange,{GUILDNAME1} has won the war against {GUILDNAME2}.,
leagueChatWarWonDeclarer,{GUILDNAME1} has won the war against {GUILDNAME2}. {GUILDNAME1} jumped from {OLDRANK} to {NEWRANK} in the division and stole {TOKENSWON} breeding tokens.,
leagueChatWarWonDefender,{GUILDNAME1} has won the war against {GUILDNAME2}. {GUILDNAME1} jumped from {OLDRANK} to {NEWRANK} in the division.,
guildMsgSkirmishBegin1Sided,{GUILDNAME} is attacking your fortress!,
groupMsgDisinvited,{USERNAME} has been disinvited from the group,
groupMsgKicked,{USERNAME} has been kicked from the group,
groupMsgJoined,{USERNAME} has joined the group,
groupMsgDeclined,{USERNAME} has declined to join the group,
groupMsgLeft,{USERNAME} has left the group,
teamAttackMessage,{ATTACKER} has defeated {DEFENDER} assisted by {ASSISTERS}.,
teamAttackMessageWar,[WAR] {ATTACKER} has defeated {DEFENDER} assisted by {ASSISTERS}.,
foodPackDescription,{AMOUNT} Food Pack,
woodPackDescription,{AMOUNT} Lumber Pack,
buildingDescription_iceTurret,Slows dragon's Hunter ammo regeneration and shields other towers!,
spell_FluxSpell_spellName,Spell Flux,
spell_FluxSpell_spellDescription,Overloads and explodes one nearby tower!,
spell_GalvanicOverloadSpell_spellName,Galvanic Overload,
spell_GalvanicOverloadSpell_spellDescription,High Damage to One Tower.  Recast to regain rage at cost of health.,
spell_RisingPhoenixSpell_spellName,Rising Phoenix,
spell_RisingPhoenixSpell_spellDescription,"If dragon dies during duration, explodes back to life!",
spell_ResurrectionSpell_spellName,Resurrection,
spell_ResurrectionSpell_spellDescription,"If dragon dies during duration, explodes back to life!",
worldShieldDisabled,{NAME} toggled the Castle Shield OFF at castle {CASTLENAME} (X:{X} Y:{Y}). Cooldown expires in {HOURS} hours and {MINUTES} minutes.,
worldShieldDisabledNoCooldown,{NAME} toggled the Castle Shield OFF at castle {CASTLENAME} (X:{X} Y:{Y}).,
worldShieldsDestroyed,{WINNER} has destroyed {LOSER}'s shields at {COORDS}.,
worldLostContinent,{ENEMY} has conquered castle {NAME} and evicted your team,
worldWonContinent,Your team has conquered castle {NAME} and evicted {ENEMY}.,
worldContinentCTA,{NAME} has requested your combat support at {PT}. {CUSTOM},
worldContinentunCTA,{NAME} no longer requires your combat support at {PT}. {CUSTOM},
spell_ReverseSpell_spellName,Invert,
spell_ReverseSpell_spellDescription,Reflects incoming projectiles for short duration,
spell_DivineSpell_spellName,Divine Fireball,
spell_DivineSpell_spellDescription,Deals damage to buildings in an area,
buildingDescription_fireTurret,Super Shot Burns and Increases All Damage Dealt to Dragon!,
xpPotionDescription,{AMOUNT} XP Potion,
productionBoostEmptyText,Get the boosts first!,
spell_ResistAbility_iceTurretResist01_spellName,Ice Turret Resist,
spell_ResistAbility_iceTurretResist01_spellDescription,Provides resistance to Ice Turrets.,
spell_ResistAbility_fireTurretResist01_spellName,Fire Turret Resist,
spell_ResistAbility_fireTurretResist01_spellDescription,Provides resistance to Fire Turrets.,
buildingDescription_salvageDepot,"The Bounty Harbor provides a bonus reward each day you check-in, with better rewards for longer streaks!",
iappages_atlas_season_award_title,Atlas Season Prize,
iappages_event_title,Event Prize,
iappages_ref_title,Referral Prize,
iappages_ref_subtitle,Thank you!,
iappages_packgift_subtitle,A bonus from a teammate!,
iappages_pxgift_subtitle,A gift from us!,
iappages_mysterypack_subtitle,Mystery pack awaits!,
iappages_iapgift_subtitle,Player sent a gift!,
iappages_iapgift_title,Personal Gift Received!,
iappages_iapgift_gift_tip,"TIP: To gift to a player not on your team, visit their player profile page and hit the gift button!",
spell_DesiccatingSandSpell_spellName,Desiccating Sand,
spell_DesiccatingSandSpell_spellDescription,Engulf an enemy tower in constricting sand,
spell_CrumbleToDustSpell_spellName,Crumble to Dust,
spell_CrumbleToDustSpell_spellDescription,Weaken an entire island,
spell_EnfeebleSpell_spellName,Enfeeble,
spell_EnfeebleSpell_spellDescription,Weakens towers and second cast destroys affected towers,
spell_BorrowTimeSpell_spellName,Borrowed Time,
spell_BorrowTimeSpell_spellDescription,"Grants Temporal Shards, used to cast Rewind or stay alive for several seconds after death.",
spell_TimeShiftSpell_spellName,Time Shift,
spell_TimeShiftSpell_spellDescription,Become invulnerable. Can cast spells and activate Rewind to return to original location.,
spell_SummonShadowApophet_spellName,Apophet's Shadow,
spell_SummonShadowApophet_spellDescription,Summons Apophet's Shadow to fight and return some of the damage dealt to Apophet as health healed.,
spell_Nightfall_spellName,Nightfall,
spell_Nightfall_spellDescription,Increases Rage Generation rate and empowers next ability.,
spell_IceShockSpell_spellName,Ice Shock,
spell_IceShockSpell_spellDescription,Freezes and damages buildings in the affected area,
buildingDescription_dragonPerch,Clear the entire island of forests to enable this dragon perch. Once your dragon perch is built you can station your dragons on it to help you defend your base.,
gachaMenu_title,CHOOSE TREASURE CHESTS!,
