identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,damageReductionPercentage,h
EarthTotemUpgrades_24,24,0,bld_attackShip_brazier_earth.lvl,,piercing:269232,864000,,190332,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,12,
EarthTotemUpgrades_25,25,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1300,864000,,223569,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,13,
EarthTotemUpgrades_26,26,0,bld_attackShip_brazier_earth.lvl,,piercing:340800,936000,,277082,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,13,
EarthTotemUpgrades_27,27,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1400,1080000,,343405,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,14,
EarthTotemUpgrades_28,28,0,bld_attackShip_brazier_earth.lvl,,piercing:422592,1152000,,401654,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,14,
EarthTotemUpgrades_29,29,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1500,1224000,,443347,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,15,
EarthTotemUpgrades_30,30,0,bld_attackShip_brazier_earth.lvl,,piercing:504384,1224000,,489370,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,15,
EarthTotemUpgrades_31,31,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1600,1370990,,540170,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,16,
EarthTotemUpgrades_32,32,0,bld_attackShip_brazier_earth.lvl,,piercing:586176,1468800,,596246,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,16,
EarthTotemUpgrades_33,33,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1700,1566720,,658141,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,17,
EarthTotemUpgrades_34,34,0,bld_attackShip_brazier_earth.lvl,,piercing:667968,1664640,,726462,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,17,
EarthTotemUpgrades_35,35,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1800,1762560,,801875,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_36,36,0,bld_attackShip_brazier_earth.lvl,,piercing:668068,2177280,,885119,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_37,37,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1900,2177280,,977004,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_38,38,0,bld_attackShip_brazier_earth.lvl,,piercing:668168,2177280,,1078427,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_39,39,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:2000,2177280,,1190380,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_40,40,0,bld_attackShip_brazier_earth.lvl,,piercing:668268,2177280,,1313954,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_41,41,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:2100,2290604,,1450357,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_42,42,0,bld_attackShip_brazier_earth.lvl,,piercing:668368,2743903,,1600920,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_43,43,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:2200,3197201,,1767114,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_44,44,0,bld_attackShip_brazier_earth.lvl,,piercing:668468,3650500,,1950560,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_45,45,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:2300,4103799,,2153050,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,18,
EarthTotemUpgrades_46,46,0,bld_attackShip_brazier_earth.lvl,,piercing:1158720,4177339,,2376560,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,19,
EarthTotemUpgrades_47,47,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:2400,4314507,,2623276,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,19,
EarthTotemUpgrades_48,48,0,bld_attackShip_brazier_earth.lvl,,piercing:1240512,4553079,,2895603,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,19,
EarthTotemUpgrades_49,49,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:2500,4602106,,3196202,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,19,
EarthTotemUpgrades_50,50,0,bld_attackShip_brazier_earth.lvl,,piercing:1322304,4777719,,3528005,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,19,!@#ikdphcpglpidfmjg
