identifier,inBundle,zip_files,h
ptl_elementalFlakWindAbsorbEnergy.part,0,defaultParticle.png|fx_flash_01.png|fx_spiral_02.png|ptl_elementalFlakWindAbsorbEnergy.part,
prj_drg_wintersBite.part,0,defaultParticle.png|fx_debris_Cloud_01.png|fx_smoke2x2.png|prj_drg_wintersBite_LOD00.part|prj_drg_wintersBite_LOD01.part|prj_drg_wintersBite_LOD02.part,
stone_flame_slowtower.part,0,fx_fire04_Ssu.png|fx_smoke2x2.png|stone_flame_slowtower_LOD00.part|stone_flame_slowtower_LOD01.part,
ptl_whelp_whisp_05.part,0,fx_flareLens2x2_rgb_Ssu.png|ptl_whelp_whisp_05.part,
ptl_drg_soul_devour_01.part,0,defaultParticle.png|fx_flare.png|fx_smoke_wispy_2x2.png|ptl_drg_soul_devour_01.part,
mythic_doomChain_dirt.part,0,defaultParticle.png|fx_DustDebris02_Ssu_rgb.png|fx_imp_cracks.png|mythic_doomChain_dirt.part,
spl_mindControl_buildup.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_spiral_01.png|fx_spiral_02.png|spl_mindControl_buildup_LOD00.part|spl_mindControl_buildup_LOD01.part|spl_mindControl_buildup_LOD02.part,
prj_drg_devour.part,0,fx_Smoke04_gry_Ssu.png|fx_flrstr01_Ssu_grey.png|poisonWisp_dif.png|prj_drg_devour_LOD00.part|prj_drg_devour_LOD01.part|prj_drg_devour_LOD02.part,
ptl_onHit_iceTurret_SuperAOE.part,0,defaultParticle.png|fx_flareLens2x2_rgb_Ssu.png|fx_snowflakes_01.png|poisonWisp_dif.png|ptl_onHit_iceTurret_SuperAOE.part|ptl_onHit_iceTurret_SuperAOE_LOD01.part|ptl_onHit_iceTurret_SuperAOE_LOD02.part,
spl_scarletFever_stun.part,0,fx_beam_gost.png|fx_light_ray_03.png|spiral.pod|spl_scarletFever_stun_LOD00.part|spl_scarletFever_stun_LOD01.part|spl_scarletFever_stun_LOD02.part,
ptl_drg_timeShiftShadow.part,0,fx_clockParts_3x3.png|fx_clock_face.png|fx_clock_hand.png|fx_flare.png|ptl_drg_timeShiftShadow.part|ptl_drg_timeShiftShadow_LOD00.part|ptl_drg_timeShiftShadow_LOD01.part|ptl_drg_timeShiftShadow_LOD02.part,
imp_drg_japanBlossom_hit.part,0,fx_cherryBlossom_2x2_Aar.png|fx_dust2x2.png|fx_flare.png|imp_drg_japanBlossom_hit_LOD00.part|imp_drg_japanBlossom_hit_LOD01.part|imp_drg_japanBlossom_hit_LOD02.part,
ptl_staticBlast_spell_impact_02.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_flrstr01_Ssu_grey.png|fx_lightBeam01_gry_Ssu.png|fx_lightning04_Ssu_rgb.png|fx_ring_01.png|fx_rock01_Ssu_gry.png|fx_water_drops.png|ptl_airBreath_litBluePuff_dif.png|ptl_staticBlast_spell_impact_02.part|ptl_staticBlast_spell_impact_02_LOD00.part|ptl_staticBlast_spell_impact_02_LOD01.part|ptl_staticBlast_spell_impact_02_LOD02.part,
ptl_divineStorm_shockedBase.part,0,fx_elect_01.png|fx_elect_blue_2x2.png|fx_flrstr01_Ssu_grey.png|fx_lightBeam01_gry_Ssu.png|fx_ring_01.png|ptl_divineStorm_shockedBase_LOD00.part,
ptl_drg_shield_01.part,0,fx_ring_13.png|ptl_drg_shield_01.part|ptl_drg_shield_01_LOD01.part,
imp_drg_mindControl_miss.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_flare_03.png|fx_spiral_02.png|imp_drg_mindControl_miss_LOD00.part|imp_drg_mindControl_miss_LOD01.part|imp_drg_mindControl_miss_LOD02.part,
imp_drg_furnaceSorcerer_hit.part,0,fx_fire01_Ssu.png|fx_flare_rays.png|fx_flrstr01_Ssu_grey.png|fx_smoke2x2.png|imp_drg_furnaceSorcerer_hit_LOD00.part|imp_drg_furnaceSorcerer_hit_LOD01.part|imp_drg_furnaceSorcerer_hit_LOD02.part,
prj_drg_spearSalvo.part,0,fx_elect_blue_2x2.png|fx_lightBeam_tapered.png|prj_drg_spearSalvo_LOD00.part|prj_drg_spearSalvo_LOD01.part|prj_drg_spearSalvo_LOD02.part|ptl_narrowParticle_dif.png,
imp_drg_undead_wraith_hit.part,0,defaultParticle.png|fx_Smoke05_gry_Ssu.png|fx_flare_randRot_2x2.png|fx_smoke2x2.png|imp_drg_undead_wraith_hit_LOD00.part|imp_drg_undead_wraith_hit_LOD01.part|imp_drg_undead_wraith_hit_LOD02.part,
spl_harrowingBolt_initiate.part,0,fx_UI_health.png|fx_ring_01.png|spl_harrowingBolt_initiate_LOD00.part,
prj_drg_maskPlague_spectralForm.part,0,fx_Smoke05_gry_Ssu.png|fx_fire03_Ssu.png|fx_flrstr01_Ssu_grey.png|prj_drg_maskPlague_spectralForm_LOD00.part,
imp_drg_seaAngler_miss.part,0,fx_dust2x2.png|fx_flrstr01_Ssu_grey.png|fx_water_splash_2x2.png|imp_drg_seaAngler_miss_LOD00.part|imp_drg_seaAngler_miss_LOD01.part|imp_drg_seaAngler_miss_LOD02.part,
amb_env_level05_sun.part,0,amb_env_level05_sun.part|fx_flare.png,
prj_drg_cosmicGaze.part,0,fx_Shield_water.png|fx_flrstr01_Ssu_grey.png|fx_lightBeam01_gry_Ssu.png|prj_drg_cosmicGaze_LOD00.part|prj_drg_cosmicGaze_LOD01.part|prj_drg_cosmicGaze_LOD02.part,
imp_crestingWave_hit.part,0,fx_flare.png|fx_flrstr01_Ssu_grey.png|imp_crestingWave_hit_LOD00.part|ptl_narrowParticle_dif.png,
prj_BossOrb_intro.part,0,fx_flrstr01_Ssu_grey.png|fx_rock01_Ssu_gry.png|fx_smoke_wispy_2x2.png|prj_BossOrb_intro.part|prj_BossOrb_intro_LOD00.part|prj_BossOrb_intro_LOD01.part|prj_BossOrb_intro_LOD02.part,
ptl_heal_ring.part,0,defaultParticle.png|fx_ring_04.png|ptl_heal_ring.part|ptl_heal_ring_LOD01.part,
ptl_drg_swarm_flame_impact_01.part,0,fx_flrstr01_Ssu_grey.png|fx_wave_01.png|ptl_airBreath_litBluePuff_dif.png|ptl_drg_swarm_flame_impact_01.part,
amb_drg_groundFog.part,0,amb_drg_groundFog_LOD00.part|fx_smoke2x2.png|fx_smoke_wispy_2x2.png,
ptl_cripplingChill_spell_impact.part,0,defaultParticle.png|fx_fire04_Ssu.png|fx_ring_01.png|fx_snowflakes_01.png|fx_water_drops.png|ptl_airBreath_litBluePuff_dif.png|ptl_cripplingChill_spell_impact_LOD00.part,
imp_drg_seaGoddess_hit.part,0,fx_fire03_Ssu.png|fx_smoke2x2.png|imp_drg_seaGoddess_hit_LOD00.part|imp_drg_seaGoddess_hit_LOD01.part|imp_drg_seaGoddess_hit_LOD02.part,
ptl_drg_CelestialDance_Proj_Dark.part,0,fx_debris_Cloud_01.png|fx_fireBall_02.png|fx_smoke_directional.png|ptl_drg_CelestialDance_Proj_Dark.part|ptl_drg_CelestialDance_Proj_Dark_LOD00.part|ptl_drg_CelestialDance_Proj_Dark_LOD01.part|ptl_drg_CelestialDance_Proj_Dark_LOD02.part,
amb_chr_emberKnight_swordFire.part,0,amb_chr_emberKnight_swordFire.part|contrailCloud.png|fx_fire02_Ssu.png,
ptl_darkEnergy_fireball.part,0,fx_elect_04.png|fx_fire04_Ssu.png|fx_fireBall_01.png|fx_flare_multiple.png|ptl_darkEnergy_fireball.part|ptl_darkEnergy_fireball_LOD01.part|ptl_darkEnergy_fireball_LOD02.part,
Smoke_Destroyed_Level2_01.part,0,Smoke_Destroyed_Level2_01_LOD00.part|Smoke_Destroyed_Level2_01_LOD01.part|fx_smoke01_gry_Ssu.png,
amb_drg_celestialWarrior_tailGlows.part,0,amb_drg_celestialWarrior_tailGlows.part|fx_flareLens2x2_rgb_Ssu.png,
ptl_elementalFlakFireAbsorbEnergy.part,0,defaultParticle.png|fx_flash_01.png|fx_spiral_02.png|ptl_elementalFlakFireAbsorbEnergy.part,
spl_onslaught_end.part,0,fx_Smoke05_gry_Ssu.png|fx_flare.png|spl_onslaught_end_LOD00.part|spl_onslaught_end_LOD01.part|spl_onslaught_end_LOD02.part,
ptl_AlienBug_projectile.part,0,fx_fire04_Ssu.png|fx_splat_01.png|ptl_AlienBug_projectile.part|ptl_AlienBug_projectile_LOD01.part,
imp_drg_bat_hit.part,0,fx_fire03_Ssu.png|fx_smoke2x2.png|fx_water_drops.png|imp_drg_bat_hit_LOD00.part|imp_drg_bat_hit_LOD01.part|imp_drg_bat_hit_LOD02.part,
ptl_coldSnap_spell_impact.part,0,defaultParticle.png|fx_fire04_Ssu.png|fx_ring_01.png|fx_snowflakes_01.png|fx_water_drops.png|ptl_airBreath_litBluePuff_dif.png|ptl_coldSnap_spell_impact_LOD00.part,
spl_moonShroud_shield.part,0,fx_flrstr01_Ssu_grey.png|fx_light_ray_03.png|fx_moon.png|spl_moonShroud_shield.part|spl_moonShroud_shield_LOD00.part|spl_moonShroud_shield_LOD01.part|spl_moonShroud_shield_LOD02.part,
spl_elderSign_end.part,0,fx_clouds_tiled.png|fx_flrstr01_Ssu_grey.png|fx_ring_05.png|spl_elderSign_end_LOD00.part|spl_elderSign_end_LOD01.part|spl_elderSign_end_LOD02.part,
prj_drg_coldSnap.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_frost_01.png|fx_smoke01_gry_Ssu.png|fx_snowflakes_01.png|prj_drg_coldSnap_LOD00.part|prj_drg_coldSnap_LOD01.part|prj_drg_coldSnap_LOD02.part,
imp_drg_crestingWave_hit.part,0,fx_beam_gost.png|fx_flareLens2x2_rgb_Ssu.png|fx_flash_01.png|fx_shockwave_gry_Ssu.png|fx_waterSplash_round.png|fx_water_splash_2x2.png|imp_drg_crestingWave_hit_LOD00.part|imp_drg_crestingWave_hit_LOD01.part|imp_drg_crestingWave_hit_LOD02.part,
ptl_drg_radiance_flame_impact_01.part,0,fx_flash_01.png|ptl_drg_radiance_flame_impact_01.part|ptl_drg_radiance_flame_impact_01_LOD00.part|ptl_drg_radiance_flame_impact_01_LOD01.part|ptl_drg_radiance_flame_impact_01_LOD02.part,
prj_drg_staticBlast.part,0,fx_elect_blue_2x2.png|fx_flrstr01_Ssu_grey.png|fx_spark02_Ssu_RGB.png|prj_drg_staticBlast_LOD00.part|prj_drg_staticBlast_LOD01.part|prj_drg_staticBlast_LOD02.part,
amb_drg_seaGoddess_eyes.part,0,amb_drg_seaGoddess_eyes.part|fx_flrstr01_Ssu_grey.png,
flame_thrower01.part,1,flame_thrower01_LOD00.part|flame_thrower01_LOD01.part|fx_fireBall_01.png,
imp_crestingWave_miss.part,0,fx_flare.png|fx_flrstr01_Ssu_grey.png|imp_crestingWave_miss_LOD00.part|ptl_narrowParticle_dif.png,
uproot_01.part,0,defaultParticle.png|fx_roots_01.png|uproot_01.part,
spl_rapidCooling_shield.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_frost_02.png|fx_smoke_round.png|spl_rapidCooling_shield_LOD00.part|spl_rapidCooling_shield_LOD01.part|spl_rapidCooling_shield_LOD02.part,
imp_drg_feyWinter_hit.part,0,fx_Smoke05_gry_Ssu.png|fx_dust2x2.png|fx_fire02_Ssu.png|fx_flare.png|imp_drg_feyWinter_hit_LOD00.part|imp_drg_feyWinter_hit_LOD01.part|imp_drg_feyWinter_hit_LOD02.part,
VFX_eventIsland_emerge_splash_04.part,0,VFX_eventIsland_emerge_splash_04_LOD00.part|VFX_eventIsland_emerge_splash_04_LOD01.part|fx_smoke2x2.png|fx_waterSplash_round.png|fx_water_ripple_01.png|fx_water_splash_2x2.png|waterSplash_01.png,
ptl_earthFlakHPBoostSuper_initiate.part,0,fx_flare_03.png|fx_ring_03.png|fx_ring_14.png|fx_smoke2x2.png|fx_spiral_02.png|ptl_earthFlakHPBoostSuper_initiate.part,
uproot_hit_01.part,0,fx_DustDebris02_Ssu_rgb.png|fx_elect_04.png|fx_light_ray_01.png|fx_roots_01.png|fx_smoke01_gry_Ssu.png|fx_smoke_round.png|uproot_hit_01.part|uproot_hit_01_LOD00.part|uproot_hit_01_LOD01.part|uproot_hit_01_LOD02.part,
imp_smother.part,0,fx_dust2x2.png|fx_flrstr01_Ssu_grey.png|imp_smother_LOD00.part|imp_smother_LOD01.part|imp_smother_LOD02.part,
prj_drg_swampFire.part,0,fx_debris_Cloud_01.png|fx_fire01_Ssu.png|fx_smoke01_gry_Ssu.png|prj_drg_swampFire_LOD00.part|prj_drg_swampFire_LOD01.part|prj_drg_swampFire_LOD02.part,
amb_drg_gargoyle_fallingDebris.part,0,amb_drg_gargoyle_fallingDebris_LOD00.part|fx_rock01_Ssu_gry.png|fx_smoke01_gry_Ssu.png,
prj_flack_fire_flack.part,0,defaultParticle.png|fx_fire02_Ssu.png|fx_fire03_Ssu.png|prj_flack_fire_flack_LOD00.part|prj_flack_fire_flack_LOD01.part|prj_flack_fire_flack_LOD02.part,
imp_drg_starlight_hit.part,0,fx_fireBall_02.png|fx_smoke_wispy_2x2.png|imp_drg_starlight_hit_LOD00.part|ptl_airBreath_litBluePuff_dif.png,
imp_drg_obsidianHunter_miss.part,0,fx_smoke2x2_gry.png|fx_water_drops.png|imp_drg_obsidianHunter_miss_LOD00.part|imp_drg_obsidianHunter_miss_LOD01.part|imp_drg_obsidianHunter_miss_LOD02.part,
earthquake_hover_projectile.part,0,earthquake_hover_projectile.part|fx_debris_Cloud_01.png|fx_flash_01.png,
elemenalFlakFireExplosion.part,0,defaultParticle.png|elemenalFlakFireExplosion.part,
VFX_Amb_smoke_Chim.part,0,VFX_Amb_smoke_Chim_LOD00.part|VFX_Amb_smoke_Chim_LOD01.part|fx_smoke2x2.png,
spl_explosive_aegis_end.part,0,fx_clouds_tiled.png|fx_flrstr01_Ssu_grey.png|fx_ripple_line.png|spl_explosive_aegis_end_LOD00.part|spl_explosive_aegis_end_LOD01.part|spl_explosive_aegis_end_LOD02.part,
imp_inferno.part,0,fx_dust2x2.png|imp_inferno_LOD00.part|imp_inferno_LOD01.part|imp_inferno_LOD02.part|ptl_airBreath_bluePuff_dif.png,
UI_wm_summonDragon_blue.part,0,UI_wm_summonDragon_blue_LOD00.part|fx_UI_SummonCircle_01.png|fx_UI_SummonCircle_timer.png|fx_flrstr01_Ssu_grey.png|fx_light_ray_01.png|fx_smoke_wispy_2x2.png,
spl_ghostFireBlast.part,0,defaultParticle.png|fx_Smoke05_gry_Ssu.png|fx_ghost.png|spl_ghostFireBlast_LOD00.part|spl_ghostFireBlast_LOD01.part|spl_ghostFireBlast_LOD02.part,
prj_drg_dwarfTwitch.part,0,fx_Smoke05_gry_Ssu.png|fx_fire03_Ssu.png|prj_drg_dwarfTwitch_LOD00.part|prj_drg_dwarfTwitch_LOD01.part|prj_drg_dwarfTwitch_LOD02.part|ptl_airBreath_litBluePuff_dif.png,
spl_drg_wingGust.part,0,fx_beam_gost.png|fx_flare_randRot_2x2.png|fx_smoke2x2.png|spl_drg_wingGust_LOD00.part|spl_drg_wingGust_LOD01.part|spl_drg_wingGust_LOD02.part,
ptl_bld_fire_debris_01.part,1,defaultParticle.png|ptl_airBreath_litBluePuff_dif.png|ptl_bld_fire_debris_01.part|ptl_bld_fire_debris_01_LOD01.part,
mythic_doomChain.part,0,defaultParticle.png|fx_Chain_tile_glow.png|mythic_doomChain.part|mythic_doomChain_LOD00.part|mythic_doomChain_LOD01.part,
splash_01.part,0,Smoke_Thin_01.png|fx_flash_01.png|splash_01_LOD00.part,
ptl_drg_timeShiftStormBack.part,0,fx_clockParts_3x3.png|fx_clock_face.png|fx_clock_hand.png|fx_clock_spiral.png|fx_flare_rays.png|ptl_drg_timeShiftStormBack.part|ptl_drg_timeShiftStormBack_LOD00.part|ptl_drg_timeShiftStormBack_LOD01.part|ptl_drg_timeShiftStormBack_LOD02.part,
UI_wm_battleAftermath.part,0,UI_wm_battleAftermath_LOD00.part|fx_smoke2x2.png,
ptl_drg_inferno_heated_flame_impact_01.part,0,fx_dust2x2.png|ptl_airBreath_bluePuff_dif.png|ptl_drg_inferno_heated_flame_impact_01_LOD00.part,
imp_drg_owlSuper_hit.part,0,fx_debris_Cloud_01.png|fx_dust2x2.png|fx_flrstr01_Ssu_grey.png|imp_drg_owlSuper_hit_LOD00.part|imp_drg_owlSuper_hit_LOD01.part|imp_drg_owlSuper_hit_LOD02.part,
prj_drg_monsterSorcerer.part,0,fx_Smoke04_gry_Ssu.png|fx_fire01_Ssu.png|fx_fire03_Ssu.png|fx_smoke2x2_gry.png|prj_drg_monsterSorcerer_LOD00.part|prj_drg_monsterSorcerer_LOD01.part|prj_drg_monsterSorcerer_LOD02.part,
amb_drg_undead_wraith_wing_puffs.part,0,amb_drg_undead_wraith_wing_puffs_LOD00.part|amb_drg_undead_wraith_wing_puffs_LOD01.part|amb_drg_undead_wraith_wing_puffs_LOD02.part|fx_smoke01_gry_Ssu.png,
prj_drg_seaGoddess_charged.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_flare_03.png|fx_flrstr01_Ssu_grey.png|fx_smoke_wispy_2x2.png|prj_drg_seaGoddess_charged_LOD00.part|prj_drg_seaGoddess_charged_LOD01.part|prj_drg_seaGoddess_charged_LOD02.part,
spl_evilEye_glow.part,0,fx_light_ray_03.png|fx_smoke_wispy_2x2.png|spl_evilEye_glow_LOD00.part|spl_evilEye_glow_LOD01.part|spl_evilEye_glow_LOD02.part,
ptl_shockPulse.part,0,Smoke_Thin_01.png|fx_elect_05.png|fx_elect_06.png|fx_elect_07.png|fx_flare_multiple.png|fx_ring_11.png|fx_spiral_02.png|ptl_shockPulse.part|ptl_shockPulse_LOD01.part|ptl_shockPulse_LOD02.part,
spl_elderSign_trails.part,0,fx_flrstr01_Ssu_grey.png|spl_elderSign_trails_LOD00.part,
ptl_drg_undead_flame_impact_01.part,0,ptl_airBreath_bluePuff_dif.png|ptl_drg_undead_flame_impact_01.part|ptl_drg_undead_flame_impact_01_LOD01.part,
ptl_drg_charge_IceShield_01.part,0,defaultParticle.png|fx_ring_01.png|fx_water_drops.png|ptl_drg_charge_IceShield_01.part|ptl_drg_charge_IceShield_01_LOD01.part|ptl_drg_charge_IceShield_01_LOD02.part,
amb_drg_dwarfGold_coinBurst.part,0,amb_drg_dwarfGold_coinBurst_LOD00.part|coin.pod|fx_coin_dif.png,
imp_drg_maskKnight_miss.part,0,fx_dust2x2.png|fx_fire01_Ssu.png|fx_flrstr01_Ssu_grey.png|imp_drg_maskKnight_miss_LOD00.part|imp_drg_maskKnight_miss_LOD01.part|imp_drg_maskKnight_miss_LOD02.part,
spl_protective_talisman_death.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_japanese_ward.png|fx_ring_glint_01.png|fx_smoke_wispy_2x2.png|spl_protective_talisman_death_LOD00.part|spl_protective_talisman_death_LOD01.part|spl_protective_talisman_death_LOD02.part,
imp_drg_owl_hit.part,0,defaultParticle.png|fx_fire03_Ssu.png|fx_smoke2x2.png|fx_water_drops.png|imp_drg_owl_hit_LOD00.part|imp_drg_owl_hit_LOD01.part|imp_drg_owl_hit_LOD02.part,
ptl_drg_shadowStrike_burst.part,0,fx_explosion_Ssu.png|fx_fire03_Ssu.png|fx_fire04_Ssu.png|fx_flrstr01_Ssu_grey.png|fx_smoke_round.png|ptl_drg_shadowStrike_burst_LOD00.part|ptl_drg_shadowStrike_burst_LOD01.part|ptl_drg_shadowStrike_burst_LOD02.part,
amb_prop_dest_01_RandRot.part,0,amb_prop_dest_01_RandRot_LOD00.part|amb_prop_dest_01_RandRot_LOD01.part|amb_prop_dest_01_RandRot_LOD02.part|fx_debris_woodChips_2x2.png|fx_dot_soft.png|fx_smoke_gry_Ssu.png,
prj_drg_chomp.part,0,fx_spiral_01.png|fx_teeth_crunch.png|prj_drg_chomp_LOD00.part|prj_drg_chomp_LOD01.part|prj_drg_chomp_LOD02.part,
reticle_01.part,1,fx_UI_reticle.png|reticle_01_LOD00.part,
amb_bld_dragonAtlas_compass_bronze.part,0,amb_bld_dragonAtlas_compass_bronze_LOD00.part|amb_bld_dragonAtlas_compass_bronze_LOD01.part|amb_bld_dragonAtlas_compass_bronze_LOD02.part|fx_UI_select_01.png|fx_UI_wm_forcefield_01.png|fx_flrstr01_Ssu_grey.png|vfx_flare_01.png,
ptl_ghostfireWreath_shrink.part,0,fx_dot_glow.png|fx_flare_randRot_2x2.png|fx_smoke2x2.png|ptl_ghostfireWreath_shrink_LOD00.part|ptl_ghostfireWreath_shrink_LOD01.part|ptl_ghostfireWreath_shrink_LOD02.part,
ptl_onHit_elementalFlakWindExplosion.part,0,fx_elect_blue_2x2.png|fx_flrstr01_Ssu_grey.png|fx_ring_01.png|fx_smoke2x2.png|fx_spark02_Ssu_RGB.png|ptl_onHit_elementalFlakWindExplosion.part|ptl_onHit_elementalFlakWindExplosion_LOD01.part|ptl_onHit_elementalFlakWindExplosion_LOD02.part,
spl_ferociousDive_end.part,0,fx_debris_Cloud_01.png|fx_flareLens2x2_rgb_Ssu.png|fx_water_ripple_01.png|fx_water_splash_2x2.png|spl_ferociousDive_end_LOD00.part|spl_ferociousDive_end_LOD01.part|spl_ferociousDive_end_LOD02.part,
imp_drg_gladiatorLegion_hit.part,0,fx_smoke01_gry_Ssu.png|fx_smoke2x2.png|imp_drg_gladiatorLegion_hit_LOD00.part,
VFX_gotcha_gold_chest_idle.part,0,VFX_gotcha_gold_chest_idle.part|defaultParticle.png|fx_flrstr01_Ssu_grey.png|fx_lightBeam01_gry_Ssu.png|fx_light_ray_01.png|fx_ring_02.png,
ptl_drg_shield_Blast_core.part,0,fx_lightning04_Ssu_rgb.png|fx_ring_13.png|ptl_drg_shield_Blast_core.part,
spl_ancientFury.part,0,fx_flareLens2x2_rgb_Ssu.png|fx_lightning04_Ssu_rgb.png|fx_ring_16.png|spl_ancientFury_LOD00.part,
amb_drg_vikingFire_fireEyes.part,0,amb_drg_vikingFire_fireEyes.part|fx_fire02_Ssu.png|fx_flrstr01_Ssu_grey.png,
VFX_eventIsland_amb_base_ripples_Square.part,0,VFX_eventIsland_amb_base_ripples_Square_LOD00.part|VFX_eventIsland_amb_base_ripples_Square_LOD01.part|fx_waterSplash_square.png,
spl_adaptive_fireFlakResist.part,0,fx_fire02_Ssu.png|fx_flrstr01_Ssu_grey.png|fx_ring_02.png|fx_ring_glint_02.png|spl_adaptive_fireFlakResist_LOD00.part|spl_adaptive_fireFlakResist_LOD01.part|spl_adaptive_fireFlakResist_LOD02.part,
dest_wm_debrisFall_01.part,0,dest_wm_debrisFall_01_LOD00.part|fx_debris_Cloud_01.png|fx_dust2x2.png,
spl_snowDrift_blowingSnow.part,0,fx_debris_Cloud_01.png|fx_dust2x2.png|fx_snowyGround.png|fx_waterSplash_round.png|mound.pod|ptl_airBreath_litBluePuff_dif.png|spl_snowDrift_blowingSnow_LOD00.part|spl_snowDrift_blowingSnow_LOD01.part|spl_snowDrift_blowingSnow_LOD02.part|vfx_scorchmark_tree_01.png,
UI_wm_portal_public_v1.part,0,UI_wm_portal_public_LOD00_v1.part|fx_UI_SummonCircle_01.png|fx_debris_Cloud_01.png|fx_flrstr01_Ssu_grey.png|fx_ring_09.png|fx_smoke2x2_gry.png,
imp_drg_japanSamurai_miss.part,0,fx_fire03_Ssu.png|fx_smoke2x2.png|imp_drg_japanSamurai_miss_LOD00.part|imp_drg_japanSamurai_miss_LOD01.part|imp_drg_japanSamurai_miss_LOD02.part,
amb_drg_cosmic_space_UI_2.part,0,amb_drg_cosmic_space_UI_2_LOD00.part|amb_drg_cosmic_space_UI_2_LOD01.part|amb_drg_cosmic_space_UI_2_LOD02.part|fx_flrstr01_Ssu_grey.png|fx_smoke01_gry_Ssu.png|fx_smoke_wispy_2x2.png,
ptl_drg_crumble_to_dust_proj.part,0,fx_elect_04.png|fx_smoke01_gry_Ssu.png|ptl_drg_crumble_to_dust_proj.part|ptl_drg_crumble_to_dust_proj_LOD00.part|ptl_drg_crumble_to_dust_proj_LOD01.part,
spl_huntersMark.part,0,fx_UI_health.png|fx_UI_rage.png|fx_UI_reticle.png|fx_UI_target_01.png|fx_flareLens2x2_rgb_Ssu.png|fx_spiral_02.png|spl_huntersMark_LOD00.part|spl_huntersMark_LOD01.part|spl_huntersMark_LOD02.part,
VFX_eventIsland_emerge_splash_02.part,0,VFX_eventIsland_emerge_splash_02_LOD00.part|VFX_eventIsland_emerge_splash_02_LOD01.part|fx_smoke2x2.png|fx_waterSplash_round.png|fx_water_splash_2x2.png|waterSplash_01.png,
ptl_heal_plus_01.part,0,fx_UI_health.png|ptl_heal_plus_01.part|ptl_heal_plus_01_LOD01.part,
imp_drg_celestial_hit.part,0,fx_Smoke05_gry_Ssu.png|fx_flare_randRot_2x2.png|fx_smoke2x2.png|imp_drg_celestial_hit_LOD00.part|imp_drg_celestial_hit_LOD01.part|imp_drg_celestial_hit_LOD02.part,
imp_drg_leopard_hit.part,0,fx_fire03_Ssu.png|fx_flrstr01_Ssu_grey.png|imp_drg_leopard_hit_LOD00.part|imp_drg_leopard_hit_LOD01.part|imp_drg_leopard_hit_LOD02.part,
