identifier,inBundle,type,iapIdentifier,chainIdentifier,name,title,subtitle,enabled,eligibleForDailyOffer,revInCents,defaultLocalizedPrice,defaultLocalizedPriceValue,sale,sandboxNumber,backgroundImageFilename,itemImageFilename,itemImageFilenameV2,dailyOfferStoreImageFilename,dailyOfferFullScreenImageFilename,giftType,rewardIdentifier,useGenericPurchasedPopup,achievementsToMakeVisible,achievementsToMakeInvisible,purchaseTimes,contentImageFileName,multiplier,listPriority,shouldRestrictPurchaseIfContentsOwned,extraInfo,haveRightToLeftImage,skuTag,isGiftable,isOnlyGiftable,cooldownMinutes,isAtlasPack,selectablePack,selectableText,h
VP2_4,0,ValuePack,value_pack_2d,dungeonPack2Chain,Starter Dungeon Pack,Starter Dungeon Pack,Conquer more dungeons!,1,0,1400,$19.99,19.99,,0,WD_DungeonKeyPackIAP_Tier2_iap_front.png,valuePack_bg_Normal_item02.png,WD_DungeonKeyPackIAP_Tier2_iap_front.png,,,Silver,dungeonValuePack2Reward,0,,,,WD_DungeonKeyPackIAP_Tier2_iap.png,4,2,,,,,0,0,,0,,,
VP2_5,0,ValuePack,value_pack_2e,valuePackChain2e,Value Pack 5,Value Pack 5,Value Pack,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_Normal_item02.png,valuePack_bg_Normal_item02_v2.jpg,,,Silver,valuePackRewardVP2_5,0,,,,valuePack_normal_content02.png,3,60,,,,,0,0,,0,,,
VP2_6,0,ValuePack,value_pack_2f,valuePackChain2f,Value Pack 6,Value Pack 6,Value Pack,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_Normal_item02.png,valuePack_bg_Normal_item02_v2.jpg,,,Silver,valuePackRewardVP2_6,0,,,,valuePack_normal_content02.png,3,60,,,,,0,0,,0,,,
VP3_1,0,ValuePack,value_pack_3a,chain3,Power Pack 1,Power Pack 1,Tons of Boosts!,1,0,3500,$49.99,49.99,,0,valuePack_bg_normal03.png,valuePack_bg_Normal_item03.png,valuePack_bg_Normal_item03_v2.jpg,,,Gold,valuePackRewardVP3_1,0,,,,valuePack_normal_content03.png,3,70,,,,,0,0,,0,,,
VP3_2,0,ValuePack,value_pack_3b,chain7,Power Pack 2,Power Pack 2,Tons of Boosts!,1,0,3500,$49.99,49.99,,0,valuePack_bg_normal03.png,valuePack_bg_Normal_item03.png,valuePack_bg_Normal_item03_v2.jpg,,,Gold,valuePackRewardVP3_2,0,,,,valuePack_normal_content03.png,3,70,,,,,0,0,,0,,,
VP3_4,0,ValuePack,value_pack_3d,dungeonPack3Chain,Dungeon Keys Pack,Dungeon Keys Bundle,Contains tons of Key Packs!,1,0,3500,$49.99,49.99,,0,WD_DungeonKeyPackIAP_Tier3_iap_front.png,valuePack_bg_Normal_item03.png,WD_DungeonKeyPackIAP_Tier3_iap_front.png,,,Gold,dungeonValuePack3Reward,0,,,,WD_DungeonKeyPackIAP_Tier3_iap.png,4,2,,,,,0,0,,0,,,
VP3_5,0,ValuePack,value_pack_3e,valuePackChain3e,Power Pack 5,Power Pack 5,Tons of Boosts!,1,0,3500,$49.99,49.99,,0,valuePack_bg_normal03.png,valuePack_bg_Normal_item03.png,valuePack_bg_Normal_item03_v2.jpg,,,Gold,valuePackRewardVP3_5,0,,,,valuePack_normal_content03.png,3,70,,,,,0,0,,0,,,
VP4_1,0,ValuePack,value_pack_4a,chain4,Super Pack,Super Pack,Become More Powerful!,1,0,7000,$99.99,99.99,,0,valuePack_bg_normal04.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackRewardVP4_1,0,,,,valuePack_normal_content04.png,3,80,,,,,0,0,,0,,,
VP4_2,0,ValuePack,value_pack_4b,chain8,Super Pack,Super Pack,Become More Powerful!,1,0,7000,$99.99,99.99,,0,valuePack_bg_normal04.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackRewardVP4_2,0,,,,valuePack_normal_content04.png,3,80,,,,,0,0,,0,,,
VP4_3,0,ValuePack,value_pack_4c,,Super Pack,Super Pack,Super Pack,1,0,7000,$99.99,99.99,,0,valuePack_bg_normal04.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackRewardVP4_3,0,,,,valuePack_normal_content04.png,3,80,,,,,0,0,,0,,,
ELITE_1,0,ValuePack,elite_account_7days,,7 Days Elite Account,Incredible,Super Pack,1,0,210,$1.99,1.99,,0,valuePack_bg_normal.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackEliteAccountReward_7Days,1,,,,valuePack_normal_content04.png,3,40,,,,,0,0,,0,,,
ELITE_2,0,ValuePack,elite_account_30days,,30 Days Elite Account,Incredible,Super Pack,1,0,700,$4.99,4.99,,0,valuePack_bg_normal.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackEliteAccountReward_30Days,1,,,,valuePack_normal_content04.png,3,41,,,,,0,0,,0,,,
ELITE_3,0,ValuePack,elite_account_365days,,365 Days Elite Account,Incredible,Super Pack,1,0,3500,$39.99,39.99,,0,valuePack_bg_normal.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackEliteAccountReward_365Days,1,,,,valuePack_normal_content04.png,3,42,,,,,0,0,,0,,,
ELITE_4,0,ValuePack,elite_account_30days_ftb,,30 Days Elite Account with First Time Buyer Discount,Incredible,Super Pack,1,0,210,$1.99,1.99,,0,valuePack_bg_normal.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackEliteAccountReward_30Days,1,,,,valuePack_normal_content04.png,3,43,,,,,0,0,,0,,,
ELITE_5,0,ValuePack,elite_account_7days_subs,,7 Days Elite Account Subscription,Incredible,Super Pack,1,0,210,$1.99,1.99,,0,valuePack_bg_normal.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackEliteAccountReward_7Days,1,,,,valuePack_normal_content04.png,3,40,,,,,0,0,,0,,,
ELITE_6,0,ValuePack,elite_account_31days_subs,,31 Days Elite Account Subscription,Incredible,Super Pack,1,0,700,$4.99,4.99,,0,valuePack_bg_normal.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,valuePackEliteAccountReward_30Days,1,,,,valuePack_normal_content04.png,3,41,,,,,0,0,,0,,,
DP1_1,0,ValuePack,value_pack_6a,dragonPackChain1,Fenrir Value Pack,Fenrir Value Pack,Get a Rare Dragon!,1,0,350,$4.99,4.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Fenrir.png,valuePack_bg_Dragon_item_v2_Fenrir.jpg,,,Gold,dragonPack1,0,level05,haveFenrir|have2PurpleDragons,,valuePack_Dragon_Fenrir.png,3,31,,,1,HOT!,0,0,,0,,,
DP2_1,0,ValuePack,value_pack_6b,dragonPackChain2,Dominus Value Pack,Dominus Value Pack,Get a Rare Dragon!,1,0,1400,$19.99,19.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Dominus.png,valuePack_bg_Dragon_item_v2_Dominus.jpg,,,Gold,dragonPack2,0,have2PurpleDragons,haveDominus|have2BlueDragons,,valuePack_Dragon_Dominus.png,3,32,,,1,,0,0,,0,,,
DP3_1,0,ValuePack,value_pack_6c,dragonPackChain3,Numen Value Pack,Numen Value Pack,Get an Epic Dragon!,1,0,3500,$49.99,49.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Numen.png,valuePack_bg_Dragon_item_v2_Numen.jpg,,,Gold,dragonPack3,0,have2BlueDragons,haveNumen|have2OrangeDragons,,valuePack_Dragon_Numen.png,3,33,,,1,,0,0,,0,,,
DP4_1,0,ValuePack,value_pack_6d,dragonPackChain4,Darja Value Pack,Darja Value Pack,Get a Legendary Dragon!,1,0,7000,$99.99,99.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Darja_v2.png,valuePack_bg_Dragon_item_v2_Darja.jpg,,,Gold,dragonPack4,0,have2OrangeDragons,haveDarja|have4GreenDragons,,valuePack_Dragon_Draja_v2.png,3,34,,,1,,0,0,,0,,,
DP5_1,0,ValuePack,value_pack_6e,evolutionDragonPackChain1,Ember Purple Tier Evolution Pack,Ember Purple Tier Evolution Pack,Evolve Ember to Purple Tier,1,0,350,$4.99,4.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Orcher01.png,valuePack_bg_Dragon_item_v2_Orcher01.jpg,,,Gold,dragonPack5,0,haveEvolvingHunterDragon,haveEvolvingHunterPurpleStone|haveGreenLegendary,1,valuePack_Dragon_Orcher01.png,3,2,,,1,,0,0,,0,,,
DP5_2,0,ValuePack,value_pack_6f,evolutionDragonPackChain2,Ember Blue Tier Evolution Pack,Ember Blue Tier Evolution Pack,Evolve Ember to Blue Tier,1,0,1400,$19.99,19.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Orcher02.png,valuePack_bg_Dragon_item_v2_Orcher02.jpg,,,Gold,dragonPack6,0,haveEvolvingHunterLevel7,haveEvolvingHunterBlueStone|haveGreenLegendary,1,valuePack_Dragon_Orcher02.png,3,2,,,1,,0,0,,0,,,
DP5_3,0,ValuePack,value_pack_6g,evolutionDragonPackChain3,Ember Orange Tier Evolution Pack,Ember Orange Tier Evolution Pack,Evolve Ember to Orange Tier,1,0,7000,$99.99,99.99,,0,valuePack_bg_Dragons.png,valuePack_bg_Dragon_item_Orcher03.png,valuePack_bg_Dragon_item_v2_Orcher03.jpg,,,Gold,dragonPack7,0,haveEvolvingHunterLevel15,haveEvolvingHunterOrangeStone|haveGreenLegendary,1,valuePack_Dragon_Orcher03.png,3,2,,,1,,0,0,,0,,,
VP7_1,0,ValuePack,value_pack_7a,valuePackChain7a,Annuity Pack,Annuity Pack,Annuity Pack,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP7_1,0,,,,valuePack_normal_content01.png,3,51,,,,,0,0,,0,,,
VP7_3,0,ValuePack,value_pack_0a,valuePackChain7c,Head Start Pack,Head Start Pack,Only purchasable once!,1,0,70,$0.99,0.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP7_3,0,level02,level20,1,valuePack_normal_content01.png,20,2,,,,BEST DEAL!,0,0,,0,,,
VP7_4,0,ValuePack,test,valuePackChain7d,Awesome Pack 4,Awesome Pack 4,Awesome Pack,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP7_4,0,,,,valuePack_normal_content01.png,3,51,,,,,0,0,,0,,,
VP7_5,0,ValuePack,test_1,valuePackChain7e,Awesome Pack 5,Awesome Pack 5,Awesome Pack,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP7_5,0,,,,valuePack_normal_content01.png,3,51,,,,,0,0,,0,,,
VP7_6,0,ValuePack,test_2,valuePackChain7f,Awesome Pack 6,Awesome Pack 6,Awesome Pack,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP7_6,0,,,,valuePack_normal_content01.png,3,51,,,,,0,0,,0,,,
PB1_1,0,ValuePack,prod_boost_1a,prodBoostChain1,Production Boost Pack 1a,Production Boost Pack 1a,New Boosts!,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Gold,boostPack,0,,,,valuePack_normal_content01.png,3,10,1,,,,0,0,,0,,,
PB1_2,0,ValuePack,prod_boost_1b,prodBoostChain2,Production Boost Pack 1b,Production Boost Pack 1b,New Boosts!,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Gold,boostPack1,0,,,,valuePack_normal_content01.png,3,10,1,,,,0,0,,0,,,
PB2_1,0,ValuePack,prod_boost_2a,prodBoostChain3,Production Boost Pack 2a,Production Boost Pack 2a,New Boosts!,1,0,700,$9.99,9.99,,0,valuePack_bg_normal02.png,valuePack_bg_Normal_item02.png,valuePack_bg_Normal_item02_v2.jpg,,,Gold,boostPack2,0,,,,valuePack_normal_content02.png,3,11,1,,,,0,0,,0,,,
PB2_2,0,ValuePack,prod_boost_2b,prodBoostChain4,Production Boost Pack 2b,Production Boost Pack 2b,New Boosts!,1,0,700,$9.99,9.99,,0,valuePack_bg_normal02.png,valuePack_bg_kaijuArmor.png,valuePack_bg_Normal_item02_v2.jpg,,,Gold,boostPack3,0,,,,valuePack_normal_content02.png,3,11,,Egyptian Emerald Armor -- Equip on Kaiju in the den!,,,0,0,,0,,,
PB3_1,0,ValuePack,prod_boost_3a,prodBoostChain5,Production Boost Pack 3a,Production Boost Pack 3a,New Boosts!,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_hydronAmethyst.png,valuePack_bg_Normal_item02_v2.jpg,,,Gold,boostPack4,0,,,,valuePack_normal_content02.png,3,12,,Egyptian Amethyst Armor -- Equip on Hydron or Arborius in the Den!,,,0,0,,0,,,
PB3_2,0,ValuePack,prod_boost_3b,prodBoostChain6,Production Boost Pack 3b,Production Boost Pack 3b,New Boosts!,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_goldenDesert.png,valuePack_bg_Normal_item02_v2.jpg,,,Gold,boostPack5,0,,,,valuePack_normal_content02.png,3,12,,"Golden Desert Drake Armor -- Equip on Ormarr, Consurgens, Jagra, or Rizar in the Den!",,,0,0,,0,,,
PB4_1,0,ValuePack,prod_boost_4a,prodBoostChain7,Production Boost Pack 4a,Production Boost Pack 4a,New Boosts!,1,0,3500,$49.99,49.99,,0,valuePack_bg_normal03.png,valuePack_bg_goldenAsp.png,valuePack_bg_Normal_item02_v2.jpg,,,Gold,boostPack6,0,P,,,valuePack_normal_content03.png,3,13,,"Golden Asp Armor -- Equip on Luminark, Kinnara, Garuda, Kinnarakku, Alikorn, Sahran, or Serabis in the Den!",,,0,0,,0,,,
PB4_2,0,ValuePack,prod_boost_4b,prodBoostChain8,Production Boost Pack 4b,Production Boost Pack 4b,New Boosts!,1,0,3500,$49.99,49.99,,0,valuePack_bg_normal03.png,valuePack_bg_Normal_item03.png,valuePack_bg_Normal_item03_v2.jpg,,,Gold,boostPack7,0,,,,valuePack_normal_content03.png,3,13,1,,,BOO!,0,0,,0,,,
PB5_1,0,ValuePack,prod_boost_5a,prodBoostChain9,Production Boost Pack 5a,Production Boost Pack 5a,New Boosts!,1,0,7000,$99.99,99.99,,0,valuePack_bg_normal04.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,boostPack8,0,,,,valuePack_normal_content04.png,3,14,1,,,BOO!,0,0,,0,,,
PB5_2,0,ValuePack,prod_boost_5b,prodBoostChain10,Production Boost Pack 5b,Production Boost Pack 5b,New Boosts!,1,0,7000,$99.99,99.99,,0,valuePack_bg_normal04.png,valuePack_bg_Normal_item04.png,valuePack_bg_Normal_item04_v2.jpg,,,Gold,boostPack9,0,,,,valuePack_normal_content04.png,3,14,1,,,BOO!,0,0,,0,,,
RVP_1,0,ValuePack,eally_no_id_available,retargetPackChain1,Elite Discount Pack,Elite Discount Value Pack,Get Elite Account for 50% off!,1,0,70,$0.99,0.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Gold,retargetValuePack1,0,retarget_EliteOneDollarClicked,retarget_EliteOneDollarClickedTimeElapsed,,valuePack_normal_content01.png,2,6,,,,BOO!,0,0,,0,,,
marketing_1,0,ValuePack,value_pack_5a,dungeonPack1Chain,Dungeon Hero Bundle,Dungeon Hero Bundle,Only purchasable once!,1,0,70,$0.99,0.99,,0,WD_DungeonKeyPackIAP_Tier1_iap_front.png,valuePack_bg_Normal_item01.png,WD_DungeonKeyPackIAP_Tier1_iap_front.png,,,Silver,dungeonValuePack1Reward,0,,,1,WD_DungeonKeyPackIAP_Tier1_iap.png,10,1,,,,,0,0,,0,,,
HH_1,0,ValuePack,no_id_1,halloweenChain1,Hunter Bunny Ears,Hunter Bunny Ears,Hunter Bunny Ears,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,HunterBunny.png,HunterBunny_bg_Normal_item01_v2.png,,,Gold,HunterBunny,0,,,,HunterBunny_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_2,0,ValuePack,no_id_2,halloweenChain5,Warrior Bunny Ears,Warrior Bunny Ears,Warrior Bunny Ears,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,WarriorBunny.png,WarriorBunny_bg_Normal_item01_v2.png,,,Gold,WarriorBunny,0,,,,WarriorBunny_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_3,0,ValuePack,no_id_3,halloweenChain9,Sorcerer Bunny Ears,Sorcerer Bunny Ears,Sorcerer Bunny Ears,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,SorcererBunny.png,SorcererBunny_bg_Normal_item01_v2.png,,,Gold,SorcererBunny,0,,,,SorcererBunny_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_4,0,ValuePack,no_id_4,halloweenChain7,Hunter Top Hat,Hunter Top Hat,Hunter Top Hat,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,HunterMonocle.png,HunterMonocle_bg_Normal_item01_v2.png,,,Gold,HunterMonocle,0,,,,HunterMonocle_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_5,0,ValuePack,no_id_5,halloweenChain2,Warrior Top Hat,Warrior Top Hat,Warrior Top Hat,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,WarriorMonocle.png,WarriorMonocle_bg_Normal_item01_v2.png,,,Gold,WarriorMonocle,0,,,,WarriorMonocle_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_6,0,ValuePack,no_id_6,halloweenChain6,Sorcerer Top hat,Sorcerer Top hat,Sorcerer Top hat,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,SorcererMonocle.png,SorcererMonocle_bg_Normal_item01_v2.png,,,Gold,SorcererMonocle,0,,,,SorcererMonocle_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_7,0,ValuePack,no_id_7,halloweenChain4,Hunter Archery Cap,Hunter Archery Cap,Hunter Archery Cap,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,HunterArrow.png,HunterArrow_bg_Normal_item01_v2.png,,,Gold,HunterArrow,0,,,,HunterArrow_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_8,0,ValuePack,no_id_8,halloweenChain8,Warrior Archery Cap,Warrior Archery Cap,Warrior Archery Cap,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,WarriorArrow.png,WarriorArrow_bg_Normal_item01_v2.png,,,Gold,WarriorArrow,0,,,,WarriorArrow_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_9,0,ValuePack,no_id_9,halloweenChain3,Sorcerer Archery Cap,Sorcerer Archery Cap,Sorcerer Archery Cap,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,SorcererArrrow.png,SorcererArrow_bg_Normal_item01_v2.png,,,Gold,SorcererArrrow,0,,,,SorcererArrow_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_10,0,ValuePack,no_id_10,halloweenChain1,Hunter With Hat,Hunter With Hat,Hunter With Hat,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,HunterWitch.png,HunterWitch_bg_Normal_item01_v2.png,,,Gold,HunterWitch,0,,,,HunterWitch_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_11,0,ValuePack,no_id_11,halloweenChain5,Warrior Witch Hat,Warrior Witch Hat,Warrior Witch Hat,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,WarriorWitch.png,WarriorWitch_bg_Normal_item01_v2.png,,,Gold,WarriorWitch,0,,,,WarriorWitch_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_12,0,ValuePack,no_id_12,halloweenChain9,Sorcerer Witch Hat,Sorcerer Witch Hat,Sorcerer Witch Hat,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,SorcererWitch.png,SorcererWitch_bg_Normal_item01_v2.png,,,Gold,SorcererWitch,0,,,,SorcererWitch_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_13,0,ValuePack,no_id_13,halloweenChain7,Hunter Pirate Garb,Hunter Pirate Garb,Hunter Pirate Garb,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,HunterPirate.png,HunterPirate_bg_Normal_item01_v2.png,,,Gold,HunterPirate,0,,,,HunterPirate_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_14,0,ValuePack,no_id_14,halloweenChain2,Warrior Pirate Garb,Warrior Pirate Garb,Warrior Pirate Garb,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,WarriorPirate.png,WarriorPirate_bg_Normal_item01_v2.png,,,Gold,WarriorPirate,0,,,,WarriorPirate_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_15,0,ValuePack,no_id_15,halloweenChain6,Sorcerer Pirate Garb,Sorcerer Pirate Garb,Sorcerer Pirate Garb,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,SorcererPirate.png,SorcererPirate_bg_Normal_item01_v2.png,,,Gold,SorcererPirate,0,,,,SorcererPirate_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_16,0,ValuePack,no_id_16,halloweenChain4,Hunter Jack-o-Lantern,Hunter Jack-o-Lantern,Hunter Jack-o-Lantern,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,HunterPumpkin.png,HunterPumpkin_bg_Normal_item01_v2.png,,,Gold,HunterPumpkin,0,,,,HunterPumpkin_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_17,0,ValuePack,no_id_17,halloweenChain8,Warrior Jack-o-Lantern,Warrior Jack-o-Lantern,Warrior Jack-o-Lantern,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,WarriorPumpkin.png,WarriorPumpkin_bg_Normal_item01_v2.png,,,Gold,WarriorPumpkin,0,,,,WarriorPumpkin_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
HH_18,0,ValuePack,no_id_18,halloweenChain3,Sorcerer Jack-o-Lantern,Sorcerer Jack-o-Lantern,Sorcerer Jack-o-Lantern,1,0,700,$9.99,9.99,,0,valuePack_bg_normal01.png,SorcererPumpkin.png,SorcererPumpkin_bg_Normal_item01_v2.png,,,Gold,SorcererPumpkin,0,,,,SorcererPumpkin_normal_content01.png,1.2,6,,,,BOO!,0,0,,0,,,
red_hero_pack,0,ValuePack,red_hero_pack,heroPackChain,(HEROES)RED Pack,(HEROES)RED Pack,Play (RED). Give life. ,0,0,350,$4.99,4.99,,0,valuePack_bg_normal.png,redux_iap_front.png,redux_iap_front.png,,,Gold,valuePackRewardRedux,0,level01,haveRaetrix,,redux_iap.png,5,6,1,,,,,,,0,,,
