identifier,activeAchievement,priority,narrativeActionType,narrativeItem,narrationIdentifier,delayTime,menuButton,tableName,tableItemIdentifier,arrowRotation,arrowScale,narrativeAction,tutorialMessage,shouldAlwaysScroll,additionalParameters,h
tutorialPve03SelectDragon_lock,tutorialPve03SelectDragon,,DisableDragonsInAttackPreviewModeNarrativeAction,attackPreviewHud,chineseTutorialDragon|stoneTutorialDragon,,,,,0,1,,Let's Start with Draco!,,time:3,
tutorialPve03DestroyedCastleStep_stop,tutorialPve03DestroyedCastle,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutorialPve03DestroyedCastleStep_hint,tutorialPve03DestroyedCastle,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Don't forget to destroy the castle!,,time:100000|x:50|y:80,
tutorialPve04SelectDragon_arrow,tutorialPve04SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
tutorialPve04SelectDragon_lock,tutorialPve04SelectDragon,,DisableDragonsInAttackPreviewModeNarrativeAction,attackPreviewHud,chineseTutorialDragon|redTutorialDragon,,,,,0,1,,Let's Try Out Frigg!,,time:3,
tutAuxDisableAttack3_disableAttack,tutAuxDisableAttack3,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
tutAuxDisableAttack3_disablePulse,tutAuxDisableAttack3,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
tutAuxDisableAttack3_disableBreederAttack,tutAuxDisableAttack3,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
tutAuxDisableAttack3a_disableAttack,tutAuxDisableAttack3a,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
tutAuxDisableAttack3a_disablePulse,tutAuxDisableAttack3a,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
tutAuxDisableAttack3a_disableBreederAttack,tutAuxDisableAttack3a,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
tutorialBuildLumberMill_narration,tutorialBuildLumberMill,,NarrationNarrativeAction,,narrationBuildLumberMill,,,,,,,,,,,
tutorialBuildLumberMill_worldArrow,tutorialBuildLumberMill,2,BuildModeWorldObjectNarrativeAction,expansion_001,,,,,,,,,Build Lumber Mill,1,,
tutorialBuildLumberMill_storeArrow,tutorialBuildLumberMill,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,woodFarm,0,,,Build Lumber Mill,,,
tutorialBuildLumberMill_disableNo,tutorialBuildLumberMill,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
tutorialBuildLumberMill_yesArrow,tutorialBuildLumberMill,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,1.5,,,,,
tutorialReadyLumberMill_expediteArrow,tutorialReadyLumberMill,2,BuildModeWorldObjectNarrativeAction,expansion_001-building,,,,,,,,,Speed Up,1,,
tutorialReadyLumberMill_timerExpedite,tutorialReadyLumberMill,5,TimerOverlayNarrativeAction,woodFarm_timer,,,,,,,1,,Speed Up,,,
tutorialCollectLumberMill_narration,tutorialCollectLumberMill,1,NarrationNarrativeAction,,narrationCollectLumber,,,,,,,,,,,
tutorialCollectLumberMill_worldArrow,tutorialCollectLumberMill,2,BuildModeWorldObjectNarrativeAction,expansion_001-building,,,,,,,,,Collect Lumber,1,,
tutorialCollectLumberMill_fillLumber,tutorialCollectLumberMill,,MakeHarvestBuildingCollectibleNarrativeAction,expansion_001-building,,,,,,,,,,,,
tutorialPlaceHogFarm1_narration,tutorialPlaceHogFarm1,,NarrationNarrativeAction,,narrationBuildHogFarm,,,,,,,,,,,
tutorialPlaceHogFarm1_worldArrow,tutorialPlaceHogFarm1,2,BuildModeWorldObjectNarrativeAction,expansion_001,,,,,,,,,Build Sheep Farm,1,,
tutorialPlaceHogFarm1_storeArrow,tutorialPlaceHogFarm1,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,hogFarm,0,,,Build Sheep Farm,,,
tutorialPlaceHogFarm1_disableNo,tutorialPlaceHogFarm1,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
tutorialPlaceHogFarm1_yesArrow,tutorialPlaceHogFarm1,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,1.5,,,,,
