identifier,inBundle,spellNameIdentifier,spellDescriptionIdentifier,icon,spellTypes,isUsedForAmmoBuff,activeAbilityBattleText,projectileIdentifier,videoTutorial,uncommonAttributes,spellCategories,spellSoundEffects,vfxsOnBuilding,vfxsOnDragon,h
curePoison,0,spell_CurePoisonSpell_spellName,spell_CurePoisonSpell_spellDescription,icon_cure_01.png,blue,0,curePoisonSpellText,,curePoisonSpell,,,,,curePoisonParticle:ptl_heal_spell,
daybreak,0,spell_DaybreakSpell_spellName,spell_DaybreakSpell_spellDescription,icon_daybreak_01.png,passive,0,,,dayBreakSpell,,,,,dayBreakParticle:daybreak_dragon,
devourHope,0,spell_DevourHopeSpell_spellName,spell_DevourHopeSpell_spellDescription,icon_devourHope.png,blue,0,devourHopeSpellText,,devourHopeSpell,,,,,applyDragonParticle:ptl_heal_dragonSpell_02,
dodge,0,spell_DodgeSpell_spellName,spell_DodgeSpell_spellDescription,icon_dodge_01.png,blue,0,dodgeSpellText,,dodgeSpell,,,,,dodgeWindScene:windShield.lvl|dodgeWindBurstScene:windShieldBurst.lvl,
dreadfulRoar,0,spell_DreadfulRoarSpell_spellName,spell_DreadfulRoarSpell_spellDescription,icon_dreadfulRoar.png,red,0,dreadfulRoarSpellText,,dreadfulRoarSpell,,,spellStartSoundIdentifier:dreadful_roar_tapped,dreadfulBuildingParticle:ptl_building_intimidated,dreadfulStartParticle:ptl_drg_dreadfulRoar,
earthquake,0,spell_EarthquakeSpell_spellName,spell_EarthquakeSpell_spellDescription,icon_earthquake.png,red,0,earthquakeSpellText,earthquake,earthquakeSpell,,freeTarget,spellStartSoundIdentifier:earthquake_charge|spellReleaseSoundIdentifier:earthquake_cast,onBuildingScene:ptl_tectonic_tomb_spell_impact_01.lvl|freezeProjectileParticle:freeze_effect,freezePrepareParticle:earthquake_buildup,
energySyphon,0,spell_EnergySyphonSpell_spellName,spell_EnergySyphonSpell_spellDescription,icon_syphon_01.png,blue,0,energySyphonSpellText,,energySyphonSpell,,,,,energySyphonHealParticle:ptl_energy_syphon_heal|energySyphonStartParticle:ptl_energy_syphon,
ferociousBarrier,0,spell_FerociousBarrierSpell_spellName,spell_FerociousBarrierSpell_spellDescription,icon_ferociousShield.png,white|white,0,ferociousBarrierSpellText,,ferociousBarrierSpell,empoweredIcon:icon_ferociousShield.png|empoweredActiveAbilityBattleText:battlecrySpellText|empoweredFailedBattleText:noDamageAbsorbedSpellText,,spellStartSoundIdentifier:ferocious_shield_cast,,absorbBarrierShieldScene:spl_ferocious_barrier_shield.lvl|attackPowerIncreaseParticle:ptl_attack_increase|absorbBarrierShieldDeathScene:spl_ferocious_barrier_death_shield.lvl,
flashFreeze,0,spell_FlashFreezeSpell_spellName,spell_FlashFreezeSpell_spellDescription,icon_flashFreeze.png,red,0,flashFreezeSpellText,,flashFreezeSpell,,,spellStartSoundIdentifier:flash_freeze_cast,dreadfulBuildingParticle:ptl_building_intimidated|onBuildingScene:ptl_freeze_spell_impact_01.lvl,dreadfulStartParticle:spl_flashFreeze,
fluxSpell,0,spell_FluxSpell_spellName,spell_FluxSpell_spellDescription,icon_flux_01.png,white,0,fluxSpellText,flux,fluxSpell,"buildingPriorityIdentifiers:mageTower,mageBlueTower,orbTowerBossNDE,archerTowerBossNDE,cannonTowerBossNDE,elementalFlakDark,elementalFlakFire,elementalFlakIce,elementalFlakWind,elementalFlakEarth,perchIsland03,perchIsland06,perchIsland08,stormTower,iceTurret,fireTurret,archerTower,cannonTower,trebuchet,smokeTower,lightningTower,ballista,darkTotem,earthTotem,fireTotem,iceTotem,windTotem,archerTowerTutorial,cannonTowerTutorial,lightningTowerTutorial,hogFarm,woodFarm,stable",,,fluxBuildingParticle:flux_onBuilding,,
freezeSpell,0,spell_FreezeAttackSpell_spellName,spell_FreezeAttackSpell_spellDescription,icon_freeze_01.png,red,0,freezeSpellText,freeze,freezeAttackSpell,,circleAOE|freeTarget,spellStartSoundIdentifier:freeze_attack_charge|spellReleaseSoundIdentifier:freeze_attack_release|spellEndSoundIdentifier:freeze_attack_hit,onBuildingScene:ptl_freeze_spell_impact_01.lvl|freezeProjectileParticle:freeze_effect,freezePrepareParticle:freeze_buildup,
freezeSpellSuper,0,spell_SuperFreezeSpell_spellName,spell_SuperFreezeSpell_spellDescription,icon_superFreeze_02.png,blue,0,freezeSpellText,superFreeze,freezeAttackSpell,,circleAOE|freeTarget,,onBuildingScene:ptl_freeze_spell_impact_01.lvl|freezeProjectileParticle:freeze_effect,freezePrepareParticle:freeze_buildup,
frenzySpell,1,spell_FrenzySpell_spellName,spell_FrenzySpell_spellDescription,icon_frenzy_01.png,blue,0,frenzySpellText,,frenzySpell,,,,,,
frostbite,0,spell_FrostbiteSpell_spellName,spell_FrostbiteSpell_spellDescription,icon_frostbite.png,passive,0,frostbiteSpellText,,frostbiteSpell,,,,frostBiteIceShardScene:ptl_ice_shard_01.lvl,,
frozenTomb,0,spell_FrozenTombSpell_spellName,spell_FrozenTombSpell_spellDescription,icon_frozenTomb_01.png,red,0,frozenTombSpellText,freeze,frozenTombSpell,spellFailedText:frozenTombSpellFailText|shieldBrokenText:frozenTombSpellShieldBrokenText,circleAOE|freeTarget|shield,,onBuildingScene:ptl_frozen_tomb_spell_impact_01.lvl|freezeProjectileParticle:freeze_effect,freezePrepareParticle:freeze_buildup|frozenTombShieldScene:shield_frozenTomb_formation.lvl|dissipationEffectParticle:frozen_tomb_dissipation_effect|frozenTombShieldSupershotDeathSceneFile:shield_frozenTomb_dissipation.lvl,
galvanicOverloadSpell,0,spell_GalvanicOverloadSpell_spellName,spell_GalvanicOverloadSpell_spellDescription,icon_galvanic_initial_01.png,red,0,galvanicOverloadSpellText,galvanicOverload,galvanicOverloadSpell,empoweredIcon:icon_galvanic_01.png|empoweredActiveAbilityBattleText:galvanicEmpoweredCastSpellText|empoweredFailedBattleText:galvanicEmpoweredFailedBattleText,freeTarget,,,galvanicPrepareParticle:ptl_drg_chain_lightning_source_01|galvanicEmpowerPrepareParticle:galvanicOverload_charge|galvanicEmpowerAttackParticle:galvanicOverload_onBuilding,
gloomAndDoom,0,spell_GloomAndDoomSpell_spellName,spell_GloomAndDoomSpell_spellDescription,icon_gloomAndDoom.png,white,0,gloomAndDoomSpellText,,gloomAndDoomSpell,,,,doomAndChainScene:ptl_doomChains_01.lvl,,
healDragon,1,spell_HealDragonSpell_spellName,spell_HealDragonSpell_spellDescription,icon_heal_01.png,blue,0,healSpellText,,healDragonSpell,,,spellStartSoundIdentifier:regenerate,,healParticle:heal_dragon,
healingMark,0,spell_HealingMarkSpell_spellName,spell_HealingMarkSpell_spellDescription,icon_healingmark_01.png,red,0,healingMarkSpellText,,healingMarkSpell,,freeTarget,,onBuildingParticle:ptl_heal_dragonSpell_02|onBuildingScene:bld_healingMark_01.lvl,projectilePrepareParticle:ptl_drg_healthMark_spell_01|applyDragonParticle:ptl_heal_dragonSpell_02,
heatBlastShield,0,spell_HeatBlastShieldSpell_spellName,spell_HeatBlastShieldSpell_spellDescription,icon_heatshield_01.png,blue|blue,0,heatShieldSpellText,,heatBlastShieldSpell,empoweredIcon:icon_blastshield_01.png|empoweredActiveAbilityBattleText:blastShieldSpellText,,,buildingExplodeParticle:ptl_charge_shield_impact_01,heatedPrepareParticle:ptl_drg_radiance_blast_01|heatBlastShieldScene:shield_heatBlast.lvl|heatedHitParticle:ptl_heatBlastShield_hit|heatBlastShieldSupershotDeathScene:shield_heatBlast_supershot_death.lvl,
heatedPiercingBreath,0,spell_HeatedPiercingBreathSpell_spellName,spell_HeatedPiercingBreathSpell_spellDescription,icon_superheatedbreath_01.png,white|white,0,heatedBreathSpellText,,heatedPiercingBreathSpell,empoweredIcon:icon_piercingbreath_01.png|empoweredActiveAbilityBattleText:piercingBreathSpellText,,,,heatedPiercingSuperProjectile:drg_heated_flame_01|heatedPiercingProjectile:drg_piercing_flame_01|heatedPiercingStopProjectile:drg_radiance_flame_01,
hover,0,spell_HoverSpell_spellName,spell_HoverSpell_spellDescription,icon_hover_01.png,blue,0,,,hoverSpell,,,,,,
hurricane,0,spell_HurricaneSpell_spellName,spell_HurricaneSpell_spellDescription,icon_windWall_01.png,blue,0,hurricaneSpellText,,hurricaneSpell,"targetBuildingIdentifiers:archerTower,archerTowerTutorial,cannonTower,cannonTowerTutorial,ballista,trebuchet,fireTurret,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,,,hurricaneStartParticle:ptl_hurricane,
increaseRage,0,spell_IncreaseRageGenerationSpell_spellName,spell_IncreaseRageGenerationSpell_spellDescription,icon_rage_increase_01.png,blue,0,increaseRageSpellText,,increaseRageGenerationSpell,,,,,,
instantKill,0,spell_InstantKillSpell_spellName,spell_InstantKillSpell_spellDescription,icon_instakill_01.png,red,0,instantKillSpellText,instakill,instantKillSpell,,freeTarget,,,instantPrepareParticle:instakill_grow,
intimidatingRoar,0,spell_IntimidatingRoarSpell_spellName,spell_IntimidatingRoarSpell_spellDescription,icon_intimidatingRoar_01.png,red,0,intimidatingRoarSpellText,,intimidatingRoarSpell,,,,intimidateBuildingParticle:ptl_building_intimidated|intimidateBuildingPersistParticle:ptl_building_intimidated_persist,intimidateDragonParticle:ptl_dragon_shout,
invertSpell,0,spell_InvertSpell_spellName,spell_InvertSpell_spellDescription,icon_projectile_01.png,red,0,invertSpellText,,invertSpell,,,,,invertScene:ptl_invert_shield_01.lvl,
invertSpellReverse,0,spell_ReverseSpell_spellName,spell_ReverseSpell_spellDescription,icon_projectile_01.png,red,0,invertSpellTextReverse,,invertSpellReverse,,,,,invertScene:ptl_invert_shield_01.lvl,
invincibleSpell,0,spell_InvincibleSpell_spellName,spell_InvincibleSpell_spellDescription,icon_invincible_01.png,blue,0,invincibleSpellText,,invincibleSpell,,,,,invincibleSpellScene:shield.lvl|invincibleShieldDeathScene:shield_death.lvl,
kamikaze,0,spell_KamikazeSpell_spellName,spell_KamikazeSpell_spellDescription,icon_self_destruct_01.png,red,0,selfDestructSpellText,,kamikazeSpell,,circleAOE|freeTarget,,,selfDestructTendrils:ptl_selfDestructTendrils.lvl,
lightningFamiliar,0,spell_SummonLightningFamiliar_spellName,spell_SummonLightningFamiliar_spellDescription,icon_lightningFamiliar_01.png,passive,0,lightningFamiliarSpellText,drg_lightningFamiliar_flame_01,lightningFamiliarSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
lionsRage,0,spell_LionsRageSpell_spellName,spell_LionsRageSpell_spellDescription,icon_lions_rage.png,passive,0,lionsRageSpellText,,lionsRageSpell,,,spellStartSoundIdentifier:dreadful_roar_tapped,starBurnFireScene:spl_lionsRage_fire.lvl,,
lockdown,0,spell_LockdownSpell_spellName,spell_LockdownSpell_spellDescription,icon_lockdown_01.png,red,0,lockdownSpellText,lockdown,lockdownSpell,,freeTarget,,lockdownBuildingScene:ptl_lockdown_net_01.lvl,lockdownPrepareParticle:ptl_lockdown_charge,
maleficBreath,0,spell_MaleficBreathSpell_spellName,spell_MaleficBreathSpell_spellDescription,icon_maleficBreath.png,white,0,maleficBreathSpellText,,maleficBreathSpell,,,spellStartSoundIdentifier:malefic_breath_tapped,,flamethrowerProjectile:drg_malefic_flame_01,
nocturnalFissure,0,spell_NocturnalFissureSpell_spellName,spell_NocturnalFissureSpell_spellDescription,icon_nocfissure_01.png,blue|white,0,nocturnalFissureSpellText,,nocturnalFissureSpell,empoweredIcon:icon_nocfissure_01.png,,spellStartSoundIdentifier:isolation_cast,,applyDragonParticle:ptl_heal_dragonSpell_02|nocturnalFissureVortexParticle:ptl_nocturnalFissure|nocturnalFissureShrinkParticle:ptl_nocturnalFissure_shrink|nocturnalFissureExplodeParticle:ptl_drg_nocturnalFissure_explosion_01,
northernLights,0,spell_NorthernLightsSpell_spellName,spell_NorthernLightsSpell_spellDescription,icon_northernLights_light.png,blue|blue,0,northernLightsSpellText,,northernLightsSpell,empoweredIcon:icon_northernLights_dark.png|empoweredActiveAbilityBattleText:northernLightsSpellText,,spellStartSoundIdentifier:northern_lights_tapped,northernLightsBuildingHealScene:bld_northernLights_light.lvl|northernLightsBuildingRageScene:bld_northernLights_dark.lvl,northernLightsDarkScene:shield_northernLights_dark.lvl|northernLightsLightScene:shield_northernLights_light.lvl|northernLightsLightParticle:ptl_northernLights_blast_light|northernLightsDarkParticle:ptl_northernLights_blast_dark|northernLightsShieldDeathScene:shield_northernLights_supershot_death.lvl,
northernLightsDark,0,spell_NorthernLightsDarkSpell_spellName,spell_NorthernLightsDarkSpell_spellDescription,icon_northernLights_light.png,blue|blue,0,northernLightsSpellText,,northernLightsDarkSpell,empoweredIcon:icon_northernLights_dark.png|empoweredActiveAbilityBattleText:northernLightsSpellText,,spellStartSoundIdentifier:northern_lights_tapped,northernLightsBuildingHealScene:bld_northernLights_light.lvl|northernLightsBuildingRageScene:bld_northernLights_dark.lvl,northernLightsDarkScene:shield_northernLights_dark.lvl|northernLightsLightScene:shield_northernLights_light.lvl|northernLightsLightParticle:ptl_northernLights_blast_light|northernLightsDarkParticle:ptl_northernLights_blast_dark|northernLightsShieldDeathScene:shield_northernLights_supershot_death.lvl,
noxiousVines,0,spell_NoxiousVinesSpell_spellName,spell_NoxiousVinesSpell_spellDescription,icon_noxiousVines.png,white,0,noxiousVinesSpellText,noxiousVines,noxiousVinesSpell,,freeTarget,spellStartSoundIdentifier:noxious_vines_charge|spellReleaseSoundIdentifier:noxious_vines_cast|spellEndSoundIdentifier:noxious_vines_impact,desiccatingSandBuildingScene:bld_noxiousVines.lvl,desiccatingSandPrepareParticle:ptl_drg_noxious_vines_charge,
radiance,0,spell_RadianceSpell_spellName,spell_RadianceSpell_spellDescription,icon_radiance_01.png,blue,0,radianceSpellText,,radianceSpell,fullIcon:icon_glowingradiance_01.png,,,,dayBreakParticle:daybreak_dragon|radianBlastParticle:ptl_drg_radiance_blast_01|radianGlowParticle:ptl_drg_radiance_glow_01|radianProjectile:drg_radiance_flame_01,
risingPhoenix,0,spell_RisingPhoenixSpell_spellName,spell_RisingPhoenixSpell_spellDescription,icon_risingphoenix_01.png,blue,0,risingPhoenixSpellText,,risingPhoenixSpell,,,,,risingPhoenixStartParticle:ptl_drg_shield_phoenix|risingPhoenixHealParticle:ptl_heal_dragonSpell_02|risingPhoenixRebirthParticle:ptl_drg_rising_phoenix_01,
sacrifice,0,spell_SacrificeSpell_spellName,spell_SacrificeSpell_spellDescription,icon_sacrifice_01.png,blue,0,sacrificeSpellText,,sacrificeSpell,,,,,sacrificeParticle:ptl_dragon_sacrifice,
seethingSpark,0,spell_SeethingSparkSpell_spellName,spell_SeethingSparkSpell_spellDescription,icon_seething_spark_initial_01.png,blue|blue,0,seethingSparkSpellText,,seethingSparkSpell,empoweredIcon:icon_seething_spark_01.png,,,chainLightningApplyFromSkyParticle:ptl_drg_chain_lightning_impact_01|thunderstormBuildingParticle:ptl_building_shock_base|stunBuildingParticle:ptl_building_stun,attackPowerIncreaseParticle:ptl_seething_spark,
seismicScreech,0,spell_SeismicScreechSpell_spellName,spell_SeismicScreechSpell_spellDescription,icon_seismicScreech.png,red,0,seismicScreechText,,seismicScreechSpell,,,spellStartSoundIdentifier:seismic_screech,intimidateBuildingParticle:ptl_building_screeched|intimidateBuildingPersistParticle:ptl_building_screeched_persist,intimidateDragonParticle:ptl_dragon_screech,
shadowStrike,0,spell_ShadowStrikeSpell_spellName,spell_ShadowStrikeSpell_spellDescription,icon_shadowStrike.png,white|white,0,shadowStrikeSpellText,,shadowStrikeSpell,empoweredIcon:icon_shadowStrike.png|empoweredActiveAbilityBattleText:empoweredBreathText,,spellStartSoundIdentifier:shadowstrike_cast,,dissipateCloudyMistScene:spl_shadowStrike_shadow.lvl|dissipateExplodeScene:spl_shadowStrike_burst.lvl|dissipateEndScene:spl_shadowStrike_end.lvl|attackPowerIncreaseParticle:spl_shadowStrike_Buff,
shattershard,0,spell_ShattershardSpell_spellName,spell_ShattershardSpell_spellDescription,icon_shatterShard.png,red,0,shattershardSpellText,,shattershardSpell,,,,shatterShardBuildingParticle:ptl_shattershard_shatter,,
shieldAssault,0,spell_ShieldAssaultSpell_spellName,spell_ShieldAssaultSpell_spellDescription,icon_shield_assault_01.png,blue|blue,0,shieldAssaultSpellText,,shieldAssaultSpell,empoweredIcon:icon_shield_assault_02.png,,spellStartSoundIdentifier:shield_assault,,shieldAssaultScene:shield_assault_shield.lvl|flamethrowerProjectile:drg_shieldAssault_flame_01|spellEndScene:shield_assault_shield_end.lvl,
shieldBlast,0,spell_ShieldBlastSpell_spellName,spell_ShieldBlastSpell_spellDescription,icon_shieldBlast.png,blue,0,shieldBlastSpellText,,shieldBlastSpell,,,spellStartSoundIdentifier:shield_blast|spellEndSoundIdentifier:shield_blast_end,buildingExplodeParticle:ptl_shield_blast_impact_01,chargedShieldSceneFile:shield_shieldBlast.lvl|dragonShieldExplodeParticle:ptl_shield_blast_death|chargedShieldSupershotDeathSceneFile:shield_shieldBlast_supershot_death.lvl,
shortCircuit,0,spell_ShortCircuitSpell_spellName,spell_ShortCircuitSpell_spellDescription,icon_mayhem_01.png,red,0,shortCircuitSpellText,,shortCircuitSpell,"originParticleEffect:freeze_effect|targetParticleEffect:freeze_effect|targetBuildingIdentifiers:lightningTower,stormTower,lightningTowerTutorial,iceTurret,fireTurret",,,shortCircuitBuildingParticle:ptl_shortCircuit_flame,shortCircuitDragonParticle:ptl_shortCircuit_goldBolts,
southernCross,0,spell_SouthernCrossSpell_spellName,spell_SouthernCrossSpell_spellDescription,icon_southernCross_light.png,red|red,0,southernCrossSpellText,southernCross,southernCrossSpell,empoweredIcon:icon_southernCross_dark.png|empoweredActiveAbilityBattleText:southernCrossSpellText,circleAOE|freeTarget,spellStartSoundIdentifier:southern_cross_tapped,southernCrossBuildingDarkParticle:ptl_southernCross_hit_dark|southernCrossBuildingLightParticle:ptl_southernCross_hit_light,southernCrossLightParticle:ptl_southernCross_sphere_light|southernCrossDarkParticle:ptl_southernCross_sphere_dark|southernCrossHealingParticle:ptl_heal_dragonSpell_02|southernCrossRageParticle:ptl_rage_dragonSpell,
southernCrossDark,0,spell_SouthernCrossDarkSpell_spellName,spell_SouthernCrossDarkSpell_spellDescription,icon_southernCross_dark.png,red|red,0,southernCrossSpellText,southernCross,southernCrossDarkSpell,empoweredIcon:icon_southernCross_dark.png|empoweredActiveAbilityBattleText:southernCrossSpellText,circleAOE|freeTarget,spellStartSoundIdentifier:southern_cross_tapped,southernCrossBuildingDarkParticle:ptl_southernCross_hit_dark|southernCrossBuildingLightParticle:ptl_southernCross_hit_light,southernCrossLightParticle:ptl_southernCross_sphere_light|southernCrossDarkParticle:ptl_southernCross_sphere_dark|southernCrossHealingParticle:ptl_heal_dragonSpell_02|southernCrossRageParticle:ptl_rage_dragonSpell,
southernCrossLight,0,spell_SouthernCrossLightSpell_spellName,spell_SouthernCrossLightSpell_spellDescription,icon_southernCross_light.png,red|red,0,southernCrossSpellText,southernCross,southernCrossLightSpell,empoweredIcon:icon_southernCross_dark.png|empoweredActiveAbilityBattleText:southernCrossSpellText,circleAOE|freeTarget,spellStartSoundIdentifier:southern_cross_tapped,southernCrossBuildingDarkParticle:ptl_southernCross_hit_dark|southernCrossBuildingLightParticle:ptl_southernCross_hit_light,southernCrossLightParticle:ptl_southernCross_sphere_light|southernCrossDarkParticle:ptl_southernCross_sphere_dark|southernCrossHealingParticle:ptl_heal_dragonSpell_02|southernCrossRageParticle:ptl_rage_dragonSpell,
speedBoost,0,spell_SpeedBoostSpell_spellName,spell_SpeedBoostSpell_spellDescription,icon_speed_01.png,blue,0,,,speedBoostSpell,,,,,,
stealEssence,1,spell_StealEssenceSpell_spellName,spell_StealEssenceSpell_spellDescription,icon_stealEssence_01.png,passive,0,stealEssenceSpellText,,stealEssenceSpell,"buildingIdentifiers:stormTower,archerTower,cannonTower,ballista,mageTower,mageBlueTower,trebuchet,lightningTower,woodFarm,hogFarm,iceTurret,fireTurret,iceTotem,fireTotem,windTotem,earthTotem,darkTotem,elementalFlakDark,elementalFlakFire,elementalFlakIce,perchIsland03,perchIsland06,perchIsland08,elementalFlakWind,elementalFlakEarth,archerTowerBoss,cannonTowerBoss,trebuchetBoss,ballistaBoss,fireTurretBoss,iceTurretBoss,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,,,stealEssenceParticle:ptl_steal_essence_ball,
stoneskin,1,spell_StoneskinSpell_spellName,spell_StoneskinSpell_spellDescription,icon_stoneskin_01.png,blue,0,stoneskinSpellText,,stoneskinSpell,,,,,stoneSkinScene:shield_stoneskin.lvl|stoneskinHitParticle:ptl_stoneskin_hit|stoneskinShieldDeathScene:shield_stoneskin_death.lvl,
summonAIDragon,0,spell_SummonAIBattleDragonSpell_spellName,spell_SummonAIBattleDragonSpell_spellDescription,icon_summon_dragon_01.png,red,0,summonDragonSpellText,,summonAIBattleDragonSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
talonFrenzy,1,spell_TalonFrenzySpell_spellName,spell_TalonFrenzySpell_spellDescription,icon_talon_frenzy.png,blue,0,talonFrenzySpellText,,talonFrenzySpell,,,,,,
tectonicTomb,0,spell_TectonicTombSpell_spellName,spell_TectonicTombSpell_spellDescription,icon_tectonicTomb.png,red,0,tectonicTombSpellText,tectonicTomb,tectonicTombSpell,spellFailedText:tectonicTombSpellFailText|shieldBrokenText:tectonicTombSpellShieldBrokenText,circleAOE|freeTarget|shield,,onBuildingScene:ptl_tectonic_tomb_spell_impact_01.lvl,freezePrepareParticle:tectonicTomb_buildup|frozenTombShieldScene:shield_tectonicTomb_formation.lvl|dissipationEffectParticle:tectonic_tomb_dissipation_effect|frozenTombShieldSupershotDeathSceneFile:shield_tectonicTomb_dissipation.lvl,
teleport,0,spell_TeleportSpell_spellName,spell_TeleportSpell_spellDescription,icon_speed_01.png,blue,0,teleportSpellText,,teleportSpell,particleEffect:blink_effect,,,,,
thunderstorm,0,spell_ThunderstormSpell_spellName,spell_ThunderstormSpell_spellDescription,icon_thunderstorm_01.png,red,0,thunderstormSpellText,,thunderstormSpell,,,,chainLightningApplyFromSkyParticle:ptl_drg_chain_lightning_impact_01|thunderstormBuildingParticle:ptl_building_shock_base,thunderstormDragonParticle:ptl_dragon_thunderlight_ball,
tidalSurge,0,spell_TidalSurgeSpell_spellName,spell_TidalSurgeSpell_spellDescription,icon_tidalSurge.png,white|white,0,tidalSurgeSpellText,tidalSurge,tidalSurgeSpell,empoweredIcon:icon_tidalSurge.png|empoweredActiveAbilityBattleText:tidalSurgeSpellText,freeTarget,spellStartSoundIdentifier:tidal_surge_charge|spellReleaseSoundIdentifier:tidal_surge_cast,,umbralSpikePrepareParticle:tidalSurge_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
undyingWill,0,spell_UndyingWillSpell_spellName,spell_UndyingWillSpell_spellDescription,icon_undyingWill.png,passive,0,undyingWillSpellText,,undyingWillSpell,,,,,borrowTimeShieldScene:spl_undyingWill_shield.lvl|borrowTimeShieldDeathScene:spl_undyingWill_death.lvl,
uproot,0,spell_UprootSpell_spellName,spell_Uproot_spellDescription,icon_Uproot.png,red|red,0,uprootSpellText,uproot,uprootSpell,empoweredIcon:icon_Uproot.png|empoweredActiveAbilityBattleText:uprootSpellText,freeTarget,spellStartSoundIdentifier:uproot_charge|spellReleaseSoundIdentifier:uproot_cast|spellEndSoundIdentifier:uproot_impact,,umbralSpikePrepareParticle:uproot_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
